"Aaron Herrmann","Rennergasse 9
1150 Gmünd"
"Christian Pilz","Florentin-Trinkl-Platz 6
1282 Wolkersdorf"
"Katja Polzer","Schmuckgasse 932
6866 Bludenz"
"Univ.Prof. Johann Klement","Jaukweg 901
7179 Wolkersdorf"
"Sofia Schöller","Schuhstraße 566
3822 Ternitz"
"Adriano Hofer","Stefan-Haas-Weg 565
5999 Rottenmann"
"Gregor Scheidl-Grünwald","Wachterstraße 77
6066 Gerasdorf bei Wien"
"Nico Holzmann-Dobler","Erina-Humer-Ring 3
9402 Bregenz"
"Cristina Neumayer","Luana-Gmeiner-Ring 325
7864 Pulkau"
"Clemens Thaler","Lamprechtgasse 4/1
6754 Gloggnitz"
"Karl Plank","William-Sieber-Straße 46
8896 Schwanenstadt"
"Gabriel Lengauer","Leitgebstr. 12
2788 Geras"
"Prof. Natalie Baier","Diana-Adam-Ring 1
9776 Friesach"
"Karolina Kellner","Böhmring 424
1003 Ebenfurth"
"Marco Tiefenbacher","Selma-Wieland-Gasse 495
6230 Gföhl"
"Ajna Humer","Schreiberplatz 4/6
3065 Leoben"
"Alena Puchner","Kröllstraße 7/4
3514 Bruck an der Mur"
"Univ.Prof. Lean Klein","Anja-Pircher-Weg 7/3
1712 Altheim"
"Raffael Schulz","Alice-Felder-Platz 480
3087 Imst"
"Rita Wiesbauer","Knollstraße 286
3553 Kindberg"
"Dennis Zimmermann","Victoria-Stocker-Platz 94
2928 Wieselburg"
"Dr. Chris Kalcher","Erina-Egger-Weg 2
2180 Groß-Enzersdorf"
"Richard Scharf","Luis-Kain-Straße 10
3871 Bärnbach"
"Claudia Meier","Bichlerweg 998
8622 Rattenberg"
"Dipl.-Ing. Gabriela Brandstetter","Simon-Loibl-Straße 83
2474 Dürnstein"
"Ajna Jost","Kesslerweg 48
2747 Fehring"
"Heinrich Wiener","Lisa-Marie-Zehetner-Weg 8
7304 Braunau am Inn"
"Ing. Melisa Metzler","Rudolfplatz 729
9533 Schwaz"
"Amelie Fleischmann","Plattnerring 247
4998 Altheim"
"Romy Lamprecht","Stefan-Puntigam-Gasse 8
4993 Vöcklabruck"
"Vincent Wöhrer","Schrempfring 4
3887 Völkermarkt"
"Martina Kohler","Bichlerweg 37
9677 Hallein"
"Rita Vogler","Kaindlstraße 3
4146 Straßburg"
"Melisa Tanzer","Gattringerstraße 55
2284 Gmünd in Kärnten"
"Lilly Dobler","Sillergasse 460
5615 Schrattenthal"
"Ajna Raab","Fuchsweg 112
3531 Bludenz"
"Gabriela Zach","Sturmgasse 503
4043 Purbach am Neusiedler See"
"Leonie Höfer","Leona-Nußbaumer-Weg 759
3714 Wolkersdorf"
"Nikolai Pröll","Timo-Stückler-Platz 3
8996 Ebenfurth"
"Axel Huemer","Rayana-Brandtner-Platz 5/0
4889 Saalfelden am Steinernen Meer"
"Domenica Hattinger","Hallerweg 542
9979 Mödling"
"Marina Rieser","Lina-Ulrich-Gasse 26
4640 Groß-Enzersdorf"
"Herr Axel Gratzer","Aurelia-Gratz-Straße 78
3281 Liezen"
"Erwin Paier","Jannis-Ladner-Ring 2/2
6303 Linz"
"Julius Unterweger","Helena-Weber-Ring 5/5
5428 Mannersdorf am Leithagebirge"
"Alan Kohl","Marie-Müller-Gasse 9/6
9033 Leoben"
"Lara-Sophie Weigl","Schmölzerstraße 871
6508 Leoben"
"Linus Plank","Lily-Peer-Straße 37
5226 Pöchlarn"
"Ing. Carina Frick","Emilia-Kolar-Weg 8
8473 Mödling"
"Lorenzo Raab","Guggenbergerstr. 798
6767 Ybbs an der Donau"
"Leonard Siegl","Kalina-Leber-Weg 869
4643 Waidhofen an der Thaya"
"Aleksandra Fuhrmann","Bräuerplatz 59
8378 Güssing"
"Dipl.-Ing. Mira Landl","Neubauerring 72
1866 Spittal an der Drau"
"Christina Edlinger-Nöbauer","Hübnerstr. 8
8595 Haag"
"Carla Nagel-Wegscheider","Tamara-Weissenböck-Ring 92
3155 Feldkirchen"
"Alan Köberl","Ortnerring 78
8295 Baden"
"Steven Loidl","Pacherring 34
4915 Wien"
"Dipl.-Ing. Francesca Oberndorfer","Theo-Barth-Weg 5/8
5362 Lienz"
"Prof. Caroline Rettenbacher","Isa-Schön-Weg 721
5801 Peuerbach"
"Naomi Adam-Peter","Hacklgasse 528
6841 Frauenkirchen"
"Edda Stock","Kaltenbrunnergasse 232
2252 Baden"
"Prof. Antonella Gabriel","Lercherstr. 245
1969 Gloggnitz"
"Dr. Mathias Becker","Steinbacherplatz 1
7774 Eferding"
"Mathilda Haderer-Hutterer","Hoffmannweg 60
8652 Steyr"
"Emilie Kogler-Mathis","Jovana-Fuchs-Ring 3
4169 Friesach"
"Alan Schachinger","Daniel-Grabher-Weg 40
9332 Raabs an der Thaya"
"Nikolas Krug","Leticia-Reinbacher-Straße 4/7
9667 Gerasdorf bei Wien"
"Alice Günther-Gattringer","Scheerstr. 371
4916 Oberpullendorf"
"Dipl.-Ing. Linnea Weninger","Sandra-Wiedner-Platz 5/4
5031 Radenthein"
"Carl Macher","Hellplatz 1/1
9651 Feldkirchen"
"Sophie-Marie Kerschbaum","Carina-Jovanovic-Ring 1/6
6027 Friesach"
"Carlotta Reinprecht","Paula-Kolb-Straße 26
9634 Fürstenfeld"
"Viola Erber","Altmannstr. 0
8089 Leibnitz"
"Univ.Prof. Aleksander Scholz","Springergasse 11
8855 Sankt Veit an der Glan"
"Marius Marte","Rosalie-Neubauer-Platz 6
8251 Mödling"
"Alan Scherer","Heldweg 63
4522 Zistersdorf"
"Anna Siegl-Lutz","Elena-Klaus-Gasse 88
5545 Imst"
"Miriam Blauensteiner","Riegerplatz 1
5398 Kufstein"
"Ronja Eberl","Nele-Sagmeister-Ring 50
1986 Bischofshofen"
"Miriam Häusler","Schimplstraße 8
2718 Landeck"
"Pia Haid","Dora-Winkler-Ring 96
1836 Oberndorf bei Salzburg"
"Ing. Julijana Schöller","Heldring 37
6499 Köflach"
"Univ.Prof. Erwin Stifter","Springerplatz 924
2039 Gföhl"
"Victor Oswald-Stütz","Marvin-Angerer-Straße 937
8038 Schrattenthal"
"Dipl.-Ing. Robin Scheer","Nadine-Gabriel-Straße 262
6383 Retz"
"Alan Sulzer","Phillip-Neumeister-Ring 12
6038 Klosterneuburg"
"Leonora Buchegger","Rainerstraße 4/2
3465 Sankt Veit an der Glan"
"Lucas Höfler","Schrammstraße 84
4182 Laa an der Thaya"
"Ing. Marcus Stummer","Neumeisterring 08
2483 Ternitz"
"Anna-Maria Jung","Pascal-Pertl-Ring 975
1082 Villach"
"Sofia Schuh","Raffaela-Kreidl-Ring 3
9116 Schärding"
"Igor Raab","Mira-Salzmann-Straße 9/7
8002 Weitra"
"Nils Gratz","Jana-Eberharter-Ring 51
4257 Waidhofen an der Ybbs"
"Anja Pieber","Fritschring 60
1657 Tulln an der Donau"
"Franziska Streicher-Bruckner","Haumerweg 295
2618 Bad Hall"
"Aleksander Klocker-Reinthaler","Max-Seidl-Weg 3/5
7637 Geras"
"Melissa Martin","Nicolai-Köberl-Gasse 9/2
4706 Melk"
"Dipl.-Ing. Nick Frisch","Emilian-Kiss-Platz 0
1744 Kapfenberg"
"Zoe Höfer","Stockhammergasse 9
6930 Pinkafeld"
"Univ.Prof. Isa Schuster","Farkasweg 4
3231 Spittal an der Drau"
"Dipl.-Ing. Kristian Böck","Clemens-Oberhofer-Ring 81
3272 Hainburg an der Donau"
"Teodor Frisch-Eichberger","Madeleine-Mairhofer-Weg 2
4389 Gerasdorf bei Wien"
"Charlotte Pollak","Elina-Danninger-Straße 1
9312 Hainburg an der Donau"
"Dipl.-Ing. Elina Grünwald","Jeneweinstraße 41
1704 Fürstenfeld"
"Matheo Hödl","Martina-Steiger-Gasse 6
2102 Bad Radkersburg"
"Aleksander Leonhartsberger","Timon-Rauter-Platz 47
9262 Heidenreichstein"
"Nicolas Wiener-Obermüller","Schoberring 7
8169 Deutschlandsberg"
"Leontina Neuner","Schwarzlstr. 892
5792 Vils"
"Philipp Walch","Marlene-Brugger-Ring 28
6827 Trieben"
"Ing. Henri Kloiber","Benjamin-Suppan-Platz 44
2497 Althofen"
"Karl Hochreiter-Lechner","Sabrina-Hager-Gasse 0/4
2630 Schladming"
"Marko Luger-Hufnagl","Köllgasse 6
2827 Traismauer"
"Aleksander Toth","Fischerstraße 130
7245 Neulengbach"
"Ing. Sophia Zeiler","Bernhard-Parzer-Straße 925
6476 Laa an der Thaya"
"Leon Kloiber-Trinkl","Tobias-Berger-Ring 231
7068 Pulkau"
"Aleksander Schenk","Ortnerweg 5
1619 Maissau"
"Prof. David Kaltenegger","Maja-Wechselberger-Ring 08
5399 Rattenberg"
"Isabella Heller","Isa-Zach-Straße 0
4171 Pulkau"
"Josef Unterweger","Rosa-Gosch-Gasse 75
9141 Trofaiach"
"Annika Brenner","Engelstr. 00
4122 Heidenreichstein"
"Adrian Rabitsch","Hegerstr. 5
6482 Wolkersdorf"
"Melina Gabriel-Bogner","Joel-Scheucher-Weg 20
6839 Ebreichsdorf"
"Ing. Roman Heissenberger","Lucas-Prinz-Platz 6
6915 Attnang-Puchheim"
"Nathan Schmidl","Lercherplatz 0/6
6211 Villach"
"Benedikt Gattringer","Raphael-Breuer-Gasse 3/7
2609 Oberwart"
"Aleksandra Gratz","Lorenzo-Neuner-Straße 9/0
5138 Berndorf"
"Dr. Dana Freudenthaler","Großstr. 078
6852 Rattenberg"
"Florentina Schmidt-Dorfer","Maierstr. 6/1
4786 Peuerbach"
"Christian Peham","Schöpfstr. 552
8189 Marchtrenk"
"Ing. Leonardo Fleischmann","Paula-Reindl-Gasse 9/1
1542 Mariazell"
"Anika Obermayr","Christian-Rath-Straße 047
6389 Klagenfurt"
"Markus Schrempf","Zettlplatz 5
7338 Landeck"
"Andjelina Schweiger","Sahra-Bucher-Platz 831
6486 Kindberg"
"Olivia Kraft-Hahn","Anna-Lena-Reitinger-Straße 44
4499 Maissau"
"Sven Amon","Caroline-Raab-Platz 901
3040 Judenburg"
"Aleksandra Handl","Tafernerring 73
5573 Landeck"
"Daniela Höglinger","Marc-Hausberger-Weg 281
3954 Langenlois"
"Yvonne Grabher","Bischofplatz 119
9532 Klosterneuburg"
"Isa Felber","Dominik-Schönberger-Weg 54
7261 Marchegg"
"Helena Oberndorfer","Viktoria-Beer-Gasse 37
1011 Kapfenberg"
"Tiffany Falkner","Bernerstraße 71
5707 Sankt Pölten"
"Severin Traxler","Forsterplatz 7
1860 Wolfsberg"
"Ing. Rana Spreitzer","Spindlerplatz 8
5373 Gmünd in Kärnten"
"Nadja Jöbstl","Forsterstraße 772
8629 Mautern an der Donau"
"Fabio Klotz","Brandnerring 8
7789 Knittelfeld"
"Aleksandra Weber","Luisa-Prenner-Platz 98
3740 Mürzzuschlag"
"Sigrid Moritz","Schneidergasse 4
1323 Bad Ischl"
"Sofia Ofner","Leopold-Bodner-Weg 72
6488 Gänserndorf"
"Lena Kolm","Kaltenbrunnerstraße 838
9797 Köflach"
"Noel Schreiber-Haumer","Peter-Obermüller-Platz 36
3776 Bärnbach"
"Helene Trummer","Liam-Rabl-Weg 7/1
9986 Schärding"
"Prof. Karolina Göschl","Mark-Jank-Ring 8
1155 Ebenfurth"
"Maksim Riedmann","Nicholas-Lichtenegger-Gasse 8/8
8380 Kindberg"
"Anja Huber-Lederer","Marko-Wachter-Ring 281
9668 Leoben"
"Prof. Emmanuel Walter","Widhalmweg 4
6042 Traismauer"
"Alena Berthold","Juliane-Wiesbauer-Straße 54
7498 Straßburg"
"Antonella Pinter","Patrik-Gindl-Ring 30
7821 Bregenz"
"Selena Prem","Sofija-Neuhauser-Platz 733
7569 Schwanenstadt"
"Malena Salcher","Scheiberstr. 30
4315 Oberwälz"
"Frau Olivia Neulinger","Mühlböckstr. 7/9
2620 Eferding"
"Ella Hofstätter","Hirschmannstr. 217
4577 Wels"
"Andrej Schäfer","Marlene-Bachinger-Weg 6/6
1500 Rust"
"Matthias Freitag","Leopoldstraße 612
4796 Kapfenberg"
"Prof. Fernando Schober","Gratzring 25
8663 Mariazell"
"Marc Hammerer","Constantin-Schmidt-Platz 1/4
7147 Ansfelden"
"Alena Hauer","Steinlechnergasse 271
4390 Bad Radkersburg"
"Vito Köberl","Kollergasse 2
8341 Schwaz"
"Natalia Steger-Engl","Praxmarerstraße 029
2729 Braunau am Inn"
"Leonardo Oberhofer","Bucherring 89
1237 Schwechat"
"Oskar Adler","Dannerweg 0
7452 Bruck an der Leitha"
"Maida Griesser","Theresa-Pirker-Gasse 2/9
6507 Attnang-Puchheim"
"Bianca Zeiler","Leo-Hölzl-Platz 097
7352 Rottenmann"
"Stefanie Haderer-Dobler","Schantlplatz 5/7
6638 Feldkirch"
"Nikolas Reischl","Sabine-Engl-Gasse 933
8564 Mank"
"Laurin Kager","Raffaela-Weninger-Gasse 34
5681 Mannersdorf am Leithagebirge"
"Alena Hummel","Josef-Lederer-Weg 5
8908 Imst"
"Fridolin Wurm","Neubauerring 555
7815 Bad Sankt Leonhard im Lavanttal"
"Vivian Scheucher","Waltlgasse 2/4
9950 Mistelbach an der Zaya"
"Teodor Wirth","Schuhstr. 037
3792 Zwettl"
"Michael Kastner","Schinaglplatz 14
1843 Leibnitz"
"Manuela Rupp-Burtscher","Adam-Hufnagl-Straße 3
6831 Sankt Valentin"
"Ing. Merlin Meier","Boris-Kasper-Straße 3/0
6241 Rust"
"Dr. Julius Pfeffer","Theodora-Steindl-Weg 38
2138 Wien"
"Severin Plank","Violetta-Springer-Gasse 1/7
3512 Purbach am Neusiedler See"
"Anja Krainer-Wurm","Katja-Mayer-Ring 52
4846 Gmünd"
"Alena Redl","Carlo-Fritsch-Gasse 87
1430 Jennersdorf"
"Prof. Lilly Bösch","Melisa-Leonhartsberger-Weg 5
2377 Zistersdorf"
"Timon Neumann-Kalcher","Pöllplatz 092
4440 Eisenstadt"
"Jamie Zeiler-Wiesinger","Engelstr. 82
3178 Eggenburg"
"Frau Leandra Santner","Siena-Wiesbauer-Ring 2/8
3951 Traiskirchen"
"Lorenzo Bauer-Lechner","Matilda-Kocher-Straße 03
1480 Weitra"
"Laura Moser","Schmuckplatz 9
9520 Gmünd"
"Herr Antonio Bacher","Laurin-Ferstl-Gasse 045
1051 Poysdorf"
"Ilias Fercher","Axel-Pacher-Ring 73
5140 Völkermarkt"
"Ing. Beatrice Reichl","Schmidingerring 90
3547 Landeck"
"Alena Schwarzl","Oscar-Schatz-Weg 26
9608 Pinkafeld"
"Marcus Gollner","Angelo-Stückler-Weg 21
7537 Pöchlarn"
"Carla Grasser","Pühringerplatz 162
4967 Sankt Pölten"
"Ela Gartner-Schiller","Dittrichweg 9/1
4448 Laa an der Thaya"
"Mila Hager-Nagele","Melisa-Pfeifer-Weg 073
9897 Wieselburg"
"Herr Isa Handler","Suppangasse 486
2129 Marchtrenk"
"Jannis Klug","Nussbaumerstr. 86
2072 Gänserndorf"
"Edda Wöhrer","Eichhorngasse 281
9516 Traiskirchen"
"Lorena Weissenböck","Kagergasse 3
5149 Ansfelden"
"Elena Pöschl","Joel-Kaltenbrunner-Weg 9
2485 Oberndorf bei Salzburg"
"Alex Farkas-Kraxner","Fellnerstr. 544
3750 Neulengbach"
"Tina Kummer","Clemens-Stifter-Weg 263
1562 Mureck"
"Viktor Gindl","Lara-Gattringer-Straße 767
3880 Kindberg"
"Lionel Kogler-Brugger","Amelia-Buchberger-Ring 41
9682 Bad Hall"
"Lotte Neuhold-Rabitsch","Eichbergerring 196
9992 Gerasdorf bei Wien"
"Siena Trummer-Steiger","Leopold-Stöger-Platz 08
2404 Gallneukirchen"
"Jana Schachinger-Ostermann","Hornstraße 8/8
2343 Gföhl"
"Sam Sattler","Finn-Gratzl-Weg 959
8957 Bruck an der Leitha"
"Prof. Johannes Kral","Vivian-Kaiser-Platz 2/6
8173 Gerasdorf bei Wien"
"Frau Natalie Fink","Fuchsgasse 4
7654 Leibnitz"
"Alex Horak","Glückweg 7/3
9669 Bärnbach"
"Bernhard Weiser","Ernstweg 05
8494 Trieben"
"Prof. Noah Bachmann","Leithnerplatz 378
4204 Scheibbs"
"Mateo Neureiter","Ariane-Steinbauer-Straße 766
5707 Maissau"
"Katarina Bogner-Luttenberger","Gschaiderstraße 9/5
6111 Bad Aussee"
"Elvira Gindl","Poschweg 378
2368 Oberwart"
"Berra Ott-Burger","Karlweg 2
1607 Ybbs an der Donau"
"Luis Brunner","Elma-Schiefer-Ring 80
6423 Bruck an der Leitha"
"Leander Achleitner-Pendl","Hartmannplatz 3/5
8518 Laa an der Thaya"
"Leopold Hutter","Putzweg 1
5262 Steyr"
"Alex Jauk","Rienerplatz 864
5302 Vils"
"Berra Walcher","Luis-Schatzl-Platz 48
2705 Dürnstein"
"Linus Leitgeb","Emma-Moritz-Ring 8/9
6932 Oberpullendorf"
"Zara Schwaighofer","Lorenzweg 35
6615 Sankt Andrä im Lavanttal"
"Gregor Meyer","Teodor-Santner-Platz 78
6436 Lilienfeld"
"Carl Danninger","Krainzplatz 063
8947 Mattighofen"
"Therese Zöchling-Stern","Kaufmannstraße 296
9422 Groß-Gerungs"
"Tristan Herrmann","Froschauerplatz 1/4
3170 Wiener Neustadt"
"Ing. Luise Klausner","Gabriela-Hell-Ring 2
8101 Feldkirch"
"Ing. Nico Gabriel","Estelle-Griesser-Platz 81
5036 Feldbach"
"Alex Putz","Anja-Prohaska-Gasse 3
8514 Schrems"
"Vincent Bader","Luca-Radl-Weg 889
5206 Wolkersdorf"
"Violetta Reisinger","Stolzstr. 877
6704 Klagenfurt"
"Yasmina Kastner","Mandlstr. 883
1564 Pinkafeld"
"Univ.Prof. Manuel Rabl","Charlotte-Meier-Weg 98
3478 Friesach"
"Ela Jost","Ronja-Gasser-Straße 453
1718 Knittelfeld"
"Nelly Kohler-Kral","Grafstraße 0
9348 Frohnleiten"
"Dario Ott","Ostermanngasse 5/6
2896 Mautern an der Donau"
"Lina Mitteregger","Grabherstr. 1/9
3190 Sankt Johann im Pongau"
"Lotte Rechberger","Kellerplatz 36
2111 Neunkirchen"
"Alexa Lerch","Bernerweg 116
8099 Bad Aussee"
"Joel Heinrich","Krainerring 0
4822 Zistersdorf"
"Noel Spindler","Pendlstr. 383
4039 Gloggnitz"
"Stephan Markl","Lea-Pollak-Weg 683
1240 Amstetten"
"Theresa Danninger","Schwendingerring 423
7390 Stockerau"
"Matthias Zettl","Jovana-Kain-Ring 5
8909 Völkermarkt"
"Thomas Holl","Jan-Scharf-Straße 2
3131 Bregenz"
"Dr. Helena Schuler","Milan-Eberharter-Ring 134
5222 Köflach"
"Pauline Spindler","Philipp-Hofmeister-Ring 19
7819 Kufstein"
"Fabio Ziegler","Henry-Barth-Platz 136
8606 Eisenstadt"
"Alexa Meindl","Kissgasse 37
7039 Krems an der Donau"
"Nisa Eichinger-Toth","Kocherring 83
2482 Zistersdorf"
"Jana Reich-Steinberger","Cornelius-Hölzl-Straße 08
6990 Kapfenberg"
"Emanuela Nussbaumer-Prohaska","Andreas-Stelzl-Platz 295
7656 Knittelfeld"
"Robert Messner","Schauerstr. 157
6498 Waidhofen an der Thaya"
