"Aaron Becker-Scheidl"	"Marta-Zehetner-Weg 454
8480 Zeltweg"
"Noel Bruckner"	"Lorenz-Griesser-Weg 734
1801 Pulkau"
"Jan Denk-Geyer"	"Bianca-Horak-Platz 4/5
5124 Gänserndorf"
"Frau Mira Obermayr"	"Stephan-Herrmann-Platz 25
5737 Mattersburg"
"Arthur Kirchmair"	"Andjelina-Deutschmann-Gasse 072
4535 Stadtschlaining"
"Alexandra Pilz"	"Krallgasse 0
6120 Mariazell"
"Alexandar Zauner"	"Mitterlehnerstraße 169
7783 Köflach"
"Peter Mayer"	"Milica-Holzer-Weg 8/5
7170 Neumarkt am Wallersee"
"Nikita Breuer-Wiesbauer"	"Leonie-Schaffer-Weg 9
6935 Klosterneuburg"
"Dipl.-Ing. Nikolai Schuller"	"Danningerplatz 22
8217 Dornbirn"
"Adelina Kohler-Jungwirth"	"Brucknerplatz 2
3150 Mannersdorf am Leithagebirge"
"Irma Weber-Stockhammer"	"Schweitzerstr. 3/1
4044 Poysdorf"
"Lara-Sophie Riedmann"	"Valentino-Sulzer-Ring 23
8850 Bruck an der Mur"
"Lorenz Trummer"	"Buchnerweg 931
2027 Pregarten"
"Karolina Kopf"	"Jasmine-Gabriel-Platz 45
1918 Radstadt"
"Leyla Waldner"	"Clemens-Huter-Straße 3/0
9545 Traismauer"
"Leonard Mayr"	"Maida-Baumgartner-Gasse 1/6
6520 Kapfenberg"
"Prof. Sahra Kreuzer"	"Köberlstraße 7
4867 Hartberg"
"Mila Strohmaier"	"Huterstraße 3
8399 Bad Hall"
"Thomas Karl"	"Kissring 4
3789 Mürzzuschlag"
"Adelina Nowak"	"Blumgasse 32
5076 Gleisdorf"
"Calvin Schöberl-Kaufmann"	"Kagerplatz 8/7
8251 Knittelfeld"
"Bruno Werner"	"Steindlstraße 4/3
7742 Villach"
"Mathias Schwendinger"	"Robin-Redl-Straße 6
3129 Mistelbach an der Zaya"
"Prof. Joel Edlinger"	"Prennerstraße 5
6371 Bad Leonfelden"
"Emmanuel Meindl"	"Calvin-Pock-Ring 804
5615 Perg"
"Benedikt Koch-Brandl"	"Reschplatz 1
3398 Hallein"
"Philip Burgstaller"	"Elma-Gärtner-Weg 9
8360 Trofaiach"
"Melanie Larcher"	"Amannring 0
3762 Rottenmann"
"Isabella Wallner"	"Ferdinand-Hinteregger-Platz 30
1149 Bleiburg"
"Adelina Petz"	"Pröllweg 9
9795 Sankt Pölten"
"Vera Hutter-Yilmaz"	"Bernhardstr. 366
3169 Sankt Valentin"
"Univ.Prof. Linnea Fleischhacker"	"Soraya-Schneeberger-Straße 707
9983 Traun"
"Ing. Fiona Trimmel"	"Leona-Ritter-Weg 91
7024 Steyr"
"Sabrina Ertl"	"Bucheggerstraße 451
6039 Friesach"
"Danilo Kriegl"	"Johannes-Jenewein-Weg 43
2425 Wieselburg"
"Elvira Engel"	"Amelie-Kaiser-Platz 3
5173 Weiz"
"Matthias Fiedler"	"Karoline-Dünser-Ring 9/6
7028 Groß-Siegharts"
"Paula Punz"	"Christopher-Meixner-Ring 6
6153 Deutschlandsberg"
"Emil Gschaider"	"Joshua-Gärtner-Platz 3
3145 Fürstenfeld"
"Adrian Bader"	"Ralph-Tiefenbacher-Gasse 7
9840 Klagenfurt"
"Emanuel Sammer"	"Grünwaldgasse 7
4020 Judenburg"
"Amelia Blum"	"Paulina-Ott-Weg 4
7282 Imst"
"Benedikt Markl"	"Herbstgasse 3/8
3748 Bleiburg"
"Nikolina Herbst-Dietrich"	"Leoni-Eichhorn-Weg 3
4139 Sankt Valentin"
"Laila Weninger-Krainer"	"Blümelweg 12
1730 Braunau am Inn"
"Viktoria Kral"	"Selena-Eisner-Straße 778
6794 Langenlois"
"Ilias Schrempf"	"Madeleine-Unterweger-Weg 501
6314 Friesach"
"Eleonora Pohl"	"Hanna-Keplinger-Gasse 690
7554 Weiz"
"Nikolai Böhm"	"Schantlstr. 5/6
5975 Baden"
"Adrian Braun-Konrad"	"Karim-Rauscher-Gasse 0/1
5430 Grein"
"Lia Praxmarer"	"Auerplatz 3/4
8890 Freistadt"
"Emilia Traxler"	"Grillring 6
3307 Jennersdorf"
"Evelyn Springer"	"Böschstr. 4/8
6800 Grieskirchen"
"Nelly Geiger-Braun"	"Schlagerstr. 9/5
5847 Fehring"
"Laetitia Schmidt"	"Zettlgasse 6/4
5757 Ansfelden"
"Maya Heger-Schrittwieser"	"Maurerring 84
9533 Wieselburg"
"Soraya Bernhard"	"Angela-Holzmann-Weg 4
8471 Raabs an der Thaya"
"Lino Winkler-Hauser"	"Augustinring 978
5634 Innsbruck"
"Dr. Juna Böck"	"Sabine-Steinbauer-Weg 2/2
9787 Jennersdorf"
"Adrian Feichter"	"Juliane-Gratz-Weg 1/7
4222 Lilienfeld"
"Anastasia Weninger-Hammerer"	"Edda-Margreiter-Straße 696
5369 Weitra"
"Herr Sam Schandl"	"Eda-Kremser-Weg 5
2202 Pulkau"
"Jonathan Trimmel"	"Ben-Gschaider-Weg 2
4983 Bad Vöslau"
"Ela Hochreiter"	"Bichlerstraße 9/7
5342 Hainburg an der Donau"
"Justin Kurz"	"Richard-List-Platz 99
5294 Lilienfeld"
"Elias Schrittwieser-Gritsch"	"Mike-Janisch-Ring 9
1291 Voitsberg"
"Bernadette Klotz-Krainz"	"Dana-Kaltenegger-Platz 092
9336 Saalfelden am Steinernen Meer"
"Ariane Friedl"	"Wachterweg 0
6755 Voitsberg"
"Dipl.-Ing. Nicolai Jovanovic"	"Andrej-Kaufmann-Straße 160
5395 Schärding"
"Adriana Eichberger"	"Lennart-Becker-Gasse 92
3853 Wieselburg"
"Lilli Kugler"	"Guggenbergerstr. 1
6517 Wörgl"
"Sebastian Forster"	"Leyla-Beck-Straße 6/2
8733 Wien"
"Lena Hoffmann"	"Teodor-Pammer-Weg 3/2
3908 Deutsch-Wagram"
"Nadia Köhler"	"Luttenbergerring 577
3608 Gmünd"
"Nikolai Walch"	"Carla-Reichel-Ring 4
3884 Wieselburg"
"Univ.Prof. Melanie Lorenz"	"Luis-Doppler-Straße 55
8113 Voitsberg"
"Vera Heinzl"	"Heidi-Bartl-Straße 86
3010 Attnang-Puchheim"
"Ing. Nicholas Lederer"	"Laurenz-Handl-Weg 57
5820 Retz"
"Joseph Zöchling"	"Luise-Böck-Ring 3
4313 Marchtrenk"
"Adriana Herzog"	"Kainstr. 8/2
2523 Stadtschlaining"
"Pauline Kratzer"	"Metzlerplatz 9/6
5118 Purkersdorf"
"Prof. Aleksander Ringhofer"	"Handlerplatz 36
6067 Tulln an der Donau"
"Ing. Mona Grünberger"	"Fernando-Gratzl-Ring 2
7862 Wolfsberg"
"Sandro Richter"	"Patrik-Decker-Gasse 15
3234 Murau"
"Marcus Humer"	"Dornerweg 9/5
6289 Enns"
"Valentina Lampl"	"Tamara-Rauch-Straße 0
6258 Ybbs an der Donau"
"Alexander Beck"	"Kopfplatz 990
8939 Straßburg"
"Tim Kammerer-Steidl"	"Melanie-Kasper-Straße 79
9707 Kindberg"
"Valentina Heller"	"Rebecca-Wögerbauer-Gasse 2
1148 Heidenreichstein"
"Adriana Meyer"	"Luttenbergerstr. 14
8656 Dornbirn"
"Manuel Oswald-Wilhelm"	"Wilhelmstraße 4
5985 Hartberg"
"Martin Haumer"	"Nadja-Koch-Straße 6
5096 Schärding"
"Steven Harrer"	"Güntherstr. 3/0
2539 Mariazell"
"Univ.Prof. Erik Bachmann"	"Hofbauerweg 1/1
1736 Grieskirchen"
"Univ.Prof. Mariana Kappel"	"Alice-Rinner-Gasse 30
4948 Altheim"
"Timon Zöchling"	"Finkweg 7/8
9376 Bad Leonfelden"
"Jacob Wilfinger"	"Kreuzerplatz 7/7
8754 Kapfenberg"
"Nadia Trauner-Neuner"	"Hofmannplatz 7/6
7729 Scheibbs"
"Ronya Pucher"	"Linda-Scherr-Straße 4/8
3485 Bad Aussee"
"Adriana Penz"	"Heidi-Mayerhofer-Ring 8
8634 Zwettl"
"Elina Prantl"	"Sabine-Köck-Gasse 3/0
4815 Melk"
"Valentina Steininger"	"Joshua-Himmelbauer-Gasse 65
6889 Sankt Johann im Pongau"
"Dipl.-Ing. Mateo Pachler"	"Dennis-Salzer-Straße 84
4666 Radstadt"
"Nicolai Reichel"	"Puntigamring 30
9964 Purbach am Neusiedler See"
"Leonie Polzer"	"Yilmazgasse 31
1142 Langenlois"
"Clarissa Rieser"	"Blümelstraße 9/7
1421 Neulengbach"
"Dipl.-Ing. Josef Waldner"	"Tiffany-Holzmann-Ring 62
3275 Scheibbs"
"Hannah Jöbstl"	"Lennart-Schantl-Weg 08
3100 Haag"
"Nick Kirchmair"	"Markus-Burtscher-Weg 81
2441 Ansfelden"
"Adriana Steinlechner"	"Springergasse 5/1
4317 Groß-Gerungs"
"Univ.Prof. Florian Bräuer"	"Grossstraße 4/9
8587 Zistersdorf"
"Zara Becker"	"Elma-Kronsteiner-Weg 1/4
7816 Gmunden"
"Univ.Prof. Annabell Löffler"	"Frankweg 5/9
4144 Sankt Johann im Pongau"
"Marcel Scharf"	"Anna-Rieser-Weg 654
8538 Neunkirchen"
"Edda Santner-Schmid"	"Magdalena-Wandl-Platz 3
5221 Zell am See"
"Jakob Kaufmann"	"Aurelio-Kapeller-Platz 5/4
1766 Trieben"
"Oliver Nagel-Haumer"	"Gustav-Gritsch-Straße 3
1239 Hainburg an der Donau"
"Timon Maier"	"Schlagerstraße 49
7026 Schrattenthal"
"Univ.Prof. Elsa Keller"	"Maierring 282
8099 Schwaz"
"Adriano Hauer"	"Cecilia-Neulinger-Platz 4/1
5306 Geras"
"Benedict Sulzer"	"Niederlgasse 66
5226 Wels"
"Stefanie Fleischhacker"	"Karrerring 23
2491 Radstadt"
"Christian Ladner-Kahr"	"Mara-Schmuck-Weg 78
6409 Klosterneuburg"
"Fiona Walser"	"Weissenböckgasse 6
9601 Marchegg"
"Hubert Siegl"	"Haidengasse 0
1491 Purbach am Neusiedler See"
"Eda Eberl"	"Reiterstraße 176
7528 Spittal an der Drau"
"Eva Rosenberger"	"Lamplplatz 75
4603 Sankt Veit an der Glan"
"Dipl.-Ing. Philip Langer"	"Hacklring 8
6375 Groß-Siegharts"
"Nelly Meier"	"Henri-Trinkl-Weg 091
8717 Haag"
"Adriano Neulinger"	"Stücklerweg 404
4811 Ternitz"
"Lilli Lindner"	"Gabriela-Hinterleitner-Ring 5/4
4062 Straßburg"
"Dr. Selma Tischler"	"Franzplatz 24
8857 Bad Sankt Leonhard im Lavanttal"
"Fabio Kessler"	"Pia-Stern-Straße 36
4126 Bruck an der Mur"
"Oskar Decker"	"Zechmeisterstraße 6
2613 Weitra"
"Dr. Emilija Bäck"	"Bucheggergasse 0
9679 Herzogenburg"
"Ela Klaus"	"Unterbergerstraße 04
2342 Gleisdorf"
"Liliana Fankhauser"	"Farkasweg 314
8251 Zell am See"
"Petra Klein"	"Noah-Neulinger-Ring 8
2380 Attnang-Puchheim"
"Univ.Prof. Jasper Schmidt"	"Lacknerstraße 78
9077 Bruck an der Mur"
"Adriano Sammer"	"Karim-Jost-Weg 20
5679 Ebreichsdorf"
"Rachel Kolm"	"Hinterbergerring 5/2
9582 Korneuburg"
"Fabio Nöbauer"	"Kollerplatz 28
9274 Litschau"
"Luca Sammer"	"Klausnergasse 9
4573 Leoben"
"Lea-Sophie Loibl"	"Schwendingerstr. 6/7
3119 Pulkau"
"Herr Mark Hufnagl"	"Fischergasse 372
5347 Bad Leonfelden"
"Elisabeth Aigner"	"Klara-Walch-Weg 23
2743 Gänserndorf"
"Timon Rabl"	"Eric-Neureiter-Weg 56
3909 Rottenmann"
"Isabella Juen"	"Ronya-Brandstätter-Gasse 5/1
5438 Deutsch-Wagram"
"Erwin Kurzmann"	"Konrad-Reinbacher-Gasse 58
8088 Hainfeld"
"Adriano Wimmer"	"Manuela-Lenz-Platz 7/6
5788 Hainfeld"
"Lars Rauscher"	"Lennart-Adam-Ring 7
4894 Rottenmann"
"Dipl.-Ing. Selin Schinnerl"	"Angelo-Taucher-Weg 323
6563 Raabs an der Thaya"
"Nils Bergmann"	"Tischlerstr. 619
9700 Völkermarkt"
"Isabel Schinnerl"	"Mathias-Jahn-Straße 3
2785 Deutsch-Wagram"
"Anna Singer-Salzer"	"Luka-Rupp-Weg 005
1285 Linz"
"Rene Neumeister-Taferner"	"Elena-Hutterer-Ring 9
6185 Oberwälz"
"Antonius Gosch"	"Leticia-Handl-Platz 3/2
4927 Friesach"
"Mario Hofinger"	"Peter-Bernhard-Gasse 2
4557 Freistadt"
"Nora Putz"	"Starkstr. 7
2291 Gleisdorf"
"Ajna Bachler"	"Pollakstr. 80
4289 Murau"
"Yasmina Zehetner-Mayerhofer"	"Beckerstraße 2
9038 Langenlois"
"Mira Schubert-Pieber"	"Leoni-Kain-Ring 3
7431 Judenburg"
"Luis Ackerl"	"Burgstallerstr. 591
6675 Laakirchen"
"Nora Traxler"	"Rudolfplatz 375
4071 Laa an der Thaya"
"Benedikt Deutschmann"	"Lilli-Wieser-Platz 4/4
9856 Hainfeld"
"Bruno Scharinger"	"Selena-Gasser-Ring 60
8613 Pöchlarn"
"Anna-Lena Marx"	"Schusterstr. 0
6538 Vöcklabruck"
"Ing. Annalena Arnold"	"Georg-Prinz-Platz 9
7275 Zell am See"
"Bernhard Schönberger"	"Feichtingerstraße 6/6
8835 Sankt Veit an der Glan"
"Ajna Enzinger"	"Steinlechnerplatz 04
4785 Drosendorf-Zissersdorf 1"
"Angelo Hollaus-Prantl"	"Baderplatz 41
8910 Pulkau"
"Alex Hofstetter"	"Maximilian-Holzinger-Gasse 584
5587 Bruck an der Mur"
"Dipl.-Ing. Annalena Kahr"	"Lorenzo-Weissenböck-Platz 71
1961 Rohrbach in Oberösterreich"
"Peter Achleitner"	"Mayrhoferstraße 2
3824 Rattenberg"
"Frau Paulina Gangl"	"Lara-Sophie-Prem-Platz 014
5806 Wieselburg"
"Vito Aichinger"	"Weinbergerring 522
4895 Landeck"
"Marie-Louise Staudinger"	"Fleckstr. 4/1
6540 Radenthein"
"Arda Strasser"	"Richard-Holler-Weg 9/1
7611 Bad Aussee"
"Melisa Barth-Hofstätter"	"Kronbergerstraße 274
3538 Ansfelden"
"Ajna Kaufmann"	"Emil-Günther-Weg 3
4078 Hainfeld"
"Aron Zeller-Weiss"	"Hechenbergerplatz 883
3786 Wiener Neustadt"
"Ricardo Plattner"	"Kristina-Oberndorfer-Weg 2
4336 Gmünd"
"Kevin Holzmann"	"Pascal-Wiesinger-Platz 835
9423 Vöcklabruck"
"Elina Grundner"	"Mairhoferstr. 5/3
3220 Saalfelden am Steinernen Meer"
"Karina Schuller"	"Kolarplatz 076
2577 Eferding"
"Pia Hinterleitner"	"Joststraße 7
6430 Wieselburg"
"Herr Laurenz Thurner"	"Nemethstr. 555
9849 Mödling"
"Anna Stark"	"Arthur-Steinbacher-Ring 8/1
6745 Freistadt"
"Ing. Ruben Geisler"	"Ackerlring 2
9944 Traismauer"
"Ajna Rudolf"	"Selena-Lackner-Straße 8/2
1200 Gmünd"
"Christina Jandl-Fürst"	"Plattnerweg 2/5
2712 Waidhofen an der Thaya"
"Manuel Kessler"	"Strohmayerring 5/4
1296 Marchtrenk"
"Rosalie Sperl"	"Zeilerstraße 615
8555 Maissau"
"Tim Kerschbaum"	"Lichteneggerplatz 00
3110 Weiz"
"Alexander Riedl"	"Marius-Hainzl-Straße 4/9
2355 Amstetten"
"Dipl.-Ing. Teodor Hebenstreit"	"Konrad-Pohl-Ring 6/8
3713 Bleiburg"
"Emmanuel Aichinger-Scheidl"	"Andreas-Rieger-Weg 16
8351 Weitra"
"Dipl.-Ing. Amelia Lintner"	"Marcus-Leeb-Platz 42
1972 Lilienfeld"
"Luise Höfer"	"Schuhstraße 66
6614 Drosendorf-Zissersdorf 1"
"Ajna Strohmeier"	"Larissa-Mitterer-Ring 5
5591 Klosterneuburg"
"Patricia Brandner"	"Leonard-Trattner-Weg 3/8
4607 Peuerbach"
"Mara Schober-Riedl"	"Bruggerstraße 79
3496 Schwaz"
"Lina Berner"	"Gallerstraße 6
4333 Enns"
"Rosa Hummer"	"Kevin-Simic-Straße 0/6
1372 Heidenreichstein"
"Dennis Augustin-Krug"	"Zangerlgasse 01
6950 Lienz"
"Carlo Fehringer"	"Marvin-Schatzl-Straße 97
4815 Kapfenberg"
"Adam Fröhlich-Berchtold"	"Philip-Kugler-Gasse 6/1
8349 Feldbach"
"Univ.Prof. Jonas Pinter"	"Kochring 1/2
7267 Knittelfeld"
"Lara Schmölzer-Bock"	"Braunweg 3/9
6812 Krems an der Donau"
"Ajna Wenzl"	"Matheo-Ostermann-Platz 5/0
4845 Attnang-Puchheim"
"Mario Mühlbacher-Seidl"	"Pirkerstr. 83
6791 Stadtschlaining"
"Jan Heigl"	"Melissa-Wilhelm-Straße 2/9
8237 Schwechat"
"Eric Schröder"	"Heinzlstr. 16
6892 Hardegg"
"Luis Steinberger"	"Rosa-Lichtenegger-Ring 29
7215 Schwanenstadt"
"Maya List"	"Kristian-Ramsauer-Weg 233
4086 Gleisdorf"
"Ismail Gutmann"	"Carla-Schönberger-Weg 8
9197 Laa an der Thaya"
"Evelyn Eibl-Sieber"	"Reitbauerplatz 37
5452 Marchtrenk"
"Theodora Fleischmann-Beck"	"Linnea-Ender-Ring 6
7281 Wiener Neustadt"
"Natalie Edlinger"	"Arda-Neulinger-Gasse 0/7
9101 Köflach"
"Alan Aigner"	"Levi-Puchner-Straße 3/9
4963 Marchegg"
"Alex Köhler"	"Cornelius-Schlager-Platz 1/0
3730 Bischofshofen"
"Frau Carlotta Jahn"	"Leonora-Rechberger-Weg 2/7
4816 Marchegg"
"Konrad Landl"	"Haindlgasse 01
3059 Fürstenfeld"
"Annalena Kerschbaumer-Engel"	"Baldaufgasse 3/7
5620 Feldkirch"
"Viola Schwarz"	"Hutterring 20
2295 Neulengbach"
"Leopold Hirsch"	"Grasserring 6/4
9967 Schärding"
"Henry Schwab"	"Kasperplatz 20
3866 Graz"
"Prof. Ferdinand Lettner"	"Philipp-Mitteregger-Straße 5
1012 Bad Hall"
"Rayana List"	"Windhagerplatz 00
3622 Rattenberg"
"Alan Feichter"	"Luana-Hemetsberger-Weg 48
2279 Laakirchen"
"Beni Nagel-Wöhrer"	"Karina-Penz-Ring 5
9785 Eisenstadt"
"Univ.Prof. Sabine Stark"	"Ernstring 07
7259 Liezen"
"Josefine Schweighofer-Rieder"	"Elisa-Eichhorn-Gasse 74
5755 Jennersdorf"
"Prof. Mika Zöchling"	"Lotte-List-Platz 783
4259 Mürzzuschlag"
"Sandro Kessler"	"Claudia-Kohler-Gasse 899
3690 Frohnleiten"
"Ing. Justus Neumüller"	"Sommerstraße 18
7191 Bleiburg"
"Vito Bodner"	"Amannweg 3
1153 Jennersdorf"
"Gabriela Breuer-Schachner"	"Justus-Scholz-Weg 12
3144 Hardegg"
"Dr. Madeleine Prantl"	"Mathias-Stummer-Gasse 9/8
6300 Traiskirchen"
"Alan Höglinger-Nußbaumer"	"Walchstraße 567
1319 Dornbirn"
"Kyra Gartner"	"Julijana-Buchner-Gasse 81
8865 Schwechat"
"Bruno Schuler"	"Oberhoferring 91
7704 Sankt Pölten"
"Marc Heger"	"Rienerstr. 0/0
6025 Steyregg"
"Henri Veit"	"Sabine-Stöger-Weg 727
6344 Neumarkt am Wallersee"
"Milo Kurzmann"	"Seilerring 914
4292 Güssing"
"Rosalie Stadlbauer-Kirschner"	"Leticia-Egger-Platz 900
4899 Braunau am Inn"
"Adam Hofstätter"	"Tauberring 070
7380 Bad Leonfelden"
"Ferdinand Glück"	"Marvin-Glück-Straße 1/8
7580 Bad Radkersburg"
"Luis Grabher-Freitag"	"Neuwirthring 8/5
9055 Lienz"
"Alan Rottensteiner"	"Hauserring 8/6
6708 Traiskirchen"
"Dr. Sandro Reinbacher"	"Leopoldgasse 928
2035 Imst"
"Nadja Fritsch-Sigl"	"Ulrichring 49
1489 Bleiburg"
"Bianca Kohler"	"Marijana-Klinger-Gasse 8/9
3085 Leoben"
"Lora Schuh"	"Karl-Rosner-Gasse 52
8355 Bleiburg"
"Felix Gross"	"Aurora-Weiser-Platz 71
1695 Rattenberg"
"Josef Bacher"	"Gabriela-Köhler-Platz 991
5362 Stadtschlaining"
"Nelly Müllner-Widhalm"	"Oliver-Gattringer-Straße 6/0
2325 Pulkau"
"Rayana Hofstätter"	"Thalhammergasse 042
3638 Schrems"
"Franz Meindl"	"Ina-Kronberger-Ring 81
9441 Sankt Andrä im Lavanttal"
"Alan Widhalm"	"Walchstr. 45
4682 Wels"
"Lino Kober"	"Lammerstr. 4/0
4136 Mödling"
"Yvonne Bösch"	"Cornelius-Hofmann-Platz 204
8316 Zistersdorf"
"Mike Klausner"	"Götzstr. 8/6
6565 Pinkafeld"
"Nico Leitner"	"Mara-Zenz-Platz 44
7618 Poysdorf"
"Dr. Milica Lindinger"	"Bognerring 76
6748 Wilhelmsburg"
"Dominik Probst"	"Pascal-Schöpf-Weg 4/1
4067 Freistadt"
"Luise Schweighofer"	"Joseph-Ladner-Straße 661
6720 Gänserndorf"
"Dipl.-Ing. Lucie Dangl"	"Lionel-Artner-Weg 54
1516 Schwaz"
"Miriam Schöffmann"	"Berra-Ertl-Platz 6
5867 Mistelbach an der Zaya"
"Alan Wiesner"	"Maderplatz 29
1474 Pöchlarn"
"Noah Aigner"	"Nika-Keller-Straße 8
9963 Salzburg"
