"Adolf Gorenc"|"Hribarjevo nabrežje 6a
7288 Kobarid"
"Bruno Kalan"|"Ulica Nade Čamernikove 1
6549 Trbovlje"
"Stanka Žagar"|"Saškova ulica 11
0797 Škofja Loka"
"Nada Kotnik"|"Medenska cesta 4b
7274 Žiri"
"Jolanda Jug"|"Šišenska cesta 7c
5613 Žiri"
"Hermina Lavrič"|"Velikovška ulica 42
4398 Hrastnik"
"Erna Jerman"|"Draga 0b
5247 Logatec"
"Valentin Kuhar"|"Reška ulica 8c
0206 Jesenice"
"Uroš kuhar"|"Ramovševa ulica 2b
2127 Ormož"
"Aleksandra Rutar"|"Novo Polje, cesta XI 6a
9232 Turnišče"
"Adolf Zupan"|"Polje, cesta XLII 6a
4965 Metlika"
"Ernest Perko"|"Industrijska cesta 195
4015 Ravne na Koroškem"
"David Zakrajšek"|"Veselova ulica 3a
2109 Vrhnika"
"Boštjan Čuk"|"Bohinjčeva ulica 6c
3877 Radovljica"
"Metod Godec"|"Kotnikova ulica 5b
9704 Gornja Radgona"
"Rafael Stopar"|"Pod Trančo 2c
3568 Ribnica"
"Marko Popović"|"Ferberjeva ulica 70
9912 Kamnik"
"Rudolf Cerar"|"Polje, cesta XXX 903
7412 Ribnica"
"Rebeka Korošec"|"Hradeckega cesta 7a
6551 Lenart v Slovenskih goricah"
"Nina Žnidaršič"|"Hladilniška pot 4b
6997 Ljutomer"
"Adolf Zver"|"V Zalar 6c
8633 Trbovlje"
"Jaka Nemec"|"Stoženska ulica 81
1307 Turnišče"
"Marica volk"|"Hrvaška ulica 210
8308 Šoštanj"
"Janez Koren"|"Travniška ulica 45
2424 Koper"
"Klemen čeh"|"Ulica Janeza Pavla II. 6
6216 Šoštanj"
"Štefanija Kokalj"|"Čučkova ulica 7
4032 Ajdovščina"
"Aljoša Horvat"|"Lazarjeva ulica 7c
0182 Brežice"
"Karl Kovačič"|"Mestni trg 2c
4355 Gornji Grad"
"Martin Debeljak"|"Kuštrinova ulica 51
7779 Ptuj"
"Marinka Cvetko"|"Beljaška ulica 94
2707 Krško"
"Adolf žagar"|"Fani Grumove ulica 03
2871 Kamnik"
"Karol Šuštar"|"Marice Kovačeve ulica 0c
0532 Gornji Grad"
"Žiga Pirc"|"Pod Debnim vrhom 420
4097 Sežana"
"Maks Zajc"|"Cesta v Prod 1c
8292 Ajdovščina"
"Hermina Gorenc"|"Petrčeva ulica 257
9600 Vipava"
"Iztok petek"|"Kopališka ulica 6a
7327 Kočevje"
"Janez Sitar"|"Hajdrihova ulica 1c
4207 Žalec"
"Amalija Godec"|"Železnikarjeva ulica 13
4718 Radeče"
"Tadeja Pirnat"|"Snežniška ulica 5
1418 Celje"
"Bruno Rožič"|"Kardeljeva ploščad 7b
1755 Ruše"
"Adrijana Jamnik"|"Podrožniška pot 0c
8797 Jesenice"
"Dejan Lesjak"|"Knezova ulica 68
6370 Ruše"
"Daniela Čuk"|"Cesta v Zeleni log 6
2781 Višnja Gora"
"Pavla Hribernik"|"Puterlejeva ulica 98
4822 Metlika"
"Rozalija Gregorič"|"Pot v Čeželj 6a
2094 Postojna"
"Karmen Javornik"|"Kraška ulica 8a
6578 Sežana"
"Dragica Tomažič"|"Cesta v Dvor 040
9166 Idrija"
"Stanislava Hozjan"|"Za opekarno 308
6171 Ruše"
"Anže Simonič"|"Hauptmanca 870
3525 Kamnik"
"Josip Lavrič"|"V dolini 312
1027 Idrija"
"Adrijana Knez"|"Blasnikova ulica 625
9136 Vrhnika"
"Irma Košir"|"Kladezna ulica 8
0386 Gornja Radgona"
"Kaja čeh"|"Kopitarjeva ulica 1c
8597 Sežana"
"Samo Rozman"|"Tkalska ulica 96
6774 Bovec"
"Nina Rožič"|"Cesta v Zgornji log 2
8591 Prevalje"
"Borut Mrak"|"Pilonova ulica 046
8651 Žiri"
"Tim Bregar"|"Mladinska ulica 0c
7901 Nova Gorica"
"Jasna Mrak"|"Rožna dolina, cesta VIII 570
8002 Bovec"
"Magdalena Žnidaršič"|"Ulica Tončke Čečeve 3c
8937 Šoštanj"
"Slavko Lavrič"|"Molekova ulica 4
3715 Železniki"
"Adrijana Kobal"|"Italijanska ulica 8b
4175 Ruše"
"Anja Popović"|"Flajšmanova ulica 0c
9115 Slovenske Konjice"
"Franci Mlinar"|"Raičeva ulica 9c
2964 Jesenice"
"Aljoša Majcen"|"Kančeva ulica 406
8615 Brežice"
"Marta Ambrožič"|"Slape 736
3986 Ormož"
"Kristijan Zalokar"|"Medarska ulica 64
5365 Tržič"
"Matic Simonič"|"Kuhljeva cesta 5a
8523 Izola"
"Lucija Kramberger"|"Štradon čez Prošco 9c
9099 Jesenice"
"Štefanija Lesjak"|"Bratislavska cesta 335
6326 Litija"
"Sandra Vidmar"|"Pavlovčeva ulica 2b
0951 Gornji Grad"
"Adrijana Koren"|"Gledališka stolba 6c
2765 Kočevje"
"Darja petek"|"Ulica Angelce Ocepkove 234
4916 Trbovlje"
"Zdenka Kocjančič"|"V Zalar 258
5005 Črnomelj"
"Marijan Golob"|"Vandotova ulica 8
8326 Višnja Gora"
"Ciril Petek"|"Milčetova pot 18
6010 Škofja Loka"
"Rafael Maček"|"Rožanska ulica 1a
2919 Rogaška Slatina"
"Miroslava Rožman"|"Pečnikova ulica 9c
8354 Tržič"
"Edvard Hribernik"|"Kosova ulica 07
7369 Bovec"
"Matjaž Bevc"|"Glinška ulica 6b
7956 Logatec"
"Jolanda Vidovič"|"Čepovanska ulica 31
6668 Ljutomer"
"Adrijana Sever"|"Dolenjska cesta 8c
8411 Ljutomer"
"Edin Kodrič"|"Kratka steza 808
7638 Jesenice"
"Sebastijan Rajh"|"Prinčičeva ulica 0c
4053 Kobarid"
"Alenka Zorman"|"Kolarjeva ulica 891
6618 Lendava"
"Valter Kovačič"|"Hotimirova ulica 1a
6501 Laško"
"Valentin Kolarič"|"Pod bukvami 6b
4206 Turnišče"
"Špela Ilić"|"Usnjarska ulica 83
5753 Medvode"
"Matic Potočnik"|"Spodnji Rudnik V 1
1840 Trbovlje"
"Roman Rozman"|"Zbašnikova ulica 3c
0253 Postojna"
"Breda Javornik"|"Ulica Polonce Čude 2a
8581 Kobarid"
"Ajda Cerar"|"Tesovnikova ulica 30
3220 Nova Gorica"
"Marinka Kolenc"|"Gozdna pot 5b
2934 Zagorje ob Savi"
"Tadej Mihelič"|"Detelova ulica 8a
3828 Grosuplje"
"Jožef Mlinarič"|"Osterčeva ulica 3
9046 Ribnica"
"Stojan Zupanc"|"Klemenova ulica 0a
0802 Ptuj"
"Josip Tomažič"|"Kuzmičeva ulica 3
0808 Medvode"
"Anja Vidovič"|"Znamenjska ulica 58
6994 Bled"
"Avgust Jelen"|"Štradon čez Prošco 6
0981 Kobarid"
"Alojzij Kokol"|"Ažmanova ulica 38
3607 Slovenska Bistrica"
"Ciril Tratnik"|"Kolodvorska ulica 6b
6379 Grosuplje"
"Ajda Zakrajšek"|"Ulica Milana Majcna 7b
8821 Šempeter pri Gorici"
"Maja Čuk"|"Ruska ulica 32
1298 Radovljica"
"Marija Kolenc"|"Pod Debnim vrhom 16
6790 Maribor"
"Marinka Kočevar"|"Putrihova ulica 5
8295 Brežice"
"Rudolf Sušnik"|"Trg 9. maja 5c
0020 Lenart v Slovenskih goricah"
"Lucija Hrovat"|"Ulica Franca Nebca 908
9718 Trbovlje"
"Slavko Blatnik"|"Kleče 2c
1416 Sežana"
"Aljaž Pavlin"|"Dolgi most 0a
9744 Dravograd"
"Zvonka Rožič"|"Levarjeva ulica 3c
8112 Turnišče"
"Kristjan Demšar"|"Znamenjska ulica 7c
8610 Idrija"
"Albert Krivec"|"Svetčeva ulica 361
3148 Tolmin"
"Dejan Resnik"|"Pod jezom 7
5006 Slovenske Konjice"
"Antonija Hodžić"|"Kuzmičeva ulica 6
4004 Maribor"
"Roman Resnik"|"Šubičeva ulica 130
0586 Ljubljana"
"Veronika Blatnik"|"Ulica 7. septembra 7
7231 Ravne na Koroškem"
"Stjepan Kolarič"|"Adamič-Lundrovo nabrežje 25
2788 Turnišče"
"Slobodan Babič"|"Windischerjeva ulica 26
7575 Maribor"
"Romana Dolenc"|"Ulica Jožeta Japlja 0c
8573 Slovenske Konjice"
"Goran Kolar"|"Ulica Hermana Potočnika 3c
1436 Mežica"
"Tjaša Zver"|"Predor pod Gradom 0a
4892 Trbovlje"
"Albert Mlakar"|"Novo naselje 3b
1398 Jesenice"
"Vid Zupanc"|"Krivec 6
0886 Sežana"
"Monika Nemec"|"Žabjak 5
3115 Logatec"
"Martina Kovač"|"Gruberjevo nabrežje 8
8265 Slovenska Bistrica"
"Kristjan Toplak"|"Pot na Golovec 0c
9983 Laško"
"Jadranka Dolinar"|"Novo Polje, cesta V 114
0286 Kamnik"
"Saša Tratnik"|"Blasov breg 9c
5226 Sežana"
"Anže Ilić"|"Ulica bratov Jančar 7c
4370 Škofja Loka"
"Karolina Čeh"|"Jalnova ulica 260
5836 Domžale"
"Drago Volk"|"Pot na Gradišče 181
3077 Mežica"
"Albert Pirc"|"Zatišje 6a
5191 Sežana"
"Slavko Kotnik"|"Majorja Lavriča ulica 6a
0266 Logatec"
"Karmen Krajnc"|"Lahova pot 139
7329 Rogaška Slatina"
"Miro Zalokar"|"Veliki štradon 05
5269 Šentjur"
"Tilen Mrak"|"Pot v Čeželj 74
1174 Kočevje"
"Jelka ribič"|"Kavškova ulica 981
3178 Višnja Gora"
"Marko petek"|"Kmečka pot 7a
2161 Železniki"
"Sanja Košir"|"Kumerdejeva ulica 1c
9919 Ormož"
"Franjo Žižek"|"Tbilisijska ulica 547
0446 Nova Gorica"
"Zora Krajnc"|"Štembalova ulica 6c
3404 Idrija"
"Albert Pirnat"|"Poljska pot 7a
0298 Slovenj Gradec"
"Robert Volk"|"Žerjalova ulica 0c
3360 Idrija"
"Ljubica Kuhar"|"Zasavska cesta 1a
5205 Idrija"
"Jaka Korošec"|"Valjavčeva ulica 1b
1727 Kočevje"
"Tine Žnidaršič"|"Ulica Lizike Jančarjeve 6
7242 Novo mesto"
"Miran Šinkovec"|"Cesta na Ježah 865
5984 Ptuj"
"Viktorija Kosi"|"Mirje 9
2948 Gornji Grad"
"Aljaž Klemenčič"|"Pretnarjeva ulica 2b
0070 Kranj"
"Marko Zorman"|"Ulica 24. avgusta 2a
7787 Medvode"
"Brigita Debeljak"|"Tivolska cesta 6c
3953 Idrija"
"Albert Ramšak"|"Zvezda 8
0104 Cerknica"
"Dejan Žnidaršič"|"Peršinova cesta 2
0266 Ptuj"
"Simona Tomšič"|"Merčnikova ulica 2b
1589 Turnišče"
"Ajda Debeljak"|"Setnikarjeva ulica 6
7965 Ribnica"
"Bogomir Zupančič"|"Toplarniška ulica 4
2438 Brežice"
"Miha Rupnik"|"Artačeva ulica 7c
7032 Metlika"
"Damjana Kokol"|"Dolgi breg 405
1667 Litija"
"Romana Žibert"|"Zadobrovška cesta 0a
2029 Novo mesto"
"Hana Železnik"|"Na jami 8c
7137 Krško"
"Marjana Filipič"|"Staničeva ulica 4a
6991 Turnišče"
"Albin Ilić"|"Hacetova ulica 6b
4778 Žalec"
"Matilda Primožič"|"Stritarjeva ulica 7b
9964 Vrhnika"
"Hedvika Novak"|"Polanškova ulica 3a
3040 Radovljica"
"Klara Štrukelj"|"Funtkova ulica 88
7027 Bled"
"Rudi Volk"|"Pot za razori 2c
9528 Gornja Radgona"
"Rebeka Krajnc"|"Ulica Rezke Dragarjeve 74
9829 Kobarid"
"Borut Hribernik"|"Gašperšičeva ulica 9
1392 Postojna"
"Rok Čuk"|"Drenikov vrh 566
6345 Lenart v Slovenskih goricah"
"Hasan Mihelič"|"Ulica Milana Majcna 3
7535 Višnja Gora"
"Matevž Bergant"|"Tugomerjeva ulica 75
8273 Vrhnika"
"Albin Mrak"|"Šinkov štradon 4c
4229 Ilirska Bistrica"
"Franci Pintarič"|"Njegoševa cesta 2
7945 Lenart v Slovenskih goricah"
"Bruno Rožič"|"Ovčakova ulica 4a
6108 Lendava"
"Slavka Korošec"|"Trnovska ulica 9c
1366 Šempeter pri Gorici"
"Davor Mlinarič"|"Ulica bratov Učakar 5a
7195 Litija"
"Daniel Kastelic"|"Flajšmanova ulica 1a
6430 Kočevje"
"Darko Gorenc"|"Ulica Jožeta Japlja 645
8088 Maribor"
"Stjepan Šuštar"|"Proletarska cesta 43
1371 Ruše"
"Albina Bergant"|"Mlinska pot 185
4641 Šentjur"
"Aleksandar Golob"|"Borutova ulica 1b
4999 Slovenska Bistrica"
"Albina Gomboc"|"Murkova ulica 8b
6420 Jesenice"
"Alen Jamnik"|"Levarjeva ulica 9a
4921 Višnja Gora"
"Antonija Resnik"|"Zadružna ulica 080
0981 Prevalje"
"Lilijana Jamnik"|"Dolenjska cesta 0b
3708 Turnišče"
"Janez Lesjak"|"Vrhovci, cesta XV 33
0402 Metlika"
"Vladimir Bregar"|"Porentova ulica 32
0949 Lenart v Slovenskih goricah"
"Edin Ambrožič"|"Cesta na Urh 3a
8865 Trebnje"
"Davorin Mlinarič"|"Poklukarjeva ulica 6c
5494 Trbovlje"
"Damir Zorman"|"Ameriška ulica 5
3351 Sežana"
"Miroslava Petek"|"Strniševa cesta 993
6186 Škofja Loka"
"Albina Hrovat"|"Bratov Kunovarjev ulica 07
6011 Izola"
"Tine Koželj"|"Selanova ulica 982
2891 Slovenska Bistrica"
"Zvonko Eržen"|"Novinarska ulica 020
1870 Medvode"
"Marica Demšar"|"Lunačkova ulica 9a
4194 Sežana"
"Kristina Vidovič"|"Kolmanova ulica 4a
8442 Vrhnika"
"Ludvik Kobal"|"Pri borštu 77
6975 Turnišče"
"Viktor Zorko"|"Stražarjeva ulica 789
0583 Izola"
"Aleksandar Rutar"|"Polje, cesta XXX 5a
6985 Šempeter pri Gorici"
"Matilda Pintar"|"Dvorakova ulica 3b
1645 Kostanjevica na Krki"
"Matjaž Bajc"|"Med hmeljniki 706
8975 Cerknica"
"Albina Leskovar"|"Stari trg 2b
3590 Sevnica"
"Tim Kodrič"|"Godeževa ulica 15
3192 Krško"
"Zvonko Koželj"|"Setnikarjeva ulica 7c
4858 Črnomelj"
"Matilda Bukovec"|"Pogačarjev trg 6b
4299 Ljutomer"
"Ivo Tavčar"|"Glinškova ploščad 4b
3768 Kranj"
"Davorin Lah"|"Marice Kovačeve ulica 1
3639 Turnišče"
"Zdenko Erjavec"|"Polakova ulica 9b
8068 Ormož"
"Vesna petek"|"Predor pod Gradom 5c
1859 Prevalje"
"Slavica Zalokar"|"Svetčeva ulica 4c
8389 Piran"
"Leon Vidmar"|"Levarjeva ulica 1
8024 Logatec"
"Albina Rupnik"|"Skapinova ulica 2b
8658 Litija"
"Drago Babič"|"Wolfova ulica 1b
0969 Krško"
"Albina Lah"|"Artačeva ulica 8
4358 Cerknica"
"Stanka Jarc"|"Pilonova ulica 433
6693 Celje"
"Ana Pirnat"|"Vrbovec 90
2039 Ribnica"
"Dušan Tomšič"|"Stara Ježica 7c
6810 Laško"
"Ksenija Korošec"|"Jerajeva ulica 8b
7072 Gornji Grad"
"Antonija Dolinar"|"Vrhovci, cesta XII 3b
1870 Kamnik"
"Tadeja Tratnik"|"Turnsko nabrežje 9c
0725 Žalec"
"Mihaela Jereb"|"Kalinova ulica 21
5974 Mežica"
"Aleks Bajc"|"Svetčeva ulica 1
6354 Velenje"
"Maj Kokalj"|"Ulica Franca Nebca 9b
3116 Logatec"
"Lara Zver"|"Mazovčeva pot 8
8718 Ribnica"
"Aljoša Šuštar"|"Pod Kamno gorico 808
1027 Prevalje"
"Sonja Gomboc"|"Bizovški štradon 0c
7684 Celje"
"Ladislav Kranjc"|"Strugarska ulica 7a
3397 Laško"
"Emilija Lah"|"Wolfova ulica 2c
5312 Domžale"
"Kristijan Turk"|"Bohoričeva ulica 3
1088 Tolmin"
"Marinka Čeh"|"Ulica 24. avgusta 655
8714 Slovenske Konjice"
"Valerija Petek"|"Ulica bratov Martinec 65
3125 Lenart v Slovenskih goricah"
"Aleks Hribernik"|"Zajčeva pot 1b
3415 Prevalje"
"Jernej Demšar"|"Božičeva ulica 0
0231 Šentjur"
"Andreja Sitar"|"Cesta v hrib 24
9574 Domžale"
"Igor Horvat"|"Novo Polje, cesta XI 84
5969 Tolmin"
"Erna Novak"|"Snebersko nabrežje 8
7013 Ljubljana"
"Hasan Kokalj"|"Knezov štradon 4b
1764 Grosuplje"
"Mihaela Gorenc"|"Gradišče 2c
0835 Ljubljana"
"Vincenc Rozman"|"Slovenčeva ulica 495
0554 Trebnje"
"Josip Dolenc"|"Štajerska cesta 9b
1593 Slovenj Gradec"
"Andrejka Lah"|"Kozinova ulica 45
6908 Sežana"
"Aleks Logar"|"Hribarjevo nabrežje 7c
9734 Kobarid"
"Timotej Kokol"|"Teslova ulica 7c
1577 Izola"
"Davorin Gorjup"|"Gosposka ulica 7b
3381 Slovenska Bistrica"
"Metka Pavlin"|"Kosova ulica 6b
9440 Slovenska Bistrica"
"Nenad Štrukelj"|"Ulica Lovre Klemenčiča 2
7487 Ljutomer"
"Jasmin Pečnik"|"Ribniška ulica 8a
9878 Gornji Grad"
"Domen Zupanc"|"Puhtejeva ulica 9a
9442 Dravograd"
"Srečko Krajnc"|"Breznikova ulica 0c
0713 Kostanjevica na Krki"
"Bernard Miklavčič"|"Tesna ulica 1
5730 Žiri"
"Anica Dolinar"|"Rosna pot 6b
0592 Piran"
"Aleks Markovič"|"Kurirska ulica 00
2350 Kobarid"
"Zlatko Bergant"|"Grobeljska pot 6c
8420 Ptuj"
"Simon Eržen"|"Latinski trg 2b
6746 Mengeš"
"Albert Jelen"|"Seunigova ulica 8b
7208 Brežice"
"Karmen Breznik"|"Mlake 3a
8845 Kranj"
"Hasan Petrovič"|"Žerjalova ulica 80
8946 Kranj"
"Jelka Bajc"|"Pri malem kamnu 2
9774 Maribor"
"Irma Resnik"|"Selanov trg 676
4092 Ptuj"
"Jerica Lah"|"Cerkniška ulica 7
6394 Vipavski Križ"
"Gregor petek"|"Demšarjeva cesta 3c
0278 Logatec"
"Aleks Pavlič"|"Na gaju 2c
1027 Grosuplje"
"Jadranka Jelen"|"Berdajsova ulica 4c
4043 Idrija"
"Miloš Bregar"|"Breg 1b
5722 Piran"
"Miha Černe"|"Hladilniška pot 42
4467 Laško"
"Jasna Stopar"|"Čopova ulica 986
8508 Tolmin"
"Nikolaj Erjavec"|"Hubadova ulica 3b
6125 Novo mesto"
"Karl Kalan"|"Vodmatski trg 5c
4742 Vipavski Križ"
"Franjo Gorjup"|"Ključavničarska ulica 2c
5410 Novo mesto"
"Gal Lazar"|"Ulica Angele Ljubičeve 1b
9501 Krško"
"Jakob Ramšak"|"Kolarjeva ulica 2c
9074 Slovenj Gradec"
"Aleks Zver"|"Hlebčeva ulica 3c
2941 Rogaška Slatina"
"Metka Korošec"|"Lipahova ulica 63
7338 Trebnje"
"Darinka Lebar"|"Ulica Miroslava Turka 39
4344 Ljutomer"
"Anka Petrovič"|"Ravnikova ulica 8
6565 Izola"
"Zofija Lešnik"|"Groznikova ulica 07
9362 Dravograd"
"Igor Nemec"|"Tomažičeva ulica 60
4502 Lendava"
"Ajda Marolt"|"Prinčičeva ulica 7
2905 Celje"
"Samo Vidovič"|"Zajčeva pot 7a
9405 Škofja Loka"
"Luka Debeljak"|"Trg prekomorskih brigad 8b
3059 Trbovlje"
"Karol Zupanc"|"Cesta Ceneta Štuparja 93
9895 Sevnica"
"Aleksandar Kumer"|"Pavšičeva ulica 7c
1924 Cerknica"
"Tadej Hozjan"|"Lipahova ulica 3
6030 Žalec"
"Tadeja Maček"|"Lepi pot 3a
8273 Kobarid"
"Dejan Volk"|"Štajerska cesta 7b
1618 Ptuj"
"Manca Mlakar"|"Gornji Rudnik I 9c
3746 Mengeš"
"Damir Kotnik"|"Ulica Andreja Kumarja 8a
6170 Turnišče"
"Daniel Janežič"|"Ulica Lojzeta Spacala 6a
1827 Kranj"
"Alojzija Gorenc"|"Jakšičeva ulica 7a
8435 Domžale"
"Zlatko Kočevar"|"Stražarjeva ulica 780
6947 Novo mesto"
"Žiga petek"|"Živaličeva ulica 880
0971 Ormož"
"Aleksandar Lavrič"|"Gustinčičeva ulica 15
3112 Brežice"
"Petar Rajh"|"Bizovški štradon 7b
4986 Žalec"
"Silva Tratnik"|"Marušičeva ulica 57
2505 Grosuplje"
"Vera Pirc"|"Madžarska ulica 95
1441 Trbovlje"
"Alojzija žagar"|"Ogrinčeva ulica 5c
6163 Vipava"
"Mirjam Turk"|"Pod gabri 63
5488 Lendava"
"Alja Maček"|"Frenkova pot 7c
5908 Lenart v Slovenskih goricah"
"Boštjan Dolenc"|"Brglezov štradon 8
3352 Železniki"
"Eva Mlakar"|"Malnarjeva ulica 30
9165 Črnomelj"
"Franci Petek"|"Barjanska cesta 7c
9449 Domžale"
"Aleksandar Pavlič"|"Danile Kumarjeve ulica 7c
7277 Vrhnika"
"Štefanija Janežič"|"Mala vas 1a
4025 Mežica"
"Hana Hozjan"|"Cesta v Prod 6a
6764 Brežice"
"Slavica Koren"|"Grajzerjeva ulica 8c
1067 Izola"
"Maksimiljan Godec"|"Kolodvorska ulica 96
0994 Tržič"
"Peter Rozman"|"Planinškova ulica 4c
4081 Dravograd"
"Jolanda Erjavec"|"Dolgi breg 7c
1003 Kranj"
"Anja Kosi"|"Pegamova ulica 5c
5965 Sevnica"
"Jožefa Petek"|"Miklošičeva cesta 37
1796 Sevnica"
"Vlasta Potočnik"|"Tabor 3b
0252 Grosuplje"
"Aleksandar Tratnik"|"Kerševanova ulica 7a
7953 Litija"
"Lana Hočevar"|"Glonarjeva ulica 125
1611 Šempeter pri Gorici"
"Viljem Cerar"|"Kopališka ulica 227
2344 Piran"
"Magda ribič"|"Nadgoriška cesta 3
0432 Rogaška Slatina"
"Marjanca Železnik"|"Šentviška ulica 5a
0626 Gornji Grad"
"Darja Zorman"|"Cesta Urške Zatlerjeve 0b
5817 Šempeter pri Gorici"
"Zdenka Godec"|"Stegne 5c
7306 Ilirska Bistrica"
"Emilija Tratnik"|"Marčenkova ulica 5a
1610 Kamnik"
"Alojzija Mlinar"|"Marice Kovačeve ulica 89
2224 Mežica"
"Olga Dolinar"|"Zelenova ulica 543
9315 Mengeš"
"Aleksandar Zupanc"|"Hubadova ulica 8b
3402 Kobarid"
"Nives Breznik"|"Gornji Rudnik II 4c
1516 Maribor"
"Alojzij Lavrič"|"Gortanova ulica 4c
3265 Bled"
"Tim Hozjan"|"Gornji Rudnik I 0b
2378 Turnišče"
"Nejc Debeljak"|"Krakovski nasip 742
0557 Vipava"
"Lucija Tratnik"|"Ob Mejašu 627
8850 Sevnica"
"Vera čeh"|"Levstikov trg 7
6675 Tolmin"
"Stanislava Korošec"|"Lorenzova cesta 2b
2991 Dravograd"
