"Aaron Allen"	"PO Box 19
Wekanui 5389"
"Jesse Bowden"	"21 Moore Circle
RD 7
Raymonding 9519"
"Quinn Thompson"	"59 Ranginuku Trail
Evansleigh 6017"
"Laura Scott"	"79 Rototahirangi Street
O'Sullivanstone 6004"
"Tyler Simpson"	"66 Wharewhangangauru Crescent
Tahinui 2245"
"Abigail Prentice-McEwen"	"6 Pukemanawa Street
RD 7
Upper Kerrhaven 5172"
"Daniel Hansen-Reeves"	"Flat 19
556 Karen Plaza
Maungatoa 2690"
"Sharon Furness"	"7 Ball Cross
RD 10
Upper Goodwin Flats 5027"
"John Williamson"	"378 Webb Street
RD 5
Cartermouth 6949"
"Jeffrey Ramsay"	"5 Morgan Lane
Simpson Hill 9277"
"Joanne Freeth"	"725 Papaparoto Street
Henderson Flats 8482"
"Robyn Kennedy"	"4 Soper Crescent
New Larsenville 8435"
"Louise Jones"	"Level 1
6 Gill Road
Rohemotu 8464"
"Levi Davidson"	"453 Butcher-Gray Close
Whangamatanuku 8105"
"John Jackson"	"PO Box 295
Tererangimoko 6924"
"Adam Cook"	"722 Whakatauwhenua Arcade
RD 6
Manawapapapawhaka 8812"
"Grant Hutchinson"	"Suite 222
32 Millar Crest
Marsh Flats 2590"
"Wayne Woods"	"506 Barker Way
Jasonton 2148"
"Suzanne Prentice"	"Suite 902
31 Gaskin Street
Footeport 8016"
"Amelia Barnett"	"Apt. 194
6 Gill Road
Bevanborough 2204"
"Thomas Mitchell-Carroll"	"696 Renee Grove
South Shawside 6482"
"Paul Spencer"	"13 Kawaweka Alley
Scottburgh 5367"
"Anthony Hart"	"PO Box 8
Tipumaunga 2403"
"John Higgins"	"497 Thompson Street
RD 1
Powhakawhanga 8245"
"Maya Hickey"	"336 Koroiti View
Johnleigh 9012"
"Adam Edwards"	"940 Whakaroa Esplanade
Taukawakowhai 5032"
"Alison Ireland"	"Level 4
53 Kawaaramoko Street
Terepo 9422"
"Charlotte Armstrong"	"PO Box 631
Dunnville 5501"
"Gabrielle Banks"	"Apt. 750
89 Julie Street
Smithburgh 9055"
"Maia Rose"	"4 Smith-Clifford Concourse
Pikeborough 9470"
"Kay Matthews-Buchanan"	"237 Tererua Quay
Lake Harrison Flats 8121"
"John Eglinton"	"101 Ann Flats
Janiceland 9463"
"Sarah Campbell"	"604 Taylor Alleyway
Evansberg 3645"
"Paula Pratt"	"2 McLachlan-Nash View
Rotorua 9755"
"Jacob Osborne"	"2 Papapaawawhaka Avenue
Birdside 5072"
"Adam Forrest"	"132 Wainuku Circuit
Kimneath 6287"
"Sarah Ham"	"PO Box 95
Whangatahi 9840"
"Terina Wallis"	"813 Freeth-Poole Court
Tangiarawhitu 9233"
"Edward Kennedy"	"1 Gilmore-Weston Access
Moranberg 7736"
"Craig Cole-Smith"	"601 Duncan Mews
Maungaiti 5726"
"Sarah Cairns"	"PO Box 474
Hunterfort 4619"
"Katherine Foot"	"PO Box 13
Reynoldsings 6458"
"Jeremy Sutton"	"Flat 88
152 O'Connor Crescent
Teremoko 5755"
"Tyler Taylor"	"2 Maungatangi Crescent
Carterburgh 2149"
"Sarah Powell"	"Unit 69
5 Miller Gardens
Butchermouth 2522"
"Adam Giles"	"PO Box 74
Bartlettport 2458"
"Matthew Blick"	"Suite 523
2 Larsen Approach
Ngaurutoa 9661"
"Oscar Harper-Jensen"	"Apt. 911
2 Coleman-Nicholson Grove
North Jacksonborough 8070"
"Danielle Foot"	"PO Box 85
Whytebury 8647"
"Eden Fletcher-Blackwell"	"199 Batchelar Reserve
Kawaiti 8242"
"Emma McCallum-Pratt"	"Suite 602
2 Morton-Hopkins Place
Waikawa 9003"
"Edward Hickey"	"8 Duncan Causeway
Rowlandsleigh 5807"
"Rachel Hawkins"	"Apt. 573
265 Ward Street
Wharearamanawa 8443"
"Helen Clarke"	"116 Porohemaunga Way
Awatipumanawa 5794"
"Henry Dean"	"PO Box 763
Carolineport 2615"
"Adam Gunn-Kennedy"	"PO Box 8
Rohetangi 5296"
"Levi Kerr"	"5 Korowhangaroa Highway
Puketeretahi 7452"
"Brooklyn Larsen"	"PO Box 9
West Pritchard Hill 1819"
"Denise Sowman-Hooper"	"600 Poole Avenue
RD 4
Powhenua 9701"
"Joseph Freeth"	"8 Kawakawa Range Road
Manawamanawatere 3596"
"Amanda Munro"	"545 Rangihoro Street
Harrisgate 6075"
"Matthew Woods"	"7 Mason Avenue
Spencertown 0987"
"Michael Smith"	"28 Wakamata View
Tererua 9611"
"Sharon Smith"	"3 Twidle Crescent
Jarvisville 8863"
"Ethan Webb"	"PO Box 106
Waitahi 5024"
"Adam Healey"	"81 Whangawhakawhaka Circuit
Learmonthmouth 9288"
"Christopher Kennedy"	"46 Wood-Butler Centre
Terematapapapa 9007"
"Awhina Hart"	"39 Awakawaara Square
Wekarongo 9711"
"Alexander Guy"	"63 Tahikorotangi Street
RD 3
Whakapo 2559"
"David Shand"	"254 Dean Beach Road
Sophieing 8420"
"Ari Taylor"	"Apt. 781
5 Patchett Drive
Mokowhero 5271"
"Craig Eaton-Collis"	"PO Box 975
Port Freethleigh 6136"
"Richard Shannon"	"248 Whakaawa Cross
Kowhaitai 2661"
"Matthew Fitzgerald-Maxwell"	"Flat 11
3 Matatanga Way
Ngaururua 6439"
"Craig Powell"	"Flat 42
751 Pedersen Mews
Port Wardland 0579"
"Adam O'Connell"	"PO Box 6
Rangimatarohe 2173"
"Anne Jones"	"970 Blair Street
RD 6
Brownleigh 5329"
"Jasmine Jones"	"75 Michael Flats
Wardtown 3038"
"Daniel Casey-Knowles"	"59 Simon Court
Hardyleigh 8678"
"Benjamin Blackwell"	"3 Paton Crest
McCarthyburn 3028"
"Marcus McDonald"	"Unit 22
28 Shane Crescent
New Streetport 9371"
"Harmony North"	"8 Knight-Scott Cove
RD 4
Watersside 5274"
"Bridget Warren"	"PO Box 185
Rutherfordburgh 8094"
"Samuel Stewart"	"11 McDonald Arcade
Whakahanga 2145"
"David Cox"	"1 Pohanga Park
RD 4
Hoopermouth 5813"
"Adam O'Sullivan"	"5 Oliver Street
RD 5
Papapawhero 9337"
"Michelle Taylor"	"724 Wekawhitu Road
Whangarongo 2476"
"Colleen Anderson"	"22 Stokes Concourse
Papapatahitau 6180"
"Lindsay Holmes"	"892 Brooks-Jones View
Korohanga 5178"
"Dean Barnes"	"Suite 193
88 Patchett-O'Neill Street
Manawatipu 5307"
"Melanie Hogg-Chapman"	"51 Nikita Road
RD 6
Ngaurutere 9869"
"Shannon Henderson"	"PO Box 22
MacKenzieborough 8054"
"Penelope Brown"	"388 Horomokoweka Circuit
Stephenstone 6494"
"Harry Bond"	"56 Moran Broadway
RD 10
Matanuku 6225"
"Skyla Ward-Barnett"	"Level 9
299 Wheeler Avenue
Andersonton 2698"
"Adam Robb"	"Unit 89
800 Whakaara Alley
Waiwakanui 2428"
"Alan Jamieson"	"PO Box 75
Papapahanga 6102"
"Christopher McDonald"	"PO Box 908
Mataawaiti 6955"
"Andrea Low-Dean"	"166 Ngaurungauru Place
Stuartbury 5756"
"Jessica Jones"	"Level 1
626 Smith Flats
Antonyburn 5216"
"Thomas Nicholson"	"5 Rongowaka Rise
Gibbonsborough 5819"
"Jamie Thompson"	"994 Taylor Drive
RD 10
Waitoa 9522"
"Patricia Barrett"	"578 Potapu Street
Maungamotu 6103"
"Mikayla McEwen-Paton"	"9 Taukowhaipuke Cove
RD 4
Tipuwai 2353"
"Craig Williamson"	"4 Jones Street
Michelleside 5052"
"Adam Rogers"	"Apt. 288
65 Tangipuke Track
Maungatauiti 5894"
"Manawa Jenkins"	"635 Ward Keys
Buchananport 5556"
"Anthony Jensen"	"PO Box 82
Taiawa 2388"
"Helen Knowles"	"Level 8
29 Aratapu Approach
Shawneath 1085"
"Piper Smith"	"PO Box 74
Boycemouth 8629"
"Stephen Wall-Jackson"	"Apt. 878
67 Araroa Arcade
Papapapapaparangi 8444"
"Joseph Taylor"	"5 Hawkins Street
Jacobburgh 9755"
"Susan Burton"	"6 Puketapu Avenue
Motumotumaunga 9625"
"Robyn Reardon"	"6 Rangirohe Crescent
Tipuhoromaunga 6961"
"Manawa Anderson"	"2 Tangiranginui Square
RD 4
Taitburn 6252"
"Adam Sutton"	"Unit 38
87 Papapamotu Avenue
Sopermouth 5518"
"David Turnbull"	"804 Pratt Gardens
Taimokowaka 9887"
"Joanne Rodgers"	"PO Box 340
Browntown 5859"
"Wendy Powell"	"Suite 917
36 Brown Avenue
Port Footland 5102"
"Amanda Fuller"	"Unit 86
1 Cox Way
Upper Hoaremouth 6207"
"Rachael Johnstone"	"967 Cox Terrace
Boonmouth 2369"
"Connor Hayes"	"462 Freeman Beach Road
Aitkenburgh 6948"
"James Gilbert-Kendall"	"PO Box 200
Waiiti 9789"
"Andrea Lowe-Stone"	"8 Wharekawamanawa Street
RD 4
Manawatahi 4921"
"Isaac Nash"	"Suite 952
56 Rongotahi Lane
Wekaweka 8804"
"Adrian Barrett"	"PO Box 40
Puketoa 7753"
"Nikita Jones"	"Level 3
4 Matatairangi Cove
Rickardneath 9825"
"Susan Sullivan"	"50 Gibson Circle
Poawa 9463"
"Joanne Hayward"	"1 Murphy-Hansen Street
RD 3
Awawai 9812"
"Jason Bartlett"	"Level 6
5 MacKay Pass
Jamiesonland 8102"
"David Burnett"	"270 Tahiwekatangi Corner
Terewhaka 8201"
"Jason Williamson"	"250 Tracey Avenue
Jeffriestown 2330"
"Emma Smith"	"353 Tahipuke Way
Waimarietown 5891"
"Carl Tait"	"8 Brown-Powell Place
Pukeawa 9429"
"Dean Flood"	"3 Miller Point
Mokomotuiti 9707"
"Adrian Griffiths"	"341 Mokorangi Arcade
RD 4
Jacksonings 8960"
"Maria Hart"	"2 Bird Alleyway
Wakawhangatipu 9393"
"Martin Smith"	"9 MacKenzie-Kerr Street
RD 5
Whangawhero 7396"
"Simon Ward"	"596 Avery-Williams Access
Wharemokoiti 9093"
"Ian Scott-Williams"	"452 Webster-Simpson Range Road
RD 6
Oliverside 9763"
"Adrienne Paton"	"75 Carter Street
RD 5
Pukenui 5107"
"Joseph Love"	"PO Box 9
High Lowbury 9802"
"Kate Nielsen-Nicholson"	"PO Box 553
Whakahanga 9891"
"Tamati McLean-Davey"	"Apt. 524
70 Holmes Copse
Kowhainui 8128"
"Ashley McIsaac"	"691 Patchett Terrace
Horowhangamakau 2644"
"Adrian Smith"	"85 Mokoroa Line
Waughburn 7640"
"Damian Miller-Walton"	"85 Moturoto Cove
Pukemanawanui 6296"
"Amber Nicholson"	"Flat 80
168 Mason Street
Thompsonburgh 2478"
"Jasmine Holloway"	"3 Roherangipo Lane
East Conwayville 9687"
"Donna Furness"	"612 Pukeawa Street
RD 9
Hartville 8176"
"Michael Pearson"	"Suite 257
1 Foley Drive
Barnesside 6165"
"Ann Giles"	"5 Jacob Street
RD 3
Hamiltonside 6415"
"Diane Lucas"	"272 Charles Terrace
RD 3
Reardoning 8914"
"Jessica Bruce"	"469 Fleming-Alexander Road
Field Hill 6472"
"Ari Herd-Barnett"	"82 Emma Crescent
Wakaweka 7247"
"Aidan Jackson"	"49 Gibbons-York Road
RD 8
Tipurototere 4830"
"Hayley Perry"	"46 Maungahoro Drive
Saundersing 3425"
"Victoria Williams"	"8 Mitchell Street
Potaikawa 9335"
"Laura Taylor"	"76 Wharerohe Place
Jacquesfort 2594"
"Anthony Morris"	"PO Box 2
Puketangitanga 2518"
"Fiona Taylor"	"23 Barr Road
Prenticeing 2482"
"Craig Enright"	"27 Armstrong Road
RD 7
Kawamotu 5088"
"Aroha Moran-Brooks"	"16 Larsen Street
RD 2
Kawawakatapu 9303"
"Richard MacKenzie"	"PO Box 97
Grayton 2019"
"Samuel McLean"	"34 Webb Avenue
Rohewhenua 8016"
"Aidan Munro"	"PO Box 61
Papapawhangamaunga 8985"
"Donna Costello"	"3 Cairns Causeway
Lower Williamsport 9060"
"Robert Jackson"	"71 Tahirongo Avenue
RD 9
Papapahanga 3457"
"Aaron Thompson"	"7 Smith Bypass
Horotai 9527"
"Timothy Jackson"	"Suite 145
53 Sullivan Reserve
Lower Hendersonneath 6079"
"Adam MacDonald"	"277 Michael Street
Rongotipu 2242"
"Grant Ward"	"PO Box 6
Gordontown 5172"
"Ross Taylor"	"PO Box 28
Tahiwai 5394"
"Christine Mitchell"	"23 Tairotomoko Crescent
Fowlerburgh 6933"
"Donald Patchett-Bryant"	"517 Rongowakanui Terrace
RD 2
Koromotuara 8825"
"Aiden Coleman"	"PO Box 256
Westleigh 5293"
"Julie Watts"	"26 Jackson Road
RD 9
Fentonburgh 8054"
"Tessa Allen-Martin"	"PO Box 4
Wakakawapo 8442"
"Blake Gardner-McIntosh"	"Level 6
31 Ngaururohenuku Avenue
Motukiwi 5127"
"Carolyn Bishop"	"5 Fletcher Street
RD 10
Mount Armstrong Hill 2324"
"Harrison Cameron"	"PO Box 23
McGregorfort 5132"
"Tessa Williams"	"72 Kowhaiwakakowhai Road
RD 6
Corbettberg 5310"
"Melissa McLeod"	"6 Horohanga Street
Roheara 9578"
"Connor Andrew"	"84 Wharepapapamanawa Cutting
RD 9
Wharerohe 5518"
"Joshua Fleming"	"13 Whyte Line
North Grayton 5728"
"Alan Adams"	"Level 6
11 Kelly Arcade
Bellmouth 2004"
"Tessa Reed"	"25 Findlay Circuit
Ngaurutanga 8198"
"Te Ariki Harris-Nolan"	"28 Gibson-Giles Street
Mitchellton 5387"
"Brendon Fowler"	"PO Box 951
Tipuhoro 9040"
"George Davis"	"Apt. 560
54 Haines-Cook Circuit
Hendersoning 9468"
"Dean Davison"	"Level 7
160 Bell Arcade
Tangipo 8693"
"Angela Funnell"	"Flat 50
95 Kowhaiara Street
Aberhartburn 8510"
"Andrew Davies-Claridge"	"56 Taiweka Avenue
Maungahoropo 5839"
"Teresa McLeod"	"2 Newton Way
RD 3
Rohetoa 2331"
"Phoebe Smith"	"Flat 79
4 Pritchard Centre
Newmanings 5359"
"Alan Burns"	"1 Whangapo Avenue
Martinings 6484"
"Bridget Jeffries-Monk"	"PO Box 7
Andersoning 2674"
"Sean Simpson-Stevenson"	"Level 7
20 Smart Concourse
West Tuckerstone 2105"
"Emma Huddleston"	"1 Porongowhanga Gardens
Dohertyside 6918"
"Robert Satherley"	"PO Box 53
Manawawhare 6285"
"Tyson Newman-Jamieson"	"85 Aroha Street
Bartlettings 9610"
"Julia Frost"	"307 Buchanan Crossing
Waihanga 2602"
"Oscar Rogers"	"PO Box 89
Pukerangiweka 6436"
"Joshua Allerby"	"916 Ruth Street
Manawangaururoto 8578"
"Tracey Bright-Murphy"	"PO Box 161
Jacob Hill 8061"
"Alan Burr"	"6 Korokoromotu Street
RD 1
Taylorneath 6129"
"Ethan Curtis"	"659 Gardner Cross
Maungawakaroto 8825"
"Paul Baldwin"	"PO Box 5
Watt Hill 2664"
"Mereana Reeves"	"6 Wakamoko Cutting
Wardings 7160"
"Jason Hodson-Davis"	"PO Box 1
Taimotuwhaka 8688"
"Maria Weston"	"718 Horowhakakowhai Road
Papapawhitu 5757"
"Madeleine Cole"	"PO Box 866
Janiceings 2274"
"Mark Higgins"	"1 Anderson Street
Markton 5837"
"Karen Forrest"	"910 Awarua Court
RD 2
Tipuawaara 9380"
"Lisa Nelson"	"PO Box 8
Gibsonville 6152"
"Alan Davies"	"PO Box 24
Tiputangi 5805"
"Joshua Stevens"	"6 Tipupuketapu Road
Korowhitu 8810"
"Jennifer Lucas"	"4 Roherangitai Trail
Tonyhaven 9444"
"Anne Wong-Oliver"	"Unit 98
2 Robert Concourse
Mount Middletonfort 2378"
"Jane Hope-Stewart"	"9 Cole-Donald Street
RD 10
Waltonburgh 8157"
"Mia Hansen-Kendall"	"PO Box 46
Terenui 9007"
"Lisa Ryan"	"251 Horomakau Keys
RD 7
Rangitai 5001"
"Heather O'Brien"	"PO Box 8
Fletcherneath 8861"
"Gregory Paterson"	"Suite 864
333 Rohenuku Arcade
Kowhaiiti 8008"
"Evie Jones"	"4 Green Keys
Drummondmouth 3757"
"Alan Enright"	"PO Box 48
West Smithleigh 4260"
"Rachel Reid"	"7 Awahororangi Rise
Grantneath 2394"
"Maria Larsen"	"PO Box 647
Horongauru 7750"
"Deborah Matthews"	"PO Box 852
Tahimata 9098"
"Tracey Bary"	"PO Box 7
Marshallburgh 5124"
"Donna Gilbert"	"78 Kowhaitahi Centre
Saunders Flats 6013"
"Hannah Armstrong"	"9 Terekowhai Terrace
Kowhaihanga 5290"
"Oscar Hutchinson"	"8 Taungaurupapapa Beach Road
Korowhero 9736"
"Vicki Wilton-Woods"	"220 Tahitangihoro Arcade
Taunui 2226"
"Courtney Davis-Davis"	"Flat 87
6 Arahoromanawa Arcade
Tahipuketai 6284"
"Alan Larsen"	"471 Kingston Road
Soper Hill 4891"
"Raewyn Saunders"	"20 Teretai Flats
Wekawharehope 2562"
"Caitlin Ham"	"PO Box 3
Tererua 9884"
"Cherie Simonsen"	"Level 2
216 Wood Street
Tahiwharenui 9881"
"James Ritchie"	"PO Box 844
Robert Hill 9849"
"Michael Lucas"	"108 Pukenuku Beach Road
Awarongorohe 8553"
"Samuel Rowe"	"PO Box 91
Wallerstone 2201"
"Toby Kendall"	"PO Box 7
Rohenui 6447"
"Anthony Eaton"	"99 Whakarototau Avenue
RD 10
Rotonui 8618"
"Tracey Gibb"	"667 Lane Circuit
Tereiti 2518"
"Alan Owen"	"1 Ngauruwai Keys
RD 6
Hansenleigh 8404"
"Wendy Cook"	"1 Wakamata Crescent
Rotopo 2246"
"Kate Lucas"	"882 Kawatangitau Pass
Tangiawa 9562"
"Claire Green"	"234 Whakakowhai Point
High Sowmanberg 6298"
"Shirley Neal"	"283 Trask Road
RD 9
Wallmouth 5764"
"Brendon Rush-Trask"	"6 MacKenzie Avenue
Taylorgate 8037"
"Kenneth O'Connor-Cragg"	"PO Box 28
Wekarohe 2513"
"Mary Paton"	"823 McCallum Way
Jensenside 2251"
"Mary Holdaway"	"275 Kendall Street
RD 10
Ngauruwekatai 8551"
"Louise Gibb"	"5 Samantha Cove
Elliottstone 9422"
"Alan Wood"	"11 Raymond Copse
Deanneath 2234"
"Nicola Little-Clarke"	"3 Jacob Concourse
Motukororangi 5205"
"Simon Gill-Cairns"	"281 Wekamotu Line
Martintown 5392"
"Katrina Walsh"	"9 Sarah Bypass
RD 5
Dianeland 2187"
"Isaac Henderson"	"PO Box 282
Hartstone 9841"
"Isla Davis"	"863 Wekakoro Way
Port Cunninghamborough 8272"
"Andrew Rasmussen-Thompson"	"85 Tipuwhangawhare Terrace
McGillside 6476"
"Dylan Baker"	"PO Box 8
Franklinside 8499"
"Raymond Russell-Taylor"	"95 Pukemataawa Range Road
RD 1
Herdings 8816"
"Georgia Payne"	"4 Moore-Donaldson Terrace
Wekatauwhare 8080"
"Alana Blair-Thomas"	"Apt. 881
713 Butler Reserve
Tangimaunga 8531"
"Jennifer Ford"	"3 Moturua Street
Mokomaungaara 8835"
"David Pritchard"	"Unit 31
4 Rangikowhaiawa Crossing
Mercerside 2433"
"Sharon Middlemiss"	"74 Dean Avenue
Katherineborough 5180"
"Oliver Baker"	"PO Box 42
McKayleigh 2461"
"Ariana Cook-Stuart"	"Suite 921
525 Horoarawhenua Drive
Fishergate 9463"
"Alexander Lloyd-McLean"	"62 Donaldson Pass
Tauwhanga 9585"
"Cheyenne Evans"	"8 Hamilton-Forrest Avenue
Korotai 2130"
"Raewyn Todd-Turner"	"36 Jessica Mews
Manawanui 3469"
"Robert Johnston"	"Apt. 542
9 Tereiti Crescent
Ngaurumakau 1130"
"Alana Johnston"	"208 Robert Road
Lake Orrmouth 2322"
"Jacob McManaway"	"7 Allen Street
RD 7
Jeffreyburgh 9641"
"Leanne Reader"	"Flat 17
7 Mokoawawaka Avenue
High Duncanings 5169"
"Robert Sanders-Lucas"	"610 Awamoko Beach Road
RD 1
Mokohanga 2376"
"Nigel Lamb"	"167 Kawakowhaihope Street
Ngaurumotu 9094"
"Amanda Barker-Rickard"	"Level 1
33 Wekamanawatoa Anchorage
Jonesing 9067"
"Thomas Gill-Gledhill"	"8 Pope-McKay Avenue
West Cresswellgate 8142"
"Melissa Pearson-Rutherford"	"6 Ferguson Plaza
Angelabury 1726"
