"Aaliyah Ritchie"|"467 Korokawa Anchorage
Smithleigh 6493"
"Janice Donaldson-Learmonth"|"4 Rohekoro Beach Road
Olsenborough 9069"
"Michael Harris-Beattie"|"260 Powhitu Crescent
Tahihorotai 0372"
"Mitchell Lee-Guthrie"|"7 Smith Street
Samuelleigh 5593"
"Aaron Watts"|"9 Dobson-Bailey Terrace
Whakatau 2496"
"Andrew Rowlands"|"83 Erin Avenue
Rongopapapanui 9064"
"Malcolm Johnston"|"21 McCallum Way
Ngaurutauiti 9756"
"Hinewai Carter"|"59 Aberhart Street
Port Hartfort 2609"
"Hoani Satherley"|"Flat 24
62 Papapawhero Range Road
Andrewmouth 8584"
"Nicola Ritchie"|"PO Box 1
Thomasburgh 8821"
"Debra Mann"|"PO Box 445
Awamanawa 6228"
"Shaun Morris"|"640 Stephen Avenue
RD 1
Parsonsbury 5522"
"Natasha McMahon"|"PO Box 8
Jensentown 2576"
"Luke Dixon"|"Flat 35
31 Mason Road
Gibsonings 5220"
"Abby Donaldson"|"315 Rotomoko Drive
Perryport 2569"
"Tyler Alexander"|"810 Mitchell Drive
Kowhaipapapahoro 2499"
"James Boyd"|"5 Rohewaikoro Road
Simpsoning 2175"
"Pamela Waugh"|"Suite 708
448 Kevin Avenue
Rongokawanui 9490"
"Molly McKay-Page"|"PO Box 367
Jonathanburgh 9612"
"John Bell-Parker"|"44 Tiputau Crescent
Pokoro 6126"
"Jennifer Adams"|"9 Rangiwhangapuke Copse
RD 3
Awawhero 8203"
"Kim Stubbs-Knight"|"7 Kawaawamata Road
RD 5
Searle Hill 2017"
"Lynley Olsen"|"Apt. 191
3 Rohemotu Park
Williamsland 8430"
"Christopher Smith-Mortimer"|"Apt. 880
965 Burns Way
Papapapo 9381"
"Abby Lucas"|"Apt. 194
50 Matamatahanga Mews
Rohepuke 6053"
"Sheryl Cumming"|"380 MacKay Arcade
Barry Hill 2230"
"Samuel Whyte-Brown"|"9 Fleming Range Road
Jonesneath 8679"
"Mason Mason"|"Suite 687
6 Powell Street
Campbellborough 6275"
"Amber Harris-Mitchell"|"PO Box 6
Wakarua 2100"
"David Rogers"|"Level 2
169 Rongokowhaitangi Street
Motunui 5831"
"Wendy Corlett"|"2 Hoskins Access
Arawhangatipu 5206"
"John Gillies"|"1 Lesley Crescent
Whakamaungamakau 2396"
"Charlotte Pope"|"8 Cumming Highway
RD 6
Kennedying 2448"
"Joseph Hart"|"2 Adams Way
Rotohanga 6919"
"Abigail Hoskins"|"1 Vercoe Square
Gardinerport 9410"
"Fiona Phillips"|"31 Aratapu Crossing
RD 4
Carrfort 6139"
"Melanie Poole-Sanders"|"226 Terewhangaiti Road
RD 7
Moranburgh 3341"
"Michael Griffin-Long"|"7 William Beach Road
Suttonbury 9308"
"Lucy Reardon"|"2 Terenuku Avenue
Manawatahimotu 5049"
"Olivia Miller"|"2 Kawaroto Access
Nicolside 5192"
"Martin Satherley"|"PO Box 2
Pukemakau 5544"
"Mark Roberts"|"553 MacDonald Street
Munroleigh 3892"
"Jamie Bell"|"66 Peter Quay
West Clarkefort 8621"
"Sean Adams"|"553 Johnston Beach Road
Cartergate 9007"
"Abigail Montgomery"|"1 Reid Avenue
West Walshborough 6219"
"Adam Smith"|"82 Hewitt Broadway
Wakawhanga 9378"
"James Matthews"|"Suite 572
16 John Flats
Awarangi 9383"
"Andrew Dick"|"920 Rangiweka Ridge
Davisstone 6917"
"Karen McLean"|"126 Williamson Court
Granthaven 5882"
"Raewyn Hay-Knight"|"238 Walton Street
Mitchellville 5790"
"Vincent Bond"|"5 Whakawaka Cutting
Marshallborough 1173"
"Scott Clarke"|"PO Box 39
Whytehaven 8927"
"John Botham"|"94 Tererotoweka Street
Thompsonport 1434"
"Thomas Lowe"|"PO Box 20
East O'Brienburn 5316"
"Abigail Paton"|"893 Wharematahope Road
Wardneath 5722"
"Kay Taylor"|"99 Wakatere Avenue
Blackwellton 5827"
"Ria Wood"|"PO Box 5
North Patersonton 4170"
"Grant Howell"|"524 Gray Crescent
Mount Greigland 5303"
"Kathryn Stevens"|"PO Box 6
Rotowai 8501"
"Emma Perry"|"599 Horohope Mews
Lewiston 5783"
"Simon Gore-Sullivan"|"885 Taipuketoa Street
Tererangirua 2235"
"Isabella Lammas"|"Level 5
8 Lambert-McIntyre Place
Emmaleigh 2572"
"Lynda Burgess"|"Unit 57
76 Pukekoro Track
Edmondsneath 9254"
"Joanna Dick-Small"|"8 Matakowhai Road
Caldwellstone 9652"
"Adam Barrett"|"Suite 670
73 Waitipuiti Track
Smithmouth 2339"
"Emma Smith"|"729 Matakiwi Street
RD 7
High Paynehaven 9641"
"Michael Rowe"|"5 Bell Corner
RD 6
Gordonport 2114"
"Michael Seymour"|"2 Willis-Russell Street
Morganleigh 2471"
"Edward Gordon"|"603 Waiwhenua Keys
Parkesside 5203"
"Michelle Scott"|"PO Box 7
Wakawaka 8611"
"Maria Campbell-Smith"|"PO Box 8
Janneath 5821"
"Blair Wood"|"37 Carson-Davison Arcade
RD 6
Wiltonton 2191"
"Wendy Hewitt"|"350 Koroawatoa Terrace
RD 9
Bishellleigh 9754"
"Luke Lewis"|"870 Munro Street
Papapawhitu 6459"
"Adam Brown"|"91 Fleming Range Road
Tangitairohe 2464"
"Katrina Harris"|"PO Box 595
Ngauruwainui 5808"
"Jacob Bary"|"79 Dick-Adams Avenue
RD 1
Jonesside 5302"
"Aiden Graham"|"PO Box 147
Awamata 7974"
"Robert Sutton"|"48 Toms Causeway
RD 6
Bryanbury 8080"
"Darren Shannon"|"5 Phillips Grove
Kowhaitahihanga 9810"
"Andrew Carson"|"2 Jacob Arcade
Matarongo 8580"
"Stephen Furness"|"566 Johnston Road
Patchettside 2452"
"Jared Moore"|"6 Taiwhaka Keys
Motutipu 9329"
"Sandra Smith"|"PO Box 7
Hydeberg 6464"
"Adam Cameron"|"PO Box 638
McKayfort 8976"
"Mikaere MacDonald"|"64 Harris Street
Thomasings 8595"
"Robyn Greer"|"208 Armstrong Street
RD 6
Motuhoro 8207"
"Paige McIsaac"|"6 Tracey Crescent
RD 5
Wekatangi 5359"
"Kieran Brown-Brooks"|"8 Motuwhare Crescent
Taitoa 5591"
"Paul McIntosh-Scott"|"PO Box 5
Rongokawakowhai 9718"
"Elijah Scott"|"80 Darryl Street
Nealmouth 3822"
"Warren Neal-Bailey"|"7 Wakawhangaweka Way
Matatoa 6228"
"Katherine Donald"|"770 Watts-Clarke Track
Tautangi 2040"
"Robert Best"|"Level 6
868 Smith Drive
Wekapopo 8542"
"Adam Kendall"|"Suite 336
2 Jarvis Street
Rongowhare 8551"
"Michelle Cairns"|"882 Thomas Cutting
Horotaumotu 5590"
"Fiona Rodgers-Simmonds"|"83 Fleming-Scott Street
Sheridanville 8425"
"Glen Barrett"|"3 Kawapapaparoa Anchorage
Waipapapa 2330"
"Lloyd Jefferies"|"Unit 49
94 Niko Ridge
Frostneath 9664"
"Aiden Mitchell-Martin"|"PO Box 3
Smithstone 2442"
"Mikayla May-Twidle"|"PO Box 9
Littleburgh 8663"
"Michael Watt-Allan"|"9 Baxter Drive
Tahirangi 5871"
"Jessica Day"|"61 James Way
Williamsing 9723"
"Raewyn Bryant"|"1 Pohope Street
Mooreborough 6074"
"Adam Patchett"|"59 Miller-Davies Copse
RD 6
Nicolemouth 6152"
"Christopher Hills"|"Flat 31
4 Motumanawanui Pass
Toni Flats 6015"
"Charles Powell-Costello"|"PO Box 933
Smithing 8971"
"Charlotte Nielsen"|"Level 2
9 Olsen Gardens
Lowville 6953"
"Jane Hills"|"4 Barnett Pass
Oliverton 2515"
"Charlotte Lucas-Murphy"|"Flat 56
8 Terepo Avenue
Robsonville 2226"
"Tracey Price"|"1 Rangingauru Concourse
Wakawhare 8861"
"Olivia McLachlan"|"591 Pomanawarangi Alleyway
Manawarua 8910"
"Daniel Jamieson"|"7 Wallace-Wong Road
RD 5
Tangirototau 8166"
"Tanya Cook"|"95 Richards Street
Joannetown 6475"
"Adam Shailer"|"8 Kirk View
Newmanmouth 9391"
"Janine Linton"|"3 Bailey Point
Parkerside 9260"
"Adrienne Martin"|"40 Glen Approach
RD 8
Hansenstone 4088"
"Patricia Carson"|"5 Motungaurutangi Park
Maungawekakowhai 2009"
"Allan Simpson"|"PO Box 68
Hannahborough 4391"
"Shane Jackson"|"Flat 53
58 Pukengauru Plaza
Teretainui 1038"
"Nicole Stratford"|"371 Wheeler-Griffiths Road
Allen Hill 9855"
"Flynn York"|"Suite 494
5 Whakatere Mews
Port Simmonsberg 5231"
"Lisa Scott"|"799 Pickering Arcade
Kowhaingauruwhaka 9410"
"Sarah Jones"|"922 Rangiiti Crescent
Wekanui 5391"
"Adam Wallace"|"8 Currie Range Road
Barkerville 5033"
"Matthew North-Taylor"|"Flat 58
2 Patchett-Bowater Place
Christiansenborough 6267"
"Lynette Mears"|"1 Motutautoa Drive
Phillipsings 6015"
"Te Koha Rowe-Harris"|"568 Denise Avenue
Maungarohe 2020"
"Susan Nicholson"|"87 Tipurohe Cove
High Roweneath 2076"
"Graeme Smith"|"842 Barnes Highway
RD 6
Ngauruwhanga 6457"
"Joanne Webster"|"896 Thompson-Skinner Place
RD 6
High Dixon Hill 8624"
"Emily Holdaway"|"PO Box 8
Awapuke 6193"
"Casey McNabb"|"5 Twidle Street
Darrylside 8994"
"Stuart Mitchell-Page"|"762 Currie Esplanade
RD 5
Matakowhai 8980"
"Adam Zimmerman"|"660 Chloe Parade
MacKayfort 8673"
"Aaron Low"|"28 Whakarohe Avenue
Lake Manningburgh 5077"
"Jack Henderson"|"88 Smith-McIsaac Street
Taylorneath 8833"
"Sophie Fuller"|"66 Wood Mews
Tangiroherua 9369"
"David Cameron-Cumming"|"PO Box 68
High Blackside 5117"
"Carol Lloyd"|"95 Koromaunga Avenue
Moturoto 9474"
"Daniel Gibson"|"PO Box 4
Aramoko 6113"
"Dylan Baker-Barnes"|"4 Jones Street
Seymourborough 7250"
"Madison Zimmerman"|"PO Box 64
Isaac Flats 6090"
"Catherine Conway"|"PO Box 2
Upper Stevensmouth 5871"
"Adrian Meredith"|"231 Berkahn Broadway
Tiputangiwhitu 9234"
"Pamela McDonald"|"246 Aratangi Avenue
RD 4
Ngauruwhitu 8520"
"Benjamin Jarvis"|"217 Gray Street
Coopering 8222"
"Matthew Simmons"|"Flat 81
2 Reid-Stuart Avenue
Littleberg 8291"
"Katherine Allan-Barker"|"6 Tauwakawhitu Place
East Clarkeleigh 5791"
"Jesse Pike"|"53 Thomas Road
Maytown 6009"
"Malcolm Maxwell-Jones"|"51 Ararongo Heights
RD 1
Thompsonland 5292"
"Brent Oliver"|"PO Box 24
Wiltonmouth 5313"
"Terina Hope"|"90 Hay-Poole Flats
Wellstown 2507"
"Kathleen Anderson"|"Level 5
53 Prentice Esplanade
Thompsonstone 4939"
"Adrian Thornton"|"934 Stevens Street
Tauwhero 5247"
"Elijah Laing"|"8 Hook Avenue
Powellmouth 8915"
"Olivia Boyce"|"Level 3
4 Kawatau Street
Tahirohe 9015"
"Robert Burgess"|"PO Box 901
Awarongotipu 2008"
"Peter Chandler"|"615 Stephen Road
Manawamaunga 8560"
"Matthew Drummond"|"71 Evans-Harris Range Road
Butcherfort 6082"
"Jessica O'Connell-Griffin"|"22 Kowhaikawa Grove
Rangiroheroto 2660"
"Cole Casey"|"8 Teretahiwaka Street
RD 9
Rongohorowhanga 8167"
"Brooke Marshall-Taylor"|"PO Box 6
High Jensenfort 2565"
"Rose Aitken"|"997 Kawaaramotu Approach
Rototangi 6951"
"Adrienne McIntosh-Davidson"|"367 Clarke Street
Williamsonside 5115"
"Mia Franklin-Barnes"|"29 Smith Drive
RD 10
Christopherville 8044"
"Michael Green"|"47 Hayden Square
Allanside 8168"
"Christopher Rowe"|"Level 8
3 Mason-Nielsen Avenue
Kowhairoto 8516"
"Andrew Smith"|"Suite 698
2 Douglas Amble
Arawhanga 5168"
"Flynn Davenport"|"PO Box 211
Daniel Flats 9530"
"Susan Edwards"|"70 Rohewhare Keys
Manawawhenua 6928"
"Ella Doherty"|"PO Box 65
Korotauhope 8658"
"Tania Douglas-Cumming"|"812 Francis Point
Pukeroa 9322"
"Adrian Harris"|"PO Box 2
Whakawekamoko 2459"
"Aidan Allen"|"493 Whangahorongauru Bypass
RD 8
Maungarohe 2378"
"Laura Scott"|"PO Box 45
Daviesburgh 9666"
"William Harris"|"Flat 68
45 Barnes-Buchanan Cove
Kowhaitoa 2592"
"Karen Blackwell"|"3 Bryant Alleyway
Pukepo 9493"
"Helen Banks-Knight"|"Level 3
4 Matamokotapu View
High Thompsonburgh 5739"
"Hayley Bell-Rayner"|"PO Box 34
Port Hartbury 9213"
"Glen Carter-McCallum"|"3 Wekapapapamakau Park
Papapawaka 9541"
"Jonathan Huddleston"|"766 Ryan Avenue
RD 4
Upper O'Sullivanmouth 2331"
"Diana Godfrey"|"8 McDonald Street
RD 10
Tipumanawawhaka 6987"
"Lily McEwen"|"5 Williamson Street
Dixonborough 2473"
"Aidan Cox"|"293 Mataweka Anchorage
RD 9
Hogging 5760"
"Linda Thompson-Matthews"|"PO Box 3
Wellsland 9279"
"Abigail Moody"|"Level 1
331 Bailey Crescent
Pukewaihanga 1343"
"Denise Terry"|"35 Cole Broadway
Whakatai 8021"
"Richard Hickey"|"22 Grant-Fairhall Lane
McLeodmouth 5004"
"Jason Mason"|"8 Wells-Stuart Beach Road
Potangi 8135"
"Tracy Vincent"|"912 Wairangi Street
RD 6
Rotonui 5134"
"Ruby Peterson"|"568 Matheson Avenue
Fisherburgh 4272"
"Carolyn Searle"|"449 Ngaurumata Trail
Smithneath 9673"
"Georgia Fox"|"Apt. 256
81 Kowhaimotu Crescent
Ngauruawa 6981"
"Aimee Craig"|"PO Box 31
Maungaweka 2467"
"Connor Kennedy-MacDonald"|"7 Arahope Street
Tahiwhanga 9535"
"Simon Davies"|"Level 4
640 Whakaiti Street
Dunnburgh 2686"
"Robert Campbell"|"3 Harris Road
RD 10
Kawaara 2484"
"Amanda Henderson"|"235 Taurua Avenue
Mooreside 9795"
"Debra Henry"|"569 Kowhaimataiti Beach Road
Papapaiti 8904"
"Aaron Cunningham-Curtis"|"129 Bell Range Road
Kowhaitau 2343"
"Vanessa Whyte-Jordan"|"277 Humphrey Place
Smithings 8295"
"Nathan Powell"|"Suite 866
43 Dixon Avenue
Manawawaka 9508"
"Amanda Waghorn"|"288 Short-Neal Arcade
Manawawaitai 4789"
"Aimee Fenton-Woolley"|"PO Box 7
Emmaside 2324"
"Cody Smith"|"19 Fuller Cutting
O'Learyborough 9788"
"Paul Davey"|"300 Landon-Lane Place
Motukowhai 6283"
"Jeffrey Christiansen"|"78 Mokotapu Street
Rangihanga 5048"
"John Edwards-Marsh"|"PO Box 55
Lake Blackville 9098"
"Charlie Esson"|"2 Michael Street
Puketai 9241"
"Mikaere May"|"Flat 57
679 Waimaunga Avenue
Tangitahi 8614"
"Kahurangi Reid-Baxter"|"657 Patchett-Wood Mews
Rongokowhai 6903"
"Lucas Kendall-Taylor"|"204 Maungawhakahoro Crest
Olivialand 5813"
"Catherine Baxter"|"7 Burnett Way
RD 9
Rangiawa 5728"
"Aimee Morrison"|"Apt. 354
4 Kawawhare Street
Wekahoro 2346"
"Madeline Cameron"|"PO Box 4
Rotoawa 9528"
"Aimee Wallace-Ferguson"|"PO Box 81
Wharemata 8510"
"Amanda McKay-Newman"|"9 Ferguson Heights
RD 4
Lake Lyonston 2574"
"Mary Lawson"|"96 Matatai Road
Lancasterburgh 2197"
"Nicola Carter"|"7 Awatipu Road
Howellborough 2436"
"Melissa Woolley"|"PO Box 84
Angelaside 6221"
"Jade Baird"|"226 Kowhaimokopuke Beach Road
RD 5
Papaparangi 2677"
"Eric Whittaker"|"1 Gifford Heights
Wakatauwhanga 9677"
"Ella Thompson"|"55 Rangikawawhitu Place
Whakarongo 7505"
"Alan McKenna"|"Suite 402
5 Marfell Parade
Gailfort 9600"
"Stephen Thornton"|"3 Maungatahiara Street
Peranomouth 2481"
"David Peterson"|"50 Porua Crossing
Wakapapapa 5766"
"Carl Wallis"|"4 Matakowhaitau Drive
Olsenborough 8634"
"Raewyn Conway"|"PO Box 9
Brownfort 8695"
"Aimee Rush"|"863 Motungauru Avenue
Corlettside 6020"
"Barry Dean"|"PO Box 808
Kawakorohanga 9649"
"Ava Franklin"|"42 Maungaiti Avenue
RD 1
Tangiwhare 5748"
"Patricia Lucas"|"97 Andrew Circuit
Wakawaka 8947"
"Mary Taylor"|"331 Mudgway Mews
Rossitertown 5856"
"Alan Perry"|"3 Oliver Street
Motumotupapapa 8869"
"Alicia Parker-Baldwin"|"806 Warner Place
Wakawhare 3753"
"Tiare Morris"|"873 Martin Beach Road
RD 4
Lawtown 8949"
"Stephen Jensen"|"77 Rongomotu Bypass
Lambborough 0227"
"Catherine Barnes"|"Suite 530
2 Awamataiti Arcade
Martintown 2449"
"Raymond Anderson"|"16 Taiwaiiti Square
Wakapotere 9778"
"Aaron Booth"|"5 Knight Way
RD 8
Tangiara 8433"
"Phoebe Tait"|"Suite 226
661 Gill Avenue
Waitangipapapa 5086"
"Helen Evans"|"345 Tangimaunga Street
Ariananeath 5581"
"Lorraine Buchanan"|"155 Sean Mews
Taiporongo 4939"
"Alan Reardon"|"661 Kawahanga Way
Kowhaikawa 9578"
"Isabella Bishell"|"PO Box 3
Kowhaikorokiwi 8560"
"Brendan Coley-Larsen"|"1 O'Connell-Jarvis Street
Allenborough 9845"
"Tama Herd"|"520 Wakaroa Street
Rotomoko 6095"
"Mark Barnes"|"48 Maungaaratere Street
RD 2
Seymourtown 8117"
"Jordan Graham"|"129 Stubbs Amble
RD 9
Robertsmouth 9496"
"Helen Reynolds"|"7 Pukemokorohe Crossing
Jonesport 8425"
"Richard Lloyd"|"80 Tautau Avenue
Rotokorowhenua 5891"
"Wiremu Lewis"|"90 Williams Mews
Smithleigh 9430"
"Dean Drake"|"PO Box 34
Millartown 8863"
"Alan Scott"|"44 Drew Broadway
Arangaurupo 6923"
"Samantha Richards"|"963 Mokowhaka Place
Kevining 5507"
"Brenda Ford"|"Apt. 668
549 Powell Range Road
Andersonleigh 2147"
"Rachael Jennings-Barnett"|"583 Manawatangi Way
Pohoro 9595"
"Joseph Williams"|"5 Kate Way
High Shepherdport 9391"
"Lesley Williams"|"3 Rongohope Cutting
Smith Hill 2424"
"Kerry Greer"|"Unit 30
902 Mason Road
Donald Flats 4432"
"Chloe Sheridan-Lucas"|"742 Ireland-Berkahn Street
Webbyborough 8023"
"Sandra Campbell-Edwards"|"88 Richards Cutting
Taihope 9743"
"Kayla Roberts-Thomas"|"2 Brown Circle
Allenmouth 5555"
"Alan Shailer"|"317 Ngaururotongauru Avenue
Mooreport 1058"
"John McPherson"|"6 Ramsay Avenue
RD 4
Korotaupuke 9768"
"Gregory Ramsay"|"PO Box 524
Kowhaimaunga 9794"
"Charlotte Wilton"|"25 Korokawa Beach Road
RD 3
Tairongo 5197"
"Richard Buchanan"|"PO Box 689
Tereweka 6983"
"Cole Dunn"|"662 Rodgers-Smith Street
RD 9
Christopherhaven 6919"
"Sarah Moore"|"Level 5
12 Papapakoro Crescent
Parkesside 9012"
"Dean Connolly"|"218 Koronui Bypass
Taipapapawai 2428"
"Michael Gee"|"8 Wharemoko Cross
RD 3
Henryport 2308"
"Teresa Smith-O'Sullivan"|"665 Dobson Street
RD 2
Chapmanburn 8901"
"Alana Edwards"|"9 Kawapo Reserve
West Fultonings 5282"
"Matthew Lewis"|"5 Davies Drive
Upper Carter Flats 8550"
"Philip Williams"|"PO Box 617
Wallisborough 8516"
"Logan Fairhall"|"964 Wakarongo Way
Pooleside 8120"
"Gemma Martin"|"30 Pope Crescent
Jonesmouth 2564"
"Phillip Potter-Williams"|"52 Peterson-Lucas Cross
Matamotu 2346"
"Anthony Arnold"|"PO Box 715
Baxterbury 9346"
"Kerry Jackson-Atkinson"|"677 Manawatipurongo Drive
Maungamakau 9012"
"Evie Bishop"|"65 Timothy Street
Jenkinsville 9097"
"Chloe Harris"|"Unit 63
330 Perry Highway
Fordmouth 1726"
"Alana Lane-Davey"|"PO Box 438
Taimotu 9797"
"Michael Gill"|"PO Box 15
Horoweka 8089"
"Malcolm Shaw"|"4 Gregory Road
Williamsmouth 9297"
"Tracey Coley"|"858 Wharewharerohe Road
Allanburn 8565"
"Mark Carr"|"83 Clarke Ridge
Scottside 7874"
"Anaru Payne"|"39 Beattie-Oliver Crossing
Rotowakahoro 5564"
"Cherie Page-Dalton"|"65 Taylor-Patchett Way
Williamsings 2180"
"Peter Henderson"|"Level 8
871 Wallace Beach Road
Petering 8466"
"Melanie Gibson"|"3 Manawakorowaka Range Road
Korowekamata 5260"
"Ian Turner"|"PO Box 41
Ararohenui 5328"
"Alana Parkes"|"9 Horopapapawhanga Place
RD 5
Penelopemouth 9598"
"Roger Haines"|"622 Wendy Crescent
RD 4
Stevenside 2287"
"Christine Doherty-Wells"|"617 Lauren Arcade
Korotapu 9390"
"Anna Waghorn"|"9 Matthew Pass
Rangiwhaka 5875"
"Gavin Wells"|"8 Whakatipu Avenue
Marshborough 8878"
"Donald Boon"|"PO Box 6
Manawawhangamoko 9380"
"Dylan Kay"|"27 Mokopapapa Range Road
RD 5
Woolleyleigh 1073"
"Jessica MacPherson"|"Apt. 741
247 Taitere Cross
Olsenhaven 6170"
"Charles Schwass"|"8 Matamatawaka Court
Twidletown 1259"
"Stephanie Horn-Ferguson"|"Level 8
485 Porua Plaza
Whittakerstone 2023"
"Alex Jones"|"19 Russell Drive
Manawaroto 8836"
"Pauline McGill"|"PO Box 5
High McCarthying 2162"
"Janet Banks"|"2 Tautahi Corner
McDonaldbury 5728"
"Tania Short"|"Unit 38
1 Bailey Street
Hoskinsings 4692"
"Douglas Murphy"|"PO Box 89
East McIntyreside 2521"
"Vanessa Cameron-Foley"|"4 Awarohetangi Crescent
Twidletown 4281"
"Noah Rose"|"2 Taiwhenua Terrace
RD 10
Lowport 8687"
"Ian Moore"|"3 McKinnon Keys
Rileyton 9609"
"Peter Jones-Ewart"|"Level 4
41 Manawaroto Broadway
Olivering 8895"
"Michael Payne-Edwards"|"185 Powell Concourse
Motuwhaka 2493"
"Alexander Larsen"|"6 Wakatipuroa Avenue
RD 7
Lyonsville 2136"
"Julie Morgan"|"1 Koronui Reserve
Matamaunga 6194"
"Margaret Cumming-Clarke"|"2 Skinner Street
RD 9
New Woodburn 2418"
"Wayne Watt"|"Apt. 536
719 Henderson Way
Johnmouth 9850"
"Jade Blackwell"|"40 Rotoiti Terrace
Cooking 5143"
"Isaac West"|"Unit 82
5 Pukemaunga Road
High Simpsonmouth 9687"
"John Larsen-Sullivan"|"Unit 11
71 McNabb Copse
Taimatapapapa 9698"
"Gillian Simpson"|"5 Reardon-Smith Road
Pukemokonuku 0139"
"David Scott-Stewart"|"94 Davidson-Hope Arcade
Arakororangi 6970"
"Olivia Casey"|"86 Jordan Concourse
Tipuwaka 9721"
"Alexander Paterson"|"Flat 78
9 Ronald Court
Kowhaikiwi 7723"
"Kenneth Mason"|"Level 2
7 McIntosh Street
Daying 6952"
"Andrew Anderson-Barnett"|"19 Page Lane
Smithfort 9093"
"Olive Green"|"Unit 68
428 Corbett-Taylor Street
Terepapapa 9380"
"Nicola Doherty"|"11 Adams Terrace
Hororoa 5144"
"Alan Hansen"|"528 Maxwell Avenue
Taiawatere 2084"
"Dylan Harper"|"PO Box 36
Tahimaungaawa 5783"
"Kelvin Hay"|"92 Rotowaka Crescent
MacKenzieings 8529"
"Isla Marsh"|"7 Wakamotutai Track
Papapawaihoro 2442"
