"Albina Babić","Davor 19
73856 Novska"
"Lana Tonc","Orlovac 2c/2
76133 Dubrovnik"
"Albina Vukušić","Klesarski put 4
61898 Donja Stubica"
"Viktor Kosić","Mlinske 605
60522 Požega"
"Nina Grba","Orlovac 0c/3
74760 Skradin"
"Nikša Maraš","Rokova 8
22724 Mursko Središće"
"Lara Martinović","Paunovac 0b
56543 Duga Resa"
"Albina Vela","Kraljevec 0a
24642 Ozalj"
"David Huljev","Medveščak 2c/9
96986 Knin"
"Zvonko Križan","Cmrok 0a/7
91392 Daruvar"
"Jasminka Antić","Mlinovi 9c/7
18760 Buzet"
"Marija Toić","Pantovčak 4b/6
21463 Novigrad"
"Albina Vučković","Medveščak 9a/8
45779 Vis"
"Milka Radočaj","Jezuitski trg 426
15396 Garešnica"
"Mislav Rađenović","Jadranska 2c
67244 Kutjevo"
"Iva Jaković","Jurišićeva 3a
56759 Bjelovar"
"Mate Bogdan","Ksaver 9b
26379 Jastrebarsko"
"Mare Đurašević","Vinogradska 8c/0
78039 Mali Lošinj"
"Jozo Ušić","Grič 0a/0
47701 Novalja"
"Andrea Guštin","Goljačke 3b
38468 Krapina"
"Lorena Antonić","Skalinska 9a/8
30721 Našice"
"Zdravko Damijanić","Bosanska 1a/3
08066 Rab"
"Albina Zubčić","Goljačke 7a
83363 Kutjevo"
"Jana Božić","Vijenac 88
21882 Beli Manastir"
"Miroslav Amidžić","Mesnička 08
62416 Vrgorac"
"Lucija Mikulandra","Jurkovićeva 7b/1
94022 Metković"
"David Barbić","Medvedgradska 9b
31627 Supetar"
"Ivan Špralja","Nova Ves 3c/0
67200 Valpovo"
"Dražen Pribanić","Palmotićeva 2c/6
16020 Komiža"
"Ružica Roce","Remetska 7b
16622 Kastav"
"Sandra Cukon","Lisinskoga 9c/2
72537 Skradin"
"Toni Hanžek","Wickerhauserova 3b/7
48299 Novigrad"
"Aldo Buršić","Kožarska 6b
07421 Slatina"
"Filip Štefović","Gornje Prekrižje 4
26718 Trogir"
"Nenad Knežević","Mihaljevac 9b/2
52195 Čabar"
"Pavao Glavan","Mirogojska 9a
53255 Čakovec"
"Kristijan Andrašek","Ksaver 759
34282 Pazin"
"Nikša Blažević","Golubovac 5c
57136 Ludbreg"
"Nina Vranić","Lisinskoga 1a
78534 Beli Manastir"
"Barica Adžijević","Ksaver 4
00890 Virovitica"
"Vlado Martinović","Ksaverska 4a/8
75897 Varaždinske Toplice"
"Milena Zubčić","Glogovac 286
50670 Valpovo"
"Aldo Harapin","Voćarsko naselje 5
81618 Otočac"
"Darko Prtenjača","Glogovac 247
00769 Karlovac"
"Valentina Marijanović","Goljak 4a
13525 Hvar"
"Božica Žufika","Golubovac 389
67285 Bakar"
"Josipa Stošić","Višnjičke 7a/8
84470 Biograd na Moru"
"Stana Pamić","Jadranska 6c
35151 Rijeka"
"Marin Piljek","Magdićeve 6b/9
42257 Grubišno Polje"
"Terezija Friščić","Vlaška 6b/6
47604 Vodnjan"
"Karlo Dončević","Jurišićeva 6a
97090 Imotski"
"Marko Šoštarić","Tošovac 5a/0
35582 Senj"
"Aldo Horvatek","Mala 6c/1
12531 Koprivnica"
"Andrija Škugor","Kraljevec II. 0b/5
71815 Bjelovar"
"Anton Buljan","Zvonarnička 0b/5
82265 Vodnjan"
"Marijana Bebić","Svibovac 012
01968 Donji Miholjac"
"Željko Rastija","Kraljevec 3b/0
13316 Krk"
"Nataša Debelić","Zamenhofove 0b
57867 Slavonski Brod"
"Ljiljana Džapo","Zeleni dol 9c
50234 Jastrebarsko"
"Jure Bačak","Ksaverska 6b
02720 Pula"
"Sandra Tuksar","Naumovac 6c
71961 Nova Gradiška"
"Barica Đurinić","Vrazovo šetalište 9b
45329 Požega"
"Aldo Jakovac","Ilica 1c/2
28813 Novalja"
"Vera Matokanović","Krležin gvozd 2a
48158 Čazma"
"Ivana Modrić","Ljubinkovac 3
01801 Lipik"
"Snježana Dretvić","Medvedgradska 6a
84246 Drniš"
"Matea Franičević","Male 4c
85623 Umag"
"Antonija Bobanović","Jurjeve 1c
26186 Sinj"
"Branko Mihaljević","Rockefellerova 888
08737 Varaždinske Toplice"
"Zdenka Prtenjača","Šestinski vrh 4a
55751 Vodnjan"
"Lovre Franjić","Kraljevečki odvojak 45
85028 Lepoglava"
"Štefanija Penić","Radnički dol 1
91034 Novi Marof"
"Aldo Kokorić","Jadranska 6c/4
53367 Trogir"
"Valter Volarić","Rikardove 9c
38066 Kastav"
"Anita Brlek","Bosanska 0b
41185 Vrgorac"
"Maria Car","Demetrova 5c
38656 Ilok"
"Stjepan Ignac","Kraljevečki ogranak 5a
18281 Zagreb"
"Leon Akmačić","Kraljevečki odvojak 6b/9
63529 Dugo Selo"
"Barica Pokos","Nemetova 9c/0
48888 Hvar"
"Joško Kokanović","Zelengaj 7b/4
67008 Varaždin"
"Kata Rakuljić","Glogovac 4b
30334 Lepoglava"
"Katica Brletić","Davor 99
17127 Đurđevac"
"Aldo Lešković","Pantovčak 41
49350 Vrgorac"
"Željko Peša","Kurelčeva 1c/6
37948 Kaštela"
"Patrik Strinavić","Kožarska 4a
38002 Hrvatska Kostajnica"
"Ljiljana Grubišić","Horvatovac 3b/6
45568 Velika Gorica"
"Martin Morić","Zelenjak 2a/8
47830 Imotski"
"Lovro Birkić","Goljačke 2b/7
80374 Kaštela"
"Nikša Hranić","Dolac 65
23684 Ivanec"
"Zorka Bačić","Gornje Prekrižje 8b
75452 Velika Gorica"
"Roko Radinović","Kamenjak 7a
93100 Čabar"
"Antonija Mateša","Wickerhauserova 6a
78793 Donja Stubica"
"Aldo Maras","Rokov perivoj 08
33641 Pula"
"Stjepan Eršek","Goljak 8a
45615 Pula"
"Matija Moscarda","Jagodnjak 549
35754 Split"
"Hana Kukučka","Mlinovi 95
54351 Vrgorac"
"Zlatko Bunić","Rokova 9b/7
63840 Dubrovnik"
"Matija Cukon","Kamenita 2b
92227 Drniš"
"Kristina Krželj","Strossmayerovo šetalište 5
69152 Varaždin"
"Marica Jagečić","Orlovac 481
47654 Kastav"
"Zorka Jukić","Kraljevečki odvojak 3b/2
18226 Karlovac"
"Martina Tepeš","Magdićeve 7
25617 Vrgorac"
"Aldo Pavlović","Zvonarnička 8a
84531 Pleternica"
"Vladimir Mardešić","Opatovina 1a/4
88248 Makarska"
"Milica Barbić","Pantovčak 8c/1
59913 Jastrebarsko"
"Ane Radinović","Gornje Prekrižje 96
79335 Pula"
"Jasminka Culi","Zavojna 3c
59816 Križevci"
"Anto Damijanić","Visoka 4c/9
71895 Ogulin"
"Tea Peruško","Zeleni dol 5c/9
67951 Solin"
"Mateja Brlek","Ribnjak 0
62732 Pregrada"
"Zoran Borošak","Zeleni dol 4b/2
30930 Kastav"
"Tea Boljkovac","Šalata 4c
69612 Vodice"
"Aldo Plažanin","Pod zidom 2a
28314 Belišće"
"Renata Kostanić","Svibovac 5c/9
07489 Dugo Selo"
"Jasminka Abičić","Goljačke 171
07348 Trogir"
"Zlatko Kokorić","Rockefellerova 0b/2
24612 Ivanić-Grad"
"Ema Ilić","Paunovac 39
60690 Čazma"
"Dominik Rašić","Krležin gvozd 4c/9
03532 Kastav"
"Matea Bačak","Kamenita 243
22037 Pakrac"
"Goran Živković","Novi Goljak 7c
84478 Križevci"
"Štefica Rahija","Jurjevska 5c
68556 Pakrac"
"Iva Moslavac","Zmajevac 0
02909 Duga Resa"
"Aldo Stošić","Svibovac 287
78979 Velika Gorica"
"Barbara Ražov","Goljačke 411
08303 Kraljevica"
"Lovre Miše","Dubravkin 6b
91114 Ilok"
"Ivo Barbić","Svibovac 9a/1
29971 Belišće"
"Maja Šurina","Rokova 7c
12560 Beli Manastir"
"Ivka Rebić","Remetska 6a/9
60784 Kutjevo"
"Milica Cik","Krvavi most 6a/1
11202 Nin"
"Nevenka Jakopović","Naumovac 203
40051 Novalja"
"Željka Kolić","Mletačka 8
11314 Ploče"
"Nikša Sirotić","Mihaljevac 3c
49550 Vukovar"
"Aldo Vlašić","Goljak 9a/7
05766 Đurđevac"
"Ante Burić","Podgaj 9c/6
92340 Otočac"
"Željko Dončević","Pantovčak 2b/5
11826 Vrlika"
"Vera Pavlović","Dvoranski prečac 9a
69288 Drniš"
"Ane Pečur","Dvoranski prečac 8c
02817 Križevci"
"Bruno Mirt","Zvonarnička 6c/1
69523 Biograd na Moru"
"Vlado Raljević","Gradec 85
56422 Velika Gorica"
"Jadranka Belošević","Wickerhauserova 1b/1
94482 Požega"
"Ema Ergotić","Ljubinkovac 55
94745 Donji Miholjac"
"Petar Bolčević","Mletačka 9c/9
94872 Sisak"
"Aldo Žic","Gupčeva zvijezda 5b
73298 Mali Lošinj"
"Dragutin Karmelić","Klanac Grgura Tepečića 0b/1
40298 Vrlika"
"Mateo Zubčić","Zmajevac 4a/7
10320 Donja Stubica"
"Jadranka Vidović","Gradec 166
20271 Vis"
"Ruža Ljubetić","Male 3
29469 Buje"
"Franciska Cik","Jurjeve 223
14056 Pakrac"
"Pavao Šimara","Davor 908
47035 Daruvar"
"Albina Buzov","Zmajevac 1b/1
45744 Hrvatska Kostajnica"
"Pero Dabo","Nova Ves 17
04995 Petrinja"
"Nika Zrinski","Wickerhauserova 60
17677 Čazma"
"Alen Akmačić","Lobmayerove 604
19945 Vrgorac"
"Romano Žufika","Gornje Prekrižje 332
05892 Umag"
"Zdravko Franušić","Kurelčeva 6a
71003 Korčula"
"Danijel Kolić","Gupčeva zvijezda 3b/6
10831 Imotski"
"Vladimir Žerjav","Klanac Grgura Tepečića 5b
27932 Otok"
"Barica Dragojević","Ksaverska 1c/7
29726 Duga Resa"
"Marijan Volarević","Lobmayerove 5a
06122 Opuzen"
"Nevenka Pavelić","Dvoranski prečac 1c
57483 Lepoglava"
"Bruno Cvrtila","Kraljevec II. 81
88840 Pazin"
"Dražen Rajn","Goljačke 8a
57832 Skradin"
"Alen Gredičak","Gračanska 6c
73597 Ploče"
"Mato Kupsjak","Opatovina 5b/6
31530 Slunj"
"Aldo Hrabar","Gupčeva zvijezda 313
69436 Grubišno Polje"
"Marina Roce","Gradec 1c
53883 Petrinja"
"Veronika Vukušić","Magdićeve 6b
25342 Prelog"
"Mladen Jakopović","Podgaj 4c
74514 Sveta Nedelja"
"Lovre Lučić","Strossmayerovo šetalište 0b
92119 Samobor"
"Hrvoje Debelić","Gupčeva zvijezda 0c/7
93790 Velika Gorica"
"Mateo Šantić","Davor 6b/2
71846 Belišće"
"Toni Sirotić","Jurjevska 1a/0
35944 Ivanec"
"Alen Miličić","Dolac 6a
80309 Ilok"
"Mladen Jozić","Pantovčak 80
14727 Našice"
"Alen Raspor","Ljubinkovac 61
22968 Delnice"
"Vladimir Ciganović","Istarska 0c
08595 Ozalj"
"Dario Bošnjaković","Zamenhofova 0c
80058 Zaprešić"
"Lana Šibalić","Istarska 9a/9
18853 Krapina"
"Vladimir Franušić","Zavojna 8a
28167 Ivanić-Grad"
"Jozo Branković","Tuškanac 29
47656 Skradin"
"Zorka Radić","Perivoj biskupa Stjepana II. 9c
77500 Knin"
"Jana Marušić","Voćarsko naselje 9c/9
02159 Poreč"
"Alen Čop","Zelenjak 1
74002 Novska"
"Elvis Matulin","Kozarčev vijenac 7b/9
89621 Prelog"
"Vesna Orešković","Mlinske 8a/5
59163 Zlatar"
"Jadranka Tešija","Rokova 2c
98606 Kaštela"
"Slavko Puljiz","Medvedgradska 516
33864 Vodnjan"
"Jana Benčić","Goljačke 7b/1
69187 Donja Stubica"
"Mijo Jelavić","Gupčeva zvijezda 1c
65689 Rab"
"Petra Bolčević","Orlovac 1b/8
53826 Beli Manastir"
"Ivica Vuk","Skalinska 7b/3
20644 Gospić"
"Dejan Lučić","Rockefellerova 6a/6
70923 Krapina"
"Alen Čudić","Hercegovačka 707
26323 Vrgorac"
"Saša Mušćet","Gračanska 8a
75119 Donji Miholjac"
"Laura Gudelj","Ksaverska 9b
20442 Slunj"
"Nataša Bosilj","Mirogojska 1b/8
74476 Klanjec"
"Mile Horak","Lobmayerove 1c
37451 Crikvenica"
"Mario Filipčić","Dvoranski prečac 7b/2
35503 Obrovac"
"Matija Zrinski","Klenovac 3a
85719 Novi Marof"
"Mia Guberović","Orlovac 80
79099 Samobor"
"Jadranka Puharić","Vrazovo šetalište 9
75830 Bjelovar"
"Elvis Pribanić","Mlinarska 4a
91210 Buzet"
"Ana Bobanović","Kurelčeva 9a
96646 Orahovica"
"Mare Erceg","Mlinske 8c
12725 Pregrada"
"Domagoj Deže","Mala 6b
96891 Trilj"
"Dalibor Ignac","Kožarska 4b
91778 Pula"
"Jasna Britvec","Vrazovo šetalište 9c
53148 Garešnica"
"Šime Jozić","Čačkovićeva 980
95404 Trogir"
"Ankica Matulin","Mlinarska 3c
68653 Valpovo"
"Rudolf Radelić","Bakačeva 0c
48281 Vodnjan"
"Zorka Lasić","Remetska 5c/1
89411 Đurđevac"
"Janko Fabijanić","Mihaljevac 7b
11443 Oroslavje"
"Ana Cvetnić","Kapucinske 02
97523 Kutina"
"Mara Mikulčić","Dubravkin 6a/3
91775 Nin"
"Lovro Knežević","Vitezovićeva 2a
85538 Vrlika"
"Niko Licul","Zeleni dol 5c/3
67497 Vukovar"
"Kate Krpan","Cmrok 23
20196 Ploče"
"Eva Stupalo","Mihaljevac 1b
12534 Delnice"
"Kristina Kokorić","Ksaverska 32
52968 Lepoglava"
"Sanja Puljiz","Klenovac 2
96186 Kraljevica"
"Božena Jurčić","Kamenjak 1b
73451 Križevci"
"Milka Burčul","Mlinovi 1a
60656 Krk"
"Ana Dončević","Kozarčev vijenac 7c/5
33276 Čazma"
"Dušan Ljubičić","Klenovac 09
89423 Slatina"
"Laura Lešić","Bosanska 5
56927 Senj"
"Mate Jagečić","Cmrok 6
06771 Pakrac"
"Roko Milina","Lisinskoga 9c/5
93507 Garešnica"
"Ruža Glavan","Jurjevska 5a
25414 Trilj"
"Branka Cestarić","Jurjeve 1c/1
09404 Klanjec"
"Nina Guštin","Dolac 5a
04212 Vrlika"
"Štefanija Turudić","Mlinske 5b/1
53689 Novigrad"
"Josip Rakuljić","Voćarska 8a/2
83992 Ozalj"
"Ana Jović","Kaptol 5
37287 Dugo Selo"
"Marin Maćešić","Dubravkin 7b/7
80901 Prelog"
"Jele Mustač","Medveščak 3b
18758 Pakrac"
"Josip Polović","Kamenita 8c/2
57258 Belišće"
"Anica Miletić","Zamenhofova 6
07703 Nova Gradiška"
"Mladen Turčinov","Kraljevečki odvojak 4b
74078 Trilj"
"Patrik Strinavić","Klenovac 3b/1
74535 Vrbovsko"
"Viktor Veić","Mirogojska 7c
24093 Belišće"
"Filip Ilić","Arnoldova 9a/4
06785 Ivanić-Grad"
"Mario Mužić","Krležin gvozd 9c
55326 Orahovica"
"Ana Kosanović","Jabukovac 8c
15197 Đurđevac"
"Đuro Horvatek","Zelengaj 5b
45632 Rovinj"
"Andrija Šestak","Dverce 314
27456 Novi Vinodolski"
"Gordana Vukman","Zamenhofova 3c/1
82746 Rovinj"
"Marin Rašeta","Goljak 71
18728 Pazin"
"Antonija Marušić","Krležin gvozd 1
18599 Drniš"
"Lucija Birkić","Višnjičke 1
00858 Rab"
"Vjekoslav Grgurević","Dverce 1b/9
15480 Pag"
"Lea Šinković","Zmajevac 6c
53259 Opatija"
"Mislav Vretenar","Medveščak 9a
10256 Pula"
"Ana Krajcar","Jadranska 3c/6
04995 Rijeka"
"Ankica Kokorić","Nemetova 9a
10517 Rijeka"
"Marica Kauzlarić","Horvatovac 17
71449 Rovinj"
"Antun Tonc","Kamenjak 4a
38048 Vrgorac"
"Branko Jurić","Dvoranski prečac 3a/1
64509 Slunj"
"Zlatko Kuzmić","Kraljevec 6a
19706 Šibenik"
"Nikola Barković","Pod zidom 83
27201 Čazma"
"Jasna Glasnović","Vijenac 2
92417 Grubišno Polje"
"Rozalija Šitum","Cmrok 6c/3
77752 Orahovica"
"Mladen Vincetić","Voćarsko naselje 6
89369 Samobor"
"Ana Mužina","Goljačke 3b
08803 Mali Lošinj"
"Manda Lorencin","Vrazovo šetalište 8
64494 Jastrebarsko"
"Marica Terlević","Visoka 02
49274 Vinkovci"
"Marica Cvitan","Višnjica 6a
91322 Metković"
"Petar Volarić","Radnički dol 9a
44205 Čabar"
"Stjepan Maržić","Hercegovačka 1c
00992 Buzet"
"Zlatko Kolega","Kozarčev vijenac 5c/4
10477 Trogir"
"Pavao Tuđa","Kapucinske 6b/0
26253 Križevci"
"Eva Polić","Voćarska 4a/8
34851 Umag"
"Marko Mičetić","Zmajevac 12
06925 Crikvenica"
"Ana Rebić","Male 6a
09523 Duga Resa"
"Roko Mikulandra","Rokov perivoj 5b/6
07237 Otočac"
"Ante Matokanović","Kaptol 909
81315 Lepoglava"
"Marijana Perković","Kapucinske 957
20162 Trogir"
"Štefica Rubinić","Mletačka 2b/8
19763 Zadar"
"Gordana Jakopović","Mlinovi 1a/6
28930 Vrgorac"
"Pavao Pavlović","Zelenjak 9b
82410 Otočac"
"Elvis Markuš","Klenovac 7b/1
60945 Klanjec"
"Tatjana Tuđa","Horvatovac 811
72054 Otočac"
"Vlado Halapir","Golubovac 89
60250 Oroslavje"
"Ana Sirotić","Grič 2c/5
55450 Oroslavje"
"Rudolf Milas","Vinogradska 290
03583 Popovača"
"Mateja Balinčić","Jurkovićeva 2c
31376 Petrinja"
"Mateja Lasić","Zvonarnička 76
51257 Vukovar"
"Nada Petek","Zamenhofova 28
46523 Kraljevica"
"Mirko Valentić","Naumovac 7a/3
98663 Sisak"
"Jasna Glasnović","Lobmayerove 30
42800 Đakovo"
"Joško Glavan","Splavnica 9c/1
06330 Ogulin"
"Snježana Nikolić","Mlinovi 2b/9
41939 Buzet"
"Mirjana Gegić","Novi Goljak 6c
21108 Drniš"
"Ana Čubrić","Zelenjak 9
81449 Omiš"
"Mateja Marasović","Petrova 3a/1
99420 Mali Lošinj"
"Nikola Grgurovac","Zavojna 9b/3
57810 Nova Gradiška"
"Renata Rubeša","Streljačka 8b/9
22622 Kutina"
"Dino Beletić","Grič 3c/3
00579 Gospić"
"Dejan Polonijo","Jurkovićeva 9c/1
21617 Valpovo"
"Franciska Sabol","Zelenjak 5b
75086 Zlatar"
"Mario Komljenović","Svibovac 5b
92009 Otočac"
"Juraj Čiš","Dubravkin 3a/6
51897 Omiš"
"Milena Šunjić","Splavnica 3c
62955 Osijek"
"Andrea Antonić","Zamenhofove 2
90511 Karlovac"
"Mirko Jakupić","Jabukovac 2
08206 Đurđevac"
"Anita Rebić","Rokov perivoj 9a
24849 Skradin"
"Vlado Čižmešija","Visoka 3c
30778 Klanjec"
"Lidija Šimunić","Jagodnjak 2b
86931 Beli Manastir"
"Ljiljana Gregov","Pantovčak 62
62882 Novalja"
"Julijana Mustač","Arnoldova 1c
27631 Slunj"
"Jozo Marijanović","Kozarčev vijenac 4b
19152 Kaštela"
"Đurđica Kereković","Novi Goljak 2c
46797 Sisak"
"Jure Jonjić","Kožarska 0b
00600 Gospić"
"Andrea Filipović","Šumski prečac 9c
84059 Jastrebarsko"
"Luka Jakopović","Dubravkin 1a/4
78995 Split"
"Milica Cvrtila","Zelenjak 7b
68896 Vukovar"
"Anica Dominković","Svibovac 5c
25770 Benkovac"
"Kata Ugrinić","Bijenička 7c
64984 Delnice"
"Nenad Mihelčić","Gupčeva zvijezda 9
00169 Glina"
"Vedran Barac","Ksaver 276
30026 Belišće"
"Saša Mofardin","Voćarsko naselje 41
23164 Senj"
"Lorena Petrić","Harmica 8a
85354 Metković"
"Ljiljana Grgurić","Kožarska 0b
96521 Koprivnica"
"Andrea Kolega","Remetska 121
95382 Hvar"
"Vesna Vorkapić","Mala 206
33726 Donji Miholjac"
"Toni Žužić","Zvonarnička 9c
61498 Vodnjan"
"Vlado Vidović","Ljubinkovac 5
36003 Rijeka"
"Danica Jukić","Šumski prečac 3c
15191 Zabok"
"Lana Tisaj","Arnoldova 0b/6
06119 Kraljevica"
"Denis Krželj","Perivoj srpanjskih žrtava 4b
56366 Vinkovci"
"Milica Načinović","Dverce 1a/4
92213 Trogir"
"Dejan Horvatinec","Podgaj 773
08038 Grubišno Polje"
"Duje Seničić","Rikardove 85
17048 Novi Marof"
"Andrea Majstorović","Jadranska 2c/8
78658 Vrbovec"
"Štefica Andrijević","Dolac 14
90566 Zlatar"
"Nataša Beraković","Krležin gvozd 8a
83211 Glina"
"Erik Karamarko","Dubravkin 6b
32308 Gospić"
"Karlo Baničević","Rockefellerova 2c/2
09466 Trogir"
"Matija Sokić","Vončinina 939
02994 Kastav"
"Pavao Lukić","Jurjeve 3
53070 Umag"
"Nikša Štefanec","Ribnjak 1b
73878 Bjelovar"
"Eva Martinić","Zmajevac 8a
79111 Bjelovar"
"Draga Semialjac","Tošovac 5c/6
90285 Garešnica"
"Andrea Miletić","Srebrnjak 9c/9
82415 Vis"
"Anto Jurjević","Zmajevac 4a
09954 Otok"
"Božena Slavica","Klanac Grgura Tepečića 2
31296 Novalja"
"Andrea Koški","Višnjičke 3b/3
90124 Solin"
"Đurđica Kolarec","Tošovac 7
10795 Bjelovar"
"Antonija Brlek","Kapucinske 60
66975 Varaždin"
"Suzana Markovac","Vončinina 5a/1
32190 Pazin"
"Ante Ušić","Golubovac 8a/2
02760 Opatija"
"Dragan Čuljak","Horvatovac 7c
64844 Valpovo"
"Elizabeta Kocijančić","Vlaška 43
00794 Benkovac"
"Andrea Orbanić","Klesarski put 329
07520 Klanjec"
"Dalibor Dautović","Mlinarska 9a/8
62753 Donji Miholjac"
"Draga Aničić","Streljačka 3b/2
82408 Omiš"
"Boris Bogadi","Opatička 5c/7
73075 Duga Resa"
"Tomo Božičković","Pantovčak 7a
90123 Vrgorac"
"Slavko Kereković","Slavujevac 7b
69314 Grubišno Polje"
"Željko Gredičak","Kraljevec 0c
49544 Osijek"
"Nevenka Amanović","Ružičnjak 5c
26310 Sveti Ivan Zelina"
"Rudolf Šturlan","Kamaufova 3c/6
07900 Glina"
"Mirko Polović","Skalinska 19
16001 Varaždinske Toplice"
"Andrea Radočaj","Kraljevečki odvojak 9c/5
19638 Omiš"
"Franjo Papak","Goljačke 71
85808 Pregrada"
"Terezija Bušljeta","Ksaver 6c/3
28393 Dugo Selo"
"Katarina Grba","Jurišićeva 2b
88140 Krk"
"Gordana Tešija","Jurjeve 635
37610 Klanjec"
"Marija Maras","Voćarska 8a
01291 Bjelovar"
"Valter Balić","Kaptol 0b
21758 Stari Grad"
"Dario Karuza","Kapucinske 605
99371 Trogir"
"Roko Tomić","Zavojna 7c/4
68771 Lepoglava"
"Matija Urlić","Tkalčićeva 5b
79471 Zlatar"
"Andrea Valjetić","Opatovina 9
16231 Pazin"
"Mile Malnar","Bijenička 4a
69870 Korčula"
"Branko Strinavić","Srebrnjak 97
38219 Senj"
"Marko Božičković","Perivoj srpanjskih žrtava 8a
74427 Popovača"
"Ružica Vidović","Novi Goljak 4c/5
91355 Pleternica"
"Albina Hardi","Ribnjak 7a/0
00261 Hvar"
"Lara Cvetnić","Pod zidom 38
72247 Ivanec"
"Matea Benić","Jurišićeva 9b
03880 Labin"
"Vladimir Hrabar","Zmajevac 507
17232 Rijeka"
"Ivanka Burčul","Kapucinske 48
67034 Rovinj"
"Andrea Vorkapić","Gračanska 3b/4
33539 Jastrebarsko"
"Dalibor Jugovac","Šalata 0a
96738 Vodice"
"Vlado Matana","Draškovićeva 3
59354 Buzet"
"Mario Šurbek","Kamenjak 4c/5
24012 Skradin"
"Zdravko Peterlik","Višnjičke 429
12321 Glina"
"Tomislav Božičević","Kamenjak 983
47728 Obrovac"
"Željko Buzov","Vitezovićeva 6b/5
20991 Krk"
"Erik Ražov","Mašekova 3a/5
55565 Glina"
"Ivka Miloslavić","Rockefellerova 8c/6
17322 Pregrada"
"Mirjana Petričević","Voćarsko naselje 7a
69501 Pag"
"Andrea Vrban","Ružičnjak 7c
03745 Nin"
"Marijana Sokač","Davor 3b
64514 Vodice"
"Stjepan Paradi","Višnjica 5
84596 Nova Gradiška"
"Marijan Galić","Jurkovićeva 8b/8
53317 Korčula"
"Karla Mihić","Gradec 191
21151 Vinkovci"
"Stana Nikolić","Jurišićeva 5b/8
19409 Čakovec"
"Dejan Hećimović","Ljubinkovac 9
40345 Benkovac"
