"Alain Balmat"|"chemin Badan 41
1834 Robadey"
"François Beuret"|"rue de Mottiez 26
4177 Rosselet am Albis"
"Christian Cousin"|"boulevard de Delèze 348
9255 San Muriset"
"Samuel de Dardel"|"chemin de Matile 34
6503 Meyer"
"Alicia Carraux"|"rue de Grand
8819 Comman-près-Meyer"
"Nicole Boechat-Crivelli"|"rue de Rey 34
9300 Matile-la-Ville"
"Alain Dubey"|"rue Jean-Pierre Cosandey 44
6421 Deladoëy an der Aare"
"Lucas Bonvin-Corpataux"|"rue de Uldry
5925 Barbey"
"Raymond Monnet"|"rue Chatriand
3255 Humbert-sur-Bovet"
"Alexandre Rossellat"|"avenue Léo Cornuz 57
7449 Besançon"
"Suzanne Nüsslin-Beuchat"|"avenue Rappaz 407
8401 Alber-près-Monney"
"Laetitia Müller"|"avenue Christian Cousin
2705 Gilliéron"
"Céline Masseron"|"boulevard Gabriel Bonvin 6
1735 Chapuis"
"Laura Cornuz"|"chemin Uldry 959
1219 Vonlanthen-des-Bois"
"Gilbert Francillon"|"avenue de Niquille 649
6403 Chopard"
"Roger Besançon"|"rue Michel Boichat 41
6551 Grand-la-Ville"
"Alain Julliard"|"rue Nathan Nüsslin 5
8859 Cretton-Dessous"
"Caroline Mottet"|"chemin de Quartier 2
1768 Cattin (ZG)"
"Nolan Chevalley"|"boulevard de Beurret 928
6579 Boillat an der Aare"
"Christian Matile-Chapuis"|"boulevard de Duvanel 5
1797 Georges-Dessous"
"Claudine Blanc"|"boulevard Carraux
7561 Botteron"
"Elisabeth Tinguely"|"avenue de Rapraz 1
9662 Vermeil am Albis"
"Sandrine Polla"|"chemin Alicia Rappaz 54
6805 Sainte Meyer"
"Zoé Rossellat"|"boulevard de Bourquard
6597 Marti-près-Chevalley"
"Marcel Bochud"|"avenue de Rapraz 2
3823 Paccot"
"Yvonne Vienne"|"rue de Chevalley 233
4656 Carraux am Albis"
"Alain Mayor"|"chemin Suzanne Beguin 824
7138 Boichat"
"Sandrine Chappuis"|"rue Claudine Curdy 957
8145 Rosselet"
"Paul Sandoz"|"avenue Pierre Privet 63
6500 Rapraz"
"Valérie Boechat"|"boulevard Cornut 525
6871 Gubéran"
"Antonio Masseron"|"avenue Humbert 14
1260 Comment-sur-Carron"
"Christine Pasquier"|"chemin Nicole Délèze 70
9045 Délèze-Dessous"
"Sandrine Coigny"|"boulevard Quartier 7
2547 Uldry"
"Stéphane Treboux"|"avenue de Vuille 69
9875 Cosandey"
"Matteo Paccot"|"rue Sébastien Carraud 1
8727 Rapraz"
"Robert Nusslé"|"rue de Fonjallaz 50
4564 Marty"
"Alain Peitrequin"|"rue Françoise Cretton 24
4207 UnterPasquier"
"Alexandre Montandon-Deshusses"|"avenue de Rosselet
2588 Marty am Albis"
"Manon Aebi"|"chemin Comte
8593 Besançon"
"Mélanie Gilliéron"|"rue Boichat 2
4900 Boechat-Dessous"
"Isabelle Mottet"|"avenue Mercier 18
4739 Chatriant am Rhein"
"Françoise Evéquoz"|"avenue de Quartier 8
9156 Corpataux (OW)"
"François Godet"|"rue Marie Brahier 80
8270 Menthonnex"
"Jonathan Morard"|"rue Courvoisier 55
1933 Piccand an der Aare"
"Luca Chatriand"|"boulevard Nelly Curdy 89
6415 Conrad am See"
"Hélène Tinguely"|"rue Grosjean 41
7837 Berberat"
"Alain Vuille-Bahon"|"rue Martin 468
8175 Aebi-près-Carraux"
"André Muriset"|"rue André Droz 965
6680 Monnet"
"Elisa Delèze"|"rue Peitrequin 74
7584 Nüsslin-Dessous"
"Maria Humbert"|"chemin Michel Vienne 50
5554 Quartier-près-Menthonnex"
"Georges Cattin"|"rue Jacot-Guillarmod 61
8702 Rappaz-Dessous"
"Matteo Pachoud"|"chemin Nolan Courvoisier
8552 Brandt"
"Laurence Monnard"|"rue Gilliéron 42
6046 Grojean (AG)"
"Chloé Bavaud"|"rue Wicht 49
6336 Grand am See"
"Chloé Rey"|"rue Lisa Babey 68
7861 Brahier (VS)"
"Julien Joly-Paccot"|"rue de Chevalley 336
2265 Candaux (SZ)"
"Albert Boichat"|"rue Aebi 5
3051 Cornut"
"Caroline Crevoisier"|"rue Rossellat
1487 Chaudet am Rhein"
"Ana Beurret"|"chemin Matile 69
1712 Piccand (OW)"
"Patricia Comment"|"rue Carron 91
5029 Conrad"
"Matteo Alber"|"chemin Paccot 7
1850 Délèze"
"Danielle Courvoisier"|"boulevard Piccand 35
1568 Menthonnex-sur-Monnet"
"Emilie Coigny"|"rue Elodie Chappuis 83
3426 Nüsslin-sur-Courvoisier"
"Christine Brandt"|"rue Luca Galland 327
7132 UnterMercier"
"Céline Barman"|"avenue Noah Marty 80
2934 Bovet"
"Michael Montandon"|"avenue Jeanne Saudan
6612 Broquet am See"
"Albert Botteron"|"avenue Alber 41
3143 Beuchat"
"Sarah Brandt"|"chemin Monney 13
4936 Crivelli-la-Ville"
"Ana Crivelli"|"rue Léo Cousin 88
9433 Berberat-sur-Badel"
"Christiane Cattin"|"avenue Stéphanie Chatriand 3
4529 Beuret-sur-Blanc"
"Jeanne Privet"|"boulevard de Chenaux 5
2308 Robert-près-Chaudet"
"Valérie Comment"|"rue Vuille 49
1206 Béguelin"
"Paul Bochud"|"chemin de Corpataux 71
4887 Bovet"
"Léo Cretton"|"rue de Montandon 64
6147 Cosandey-près-Meyer"
"Julien Chappuis-Vonlanthen"|"chemin de Musy 12
5342 Corpataux-la-Ville"
"Nathan Bouvier"|"rue de Cosandey
9611 Jacot-Guillarmod (BS)"
"Albert Joly"|"boulevard Mottet
5587 Nüsslin-des-Bois"
"Sébastien Berberat"|"boulevard Marianne Joye
8837 Saint Deshusses"
"Matteo Rosselat"|"chemin Alber 914
6763 Pachoud (GL)"
"Pascal Bugnon"|"rue Julien Jacot-Guillarmod 71
4076 Romanens am Albis"
"Ana Grand"|"chemin Quartier 14
6610 Quartier-près-Bochud"
"François Montandon-Bonvin"|"boulevard de Grosjean 50
8510 Cossy am Albis"
"Jacques Georges"|"chemin de Cossy 52
8240 Georges-Dessus"
"Gabriel Matile"|"avenue Botteron 2
6095 Francillon am Rhein"
"Manon Chaudet"|"rue Gubéran 25
7404 Chatriand-Dessous"
"Denise Aeby"|"boulevard Manon Bourquin 92
4022 Cretton-sur-Morand"
"Albert Joye"|"boulevard Muriset
4425 Bonvin an der Aare"
"Claudine Monney"|"chemin de Rapin 88
3652 Chenaux an der Aare"
"Lucie Isella-Cornut"|"rue Carron 49
2472 Musy-sur-Cretton"
"Jacques Cousin"|"rue Laurent Corboz 5
3038 Chopard"
"Mélanie Morard"|"boulevard Bochud 1
8433 Bourquin-des-Bois"
"Eliane Barbey"|"avenue Nathalie Monney 288
1764 Carraud am Albis"
"Kevin Curdy"|"avenue Julien Bochud 25
4699 Jacot-Guillarmod"
"Hugo Godet"|"chemin Maria Peitrequin 60
7438 Isella"
"Julien Gubéran"|"boulevard Frédéric Cosendey 92
2255 Pasquier (AG)"
"Gilbert Beuret"|"rue Besençon 728
9592 Corboz"
"Albert Morand"|"rue Botteron 30
8546 Courvoisier an der Aare"
"Mathilde Delèze"|"boulevard Mottet 84
8130 Montandon"
"Germaine Gubéran"|"rue Marie Galland 2
9088 Gillièron-près-Sandoz"
"Henri Bonvini"|"chemin Rey 419
9462 Galland"
"Lucie Carraud"|"rue de Jomini 55
5496 Muriset"
"Julie Jacot-Descombes-Galland"|"rue de Barillon 25
4347 Isella-les-Bains"
"Anna Bouvier"|"chemin de Diesbach 48
9312 Chaudet-Dessus"
"Christine Bugnon-Candaux"|"boulevard Beguin 38
1096 Uldry-des-Bois"
"Pierre Privet"|"boulevard Alber 42
2192 Piccand"
"Sara Treboux"|"avenue de Beuchat 49
7474 Paschoud"
"Albert Sansonnens"|"avenue Maxime Morard 41
8210 Bouvier (BL)"
"Hugo Aebi"|"chemin de Coigny 97
6612 Chaudet (LU)"
"Luca Chappuis"|"chemin de Bourquin
4841 Cossy"
"Christophe Chappuis"|"rue de Charpié 1
9193 Gilliéron-près-Beguin"
"Thierry Maire"|"rue Francillon 5
8178 San Müller"
"Jean Broquet"|"avenue Bochud 76
5664 Beuchat (ZH)"
"Véronique de Dardel-Bochud"|"chemin de Besse 87
6246 Morand"
"Claude Beuret"|"chemin de Monney 4
4556 Théraulaz am Rhein"
"Chloé Barman"|"rue Roger Tinguely 5
8360 Saint Besançon"
"Eva Gubéran"|"rue de Sansonnens 40
7001 Muriset"
"Albert Treboux"|"rue Romain Bavaud 106
1177 Corboz-sur-Charpié"
"Jessica Alber"|"boulevard de Morand 78
7986 Chapuis am See"
"Mathilde Romanens"|"rue Alexandre Vallélian 30
6128 Marti"
"Eliane Bernasconi"|"rue de Robadey 919
9109 Monnard"
"André Beuchat"|"rue Jean Besençon 82
9496 Aebi-Dessous"
"Céline Vermeil"|"avenue Michael Gilliéron
2937 Maire-les-Bains"
"Marcel Brandt"|"boulevard Polla 2
9918 Martin"
"Marie Barillon"|"rue de Rapin 11
1594 Berberat (OW)"
"Sandrine Bouvier-Fonjallaz"|"rue de Maire 71
3554 Musy"
"Jean Deladoëy"|"chemin Courvoisier 2
9267 Bovet (BS)"
"Albert Vermeil"|"chemin Deshusses 76
2523 Mottet (FR)"
"Fabienne Menthonnex"|"boulevard de Joye 151
8307 Jacot-Guillarmod"
"Yvonne Cretton"|"rue Robert 5
8585 Cosendey"
"Sarah Deshusses"|"rue Paschoud 10
2897 Julliard am See"
"Claude Sandoz"|"avenue de Fonjallaz
6890 Comment an der Aare"
"Maurice Babey"|"chemin Saudan 812
9892 Berberat-près-Fonjallaz"
"Manon Bourquin"|"chemin Badan 76
6612 Chapuis-des-Bois"
"Alexandre Mottiez-Cornut"|"boulevard de Cosandey 49
1279 Blanc"
"Louis Alber"|"chemin Evéquoz 430
9164 Peitrequin (FR)"
"Thérèse Cattin"|"boulevard Monnard 8
3783 Délèze-Dessous"
"Albert Vienne"|"rue Bernasconi 71
3318 Godet-sur-Corpataux"
"Philippe Chaudet"|"rue de Aeby 463
1632 Nüsslin"
"Sébastien Cousin"|"chemin Bourquard 87
2205 Saudan am Rhein"
"Olivier Comman"|"boulevard Vincent Cretton 95
8264 Vermeil an der Aare"
"Elisabeth Uldry-Paccot"|"rue Charlotte Besse 951
3600 Broquet"
"Sandrine Piccand-Tinguely"|"rue Muriset 50
4241 Jomini-la-Ville"
"David Menthonnex"|"boulevard Yvette Vienne 34
7247 OberCosandey"
"Bruno Chenaux"|"boulevard de Privet 156
1696 Rosselet (UR)"
"José Piccand-Galland"|"boulevard Mottiez
8231 Pasquier-Dessous"
"Laetitia Privet"|"rue Lisa Monnard 64
2310 Conrad-Dessous"
"Alexandre Babey"|"rue de Privet 85
8935 Curdy"
"Vanessa Nusslé"|"rue Corboz 36
6109 Vuille am Rhein"
"Daniel Chappuis-Julliard"|"rue Gérard Cousin 11
9325 Menthonnex"
"Laura Tinguely"|"rue Catherine Muriset 566
3726 Wicht"
"Nolan Uldry"|"boulevard de Comment 46
3880 Sandoz-la-Ville"
"Simone Godet"|"boulevard Clara Rossellat 93
9120 Chappuis-près-Barillon"
"Nolan Morard"|"rue de Matile 864
4678 Carron (NW)"
"Manon Rosselet"|"avenue Conrad 60
9539 Cattin-sur-Chatriand"
"Matteo Corpataux"|"rue Morand
3267 Sainte Bugnon"
"Jacques Tinguely"|"rue Grojean 1
8427 Cousin-Dessous"
"Alexandre Beuchat-Vermeil"|"avenue Chatriant
4111 Beguin"
"Elisa Grand"|"chemin de Maire
7095 Charpié-près-Peitrequin"
"Elodie Cousin-Duroux"|"boulevard Manon Monnet 1
9682 Blanc (SG)"
"Hélène Monnard-Beuchat"|"chemin Besse 41
9721 Cornuz"
"Laura Monney"|"avenue Maire
6297 de Dardel"
"Fabienne Vallélian"|"rue Beguin
3636 Romanens"
"Marie Muriset"|"boulevard Cornuz 45
5489 Bourquard (JU)"
"Caroline Besençon"|"boulevard de Comment
4423 Corbat am Rhein"
"Jonathan Botteron"|"rue Laetitia Thorens 6
6685 Tinguely-sur-Dubey"
"Lara Pellet-Gubéran"|"rue de Comman 17
7082 UnterComman"
"Alexandre Bonvini"|"rue Barman 28
3508 Mottiez"
"Bruno Nüsslin"|"rue Julien Bahon 22
7263 Délèze-les-Bains"
"Antonio Besençon"|"rue Raymond Jomini 239
7624 OberJacot-Descombes"
"Henri Rosselet"|"rue de Beurret 4
2373 Grand"
"Antonio Mayor"|"rue Bonvini 49
1245 Meyer"
"Romain Bavaud"|"rue Bujard 4
3631 Barillon (GR)"
"Anna Mottiez"|"avenue de Niquille 394
9971 Meyer"
"Danielle Badan"|"chemin Boechat 3
6443 Grosjean-sur-Bujard"
"Jeanne Béguelin"|"boulevard Martin
9848 Paccot (BS)"
"Gilbert Barbey"|"chemin Manon Marti
4909 San Corpataux"
"Alexandre Chatriand-Privet"|"chemin Béguelin 501
7448 Broquet an der Aare"
"Marianne Grosjean-Comte"|"rue Menthonnex 74
6324 Chenaux (BE)"
"Lara Sandoz"|"boulevard Louis Crivelli
4470 Tinguely-près-Rosselet"
"Bruno Maire-Barillon"|"rue Carraud 39
4010 Cornuz-les-Bains"
"Pierre Menthonnex"|"boulevard Mottiez 12
7689 Deshusses-des-Bois"
"Jacques Mottet"|"rue Danielle Rapraz 8
7914 Conrad-près-Botteron"
"Caroline Bujard"|"rue Bourquin 81
3651 Berberat"
"Danielle Julliard"|"avenue de Galland 58
3045 Isella am See"
"Gabriel Deshusses"|"rue de Chappuis 5
5679 Droz (GL)"
"Françoise Jacot-Descombes"|"avenue de Boillat 71
9713 Gillièron-les-Bains"
"Alexandre Coigny"|"chemin de Maire
1112 Bourquin"
"Sarah Berberat"|"boulevard Samuel Fonjallaz 558
7445 Badel"
"Alice Francillon"|"chemin Françoise Dubey 723
4356 Balmat-Dessous"
"Eva Galland"|"chemin Duvanel 280
7198 Galland-sur-Blanc"
"Nolan Francillon-Robert"|"rue Galland 74
7460 Chappuis-près-Bouvier"
"Thomas Bavaud"|"rue de Jomini
3277 Vermeil (GR)"
"Elisa Joly"|"chemin Luca Rey
2497 Chaudet"
"Loïc Müller-Romanens"|"boulevard Matile 4
1320 Barman"
"Manon Saudan"|"avenue Monique Corbat
9955 Bourquard"
"Gabriel Monnard"|"boulevard de Treboux 51
9268 Courvoisier-la-Ville"
"Alexandre Comte"|"rue Eric Thorens 66
4079 Charpié"
"Nicole Bernasconi"|"avenue Jacot-Descombes 835
6129 Mercier (ZH)"
"Maxime Besençon"|"chemin Comte 78
9219 Monnet am Albis"
"Sandra Vallélian-Aebi"|"rue Beuchat
6429 Besançon"
"Clara Monnard"|"rue Balmat 42
8544 Broquet"
"Aurélie Diesbach"|"rue Jeanne Montandon
6877 Uldry-Dessous"
"Véronique Paccot"|"chemin Galland 87
3573 Babey"
"Maxime Gilliéron"|"avenue Courvoisier 335
5049 Cornuz"
"Henri Humbert"|"avenue Grojean 33
2654 Bugnon-près-Cornuz"
"Olivier Montandon-Boillat"|"avenue Candaux 91
7265 Aeby-près-Corpataux"
"Alexandre Courvoisier"|"rue de Délèze
7337 Treboux-près-Conrad"
"Danielle Chatriand"|"boulevard Laurent Carron 936
5442 Saudan"
"Christine Cossy"|"boulevard Matile 33
1327 Carron"
"Nathalie Délèze"|"chemin Jacques Chenaux 361
6359 Cosendey-sur-Galland"
"Maria Sansonnens"|"chemin Olivier Vonlanthen 35
2380 Deshusses (VD)"
"François Chapuis"|"rue Nathan Chappuis 991
3420 Vonlanthen"
"Jean-Pierre Marty"|"rue Philippe Botteron 78
3859 Vermeil (GE)"
"Julie Bochud"|"boulevard Brandt 7
5231 Robert-près-Berberat"
"Jacqueline Mottiez-Sandoz"|"boulevard Paul Nusslé 233
6293 Francillon"
"Albert Tinguely"|"boulevard Paul Galland 6
3610 Masseron an der Aare"
"Alexandre Crivelli"|"chemin de Babey 849
1493 Bovet"
"Laetitia Grand"|"boulevard Romanens 354
8865 Chevalley am See"
"Michael Rosselet"|"avenue de Babey 76
3000 Chopard am Rhein"
"Alain Aeby"|"rue Grosjean 86
1356 Paschoud"
"Théo Privet"|"avenue de Bahon
3629 Conrad"
"Patrick Béguelin"|"boulevard Beguin 17
4038 Délèze-Dessus"
"Camille Bourquin"|"rue Boichat 4
2089 Botteron"
"Monique Carraud"|"avenue de Beuret 76
6408 Saint Chenaux"
"Patricia Vienne"|"chemin Eva Vuille 939
3906 Crevoisier am Rhein"
"Thérèse Vuille"|"rue de Monney 51
3210 Chappuis-sur-Bernasconi"
"Alexandre Diesbach"|"chemin de Brandt 497
1043 Galland-sur-Cosandey"
"Charlotte Rossellat-Barbey"|"rue de Corbat 64
4474 Carron"
"David Sansonnens"|"rue Charles Pellet 7
7808 Masseron (GE)"
"Georgette Carraux"|"avenue Monney 30
7189 Thorens am See"
"Liliane Broquet"|"avenue de Galland
1203 Comman"
"Guillaume Grosjean"|"rue Beuret 608
7891 Crivelli"
"Eliane Mottet-Bujard"|"rue de Nusslé 6
4972 Mercier-Dessous"
"Jacques Barbey"|"rue Paschoud 44
8153 Blanc"
"Sara Nüsslin"|"boulevard de Gillièron 1
2616 Masseron"
"Mathilde Delèze"|"avenue Bernard Diesbach
9311 Bonvini (BE)"
"Alexandre Francillon"|"boulevard Albert Uldry 38
1918 Mayor-Dessus"
"Eliane Coigny"|"rue Cretton
7293 Polla an der Aare"
"Claude Vienne-Théraulaz"|"chemin Barbey 15
9322 Aeby"
"Alain Brahier"|"chemin Samuel Bahon
3851 Pellet-sur-Comte"
"Georgette Besse"|"rue de Bujard 175
3483 Rapraz"
"Emilie Bonvin"|"avenue de Pachoud 30
7934 Aeby"
"Jessica Barman-Monnet"|"chemin de Blanc 9
5535 Besse-sur-Vermeil"
"Vanessa Crevoisier"|"chemin Wicht 49
3281 Sainte Evéquoz"
"Simone Beuret"|"rue Beurret 297
7827 Rey"
"Lucie Chopard"|"avenue Fonjallaz 46
8993 Peitrequin-sur-Corpataux"
"Alexandre Grand"|"rue de Vermeil 86
9370 Vienne am Rhein"
"Yvette Cosandey-Bugnon"|"rue de Badel 7
6333 Boillat-Dessus"
"Claude Carron"|"rue de Délèze 12
3674 Balmat am Rhein"
"José Sansonnens"|"rue Niquille 969
2737 Bujard"
"Manon Vonlanthen"|"avenue Charlotte Curdy 62
3497 Maire-près-Pachoud"
"Bernard Paschoud"|"avenue Beuchat
1329 Rosselat"
"Antonio Pellet"|"boulevard de Barbey
4720 Barman-des-Bois"
"Marcel Robadey-Godet"|"rue de Cornuz 898
4463 Duvanel"
"Marcel Galland"|"rue de Chopard 30
9458 Montandon-Dessous"
"Valérie Berberat"|"rue Vonlanthen 8
5123 Botteron-sur-Carraux"
"Alexandre Joly"|"boulevard Vermeil
5402 San Délèze"
"Lisa Tinguely"|"avenue Chatriant
2430 Comte-sur-Corbat"
"Christine Cousin"|"avenue de Polla
1798 Saint Chenaux"
"Guillaume Besençon"|"avenue Matteo Carraux 937
7085 Cattin"
"Alice Barillon-Chopard"|"rue Anne Boillat 8
4950 Balmat-sur-Gilliéron"
"Jacqueline Corbat"|"boulevard de Droz 46
2657 Saudan-près-Musy"
"Christian Paccot"|"boulevard de Berberat 527
3313 Conrad"
"Fabienne Paschoud-Monnet"|"rue de Godet 85
9782 Bavaud (SO)"
"Françoise Beuchat"|"avenue Gillièron 71
9328 Bavaud"
"Jessica Cosandey"|"chemin Thomas Corbat
2036 Jacot-Descombes-près-Duvanel"
"Alexandre Jomini"|"avenue de Quartier 4
2944 Duvanel-les-Bains"
"Monique Monney"|"boulevard Julie Comment 7
8917 Monney am Rhein"
"Ana Comment"|"avenue Roger Mottet 8
3945 Bernasconi-près-Tinguely"
"Raymond Bourquard"|"rue de Chaudet 56
9941 Crivelli-sur-Dubey"
"Hélène Delèze"|"chemin Matteo Bochud 98
8197 Bugnon"
"Nicole Chevalley"|"rue de Wicht 11
3416 Cosandey (ZH)"
"Georges Menthonnex"|"avenue de Barman 771
7728 Treboux"
"Thierry Besençon-Piccand"|"rue Elisa Diesbach 12
3068 San Bourquard"
"Marianne Mercier-Bonvin"|"rue Chenaux
2004 Aebi"
"Vanessa Wicht"|"rue Thierry Morand 35
4286 Chaudet"
"Alexandre Masseron-Marti"|"rue Christiane Besançon 77
6327 Cousin"
"Marie Vonlanthen"|"rue Droz 127
4945 Comman (GR)"
"Henri Thorens-Morard"|"rue Boechat
2463 OberPolla"
"Hélène Bonvin"|"rue Courvoisier 64
6106 Rey"
"Guillaume Chatriand"|"chemin Deshusses 39
4272 Droz"
"Michael Carraux"|"boulevard de Chatriant
8116 Matile"
"Zoé Monnard"|"rue Georges Deladoëy 45
9914 Chaudet"
"Kevin Beurret"|"avenue Louis Marti 60
9223 Mottet"
"Maxime Corbat"|"rue de Botteron 1
6098 Babey"
"Raymond Bujard"|"boulevard Julien Meyer
3482 Evéquoz (SO)"
"Alexandre Monnard"|"rue Mottiez 98
4644 Treboux"
"Jean Bugnon-Grosjean"|"chemin Droz 96
8816 Théraulaz (SZ)"
"Alicia Bovet"|"avenue Boillat 97
6294 Gilliéron"
"Odette Besançon"|"avenue Badan 962
5188 Cosandey am See"
"Sandra Babey"|"boulevard de Treboux 47
8125 Grojean"
"Lucie Chatriand-Sandoz"|"avenue de Rappaz 19
4793 Besançon-sur-Corpataux"
"Henri Charpié"|"chemin Monnard 45
4441 Niquille-près-Pasquier"
"Chantal Musy-Chevalley"|"chemin Boichat
5689 Gillièron"
"Ethan Marti"|"chemin de Cattin
3987 Chappuis"
"Alicia Aeby"|"boulevard Marie Chaudet 77
1694 Carraux-des-Bois"
"Alexandre Monney"|"avenue de Rossellat 24
3888 Sainte Barbey"
"Nicolas Bonvini"|"chemin Niquille 93
2686 Bahon"
"Anna Monnet"|"avenue Masseron 326
3030 Tinguely"
"André Pasquier"|"avenue de Romanens
6591 Babey"
"Michael Bourquin"|"chemin de Deshusses 20
7893 Galland"
"Laetitia Rosselet"|"rue Carraux 9
4507 Chappuis-sur-Barman"
"Véronique Rappaz"|"avenue Cousin 67
9276 Vuille-Dessus"
"Eva Monnard"|"rue de Mercier
3945 Marty"
"Jean-Claude Vonlanthen"|"boulevard Beguin 57
2161 Chenaux"
"Olivier Monnet-Uldry"|"avenue Chantal Chatriant 7
6983 Curdy"
"Alexandre Morand"|"boulevard Florian Carraud 13
2522 Jomini am Rhein"
"Daniel Boechat"|"rue Michel Deladoëy 66
3765 Saudan"
"Chantal Cornut"|"rue Galland 93
2473 Boichat am See"
"Stéphanie Sandoz"|"chemin Simone Comte 50
4809 Corpataux"
"Robert Besse"|"chemin Müller 4
2268 Jomini"
"Bruno Vonlanthen"|"boulevard Delèze
7229 Carron-sur-Conrad"
"Alexandre Nüsslin"|"chemin de Duroux 765
4685 Monney-des-Bois"
"Maurice Monnet"|"boulevard Charlotte Thorens 7
1382 Francillon-près-Francillon"
"Luca Bourquin"|"rue Alain Deshusses 26
4152 Comment (SO)"
"Jean-Claude Isella"|"rue Robadey 20
9691 Botteron (SO)"
"Alexandre Musy-Robadey"|"avenue Masseron
3150 Mayor"
"Henri Brahier"|"chemin Emma Vonlanthen 10
3618 Sandoz-sur-Mayor"
"Georges Badan"|"rue de Comte 2
2125 Gilliéron"
"Marcel Bugnon"|"rue de Béguelin 93
3105 Chaudet-près-Broquet"
"Guillaume Quartier"|"chemin Guillaume Chapuis 91
4805 Marti-sur-Barman"
"Gilbert Brahier"|"avenue Francillon 65
2963 Corbat-sur-Thorens"
"Sandra Monnard"|"avenue Monney 422
2643 Charpié-sur-Boichat"
"Christiane Jacot-Guillarmod"|"boulevard Denise Comment 93
8389 Rapin-près-Corbat"
"Mélanie Marti"|"avenue de Isella 1
4585 Badel"
"Jacques Masseron"|"chemin Joly 715
9647 Cattin-sur-Corpataux"
"Alexandre Pasquier"|"avenue Georges Marty 18
7655 Rapin am Rhein"
"Simone Sansonnens"|"chemin Stéphanie Joly 826
8093 Cornuz"
"Léa Badan"|"chemin Mathieu Chaudet 52
1161 Grojean (BS)"
"Lisa Boillat"|"rue Curdy 438
1530 Humbert"
"Robert Vonlanthen"|"chemin Thierry Balmat 268
2458 UnterDelèze"
"Madeleine Paschoud-Tinguely"|"rue de Marti 7
3503 Matile-près-Vallélian"
"Alain Cretton"|"chemin de Bovet
4517 Gilliéron-sur-Carron"
"Stéphanie Gillièron"|"rue Béguelin
2736 Pellet-Dessous"
"Jean-Pierre Martin"|"rue de Brahier
7060 Sainte Mottet"
"Manon Carraux"|"rue Droz
5795 Godet"
