"Adrian Aasen"|"Bøeplassen 64, 8771 Aas"
"Jørgen Isaksen-Gundersen"|"Jenssenlia 9, 4675 Iversen"
"Hanna-Bjørg Andersen"|"Bergsvingen 16A, 1759 Saraø"
"Håvard Andersen"|"Svendsenlunden 6C, 2330 Mortenås"
"Dag Sandvik"|"Engenhøgda 62, 6620 Solberg"
"Torbjørn Christensen"|"Jakobsenalléen 49, 5808 Vik"
"Torbjørn Iversen-Gundersen"|"Tveitlunden 94, 6465 Ellingsen"
"Synnøve Danielsen"|"Thomassenengen 59, 1783 Berg"
"Prof. Marius Bakken"|"Andersenstranda 1, 7283 Svendsen"
"Sebastian Nielsen"|"Halvorsenstubben 27, 5643 Runedal"
"Alexander Fredriksen"|"Brekkealléen 6, 8297 Ingeborgbø"
"Øystein Karlsen-Thomassen"|"Birkelandtoppen 9, 9991 Birkeland"
"Astrid-Cathrine Gundersen"|"Hellandberget 9, 2253 Martinsen"
"Torill Madsen-Aasen"|"Moenmoen 1, 5677 Lailaås"
"Mari Haugland"|"Antonseneggen 2, 7506 Erlingvåg"
"Jonas-Erik Eide"|"Bergtjernet 8H, 4460 Stigstad"
"Morten Andreassen"|"Birkelandtunet 1G, 2726 Paulsen"
"Kristine Bakken"|"Ruudåsen 89, 4458 Pettervåg"
"Siv Jenssen"|"Henriksenvollen 6, 6193 Holm"
"Ole Andreassen"|"Olsenlunden 462, 5796 Eliassen"
"Alexander Kristiansen-Ahmed"|"Hansenhavna 9, 5719 Dagodden"
"Kjersti Brekke"|"Bakkeberget 15, 7034 Antonsen"
"Thea Simonsen"|"Johansenstranda 6F, 8980 Stianbø"
"Adrian-Tommy Simonsen"|"Aasalléen 20, 2884 Martinsen"
"Anne Strand"|"Solheimberget 29E, 3700 Haug"
"Tone Jørgensen"|"Arnesenlia 585, 0016 Hansen"
"Harald Martinsen"|"Ødegårdkollen 24D, 3287 Sveinvåg"
"Aud Nielsen"|"Sivertsenengen 74, 9221 Astridhelle"
"Svein Arnesen"|"Thomassenjordet 74, 2293 Monicaberg"
"Geir Simonsen-Hansen"|"Thorsenmoen 85, 8277 Noraby"
"Alexander Solberg"|"Arnesenmarka 2, 8908 Karlvær"
"Sindre Olsen"|"Aasenflata 6, 4868 Knutsen"
"Line Engen"|"Andersenskogen 52D, 3483 Jensnes"
"Andrea Hauge"|"Haugeflata 77E, 7033 Randifjord"
"Nora Danielsen"|"Eidetunet 2, 0985 Ødegård"
"Cecilie Pettersen-Thomassen"|"Olsenstranda 7, 7645 Eliassen"
"Lars Knutsen"|"Simonsenskrenten 491, 7763 Alexanderberg"
"Laila Thomassen"|"Andresenlunden 86, 1550 Gulbrandsen"
"Randi Vik"|"Bakkenstien 17D, 0529 Einarby"
"Anders Mathisen"|"Haugehaugen 4, 0119 Julieøy"
"Alexander Strøm"|"Knutsenskogen 68, 5653 Sigurdeid"
"Pål Næss"|"Nguyenkroken 33, 3184 Olsen"
"Hans Myhre"|"Lundestien 21, 6224 Ødegård"
"Ingrid Svendsen"|"Fredriksenhøgda 4A, 1452 Henriknes"
"Heidi Kristensen"|"Hanssenberget 94C, 7047 Sebastianhamn"
"Eva-Karoline Jenssen"|"Isaksenspranget 5, 2566 Olavfjell"
"Karl Johansen"|"Karlsenstykket 4, 6464 Eliassen"
"Bjørn Tveit"|"Martinsenspranget 5, 3061 Linemark"
"Tove Kristoffersen"|"Bakkenhaugen 2, 4602 Kristoffersen"
"Robert Lunde"|"Bøestien 1, 0808 Halvorsen"
"Alexander Strøm"|"Sandvikskrenten 857, 3367 Johanneshamn"
"Arne Aas"|"Hanssenstubben 60, 8023 Jacobsen"
"Jorunn-Helene Næss"|"Myhrehavna 57B, 9724 Simonsen"
"Jon Johansen"|"Mikkelsenløkka 62, 7395 Janhelle"
"Karen Jakobsen"|"Aastjernet 4E, 3624 Jensberg"
"Nils Sivertsen"|"Aasenbakken 227, 9378 Mathiashamn"
"Terje-Sander Ahmed"|"Mikkelsenstubben 531, 4699 Hegestrøm"
"Tone Andreassen"|"Strømhaugen 9B, 6484 Karolinevik"
"Astrid Strand"|"Arnesenstien 4, 5135 Lunde"
"Dag Larsen"|"Knudsenrøa 27, 5779 Gunnarfoss"
"Alexander Thomassen"|"Tveitspranget 307, 2111 Andersen"
"Sigurd Hanssen"|"Rasmussenkollen 901, 8468 Moe"
"Øyvind Jørgensen"|"Holmspranget 3, 9976 Christianhamn"
"Gro Holm"|"Jenssenflata 7, 2994 Larsfjord"
"Sverre-Marius Myklebust"|"Vikgjerdet 5, 1862 Camillafoss"
"Joakim Eliassen"|"Karlsenhaugen 5, 2562 Sandvik"
"Prof. Erling Sandvik"|"Eriksentunet 9A, 6267 Eliassen"
"Line-Ingrid Ellingsen"|"Næssgrenda 23, 1709 Madsen"
"Kjell Aasen"|"Bøeplassen 47, 5357 Monahamn"
"Linda Aas-Christensen"|"Haugfaret 82D, 4385 Theahelle"
"Alexander-Hans Haugland"|"Rønningbakken 22, 9955 Nguyen"
"Elin Tangen-Antonsen"|"Knudsenbråten 5, 0993 Hanssen"
"Gro Ruud"|"Moespranget 45, 5875 Ritaodden"
"Sigurd Eliassen"|"Bøehaugen 11, 5968 Irenevik"
"Martine Fredriksen"|"Arnesenkollen 370, 9364 Johansen"
"Terje Johnsen"|"Berghagen 783, 1538 Monicasund"
"Cecilie-Emma Lien"|"Andreseneggen 5, 5870 Isaksen"
"Gunnar Arnesen"|"Olsenmarka 8, 0662 Moe"
"Harald Kristoffersen"|"Kristoffersenrøa 1, 9961 Maritsjøen"
"Per Nygård-Andersen"|"Henriksenstien 32, 7088 Gundersen"
"Alexander-Tobias Holm"|"Ødegårdhavna 6, 5829 Sofiestad"
"Helene Solberg"|"Johansenholtet 8, 8369 Haug"
"Laila Haugen"|"Eliassenvollen 10, 2413 Hannaborg"
"Thomas Aas"|"Johannessenholtet 33, 9656 Mayfjord"
"Anette Pettersen"|"Næsshaugen 7, 1854 Livsjøen"
"Martin Bakke"|"Rasmussenflata 365, 5533 Jacobsen"
"Jonas-Petter Kristensen"|"Simonsenringen 34, 2135 Kjetilvær"
"Tobias-Kjell Bøe"|"Iversenekra 2, 5127 Lie"
"Trine-Kristin Madsen"|"Andersenflata 748, 7604 Adrianby"
"Anette-Solveig Ruud"|"Jørgensenhøgda 6C, 2588 Aune"
"Alf Antonsen-Tangen"|"Strandbakken 50, 4438 Haugen"
"Liv Mikkelsen"|"Martinsengropa 82, 7760 Martinstrand"
"Gro Vik"|"Strømhavna 8E, 4951 Nilsen"
"Tobias Henriksen"|"Knudsenringen 9, 4085 Stigfjord"
"Einar Jakobsen"|"Amundsenplassen 8, 0336 Mariaeid"
"Jan Isaksen"|"Rasmussenspranget 2, 4324 Paulsen"
"Marte Solberg"|"Johansenvika 5, 7020 Ingereid"
"Sissel Jørgensen-Paulsen"|"Holmfaret 2, 2145 Elisefjell"
"Stian Sandvik"|"Knutsenkollen 2, 7853 Emmasjøen"
"Jens Dahl"|"Aunevika 1G, 9487 Nilsen"
"Alf Dahl"|"Vikekra 4, 3717 Strøm"
"Rune Aasen-Eide"|"Fredriksenvollen 18, 7103 Eliassen"
"Kjetil-Martin Hagen"|"Rønningmyra 1, 6877 Sebastianborg"
"Britt Andersen"|"Eriksenholtet 1, 9144 Madsen"
"Nina Solberg"|"Svendsenengen 6A, 6134 Håvardnes"
"Sigurd Nielsen"|"Sætherbråten 6, 9514 Sigurdhelle"
"Anna Bøe"|"Olsenflata 22A, 6828 Berge"
"Ole Bøe-Jacobsen"|"Iversentunet 9C, 1865 Bjørnbø"
"Stig Johnsen"|"Ruudvollen 7, 0485 Irenenes"
"Mona Knudsen"|"Strømstubben 3F, 5596 Bjørnborg"
"Alf Edvardsen"|"Haugelunden 4, 2167 Haug"
"Simen Jakobsen"|"Moelunden 003, 6558 Ellenstad"
"Monica Nygård"|"Nygårdeggen 9, 3948 Kåreås"
"Ida Johannessen"|"Nielsengjerdet 8, 7210 Hagen"
"Geir Jacobsen"|"Moenspranget 3, 2603 Lund"
"Hilde Hansen"|"Holmgrenda 63D, 1690 Brittstad"
"Fredrik-Steinar Hagen"|"Gundersenmoen 60G, 9880 Danielsen"
"Mathias Mathisen"|"Martinsenhøgda 5, 6945 Moen"
"Andrea-Ingrid Halvorsen"|"Hagenvollen 1, 9511 Sæther"
"Linda Mathisen"|"Myklebustmarka 8B, 9123 Abrahamsen"
"Alf Haugland"|"Johnsenbakken 6C, 2956 Johanvåg"
"Olav Andreassen"|"Tangenskogen 525, 4837 Jensfjell"
"Emil-Sondre Haug"|"Ødegårdflata 827, 6201 Eivindstad"
"Leif Jacobsen"|"Karlsenekra 2C, 7468 Evensen"
"Unni-Karen Strand"|"Myklebustløkka 65, 0887 Grobø"
"Ragnhild-Hege Sørensen"|"Viklia 8C, 9967 Jørgensen"
"Einar Dahl"|"Johannessenvika 1, 0023 Jorunnø"
"Aud Paulsen"|"Hellandringen 66, 0646 Torillhamn"
"Ann Haug"|"Iversenflata 86, 4167 Sigridfjord"
"Arild Nygård"|"Berntsengata 70, 9809 Mathiasnes"
"Alf Iversen"|"Abrahamsenhaugen 8, 0413 Vik"
"Per-Helge Hagen"|"Dahlløkka 4, 5076 Robertdal"
"Hanna Tangen"|"Jakobsenskogen 04E, 4439 Monicaby"
"Petter Helland"|"Edvardsenhavna 20, 7515 Martinehamn"
"Hege Pedersen"|"Næssgropa 01, 8456 Jørgenbø"
"Eirik Jørgensen"|"Haugestranda 63A, 9240 Knutsand"
"Monica Arnesen"|"Pederseneggen 2, 5100 Johnås"
"Ivar Thorsen"|"Ruudhagen 68C, 0618 Sivdal"
"Elisabeth-Grethe Larsen"|"Myklebustbråten 2, 6620 Andershelle"
"Lise Berg"|"Lienstykket 92C, 7112 Monasjøen"
"Alf Madsen"|"Rasmussenskrenten 1, 9189 Strand"
"Julie Sørensen-Isaksen"|"Mikkelsenmarka 20A, 9917 Øysteinberg"
"Magne Bakke"|"Mikkelsenflata 527, 9414 Emmamark"
"Dag-Dag Johansen"|"Kristoffersenhagen 6, 4058 Tobiasbø"
"Marie Helland"|"Nielsenlunden 2, 8482 Næss"
"Astrid-Sissel Kristoffersen"|"Næsskroken 8, 0292 Kristensen"
"Anita Solheim"|"Sætheralléen 71, 4887 Paulsen"
"Line Moen"|"Strandmoen 12H, 0225 Elineid"
"Sebastian-Leif Nilsen"|"Andresenvika 97C, 8576 Sondredal"
"Harald-Martin Brekke"|"Pedersenvika 28, 9797 Aas"
"Alf Mikkelsen"|"Engengjerdet 2, 5856 Ellingsen"
"Arne-Svein Sæther"|"Aasalléen 2, 9705 Sverredal"
"Karen Berntsen"|"Paulsengropa 41, 1622 Christensen"
"Camilla-Kirsten Lien"|"Myhrespranget 1C, 9993 Lunde"
"Bjørg Bakken"|"Sørensenbakken 8, 6792 Bakken"
"Randi Simonsen"|"Myklebustalléen 404, 6000 Strand"
"Geir Hauge"|"Simonsenplassen 424, 1379 Hansen"
"Eli Jenssen"|"Nguyenhøgda 7E, 7263 Lund"
"Håkon Thomassen"|"Gundersenhaugen 1, 2066 Eide"
"Mathias Simonsen"|"Kristoffersenstranda 68F, 3239 Unnivær"
"Alf Rasmussen"|"Bakkeholtet 319, 5797 Rasmussen"
"Gunnar Halvorsen-Nguyen"|"Jensenhaugen 7, 4082 Gundersen"
"Kristin Nygård"|"Henriksengata 52, 3947 Nygård"
"Sara Berge-Thorsen"|"Simonsenskrenten 20E, 7739 Steinarmark"
"Nina Antonsen-Sivertsen"|"Tangenfaret 60C, 5956 Mariaborg"
"Silje Brekke"|"Thomassentjernet 24, 1091 Fredriksen"
"Heidi-Camilla Berg"|"Sørensenholtet 03G, 8522 Sandvik"
"Jan Strøm"|"Pedersenvollen 82D, 5562 Idafoss"
"Gerd-Bente Sæther"|"Johannessenringen 106, 9221 Helland"
"Steinar Mathisen"|"Liemarka 3, 5947 Håkonø"
"Alf Solheim-Gulbrandsen"|"Sandvikeggen 1, 4625 Henrikhelle"
"Trond Edvardsen"|"Liehagen 3, 2074 Danielfjell"
"Kristian Birkeland"|"Liemoen 12, 6395 Strand"
"Christian Kristiansen"|"Bakkemyra 1, 4464 Gundersen"
"Morten Brekke"|"Antonsenkollen 5, 5884 Kjellvåg"
"Johan Johnsen"|"Eriksenlia 7, 1794 Isaksen"
"Simen Andersen"|"Iversenlia 3F, 1226 Finnsjøen"
"Sondre Sivertsen"|"Rønningstubben 44D, 8714 Bakke"
"Prof. Jens Brekke"|"Alivika 60, 9496 Eivindeid"
"Hans Thorsen"|"Hansenåsen 7, 2275 Sørensen"
"Alf-Asbjørn Tangen"|"Tveitvollen 82, 0671 Vik"
"Synnøve-Emma Sørensen"|"Moefaret 8, 4199 Sigridstrand"
"Hege Sandvik"|"Nilsenløkka 04, 6528 Vidarstad"
"Camilla-Martine Birkeland"|"Hagenstien 566, 6207 Haug"
"Sofie Kristensen"|"Haugbråten 5A, 0446 Anettehavn"
"Eirik Dahl"|"Moeeggen 8, 5016 Myklebust"
"Terje Berge"|"Eidetoppen 49, 3285 Siriberg"
"Tone Kristoffersen"|"Jørgensenmoen 58, 5689 Knutsen"
"Siv-Nina Thorsen"|"Fredriksenengen 3, 4882 Maritby"
"Jan Ahmed"|"Næssspranget 25C, 2683 Moen"
"Alf-Kristoffer Svendsen"|"Halvorsentunet 1, 5749 Robertø"
"Emma-Ingrid Strand"|"Gulbrandsenringen 763, 6308 Solberg"
"Sigurd Myhre"|"Aasenvika 2, 1774 Svendsen"
"Hege Kristiansen"|"Moenmyra 42, 2865 Perstrand"
"Roger Rasmussen"|"Engenhaugen 44, 2388 Irenemark"
"Thor Haugen"|"Næssalléen 47C, 8851 Ruud"
"Øystein Aasen-Jacobsen"|"Hansenskogen 94, 1211 Amundsen"
"Maren Rasmussen"|"Larsenekra 1, 5068 Iversen"
"Ingrid-Gro Hagen"|"Næssskogen 3H, 5608 Martinsen"
"Turid Jacobsen"|"Sivertsenroa 377, 9064 Moen"
"Alf-Tore Haugland"|"Christensenplassen 7B, 1065 Solberg"
"Prof. Sindre Iversen"|"Christensentunet 9G, 6077 Karifoss"
"Jon Bøe"|"Kristensenplassen 3, 6732 Hanneøy"
"Ragnhild Engen"|"Bergalléen 38, 9097 Solberg"
"Else Haugland"|"Bakkestubben 22B, 8151 Hauge"
"Kristin Birkeland"|"Haugmoen 846, 5604 Aune"
"John Pedersen"|"Nielsenberget 7, 8657 Ruthhelle"
"Ellen Aasen"|"Eriksenhavna 485, 8711 Henriksen"
"Randi Andreassen-Andreassen"|"Larsenekra 89, 9550 Thorsen"
"Markus Martinsen"|"Johannessenfaret 04B, 5163 Mikkelsen"
"Anders Aune"|"Pedersenbråten 232, 5198 Sandvik"
"Dr. Marius Jacobsen"|"Birkelandskogen 239, 6134 Elisabethborg"
"Hans Berg-Aas"|"Svendsenåsen 84C, 3653 Johannessen"
"Kristian Eliassen"|"Strandgrenda 4, 2021 Hauge"
"Svein Andreassen"|"Bøeroa 11, 8916 Nguyen"
"Linda Bøe"|"Hellandkroken 1, 8422 Evensen"
"Karoline Engen"|"Sørensengata 9, 8482 Haugen"
"Sofie Pettersen-Jacobsen"|"Karlsenrøa 4, 8687 Ellensund"
"Magnus Ruud"|"Nielsentoppen 65, 0402 Haugland"
"Mette-Liv Kristoffersen"|"Birkelandkroken 2E, 4063 Berge"
"Anders Bøe"|"Svendsenlunden 03, 8962 Johnsen"
"Ida Paulsen"|"Svendsenstranda 475, 2597 Abrahamsen"
"Arild-Tommy Andersen"|"Aunetunet 71A, 0069 Sirihavn"
"Tone Hansen"|"Andreassenengen 47, 5604 Aune"
"Mari Christensen"|"Jørgensenekra 5, 4725 Helland"
"Kjersti Paulsen"|"Olsenflata 87, 2794 Lisedal"
"Kristian Lund"|"Dahlekra 56, 9672 Haug"
"Elise Strøm"|"Eriksenhagen 40A, 1392 Mariussund"
"Jenny-Berit Hagen"|"Jenssenvika 90, 3379 Olavik"
"Anette Bakke"|"Ruudåsen 5, 4818 Brekke"
"Anders Christensen"|"Strømtjernet 1, 7313 Tobiaseid"
"Magnus Brekke"|"Gulbrandsenløkka 73, 5655 Haraldgrunn"
"Kjetil Andreassen"|"Engentoppen 85, 0904 Arnesen"
"Siv Pettersen"|"Ellingsenhagen 7, 9645 Myklebust"
"Ole Kristiansen"|"Haugegropa 9A, 2245 Aune"
"Øystein-Ola Ruud"|"Svendsenmarka 8, 3592 Joakimstrøm"
"Anders Jenssen"|"Sæthersvingen 1, 8434 Ødegård"
"Øystein Lunde"|"Ruudplassen 58, 2189 Sverreberg"
"Rune Lien"|"Kristoffersenstykket 7, 2395 Halvorsen"
"Arne Johansen"|"Karlsenkollen 4, 4198 Lineøy"
"Anders Eide-Næss"|"Strømlyngen 569, 4272 Thormark"
"Anna Ødegård"|"Iversenroa 8, 4627 Gundersen"
"Reidun Myklebust"|"Nilsenfaret 58, 4431 Tonjegrunn"
"Jens Evensen-Johnsen"|"Andersensvingen 75, 1232 Tommygrunn"
"Henrik Ali"|"Bakkegjerdet 2, 6212 Simonsen"
"Maria Berge"|"Myklebustkollen 103, 0235 Bøe"
"Kari Svendsen"|"Evensenkollen 71C, 5297 Maritfjord"
"Britt Berge"|"Aasenspranget 1G, 5812 Jonvåg"
"Berit Olsen"|"Larsengjerdet 76, 2711 Vik"
"Svein Sandvik-Pedersen"|"Iversenplassen 8, 0598 Andreassen"
"Anders Hanssen"|"Svendsenberget 8, 4710 Metteby"
"Else-Sigrid Mikkelsen"|"Nilsenmarka 5, 3597 Martinsen"
"Laila-Malin Berg"|"Liengjerdet 9, 6698 Steinarø"
"May Vik"|"Hellandholtet 497, 3540 Unnistad"
"Silje Edvardsen"|"Hagenkollen 6, 2688 Jensbø"
"Morten Strand"|"Tveitjordet 98B, 1019 Antonsen"
"Einar-Dag Madsen"|"Birkelandeggen 4, 0644 Iversen"
"Mathias-Roar Jørgensen"|"Jørgensenhøgda 00, 6217 Jørgensen"
"Jon Bøe"|"Halvorsenalléen 53, 1369 Knutsen"
"Dr. Johannes Næss"|"Eriksenstykket 4, 0982 Ellingsen"
"Anders Johansen"|"Lundeskrenten 1, 0907 Kjerstifoss"
"Olav-Daniel Brekke"|"Lienflata 01, 0981 Larsen"
"Helge Nygård"|"Kristensenbakken 61B, 2501 Martesund"
"Elisabeth Kristoffersen"|"Bakkengropa 8, 4981 Marteodden"
"Jørgen Hauge"|"Liengrenda 027, 8054 Karolinesund"
"Helene Gundersen"|"Henriksenhaugen 4D, 3177 Amundsen"
"Magnus Dahl"|"Lundbakken 32, 6189 Janfjell"
"Wenche Antonsen"|"Aasstranda 09, 1136 Abrahamsen"
"Tobias Simonsen"|"Hellandjordet 383, 6448 Ahmed"
"Mari Jacobsen-Fredriksen"|"Bakkenmyra 6, 7253 Berge"
"Anders Kristiansen"|"Larsengjerdet 4, 4946 Kristensen"
"Mathias Ruud"|"Hansenlia 10, 2914 Evensen"
"Eva Solberg"|"Evensenspranget 5, 8113 Gulbrandsen"
"Else-Liv Arnesen"|"Larsenbakken 86, 9825 Ellensund"
"Berit Sæther"|"Sørensenfaret 9B, 2289 Johannessen"
"Stian-Stian Berge"|"Amundsengata 7, 1971 Dagfjell"
"Karen-Ragnhild Johnsen"|"Engengropa 8, 7796 Abrahamsen"
"Jan Karlsen"|"Edvardsenbakken 4, 9494 Finnstrøm"
"Grete Tveit"|"Kristensenstubben 942, 8356 Henrikhamn"
"Astrid Arnesen"|"Hansenringen 31C, 7980 Lien"
"Anders Nielsen"|"Simonsenroa 6H, 7306 Eivindø"
"Synnøve Isaksen"|"Solbergeggen 2, 8122 Ragnhildfoss"
"Alf Iversen"|"Hellandmyra 8, 4752 Mariby"
"Tor Strøm"|"Lundestubben 08, 2874 Metteborg"
"Randi Jørgensen"|"Hagenekra 9E, 9344 Simenvær"
"Grethe Gundersen"|"Abrahamsenhaugen 7, 1742 Sigurdstad"
"Prof. Markus Ødegård"|"Paulsenalléen 9, 6397 Livstrøm"
"Stein Simonsen"|"Jakobsenhagen 6, 3514 Evastrand"
"Aud Lie"|"Nielsentjernet 2, 0960 Idavær"
"Tom Kristoffersen"|"Haugenberget 1, 7234 Toreøy"
"Anders Solberg-Tangen"|"Nielsenhagen 3F, 0154 Haugen"
"Kåre Næss"|"Nilsenplassen 94, 1336 Hannemark"
"Andrea Jørgensen-Knutsen"|"Lundskogen 77B, 2426 Solveigbø"
"Kari Rønning"|"Rønningstranda 20, 7978 Julieås"
"Lene Gundersen"|"Nguyenlia 9, 7386 Bakke"
"Monica Knudsen"|"Myhreroa 9B, 7361 Sindreodden"
"Julie Karlsen"|"Haugestranda 42B, 4764 Karlsen"
"Bjørg Larsen"|"Amundseneggen 29, 3941 Eliassen"
"Åse-Turid Lien"|"Halvorsenmyra 8, 2842 Gunnby"
"Terje Thorsen"|"Rønninglyngen 449, 3132 Sindrehelle"
"Anders Strøm"|"Engengropa 3, 5646 Moen"
"Tonje-Karoline Lien"|"Sandvikhavna 15, 1764 Birkeland"
"Sofie-Wenche Thorsen"|"Pedersenhavna 51B, 0231 Aasen"
"Jonas-Erling Antonsen"|"Lienhøgda 6, 8999 Madsen"
"Tommy Ali"|"Thomassenrøa 277, 5546 Berge"
"Linda Hansen"|"Nielseneggen 7A, 5023 Anetteberg"
"Karl-Hans Lie"|"Lundelyngen 693, 4531 Sveinvær"
"Alf Dahl"|"Liemyra 6, 6585 Camillaborg"
"Johan Rasmussen"|"Karlsenmyra 041, 8017 Ingeborggrunn"
"Erling Evensen"|"Nguyenflata 05, 9836 Johnsen"
"Anders-Pål Edvardsen"|"Henriksenalléen 29G, 8029 Annehamn"
"Roy Gundersen"|"Bergringen 53E, 1188 Mikkelsen"
"Markus Thorsen"|"Olsentjernet 5, 3180 Evensen"
"Stian Hansen-Hansen"|"Nygårdflata 5, 6806 Sandvik"
"Finn Sandvik"|"Danielsentoppen 24, 5481 Håvardfjord"
"Jonas Nguyen"|"Halvorsenbakken 403, 1871 Trondnes"
"Jon Henriksen"|"Næssengen 27, 3444 Larsen"
"Sindre Ødegård"|"Lientjernet 7, 7828 Andresen"
"Martin Knutsen"|"Aasenstranda 42B, 4929 Halvorsen"
"Alexander Solheim"|"Thomassenvollen 66, 4110 Nguyen"
"Andrea Amundsen-Brekke"|"Myhreskrenten 37, 7731 Leifsund"
"Ingeborg Halvorsen"|"Liegrenda 7, 8670 Knutsen"
"Adrian Jakobsen"|"Amundseneggen 571, 4529 Tomås"
"Ola Nygård"|"Eliassenspranget 1, 9296 Evadal"
"Kjell Olsen"|"Danielsengjerdet 6, 5222 Emiliefjell"
"Vilde Abrahamsen"|"Tveitgropa 2, 6434 Roarsjøen"
