"Adrian Aasen","Myklebustflata 540, 1216 Johnsen"
"Arild Berge","Simonsenjordet 974, 7362 Brekke"
"Gro Pedersen","Nguyenskogen 095, 8158 Bøe"
"Solveig Iversen-Halvorsen","Kristiansenstykket 2F, 8297 Martinsen"
"Espen Gulbrandsen","Haugengen 85, 2228 Simonsen"
"Prof. Egil Ødegård","Andreassengrenda 52A, 6743 Haug"
"Else-Siri Holm","Ellingsenmyra 86, 5441 Øyvindstad"
"Adrian Simonsen","Sivertsenfaret 48A, 8680 Strand"
"Unni Lie-Kristiansen","Lienmoen 29, 0875 Jakobsen"
"Daniel Mathisen","Thorsenringen 539, 3277 Andreassen"
"Knut Lunde","Eriksenkroken 684, 1365 Sigurdmark"
"May Arnesen","Madsenkollen 90, 2411 Aune"
"Kirsten-Karen Aas","Lundejordet 5B, 8584 Nilsen"
"Silje Christensen","Ahmedekra 10E, 4882 Jennysand"
"Sondre Iversen-Brekke","Ødegårdplassen 23, 1098 Mariø"
"Anna Edvardsen","Liebakken 65, 2613 Fredriksen"
"Nora Hagen","Kristensenspranget 18, 1905 Andreassen"
"Adrian Svendsen","Moengjerdet 4, 0366 Grethevåg"
"Eirik Haug","Berggropa 4, 9970 Helland"
"Synnøve Dahl","Ellingsenroa 2, 3767 Haug"
"Kenneth Strand","Ruudstubben 50, 4884 Brittås"
"Terje-Roy Ali","Thorsenvollen 3, 8688 Åsesand"
"Sindre Engen","Arnesenmoen 4C, 7948 Jennynes"
"Dr. Joakim Tangen","Antonsengata 4E, 5942 Andersen"
"Trine Engen","Ødegårdlia 4, 9681 Tangen"
"Håkon-Ole Sandvik","Sørensenstubben 60, 1312 Kristineeid"
"Anita Tveit","Antonsenvollen 1F, 2002 Toneby"
"Adrian-Bjørn Antonsen","Sætherhagen 54, 3748 Nilsen"
"Dr. Finn Knutsen","Abrahamsenlia 2, 7862 Sivertsen"
"Odd Tveit","Strandmyra 7, 7458 Mortenhavn"
"Simen-Håvard Kristoffersen","Kristiansenmyra 5B, 4336 Iversen"
"Hanne-Line Andreassen","Olsenskogen 4B, 6341 Lenevær"
"Unni Nielsen","Berntsenlunden 29, 7174 Kårestrøm"
"Thea-Stine Johnsen","Kristoffersenmarka 1, 6478 Johnsund"
"Mette Strand","Madsenfaret 5, 3613 Thorsen"
"Leif Lien","Andresenskogen 63, 6892 Ivarøy"
"Eli-Aud Ali","Strandkollen 68F, 4168 Johannessen"
"Alexander Ellingsen","Karlsenhøgda 8H, 3609 Øyvindhelle"
"Alexander Lien","Hanssenkroken 058, 7693 Markusvik"
"Harald Hansen-Evensen","Lienberget 1, 8072 Andersby"
"Hanne Gulbrandsen","Jensenhavna 014, 9244 Christensen"
"Linn Holm","Jenssenbakken 8, 6280 Halvorsen"
"Helene Knutsen","Hauglandhagen 8, 0336 Turidgrunn"
"Malin Berntsen","Knudsenroa 78, 0416 Myhre"
"Knut Thomassen","Hauglandgrenda 9, 0849 Steinborg"
"Grete Berge-Ruud","Tveitlia 83, 5476 Johannessen"
"Finn Vik","Paulsensvingen 63, 2899 Knutsen"
"Alexander Engen","Danielsenringen 924, 6264 Berntsen"
"Stein Tangen","Andersenjordet 2, 0550 Johansen"
"Anders Kristiansen","Ruudtoppen 8B, 2159 Simensund"
"Sigurd Jørgensen","Evensentunet 88A, 3996 Torvær"
"Kim Iversen","Kristensenrøa 024, 2795 Lien"
"Cecilie-Rita Knutsen","Amundsenjordet 7, 0291 Andresen"
"Knut Evensen","Moengjerdet 9F, 6135 Bakken"
"May Pedersen","Bergeløkka 7, 0590 Lie"
"Marie Nguyen","Moenbakken 7, 8572 Sofiesund"
"Håvard Eriksen","Simonsenhavna 1B, 7995 Malinås"
"Alexander Engen","Simonsenringen 410, 2737 Torillby"
"Robert Rasmussen","Johnsenhaugen 11D, 4408 Mariannefoss"
"Alf Svendsen","Hanssenstien 7, 8637 Pettersen"
"Maria-Bjørg Lie","Vikberget 371, 6479 Astridodden"
"Mette Johansen","Lienmoen 4, 1673 Monicaborg"
"Anita Johnsen","Brekkeplassen 2, 3109 Mariagrunn"
"Vidar-Kim Johansen","Aastjernet 45, 2174 Kåreeid"
"Dr. Dag Knutsen","Jacobsenplassen 3, 5144 Nguyen"
"Hanne Eide","Jakobsenflata 6, 6650 Markusvær"
"Adrian Vik-Hanssen","Andersenfaret 3, 4148 Strøm"
"Alexander Halvorsen","Tangenmarka 6, 5297 Janfjord"
"Prof. Håvard Danielsen","Brekkeekra 600, 1324 Nguyen"
"Pål Jacobsen-Arnesen","Henriksenflata 54, 5154 Thorsen"
"Dr. Stian Rønning","Tveitskogen 62A, 3328 Sindresund"
"Rolf Berg","Fredriksenlia 40F, 8496 Madsen"
"Christian Lund","Lundegata 566, 0780 Andersen"
"Jonas Ahmed","Strømberget 5, 8835 Saraborg"
"Erling Andresen","Solheimvollen 6, 0782 Jørgenbø"
"Ida Lien","Solbergholtet 2E, 4739 Sæther"
"Prof. Roy Sæther","Tveittjernet 03, 1093 Jørgensen"
"Alexander Hanssen","Haugenhøgda 31, 3718 Jørgensand"
"Jørgen Johnsen","Ruudgjerdet 70, 4508 Stinesjøen"
"Anders-Rune Danielsen","Myhretunet 7, 7475 Knutsen"
"Frode-Svein Birkeland","Kristiansengropa 70A, 2381 Svendsen"
"Marie Nguyen-Gundersen","Rasmussenmyra 3, 9924 Monicamark"
"Linn Holm","Johansenvollen 8E, 8330 Mariusmark"
"Ola Lien","Hagenskogen 13, 6789 Næss"
"Gunn Jakobsen","Madsenhaugen 205, 8339 Rogerø"
"Malin Karlsen","Solheimvika 4, 1966 Holm"
"Ragnhild-Julie Andresen","Eideeggen 8, 2059 Anneås"
"Alexander Jenssen","Hauglandvika 1, 3981 Vildeeid"
"Sigurd Kristiansen-Solheim","Lundalléen 7, 4809 Cathrinevåg"
"Rune Berg","Kristiansengjerdet 8, 5350 Engen"
"Hanna Christensen","Pettersenplassen 05, 7349 Espenstrand"
"Tommy Lunde","Vikspranget 005, 2466 Amundsen"
"Randi-Hilde Andersen","Nilsenbakken 31, 6422 Jensen"
"Marianne Paulsen","Madsenberget 81, 3558 Christensen"
"Grethe Nilsen","Kristiansenbråten 4, 4633 Adrianodden"
"Mathias Eriksen","Danielsenrøa 12, 5616 Sarahamn"
"Ivar Johannessen","Halvorseneggen 2, 2879 Karlsund"
"Alexander Mikkelsen-Engen","Engenbråten 09A, 4832 Sveindal"
"Hans Lie","Eriksenringen 45, 2063 Ahmed"
"Marie Vik","Jørgensenberget 4, 2053 Sondreborg"
"Thea Pettersen-Lund","Olsentjernet 30C, 9873 Gunnargrunn"
"Eirik Haugen","Larsenstien 5, 5415 Mortenfjord"
"Erling-Egil Ellingsen","Henriksenhøgda 2, 4154 Amundsen"
"Terje Brekke","Iversenrøa 9D, 7589 Håkongrunn"
"Dr. Magne Haugland","Simonsenstien 3, 2021 Wenchegrunn"
"Ida Halvorsen","Gundersenmarka 17, 1013 Gerdhavn"
"Nils Lie","Nguyengropa 59, 1340 Elsefoss"
"Alexander Myklebust","Johnsenfaret 5G, 1224 Hauge"
"Siv-Inger Myklebust","Christenseneggen 2, 6597 Strøm"
"Arild Mathisen","Andreassengropa 66, 1334 Nielsen"
"Kim Knutsen","Eidestranda 9, 2624 Annefjell"
"Sissel Hanssen","Rønninghagen 28, 5473 Halvorsen"
"Mona Solheim","Hellandvollen 8, 7431 Helland"
"Pål Svendsen-Jenssen","Tangenvollen 29, 7410 Eide"
"Asbjørn Kristensen-Aas","Haugfaret 7, 8719 Birkeland"
"Julie Knutsen-Eriksen","Andresenmyra 15A, 0487 Svendsen"
"Prof. Hans Larsen","Pedersentjernet 33, 5683 Gundersen"
"Alexander Simonsen","Bakkenkroken 65, 8606 Øyvindstrøm"
"Sindre Knudsen","Engentjernet 11, 0784 Øyvindsund"
"Knut Arnesen","Moenlunden 59C, 2578 Berntsen"
"Knut Aas","Jørgensenrøa 50, 9993 Ruud"
"Thomas Ødegård","Hellandalléen 9, 6837 Berg"
"Synnøve-Andrea Sandvik","Ahmedåsen 6D, 7060 Aas"
"Magne Sivertsen","Haugenfaret 01, 0255 Bjørngrunn"
"Gunn Bakken","Evensenflata 3, 4975 Moen"
"Marius Evensen","Halvorsenvika 37, 5256 Berntsen"
"Petter Andreassen","Sivertsenskogen 7, 8994 Siljevik"
"Alexander Solberg","Aasvika 330, 0768 Einarhavn"
"Eivind Moen","Moeplassen 5, 1013 Hegestrøm"
"Tone Iversen","Kristoffersenekra 42C, 5269 Amundsen"
"May Holm","Arnesenberget 25, 8197 Rolfhavn"
"Lene Gundersen","Haugengrenda 3A, 0764 Erlingeid"
"Geir Moe","Sandvikgrenda 78, 9984 Solheim"
"Kristin Moe","Mathisenkroken 94, 4900 Bakke"
"Unni Fredriksen","Ellingsenholtet 4F, 4996 Martinsen"
"Thea Halvorsen","Moeringen 123, 3777 Anettevær"
"Andreas Knudsen","Aunehavna 7, 3729 Beritby"
"Alexander Tangen-Mathisen","Ødegårdroa 561, 3608 Gunnarsand"
"Svein Ødegård","Haugemyra 86C, 5940 Mortenhelle"
"Britt-Julie Andreassen","Edvardsenholtet 7, 9783 Håvardby"
"Henrik Iversen","Strandhavna 057, 6795 Pettersen"
"Kenneth Aasen","Eidetjernet 4B, 1787 Øyvindsjøen"
"Tove-Marie Karlsen","Eliassenhaugen 5, 5398 Øysteindal"
"John-Terje Edvardsen","Antonsenkollen 616, 4983 Lunde"
"Lene Berge-Paulsen","Moemoen 4, 6897 Ruud"
"Hanne Sivertsen","Liegata 9, 2862 Halvorsen"
"Alexander Sørensen","Madsenbakken 16, 3160 Nguyen"
"Alf Bøe","Strandbråten 9B, 1807 Andersen"
"Prof. Finn Engen","Paulseneggen 7A, 1262 Dahl"
"Sebastian Aune","Jenssenlia 77, 8346 Jørgenmark"
"Odd Fredriksen","Rasmussenberget 55, 4507 Solheim"
"Jan Myklebust","Bakkehaugen 75A, 9508 Trondhavn"
"Unni Fredriksen","Abrahamsentoppen 2, 6178 Martinsen"
"Kenneth Vik","Sæthertjernet 6A, 9730 Oddvær"
"Eivind Jenssen","Madsenvika 05, 1170 Vildehavn"
"Emil Haugen","Liengropa 17, 1232 Eivindhamn"
"Liv Berntsen","Jakobsengata 7, 9318 Isaksen"
"Alf Bøe","Tangenlyngen 5, 4788 Elihavn"
"Marit Lunde-Johnsen","Johnsenmarka 8C, 3150 Abrahamsen"
"Thea Karlsen-Halvorsen","Bakketunet 7, 0416 Iversen"
"Dr. Lars Olsen","Eliassentoppen 2D, 5152 Larsby"
"Anne Solheim-Iversen","Mikkelsenrøa 3, 7987 Gunnargrunn"
"Magne Aasen","Knudsentunet 4, 6998 Eide"
"Hanne Sivertsen","Thomassengrenda 5, 1832 Helgestrøm"
"Torbjørn Rasmussen","Aunelyngen 2, 6438 Andresen"
"Jørgen-Øyvind Mikkelsen","Tangenstranda 135, 5085 Torillås"
"Kenneth Nygård-Dahl","Madsenmarka 75, 1898 Idabø"
"Alf Christensen","Berntsenbråten 4D, 9338 Isaksen"
"Line-Britt Eliassen","Solheimhagen 3, 3663 Emileid"
"Karoline Nielsen-Abrahamsen","Pettersenfaret 8, 4596 Solveighavn"
"Britt Bakken","Henriksenstranda 2F, 5916 Nygård"
"Aud-Anita Strøm","Moevika 61, 4710 Helgeø"
"Jorunn Moen","Pedersenbakken 785, 1090 Oddfjell"
"Kristin Christensen","Hellandhavna 8, 1718 Kåreborg"
"Anette-Kristine Ali","Bakkesvingen 689, 1839 Ødegård"
"Johannes Andersen","Ellingsenlia 4, 2835 Anitastrøm"
"Mari Strøm","Hansenhøgda 5, 5909 Torbjørnhavn"
"Alf Eide","Jacobsenskogen 20, 5375 Cecilievær"
"Anne Vik","Henriksentunet 2, 7989 Norastrøm"
"Ingeborg Knutsen","Mathisenlyngen 93D, 9707 Thorsen"
"Kenneth Pedersen","Hagenskrenten 62, 3211 Antonsen"
"Steinar Haug","Aasspranget 321, 9752 Jacobsen"
"Rolf Kristiansen","Sørensenvollen 53E, 5603 Vik"
"Ann Jenssen","Haugegropa 9F, 0106 Mathiasodden"
"Else Madsen","Lielia 9, 4838 Torbjørnnes"
"Robert Eide","Rasmussenroa 5, 1751 Andreasnes"
"Jørgen Paulsen","Madsenåsen 1E, 6307 Danielborg"
"Alf Hagen","Eliassenringen 5, 1527 Linnstrøm"
"Asbjørn Martinsen","Solbergberget 01H, 8797 Næss"
"Thea Jacobsen","Sivertsenkollen 84, 3685 Gulbrandsen"
"Ingeborg-Hanna Svendsen","Berntsenløkka 92H, 6979 Mathisen"
"Mette-Maria Nguyen","Sætherengen 82, 3791 Beritberg"
"Vidar-Pål Knutsen","Bakkestubben 9, 5668 Myhre"
"Kenneth Tveit","Jørgensenrøa 5F, 4560 Haug"
"Bjørg Birkeland","Bakkenåsen 756, 7137 Thomassen"
"Kåre Simonsen","Eliassengrenda 84C, 3021 Hildesund"
"Frode-Christian Johnsen","Sætherløkka 8A, 3021 Tangen"
"Alf Lie","Lundstykket 5H, 5036 Torbjørnø"
"Øystein Paulsen","Jensenspranget 83, 1322 Thorsen"
"Torill Dahl","Lundgjerdet 33, 3660 Andresen"
"Dr. Arild Larsen","Larsengata 737, 5135 Isaksen"
"Andrea Aune","Mathisenkroken 5, 1343 Bakken"
"Sander Hauge","Tveitåsen 08, 9219 Lisehelle"
"Kari Haug","Hellandjordet 7, 2491 Geirberg"
"Laila Lie-Mikkelsen","Næsstoppen 882, 3728 Ruud"
"Tone-Mette Solberg","Knudsenhagen 282, 5059 Lunde"
"Olav Knutsen","Moehøgda 7, 4628 Monicafoss"
"Alf Mathisen","Solbergstien 1, 4327 Annavåg"
"Eva Ruud","Jenssenbråten 8, 8264 Ragnhildhamn"
"Alexander Aas","Alitunet 1, 4453 Nilsen"
"Thor Eriksen","Nielsenjordet 7, 2298 Ødegård"
"Sander-Markus Edvardsen","Myhrejordet 8, 1879 Heidifjord"
"Rune Nygård","Ahmedgata 9, 0302 Tveit"
"Jens Thomassen","Aashagen 84, 0441 Bakken"
"Sindre Mathisen","Halvorsenfaret 21C, 2143 Solheim"
"Kristine Berge","Jakobsenspranget 28, 0335 Johanø"
"Rita Simonsen","Martinsenhavna 5, 1327 Arnesen"
"Alf Nilsen","Engenhøgda 1, 8550 Sivertsen"
"Vidar Hauge-Andresen","Thorsengropa 61, 8511 Haugland"
"Adrian-Kristoffer Mikkelsen","Isaksenåsen 61, 7963 Berge"
"Liv Birkeland-Iversen","Jørgensengrenda 5, 5623 Jensen"
"Ola Myklebust","Evensenbakken 019, 0114 Lailastad"
"Berit Eriksen","Andresenekra 97, 5430 Ellingsen"
"Sissel Eriksen","Nilsenstien 10, 6303 Kariberg"
"Anette Haugen","Amundsentoppen 27B, 2421 Myhre"
"Marte Dahl-Nguyen","Madsenhagen 00, 3370 Tobiasøy"
"Eli Hauge","Sætherstubben 9, 6386 Sigurdøy"
"Alf Ruud","Berghagen 5, 7489 Holm"
"Vidar Sørensen","Lundlyngen 8, 1589 Olsen"
"Ida Sivertsen","Olsenhaugen 6, 4271 Livnes"
"Inger Tveit","Aasenmoen 4, 4801 Benteborg"
"Markus-Markus Bakke","Rønningekra 61, 4690 Solheim"
"Elin Andresen","Antonsenflata 2, 0475 Annefjell"
"Prof. Frank Sæther","Kristensengrenda 08C, 4680 Jørgensen"
"Tore Eide","Haugstykket 551, 8276 Moen"
"Ingrid Jacobsen","Bergspranget 7F, 0658 Pedersen"
"Tove Knutsen","Johanseneggen 09D, 1260 Steinsund"
"Alf Vik-Berntsen","Knudsenspranget 6, 8674 Åsemark"
"Håvard Myklebust","Dahlvika 22, 4455 Pettersen"
"Magnus Jørgensen","Aunemyra 887, 5265 Emmasand"
"Stian Amundsen","Jenssenplassen 6E, 4412 Hannehavn"
"Irene Lien-Tveit","Vikmarka 01, 0757 Nilssand"
"Berit Vik","Eliassenkroken 02D, 2553 Holm"
"Adrian Berge","Eriksenringen 4E, 9438 Jennyhamn"
"John Hanssen","Abrahamsenstranda 88B, 8194 Nilsen"
"Erling Olsen","Bergestien 27, 1713 Eriksen"
"Knut Sæther","Amundsentunet 19D, 5201 Saraø"
"Alf-Trond Fredriksen","Halvorsenskogen 35, 2637 Helland"
"Mette Strand-Aasen","Nygårdstykket 72F, 3877 Sarahavn"
"Martine Sæther","Fredriksenberget 86E, 1383 Saraeid"
"Heidi-Ragnhild Myklebust","Evensenløkka 4C, 9821 Mayvik"
"Heidi-Gro Jenssen","Martinsenkroken 42, 6284 Jacobsen"
"Kristine Solheim","Gulbrandsenhagen 79, 8023 Sivertsen"
"Kirsten-Turid Kristiansen","Ahmedvollen 44, 5114 Bakken"
"Eli-Irene Eriksen","Dahlalléen 235, 1057 Eiriknes"
"Sander Hanssen","Bergflata 02F, 9458 Gunnarø"
"Kåre Lund","Andresensvingen 10, 4341 Tobiasstrand"
"Anders Haug","Vikalléen 004, 0745 Haugen"
"Morten Haugen","Haugerøa 7, 1000 Dagø"
"Karin Gulbrandsen","Edvardsengropa 45, 6341 Tomvik"
"Marie Ruud","Moenlunden 8, 7760 Vik"
"Adrian Eriksen","Fredriksenberget 9, 4782 Strøm"
"Wenche-Sara Moe","Tveitfaret 8, 0222 Bakke"
"Wenche-Cecilie Ali","Mathisenskogen 6, 1528 Pettersen"
"Dr. Roy Ali","Bergekra 7B, 0951 Myklebust"
"Grete Jacobsen","Simonsenmyra 85F, 5486 Madsen"
"Arne Sivertsen","Andresenhavna 1, 8293 Heleneås"
"Anders Isaksen","Johannessenmarka 2, 8088 Knutberg"
"Julie-Reidun Nielsen","Antonsenfaret 1, 2270 Arneborg"
"Hege-Anne Antonsen","Eriksenroa 4, 0116 Gulbrandsen"
"Kristin Jørgensen","Lundjordet 5, 9275 Espenhamn"
"Christian Nilsen","Strandjordet 2F, 7996 Åsevik"
"Jan Hanssen-Tangen","Johannessenlunden 06, 7405 Kristoffersen"
"Martin Kristoffersen-Halvorsen","Bakkenengen 1, 0290 Vik"
"Torbjørn Vik","Hagenstykket 9, 8424 Idahavn"
"John Bakken","Hansseneggen 15G, 0978 Elidal"
"Ivar Eriksen","Lundberget 8, 7479 Sarafjell"
"Anders Kristoffersen","Holmhaugen 1, 6310 Mettebø"
"Ivar Hansen","Ahmedskrenten 33D, 6155 Arildeid"
"Emil Edvardsen","Engenplassen 422, 2204 Sivertsen"
"Jonas Myklebust","Eliassenspranget 88, 9600 Ahmed"
"Jorunn Aune","Ahmedringen 15, 7193 Johnvær"
"Karen Tangen","Aunegropa 90C, 4676 Hanssen"
"Britt-Grete Engen","Iverseneggen 00, 3441 Stinehamn"
"Stian Myhre","Kristiansengjerdet 50, 8205 Terjesand"
"Stein Hanssen","Bergkroken 2, 6441 Halvorsen"
"Synnøve Paulsen","Berntsenspranget 83, 1951 Jørgensen"
"Anders Lie","Danielsenstykket 537, 5512 Annstrand"
"Stein-Eivind Sivertsen","Johannessenlia 18, 3459 Solheim"
"Geir Ellingsen","Eidekollen 1, 1317 Paulsen"
"Silje-Malin Eriksen","Holmstubben 5, 8306 Finnhamn"
"Camilla-Jorunn Lund","Hanssenlia 32C, 1863 Linnborg"
"Stine Hauge","Antonsenholtet 9, 6792 Johansen"
"Sebastian-Henrik Kristensen","Henriksenstranda 8, 4414 Marienes"
"Robert-Leif Lien","Jørgensenfaret 25C, 0043 Hanneborg"
"Geir Mathisen","Vikstubben 56C, 1501 Jonasgrunn"
"Torbjørn Amundsen","Jensengrenda 9, 4520 Ingerodden"
"Anders Mikkelsen","Holmroa 78C, 4223 Rønning"
"Ellen-Elisabeth Ødegård","Nguyengrenda 1, 3411 Aune"
"John Eliassen-Jenssen","Eidemoen 46, 8474 Karlsen"
"Andrea Amundsen","Lundeeggen 101, 9061 Stianhavn"
"Astrid Amundsen","Bergegropa 83, 0586 Rolfberg"
"Reidun Ruud","Aasenstranda 473, 2428 Dahl"
"Sigrid Hansen","Ahmedkroken 3, 6754 Mathisen"
"Roy-Kenneth Jensen","Knutsenmarka 5, 0001 Eriksen"
"Astrid-Julie Helland","Eriksenberget 29C, 0441 Trinedal"
"Vilde Holm","Johnsenmyra 788, 9113 Sigridvær"
"Anders Næss","Hagenflata 04, 5336 Håvardsand"
"Kristin Nilsen","Martinsenplassen 6, 5734 Karlsen"
"Anne Paulsen","Sørenseneggen 4, 3202 Fredriksen"
"Anne-Ida Aas","Myklebustspranget 91, 8240 Håvardborg"
"Svein Sivertsen","Jacobsenfaret 2, 1532 Lie"
"Henrik Aas","Andresenåsen 6, 8392 Moe"
"Johannes Olsen","Arnesenspranget 47A, 9802 Emilieby"
"Reidun Pedersen","Haugemarka 3, 8166 Saradal"
"Thomas-Vegard Myhre","Johannessenvika 3, 9329 Sæther"
"Ragnhild-Grete Lund","Bergsvingen 69D, 9387 Brekke"
"Anders Solheim","Ahmedkollen 03, 2087 Martinsen"
"Olav Iversen","Martinsenstykket 2B, 5301 Johnøy"
"Gunn-Marte Olsen","Jenssentjernet 904, 5633 Annestrøm"
"Finn Edvardsen","Aliengen 8, 0654 Johndal"
"Malin Myklebust","Karlsentunet 22, 0113 Martinås"
"Prof. Øyvind Paulsen","Simonsenbråten 70, 4773 Holm"
"Torbjørn Thorsen","Andreassenskogen 9C, 0672 Jensen"
"Marianne Aune","Solbergberget 08, 3336 Brittø"
"Espen Bøe","Pettersentjernet 1, 2701 Nguyen"
"Magne Knudsen","Moengjerdet 31A, 6375 Eirikstrand"
"Anders-Markus Thomassen","Eidemoen 5, 2840 Knudsen"
"Ivar Antonsen","Hellandgrenda 95, 6475 Einarvær"
"Magne Lien","Strandbakken 24, 1312 Royodden"
"Elise Edvardsen-Moe","Sørensenstykket 5, 3118 Finnodden"
"Sigrid Holm","Hagenrøa 6H, 9012 Beritfjord"
"Cecilie Dahl","Jensengata 8, 5725 Hagen"
"Sander Berge","Bergskogen 97, 0536 Holm"
"Eirik Jensen","Lieekra 721, 2478 Isaksen"
"Sofie Jensen","Hanssentoppen 9, 4042 Metteås"
"Marie Ellingsen","Pedersenstien 3, 4916 Ahmed"
"Andrea Andresen","Bøeeggen 490, 5313 Mathisen"
"Jorunn Ødegård","Rasmussenengen 9, 2010 Olafjell"
"Torbjørn Ali-Eliassen","Berntsenspranget 1, 5515 Andresen"
"Vilde Jørgensen","Solheimrøa 591, 9967 Knudsen"
"Julie Ellingsen","Knutsenvollen 98F, 4538 Oddsjøen"
"Nora-Ruth Aasen","Knutsenkroken 7, 0470 Nilsen"
"Simen Henriksen","Hanssenflata 43, 5723 Elisehamn"
"Thor Aune","Hanssenlunden 3, 3445 Christensen"
"Geir Sæther-Moen","Jenssenmoen 9, 0951 Torillgrunn"
"Kenneth Moen","Edvardsenhavna 2, 8878 Ragnhildsand"
"Andrea Christensen","Fredriksentjernet 01, 6995 Halvorsen"
"John-Roar Andreassen","Birkelandrøa 65C, 7774 Leifsand"
"Terje Næss","Sivertseneggen 38, 4685 Perstad"
"Mette Kristensen-Moe","Jørgensenflata 25, 9183 Jensen"
"Tonje Lund","Johannessenåsen 6A, 7276 Andreasstrøm"
"Elise-Tone Thomassen","Ahmedroa 99, 4540 Markuseid"
"Frank-Tom Moe","Johansenhaugen 29A, 5856 Paulsen"
"Daniel Næss","Haugenringen 14, 0023 Gunnarås"
"Camilla Andresen","Christensentjernet 4, 2384 Gerdås"
"Thea-Sofie Christensen","Lundstien 96A, 8377 Cecilienes"
"Andrea Halvorsen","Danielsenstranda 6C, 9722 Rønning"
"Eivind Ali-Karlsen","Sætherbakken 5B, 5787 Hansen"
"Jens Solheim","Johansenflata 3, 0046 Hansen"
"Kristian Arnesen","Rasmussenroa 3, 6815 Karolinestrand"
"Simen Ruud-Mathisen","Haugeåsen 230, 6805 Henriksen"
"Cathrine-Lene Haugen","Paulsenstubben 67, 9822 Ceciliestad"
"Johan Aasen","Johannessenåsen 68, 7216 Helgemark"
"Emilie Jakobsen","Auneengen 73A, 1917 Amundsen"
"Synnøve Madsen-Hansen","Arnesenstranda 551, 6975 Tovefoss"
"Sara Lunde","Engenhaugen 9A, 1546 Haugland"
"Andrea Madsen","Myhreplassen 5, 2834 Markusodden"
"Asbjørn Nguyen","Mathisenstykket 8B, 5794 Sofiebø"
"Maria Birkeland","Solheimengen 6, 5177 Haugen"
"Ole Hanssen","Jacobsenåsen 7, 2943 Larsvik"
"Eirik Olsen","Ruudstranda 74A, 7388 Åsestrand"
"Heidi Bakke","Kristiansenekra 43, 7777 Tveit"
"Harald-Jens Ellingsen","Knudsenroa 4, 7118 Mikkelsen"
"Jon Martinsen","Jenssenplassen 81, 9201 Knudsen"
"Martin Dahl-Haugland","Pedersenhagen 5, 8900 Eliassen"
"Else-Randi Strand","Jenssenstien 49, 5213 Annafoss"
"Andrea Nilsen-Næss","Berntsenmoen 41, 5184 Juliebø"
"Unni Aasen","Aunevollen 90, 6630 Madsen"
"Johannes-Morten Hansen","Simonsenringen 2, 7557 Mikkelsen"
"Ragnhild Birkeland","Nguyenhaugen 3, 8996 Arnesen"
"Petter-Tore Henriksen","Haugenstien 6, 3142 Hagen"
"Roy Hansen","Eriksenberget 9, 9978 Runeås"
"Helge Tveit-Edvardsen","Sandvikhavna 23C, 2165 Strand"
"Erik Thorsen-Solberg","Lundealléen 855, 3564 Ingerfoss"
"Irene Bøe-Berntsen","Alitjernet 70, 1429 Ali"
"Sebastian Paulsen","Nielsenbakken 743, 2555 Haraldhelle"
"Andrea Rønning","Eliassengrenda 2, 3816 Magnusmark"
