"Adrian Danielsen"	"Pettersenrøa 36D, 5131 Audeid"
"Turid-Hege Knutsen"	"Knudsenhavna 635, 1766 Evensen"
"Morten Berg"	"Kristiansenvika 676, 6022 Ødegård"
"Fredrik Hagen"	"Jakobsenmyra 1B, 1292 Finnås"
"Anette Svendsen"	"Moemoen 97A, 5800 Dahl"
"Adrian Ruud"	"Henriksenstykket 2, 7043 Kirstenstad"
"Arne Myklebust"	"Eriksensvingen 42, 2617 Øysteinstrøm"
"Magne Haugland"	"Mikkelsenrøa 05, 2981 Jensen"
"Thor Vik"	"Aasstien 1, 0095 Sveinø"
"Olav Bakken"	"Knudsenstranda 13B, 7012 Ellenby"
"Sara Olsen"	"Alibråten 50A, 0220 Frodestrand"
"Egil Lien"	"Halvorsenlyngen 9A, 4779 Isaksen"
"Ragnhild-Anna Ruud"	"Ahmedlyngen 33, 1960 Monicabø"
"Berit Myhre"	"Berntsenlia 5, 7954 Elinøy"
"Lene-Emma Solberg"	"Danielsensvingen 1B, 9593 Adrianmark"
"Alexander Aune"	"Thorsenskogen 42, 5860 Hauge"
"Elise-Sofie Johnsen"	"Solbergberget 7G, 3516 Kristinfoss"
"Hans Moe"	"Jacobsentoppen 53, 4411 Bøe"
"Johan Haug"	"Abrahamsenmyra 7A, 8654 Eide"
"Julie Tveit"	"Karlsenringen 2, 9849 Einarsjøen"
"Vidar Paulsen"	"Sætherlyngen 36A, 8681 Noraø"
"Arne Haug"	"Næsslunden 15, 8895 Haraldstad"
"Mari Helland-Ødegård"	"Henriksenstykket 339, 4746 Theahavn"
"Dag Sandvik"	"Johansenmyra 82, 4633 Berg"
"Silje Thorsen"	"Dahlkollen 2, 6100 Sæther"
"Alexander Bakken"	"Olsenhaugen 00, 1169 Knutsen"
"Jon Vik"	"Strømtunet 5, 2903 Lund"
"Hege Strand"	"Halvorsenstien 6, 7729 Pettersen"
"Mona Aasen"	"Madsentoppen 65A, 0376 Isaksen"
"Bente Svendsen"	"Knutsenstubben 2, 4743 Haugen"
"Alf Arnesen"	"Solheimmoen 383, 3230 Eriksen"
"Robert Pedersen"	"Eliassenspranget 1H, 8041 Olsen"
"Cecilie Haugen"	"Andreassenkroken 5B, 1423 Ruud"
"Eva-Monica Ali"	"Ruudmarka 3, 0623 Vegardfjord"
"Berit Sørensen"	"Aasenhøgda 8, 1743 Knuteid"
"Alexander Hauge"	"Jenssenplassen 4, 0530 Hildeodden"
"Kristoffer-Harald Ødegård"	"Thorsenhavna 92, 4673 Torillås"
"May Tveit"	"Madsentoppen 1A, 9895 Solheim"
"Mathias Haugen"	"Sørensenåsen 7, 4593 Leneås"
"Cathrine Bakke"	"Eidejordet 5, 5953 Martinsen"
"Jorunn Moe-Haugen"	"Lundvika 2, 6358 Andersen"
"Egil Mathisen"	"Knudsenvollen 9, 6983 Kimsjøen"
"Elise-Else Amundsen"	"Aasfaret 18, 1144 Martinesund"
"Tor Evensen"	"Nielsenåsen 519, 1564 Geirsjøen"
"Stine Eliassen-Henriksen"	"Kristensensvingen 7, 4033 Liseberg"
"Alexander Isaksen"	"Kristoffersentjernet 05, 2944 Iversen"
"Liv Nygård"	"Halvorsenhaugen 7, 5599 Anettesund"
"Ingeborg Birkeland"	"Arnesenskrenten 9, 3375 Einarsand"
"Anders Henriksen"	"Lundeåsen 6, 5257 Bakke"
"Kristine Solberg"	"Andreasseneggen 666, 1335 Knutsen"
"Lise Knutsen"	"Svendsenstranda 47, 7681 Larsen"
"Emilie-Elisabeth Myhre"	"Alibråten 7B, 5888 Helland"
"Mona Haugland"	"Solheimjordet 7, 8152 Evafjell"
"Harald Andresen"	"Isaksengata 6, 3742 Bentenes"
"Øystein Thorsen"	"Halvorsenbakken 5, 6401 Madsen"
"Alexander Knudsen"	"Christensenplassen 00, 2661 Oledal"
"Simen Danielsen"	"Mikkelsenroa 00B, 8830 Lunde"
"Robert-Erling Sivertsen"	"Kristensengjerdet 57, 2819 Myhre"
"Alexander Gundersen"	"Sørensenhaugen 9, 1154 Øyvindstad"
"Ivar Thorsen"	"Thomassenjordet 919, 5961 Solberg"
"Thomas Sæther-Thomassen"	"Christensenkollen 8, 0801 Andersen"
"Prof. Robert Andreassen"	"Paulsenløkka 1A, 7153 Arnefjell"
"Kristian Edvardsen"	"Solberglyngen 21, 6982 Perøy"
"Tom Hagen"	"Jørgensenbråten 6A, 2994 Ruud"
"Jan Bøe"	"Lundhøgda 67B, 9983 Sæther"
"Alexander Mikkelsen"	"Amundsengjerdet 2, 5761 Sveinfjell"
"Sigurd Johansen"	"Antonsenekra 03, 5512 Evensen"
"Britt-Maria Næss"	"Iversenringen 8A, 4736 Marennes"
"Thea-Tonje Arnesen"	"Jørgensenhøgda 6, 9868 Moe"
"Nina-Karoline Gulbrandsen"	"Knudsengropa 6, 3012 Arnesen"
"Silje-Sara Nygård"	"Aasgjerdet 9, 6682 Stinehelle"
"Thea Jensen"	"Rønningmarka 6, 3459 Grethefjord"
"Tonje Nguyen"	"Mathisengata 9, 3005 Pettersen"
"Liv Pettersen"	"Mikkelsenløkka 4, 3807 Saragrunn"
"Hanne Simonsen"	"Solheimgrenda 21, 2460 Emmahelle"
"Alexander Sørensen"	"Næsshavna 83, 5440 Rønning"
"Marius Ahmed"	"Eliassenhaugen 6, 3145 Berntsen"
"Trond Madsen"	"Sætherkollen 2D, 2939 Emmastrand"
"Mari-Janne Danielsen"	"Jacobsenhagen 9, 3916 Simenstrand"
"Kjersti Vik"	"Johansenplassen 53, 4300 Ivardal"
"Ole Berg-Engen"	"Andresenstykket 2B, 8307 Johnø"
"Randi Pettersen-Bakke"	"Kristensentunet 7, 0258 Kristofferås"
"Randi Hagen"	"Aasenskogen 37G, 6186 Stigbø"
"Anna Nguyen"	"Bakkeløkka 5, 6464 Hanssen"
"Gerd Ellingsen"	"Johnsenbakken 001, 7649 Engen"
"Alexander Tangen"	"Andresenspranget 9, 0814 Grosjøen"
"Helge Myhre"	"Ellingsenhavna 8, 5018 Eliassen"
"Cathrine Bakke"	"Olsenlunden 5A, 2988 Hagen"
"Emma-Ann Ruud"	"Abrahamsenkollen 9, 1999 Emilstad"
"Berit-Gunn Simonsen"	"Bøeplassen 6, 9932 Pervåg"
"Øyvind Hansen"	"Bakkeekra 2E, 2760 Lunde"
"Torbjørn Jacobsen"	"Eliassenhøgda 6, 8301 Einarvåg"
"May-Kjersti Rønning"	"Kristiansenroa 8, 3544 Vik"
"Stig Strøm"	"Lundeberget 7, 9858 Eide"
"Terje Jensen"	"Moetjernet 81, 0669 Hauge"
"Alexander-Håkon Gundersen"	"Andresengropa 06, 7566 Synnøvesjøen"
"Thor Strand"	"Paulsenstien 6, 7363 Haugen"
"Mette Tveit"	"Gulbrandsenbråten 22, 0666 Birkeland"
"Lene Halvorsen-Simonsen"	"Halvorsenrøa 3D, 1549 Martinesund"
"Morten Sandvik"	"Abrahamsenholtet 3, 6875 Johannessen"
"Grete Danielsen"	"Alihøgda 7, 2391 Theahamn"
"Terje Nguyen-Mathisen"	"Johnsenløkka 86, 9633 Johnhelle"
"Stein-Sebastian Thomassen"	"Amundsengrenda 83B, 9996 Bøe"
"Ragnhild Mathisen"	"Solbergrøa 8, 3555 Eliassen"
"Thea-Silje Nguyen"	"Madsentoppen 632, 0401 Holm"
"Alexander-Jonas Lien"	"Alistranda 8D, 5713 Vegardhelle"
"Eli Sandvik"	"Lielia 4G, 8522 Sindrehamn"
"Håvard Ali"	"Edvardsenåsen 87, 0336 Rasmussen"
"Bjørg-Sigrid Ali"	"Tveitalléen 821, 5072 Mariannesund"
"Fredrik Halvorsen-Rasmussen"	"Danielsengata 673, 8394 Gunnhavn"
"Sigurd Andresen"	"Johnsenroa 6, 6151 Erlingsand"
"Prof. Kim Andresen"	"Amundsenplassen 3, 2972 Pålstrøm"
"Olav Edvardsen"	"Hellandsvingen 8, 7709 Arnesen"
"Vidar Henriksen"	"Engenroa 5, 3331 Edvardsen"
"Karl Berntsen"	"Paulsengjerdet 8, 9026 Hauge"
"Alf Andersen"	"Sivertsenåsen 3, 5475 Rønning"
"Ole Andersen"	"Fredriksenbakken 5E, 6201 Haugen"
"Vidar Aas"	"Danielsenåsen 090, 2025 Bentehamn"
"Trond-Magne Aune"	"Andresenhavna 7, 5539 Mathiassund"
"Knut Vik"	"Andresenbakken 86, 0572 Iversen"
"Elin Halvorsen-Nygård"	"Danielsenplassen 43A, 2932 Johansen"
"Randi Myhre"	"Bakkenspranget 45F, 7229 Andreassen"
"Øystein Tveit"	"Evensenstranda 7, 5160 Aas"
"Karin Mikkelsen"	"Edvardsenhøgda 777, 4385 Marenstad"
"Sindre Strand"	"Jakobsenspranget 828, 5631 Håkonvik"
"Alf Andersen"	"Thorsengjerdet 70, 2997 Strand"
"Andreas Engen"	"Iversenspranget 1, 3982 Martinstrøm"
"Gunnar Berntsen"	"Hansentjernet 10, 9960 Jenssen"
"Roar Eide-Eide"	"Rønninglunden 3, 1591 Camillaås"
"Silje Edvardsen"	"Bergekra 49F, 4367 Evensen"
"Tore Ahmed"	"Sæthergata 524, 2406 Hansstrand"
"Silje-Ingrid Bakken"	"Andresenstranda 59, 6942 Gromark"
"Jon Lie"	"Mikkelsenflata 2, 0493 Edvardsen"
"Mathias-Jens Johannessen"	"Pettersenstubben 451, 6550 Birkeland"
"Sander Jenssen"	"Eideringen 23, 7158 Myklebust"
"Alf Mikkelsen"	"Rasmussenskrenten 510, 1345 Larsberg"
"Mette Pedersen-Aasen"	"Johansentjernet 87F, 7197 Strand"
"Sindre-Asbjørn Evensen"	"Hansenholtet 6, 2754 Karinhelle"
"Rune Olsen"	"Ahmedtjernet 3, 7698 Holm"
"Thea Nygård"	"Næsshaugen 7, 6537 Solheim"
"Sander Halvorsen"	"Olsengrenda 2, 3057 Kristensen"
"Nina-Andrea Berge"	"Mathisenhaugen 40E, 6186 Amundsen"
"Anna Nilsen"	"Dahlberget 1, 9614 Vik"
"Berit Berge"	"Mathisentjernet 54, 5988 Monicaås"
"Kåre-Leif Danielsen"	"Johansenhagen 2, 1108 Hagen"
"Alf Myhre"	"Rasmussengrenda 19, 6242 Helenehamn"
"Øystein-Per Mathisen"	"Jørgensenlia 7, 9288 Myhre"
"Eva Ruud"	"Paulsenrøa 8, 8882 Sigurdø"
"Elise Solheim"	"Andersenlia 1, 6110 Karlsen"
"Linn Eide"	"Vikkollen 47, 4573 Pettersen"
"Astrid Larsen"	"Gulbrandsenskogen 38B, 3490 Runenes"
"Malin Vik"	"Larsenkollen 25A, 1091 Edvardsen"
"Håvard-Gunnar Nielsen"	"Myhremyra 21C, 7897 Nielsen"
"Anita Ødegård"	"Moevika 8, 0939 Edvardsen"
"Ragnhild Antonsen"	"Nilsenhaugen 1, 8933 Birkeland"
"Alf Tveit"	"Rønningkollen 867, 6934 Olsen"
"Kjell Gulbrandsen"	"Sandvikhavna 577, 1837 Knudsen"
"Roar Nilsen-Myklebust"	"Aasroa 568, 8793 Eivindhamn"
"Marius Andreassen"	"Ahmedbakken 30C, 6303 Heidistrøm"
"Roar Aas"	"Aasgrenda 14A, 2277 Haugland"
"Kjetil-Alf Haugen"	"Birkelandskrenten 4G, 2203 Elidal"
"Arne-Kristian Ødegård"	"Haugflata 69, 0489 Gulbrandsen"
"Prof. Hans Olsen"	"Halvorsenbråten 84A, 2911 Mathisen"
"Emma-Kari Rønning"	"Iversenhagen 54, 5852 Maritstad"
"Vegard Hagen"	"Andresenvollen 09, 0496 Juliehamn"
"Anders Amundsen"	"Jenssenringen 9, 6182 Tobiassjøen"
"Håvard-Joakim Aasen"	"Edvardsenlia 6, 0067 Eide"
"Frode Jakobsen"	"Mathisenroa 8, 6715 Livmark"
"Kristian Eide"	"Larsensvingen 1A, 0744 Nguyen"
"Martine-Line Johansen"	"Strandskogen 6, 6197 Idasand"
"May Lien"	"Solbergplassen 80B, 2349 Jakobsen"
"Rune Evensen"	"Bakkenhavna 4, 0410 Simonsen"
"Ruth Engen"	"Larsenmoen 92, 6223 Kimhelle"
"Reidun Sørensen"	"Myklebusthavna 20, 1128 Janeid"
"Solveig Johannessen"	"Jensentoppen 5, 7632 Groøy"
"Anders Henriksen"	"Antonsengrenda 82F, 5534 Jacobsen"
"Geir Arnesen-Hagen"	"Vikstubben 832, 1288 Thorsen"
"Emma Nielsen"	"Nygårdeggen 7, 6871 Juliestrøm"
"Julie-Silje Lien"	"Berggropa 7, 4977 Næss"
"Bjørg Johansen"	"Simonsensvingen 4E, 2049 Rønning"
"Elise Berge"	"Engenberget 652, 3530 Elisevik"
"Odd-Johannes Holm"	"Danielsenstien 945, 5492 Olsen"
"Jenny Halvorsen"	"Arnesensvingen 2D, 8773 Ivargrunn"
"Torbjørn Eide"	"Martinsenvika 87, 1007 Myhre"
"Finn Thomassen"	"Haugkroken 2B, 6742 Bakken"
"Anders Henriksen"	"Mikkelsenengen 5, 5179 Egilsund"
"Prof. Ole Eriksen"	"Aasspranget 2, 5055 Nilsen"
"Line Myklebust"	"Halvorsenstranda 3, 3325 Vildeøy"
"May Christensen"	"Eliassenkroken 22, 2452 Wenchevik"
"Liv Bakken"	"Kristiansentjernet 6, 8166 Isaksen"
"John-Kjell Knudsen"	"Simonsenhøgda 9, 8402 Hanssen"
"Ellen Eliassen"	"Eideeggen 8, 1452 Karenberg"
"Marius Lien"	"Pettersenmarka 768, 9862 Karlsen"
"Petter Kristiansen"	"Aliberget 3, 3940 Linnfjell"
"Gerd Danielsen"	"Jensenløkka 7B, 8129 Hannavåg"
"Anders Jørgensen"	"Haugenspranget 8H, 9684 Turidodden"
"Reidun Eriksen"	"Moeroa 00B, 3773 Groøy"
"Ivar Eriksen"	"Bergspranget 1, 9235 Johnsen"
"Vegard Aune-Fredriksen"	"Nygårdstubben 79, 7978 Ahmed"
"Ingrid Sørensen"	"Ellingsenstranda 56, 9846 Kjetileid"
"Solveig Hauge-Jakobsen"	"Kristoffersentunet 721, 5876 Nielsen"
"Randi Ødegård"	"Strandskogen 1, 4663 Ceciliegrunn"
"Finn Bakken-Rasmussen"	"Olsenhaugen 66, 6713 Brekke"
"Maria Hagen-Ødegård"	"Berglyngen 2, 6598 Hauge"
"Anette Eliassen"	"Brekkebråten 5C, 7729 Andresen"
"Anders Kristiansen"	"Aasengropa 3, 1112 Myklebust"
"Daniel Edvardsen"	"Kristensenbråten 2, 7551 Reidunsjøen"
"Ingrid Brekke"	"Liejordet 689, 3983 Linestrand"
"Eva Andreassen-Strøm"	"Rasmussengjerdet 6, 7711 Kristensen"
"Maren Tveit"	"Hauglandskrenten 1E, 5237 Martinsen"
"Eivind-Tommy Aasen"	"Eriksenekra 2, 9330 Nilsen"
"Reidun Sandvik"	"Hauglandåsen 15A, 0665 Mathiasvær"
"Geir-Tore Martinsen"	"Andreassenengen 9, 0781 Lund"
"Bjørn Lund"	"Gundersenlunden 4G, 2282 Sivgrunn"
"Stig-Markus Moen"	"Nygårdkroken 38, 5358 Martevær"
"Anders Lien-Christensen"	"Knutsenkollen 5, 5782 Antonsen"
"Cathrine Brekke"	"Hagenskogen 9C, 0854 Mikkelsen"
"Heidi-Rita Gundersen"	"Brekkesvingen 7, 1451 Ahmed"
"Egil-Ivar Ali"	"Nygårdroa 6, 8698 Alfhamn"
"Siri Birkeland"	"Kristiansenholtet 5, 2903 Bakke"
"Dr. Jørgen Edvardsen"	"Antonsenlunden 4, 1940 Asbjørnhamn"
"Ida-Malin Evensen"	"Tveitskrenten 5, 1932 Paulsen"
"Sondre Haugen"	"Kristensentjernet 4C, 8344 Arildmark"
"Robert-Ole Bakke"	"Paulsengrenda 03, 3680 Mettehelle"
"Sverre Brekke"	"Bergkroken 3, 8534 Markusfjell"
"Anders Olsen-Knudsen"	"Ødegårdsvingen 01H, 1115 Mikkelsen"
"Vidar Kristensen"	"Amundsenstubben 37, 9768 Jørgensen"
"Roar Rasmussen"	"Fredriksenspranget 69, 1238 Jørgensen"
"Daniel Ellingsen"	"Edvardsenvika 8, 4221 Strøm"
"Sofie Edvardsen"	"Auneengen 374, 1551 Mariannevåg"
"Lene Olsen"	"Ødegårdtjernet 002, 0639 Mayeid"
"Janne Gulbrandsen"	"Christensenmoen 27D, 4291 Ali"
"Morten Hagen"	"Martinsenstranda 5, 9228 Karlsen"
"Tonje-Nina Mathisen"	"Jacobsenberget 8, 9152 Beritmark"
"Gunn Johnsen"	"Henriksenløkka 931, 1413 Abrahamsen"
"Anders Rasmussen"	"Karlsenløkka 76, 0064 Audsund"
"Einar-Ola Lien"	"Solheimsvingen 89, 3779 Sivstrøm"
"Johannes-Sigurd Mathisen"	"Moelyngen 1, 9109 Erikodden"
"Roar Nygård"	"Jacobsenengen 2B, 8736 Joakimsand"
"Hans Ødegård"	"Gundersenfaret 5B, 0759 Jacobsen"
"Joakim Rasmussen"	"Olsenkroken 9B, 6453 Arnesen"
"Roy Andersen-Karlsen"	"Solbergtoppen 55E, 5187 Jakobsen"
"Håvard Haugland"	"Jørgensenengen 6, 9168 Tommyborg"
"Camilla-Hanne Isaksen"	"Mathisenholtet 591, 7872 Helland"
"Fredrik Birkeland"	"Solheimkollen 3, 9760 Pedersen"
"Anders Tangen"	"Evensenskogen 4, 9632 Helland"
"Wenche Berge"	"Holmalléen 07F, 7114 Sigurdberg"
"Andrea Knudsen"	"Rasmussenhavna 20, 1081 Fredrikstad"
"Anne Iversen"	"Johannessensvingen 71, 6220 Lineodden"
"Kristin Ali"	"Solbergekra 2, 4393 Geirberg"
"Roy Johannessen"	"Knutsenfaret 1, 5460 Åsegrunn"
"Ellen Eliassen"	"Solberglunden 26, 3966 Hannevær"
"Egil Jensen"	"Halvorsenflata 2, 0815 Johannessen"
"Liv Hansen"	"Engenflata 6, 7118 Helland"
"Einar Berge-Madsen"	"Jensenmyra 91F, 2939 Trineås"
"Anders Thomassen"	"Haugeekra 1, 6196 Lund"
"Bente Amundsen"	"Christensenrøa 6, 2941 Johanmark"
"Tommy Tveit"	"Sætherkroken 48, 3855 Kristiansen"
"Aud Sæther"	"Jørgensenstien 56, 6558 Olavodden"
"Bjørg Jørgensen"	"Dahlstranda 407, 6321 Johnsen"
"Vidar Moe"	"Johannessenflata 4, 2127 Elistrand"
"Kristin Knudsen-Bakken"	"Mathiseneggen 3, 1492 Aasen"
"Roar Hanssen"	"Bergetunet 481, 0235 Ingeborgfjord"
"Sverre Berge"	"Solbergstranda 6C, 1667 Nilsen"
"Prof. Alf Ødegård"	"Tangenhøgda 6F, 1912 Gulbrandsen"
"Anders-Eirik Gundersen"	"Gundersenmarka 9, 3666 Pettersen"
"Alexander Hagen"	"Sandvikringen 216, 4215 Benteås"
"Eli Kristiansen"	"Mathisenstubben 457, 8140 Noraøy"
"Ellen Engen"	"Aasenrøa 8, 5502 Øyvindvær"
"Roger Holm"	"Holmtjernet 06, 8348 Thomassen"
"Monica Thomassen"	"Ellingsenstykket 6A, 2325 Lunde"
"Malin Mathisen-Engen"	"Jørgensenfaret 110, 0100 Olavodden"
"Linda Sandvik"	"Tveitstykket 38, 1242 Rønning"
"Petter Solheim"	"Myhrestranda 1, 8926 Nguyen"
"Emilie Haugen-Haug"	"Dahlåsen 05, 2370 Brekke"
"Anders-Eirik Simonsen"	"Rasmussenjordet 288, 6451 Finnby"
"Åse Mikkelsen"	"Anderseneggen 08F, 1952 Iversen"
"Tom Aune"	"Henriksenhøgda 054, 8096 Åsestrand"
"Solveig Hanssen"	"Hellandmarka 30F, 4532 Strøm"
"Lars-Johan Bakken"	"Johansenhøgda 4, 7405 Ødegård"
"Wenche Kristensen"	"Christensengropa 5B, 0243 Ragnhildsund"
"Vilde Holm"	"Moegrenda 3, 4276 Tonemark"
"Malin Moen"	"Arnesenhøgda 6, 9819 Nilsen"
"Bjørn Eliassen"	"Madsenvika 87B, 2212 Thomassen"
"Dag Myklebust"	"Martinsenstubben 3, 4084 Asbjørnhavn"
"Anders-Jørgen Bakke"	"Engenstranda 72, 1583 Tangen"
"Asbjørn Danielsen"	"Haugmyra 05F, 6272 Rolfdal"
"Bente Eide-Paulsen"	"Arnesenbakken 31, 8266 Ingridberg"
"Maren-Tone Bakke"	"Paulsentjernet 6, 6448 Asbjørnvåg"
"Jorunn Hansen"	"Halvorsenrøa 1B, 3543 Solveignes"
"Sondre Fredriksen"	"Arnesenlia 95A, 9723 Åsestad"
"Roar Edvardsen"	"Gundersenhaugen 2, 8672 Kristoffersen"
"Tor Moen"	"Jenssenplassen 3B, 5724 Moen"
"Dr. Robert Lunde"	"Antonsenplassen 5, 6000 Sofiestrøm"
"Siri Edvardsen"	"Lundemyra 82, 8193 Eriksen"
"Andrea Bakke"	"Strømvika 1, 6826 Antonsen"
"Steinar-Trond Danielsen"	"Rønningstubben 92B, 9213 Halvorsen"
"Dr. Dag Kristoffersen"	"Olsenlunden 7C, 4677 Haugen"
"Arne Gulbrandsen"	"Andreassenvollen 37B, 9051 Irenefjord"
"Alexander Sørensen"	"Vikgjerdet 36, 8333 Kårestrøm"
"Olav Eide"	"Sørensenkollen 57, 2680 Jensfjell"
"Andrea Gulbrandsen"	"Antonsenåsen 2, 1407 Torbjørnfoss"
"Julie Andersen"	"Knutsenvollen 603, 1856 Simonsen"
"Kenneth Ahmed"	"Pettersenstubben 07, 3065 Iversen"
"Roger-Karl Jenssen"	"Eriksensvingen 69, 6488 Andreavåg"
"Andrea Christensen"	"Haugentunet 00A, 3362 Eivindhavn"
"Ruth Sørensen"	"Knudsenalléen 60E, 2263 Gundersen"
"Prof. Joakim Thorsen"	"Hagenmarka 93, 6791 Jensstrøm"
"Ann-Camilla Myklebust"	"Larsenlia 53, 6685 Larsfoss"
"Lise Amundsen"	"Danielseneggen 5, 9904 Sveinsand"
"Cathrine Engen"	"Hauggjerdet 200, 0836 Stigstrand"
"Anita-Elise Bakken"	"Aunehavna 8, 0005 Anetteberg"
"Pål Berg"	"Jakobsenekra 4C, 0840 Håvardfjell"
"Anna Vik"	"Brekkeringen 35A, 8567 Magnusberg"
"Olav Edvardsen"	"Brekkeskogen 20, 2793 Aasen"
"Andrea Gulbrandsen"	"Strandhøgda 9, 2560 Kristoffersen"
"Simen Birkeland"	"Johansenbråten 8F, 9368 Ellingsen"
"Trine Abrahamsen"	"Ruudløkka 73D, 9130 Solberg"
"Håvard Hanssen"	"Thomassentunet 3, 4282 Monicaberg"
"Johan Dahl"	"Andresenflata 6B, 2497 Amundsen"
"Anita-Jorunn Sivertsen"	"Jenssenplassen 4, 7047 Trinesund"
"Hege Bakke"	"Thomassensvingen 5A, 0300 Kristinestrøm"
"Kristin Jacobsen"	"Aasenskogen 253, 2038 Julieøy"
"Ragnhild Antonsen"	"Christensenhagen 105, 5738 Danielsjøen"
"Linn Ødegård"	"Nygårdmarka 3, 6812 Christiansjøen"
"Andrea Johansen"	"Thorsenmoen 3, 7634 Bakken"
"Marius Birkeland-Moen"	"Sandvikrøa 76C, 2124 Næss"
"Jon-Magnus Eriksen"	"Ødegårdvollen 1, 3229 Simonsen"
"Thor Birkeland"	"Berntsenhavna 292, 9243 Nygård"
"Odd Mathisen"	"Aasentoppen 9, 6114 Johnsen"
"Unni Abrahamsen"	"Kristensenskogen 9F, 5709 Hanssen"
"Johan Berg"	"Sivertsenstykket 1, 8998 Gundersen"
"May Strand"	"Eidetjernet 1, 4658 Emiliebø"
"Geir Haugen"	"Pettersenalléen 3, 7891 Haug"
"Sissel Simonsen"	"Bøevika 26, 0547 Andreanes"
"Andrea Johnsen"	"Ahmedeggen 1, 7932 Kristiansen"
"Arne Andersen"	"Ruudtoppen 609, 7459 Engen"
"Irene Andresen"	"Tangentunet 76, 6678 Ahmed"
"Hege Amundsen"	"Liemoen 86, 4778 Jakobsen"
"Tove Hanssen-Hansen"	"Nielsenstykket 66A, 1996 Wenchemark"
"Eivind Lund"	"Nguyenplassen 3, 5519 Danielberg"
"John Larsen"	"Abrahamsenroa 7A, 1962 Monicadal"
"Olav Halvorsen"	"Bakkehaugen 27, 7320 Danielsen"
"Trine-Solveig Christensen"	"Strømbråten 3, 0405 Arnesen"
"Arne Eliassen"	"Sandvikstykket 10, 1179 Kristoffervik"
"Andrea Johnsen"	"Myhremarka 5, 8540 Jannefjord"
"Inger Knutsen"	"Brekkelunden 6, 2497 Haug"
"Reidun Isaksen"	"Hagenvollen 404, 6698 Hagen"
"Astrid-Gunn Berge"	"Jacobsenringen 85, 0664 Moen"
"Kristian Abrahamsen"	"Holmgropa 6, 9455 Kristinfjell"
"Magnus Johannessen"	"Nilsenvika 1C, 2110 Kristinnes"
