"अंजली अहेरजी","599 चव्हाण
नवी मुंबई-385520"
"आशा चव्हाण","35/610 अनुष्का शिंदे
लातूर-521706"
"पल्लवी माने","7 स्वाती अहेर
नवी मुंबई-288208"
"श्री कैलास पवार","39/7449 उमा कोल्हे
गोंदिया-931843"
"कुमारी दत्तात्रेय शिंदे","45/98 विकास देशपांडे
पुणे-114260"
"अभिषेक कदम","6579 अहेर
मुंबई 884129"
"अनिता चौगुलेजी","2 देशपांडे
जळगाव-556392"
"निलेश पाटीलजी","64/35 भोसले
औरंगाबाद 835240"
"श्रीमती विनायक ठाकूर","208 प्रकाश देशपांडे
पिंपरी-चिंचवड 819143"
"जितेंद्र कुलकर्णीजी","21/130 वैशाली जाधव
मिरज 708457"
"श्री अशोक कुलकर्णी","803 देशमुख
मिरज-235886"
"संदीप देशमुख","4 भोसले
सांगली 649411"
"श्री प्रवीण कोल्हे","572 गवळी
मुंबई-003047"
"पूजा सावंत","2 आदित्य कोल्हे
हिंगोली 661729"
"श्री अनिरुद्ध शिरसाट","5316 सावंत
सातारा-913498"
"कुमारी प्रिया माने","9/0 जाधव
वसई-441342"
"अनिता जोशीजी","5 भोसले
औरंगाबाद-121702"
"कुमारी ज्योती महाजन","873 आकांक्षा ओक
कोल्हापूर-348180"
"श्रीमती अपर्णा कोल्हे","9 रोहिणी मोरे
नवी मुंबई 004379"
"श्रीमती राहुल शिरसाट","597 मंगेश गवळी
अहमदनगर 645628"
"श्रीमती चेतन फडके","13/880 मकरंद गायकवाड
पिंपरी-चिंचवड-761326"
"मीनल अहेर","43/932 साळुंखे
मुंबई-240859"
"श्रीमती आकाश शिंदे","6/2 ठाकूर
उस्मानाबाद 768486"
"श्रीमती पल्लवी चव्हाण","9/5 जगताप
बीड 878244"
"अनुष्का जोशीजी","59/3678 चौगुले
लातूर-148359"
"अशोक साळुंखे","9065 चौगुले
हिंगोली-899631"
"अनिता देशपांडे","45/1670 आकांक्षा कदम
अहमदनगर 821500"
"आदित्य सावंत","4 पल्लवी पाटील
नांदेड 579567"
"श्रीमती मकरंद देशमुख","67/95 अहेर
धुळे 229211"
"मकरंद ठाकूरजी","95/652 अमित कदम
परभणी 806779"
"श्रीमती रोहिणी मोरे","8/3 कदम
परभणी 886263"
"अनुष्का भोसले","728 सावंत
कोल्हापूर 331280"
"प्रिया पाटीलजी","365 संदीप साने
अहमदनगर 606846"
"इशिता शिरसाट","62/5721 मोरे
ठाणे-114166"
"रोहिणी सावंत","3929 पवार
गोंदिया-105232"
"विवेक देशपांडे","5/1 चव्हाण
लातूर-407357"
"अनिता देशमुख","05 ईश्वर मोरे
औरंगाबाद 119895"
"अमोल साळुंखे","9/4 साळुंखे
अकोला 772759"
"श्री दीपाली जगताप","1821 विकास ओक
धुळे-830322"
"श्रीमती सुरेश ओक","51 फडके
हिंगोली 509241"
"मानसी आगरकरजी","22 चौगुले
सोलापूर-669975"
"श्रीमती भूषण फडके","52/42 राऊत
उस्मानाबाद 492708"
"मोहन कुलकर्णी","7/8 शिल्पा मोरे
नांदेड 520732"
"श्री अनिता देशपांडे","5 जाधव
धुळे 306746"
"धनंजय गायकवाड","9/4 गौरव ओक
रत्नागिरी 128447"
"चेतना गवळीजी","9/4 मानसी फडके
नाशिक-049232"
"अनिता पाटील","42 अभिषेक आगरकर
पुणे-637101"
"अनिता राऊत","15/808 सावंत
नाशिक-600303"
"श्रीमती अशोक गायकवाड","4 प्रकाश पाटील
पिंपरी-चिंचवड 694817"
"रोहिणी जोशी","4151 देशपांडे
नागपूर-860682"
"अभिजीत जगताप","60 सावंत
वसई-398643"
"विकास सावंत","057 कविता कुलकर्णी
सातारा-559708"
"श्री कोमल ठाकूर","18/81 भोसले
हिंगोली 869199"
"प्रकाश भोसलेजी","6/3 माधव पाटील
चंद्रपूर 918503"
"स्नेहा गायकवाडजी","063 मानसी जगताप
ठाणे 572155"
"श्रीमती दत्तात्रेय अहेर","92 अभिजीत ठाकूर
जळगाव 698246"
"अनिता पाटील","71/730 कविता कोल्हे
रत्नागिरी 735170"
"श्री अभिषेक शिंदे","1/6 श्रुती जाधव
बीड 660105"
"मकरंद कोल्हेजी","10 कांबळे
हिंगोली 592116"
"पूजा गवळी","0/3 अंजली साळुंखे
ठाणे 779161"
"श्री धनंजय राऊत","73 देशपांडे
हिंगोली-181032"
"कुमारी कविता अहेर","61 कैलास ठाकूर
यवतमाळ-005043"
"श्रीमती अरुण पवार","25/009 देशमुख
सांगली-127259"
"अभिषेक आगरकरजी","82/2000 साने
अहमदनगर-566731"
"कैलास कांबळे","76/757 हर्षद गायकवाड
गोंदिया-225693"
"दत्तात्रेय सावंतजी","62/037 शिल्पा मोरे
मुंबई 548413"
"अनिता राऊत","28/4258 हर्षदा कदम
गोंदिया-140213"
"माधव राऊत","18/195 भोसले
हिंगोली-293509"
"कुमारी रीमा चौगुले","6413 समीर गायकवाड
सातारा 541844"
"श्रीमती धनंजय ओक","7/4 कांबळे
पुणे 012862"
"श्रीमती मंगेश कुलकर्णी","76/49 ओक
अकोला 887254"
"श्री आशा शिंदे","76/4344 गौरी कांबळे
हिंगोली-599632"
"माधुरी जगताप","722 स्नेहा देशपांडे
वसई 934102"
"श्री अमोल शिरसाट","70/32 अहेर
मिरज 196283"
"अनिता राऊत","2190 माधव पाटील
रत्नागिरी-772393"
"श्री राहुल कुलकर्णी","7 कुलकर्णी
बीड-402219"
"अनिता साळुंखेजी","83/151 प्रज्ञा चौगुले
अहमदनगर 888638"
"किरण अहेरजी","9159 धनंजय भोसले
चंद्रपूर-203221"
"पंकज ठाकूरजी","9/9 शिरसाट
मुंबई-593411"
"विकास महाजनजी","8777 गायकवाड
कोल्हापूर-410080"
"कीर्ती गायकवाड","6225 पाटील
उस्मानाबाद-146608"
"कुमारी हर्षद भोसले","2864 पवार
पुणे-362861"
"श्रीमती सुरेश शिंदे","031 वैशाली माने
पुणे 026083"
"संदीप पाटीलजी","827 दीपाली गवळी
पुणे-492707"
"ईश्वर साळुंखेजी","7 अहेर
पुणे 663012"
"कुमारी हर्षदा माने","90 मकरंद जोशी
नागपूर 051439"
"अनिता सावंत","1619 रीमा राऊत
गोंदिया 661476"
"श्रीमती चेतना चौगुले","942 प्रशांत अहेर
बीड-587005"
"दीपक चव्हाण","249 अहेर
परभणी-096003"
"कल्पना मानेजी","683 चेतन महाजन
सांगली 092930"
"श्री समीर आगरकर","92/74 ओक
नागपूर-491879"
"वैशाली ओकजी","8 विनायक गवळी
अमरावती-288569"
"निलेश भोसले","49/15 हर्षद मोरे
वसई 274050"
"समीर चौगुलेजी","6 समीर सावंत
रत्नागिरी-736254"
"स्वाती आगरकरजी","47/908 फडके
यवतमाळ 469070"
"कीर्ती चौगुलेजी","48/8583 अहेर
रत्नागिरी 247480"
"अनिरुद्ध कदमजी","009 माधव पवार
अहमदनगर-890403"
"हर्षद आगरकरजी","4/9 मानसी सावंत
सांगली-249704"
"श्री रेणुका साळुंखे","9166 दत्तात्रेय आगरकर
वसई-394149"
"विनायक पवारजी","51/371 रोहिणी कांबळे
गोंदिया-287170"
"श्रीमती मीनल अहेर","66/416 अहेर
सांगली 752628"
"समीर कुलकर्णी","07/4398 जगताप
नाशिक 019216"
"निखिल अहेर","02/1545 ईश्वर पवार
सातारा 346709"
"श्रीमती आशा साने","116 अभिषेक जाधव
ठाणे 048098"
"प्रिया कोल्हेजी","3 चेतना जगताप
परभणी 007612"
"श्री अशोक आगरकर","07 दीपक जगताप
सोलापूर 281042"
"अनिरुद्ध कोल्हेजी","1 तन्वी गायकवाड
नांदेड 941486"
"आकांक्षा राऊतजी","2 तन्वी कांबळे
औरंगाबाद-884946"
"कुमारी श्रुती अहेर","6890 सावंत
चंद्रपूर 408354"
"गणेश जगतापजी","980 देशमुख
नवी मुंबई 785329"
"अभिजीत माने","80/1123 स्वाती ठाकूर
मिरज-836208"
"श्री तन्वी चव्हाण","81/1323 रोहित पवार
कोल्हापूर 541553"
"कविता ओक","7/0 आगरकर
कोल्हापूर 544070"
"दीपक महाजन","28/97 महाजन
अहमदनगर-797370"
"विवेक साळुंखेजी","150 अरुण देशपांडे
गोंदिया 344668"
"कुमारी गणेश फडके","642 ज्योती चव्हाण
रत्नागिरी 922381"
"अनिरुद्ध गायकवाडजी","8/0 राहुल ओक
अमरावती 701573"
"हर्षद कोल्हे","5/8 आकाश कदम
सोलापूर 212593"
"श्री स्मिता साळुंखे","324 चव्हाण
मुंबई 817131"
"श्रीमती प्रवीण पवार","75/387 जगताप
वसई 661404"
"उमेश पाटीलजी","94 उमा मोरे
गोंदिया 910444"
"प्रवीण कोल्हेजी","03 सावंत
नागपूर-586459"
"हर्षद ओक","10/85 गवळी
धुळे-536451"
"गणेश देशमुख","42 सचिन देशमुख
लातूर-861287"
"कुमारी प्रवीण मोरे","05/6590 सावंत
नवी मुंबई 045519"
"चेतन मानेजी","393 हर्षदा गवळी
जळगाव 724521"
"अनिरुद्ध जगताप","0 रोहित राऊत
वसई-469332"
"निखिल देशपांडे","98/88 देशमुख
धुळे 769546"
"सचिन कुलकर्णीजी","46/443 अहेर
अमरावती-387920"
"जितेंद्र राऊतजी","10/4503 पाटील
नागपूर-167870"
"स्नेहा भोसले","603 उमा देशमुख
वसई-645575"
"श्री मंगेश कदम","2/2 चव्हाण
रत्नागिरी 934274"
"समीर जगताप","89 गायकवाड
यवतमाळ-895257"
"कुमारी स्वाती गायकवाड","03/6359 ईश्वर ओक
नवी मुंबई 612049"
"चेतना देशमुख","3446 मंगेश चव्हाण
औरंगाबाद 549875"
"भूषण जगतापजी","58/89 मोरे
सांगली 530582"
"अनिरुद्ध जगताप","6 ज्योती कोल्हे
हिंगोली-250257"
"कुमारी मिलिंद शिंदे","9 शिंदे
सोलापूर 060001"
"श्री माधव ठाकूर","2 फडके
पिंपरी-चिंचवड 230732"
"धनंजय शिंदे","2 दीपक देशमुख
जळगाव-041516"
"कविता गायकवाडजी","28/775 कुलकर्णी
बीड 846949"
"आदित्य साळुंखेजी","02/401 श्रुती अहेर
अमरावती 301623"
"लता कांबळेजी","8 राऊत
मुंबई 464793"
"रेणुका साळुंखे","8 माधुरी शिरसाट
पिंपरी-चिंचवड-239742"
"चेतना पाटील","73/773 महाजन
सातारा-760338"
"रोहिणी साळुंखेजी","89/9964 सावंत
जळगाव 870656"
"अनिरुद्ध जाधवजी","30/147 जोशी
मुंबई-422151"
"दत्तात्रेय कांबळे","3/5 अरुण भोसले
अमरावती 566547"
"ईश्वर पाटील","0/1 रीमा आगरकर
जळगाव 488223"
"ज्योती मोरेजी","83/8544 मंगेश गवळी
धुळे 991538"
"रीमा भोसले","90/036 राहुल कोल्हे
अमरावती-377520"
"कुमारी माधुरी गवळी","5 साळुंखे
पुणे 045262"
"श्री आकांक्षा भोसले","38/827 देशपांडे
हिंगोली 019223"
"हर्षद शिंदेजी","51/527 राऊत
लातूर-225290"
"स्वाती मोरेजी","3479 सावंत
नागपूर-051670"
"रीमा साळुंखेजी","40/46 आदित्य जाधव
मिरज-324625"
"अनिरुद्ध देशमुख","2 पंकज अहेर
अहमदनगर 203039"
"श्रीमती अपर्णा पवार","1/1 मंगेश कदम
परभणी-601131"
"चेतना अहेर","69/584 मानसी गायकवाड
नाशिक-414789"
"श्रीमती कीर्ती चौगुले","86 कल्पना गायकवाड
बीड-125950"
"कुमारी चेतना कांबळे","868 अंजली साने
पिंपरी-चिंचवड 168379"
"प्रिया फडके","5/7 कोमल भोसले
लातूर-112133"
"श्री सचिन राऊत","4 शिरसाट
ठाणे-605721"
"माधुरी अहेर","207 हर्षदा पवार
वसई 028992"
"कुमारी आकाश माने","317 देशपांडे
अकोला-671357"
"श्री अरुण कोल्हे","81/85 सावंत
वसई 934095"
"अनिरुद्ध देशमुखजी","35 महाजन
नवी मुंबई 818462"
"चेतना पाटील","2 साने
अहमदनगर 756738"
"कल्पना जाधव","2/3 आकाश देशपांडे
अहमदनगर-838776"
"हर्षद राऊत","15/105 रेणुका पवार
हिंगोली-560616"
"श्री अभिषेक ठाकूर","56/4601 शिरसाट
यवतमाळ-239516"
"इशिता चौगुले","6680 स्वाती मोरे
हिंगोली-129906"
"अनुष्का जगताप","7254 सुरेश राऊत
अमरावती-645118"
"प्रशांत महाजन","961 चव्हाण
वसई 780773"
"श्रीमती निखिल चव्हाण","27 ठाकूर
सांगली-693501"
"प्रकाश गायकवाड","1/5 मोरे
सोलापूर-796376"
"अनिरुद्ध पाटीलजी","618 अपर्णा जोशी
रत्नागिरी-839054"
"दत्तात्रेय आगरकर","88/399 सुनील देशमुख
हिंगोली 941157"
"रीमा कोल्हेजी","79 प्रशांत पवार
नवी मुंबई-630285"
"कुमारी तन्वी पाटील","61/5889 देशपांडे
बीड-618493"
"जितेंद्र चौगुले","4753 ठाकूर
धुळे-605669"
"रोहिणी कांबळेजी","64/742 अमोल साने
नांदेड-794309"
"श्री आकाश चव्हाण","963 अहेर
हिंगोली-890989"
"श्रीमती अभिजीत गवळी","95 श्रुती अहेर
परभणी 000089"
"गौरव आगरकरजी","8/8 प्रकाश कांबळे
जळगाव 315885"
"गौरी राऊतजी","7770 रेणुका देशपांडे
उस्मानाबाद 838093"
"अनिरुद्ध मानेजी","7/2 देशपांडे
रत्नागिरी 807305"
"श्रीमती कोमल अहेर","0680 चौगुले
पिंपरी-चिंचवड 390872"
"स्वाती चौगुलेजी","7/9 अमित चव्हाण
नागपूर-915488"
"श्रीमती श्रुती जाधव","99/644 सावंत
परभणी-517828"
"रीमा शिंदे","087 कुलकर्णी
गोंदिया-355994"
"श्री अनिल देशपांडे","4 चेतन चव्हाण
धुळे-727660"
"कुमारी गौरव कोल्हे","57 प्रशांत आगरकर
लातूर 513120"
"कुमारी समीर पवार","31/7422 जगताप
यवतमाळ-527396"
"श्री अशोक सावंत","12/9470 अपर्णा चव्हाण
औरंगाबाद-981745"
"श्रीमती मिलिंद देशमुख","86 उमेश जाधव
हिंगोली-811861"
"अनिरुद्ध साने","30/6341 निलेश पाटील
चंद्रपूर-011248"
"दीपक पवारजी","23/7879 कांबळे
मिरज 915678"
"कुमारी रोहिणी सावंत","32/69 कविता माने
रत्नागिरी-432422"
"श्री गौरव कुलकर्णी","51/79 भूषण चौगुले
जळगाव-459281"
"प्रिया कुलकर्णीजी","00/5636 उमा आगरकर
अमरावती 425727"
"गौरव माने","01/7618 सावंत
कोल्हापूर-689542"
"राहुल शिरसाट","591 विवेक शिरसाट
अकोला 283278"
"श्रीमती निखिल पाटील","69/1803 आकांक्षा भोसले
वसई 656023"
"आकाश कोल्हे","1799 चेतना कांबळे
रत्नागिरी 726741"
"कल्पना शिंदेजी","98/452 पाटील
उस्मानाबाद 963057"
"अनिरुद्ध साळुंखेजी","6/4 प्रशांत जाधव
जळगाव 983053"
"मानसी भोसलेजी","29/5477 ठाकूर
नाशिक 154781"
"अशोक सानेजी","00 राऊत
नागपूर-219179"
"अरुण साळुंखे","902 अंजली पवार
सांगली 012976"
"ईश्वर शिंदेजी","2872 अनिता अहेर
वसई-657955"
"श्री अभिजीत कदम","1353 अहेर
बीड-862469"
"चेतना शिरसाटजी","2/9 पवार
औरंगाबाद-613659"
"सचिन गवळीजी","42 उमा देशमुख
रत्नागिरी 412710"
"विवेक चव्हाण","23/69 मिलिंद ओक
चंद्रपूर 100608"
"श्रीमती रेणुका जगताप","552 शिरसाट
जळगाव 661217"
"अनिल कुलकर्णी","1/3 रीमा ओक
औरंगाबाद-597821"
"कल्पना मोरे","44/4950 शिंदे
चंद्रपूर 327424"
"विनायक चव्हाण","928 रोहित महाजन
गोंदिया-888670"
"रोहिणी चौगुलेजी","065 मोरे
सांगली 615058"
"विकास ओक","8 विनायक साळुंखे
नांदेड-367536"
"प्रवीण कुलकर्णी","931 शिंदे
परभणी-954769"
"समीर जोशी","78 कदम
बीड 633335"
"चेतना देशपांडेजी","39 शिंदे
नागपूर 966438"
"श्रुती आगरकर","8537 विनायक गवळी
सोलापूर-987164"
"कुमारी आकांक्षा कोल्हे","4 जगताप
परभणी 064456"
"अनिल गवळीजी","2/5 शिरसाट
यवतमाळ-318190"
"कुमारी लता देशपांडे","1/9 गायकवाड
औरंगाबाद 916370"
"तन्वी साळुंखे","30/7571 चेतना देशमुख
सोलापूर-843922"
"अमित जाधव","2/4 ओक
यवतमाळ 842836"
"उमा माने","3/6 पाटील
हिंगोली 089403"
"मोहन ठाकूर","1176 अहेर
ठाणे 636216"
"कुमारी दीपाली राऊत","38/91 फडके
अमरावती-299589"
"श्री गौरी कुलकर्णी","53/708 प्रशांत मोरे
अहमदनगर 753842"
"कल्पना चव्हाणजी","40/404 ज्योती सावंत
लातूर-590984"
"श्री निखिल कांबळे","47/29 माने
नांदेड-152010"
"अनिल चौगुलेजी","50 रेणुका आगरकर
औरंगाबाद 461172"
"अनिरुद्ध शिरसाटजी","5 अभिजीत पवार
अमरावती 284995"
"कुमारी ज्योती कुलकर्णी","05/3478 आकांक्षा फडके
पुणे 718586"
"श्री ईश्वर शिरसाट","1 राऊत
जळगाव 208173"
"कुमारी प्रशांत गायकवाड","47/042 वैशाली शिरसाट
अकोला 645816"
"श्रीमती प्रशांत कदम","04/28 स्नेहा फडके
चंद्रपूर 051454"
"कुमारी अनिता माने","337 अनिता कोल्हे
पुणे-912881"
"श्री दीपक देशमुख","041 पंकज चौगुले
हिंगोली 602321"
"श्रीमती राहुल देशमुख","85/8523 साळुंखे
मिरज-864406"
"श्रीमती शिल्पा माने","9 देशपांडे
नाशिक 741628"
"अनिल जाधव","53 अभिजीत देशमुख
कोल्हापूर-479802"
"निलेश ठाकूरजी","2 नेहा आगरकर
नाशिक-566144"
"प्रकाश राऊतजी","81/2472 वैशाली आगरकर
रत्नागिरी-563748"
"दीपाली कोल्हेजी","2548 चौगुले
औरंगाबाद-879223"
"श्रीमती रेणुका कदम","2/2 जितेंद्र ठाकूर
जळगाव 399705"
"सचिन राऊत","48/09 श्रुती गायकवाड
मिरज-053614"
"ज्योती ओकजी","30/1919 निखिल जगताप
अमरावती-383492"
"ज्योती कुलकर्णी","725 अरुण जगताप
धुळे-941498"
"प्रवीण गवळीजी","141 पवार
लातूर-638421"
