"अंजली अहेरजी","6/9 अनिल आगरकर
अमरावती-978757"
"अनिरुद्ध चव्हाणजी","6 इशिता पवार
वसई 806426"
"श्री प्रकाश देशपांडे","45/695 प्रकाश साने
ठाणे-029243"
"अमित जगतापजी","00/27 समीर गायकवाड
ठाणे-524811"
"श्रीमती कोमल साळुंखे","4 आगरकर
सांगली-384947"
"निलेश भोसले","13/534 गवळी
औरंगाबाद 395404"
"प्रकाश सानेजी","2886 प्रकाश ठाकूर
पुणे 329395"
"श्री रीमा जगताप","74/099 रोहित भोसले
सांगली-746624"
"अनिल शिरसाटजी","73 शिरसाट
पिंपरी-चिंचवड 698600"
"स्वाती देशपांडे","30/012 चेतना कांबळे
धुळे 029964"
"हर्षद पाटील","04/714 आकांक्षा चौगुले
परभणी-573577"
"अनिरुद्ध जगताप","47 कदम
नाशिक-960473"
"कुमारी आकाश जाधव","2405 जगताप
पिंपरी-चिंचवड-215936"
"सुरेश मानेजी","6220 सावंत
धुळे 708631"
"हर्षद जाधवजी","8 आकांक्षा देशपांडे
धुळे-405743"
"विवेक कांबळे","4/2 अभिजीत सावंत
गोंदिया 174086"
"गणेश गवळीजी","47/566 अहेर
यवतमाळ 670669"
"संदीप देशपांडेजी","91/8534 अंजली जगताप
मिरज 617074"
"श्री प्रकाश कदम","6/1 मेघा गवळी
अकोला 302869"
"गणेश चव्हाण","74 आकांक्षा अहेर
औरंगाबाद-988479"
"जितेंद्र कदम","21/9275 पवार
जळगाव 644929"
"अनिरुद्ध जाधवजी","5936 कांबळे
मिरज 448666"
"श्रीमती संदीप शिंदे","2322 जगताप
अहमदनगर-801392"
"दीपाली आगरकर","091 अशोक राऊत
यवतमाळ 680707"
"दीपाली कदमजी","32/7407 अहेर
सांगली 873069"
"अपर्णा जोशी","14/002 कुलकर्णी
धुळे-471015"
"अनिल देशपांडेजी","896 गौरव महाजन
मुंबई-944540"
"चेतन कांबळेजी","72 जाधव
नवी मुंबई 971024"
"कुमारी इशिता चव्हाण","16/851 शिंदे
चंद्रपूर-563822"
"श्रीमती सुरेश ठाकूर","0 कल्पना देशपांडे
हिंगोली 922249"
"माधुरी साने","24/974 माधव कदम
उस्मानाबाद-239558"
"अनिरुद्ध जोशीजी","89/48 गौरव कांबळे
अमरावती 808186"
"वैशाली गवळीजी","693 कविता शिरसाट
सातारा-569804"
"अमित जोशी","46/72 प्रवीण फडके
नवी मुंबई 028078"
