"अंजली आगरकर"|"7225 जाधव
नांदेड-416315"
"अनुष्का चौगुलेजी"|"405 कीर्ती जोशी
औरंगाबाद 226732"
"किरण आगरकर"|"5 हर्षदा कुलकर्णी
मिरज-648503"
"ज्योती ठाकूरजी"|"0 चौगुले
सोलापूर-467996"
"श्रीमती मंगेश ओक"|"24/1850 कदम
नवी मुंबई-812118"
"प्रिया जाधव"|"5064 भोसले
चंद्रपूर-222286"
"भूषण जगतापजी"|"57/639 चव्हाण
नागपूर 455562"
"कुमारी माधव चौगुले"|"73/12 राऊत
सांगली 720590"
"श्री गौरी चव्हाण"|"311 आगरकर
पिंपरी-चिंचवड-334047"
"अंजली ठाकूरजी"|"42/3865 गायकवाड
पिंपरी-चिंचवड 308162"
"कुमारी माधव ठाकूर"|"05/4167 अशोक गवळी
नाशिक-919880"
"कुमारी उमेश शिंदे"|"4 उमा मोरे
नांदेड 708535"
"चेतना ओक"|"05/635 रोहिणी आगरकर
उस्मानाबाद 390420"
"गणेश चव्हाण"|"995 मिलिंद देशमुख
सोलापूर 315866"
"अनिरुद्ध सानेजी"|"4 शिरसाट
परभणी 898190"
"कुमारी चेतना देशपांडे"|"1/3 आगरकर
अमरावती-703435"
"धनंजय मोरेजी"|"9/8 महाजन
धुळे 019109"
"श्री अभिजीत मोरे"|"7 मिलिंद ठाकूर
लातूर-433201"
"मीनल शिरसाटजी"|"3356 जितेंद्र राऊत
सोलापूर-648007"
"अंजली पाटील"|"30/798 अनुष्का कोल्हे
ठाणे-302321"
"चेतना साळुंखे"|"680 अनिल जोशी
मिरज-666331"
"प्रवीण साळुंखेजी"|"616 माधुरी ओक
रत्नागिरी 942075"
"अशोक मोरे"|"73/93 आकांक्षा जाधव
हिंगोली-071896"
"मकरंद सानेजी"|"96/0200 गणेश आगरकर
धुळे 292408"
"कविता फडके"|"7/1 जाधव
पिंपरी-चिंचवड-698194"
"विकास जगतापजी"|"8/8 कांबळे
सांगली-178840"
"श्री ज्योती आगरकर"|"2023 अनिरुद्ध कोल्हे
वसई-775587"
"प्रवीण देशपांडेजी"|"40/87 ओक
अमरावती 323708"
"वैशाली देशपांडे"|"16 राऊत
नवी मुंबई 219162"
"अंजली पाटीलजी"|"26/3724 आशा फडके
परभणी-908443"
"श्रीमती इशिता साळुंखे"|"7 अहेर
सांगली-590835"
"अशोक गवळी"|"82/364 शिल्पा जगताप
नवी मुंबई 579412"
"अमित शिरसाटजी"|"060 इशिता देशमुख
मिरज 802515"
"अंजली फडकेजी"|"19/991 स्नेहा ठाकूर
नाशिक-718273"
"संदीप कुलकर्णीजी"|"54/16 आगरकर
अमरावती-014120"
"श्री मीनल जाधव"|"20/0734 गौरी गवळी
हिंगोली 580232"
"ज्योती कुलकर्णी"|"49/75 कोल्हे
नांदेड-001071"
"श्रीमती मोहन भोसले"|"4/9 पाटील
लातूर 322589"
"रोहित फडकेजी"|"10 चौगुले
जळगाव-443072"
"अंजली भोसलेजी"|"5 माधव जगताप
मुंबई-811012"
"मंगेश मोरेजी"|"9527 रीमा ओक
धुळे-775172"
"मोहन कदम"|"7/5 चेतन कांबळे
धुळे 947809"
"श्री निखिल राऊत"|"10/812 भोसले
नवी मुंबई 026665"
"श्री उमा भोसले"|"53/150 अहेर
सातारा-979740"
"श्री पल्लवी कुलकर्णी"|"6 धनंजय पाटील
यवतमाळ-501173"
"प्रवीण कांबळे"|"42 अमोल राऊत
रत्नागिरी-820951"
"वैशाली कुलकर्णीजी"|"1368 जोशी
यवतमाळ 297771"
"श्रीमती वैशाली माने"|"378 देशमुख
बीड-197542"
"पूजा मानेजी"|"181 चव्हाण
रत्नागिरी 737937"
"अंजली भोसलेजी"|"58/03 दत्तात्रेय पाटील
परभणी-284954"
"कुमारी पंकज ठाकूर"|"4460 ठाकूर
नाशिक-339852"
"नेहा आगरकर"|"39/155 जाधव
परभणी-831340"
"श्री सचिन कदम"|"04/24 पूजा कुलकर्णी
अकोला 392874"
"माधुरी सावंतजी"|"76/766 जोशी
बीड 969562"
"कुमारी अनिता शिरसाट"|"6/8 श्रुती कोल्हे
सांगली 560945"
"कुमारी सुनील अहेर"|"6977 भोसले
ठाणे 036229"
"कुमारी अपर्णा पवार"|"17 कैलास देशमुख
मुंबई 708796"
"अभिजीत अहेरजी"|"76/9186 हर्षद ओक
नांदेड-548699"
"अमित मानेजी"|"32 हर्षद सावंत
सांगली-070088"
"अंजली महाजनजी"|"71 रीमा अहेर
अहमदनगर 280542"
"आदित्य माने"|"16/9484 साने
परभणी-960670"
"विकास पाटीलजी"|"3 अनुष्का कदम
सातारा-705657"
"श्रीमती गणेश गायकवाड"|"93/54 शिरसाट
यवतमाळ 715941"
"कुमारी सचिन देशमुख"|"48/30 महाजन
सोलापूर-167108"
"पल्लवी जाधवजी"|"07 कल्पना महाजन
नवी मुंबई 042923"
"चेतन आगरकर"|"0 अपर्णा कदम
बीड-930881"
"कुमारी मोहन महाजन"|"3/5 प्रवीण माने
औरंगाबाद 806705"
"समीर शिंदे"|"6 आशा कुलकर्णी
नवी मुंबई 945151"
"उमा गवळीजी"|"93 ओक
हिंगोली-753264"
"अंजली मोरेजी"|"04/96 गवळी
हिंगोली 698956"
"कुमारी अमोल राऊत"|"1/0 प्रशांत फडके
सांगली 997269"
"श्री शिल्पा चौगुले"|"74/15 साळुंखे
अमरावती 121233"
"श्री रीमा कोल्हे"|"03/76 कल्पना भोसले
उस्मानाबाद-947864"
"श्री रेणुका देशपांडे"|"48/0860 ठाकूर
चंद्रपूर 700022"
"पंकज कुलकर्णीजी"|"14/7941 अशोक कुलकर्णी
उस्मानाबाद 408210"
"कुमारी किरण आगरकर"|"91/360 अनिरुद्ध जाधव
अमरावती-283791"
"पंकज चव्हाणजी"|"27 ठाकूर
परभणी-226293"
"स्मिता साळुंखेजी"|"4 गणेश साळुंखे
पिंपरी-चिंचवड 257142"
"श्रीमती ईश्वर कुलकर्णी"|"8/1 जगताप
सातारा-182418"
"अंजली शिरसाटजी"|"177 गौरव माने
औरंगाबाद-445383"
"तन्वी चव्हाण"|"82/488 तन्वी भोसले
सांगली-757194"
"संदीप आगरकर"|"4209 शिंदे
ठाणे 571411"
"रीमा फडकेजी"|"70/6391 अहेर
चंद्रपूर 526775"
"श्रीमती प्रवीण कुलकर्णी"|"94/28 प्रिया कांबळे
उस्मानाबाद 180087"
"कोमल ठाकूर"|"11/1652 शिरसाट
बीड 409898"
"कुमारी अनिता पवार"|"18/6446 ओक
औरंगाबाद-286331"
"प्रवीण गवळी"|"16 अमोल भोसले
बीड 016825"
"श्रीमती दत्तात्रेय जोशी"|"80 पंकज गायकवाड
नागपूर-499564"
"श्रीमती हर्षदा कदम"|"71/7583 ओक
नाशिक 405043"
"अंजली शिरसाटजी"|"9/3 उमेश साने
जळगाव 990294"
"मेघा ओकजी"|"97/055 भूषण गायकवाड
अहमदनगर 481029"
"अमोल शिरसाट"|"61/3613 सुरेश ठाकूर
उस्मानाबाद 466541"
"वैशाली देशपांडेजी"|"51/1571 शिंदे
हिंगोली-214166"
"कुमारी माधव फडके"|"093 उमेश माने
परभणी-532038"
"वैशाली शिंदेजी"|"7289 देशपांडे
नवी मुंबई 355180"
"शिल्पा फडकेजी"|"779 चेतन जोशी
जळगाव-743043"
"पंकज ठाकूर"|"93 निलेश फडके
हिंगोली 133223"
"स्मिता मोरेजी"|"24/993 कदम
सोलापूर 828872"
"कल्पना ओकजी"|"619 महाजन
अमरावती-966770"
"अंजली साने"|"578 कदम
नवी मुंबई-609047"
"कीर्ती गवळीजी"|"77/8703 अमोल चव्हाण
नागपूर-549518"
"मंगेश गायकवाड"|"85/502 जोशी
कोल्हापूर-575655"
"कुमारी प्रिया कदम"|"9/2 तन्वी माने
मुंबई 405740"
"शिल्पा देशपांडेजी"|"45/7154 समीर जगताप
अमरावती-822576"
"आकांक्षा ओकजी"|"087 जोशी
अहमदनगर-915813"
"माधुरी अहेर"|"8 माधुरी कोल्हे
नागपूर 043798"
"श्रीमती धनंजय कदम"|"46 कोल्हे
सांगली 941745"
"श्री अनिल राऊत"|"07 देशमुख
धुळे-743104"
"अपर्णा शिंदे"|"10/051 गौरव राऊत
कोल्हापूर 013518"
"अंजली साळुंखेजी"|"8 गवळी
ठाणे 570206"
"किरण देशमुख"|"98/44 शिरसाट
चंद्रपूर-994789"
"प्रशांत राऊत"|"44/226 सावंत
सोलापूर 790063"
"प्रिया अहेरजी"|"32 सावंत
औरंगाबाद 510238"
"कुमारी मिलिंद गवळी"|"2/6 कीर्ती गायकवाड
चंद्रपूर-791639"
"किरण राऊत"|"68 अनिरुद्ध पाटील
रत्नागिरी-370126"
"विकास शिंदे"|"9078 जोशी
मिरज-275294"
"श्रीमती आकाश शिरसाट"|"06/199 समीर देशमुख
हिंगोली-253992"
"हर्षद साळुंखेजी"|"7/6 देशपांडे
नाशिक 192734"
"श्री सुनील सावंत"|"3/1 आकांक्षा मोरे
सातारा 782611"
"अनिता कांबळे"|"4/0 अमित गायकवाड
सोलापूर 075482"
"भूषण ठाकूरजी"|"632 विवेक कांबळे
चंद्रपूर-601973"
"कैलास माने"|"76 प्रज्ञा सावंत
कोल्हापूर-558004"
"स्वाती पवार"|"6 अनिरुद्ध फडके
अकोला-393195"
"दीपक आगरकर"|"0048 अपर्णा कुलकर्णी
बीड-742532"
"मिलिंद चौगुलेजी"|"2 जोशी
रत्नागिरी 603735"
"पल्लवी जोशी"|"7380 गणेश राऊत
यवतमाळ-587427"
"श्रीमती चेतन गवळी"|"844 निखिल कुलकर्णी
सातारा 592672"
"आकाश आगरकर"|"2/5 पवार
वसई-918862"
"श्री प्रशांत पाटील"|"10/7552 धनंजय जोशी
मुंबई 498784"
"अनिता कांबळेजी"|"4875 अंजली आगरकर
अमरावती 446657"
"श्रुती सावंतजी"|"3 गौरव कदम
चंद्रपूर 662688"
"कुमारी पंकज साळुंखे"|"4 गायकवाड
नवी मुंबई 879121"
"अरुण जोशीजी"|"21/6605 मिलिंद राऊत
नांदेड-320612"
"जितेंद्र देशपांडे"|"30/984 साळुंखे
कोल्हापूर 187506"
"अंजली शिंदे"|"2/5 कांबळे
हिंगोली 236103"
"शिल्पा महाजन"|"25/8540 पवार
अहमदनगर 517033"
"श्रीमती अपर्णा पवार"|"4 कोल्हे
नागपूर-449836"
"हर्षदा पवार"|"76/20 पवार
अकोला 166798"
"कुमारी गणेश सावंत"|"2/0 गौरव देशपांडे
नवी मुंबई-625358"
"अनिता कुलकर्णी"|"76/2245 प्रवीण कोल्हे
अहमदनगर 319348"
"स्मिता कदमजी"|"8 भूषण जोशी
नागपूर-069042"
"श्रीमती प्रिया चौगुले"|"8 अभिषेक कदम
रत्नागिरी 699958"
"माधव माने"|"357 देशमुख
हिंगोली-132520"
"श्रीमती माधुरी फडके"|"29 ठाकूर
मिरज-790598"
"श्री मकरंद जगताप"|"5646 अनिता भोसले
हिंगोली-709684"
"श्रीमती अनिरुद्ध शिंदे"|"2 मोरे
नवी मुंबई-814906"
"रोहिणी कांबळेजी"|"90/2190 साने
लातूर-223006"
"प्रिया फडकेजी"|"7/5 ज्योती जोशी
नवी मुंबई 794131"
"अशोक साळुंखे"|"763 प्रिया कांबळे
कोल्हापूर-129205"
"अनिता कुलकर्णी"|"77 अनिरुद्ध अहेर
नागपूर 667799"
"निलेश चौगुले"|"4740 प्रकाश जाधव
सांगली-283534"
"गणेश ठाकूर"|"12/097 पूजा शिंदे
पिंपरी-चिंचवड-908201"
"विवेक ठाकूरजी"|"76/026 अनुष्का ओक
औरंगाबाद-627619"
"अभिजीत महाजनजी"|"9/1 आगरकर
पुणे-290964"
"श्री स्वाती ओक"|"47/38 कोमल साळुंखे
जळगाव 436914"
"दीपाली कुलकर्णी"|"86 पवार
अमरावती 940508"
"आकाश राऊतजी"|"9 किरण चव्हाण
मुंबई 329085"
"स्मिता आगरकरजी"|"0244 पवार
चंद्रपूर 888538"
"कुमारी प्रिया भोसले"|"2/2 अनिल कदम
पिंपरी-चिंचवड-269414"
"अनिता कोल्हे"|"14/425 गायकवाड
औरंगाबाद 304576"
"कुमारी धनंजय देशमुख"|"0083 फडके
मिरज-923261"
"मेघा अहेर"|"125 अनिरुद्ध देशमुख
औरंगाबाद 491418"
"रोहित गायकवाड"|"74 चेतन महाजन
लातूर 032579"
"श्रीमती रीमा राऊत"|"6/7 जाधव
हिंगोली-781034"
"समीर महाजन"|"84/11 शिंदे
कोल्हापूर-020168"
"रेणुका गायकवाड"|"900 विनायक भोसले
मिरज-134242"
"कुमारी रेणुका कोल्हे"|"3 भोसले
मुंबई-951005"
"कुमारी कोमल कुलकर्णी"|"4/0 गायकवाड
अमरावती-697808"
"कुमारी मंगेश महाजन"|"4/2 दत्तात्रेय मोरे
लातूर 691008"
"अनिता चव्हाण"|"002 समीर चौगुले
हिंगोली-208602"
"सचिन पवार"|"61 राहुल भोसले
सोलापूर-847554"
"अमोल फडकेजी"|"1 अमोल शिरसाट
यवतमाळ 421318"
"धनंजय फडके"|"114 कदम
यवतमाळ-992759"
"कुमारी पंकज शिरसाट"|"5981 आकाश देशपांडे
मिरज 147838"
"अभिषेक अहेरजी"|"4/0 कदम
उस्मानाबाद-859418"
"ईश्वर आगरकर"|"73/85 देशपांडे
औरंगाबाद-216816"
"श्री समीर चौगुले"|"57 ओक
अमरावती 930146"
"मानसी चौगुलेजी"|"551 साने
गोंदिया 637130"
"आशा ओकजी"|"40/9185 स्मिता शिंदे
चंद्रपूर 466677"
"अनिता ठाकूर"|"7772 अहेर
अमरावती 382357"
"कुमारी कैलास चव्हाण"|"2/0 राहुल कांबळे
मिरज-084894"
"वैशाली भोसले"|"977 प्रवीण देशपांडे
नागपूर-741697"
"प्रशांत कोल्हेजी"|"75/9676 राऊत
वसई-471669"
"श्री मिलिंद गायकवाड"|"9/9 देशपांडे
कोल्हापूर 468643"
"संदीप देशपांडे"|"2 मोरे
सोलापूर-153165"
"उमेश शिरसाट"|"328 गायकवाड
जळगाव 537077"
"माधुरी सावंतजी"|"834 कोमल मोरे
अमरावती 036818"
"कुमारी कैलास देशमुख"|"0098 चेतन देशपांडे
पिंपरी-चिंचवड-567611"
"कल्पना गवळी"|"5 अहेर
गोंदिया 713585"
"अनिता देशपांडे"|"785 अंजली जोशी
सातारा 581250"
"श्रीमती अपर्णा ओक"|"0 महाजन
अहमदनगर-622256"
"कुमारी ईश्वर गवळी"|"44 चेतन कुलकर्णी
कोल्हापूर 139091"
"श्रुती ठाकूरजी"|"75/192 जाधव
मिरज 541325"
"कुमारी अरुण चौगुले"|"4311 आगरकर
पुणे-157639"
"सुरेश चव्हाणजी"|"72/542 वैशाली शिंदे
जळगाव 717063"
"अनिरुद्ध देशमुख"|"30 मोरे
नाशिक-969209"
"कुमारी रीमा कदम"|"32/9818 कविता माने
मिरज 989448"
"अनिल कदमजी"|"57/081 गवळी
रत्नागिरी-769872"
"अंजली साळुंखेजी"|"37 चौगुले
अकोला 077902"
"अनिता देशपांडे"|"854 पाटील
जळगाव 860787"
"श्री मानसी सावंत"|"33/6356 मिलिंद देशमुख
अकोला 257165"
"संदीप ओकजी"|"2810 महाजन
नांदेड 334754"
"श्री आदित्य कदम"|"15/2175 कोल्हे
मिरज-340444"
"किरण महाजनजी"|"79 अभिजीत अहेर
अहमदनगर-333028"
"स्नेहा चौगुलेजी"|"12/519 रोहिणी चौगुले
कोल्हापूर 865992"
"निलेश जगतापजी"|"53/676 कदम
अकोला 016620"
"श्रुती मोरेजी"|"70 माने
रत्नागिरी-294897"
"कोमल सावंतजी"|"02 गौरव अहेर
सांगली-184960"
"माधव कुलकर्णीजी"|"03 गवळी
नांदेड-820251"
"अनिता देशपांडेजी"|"971 पूजा देशमुख
हिंगोली 903072"
"श्री चेतना कोल्हे"|"71/115 ओक
गोंदिया 800495"
"कुमारी आकाश चव्हाण"|"3765 उमेश देशमुख
बीड 542895"
"तन्वी जोशी"|"0 स्मिता जाधव
लातूर 512254"
"आकांक्षा चौगुलेजी"|"0 चव्हाण
सोलापूर-909406"
"कुमारी विनायक जोशी"|"38/17 मंगेश जाधव
चंद्रपूर 909500"
"श्रीमती समीर शिंदे"|"32 शिंदे
नाशिक-375404"
"अमोल देशपांडेजी"|"41/33 शिंदे
ठाणे-641194"
"प्रज्ञा महाजन"|"6/2 कोल्हे
हिंगोली-294693"
"अनिरुद्ध पवार"|"0083 चव्हाण
धुळे-923122"
"अनिता पाटीलजी"|"7/8 ठाकूर
चंद्रपूर 417268"
"विनायक आगरकर"|"74 पंकज गवळी
मुंबई-164459"
"मेघा माने"|"95/5350 चव्हाण
अहमदनगर-648059"
"धनंजय गवळी"|"373 रोहिणी आगरकर
सातारा 259812"
"कविता महाजन"|"23/876 माधुरी शिंदे
नांदेड-727960"
"श्रीमती हर्षद देशपांडे"|"2309 सचिन चौगुले
नवी मुंबई 344261"
"श्रीमती उमा चव्हाण"|"26/621 माने
कोल्हापूर 823093"
"श्री दीपक गवळी"|"4298 फडके
मिरज-181913"
"स्नेहा चव्हाण"|"9230 साळुंखे
पिंपरी-चिंचवड-420096"
"आशा कांबळे"|"08/56 प्रवीण ठाकूर
औरंगाबाद 254787"
"अनिता भोसले"|"20 अरुण शिरसाट
मुंबई 241689"
"कुमारी माधव जगताप"|"278 दीपक कांबळे
उस्मानाबाद-507450"
"श्री स्वाती जाधव"|"70/06 गायकवाड
अकोला-732721"
"गौरी चव्हाणजी"|"1 ठाकूर
रत्नागिरी 806826"
"आकाश मोरेजी"|"67/11 कोमल देशपांडे
बीड-484654"
"नेहा शिरसाटजी"|"8580 पाटील
गोंदिया 992176"
"मानसी पवार"|"203 मोहन जाधव
हिंगोली 517131"
"आदित्य जोशीजी"|"53/48 सावंत
हिंगोली 259215"
"तन्वी सावंत"|"49 राऊत
सांगली 761862"
"उमा फडके"|"94/3004 दत्तात्रेय राऊत
उस्मानाबाद 298142"
"अनिता महाजन"|"84/7256 शिरसाट
ठाणे-935745"
"पूजा देशमुखजी"|"79/1477 स्नेहा भोसले
अहमदनगर-844057"
"कुमारी ज्योती अहेर"|"76 हर्षद कोल्हे
सांगली-151362"
"कोमल चौगुलेजी"|"8 कदम
अहमदनगर 164305"
"गणेश चौगुले"|"575 कैलास पाटील
सोलापूर-859414"
"श्रीमती आकांक्षा जाधव"|"62/421 ओक
नाशिक-136862"
"अशोक साळुंखेजी"|"07 फडके
पुणे 428435"
"गौरव कांबळे"|"71 गौरव जाधव
परभणी 314350"
"श्री माधव देशमुख"|"95/0079 चौगुले
वसई 355672"
"कल्पना ठाकूर"|"25/082 कोमल शिरसाट
रत्नागिरी-466779"
"अनिता महाजनजी"|"72/748 हर्षद कदम
मुंबई-011479"
"अशोक राऊतजी"|"3 प्रिया शिरसाट
अकोला 376621"
"श्रीमती माधुरी अहेर"|"97 देशमुख
धुळे-709350"
"अमित गायकवाड"|"4108 जगताप
नागपूर 682274"
"श्रीमती अभिषेक चौगुले"|"66 जितेंद्र शिरसाट
सातारा 562036"
"कुमारी कल्पना पाटील"|"54/88 भोसले
उस्मानाबाद-667945"
"तन्वी ठाकूर"|"89/63 इशिता देशमुख
नांदेड 307231"
"मोहन चव्हाण"|"436 माधव राऊत
पिंपरी-चिंचवड 225646"
"माधव मानेजी"|"57 मकरंद जोशी
पिंपरी-चिंचवड-546580"
"अंजली अहेर"|"76/4082 मेघा कुलकर्णी
उस्मानाबाद-559850"
"अनिता माने"|"6/3 देशमुख
सातारा 825543"
"शिल्पा साळुंखेजी"|"86 दीपाली साळुंखे
गोंदिया-929342"
"स्वाती भोसले"|"4 रोहित राऊत
ठाणे 429590"
"मकरंद कांबळे"|"55 दीपक कोल्हे
नांदेड-758612"
"संदीप कदमजी"|"0 ओक
चंद्रपूर 671671"
"सुनील गवळीजी"|"20/402 ज्योती चव्हाण
ठाणे-244318"
"आशा महाजनजी"|"22/812 स्मिता कदम
मिरज 402593"
"शिल्पा कोल्हे"|"344 ओक
सातारा 855610"
"श्री मंगेश गायकवाड"|"56 अपर्णा जगताप
परभणी-222050"
"अपर्णा कदमजी"|"177 आकांक्षा माने
वसई-294856"
"अनिता मोरे"|"562 हर्षद कदम
बीड 576042"
"मेघा शिंदेजी"|"849 मोरे
उस्मानाबाद-067817"
"कविता गवळी"|"1 पल्लवी शिरसाट
रत्नागिरी 249984"
"श्री दीपक गवळी"|"56/2115 साळुंखे
बीड 567477"
"दीपक मानेजी"|"99/3770 दत्तात्रेय शिंदे
चंद्रपूर 221392"
"हर्षदा कांबळेजी"|"25/89 रोहित मोरे
नांदेड-079565"
"मकरंद फडकेजी"|"62 मोरे
नाशिक-014117"
"आकांक्षा भोसलेजी"|"0/5 अमोल जोशी
पुणे-963810"
"लता भोसले"|"01 कुलकर्णी
अकोला 930746"
"अनुष्का गवळीजी"|"35/50 शिरसाट
अहमदनगर 819144"
"अनिता मोरे"|"57/8076 स्नेहा गायकवाड
धुळे 869361"
"अनुष्का भोसले"|"9 गायकवाड
यवतमाळ 142402"
"रोहिणी माने"|"738 जोशी
सातारा 611301"
"ईश्वर ओकजी"|"95/8684 जगताप
चंद्रपूर-123971"
"जितेंद्र जगतापजी"|"0/2 पल्लवी मोरे
अहमदनगर-916240"
"स्मिता गायकवाड"|"00/088 दीपाली पाटील
सांगली 694082"
"श्री अनिल गवळी"|"31/47 समीर महाजन
जळगाव-199343"
"आकाश सावंतजी"|"8/8 अनिता सावंत
पिंपरी-चिंचवड-533257"
"श्रीमती अनिता चौगुले"|"517 देशमुख
कोल्हापूर-006867"
"आकाश साने"|"92 चौगुले
कोल्हापूर 522340"
"अनिता साने"|"239 जगताप
नांदेड 351578"
"कुमारी रीमा साने"|"72/2751 दत्तात्रेय ओक
सातारा 481149"
"विकास भोसले"|"37/417 गौरव गायकवाड
नवी मुंबई 522553"
"स्मिता फडकेजी"|"0/3 ठाकूर
नवी मुंबई 702946"
"शिल्पा ओक"|"91/907 ओक
धुळे-024933"
"कविता राऊतजी"|"4/5 रोहित साळुंखे
चंद्रपूर 225860"
"श्रीमती मीनल ठाकूर"|"51/655 अमित गायकवाड
लातूर 495750"
"श्रीमती प्रकाश माने"|"23/416 देशपांडे
हिंगोली 049556"
"लता कांबळे"|"89/865 पाटील
हिंगोली 278221"
"उमेश ओकजी"|"5801 कविता चौगुले
गोंदिया 226437"
"अनिरुद्ध आगरकर"|"979 अंजली सावंत
रत्नागिरी 528537"
"अंजली भोसलेजी"|"9/7 कैलास कांबळे
कोल्हापूर 157975"
"श्री मकरंद साळुंखे"|"4968 कल्पना जाधव
परभणी-002146"
"आदित्य चौगुले"|"79/798 आदित्य कुलकर्णी
नाशिक-687948"
"रोहित पवारजी"|"22/2232 हर्षद कदम
नांदेड-989330"
"कुमारी अमोल जगताप"|"18/0032 अभिषेक पाटील
बीड-495197"
"सुरेश मोरे"|"45/297 महाजन
वसई 145271"
"तन्वी कुलकर्णी"|"3/1 चेतन अहेर
अहमदनगर-451803"
"कीर्ती मोरेजी"|"7 अहेर
नवी मुंबई-664857"
"कुमारी विकास जाधव"|"4965 राहुल शिरसाट
औरंगाबाद 356092"
"अनिरुद्ध कदमजी"|"535 दत्तात्रेय कुलकर्णी
वसई 776359"
"श्री पल्लवी फडके"|"3436 ठाकूर
मिरज-223104"
"चेतना महाजनजी"|"47/9113 ठाकूर
सोलापूर-730639"
"ईश्वर जगताप"|"6384 पूजा ठाकूर
रत्नागिरी-374070"
"चेतना राऊतजी"|"30/2781 स्नेहा कोल्हे
सोलापूर-793154"
"अनिरुद्ध फडके"|"0178 अहेर
अकोला 750804"
"माधव शिरसाटजी"|"2796 चेतन जोशी
मिरज 823283"
"श्री दत्तात्रेय अहेर"|"04 अपर्णा पाटील
मिरज 326221"
"श्री मेघा कोल्हे"|"7/1 अरुण जगताप
चंद्रपूर 767832"
"रेणुका जोशीजी"|"71 मोरे
सातारा-086954"
"अनिरुद्ध कदमजी"|"7327 मकरंद अहेर
लातूर 114260"
