"ავთანდილ აბდულაევი"|"აკურის ქ. 12, ყვარელი"
"რიმა ბერიაშვილი"|"ახვლედიანის ქ. 15, ამბროლაური"
"იოსებ ღურწკაია"|"ბეჟანიშვილი ეკას ქ. 01, აბაშა"
"არმენ ხვიჩია"|"ახუნდოვის ქ. 44, საგარეჯო"
"ამირან სულაბერიძე"|"აკურის ქ. 17, კასპი"
"ნატალია მაჭავარიანი"|"კუპრაძის ქ. 45, დმანისი"
"ნესტან კახაძე"|"გედევანიშვილის ქ. 36, აბაშა"
"ავთანდილ მინდიაშვილი"|"ზაზიშვილი გიგოს ქ. 53, გალი"
"მიხეილ ბრეგვაძე"|"ზინდისის ქ. 05, ოჩამჩირე"
"ლევან კაკულია"|"წულაძის ქ. 51, გალი"
"ნათია კობახიძე"|"გოგაშენის ქ. 88, ფოთი"
"ვახტანგ გორგილაძე"|"ნინიძის ქ. 31, დედოფლისწყარო"
"ვეფხვია ჟორჟოლიანი"|"ფილიას ქ. 43, მარტვილი"
"ლუიზა დიასამიძე"|"ცაიშის ქ. 59, თბილისი"
"ვარდო ხაჩიძე"|"ირგვლივის ქ. 19, ახალი ათონი"
"ლამზირა კინწურაშვილი"|"ჭრელაშვილის ქ. 19, თბილისი"
"რატი ქარდავა"|"რატევანის ქ. 81, აბაშა"
"ავთანდილ ფარცვანია"|"სულხან-საბას ქ. 45, წნორი"
"მზია მელაძე"|"სუმბატაშვილ-იუჟინსკის ქ. 21, ცაგერი"
"იზოლდა ადამია"|"ოძისის ქ. 34, დმანისი"
"გრიგოლ კვანტალიანი"|"იფნის ქ. 74, გალი"
"ოთარ ყიფიანი"|"ვეზიროვის ქ. 35, თეთრიწყარო"
"ემზარ მამულაშვილი"|"მორეტის ქ. 54, წნორი"
"დალი მოდებაძე"|"ჯაბიძის ქ. 60, ქუთაისი"
"ელიზა სანიკიძე"|"კოშკოვანის ქ. 03, ტყიბული"
"მინდია ყიფშიძე"|"ზუგდიდის ქ. 28, თერჯოლა"
"გივი კილაძე"|"კერესელიძე არჩილის ქ. 30, ცხინვალი"
"ავთანდილ ცუცქირიძე"|"ჭაბუკიანი ვახტანგის ქ. 39, ნინოწმინდა"
"ზურაბ ჯანაშია"|"ძოწენიძის ქ. 29, ცხინვალი"
"ომარ მაღლაკელიძე"|"ბადიაურის ქ. 00, ბოლნისი"
"სოფიკო ქარდავა"|"ენგურჰესის ქ. 95, ბათუმი"
"გალინა წერეთელი"|"კაკლიანის ქ. 02, ბორჯომი"
"ალა ჩინჩალაძე"|"ბუხაიძის ქ. 64, სოხუმი"
"სულიკო ონიანი"|"ქვიშხეთის ქ. 50, ჭიათურა"
"გურამ ჯანაშია"|"ცინცაძე კალისტრატეს ქ. 23, საჩხერე"
"მარო მჟავანაძე"|"მაიაკოვსკის ქ. 09, წალენჯიხა"
"რიტა აბრამიშვილი"|"ქუთათელაძის ქ. 28, ცხინვალი"
"ავთანდილ ხოზრევანიძე"|"ძმობის ქ. 53, ლაგოდეხი"
"ჯონი მოდებაძე"|"ქართველიშვილი ლევანის ქ. 42, ზესტაფონი"
"კახაბერ მუშკუდიანი"|"შავი ზღვის ქ. 01, სოხუმი"
"უშანგი ბენდელიანი"|"ბალადინის ქ. 97, ოზურგეთი"
"გელა მესხი"|"კეკელიძე კორნელის ქ. 25, ქუთაისი"
"პაატა მუშკუდიანი"|"ალვანის ქ. 25, ქარელი"
"ვენერა როსტიაშვილი"|"ხაბეიშვილის ქ. 56, საჩხერე"
"ტატიანა ხუციშვილი"|"ასურეთის ქ. 13, წყალტუბო"
"შალვა მეფარიშვილი"|"ჯორბენაძის ქ. 95, ხაშური"
"ლელა ცუცქირიძე"|"ადიგენის ქ. 05, ოზურგეთი"
"აზა გობეჯიშვილი"|"გაფრინდაულის ქ. 57, ნინოწმინდა"
"ვარდო ფარცვანია"|"ტაბიძე ტიციანის ქ. 21, გარდაბანი"
"გვანცა პაპიაშვილი"|"ზვარეთის ქ. 00, ახალი ათონი"
"რატი ბლიაძე"|"სარკინეთის ქ. 55, წალენჯიხა"
"ალა გაგუა"|"რკინიგზის ქ. 35, გალი"
"ნუნუ ფარტენაძე"|"გოძიაშვილის ქ. 15, აბაშა"
"ეკა მამალაძე"|"ჩერნიშევსკის ქ. 21, გარდაბანი"
"ვალენტინა გიორგაძე"|"საგარეჯოს ქ. 39, ბოლნისი"
"მედეა დანელია"|"დარკვეთის ქ. 55, ყვარელი"
"მარგალიტა რობაქიძე"|"წალკის ქ. 17, ახალქალაქი"
"აზა გუჯაბიძე"|"ძოწენიძის ქ. 31, წნორი"
"ლანა ასანიძე"|"აკოფიანის ქ. 65, წყალტუბო"
"ამირან გრიგალაშვილი"|"გალის ქ. 32, გორი"
"მანანა ხვედელიძე"|"ვორონინის ქ. 52, ფოთი"
"ზოია ლომთაძე"|"ავლაბრის ქ. 24, წყალტუბო"
"ემზარ ბოკუჩავა"|"სპანდარიანის ქ. 03, ბაღდათი"
"რიტა მიქავა"|"თოფურიას ქ. 51, ზესტაფონი"
"სონია ვეკუა"|"უბილავას ქ. 98, მარტვილი"
"ზვიად ჩაფიძე"|"ბურძგლას ქ. 61, ყვარელი"
"ლილი მაჭარაშვილი"|"გაბაშვილი ეკატერინეს ქ. 10, ვალე"
"აზა ენუქიძე"|"ბურძგლას ქ. 89, გორი"
"რამაზ არჩვაძე"|"ზედაზნის ქ. 42, მარნეული"
"თეა ყაველაშვილი"|"დიდგორის ქ. 77, ტყიბული"
"პეტრე ბერუაშვილი"|"ხიმშიაშვილის ქ. 39, დუშეთი"
"ზურაბ ცუცქირიძე"|"ჯაბიძის ქ. 02, ზუგდიდი"
"ხატია კაკაურიძე"|"სანკტ-პეტერბურგის ქ. 52, გალი"
"თეიმურაზ ბოლქვაძე"|"უწერის ქ. 84, ახალქალაქი"
"კახაბერ ფარტენაძე"|"მოლითის ქ. 42, ახმეტა"
"მერაბ ძიძიგური"|"სტურუას ქ. 09, ქარელი"
"ნუნუ დარბაიძე"|"ბოტანიკურის ქ. 84, სიღნაღი"
"აზა ზარანდია"|"ხომლელის ქ. 27, ბოლნისი"
"ნოდარ ბიბილაშვილი"|"გორდის ქ. 74, დედოფლისწყარო"
"გოგა მუშკუდიანი"|"იმერეთის ქ. 92, საჩხერე"
"თეიმურაზ ახალაძე"|"პეტრე იბერის ქ. 75, სიღნაღი"
"ბონდო შარიქაძე"|"ლუსიანინის ქ. 60, ჭიათურა"
"ქეთევან გაბრიჭიძე"|"ჯიქიას ქ. 86, ახალი ათონი"
"როლანდ ჭეიშვილი"|"ხომლელის ქ. 53, წალენჯიხა"
"სოსო ჭუმბურიძე"|"გუმათჰესის ქ. 09, ქარელი"
"სულიკო გურეშიძე"|"ჩოხელის ქ. 32, კასპი"
"მარგალიტა კაჭარავა"|"კერესელიძე არჩილის ქ. 70, ამბროლაური"
"აზა იობიძე"|"ცხვედაძის ქ. 01, მარნეული"
"ივანე კაპანაძე"|"რკინის ქ. 04, ზესტაფონი"
"ინგა სარალიძე"|"წინამძღვრიშვილის ქ. 49, ცხინვალი"
"ნაზიკო ვალიევა"|"ბორბალოს ქ. 86, კასპი"
"მიხეილ ცერცვაძე"|"შილდის ქ. 34, გარდაბანი"
"თეონა ხარაზიშვილი"|"სურგულაძის ქ. 31, წალკა"
"ბესარიონ კუპატაძე"|"აგლაძე რაფიელის ქ. 37, სიღნაღი"
"ირაკლი შუკაკიძე"|"კობახიძის ქ. 10, სენაკი"
"ბექა ვალიევი"|"ზოვრეთის ქ. 28, აბაშა"
"დიანა კონცელიძე"|"ჟველაურის ქ. 95, თბილისი"
"აზა კუპრაშვილი"|"გურჯაანის ქ. 48, ბოლნისი"
"მურთაზ კანდელაკი"|"შავგულიძის ქ. 92, ბაღდათი"
"ტარიელ ღვინიაშვილი"|"დადიანი შალვას ქ. 88, ქუთაისი"
"თორნიკე სამხარაძე"|"კანკავას ქ. 03, თერჯოლა"
"დიმიტრი ღვინჯილია"|"ჩეჩელაშვილის ქ. 66, საჩხერე"
"ნადეჯდა ჯავახიშვილი"|"მირზა მეფის ქ. 71, გურჯაანი"
"ალექს ქუთათელაძე"|"ნოვოროსისკის ქ. 70, ჭიათურა"
"მურთაზ ლაგვილავა"|"სავანელის ქ. 81, აბაშა"
"ლენა ონიანი"|"ჟონეთის ქ. 16, თეთრიწყარო"
"ლევან ფანცულაია"|"ხარაგაულის ქ. 67, მცხეთა"
"აზა მოდებაძე"|"თოფურიას ქ. 61, ლაგოდეხი"
"ნარგიზა მახარაძე"|"ბაღნარის ქ. 12, ბაღდათი"
"გიგლა სილაგაძე"|"კარგარეთელის ქ. 66, ქუთაისი"
"დიმიტრი ცირეკიძე"|"კოფცოვის ქ. 14, ახმეტა"
"ეკატერინე ჯავახიშვილი"|"მთისძირის ქ. 06, ტყვარჩელი"
"ოთარ კირვალიძე"|"ნასიძე სულხანის ქ. 71, ნინოწმინდა"
"ვენერა მუსტაფაევი"|"მრევლიშვილის ქ. 31, ჯვარი"
"თორნიკე ფიცხელაური"|"ქინქლაძე ოთარის ქ. 00, ფოთი"
"მურმან გოგალაძე"|"გუმათის ქ. 53, ახმეტა"
"არტურ დვალიშვილი"|"გუნიას ქ. 34, ახმეტა"
"აზა ნაჭყებია"|"ბარნოვის ქ. 96, გურჯაანი"
"ნატალია მოსიაშვილი"|"მარჯანიშვილი კოტეს ქ. 03, სენაკი"
"დიანა ჟვანია"|"ილურიძე კონსტანტინეს ქ. 38, ბათუმი"
"სუსანა ნაცვლიშვილი"|"გორკის ქ. 28, გორი"
"კახაბერ რუხაძე"|"ურბნისის ქ. 57, ზესტაფონი"
"ლიდა ასანიძე"|"მაჭრის ქ. 84, ვალე"
"ოთარ სხირტლაძე"|"ლაითურის ქ. 15, ონი"
"ელზა ბენდელიანი"|"გლინკას ქ. 15, ფოთი"
"ელენა ჯანაშია"|"არგვეთის ქ. 05, ხაშური"
"გოჩა ლობჟანიძე"|"კნოლევის ქ. 32, დმანისი"
"აზა ქაჯაია"|"სულიაშვილის ქ. 73, ოზურგეთი"
"მურთაზ ქობალია"|"მანჯგალაძე ეროსის ქ. 92, წნორი"
"გოდერძი ბერაია"|"გოკიელის ქ. 94, ამბროლაური"
"პავლე მიქაძე"|"ბათუმის ქ. 90, გურჯაანი"
"კობა გოგიაშვილი"|"ლარეხის ქ. 64, ცაგერი"
"რობერტ მელიქიძე"|"ახუნდოვის ქ. 06, სენაკი"
"ბესიკ მჟავანაძე"|"ძეგამის ქ. 09, ბორჯომი"
"სუსანა ბურჯანაძე"|"გორის ქ. 28, ახალქალაქი"
"ნინელი ჩიქოვანი"|"ბედიის ქ. 37, ყვარელი"
"ფატიმა ქართველიშვილი"|"უფლისციხის ქ. 47, სოხუმი"
"აზა ყურაშვილი"|"ილორის ქ. 13, ვალე"
"გიგა ჩხარტიშვილი"|"ბოდავის ქ. 06, ამბროლაური"
"გენადი მუსაევა"|"კოხრეიძის ქ. 75, წალენჯიხა"
"ვასილ ნემსაძე"|"აბაშიძე გრიგოლის ქ. 41, თეთრიწყარო"
"იზა ალანია"|"ბერიძე ვუკოლის ქ. 12, დმანისი"
"ქეთო ჩოხელი"|"უფლისციხის ქ. 07, გარდაბანი"
"მაგდა ასანიძე"|"კოფცოვის ქ. 79, ლაგოდეხი"
"მალხაზ ცუცქირიძე"|"ქავთარაძის ქ. 76, სოხუმი"
"ელიზა მამალაძე"|"ნიორაძის ქ. 94, ბორჯომი"
"ბექა ბექაური"|"გრიბოედოვის ქ. 22, სენაკი"
"აიდა ალანია"|"აწყურის ქ. 13, რუსთავი"
"ვერიკო ჭკადუა"|"ვაზისუბნის ქ. 83, ბაღდათი"
"ვანო ინასარიძე"|"სადმელის ქ. 84, თელავი"
"ანზორ ფიფია"|"დეკაბრისტების ქ. 24, წნორი"
"იური ალანია"|"ჯვარედინის ქ. 92, თეთრიწყარო"
"ციალა კირკიტაძე"|"ცისკრის ქ. 98, ხობი"
"ლიზა გაბუნია"|"მესხიშვილი ალექსის ქ. 42, ქუთაისი"
"ნიკოლოზ ბერუაშვილი"|"ბერიძე ვუკოლის ქ. 83, გურჯაანი"
"ედუარდ გოგოხია"|"ახუთის ქ. 17, ბათუმი"
"ცირა ნებიერიძე"|"ანდღულაძის ქ. 62, ბოლნისი"
"აიდა არჩვაძე"|"გულიას ქ. 28, აბაშა"
"თამარი ცაავა"|"უშაკოვის ქ. 18, ტყიბული"
"ზინა ნებიერიძე"|"აბაკელიას ქ. 94, თელავი"
"მედეა კევლიშვილი"|"მგალობლიშვილის ქ. 86, თელავი"
"რიმა გოგოხია"|"ალმასიანის ქ. 31, ცხინვალი"
"თინა ბარბაქაძე"|"ტიხონოვის ქ. 26, ხონი"
"არმენ ბაქრაძე"|"რატევანის ქ. 28, ლაგოდეხი"
"გოგიტა გოგოლაძე"|"ვორონინის ქ. 64, ვალე"
"ალექს ალიევი"|"მუკუზანის ქ. 42, სამტრედია"
"თინათინ თედორაძე"|"ლორთქიფანიძის ქ. 25, ფოთი"
"აიდა აფციაური"|"ვაკელი იონას ქ. 16, თეთრიწყარო"
"ციალა ნემსაძე"|"გომის ქ. 48, თბილისი"
"ბელა გრძელიშვილი"|"მთისძირის ქ. 77, დუშეთი"
"დავით გიგაური"|"კოჯრის ქ. 98, წნორი"
"კობა მეტრეველი"|"მაჭრის ქ. 48, ქობულეთი"
"ნინელი ავალიანი"|"რატილის ქ. 93, ვანი"
"ომარ როგავა"|"კერესელიძის ქ. 02, თელავი"
"ფიქრია ბალიაშვილი"|"თხინვალის ქ. 70, კასპი"
"მაყვალა კუჭუხიძე"|"უზნაძის ქ. 29, ოზურგეთი"
"იაგო ჭიჭინაძე"|"დეპოს ქ. 48, გარდაბანი"
"აიდა ბერიანიძე"|"კოლმეურნეობის ველის ქ. 43, სიღნაღი"
"იზა ქარჩავა"|"ალიხანიანის ქ. 58, ბაღდათი"
"ბიძინა ელბაქიძე"|"კუმისის ქ. 76, ტყიბული"
"ვიქტორ გოგოხია"|"ჯავახეთის ქ. 06, ტყიბული"
"ელენა მაღრაძე"|"ცაბაძე გიორგის ქ. 90, გურჯაანი"
"თამარ ჯოჯუა"|"მაჭრის ქ. 48, ცხინვალი"
"ბადრი კაკაბაძე"|"მოსტკოვის ქ. 55, ცაგერი"
"თამარა ზარანდია"|"გამრეკელის ქ. 22, გურჯაანი"
"ციური ურუშაძე"|"გომის ქ. 81, საგარეჯო"
"გოგი კოხრეიძე"|"შურდულის ქ. 48, წნორი"
"აიდა გაბედავა"|"წმ. ნიკოლოზის ქ. 01, ტყიბული"
"ხათუნა გოგიძე"|"იეთიმ გურჯის ქ. 22, თელავი"
"ამირან ღვინჯილია"|"ალიხანიანის ქ. 76, წყალტუბო"
"ანი ბეგიაშვილი"|"შატბერაშვილის ქ. 12, ტყიბული"
"გოგი ცუცქირიძე"|"პეტეფი შანდორის ქ. 36, წალენჯიხა"
"სოსო სხირტლაძე"|"მრევლიშვილის ქ. 28, ფოთი"
"პეტრე ბეგიაშვილი"|"საჭილაოს ქ. 36, მარტვილი"
"მირანდა ვარდოსანიძე"|"ანაკლიის ქ. 52, თელავი"
"მთვარისა ჩხეიძე"|"ქობულეთის ქ. 89, ჭიათურა"
"დალი ოთარაშვილი"|"რევოლუცის ქ. 14, წყალტუბო"
"აიდა გაგნიძე"|"ჟინვალის ქ. 79, ქარელი"
"ვაჟა ქევხიშვილი"|"ბოგვის ქ. 16, ამბროლაური"
"ვალენტინა ღონღაძე"|"კალოუბნის ქ. 27, ონი"
"თინათინ დიასამიძე"|"ამაღლების ქ. 37, ნინოწმინდა"
"თორნიკე გაბედავა"|"მიჩურინის ქ. 83, კასპი"
"გიორგი ქანთარია"|"ცაიშის ქ. 09, გურჯაანი"
"პავლე შალამბერიძე"|"პატარიძის ქ. 68, წნორი"
"ვასილ ლორთქიფანიძე"|"სათემოს ქ. 04, თბილისი"
"რამაზ ჯოხაძე"|"ლერწმის ქ. 47, სოხუმი"
"ნადია ნიქაბაძე"|"ცისკრის ქ. 97, დუშეთი"
"აიდა გიგაური"|"წერნაკის ქ. 60, სოხუმი"
"სულიკო სიმონიშვილი"|"ჭიაურელი მიხეილის ქ. 35, ხონი"
"ტარიელ კვაჭაძე"|"ოჟიოს ქ. 40, ტყვარჩელი"
"ჟანა ჩაფიძე"|"მარუხის გმირების ქ. 53, თბილისი"
"რატი ბერიანიძე"|"ურეკის ქ. 91, რუსთავი"
"გიორგი კილაძე"|"ჯავახეთის ქ. 14, წყალტუბო"
"ლამზირა ღამბაშიძე"|"თეძმის ქ. 80, ბოლნისი"
"ლუბა შაინიძე"|"გაბაშვილი ეკატერინეს ქ. 50, ბოლნისი"
"რომან ნებიერიძე"|"ცემის ქ. 23, ახალი ათონი"
"ანნა ნიქაბაძე"|"მარაბდის ქ. 59, ქობულეთი"
"აიდა ლორთქიფანიძე"|"ანდრონიკაშვილის ქ. 65, ვანი"
"ანზორ აბესაძე"|"ინანიშვილი რამაზის ქ. 79, დუშეთი"
"შაქრო ჯანაშია"|"არაგვისპირელი შიოს ქ. 13, ამბროლაური"
"მალხაზ ბუჩუკური"|"ედისის ქ. 50, ხაშური"
"გოგიტა ქამადაძე"|"გუდაუთის ქ. 08, წნორი"
"კობა ასანიძე"|"ხონის ქ. 70, გალი"
"ლალი ფარცვანია"|"მოსიძე ვახტანგის ქ. 50, ონი"
"გუგული ჟორჟოლიანი"|"ანტონოვსკაიას ქ. 09, ახალქალაქი"
"გიგა კვარაცხელია"|"ჯვარედინის ქ. 09, ბოლნისი"
"მაია ლაგვილავა"|"მარუაშვილი გიორგის ქ. 18, მცხეთა"
"აიდა მელქაძე"|"ისნის ქ. 18, თბილისი"
"თამარა გელაშვილი"|"გულუა გიას ქ. 61, გორი"
"პავლე მინდიაშვილი"|"ახალუბნის ქ. 41, თბილისი"
"სონია ხარაიშვილი"|"ცურტაველი იაკობის ქ. 38, ცაგერი"
"ლალი კვაჭაძე"|"წიკლაურის ქ. 69, მარტვილი"
"იზა სილაგაძე"|"თელეთის ქ. 73, ტყიბული"
"ვიქტორ ჯინჭარაძე"|"ახტალის ქ. 62, ჭიათურა"
"ციალა ტყეშელაშვილი"|"ბერიკაშვილის ქ. 23, თეთრიწყარო"
"ლუიზა ჟღენტი"|"ერისთავი თორნიკეს ქ. 18, ვანი"
"იზოლდა აფციაური"|"მუსხელიშვილის ქ. 62, სიღნაღი"
"აიდა ნემსაძე"|"ხორნაბუჯის ქ. 65, ქობულეთი"
"იური შელია"|"ზინდისის ქ. 13, ბოლნისი"
"პავლე ბარამიძე"|"ჭონქაძე დანიელის ქ. 21, წნორი"
"ვლადიმერ შეყილაძე"|"ჭავჭავაძე ალექსანდრეს ქ. 93, ვანი"
"ჟენია კილასონია"|"რატილის ქ. 39, წნორი"
"ლუდმილა მიქაბერიძე"|"თეკლათის ქ. 66, კასპი"
"იზა ბალიაშვილი"|"დიუმა ალექსანდრეს ქ. 25, ხონი"
"იაგო პაპაშვილი"|"რუსთაველის ქ. 35, სოხუმი"
"თამთა თოდუა"|"ვაზისუბნის ქ. 30, საჩხერე"
"თამარი ბიწაძე"|"მიჩურინის ქ. 05, ხობი"
"აიდა ყოლბაია"|"ლამისყანის ქ. 84, ბოლნისი"
"დარეჯან გოგია"|"ხივინის ქ. 39, ქარელი"
"თამაზ ლომსაძე"|"კრწანისის ქ. 82, ჯვარი"
"ვლადიმერ ქანთარია"|"ტოლსტოის ქ. 86, ტყვარჩელი"
"ნინო კვანტალიანი"|"ხვიჩია იპოლიტეს ქ. 59, ლაგოდეხი"
"დემურ ბლიაძე"|"ჯაბაურის ქ. 59, ნინოწმინდა"
"ელიზა სამუშია"|"ენგურჰესის ქ. 88, თეთრიწყარო"
"ნონა წერეთელი"|"ბესიკის ქ. 01, გალი"
"ჯემალ ბრეგვაძე"|"კელაპტრიშვილი ომარის ქ. 68, ზუგდიდი"
"ია ბოჭორიშვილი"|"ციხისძირის ქ. 27, რუსთავი"
"აკაკი გაგნიძე"|"ქავთარაძის ქ. 13, ონი"
"მანანა ხარშილაძე"|"გურგენიძის ქ. 69, რუსთავი"
"მირანდა ლომთაძე"|"ჩაჩავას ქ. 35, ბათუმი"
"ხვიჩა რუხაძე"|"ნიაღვრის ქ. 06, წალენჯიხა"
"ალექს არაბული"|"ლიახვის ქ. 43, წალკა"
"გივი კუხიანიძე"|"გალავნის ქ. 71, ჯვარი"
"ჯემალ ჩადუნელი"|"დოესის ქ. 31, სიღნაღი"
"ნათია მეტრეველი"|"კალოუბნის ქ. 27, ხაშური"
"ნინელი კაპანაძე"|"მეუნარგიას ქ. 31, თეთრიწყარო"
"მთვარისა ჟორჟოლიანი"|"ბევრეთის ქ. 89, გარდაბანი"
"აკაკი კაკაბაძე"|"მუხაძის ქ. 30, წალენჯიხა"
"ირაკლი გულუა"|"ურიცკის ქ. 67, ხობი"
"ბიძინა გულუა"|"საგურამოს ქ. 06, წყალტუბო"
"მაია თევზაძე"|"სომხეთის ქ. 92, ნინოწმინდა"
"ელენა გოცირიძე"|"მოსტკოვის ქ. 59, ონი"
"ვალერი დოლიძე"|"ბალადინის ქ. 32, საგარეჯო"
"გელა ვაშაკიძე"|"ხმელნიცკის ქ. 16, ბაღდათი"
"ნადია გოცირიძე"|"ავლევის ქ. 45, თელავი"
"ბელა კურტანიძე"|"შანშიაშვილის ქ. 85, გურჯაანი"
"რობერტ წულაია"|"ტიულენევის ქ. 79, გაგრა"
"აკაკი კობაიძე"|"შურდულის ქ. 06, საჩხერე"
"თემურ დიასამიძე"|"მარტვილის ქ. 65, კასპი"
"ანჟელა გუჯაბიძე"|"ბოცვაძის ქ. 28, ბოლნისი"
"მარიკა მაზმიშვილი"|"საგარეჯოს ქ. 09, ფოთი"
"კარლო წიქარიშვილი"|"ნაბახტაურის ქ. 33, ოჩამჩირე"
"ლუბა ხვედელიძე"|"ბაკურციხის ქ. 57, ჭიათურა"
"ირმა კუპრეიშვილი"|"ლარსის ქ. 33, თეთრიწყარო"
"იზოლდა ზარანდია"|"მიქელაძე ევგენის ქ. 62, ყვარელი"
"ტატიანა ხარაზიშვილი"|"ნოვოროსისკის ქ. 99, ცხინვალი"
"ასლან ცომაია"|"გამრეკელის ქ. 70, ონი"
"აკაკი შამათავა"|"ჯორჯაძის ქ. 86, ქუთაისი"
"ასმათ ნეფარიძე"|"ჭანტურია გიას ქ. 16, ბოლნისი"
"ნუნუ ჯაფარიძე"|"პატარძეულის ქ. 41, ონი"
"ლილი გუმბერიძე"|"ბეჟანიშვილი ეკას ქ. 48, გორი"
"ჯუმბერ გაჯიევა"|"თოფურიას ქ. 25, ახალციხე"
"ელისო ჟორჟოლიანი"|"ბაქრაძე დავითის ქ. 87, დმანისი"
"ცირა ბერიაშვილი"|"ათონელის ქ. 82, ბათუმი"
"ოლია ვარდოსანიძე"|"ნოსტეს ქ. 92, ოჩამჩირე"
"გელა კიკვაძე"|"ჩოხატაურის ქ. 74, ქუთაისი"
"ხვიჩა ხურციძე"|"ფაბრიკის ქ. 59, მარტვილი"
"აკაკი ჭეიშვილი"|"ბურძგლას ქ. 60, ცხინვალი"
"ნიკა აბდულაევი"|"გუმათის ქ. 83, თერჯოლა"
"დიანა მჭედლიშვილი"|"კავსაძის ქ. 18, ტყიბული"
"ნუნუ გობეჯიშვილი"|"როსტოვის ქ. 49, ხობი"
"ელიზა ბურდული"|"თეკლათის ქ. 29, ახმეტა"
"ზურაბ ზურაბაშვილი"|"ახოსპირელის ქ. 04, ქობულეთი"
"გოგა შელია"|"წულუკიძის ქ. 76, ზესტაფონი"
"ვარდო სირაძე"|"ვეკუა ვოვას ქ. 08, ყვარელი"
"ვაჟა ელბაქიძე"|"გრიშაშვილის ქ. 89, სამტრედია"
"რატი გაჯიევი"|"კიკეთის ქ. 22, წალენჯიხა"
"ალა გოგოლაძე"|"სუნდუკიანის ქ. 42, ლანჩხუთი"
"ნანი სირბილაძე"|"კალატოზის ქ. 73, ხაშური"
"ნათია სირბილაძე"|"გორის ქ. 36, ქობულეთი"
"ვალერი ქევხიშვილი"|"აკურის ქ. 73, თელავი"
"ზაზა ანდღულაძე"|"ხომლელის ქ. 84, ნინოწმინდა"
"აკაკი შველიძე"|"დვირის ქ. 26, ოჩამჩირე"
