"אביאל אברמוב"|"צוקית 29, ברקת, 9769678"
"מוסטפא דרעי"|"מצפה גילה 65, גבעת כ""ח, 5569090"
"עומר גרוסמן"|"חצב 56, דוב""ב, 5590059"
"שמואל וינר"|"חוף הים 46, כסלון, 9666829"
"חיים ישראל"|"שכ קחאוש 41, הר אדר, 8534557"
"תמר אן רוט"|"אלישר 65, גבעת כ""ח, 7804132"
"אביגיל כהן"|"יזרעאל 57, כפר אחים, 9430478"
"מרדכי דוד אביטבול"|"החשמל 12, באר מילכה, 6763971"
"מעיין פלדמן"|"מוצא 39, תלמי אליהו, 6041195"
"רחל ביטון"|"רבנו תם 24, כפר סירקין, 4469762"
"אביב צברי"|"המבריא 18, חשמונאים, 8318554"
"יסמין עבאס"|"מבוא הזיתים 69, בני ציון, 2668626"
"תמר קוגן"|"רח רז 74, גינתון, 3196076"
"יהב משה"|"המברק 85, כפר יונה, 9024864"
"אדם דוד"|"גוטמכר 96, דולב, 4840165"
"עופרי בן משה"|"אלכסנדר ינאי 33, צורית, 9987845"
"רז כץ"|"המצודה 06, תלמי אליהו, 7120964"
"ליאור פרידמן"|"סמ עינב 20, גרופית, 4045817"
"יוסף מלכה"|"אלסריס 36, לוזית, 3286372"
"פאטמה אבו עראר"|"הנוטר 98, הסוללים, 3939023"
"אביגיל אהרוני"|"משעול הצופית 49, רגבה, 5888660"
"תמר הודיה רובין"|"מצדה 73, מעונה, 6216096"
"סארי אשכנזי"|"אביב 57, רמות מנשה, 2504448"
"יאמן ראובן"|"שמעון המכבי 47, באר מילכה, 6766203"
"יוסף ביטון"|"ההגנה 92, כפר הנוער הדתי, 1808141"
"בנימין שיטרית"|"שד גאולים 72, דוב""ב, 8012315"
"דוד רוט"|"אלכסנדר ינאי 45, נטע, 3465458"
"אופיר אפשטיין"|"סמ מסילה א 54, טל-אל, 7689905"
"נעמה יעקב"|"מבוא הזיתים 02, אודם, 3869993"
"אריאל פלד"|"כהנא 49, פוריה - נווה עובד, 7668129"
"אביגיל אוחיון"|"קרל נטר 17, עמוקה, 3229009"
"אדל הירש-גרין"|"שד גת 54, אביחיל, 3969215"
"אביגיל סלמאן"|"שמעון המכבי 18, עלי זהב, 8863188"
"שמואל אליה אדרי"|"השעורה 34, צפרירים, 2718026"
"אליה אבו עראר"|"שד ח""ן 20, בית הלוי, 7243772"
"נתנאל גבאי"|"כפר ילדים נרדים 01, נוקדים, 0920933"
"עילאי סעדה"|"פרופס 19, האון, 9020808"
"אורי מלול"|"אפעל 03, פקיעין חדשה, 6158571"
"אביב הופמן"|"ברקת 10, נתיב השיירה, 7747517"
"נועה רונן"|"רח 6073 73, אור הנר, 9939351"
"אביגיל בר"|"שז""ר זלמן 76, שדה אליהו, 5335462"
"מעיין כהן"|"גרטרוד קראוס 67, בית חנניה, 6165628"
"עבד עאזם"|"גפן 57, שדה אליהו, 2632439"
"אייל אבו ראס-סואעד"|"פנינה 11, כפר אחים, 1988508"
"ינאי חביבאללה"|"דרך חלמית 21, פוריה - נווה עובד, 5083908"
"איתן דוידוב"|"האמוראים 22, עספיא, 8484502"
"איתי לוי"|"מזרחי יוסף 01, עמקה, 7124646"
"נויה מחאג'נה"|"אלעקבה 51, פוריידיס, 6859633"
"כרים הלל"|"קישון אפרים 11, עמיר, 1712058"
"נועם גולדברג"|"מעונות ים 54, נווה חריף, 4996888"
"אביגיל גולדמן-דוד"|"אלכתאב 24, שעב, 2652479"
"ג'נא שלמה"|"חתוכה יורם 30, חצור-אשדוד, 3621475"
"אריאל שרביט"|"העצמון 22, עדי, 3313150"
"ניתאי נועם לוי"|"גפן 75, צפרירים, 5263074"
"סארה מדר"|"רח 7035 80, עמוקה, 5167771"
"ליה חאג יחיא"|"שני 42, אבו רובייעה )שבט(, 6116082"
"ליה קפלן"|"הר עצמון 48, פקיעין חדשה, 0389656"
"רפאל דוד"|"עולש מצוי 26, אבו רובייעה )שבט(, 8153359"
"תאלא הראל"|"נהריה 71, מגן, 5244025"
"הודיה מעיין חדד"|"אורנים 90, רימונים, 5706909"
"אביגיל ותד"|"נתיב הפורצים 74, הר אדר, 2138748"
"גליה קרמר"|"דרך חלמית 93, נווה חריף, 0173318"
"מיקה בשארה"|"משעול המחתרות 11, נחלה, 6436472"
"מוריה לוי"|"הרשקו אברהם 61, שדה אליהו, 4292409"
"אברהם עמר"|"אלפג'ר 62, חשמונאים, 7742355"
"נתנאל לוי"|"עידו הנביא 76, שפר, 3119689"
"ארבל הררי"|"התבור 77, העוגן, 4579164"
"יהודה סגל"|"אייזיק ניוטון 80, עין צורים, 1655859"
"נועה זועבי"|"שבטי ישראל 38, תלמי אליהו, 5161930"
"תהילה ברגר"|"אהרון מאיר מזיא 32, מלאה, 4927589"
"אביגיל זהר"|"ש הפועלים 65, צורית, 3482167"
"נהוראי אברהם"|"תרס""ח 07, צפרירים, 9833512"
"תמר כץ"|"משעול מוריה 84, נירן, 3515246"
"אלון דויטש"|"נורית 88, בית חשמונאי, 8775476"
"נועם כהן"|"צוקית 53, חיננית, 3048480"
"רות אגבאריה"|"השדות 21, עמקה, 8214112"
"אורי פרץ"|"משעול נקר 62, דולב, 3820772"
"אריאל פאר"|"צובה 43, גנות הדר, 9484023"
"נועה רבקה מזרחי"|"החצב 15, נורדיה, 0045637"
"אורי רבינוביץ"|"ש פועלים 84, האון, 7383336"
"אביגיל זיו"|"ביכורים 97, כפר סירקין, 0237841"
"רות דבש"|"פנינה 19, האון, 9995268"
"סארה שמעוני"|"שכ רסקו 01, עלי זהב, 5182373"
"יואב ממן"|"לוין מיכאל וחנה 93, עזר, 0314997"
"ישי קמחי"|"הרותם 50, בית ברל, 0448448"
"איתן פלג"|"נחל נחשון 70, זוהר, 0276494"
"שושנה חדאד"|"המגינים 18, נתיב השיירה, 1735617"
"יהודה ששון"|"הפרדס 97, שדה אליהו, 2711685"
"אלון גרוסמן"|"בית יצחק-שער חפר 33, גבעת ח""ן, 3317621"
"אפק בן עמי"|"רח 2306 96, עספיא, 1571935"
"אביגיל חדד"|"י""א באדר 90, מגאר, 3404023"
"ירדן לוי"|"משעול המחתרות 25, חיננית, 0508195"
"לביא כהן"|"עובדי הנמל 77, אביחיל, 8396329"
"לני גולן"|"שומרון 38, פקיעין חדשה, 6708875"
"נועם אורי אבו ריא"|"הסיפון 86, גן שורק, 9523897"
"טומי זינגר-שכטר"|"האילתית 48, עצמון שגב, 4642588"
"אביגיל יוסופוב"|"ש הפועלים 74, מירון, 9712976"
"שלו ברוך"|"מוצא 22, טל-אל, 2121597"
"עמית ח'ליל"|"תאנה 08, כסלון, 9927598"
"נדב רובין"|"חוף הים 24, העוגן, 1701258"
"אביגיל חוג'יראת"|"החבל 68, נורדיה, 4577137"
"ישי אוחיון"|"סומך עובדיה 74, אורטל, 7176079"
"ניצן כהן"|"אלחרש 70, גיתית, 1817415"
"לביא סעד"|"ניר עם 54, בית חשמונאי, 3838993"
"מאיה הורביץ"|"תפארת ישראל 87, אטרש )שבט(, 2755261"
"יוסף שפר-לוי"|"הבריגדה 37, עמוקה, 1384682"
"הינדא שם טוב"|"מוצא 97, עספיא, 2006916"
"הדר שכטר"|"הדייגים 43, גנות הדר, 4746531"
"מאיר שמש"|"האחים בז'רנו 30, פוריה - נווה עובד, 5013470"
"אלה ברדה"|"הסיגלית 90, אבו רובייעה )שבט(, 4629942"
"אביגיל טל"|"תרס""ח 92, כפר יונה, 8856905"
"גיא צדוק"|"רח 124 77, עין אל-אסד, 2751438"
"אדר גרין"|"צור 77, מגאר, 3990656"
"רומי כהן"|"גבע 23, שעב, 0130448"
"מוסטפא יעקב"|"הבריגדה 32, סער, 3211437"
"יזן רגב"|"אילניה 38, כפר יונה, 3805929"
"אמיתי לוי"|"הגבורה 11, לקיה, 6226454"
"נהוראי כהן"|"שכ החלוצים 29, מרחביה )מושב(, 1742394"
"עמית פרץ"|"החלוצים 11, גבעת השלושה, 4648786"
"גל לנדאו"|"משעול אבוקדו 47, כפר מסריק, 5375604"
"אביגיל כהן"|"נחל סרפד 90, צורית, 3377962"
"פאטמה סרור"|"לוין שמריהו 13, אודם, 7045563"
"שיר הירש"|"נחל נחשון 79, ורד יריחו, 3016055"
"נדב אליהו"|"פדויים 12, לוזית, 4812288"
"אביב עזרא"|"אגוז 86, סגולה, 0072304"
"ים אמסלם"|"גולדה מאיר 00, אליקים, 8980811"
"אורי מלול"|"הרקפת 78, ברקת, 0840243"
"עדי סופר"|"אלתין 22, נטע, 9785724"
"שיר ליאל תמיר"|"אשל 50, נתיב השיירה, 3062272"
"טוהר אלה דיין"|"יהודה המכבי 97, ורד יריחו, 7729566"
"אביגיל ליפשיץ"|"אלזאבוד 69, שיטים, 7150310"
"עלי אליהו"|"אל זיתון סמ2 88, שומרה, 6587512"
"גאיה שי זהבי"|"מזל שור 50, נחלה, 2040817"
"יחיא חאג' יחיא"|"מרגיל מחוור 06, אל סייד, 3339705"
"ליאם קליין"|"החצב 70, שדי תרומות, 4672479"
"אליהו קוגן"|"בשמת 60, באר מילכה, 0467657"
"יגל ספיר"|"חוף הים 49, גדות, 3396865"
"אבישג שורץ"|"רח 101 09, כפר סירקין, 1962631"
"שיראל מחאמיד"|"המורד 46, עספיא, 6216592"
"יאיר אלמלח"|"לסקוב חיים 69, כפר הנוער הדתי, 2132774"
"אביגיל מועלם"|"אל חגאג בן יוסף 23, גיתית, 5709438"
"פלג גולדברג"|"רח 6073 41, אטרש )שבט(, 6539957"
"ליבי כהן"|"הדגניות 55, גבעת השלושה, 9087762"
"אורי לוי"|"הרב וולף 64, שתולים, 3201985"
"מיכל גורן"|"חוחית 53, חשמונאים, 3543057"
"בניה אבו ליל"|"מצדה 58, מלאה, 0953236"
"ינון רוזנטל"|"פקוד מרכז 23, מזכרת בתיה, 3280995"
"מאיה ימין"|"אל-מחאג'ר סמ3 60, בית חנן, 8330655"
"קארין גאבר"|"אלחרש 28, גני מודיעין, 2297621"
"הודיה אברהם"|"האילנות 08, דוב""ב, 0768901"
"אביגיל סבאג"|"אל-חראיק סמ3 07, רימונים, 6036159"
"רפאל אזולאי"|"האילנות 81, חצור הגלילית, 9904245"
"אדם דיאב"|"הפרדס 10, שדה אליהו, 0405474"
"אלה רוזנברג"|"אהרון מאיר מזיא 95, עין צורים, 8654174"
"דן קורן"|"ש בבלי 74, ברקאי, 7541278"
"טליה רזניק"|"סמ השחף 22, גבעת כ""ח, 1761704"
"אופק שחר"|"שכ הרכבת 60, גדות, 7128354"
"נועה רגב"|"יד העפלה ממרוקו 27, כפר אחים, 7692325"
"יהושע בוסקילה"|"רביבים 00, כפר הנוער הדתי, 9150059"
"דבורה נחמני-כהן"|"עקבת א תות 26, פוריה - נווה עובד, 7505978"
"אביגיל ספיר"|"נחל ערוגות מ""ר 15, שעב, 4413827"
"רון לוי"|"ביל""ו 76, שדי תרומות, 9831515"
"נתן לוי"|"חזון איש 08, שעב, 8348110"
"רון עמר"|"זיו 30, האון, 4935725"
"אליהו מחאמיד"|"אלעמשקה 96, אל סייד, 7558157"
"הראל יצחק"|"משואות יצחק 17, רחוב, 9524529"
"עומר פוקס"|"קדמת צבי 93, עדי, 6743202"
"נועה דראושה"|"הצבעוני 25, גבעת השלושה, 8846190"
"מאור ח'טיב"|"אברבנאל 74, גני מודיעין, 5728803"
"יהונתן הייב"|"ויקטור ויוליוס 08, הר אדר, 2967483"
"אביגיל עמר"|"תאנה 14, גרופית, 3485863"
"שלמה ח'לאילה"|"חוף הים 91, גבעת ח""ן, 9920741"
"ליאם הרשקוביץ"|"צפרירים 99, מסד, 6521754"
"אביטל גולדמן"|"דחי 51, ריינה, 7483206"
"ישראל רבינוביץ"|"שז""ר זלמן 96, אביחיל, 3028332"
"עומר נחום"|"צובה 58, רמות מנשה, 3925116"
"עדי גולדמן"|"רח 6020 70, עצמון שגב, 2240104"
"ארז אבו סאלח"|"החמנית 06, שתולים, 8834364"
"אדם שלמה"|"אורנים 50, שדה אליהו, 9753898"
"עמית סגל"|"אשל 54, מרחביה )מושב(, 0435583"
"אביגיל קליין"|"החליל 45, מלאה, 7571388"
"שחר אשכנזי-חסון"|"נאות אשכול 43, רגבה, 2407200"
"תומר כהן"|"העבודה 68, בית ברל, 9031047"
"אורין ברדה"|"הרשת 05, עמיר, 8976511"
"אורי זועבי"|"חצב 55, גינתון, 1187986"
"רוני נאסר"|"הרי גולן 70, כפר הנוער הדתי, 0580401"
"תמר סואעד"|"הופרט יעקב 57, שתולים, 5798740"
"אוראל אדלר"|"החותרים 63, גדות, 3928564"
"אליעזר מזרחי"|"מוצא 98, סגולה, 9423693"
"שמחה דרור"|"שכ נווה הדקל 12, משמר העמק, 6495917"
"אביגיל רון"|"עמוס הנביא 71, רימונים, 2048927"
"אורי יעקב גנאים"|"עפולה 33, גני מודיעין, 6172420"
"חנה ישראל"|"עירית 92, הר אדר, 2047389"
"ישראל גרוסמן-חורי"|"אלחרש 16, עצמון שגב, 1651197"
"מיכל ג'בארין"|"רח 6073 42, גיתית, 6911384"
"ינון אלימלך"|"המלאכה 31, מזכרת בתיה, 7412601"
"בתיה מרקוביץ"|"משעול האלה 60, נתיב השיירה, 9511356"
"הלל לוי"|"אל הודא סמ3 63, עזר, 7059078"
"מוריה עמר-חסון"|"דרך חלמית 37, כסלון, 4589010"
"איתי נועם פרץ"|"משעול המחתרות 59, פוריה - נווה עובד, 3604745"
"אביגיל שאול"|"סמבורסקי דניאל 18, ברקת, 4539522"
"הדסה חביבאללה"|"רח 1238 67, כסלון, 4950057"
"עבד ראובן"|"עגור 27, מגאר, 9055148"
"נועה ח'טיב"|"ההגנה 83, גבעת השלושה, 3186063"
"תמר בשיר"|"הנורית 74, אור הנר, 8910650"
"מאיר שיבלי"|"שבט ראובן 99, דולב, 0086273"
"מוחמד לוי"|"המגינים 44, באר מילכה, 3386284"
"יוסף משיח"|"המורד 57, גונן, 5543714"
"נחמה פוקס"|"מזל שור 90, גונן, 9041767"
"אסתר אלפסי"|"פרי חדש 01, כפר סירקין, 9413580"
"אביגיל ששון"|"אל-זהרא' 83, ברקת, 2364783"
"נויה גנאים"|"מעונות ים 87, שעב, 9045116"
"איתי אהרוני"|"בשמת 22, מגאר, 4560206"
"עידו גלעד"|"אלכרום 93, כפר אחים, 8670861"
"הודיה נועה רוזנברג"|"לבקוביץ 87, שדות מיכה, 8914736"
"אלחנן לב"|"עקבת א תות 24, אל סייד, 6851635"
"תהילה טייב"|"צדוק הכהן 92, עין השופט, 9365362"
"יובל אברהם-כהן"|"גבעת חיים )מאוחד( 23, שפר, 0072599"
"שלי עזרן"|"ג'ו עמר 10, שיטים, 5507140"
"איתמר גרינברג"|"הפרדס 48, נורדיה, 9727020"
"אביה ותד-דדון"|"מופק דיאב 82, כסלון, 8751896"
"אסתר ויצמן"|"נחל פארן 92, כפר סירקין, 3546539"
"מיקה גרוס"|"גוטמכר 31, ריינה, 0677551"
"מאיה מרעי"|"אילניה 67, פוריידיס, 3610687"
"אביטל אסעד"|"העבודה 13, נירן, 7107603"
"אלרואי כהן"|"מוצא 15, עדי, 6254176"
"יאיר בן סימון"|"רבקה אמנו 03, כפר אחים, 3306373"
"ידידיה תורגמן"|"רח 16 26, גנות הדר, 2572083"
"עמית מלכה"|"יחזקאל הנביא 04, נירן, 7370487"
"אביטל פרץ"|"יהודה הלוי 59, מלאה, 7595298"
"אביה פוגל"|"אל-זהרא' 61, שתולים, 1884303"
"עדי ברנשטיין"|"השיזף 18, בית ברל, 0547346"
"דוד ישראלי"|"שקד 08, שדי תרומות, 6004487"
"נהוראי אבו עראר"|"מבוא הזיתים 43, יד רמב""ם, 9045277"
"גיא מחאמיד"|"אל-מקפה סמ9 97, דוב""ב, 2685123"
"אודיה אסדי"|"רח 135 85, גבעת השלושה, 2041873"
"אריאל עטיה"|"האורנים 77, עמוקה, 2453812"
"שמואל עמר"|"דרך הארץ 77, כפר יונה, 3799686"
"אור גאנם"|"יואב 34, תלמי אליהו, 7813360"
"איילה כהן"|"דרך הארץ 44, שדה אליהו, 9115692"
"אביטל ביטון-נחום"|"פקוד מרכז 19, פוריה - נווה עובד, 9315474"
"שי זוהר"|"הרימון 13, טל-אל, 7747098"
"אסתר מיכל אחמד"|"רח 1043 91, תלמי אליהו, 8017846"
"דן בדראן"|"קרל נטר 72, בית חנניה, 6439082"
"יאיר סגל"|"חרת א בוס 87, עצמון שגב, 6786889"
"הלל אבראהים"|"החמנית 37, גרופית, 4049133"
"אריאל מזרחי"|"שכ חפצי בה 79, נירן, 2327740"
"אלקנה שמעון"|"צדוק הכהן 06, אורטל, 9118761"
"אמיתי בנימין"|"שריג 61, מגן, 0961309"
"יהודית אליה אזברגה"|"האילן 44, בית חנניה, 0348196"
"אביטל סבג"|"שכ קחאוש 27, רמות מנשה, 3251128"
"יאסין חסון"|"רח 16 11, אבו רובייעה )שבט(, 2742740"
"ליאן סלע"|"קרל נטר 17, גן שורק, 8496379"
"עופרי אוחיון"|"האדמו""ר מויז'ניץ 51, גבעת ח""ן, 6861729"
"אביגיל כהן"|"השיזף 70, עמקה, 5191305"
"ג'וד גל"|"דרך הגן 29, חצור-אשדוד, 5795720"
"דבורה ביטון"|"בן לברט 05, ורד יריחו, 4921389"
"אושר אברהם"|"רח 16 06, סגולה, 2646009"
"דניאל כהן"|"קרן היסוד 38, עין השופט, 1962955"
"לורן סרור"|"פטדה 51, הסוללים, 3107992"
"אביטל רחמים"|"נצרת עילית 19, גיתית, 3949363"
"יוסף וייס"|"שיזף 17, טל-אל, 3487435"
"פרח בוזגלו"|"מרכז 32, גדות, 5469926"
"מלאכי רובין"|"הדולב 43, גרופית, 7682738"
"אברהם כץ"|"רח 5041 78, אל סייד, 1705608"
"מיכאל רפאל"|"תרס""ח 59, גדות, 5482431"
"דן דאוד"|"חלמיש 79, ריינה, 3912837"
"יובל גולן"|"בן ישי 83, חצור-אשדוד, 2042705"
"אמל כהן"|"חוף הים 45, כפר הנוער הדתי, 1069359"
"עומר לביא"|"מגלן 35, עלי זהב, 3342765"
"אבינועם עובדיה"|"כהן אלי 49, אליקים, 0972689"
"יעקב ברגר"|"אשדוד 18, נירן, 5502708"
"נעמי מושקוביץ"|"הפרדס 85, גנות הדר, 4777363"
"הלל דראושה"|"כיסופים 04, דולב, 0270381"
"מיכל ג'בארין"|"התבור 92, אור הנר, 5955531"
"אוריאן כהן-ח'טיב"|"ביל""ו 23, גונן, 3817037"
"מאיר כהן"|"הר עצמון 80, נורדיה, 6743484"
"אורי לוי"|"סמ הרכבת 11, יד רמב""ם, 6851444"
"אלה עמר"|"שכ מחניים 57, משמר העמק, 5041825"
"פאטמה פורת"|"יונה 29, נתיב השיירה, 0831014"
"אבישג שמואל"|"רח 2001 23, גונן, 1134256"
"יהונתן יפרח"|"אברהם ברזילי 13, מגאר, 5602258"
"יהלי איוב"|"מזל שור 00, רימונים, 0054170"
"עומר גולדברג"|"מישאל 10, חצור הגלילית, 7187802"
"אימרי תורגמן"|"הזיתים 09, ריינה, 3565440"
"אור לוי"|"רח 1060 20, רמות מנשה, 9503998"
"תהילה גאבר"|"שבזי 39, בית הלוי, 3112454"
"עומר דוד"|"הדולב 50, חשמונאים, 6996606"
"גזל עבאס"|"אשל 60, גבעת השלושה, 8525282"
"נועם לוי"|"החסידה 47, חצור-אשדוד, 6943723"
"אבישי אביטן"|"שביל קליפות התפוזים 79, גיתית, 3118714"
"הלל אלמוג"|"תל חי 24, גבעת כ""ח, 6261666"
"אדל גרין"|"שד ח""ן 62, זוהר, 2100826"
"מאור סאלח"|"הרדוף 00, גבעת ח""ן, 7083146"
"אלמה חסון"|"אסא המלך 76, עצמון שגב, 9674671"
"ליאו סלומון"|"שכ מחניים 56, חשמונאים, 5752897"
"איילה שרביט-כהן"|"הרב ניסים 50, שדות מיכה, 7270561"
"אדיר ארביב"|"אח""י אילת 70, מזכרת בתיה, 9437298"
"אריאל אברמוביץ"|"שכ קחאוש 18, חשמונאים, 9826554"
"מוחמד שרף"|"פרומקין גד 61, עין צורים, 3737776"
"אבישי יעקבי"|"נתן 33, צורית, 5686140"
"מאור גוטליב"|"גינוסר 15, שדי תרומות, 4270142"
"עידו דהן"|"לילינבלום 98, חשמונאים, 8137005"
"שהד נאיא לוין"|"הרדוף 21, נוקדים, 9679450"
"אגם אבראהים"|"גינוסר 84, בית ברל, 9308727"
"יעל מנחם"|"זגגי 68, העוגן, 6556823"
