"Aada Viitala"|"Fallpakankatu 8
84238 Lohja"
"Marja Laakso"|"Uudenkaupunginkuja 83
78307 Lemi"
"Juhani Pasanen"|"Chydeniuksentie 870
00916 Saarijärvi"
"Helena Kettunen"|"Agronominbulevardi 8
86593 Masku"
"Antero Erkkilä"|"Caloniuksentie 685
27073 Mustasaari"
"Aaro Rinne"|"Damaskuksentie 52
51959 Lappeenranta"
"Petteri Nurminen-Manninen"|"Dagmarinpolku 517
11932 Nivala"
"Kimmo Paavilainen-Halonen"|"Ylänkökatu 612
61607 Pyhäranta"
"Alina Varis"|"Wavulininbulevardi 07
48155 Hartola"
"Eija Kivelä"|"Pohjolanbulevardi 88
39185 Posio"
"Jan Kivistö"|"Vaarnabulevardi 334
41860 Pyhtää"
"Suvi Ahonen"|"Uunilinnunbulevardi 5
56929 Oulu"
"Ilari Vuorela"|"Maasalonkuja 992
77066 Mänttä-Vilppula"
"Sirkka Jansson-Härkönen"|"Bertel Jungin tie 679
35685 Puumala"
"Kalevi Karppinen"|"Fallintie 32
83472 Paltamo"
"Aaron Pitkänen"|"Jägerhornintie 206
82139 Juupajoki"
"Susanna Vartiainen"|"Urkurintie 2
25076 Kuortane"
"Mikko Järvi"|"Rantavarastonkuja 747
25005 Jyväskylä"
"Tapio Hiltunen"|"Porinbulevardi 75
83222 Pöytyä"
"Tapio Karjalainen"|"Salavabulevardi 769
78225 Rautavaara"
"Merja Korhonen-Huotari"|"Fredrikinkatu 656
50457 Kuopio"
"Kristian Niemi"|"Dunckerinpolku 69
69137 Muurame"
"Ida Tiainen"|"Järkälebulevardi 70
79951 Orimattila"
"Johanna Johansson"|"Yllästunturinkatu 8
47515 Alavus"
"Kaarina Aaltonen"|"Fallpakanbulevardi 51
22876 Alavus"
"Aatos Oikarinen"|"Ormuskuja 116
45975 Rovaniemi"
"Matti Anttila-Heikkinen"|"Dunckerinkuja 6
77948 Vesanto"
"Kyllikki Sillanpää-Toivonen"|"Berganpolku 534
96758 Hirvensalmi"
"Terttu Ojanen"|"Tyynylaavantie 667
02935 Eura"
"Henna Aho-Eronen"|"Vellikellontie 847
32931 Laihia"
"Henrik Karttunen"|"Saanatunturinkuja 522
17753 Kotka"
"Eetu Toivanen"|"Bengalinkatu 5
23845 Vesilahti"
"Sebastian Karppinen"|"Salamatie 987
12715 Toholampi"
"Teuvo Lahtinen-Virtanen"|"Dunckerinkatu 907
65038 Vöyri"
"Matti Virtanen"|"Salamatie 218
55383 Ilmajoki"
"Aatos Vartiainen"|"Puuskakatu 835
50141 Huittinen"
"Sanni Väyrynen"|"Puroniitynpolku 8
18774 Iisalmi"
"Liisa Koski"|"Kiitäjänkuja 095
12217 Pöytyä"
"Antero Tiihonen"|"Yhteiskoulunbulevardi 791
74383 Vesilahti"
"Hannu Parkkinen-Hyvönen"|"Versotie 759
51159 Jämijärvi"
"Matias Salmi"|"Degermosankuja 256
17566 Kankaanpää"
"Heli Nurminen"|"Bertha Pauligin polku 977
95502 Kuhmoinen"
"Sakari Lehtimäki-Keränen"|"Verkkokatu 58
24760 Loimaa"
"Samuel Hämäläinen"|"Veropellonkatu 05
41425 Tuusniemi"
"Saara Nevalainen"|"Puuskakatu 06
41186 Lapinjärvi"
"Ahti Ahola"|"Eino Leinon kuja 3
40818 Sonkajärvi"
"Juhani Rajala"|"Otermanpolku 8
47127 Siikajoki"
"Venla Jauhiainen"|"Damaskuksenbulevardi 525
47729 Liminka"
"Veikko Kinnunen"|"Döbelnintie 74
02476 Pyhäjärvi"
"Anna Salminen"|"Louhikkokuja 644
59257 Loimaa"
"Orvokki Leino"|"Ida Ekmanin tie 010
61320 Raahe"
"Pasi Korhonen"|"Taavetti Laitisen kuja 005
77103 Halsua"
"Riikka Mäkelä"|"Yllästunturinkatu 666
80811 Siilinjärvi"
"Tuomas Niemi-Juntunen"|"Degermosankuja 046
40837 Vaasa"
"Juhani Väisänen"|"Willebrandinpolku 1
23673 Kyyjärvi"
"Ahti Koskinen"|"Laajasalontie 53
69829 Valtimo"
"Karl Uusitalo"|"Rapolanpolku 40
64909 Paltamo"
"Elli Lehto"|"Berganbulevardi 072
59180 Hämeenlinna"
"Jarmo Virtanen"|"Ostosbulevardi 1
99662 Eurajoki"
"Matias Räsänen"|"Rantavarastonkuja 68
77022 Marttila"
"Väinö Soininen"|"Vesakkotie 276
31311 Pertunmaa"
"Maria Kukkonen"|"Puuskapolku 563
25809 Finström"
"Pekka Niiranen"|"Jännekatu 620
07613 Inkoo"
"Maria Lindberg"|"Uudenkaupungintie 341
43609 Karkkila"
"Siiri Nurminen-Lahti"|"Tahtitie 763
77024 Virrat"
"Ahti Saarinen"|"Haravapolku 6
16797 Ilmajoki"
"Susanna Tuominen"|"Freesenpolku 795
24045 Kumlinge"
"Anneli Hakala"|"Tuomarinkylänpolku 4
81841 Marttila"
"Elias Korhonen-Häkkinen"|"Runoilijankatu 499
40180 Kannonkoski"
"Tuulia Ylönen"|"Disankuja 9
96118 Finström"
"Pirjo Sillanpää"|"Rapakivenbulevardi 0
34693 Vaasa"
"Roope Kettunen"|"Kilpolantie 236
97904 Isojoki"
"Kristian Parviainen"|"Dunckerintie 375
53454 Viitasaari"
"Aino Valkama"|"Jätkäsaarentie 378
01288 Lempäälä"
"Maire Kallio"|"Jämsänkatu 2
41093 Kemijärvi"
"Aila Huhtala"|"Agricolankuja 00
94720 Iitti"
"Kristian Makkonen-Liukkonen"|"Urheilupolku 35
84819 Toivakka"
"Tarja Saarinen-Ojala"|"Zaidantie 39
93465 Kannus"
"Anneli Koski-Pesonen"|"Willebrandinkatu 9
21065 Kokemäki"
"Viivi Pulkkinen"|"Salamabulevardi 201
25347 Orimattila"
"Helena Härkönen"|"Jämsänkatu 143
31582 Sonkajärvi"
"Jasmin Lappalainen"|"Bertel Jungin tie 83
39720 Kittilä"
"Samuel Mäkinen"|"Fallintie 249
14269 Lapinlahti"
"Antti Karjalainen-Helenius"|"Rapolanpolku 000
18850 Tervola"
"Antero Pulkkinen"|"Franzéninkatu 0
25177 Outokumpu"
"Aila Hänninen-Kallio"|"Nordenskiöldinbulevardi 13
15489 Kauhajoki"
"Kaarina Laukkanen"|"Taavinkuja 88
10157 Pornainen"
"Sirpa Karhu-Kettunen"|"Tukkisillanbulevardi 530
80375 Taipalsaari"
"Ari Soininen"|"Oraspolku 08
90358 Säkylä"
"Sofia Lahtinen"|"Nils Westermarckin bulevardi 76
21280 Närpiö"
"Marko Hietanen"|"Urkurinpolku 683
69499 Rääkkylä"
"Ahti Rossi"|"Yhteiskoulunpolku 0
71520 Parikkala"
"Juhani Aho"|"Salamakatu 131
26971 Hyvinkää"
"Veli Vuori"|"Orapihlajatie 9
43295 Toholampi"
"Henna Leppänen"|"Salamakuja 8
29627 Kokemäki"
"Aila Toivonen"|"Kilpolanbulevardi 01
75213 Kiuruvesi"
"Anna Malinen"|"Otermanbulevardi 792
52680 Tampere"
"Anita Mäkelä-Laine"|"Lentokapteenin polku 2
90599 Vaala"
"Irene Nieminen"|"Jännebulevardi 49
96110 Kangasniemi"
"Tapani Johansson"|"Wavulinintie 797
56229 Pieksämäki"
"Otto Hakkarainen-Aho"|"Sadepolku 730
08222 Karstula"
"Juhani Vartiainen"|"Porinpolku 84
73111 Sonkajärvi"
"Juhani Jansson"|"Franzéninbulevardi 440
94983 Jämsä"
"Kyllikki Koivisto-Takala"|"Tahtipolku 267
61994 Simo"
"Katariina Toivonen-Kähkönen"|"Werner Wirénin tie 21
45362 Kitee"
"Aili Auvinen"|"Gadolininkuja 5
19510 Ylivieska"
"Lauri Eronen-Suhonen"|"Tyynelänbulevardi 51
90371 Savitaipale"
"Emilia Keinänen"|"Mamsellimyllynbulevardi 16
95840 Mikkeli"
"Olavi Moilanen"|"Maapadonkatu 7
32178 Simo"
"Päivikki Timonen"|"Fallkullankuja 91
67641 Pyhäjärvi"
"Matias Heinonen"|"Salamapolku 60
08372 Laukaa"
"Tarja Holm"|"Wäinö Aaltosen katu 02
82242 Loimaa"
"Timo Jokinen"|"Fredrikinkatu 63
12674 Ylivieska"
"Marianne Laitinen"|"Haahkapolku 7
62274 Vöyri"
"Elisabet Mäki"|"Salakkakatu 6
87795 Parainen"
"Aili Seppälä"|"Santerlankuja 1
38943 Marttila"
"Tuulia Ojanen"|"Urpubulevardi 6
73199 Hämeenkyrö"
"Esko Häkkinen"|"Laakavuorenpolku 3
33596 Juva"
"Mikko Nurmi-Koskinen"|"Caloniuksenpolku 8
67881 Reisjärvi"
"Petteri Moilanen"|"Vaarnakuja 400
40203 Taivassalo"
"Mikko Koivisto"|"Tuomarinkylänbulevardi 81
48303 Soini"
"Anna Lindholm"|"Wavulininbulevardi 1
24352 Heinävesi"
"Tuulikki Ronkainen"|"Järkälekuja 40
93840 Utsjoki"
"Anna Koskinen-Backman"|"Harakkamyllynpolku 553
18003 Kitee"
"Edvard Taskinen"|"Tuohikoivuntie 029
84608 Eckerö"
"Aimo Hietanen"|"Gunillankuja 42
64480 Sodankylä"
"Olavi Hämäläinen"|"Saramäenkuja 715
44324 Masku"
"Henry Hänninen"|"Nils Westermarckin katu 038
51380 Kiuruvesi"
"Orvokki Pajunen"|"Fallkullantie 04
92807 Finström"
"Reijo Laaksonen"|"Urkurinkatu 79
01349 Pyhäranta"
"Kari Viitanen"|"Rukoushuoneenpolku 3
92599 Pyhäjoki"
"Pia Laitinen"|"Kolvikatu 459
54210 Kaskinen"
"Juhani Vartiainen"|"Uurtajankatu 36
94198 Inari"
"Päivi Juntunen"|"Vesakkokatu 66
79139 Siilinjärvi"
"Juhani Lepistö"|"Jänkäkatu 7
03726 Janakkala"
"Aimo Huotari"|"Dosentinkatu 317
62932 Sulkava"
"Kaarina Koponen"|"Iltatähdenkatu 146
96618 Porvoo"
"Anita Sipilä"|"Bengalinkatu 83
86073 Tornio"
"Tuulikki Nieminen"|"Porekuja 487
42231 Inari"
"Elina Tuovinen"|"Yllästunturintie 065
68643 Outokumpu"
"Arto Puhakka-Eskola"|"Disankatu 5
16157 Hailuoto"
"Seppo Kiuru"|"Fahlanderin puistotie 830
79773 Suonenjoki"
"Hannele Peltola"|"Haravabulevardi 1
41794 Siilinjärvi"
"Henrik Vainio"|"Iltaruskonpolku 7
05151 Leppävirta"
"Antero Sainio"|"Yrjöntie 197
03575 Sodankylä"
"Aimo Huttunen"|"Gunillantie 9
06121 Vantaa"
"Antero Rantanen"|"Haakoninlahdentie 35
61370 Pomarkku"
"Martti Moilanen-Lahti"|"Gunillanpolku 51
89931 Kannonkoski"
"Miia Tikka"|"Kimalaiskatu 550
10728 Mynämäki"
"Kaarina Mäkinen"|"Gunillantie 3
84150 Vaasa"
"Susanna Leppänen"|"Uudenkaupungintie 861
81411 Lahti"
"Jaakko Koponen"|"Nervanderintie 6
51969 Forssa"
"Marjatta Oksanen"|"Caloniuksenkatu 260
74960 Kruunupyy"
"Kaija Karjalainen"|"Disanbulevardi 5
40623 Saarijärvi"
"Sofia Hyvärinen"|"Iltatähdenbulevardi 697
39726 Kangasniemi"
"Aino Hämäläinen"|"Nils Westermarckin tie 0
40088 Lapua"
"Sebastian Nuutinen"|"Caloniuksenpolku 127
12858 Vaasa"
"Johannes Huuskonen"|"Usvapolku 792
56286 Taivalkoski"
"Oskari Hämäläinen"|"Ida Ekmanin polku 983
19535 Vesanto"
"Karoliina Kangas-Hokkanen"|"Agroksenbulevardi 574
03580 Halsua"
"Harri Halonen"|"Uskalikontie 9
96955 Lempäälä"
"Kaisa Rytkönen"|"Runoilijantie 8
58928 Kemi"
"Päivi Juvonen"|"Tuomarinkyläntie 898
70999 Jokioinen"
"Helena Leinonen"|"Ida Ekmanin katu 4
00272 Kuopio"
"Aino Mäenpää-Laitinen"|"Ilmattarentie 15
76875 Toholampi"
"Aino Kortelainen-Salonen"|"Uunilinnunkatu 290
88732 Kalajoki"
"Annikki Luukkonen-Silvennoinen"|"Jännekuja 739
36673 Raahe"
"Matti Hämäläinen-Sutinen"|"Ahomäenbulevardi 283
44423 Kangasniemi"
"Timo Vartiainen"|"Neonpolku 2
45442 Eckerö"
"Jani Koski"|"Yhteiskoulunbulevardi 68
17801 Ylöjärvi"
"Pauli Luukkonen"|"Maasälvänkuja 3
63749 Kemijärvi"
"Hannu Salminen-Taskinen"|"Jätkäsaarentie 8
26991 Tuusniemi"
"Kimmo Mäki-Korpi"|"Uussillantie 04
21956 Karstula"
"Eveliina Jääskeläinen"|"Orisaarenkatu 95
47001 Imatra"
"Elina Miettinen"|"Ilvespolku 291
24745 Oulainen"
"Aino Kärkkäinen-Karttunen"|"Betonitie 118
71917 Raasepori"
"Esa Karjalainen"|"Immolanbulevardi 44
17419 Nokia"
"Sofia Rantanen"|"Maneesibulevardi 92
38568 Askola"
"Olavi Kettunen"|"Puuskakuja 6
80238 Vöyri"
"Pertti Räsänen"|"Ylä-Fallin bulevardi 8
10490 Nousiainen"
"Irmeli Järvinen"|"Haaksikuja 4
11253 Multia"
"Pia Koponen"|"Niitynperäntie 79
40953 Hirvensalmi"
"Riikka Rautio"|"Kukkaniitynkatu 512
32321 Kirkkonummi"
"Kalervo Leppänen"|"Runokyläntie 45
35611 Varkaus"
"Maire Lilja"|"Ostoskuja 7
55169 Vieremä"
"Aino Laine-Mononen"|"Zaidanpolku 94
76534 Askola"
"Linnea Ollikainen"|"Dunckerintie 79
12050 Simo"
"Irmeli Eriksson"|"Gunillanpolku 45
69590 Vieremä"
"Mika Raatikainen-Jokinen"|"Elimäenkatu 804
92022 Raasepori"
"Juhani Heikkinen"|"Wäinö Aaltosen katu 2
69950 Ii"
"Veikko Ahonen"|"Porkkalanbulevardi 855
35223 Tuusniemi"
"Helvi Lindström"|"Franzénintie 6
09973 Leppävirta"
"Marika Leppänen"|"Katajaharjunkatu 6
21845 Kontiolahti"
"Eemeli Erkkilä"|"Castréninkuja 014
29019 Nousiainen"
"Niina Lehtola"|"Taavetti Laitisen bulevardi 6
94912 Harjavalta"
"Aino Malinen"|"Elonbulevardi 22
76443 Tuusniemi"
"Matilda Manninen"|"Agnetanbulevardi 83
93477 Pertunmaa"
"Ilkka Ahola"|"Haakoninlahdenpolku 35
81922 Ulvila"
"Saara Ahola"|"Jätkäsaarenkuja 353
09476 Vöyri"
"Laura Malinen"|"Winqvistinkuja 48
64135 Geta"
"Johannes Pesonen"|"Orvokkibulevardi 312
48290 Hämeenkyrö"
"Linnea Soininen"|"Uudenkaupunginkuja 7
42856 Ruokolahti"
"Sami Martikainen"|"Haakoninlahdenpolku 5
53070 Luoto"
"Kristian Juntunen-Nikula"|"Neulapadontie 146
61750 Eckerö"
"Helena Nyman"|"Tyynylaavankatu 368
06162 Savukoski"
"Aino Rantala"|"Mamsellimyllynbulevardi 6
53533 Kurikka"
"Aukusti Kosonen"|"Gustav Pauligin tie 82
48881 Lumijoki"
"Ilmari Saarinen"|"Taavetti Laitisen kuja 0
62479 Kyyjärvi"
"Kristiina Järvinen"|"Adolf Lindforsin kuja 0
29261 Aura"
"Samuli Niemelä"|"Uunilinnuntie 18
22922 Karkkila"
"Antero Johansson"|"Ehrensvärdinpolku 0
70633 Juuka"
"Markku Kemppainen-Lahtinen"|"Orisaarentie 20
89516 Uurainen"
"Eino Laitinen"|"Uskalikonpolku 6
52878 Muonio"
"Juha Lahti"|"Vesalankatu 88
08332 Nivala"
"Julius Koskinen"|"Eerik Pyhän bulevardi 5
44882 Kajaani"
"Aino Toivanen"|"Kimmonbulevardi 356
53756 Pirkkala"
"Ida Valkonen"|"Porinkuja 529
88373 Luoto"
"Marika Koponen"|"Uurtajanpolku 74
12032 Evijärvi"
"Jere Manninen-Tuomi"|"Gunnel Nymanin polku 04
30676 Laihia"
"Riitta Kyllönen"|"Taavinbulevardi 0
48295 Kristiinankaupunki"
"Tauno Laine"|"Sahaajanpolku 74
18512 Siikajoki"
"Annukka Laitinen"|"Runonlaulajankuja 1
32127 Tornio"
"Helena Koskinen-Aalto"|"Ilomäenpolku 1
28527 Hartola"
"Aleksandra Korhonen"|"Iltaruskonpolku 811
19657 Sottunga"
"Kristiina Oksanen"|"Winqvistinpolku 035
54135 Valtimo"
"Airi Luukkonen"|"Harakkamyllynbulevardi 8
79805 Alavus"
"Riitta Mäkinen"|"Vaarnatie 28
24056 Hirvensalmi"
"Hannele Saarinen-Mäkelä"|"Wecksellinkuja 07
10818 Maarianhamina"
"Ulla Pirinen-Koivisto"|"Wäinö Aaltosen bulevardi 575
17061 Kerava"
"Sari Lappalainen"|"Capellan puistokuja 433
00087 Jyväskylä"
"Alexandra Halonen"|"Porinkatu 69
00827 Pornainen"
"Matti Saarinen"|"Pyörökivenpolku 9
83559 Myrskylä"
"Maria Partanen"|"Kilpolanbulevardi 449
31278 Pertunmaa"
"Ensio Nurmi-Hämäläinen"|"Waseniuksen puistokatu 553
79640 Pornainen"
"Leila Kemppainen"|"Iltatähdentie 3
38979 Ulvila"
"Aki Hänninen"|"Vellikellonpolku 577
98077 Laihia"
"Anneli Voutilainen"|"Vaakalinnunkuja 3
01214 Tammela"
"Raili Rautiainen"|"Vaakalinnunbulevardi 14
84393 Laukaa"
"Olavi Väisänen"|"Fagottipolku 6
24736 Posio"
"Tuula Räsänen-Turunen"|"Uussillanbulevardi 0
65907 Multia"
"Kaarina Lindholm-Hyvönen"|"Berganbulevardi 91
13044 Kankaanpää"
"Aino Turunen"|"Puroniitynbulevardi 6
91204 Ypäjä"
"Johannes Miettinen"|"Lepolankatu 00
52128 Kokemäki"
"Mika Heino"|"Lukkarimäenbulevardi 770
53906 Rusko"
"Anja Salo"|"Agricolanpolku 939
33337 Akaa"
"Aki Mäkinen"|"Niemitie 1
12903 Koski Tl"
"Birgitta Uotila"|"Elonkatu 5
80463 Lumparland"
"Marko Matikainen"|"Nils Westermarckin katu 5
58884 Vehmaa"
"Oskari Nykänen"|"Fallkullankatu 767
60423 Lempäälä"
"Iida Saarinen"|"Versopolku 532
84317 Lieto"
"Anne Henriksson-Viljanen"|"Uunilinnunkuja 053
58053 Turku"
"Minna Aaltonen"|"Puroniitynpolku 5
02723 Närpiö"
"Pirjo Haapaniemi"|"Betleheminbulevardi 48
20671 Hartola"
"Johanna Laiho"|"Agroksenkatu 14
50492 Föglö"
"Matti Rytkönen"|"Wallininkatu 42
07204 Mustasaari"
"Akseli Alanen"|"Pyörökivenbulevardi 0
36328 Pirkkala"
"Mikael Kärkkäinen"|"Agricolankatu 46
09222 Paimio"
"Olivia Salmela-Lahti"|"Niitynperänkuja 8
46655 Kauniainen"
"Kullervo Ruotsalainen"|"Vaarnapolku 5
06317 Viitasaari"
"Lea Pirinen"|"Sahaajantie 52
53599 Taivassalo"
"Juhani Virtanen"|"Winqvistinbulevardi 975
21712 Toholampi"
"Hannele Simola-Korhonen"|"Louhikkotie 079
82654 Taipalsaari"
"Liisa Holopainen"|"Gneissibulevardi 91
60110 Sauvo"
"Mika Kärkkäinen"|"Graniittikuja 652
02120 Kemiönsaari"
"Marjo Keskitalo"|"Veräjämäentie 43
13292 Föglö"
"Akseli Huotari"|"Aidasmäenkatu 530
63824 Tervo"
"Kyllikki Pennanen"|"Ostostie 100
41159 Alavus"
"Katariina Virta"|"Orapihlajatie 0
03953 Reisjärvi"
"Annikki Meriläinen"|"Urkurintie 350
35896 Kannus"
"Antero Aho"|"Rantavarastonbulevardi 6
18059 Imatra"
"Matilda Korhonen"|"Tyynylaavankatu 146
26130 Parikkala"
"Hannele Laitinen"|"Louhikkobulevardi 195
68955 Luoto"
"Ismo Halme"|"Tahtikuja 86
81041 Koski Tl"
"Tommi Kallio-Salonen"|"Verkkokatu 29
06846 Ikaalinen"
"Linda Luoma-Lindberg"|"Castréninpolku 91
92640 Ristijärvi"
"Aleksandra Hämäläinen"|"Fagottikatu 05
90233 Seinäjoki"
"Markku Salmi"|"Tukkisillankuja 0
32977 Tyrnävä"
"Matilda Simola"|"Agnetankatu 42
31805 Liperi"
"Teemu Haapala-Puustinen"|"Kimmontie 01
17297 Jomala"
"Johanna Kainulainen-Myllymäki"|"Jägerhorninkatu 2
03250 Petäjävesi"
"Ilmari Mäkinen"|"Maapadonpolku 06
71854 Kangasala"
"Kaisa Lahti"|"Yrttimaantie 6
01844 Jokioinen"
"Juhani Suominen"|"Degermosanbulevardi 4
85633 Pelkosenniemi"
"Emilia Heikkilä"|"Nils Westermarckin tie 205
77715 Liminka"
"Juhani Korhonen"|"Ylätuvanpolku 640
55988 Kärkölä"
"Aleksandra Kauppinen"|"Bysantinpolku 53
09697 Seinäjoki"
"Kaarina Lampinen-Kemppainen"|"Urheilupolku 77
57830 Lemi"
"Eeva Myllymäki"|"Ilkanpolku 21
10643 Kemiönsaari"
"Toni Kauppinen"|"Rapakivenkatu 975
62615 Iisalmi"
"Matti Toivonen"|"Verkkopolku 75
68322 Kokkola"
"Antero Järvenpää"|"Saanatunturinkatu 828
61468 Soini"
"Seppo Virtanen"|"Usvakuja 8
53619 Rääkkylä"
"Aili Tiainen"|"Haahkakatu 10
77818 Sund"
"Katriina Palomäki-Laine"|"Tuulilasintie 871
18867 Seinäjoki"
"Einari Pitkänen-Sillanpää"|"Ilkankatu 54
77560 Kustavi"
"Aleksandra Kumpulainen"|"Jälsikatu 7
57885 Kemi"
"Antti Mustonen"|"Fagottipolku 53
65193 Aura"
"Sara Salo"|"Fastbölenkuja 255
77804 Sauvo"
"Pekka Takala"|"Fallkullantie 626
72487 Juuka"
"Elina Niemi"|"Urpukuja 47
48971 Pudasjärvi"
"Ville Kivistö"|"Louhikkobulevardi 733
11279 Pietarsaari"
"Antti Hietala"|"Ehrensvärdintie 371
66311 Parainen"
"Jani Hirvonen"|"Yrjö-Koskisen katu 72
18871 Vöyri"
"Elina Ahola"|"Kilpolantie 2
93699 Haapavesi"
"Kaarina Kortelainen-Räsänen"|"Yrttimaankatu 4
08642 Hirvensalmi"
"Aleksandra Lehtola"|"Caloniuksentie 160
18809 Tohmajärvi"
"Sirpa Järvinen"|"Ilotulitusbulevardi 8
96262 Saarijärvi"
"Mika Saarinen-Huuskonen"|"Eino Leinon tie 98
71548 Mänttä-Vilppula"
"Pia Lahti"|"Sahaajanpolku 84
49616 Tammela"
"Nina Juntunen-Kujala"|"Freesentie 43
25245 Sotkamo"
"Aada Pasanen"|"Usvatie 03
83310 Kärkölä"
"Timo Lappalainen"|"Chydeniuksentie 9
76680 Harjavalta"
"Allan Matilainen"|"Lautamiehenpolku 06
24229 Haapavesi"
"Akseli Oksanen"|"Puusepäntie 85
72558 Ulvila"
"Maria Pulkkinen-Gustafsson"|"Otermanbulevardi 1
09621 Kauhava"
"Aleksandra Pennanen"|"Tuohikoivuntie 0
61994 Vesilahti"
"Aleksi Johansson"|"Lukkarimäenpolku 165
41614 Sund"
"Matti Lehtinen"|"Iltatähdentie 981
36336 Halsua"
"Paavo Tuomi"|"Ylänkökatu 196
28306 Nousiainen"
"Ilmari Mustonen-Karjalainen"|"Haravakuja 99
62330 Laukaa"
"Antero Turunen-Alanen"|"Bysantinpolku 820
72879 Soini"
"Juhani Manninen"|"Ahvenkoskenkuja 812
32012 Kangasala"
"Tiina Kanerva"|"Ilomäenpolku 970
40127 Föglö"
"Tapani Kortelainen"|"Disanpolku 48
15297 Petäjävesi"
"Emilia Haapaniemi-Kiviniemi"|"Laajasalontie 72
04694 Tervo"
"Aleksanteri Hämäläinen"|"Ahdekaunokintie 6
54144 Kankaanpää"
"Erik Saarinen"|"Fabianinpolku 049
51017 Juuka"
"Jouko Repo-Laukkanen"|"Louhikkotie 9
03558 Karkkila"
"Antti Koistinen"|"Fastbölenkatu 2
08457 Alavus"
"Päivi Tolvanen"|"Gadolininpolku 014
40026 Kankaanpää"
