"Aapo Niemi","Döbelninpolku 9
54183 Närpiö"
"Elli Kanerva","Poikasaartenkatu 00
99225 Isokyrö"
"Elisa Koskinen","Yrjö-Koskisen tie 296
33894 Suomussalmi"
"Anna Kukkonen","Runoilijankuja 269
49121 Somero"
"Henna Peltonen","Lentokapteenin bulevardi 269
00603 Muurame"
"Raimo Koskinen-Anttila","Puroniityntie 27
64599 Joutsa"
"Ulla Kettunen","Damaskuksentie 535
64134 Ranua"
"Kaarina Mäkelä","Maanmittarinkatu 203
29394 Ylivieska"
"Sofia Gustafsson","Ilotulituskuja 3
04516 Närpiö"
"Aatos Huttunen","Agronominbulevardi 9
62927 Kihniö"
"Aleksi Rantanen","Salamakuja 59
53751 Kouvola"
"Elisabeth Mäkinen","Ilmattarenpolku 820
19211 Värdö"
"Juhani Hakala","Eduskuntakuja 1
53521 Asikkala"
"Laura Johansson","Gunnel Nymanin polku 7
88199 Asikkala"
"Eeva Räsänen","Osmontie 5
53581 Äänekoski"
"Hilkka Niemi","Orapihlajakuja 5
37114 Nivala"
"Armas Mattsson","Oravabulevardi 623
42666 Parkano"
"Tiina Lahti","Harbonbulevardi 62
18929 Reisjärvi"
"Markus Alatalo","Louhentie 3
42936 Sottunga"
"Aatos Hyvönen","Gunillanpolku 9
50722 Savukoski"
"Jenni Kujala","Porinkatu 9
57159 Asikkala"
"Katriina Räty","Eino Leinon kuja 0
54797 Isokyrö"
"Kaija Koponen","Kuhankeittäjänkuja 816
79948 Kärkölä"
"Tuuli Mäkinen","Cygnaeuksentie 446
75165 Hamina"
"Hanna Kovanen","Jätkäsaarenkuja 87
31986 Lapinlahti"
"Iida Valkama","Werner Wirénin bulevardi 4
47498 Lemi"
"Jorma Määttä","Salavabulevardi 48
00097 Soini"
"Matias Heikkilä","Wavulininkuja 56
54452 Posio"
"Sanna Karvonen","Sapilasbulevardi 001
71546 Sauvo"
"Ahti Tikkanen","Otermanbulevardi 21
00770 Porvoo"
"Ilmari Laine","Hankasuonkatu 92
78272 Masku"
"Elsa Eriksson","Osuuskunnanpolku 6
44420 Tornio"
"Riitta Jokinen","Laakavuorentie 284
56399 Uurainen"
"Kimmo Lehtinen-Lehto","Kuhankeittäjänbulevardi 22
34860 Orimattila"
"Jenna Tikkanen","Freesenkatu 83
92790 Tyrnävä"
"Kati Tolvanen","Orastie 28
37704 Salo"
"Marketta Rautiainen-Viitanen","Tukkisillankatu 7
36634 Seinäjoki"
"Jenna Kivistö","Kimmonkuja 3
11195 Leppävirta"
"Tuomas Salo","Haakoninlahdenpolku 003
10951 Tyrnävä"
"Aila Koski","Franzéninkuja 91
24477 Sottunga"
"Juhani Takala-Parkkinen","Ahvenkoskenpolku 8
63665 Järvenpää"
"Katariina Ruuskanen","Degermosantie 291
10812 Lumijoki"
"Arja Mustonen","Laajasalonpolku 748
08058 Muurame"
"Emil Syrjälä","Agroksenkatu 866
50911 Somero"
"Jonna Hirvonen","Neulapadontie 6
76092 Sonkajärvi"
"Ensio Salminen","Eerik Pyhän kuja 16
85948 Liperi"
"Tuija Järvinen","Mannerheiminkatu 08
64397 Hyrynsalmi"
"Aleksi Hiltunen","Disanbulevardi 38
98964 Loppi"
"Veera Kärkkäinen-Ruotsalainen","Jälsitie 7
33276 Leppävirta"
"Aila Laaksonen","Iltaruskonkuja 3
26183 Liminka"
"Matias Mäkelä","Neontie 5
09755 Naantali"
"Taisto Holmström-Alanko","Agronominpolku 211
52963 Hollola"
"Marja Takala-Ruotsalainen","Verkkokuja 160
11331 Kaustinen"
"Hannele Pietilä","Bengalinkatu 0
94599 Ruovesi"
"Juhana Toivanen","Rapolanpolku 9
50532 Mäntyharju"
"Kerttu Mustonen","Orvokkitie 7
85344 Laukaa"
"Roosa Hämäläinen","Kolsinbulevardi 1
73944 Lumparland"
"Ella Kortelainen","Ylipalontie 7
28527 Kurikka"
"Elsa Korhonen","Maabulevardi 569
86300 Kannus"
"Aila Rajala","Gneissibulevardi 03
69955 Kajaani"
"Kaija Ylinen","Runonlaulajankuja 702
53298 Nivala"
"Ari Toivanen","Iltaruskonkatu 2
76824 Punkalaidun"
"Elsa Tiainen","Kolvibulevardi 605
13098 Raasepori"
"Terttu Viljanen-Koponen","Maatullinpolku 4
47542 Imatra"
"Jesse Virtanen","Runeberginpolku 10
91609 Ilomantsi"
"Kati Ahola","Puusepänbulevardi 9
31393 Sievi"
"Marjo Laiho-Turunen","Uskalikonbulevardi 82
84483 Vieremä"
"Kaarina Hiltunen","Rapolankatu 147
50738 Muhos"
"Liisa Haapanen","Orisaarentie 6
13757 Kökar"
"Aila Saarela","Vanha Rajakatu 8
39573 Savukoski"
"Esko Järvinen-Järvinen","Immolankatu 243
56261 Kuhmo"
"Maria Suominen","Orastie 878
39848 Kempele"
"Ella Rautio","Taavinpolku 3
85314 Naantali"
"Anneli Koskinen","Gunnel Nymanin polku 01
65685 Pedersören kunta"
"Ensio Turunen","Wavulininpolku 81
67662 Kustavi"
"Anni Hartikainen-Kinnunen","Rukotie 22
26727 Kemiönsaari"
"Raimo Lehtonen-Lahti","Fastbölenbulevardi 8
05230 Kotka"
"Ida Pesonen","Verkkokuja 4
26695 Masku"
"Johanna Pekkala","Verkkokatu 52
66421 Iitti"
"Aila Sillanpää","Dagmarinkatu 5
78624 Sipoo"
"Valtteri Kantola-Rantala","Tuohikoivunpolku 545
64514 Haapavesi"
"Amanda Virtanen","Aidasmäenbulevardi 6
36318 Kontiolahti"
"Suvi Mikkonen","Runokyläntie 9
75778 Lapinjärvi"
"Sami Uusitalo","Werner Wirénin polku 549
81001 Kaskinen"
"Joonas Salo","Niemipolku 9
55462 Lumijoki"
"Inkeri Takala","Agronomintie 948
74290 Inari"
"Seppo Huttunen","Orapihlajakuja 99
62176 Kauhajoki"
"Maria Nylund","Lautamiehentie 50
79554 Nokia"
"Karoliina Luoma","Laakavuorenkatu 039
33177 Ristijärvi"
"Aila Silvennoinen","Tuulilasinpolku 785
06811 Kauhava"
"Heikki Nousiainen","Haakoninlahdenkatu 025
83539 Ylivieska"
"Maarit Mäkelä","Biologinkatu 851
06728 Puolanka"
"Anni Aalto","Urheilupolku 881
12616 Siilinjärvi"
"Aleksanteri Mäki","Döbelnintie 276
22479 Saarijärvi"
"Maarit Hannula","Nils Westermarckin bulevardi 97
38940 Pyhäranta"
"Marjo Paananen","Gyldénintie 3
47452 Humppila"
"Emilia Väisänen","Niitynperänbulevardi 83
90177 Hattula"
"Aino Riikonen","Fahlanderin puistopolku 5
13049 Ikaalinen"
"Tapani Lilja","Willebrandinbulevardi 9
11027 Kokemäki"
"Aili Eloranta","Granfeltinkatu 531
12005 Alavieska"
"Juha Lindberg","Orvokkitie 473
83320 Liminka"
"Aleksi Hakkarainen-Tuominen","Tuulilasinkuja 911
68760 Muurame"
"Irma Laine","Versobulevardi 305
25401 Rauma"
"Anu Immonen","Eduskuntatie 057
64683 Närpiö"
"Samuel Väänänen","Verkkopolku 24
73626 Masku"
"Seppo Uusitalo","Ilveskatu 352
60607 Kuusamo"
"Erkki Ruotsalainen","Iltaruskonpolku 2
88078 Hyvinkää"
"Olavi Karttunen","Haakoninlahdenkuja 28
56912 Ylivieska"
"Kaarina Laine","Tyynylaavankatu 127
38827 Salo"
"Aili Makkonen","Elisabeth Kochin polku 6
32100 Kuhmoinen"
"Mikko Laitinen","Dunckerinkatu 547
89398 Vehmaa"
"Pauli Pulkkinen","Graniittikatu 3
77550 Nurmes"
"Johanna Mäkinen","Uunisepänpolku 4
22926 Lahti"
"Tapio Karppinen","Tahtibulevardi 946
72366 Ristijärvi"
"Raija Turunen-Pöllänen","Benktanpolku 7
64485 Kangasniemi"
"Henrik Hokkanen","Betonipolku 49
75196 Nurmes"
"Samuli Kuusela","Biologinbulevardi 047
99361 Ruovesi"
"Jussi Karjalainen","Ida Ekmanin katu 6
18335 Suomussalmi"
"Santeri Mäkinen","Tuulilasinpolku 343
27851 Hyvinkää"
"Aili Väisänen","Porebulevardi 844
62241 Lapinlahti"
"Reino Andersson","Rukoushuoneenkuja 57
70590 Turku"
"Antti Lindgren","Saanatunturinkuja 4
83206 Kökar"
"Helena Simonen","Ehrensvärdinkatu 875
77158 Kuusamo"
"Paavo Eronen","Runokylänkatu 73
38236 Pomarkku"
"Juho Määttä-Väänänen","Saparontie 3
09652 Halsua"
"Sirkka Kulmala","Immolankuja 73
50978 Kannus"
"Jaakko Koskinen","Harakkamyllynpolku 507
77097 Värdö"
"Tarja Hämäläinen-Salonen","Franzéninbulevardi 25
31304 Sievi"
"Antero Turunen","Granfeltinpolku 7
41330 Karstula"
"Aimo Laitinen-Autio","Iltaruskontie 9
54621 Reisjärvi"
"Katja Niskanen","Maneesipolku 45
90068 Saarijärvi"
"Emilia Kumpulainen","Runoilijankatu 6
98277 Vaasa"
"Sofia Kurki-Mäki","Immolankatu 97
75777 Pudasjärvi"
"Johannes Hiltunen-Nieminen","Bysantinpolku 3
98225 Enonkoski"
"Kalevi Karhunen-Hämäläinen","Ylänkötie 48
28807 Pornainen"
"Mikael Heikkinen","Yrttimaanpolku 854
63081 Kauhava"
"Pekka Järvinen","Jälsibulevardi 1
64771 Valkeakoski"
"Pauli Salminen","Ormuskuja 905
96465 Veteli"
"Marita Laakkonen-Kankaanpää","Niitynperänkuja 8
94093 Finström"
"Aimo Niskanen-Kivistö","Urkurintie 4
16695 Eura"
"Ville Nousiainen","Laakavuorenbulevardi 74
20476 Toholampi"
"Antero Taskinen","Ahdekaunokintie 74
50749 Pelkosenniemi"
"Eero Luukkonen","Castréninpolku 54
00470 Kitee"
"Uolevi Kivistö","Ida Ekmanin katu 493
36190 Merijärvi"
"Sofia Salmi","Haravakuja 93
20093 Nivala"
"Riitta Voutilainen","Dosentintie 155
01202 Pukkila"
"Tuomo Pajunen","Gotlanninbulevardi 57
66023 Janakkala"
"Antti Mäkelä","Haaksitie 414
92557 Ylitornio"
"Susanna Anttonen","Lukkarimäenkuja 06
77097 Nivala"
"Aino Anttila","Sadekatu 9
67799 Kemiönsaari"
"Marika Paavilainen","Purjetuulenbulevardi 122
73206 Ylitornio"
"Juhani Nieminen","Uussillankuja 376
82582 Utajärvi"
"Irmeli Kärkkäinen","Yllästunturinkatu 46
37885 Kalajoki"
"Kyllikki Alanko","Järkälekuja 79
51910 Leppävirta"
"Lotta Salminen-Ahola","Iltaruskontie 75
97549 Somero"
"Johannes Haapanen-Heino","Dunckerinkatu 8
03886 Kannus"
"Satu Seppänen","Sahaajantie 98
85651 Kemi"
"Lauri Karvonen","Yrjönpolku 500
32569 Leppävirta"
"Antero Ahola","Jämsänbulevardi 136
15442 Koski Tl"
"Aino Huhtala","Kimalaistie 907
28431 Kivijärvi"
"Akseli Palomäki","Gadolinintie 32
51109 Ruovesi"
"Juhani Leino-Alatalo","Runokyläntie 038
70524 Humppila"
"Sonja Kumpulainen","Rapolankatu 514
99382 Rusko"
"Jaakko Koistinen-Paavola","Urheilutie 39
02770 Evijärvi"
"Elina Sillanpää","Immolanbulevardi 36
26953 Viitasaari"
"Katri Hämäläinen","Aidasmäenpolku 37
64175 Tampere"
"Minna Nurmi-Kivelä","Pyörökivenpolku 8
66265 Lemi"
"Taisto Taipale-Koskela","Haaksitie 449
09112 Rauma"
"Lasse Mattsson","Vaakalinnunbulevardi 0
06290 Puumala"
"Aino Leppänen","Granfeltinpolku 700
49810 Lappeenranta"
"Ellen Lahti","Caloniuksenpolku 246
22915 Järvenpää"
"Pekka Lehtinen","Osmonkuja 57
71251 Pälkäne"
"Akseli Räsänen-Juvonen","Pyörökiventie 8
95340 Tyrnävä"
"Terttu Laitinen","Wäinö Aaltosen tie 93
89348 Rantasalmi"
"Sirkka Miettinen","Saramäenbulevardi 23
98878 Urjala"
"Hillevi Ylinen","Gunillantie 4
56896 Kannonkoski"
"Jaana Jauhiainen-Huttunen","Santerlankatu 37
35083 Laihia"
"Armas Tolvanen","Harakkamyllyntie 79
82460 Laitila"
"Marketta Hokkanen-Heinonen","Usvatie 57
61165 Porvoo"
"Aino Lindroos-Lehto","Elimäenkatu 105
13365 Lempäälä"
"Eemeli Karlsson","Jätkäsaarenkatu 74
39409 Sipoo"
"Anssi Rantanen-Mustonen","Osmonpolku 1
86716 Koski Tl"
"Julius Karlsson","Tuulilasinkatu 87
31755 Leppävirta"
"Juhani Jaakkola-Hokkanen","Niittylänpolku 7
38582 Liperi"
"Tapani Valtonen","Castréninkuja 1
69539 Rauma"
"Matias Ollila","Nils Westermarckin tie 570
67350 Tohmajärvi"
"Vesa Ojala","Fahlanderin puistopolku 2
27157 Pello"
"Kaija Hiltunen","Runonlaulajanbulevardi 849
60177 Loimaa"
"Marja Nieminen","Runoilijantie 9
07223 Riihimäki"
"Aino Mattila","Vanha Rajakuja 727
75794 Jämsä"
"Margareta Ojanen","Kilpolankatu 26
31925 Lappajärvi"
"Kai Kokko","Nordenskiöldinbulevardi 1
06125 Kempele"
"Viljami Kettunen","Sapilaspolku 79
18234 Humppila"
"Petteri Kulmala","Franzéninpolku 241
80728 Ylivieska"
"Pekka Jalonen","Salavakatu 018
51383 Viitasaari"
"Juha Korhonen","Iltaruskonkatu 239
79650 Luoto"
"Julia Määttä-Lappalainen","Wavulininbulevardi 15
94257 Sund"
"Leena Pietilä-Miettinen","Tuulilasintie 8
88598 Varkaus"
"Sari Turunen","Kimmonpolku 60
04921 Kruunupyy"
"Aino Moilanen","Franzéninkatu 66
67085 Kempele"
"Antti Kangas","Fabianinkuja 782
75987 Askola"
"Elina Heikkinen-Laukkanen","Uussillantie 38
78861 Seinäjoki"
"Aila Nurmi","Kimmonkuja 778
36539 Siilinjärvi"
"Pasi Komulainen-Kangas","Katajaharjunkatu 9
15771 Föglö"
"Jenni Rautiainen-Viitanen","Ahvenkoskenkuja 71
87373 Taivalkoski"
"Tapani Kukkonen","Veräjämäenpolku 402
87603 Lumparland"
"Jaakko Kulmala","Werner Wirénin kuja 05
47707 Kirkkonummi"
"Maarit Järvenpää-Härkönen","Capellan puistopolku 427
87180 Kristiinankaupunki"
"Sari Hyvärinen-Auvinen","Ahomäenkatu 19
38270 Lumparland"
"Aino Peltola","Waseniuksen puistopolku 68
76113 Pirkkala"
"Juhani Rantanen","Mamsellimyllynkuja 4
82316 Ypäjä"
"Karoliina Juntunen-Lipponen","Kiitäjänkatu 0
16456 Hämeenlinna"
"Maria Nyman","Veräjämäenkuja 9
39779 Nurmes"
"Tellervo Lindberg","Laajasalonbulevardi 159
14273 Mäntsälä"
"Kalevi Vainio-Mäkinen","Vaakalinnunkatu 900
70926 Tornio"
"Elias Eskelinen","Salamabulevardi 156
14412 Ii"
"Mika Savolainen","Taavintie 1
35590 Kemi"
"Taina Miettinen-Saarinen","Dosentinkatu 1
60345 Lestijärvi"
"Anna-Liisa Väisänen","Fallpakanbulevardi 4
68008 Kemiönsaari"
"Airi Takala","Verkkokuja 202
47922 Toivakka"
"Heidi Saarela","Betonitie 114
12723 Soini"
"Irmeli Ronkainen","Saanatunturinkuja 7
82893 Geta"
"Helena Lehto-Karvonen","Ahomäenkatu 3
92330 Ranua"
"Helena Kainulainen","Ieskuja 7
20766 Kärkölä"
"Ilmari Ronkainen","Jägerhornintie 5
54317 Kannonkoski"
"Juhani Kokkonen","Rapolanpolku 29
19788 Pertunmaa"
"Tapani Lahtinen","Gunillantie 28
74002 Rautjärvi"
"Sirpa Kangas-Heino","Haapakuja 81
01297 Uurainen"
"Ida Korpela-Laakso","Böstaksentie 372
10371 Enontekiö"
"Airi Ylinen-Rytkönen","Agricolankatu 50
15003 Keitele"
"Olavi Repo","Gunnel Nymanin katu 414
59583 Harjavalta"
"Elina Salminen","Tyynylaavanpolku 16
20285 Vaasa"
"Elina Kinnunen","Jättiläisentie 66
83233 Äänekoski"
"Jani Pitkänen-Mäkelä","Gunillanbulevardi 767
36261 Kihniö"
"Sini Hänninen","Orisaarenkuja 207
42339 Ristijärvi"
"Ritva Ranta","Gunillantie 757
98058 Kirkkonummi"
"Riitta Aho-Ryynänen","Gotlanninpolku 15
69868 Salo"
"Veikko Haapala","Haahkapolku 3
98369 Siikajoki"
"Tuija Vainio","Nelikkokuja 101
22355 Rusko"
"Aki Lehtonen","Ilomäenpolku 1
67617 Myrskylä"
"Kristiina Syrjälä-Ahola","Kukkaniityntie 4
13951 Naantali"
"Ossi Hokkanen","Kukkaniitynkuja 93
75941 Turku"
"Timo Kangas","Betonibulevardi 80
24752 Liperi"
"Ilmari Lindberg","Elimäenbulevardi 236
57774 Ii"
"Maria Oikarinen","Yrjö-Koskisen bulevardi 7
78865 Raahe"
"Venla Salonen-Voutilainen","Otermanpolku 76
55391 Sodankylä"
"Sari Korhonen","Yläkaskenpolku 2
24309 Suonenjoki"
"Tiina Lehto","Vesalanpolku 8
92674 Vimpeli"
"Eila Kinnunen","Oraskuja 0
20391 Vihti"
"Aki Ronkainen","Wallininkatu 4
21316 Imatra"
"Helena Aho","Rukoushuoneenpolku 3
22222 Kaarina"
"Marianne Moisio","Ilomäentie 49
00207 Ruokolahti"
"Kaarina Vartiainen","Niemikuja 10
57638 Kerava"
"Tarja Laukkanen","Jägerhornintie 215
04460 Virolahti"
"Mikael Väänänen-Savolainen","Wecksellinpolku 9
04606 Seinäjoki"
"Piia Suominen","Laajasalonpolku 79
34341 Ylöjärvi"
"Helmi Karjalainen-Pakarinen","Jyväkuja 06
79822 Siikainen"
"Oskari Airaksinen","Gneissikuja 775
57414 Sodankylä"
"Matias Koskinen","Orvokkitie 8
08025 Luoto"
"Aleksandra Kokko","Wavulinintie 150
13151 Miehikkälä"
"Tuula Karhu","Salamakuja 77
28237 Oripää"
"Heidi Nevala","Tuohikoivunkatu 4
87135 Hamina"
"Roope Mattila-Kauppinen","Porintie 35
69246 Ilmajoki"
"Leena Antikainen-Savolainen","Harbonpolku 07
59186 Karijoki"
"Jarkko Nyman","Harakkamyllynpolku 6
49080 Vöyri"
"Jaakko Hautamäki","Taavetti Laitisen bulevardi 148
44574 Somero"
"Elina Kyllönen","Degermosanbulevardi 1
65820 Miehikkälä"
"Marjukka Hänninen","Ylä-Fallin polku 50
65200 Säkylä"
"Aleksanteri Jokinen","Ilmattarenpolku 47
98543 Lohja"
"Aleksandra Miettinen","Jälsikuja 834
88727 Sulkava"
"Eemeli Viitala","Rukkilankuja 2
33543 Kitee"
"Ilmari Rissanen","Bysantinkuja 9
39266 Heinola"
"Aurora Kukkonen","Rantavarastonkatu 4
76021 Iisalmi"
"Heikki Jokinen-Mustonen","Neonbulevardi 9
96436 Hattula"
"Olavi Saarela","Purjetuulenpolku 7
33160 Jokioinen"
"Osmo Järvelä","Bysantinbulevardi 10
01134 Teuva"
"Kalervo Sihvonen","Puusepänbulevardi 05
99546 Hattula"
"Maria Salminen","Oravatie 3
12783 Hirvensalmi"
"Marjaana Hokkanen","Adolf Lindforsin katu 3
10620 Haapavesi"
"Aleksanteri Karvonen-Saarinen","Ostostie 72
25638 Rautalampi"
"Helena Eklund","Pyörökivenbulevardi 703
05147 Mynämäki"
"Tellervo Tuominen","Laurinniitynkatu 4
06966 Keitele"
"Elmeri Häkkinen","Otermantie 34
20840 Kihniö"
"Kristiina Rinne","Jännebulevardi 376
43412 Kuortane"
"Kristian Hautala-Hämäläinen","Mannerheimintie 568
32402 Aura"
"Eino Hämäläinen","Franzéninkatu 2
54786 Järvenpää"
"Tapio Saarela","Sadetie 3
97722 Kotka"
"Outi Leinonen","Vesalantie 116
72697 Mustasaari"
"Tapio Tuominen","Caloniuksenpolku 651
87415 Pöytyä"
"Aleksanteri Valtonen","Harbonkatu 5
23129 Koski Tl"
"Maria Väisänen","Haapabulevardi 1
69445 Jokioinen"
"Antero Partanen","Ida Ekmanin katu 202
92390 Luumäki"
"Mikko Tuominen","Capellan puistotie 179
01128 Vesilahti"
"Kaarina Leino-Alanen","Gunnel Nymanin katu 758
07347 Maarianhamina"
"Susanna Ollila","Jännekuja 640
71205 Koski Tl"
"Tapani Niemelä","Laakavuorenpolku 9
37155 Maarianhamina"
"Ilmari Laine","Porinpolku 4
54991 Muurame"
"Helmi Korhonen","Veräjämäenpolku 42
19571 Jokioinen"
"Juha Rissanen","Mamsellimyllynkatu 82
62359 Kivijärvi"
"Aleksi Heino","Laakavuorenpolku 55
46657 Loviisa"
"Joona Haataja-Tikka","Haagan pappilanpolku 64
88510 Kemiönsaari"
"Mervi Niskanen","Yrjö-Koskisen bulevardi 25
11578 Pyhtää"
"Sanna Eronen-Korhonen","Purjetuulenkuja 6
65136 Ilomantsi"
"Olavi Nieminen","Fredrikinbulevardi 4
33888 Maarianhamina"
"Anneli Niemelä","Taavetti Laitisen bulevardi 0
00158 Kaustinen"
"Jere Makkonen","Waseniuksen puistobulevardi 160
31548 Muhos"
"Johannes Hietala-Kärkkäinen","Fallkullanpolku 8
69981 Kouvola"
"Kaarina Liimatainen-Kainulainen","Döbelninkatu 245
43471 Mänttä-Vilppula"
"Marianne Viitanen","Iespolku 91
21647 Kyyjärvi"
"Aleksi Hokkanen","Kuhankeittäjänkatu 248
53545 Suomussalmi"
"Hannu Jaatinen","Harakkamyllynbulevardi 95
21404 Orivesi"
"Katriina Sihvonen","Lukkarimäenkatu 708
08921 Ruovesi"
"Ida Markkanen","Jättiläisenpolku 6
79486 Puolanka"
"Elisabet Harju","Degermosanpolku 44
77409 Rantasalmi"
"Maria Saarela","Harakkamyllynpolku 44
72122 Rääkkylä"
"Milla Peltola-Leino","Agnetantie 649
73558 Loppi"
"Tuulikki Jääskeläinen","Wäinö Aaltosen bulevardi 80
80083 Masku"
"Heidi Erkkilä","Uunilinnunkatu 48
56301 Puumala"
"Ida Turunen-Paananen","Dosentinkatu 091
65638 Kumlinge"
"Aleksi Korhonen","Malminkartanonkatu 8
94014 Vimpeli"
"Ismo Saastamoinen","Rukkilanpolku 3
55129 Juuka"
"Emil Laine","Ilkankatu 23
86231 Polvijärvi"
"Johanna Kuosmanen","Kiitäjänpolku 00
22567 Helsinki"
"Ulla Koskela","Rukoushuoneentie 5
44897 Pielavesi"
"Tapio Koskela","Jännepolku 097
65015 Pomarkku"
"Jere Gustafsson-Jokinen","Veropellontie 38
69819 Ristijärvi"
