"Ada Bazydło"|"ul. Jagodowa 52
84-438 Żyrardów"
"pan Nataniel Paździora"|"ulica Żurawia 86/19
62-867 Kwidzyn"
"Julita Krakowczyk"|"ulica Sikorskiego 00
03-769 Kraśnik"
"Józef Zbrożek"|"plac Kołłątaja 65/26
19-428 Zgorzelec"
"Alan Szmagaj"|"pl. Witosa 77/91
05-478 Kościerzyna"
"Cyprian Maruszczak"|"aleja Okulickiego 21
20-133 Sandomierz"
"pani Inga Moniuszko"|"ul. Targowa 71/43
34-772 Krosno"
"Norbert Tylus"|"al. Rynek 652
47-157 Żywiec"
"Olga Warych"|"pl. Sikorskiego 463
82-434 Rumia"
"Ada Mosur"|"al. Armii Krajowej 288
43-705 Olkusz"
"pan Aleksander Tatarek"|"ul. Przemysłowa 211
88-813 Zgorzelec"
"Maksymilian Basa"|"ul. Zakątek 21
55-590 Olsztyn"
"Maciej Dzienniak"|"ulica Kusocińskiego 558
23-659 Jaworzno"
"Dawid Szajna"|"aleja Rejtana 77/64
38-807 Cieszyn"
"pani Ewa Suchta"|"ul. Słowicza 46/07
90-438 Sieradz"
"Damian Chłąd"|"ul. Jagiellońska 15/77
71-945 Zduńska Wola"
"Karol Hojka"|"plac Narutowicza 097
39-228 Świebodzice"
"Arkadiusz Karkut"|"ulica Mieszka I 30
70-893 Wieluń"
"Jeremi Proch"|"ulica Wyzwolenia 61/15
32-608 Cieszyn"
"Ada Mądrzyk"|"ul. Nowowiejska 33/80
31-859 Ruda Śląska"
"Anna Maria Trąbka"|"ul. Jana Pawła II 83/07
12-042 Kraśnik"
"pani Adrianna Ryndak"|"pl. Bema 88/51
76-916 Lubartów"
"pani Blanka Sadlik"|"ulica Podwale 02
63-989 Głogów"
"Oliwier Duży"|"ulica Słonecznikowa 07/14
36-404 Wejherowo"
"Janina Budzeń"|"plac Wojska Polskiego 58
25-287 Wrocław"
"pan Hubert Kohut"|"al. Dąbrowskiej 45/11
47-966 Gorzów Wielkopolski"
"Krzysztof Piguła"|"al. Czarnieckiego 60/95
48-718 Inowrocław"
"pan Julian Luks"|"plac Bema 85
05-852 Chełm"
"Damian Spychaj"|"ulica Pułaskiego 703
95-484 Jastrzębie-Zdrój"
"Ada Smolec"|"aleja Krasickiego 38
59-277 Stargard Szczeciński"
"pani Bianka Grzeszkowiak"|"ulica Ściegiennego 943
05-263 Mielec"
"Maurycy Adrian"|"aleja Orzeszkowej 78/22
17-214 Świnoujście"
"Konrad Neugebauer"|"al. Wiatraczna 77
97-957 Przemyśl"
"pani Ewelina Pych"|"pl. Ściegiennego 42/57
17-488 Dzierżoniów"
"Szymon Lampa"|"aleja Średnia 68/77
45-700 Ostrowiec Świętokrzyski"
"Natan Pera"|"plac Czarnieckiego 848
25-725 Tarnów"
"pan Hubert Zapora"|"ulica Hutnicza 62
25-887 Katowice"
"Kajetan Darul"|"aleja Brzoskwiniowa 53/16
44-126 Dębica"
"Maurycy Ciuła"|"plac Szarych Szeregów 388
97-629 Jaworzno"
"Adam Aleksandrzak"|"ul. Bema 12/03
58-770 Kutno"
"Ksawery Kusa"|"ulica Koralowa 12
26-821 Oława"
"Tadeusz Domurad"|"plac Chełmońskiego 89
19-525 Wodzisław Śląski"
"pan Stefan Gasik"|"plac Gałczyńskiego 18/27
28-535 Jarosław"
"Alex Parafiniuk"|"plac Słowackiego 563
90-770 Police"
"Andrzej Albin"|"al. Bema 38
65-735 Opole"
"Aleks Grzesiek"|"ul. Robotnicza 38
11-352 Reda"
"Miłosz Klorek"|"ul. Azaliowa 666
75-202 Koszalin"
"Bianka Szyma"|"ul. Brzechwy 04
88-081 Śrem"
"pani Sara Żabka"|"ulica Starowiejska 98
10-548 Kłodzko"
"Adam Hus"|"al. Chełmońskiego 19/54
45-563 Myszków"
"Michał Jacak"|"al. Podwale 43
54-966 Bydgoszcz"
"Janina Nalewajko"|"pl. Popiełuszki 70
16-331 Oleśnica"
"Stefan Paprotny"|"ul. Podwale 37/28
29-321 Racibórz"
"Sebastian Stwora"|"al. Świerczewskiego 96/21
02-524 Bielsk Podlaski"
"Julianna Roda"|"plac Moniuszki 649
53-576 Łaziska Górne"
"Damian Drgas"|"ulica Paderewskiego 847
08-178 Lębork"
"pan Ignacy Sypień"|"ul. Kościuszki 03
70-421 Kościan"
"Krystian Bogumił"|"ul. Willowa 825
97-332 Szczytno"
"Melania Brachaczek"|"aleja Dolna 55/77
34-090 Czerwionka-Leszczyny"
"Adam Lindner"|"ul. Sawickiej 947
93-819 Żywiec"
"Borys Kosowicz"|"ulica Wyzwolenia 32/57
65-900 Września"
"pan Tomasz Wódka"|"plac Wieniawskiego 94
12-299 Turek"
"Robert Majzner"|"aleja Cedrowa 19
28-370 Szczytno"
"pan Ernest Drożdżal"|"ul. Lwowska 66/11
29-949 Sandomierz"
"Eliza Pacura"|"ul. Floriana 63
08-084 Olkusz"
"pani Justyna Lepak"|"ulica Jeziorna 21
72-708 Marki"
"Dorota Stojak"|"plac Korfantego 595
58-716 Zawiercie"
"Gaja Pokusa"|"ul. Żytnia 143
42-101 Legnica"
"Tola Nieścior"|"ul. Maja 910
34-385 Kraków"
"Adam Matwiejczyk"|"al. Orkana 99
07-007 Ostrowiec Świętokrzyski"
"Tadeusz Obst"|"pl. Piłsudskiego 359
21-800 Jelenia Góra"
"Inga Dzidek"|"pl. Fredry 662
34-788 Konin"
"Jędrzej Osiadacz"|"pl. Władysława Łokietka 992
16-099 Myszków"
"Ewelina Bakun"|"ul. Jana 417
56-732 Tychy"
"pani Ewa Baster"|"plac Wolności 737
03-405 Sosnowiec"
"Radosław Mizia"|"plac Stefana Batorego 57/61
09-551 Polkowice"
"pan Błażej Margas"|"ulica Andersa 17/33
14-030 Żary"
"Marika Michel"|"al. Ściegiennego 963
86-758 Jarocin"
"pan Dominik Jankowicz"|"aleja Kościuszki 40/81
31-651 Lubin"
"Adam Minkiewicz"|"aleja Kasprowicza 65
51-004 Wągrowiec"
"pani Julita Wojaczek"|"plac Korczaka 43
52-542 Elbląg"
"pani Justyna Gomuła"|"plac Wyzwolenia 425
95-830 Ostróda"
"Filip Łaszcz"|"ulica Skłodowskiej-Curie 79
55-624 Wałbrzych"
"Stefan Żyto"|"al. Wieniawskiego 94
02-963 Białystok"
"Roksana Jakubiuk"|"al. Rózana 24
99-326 Kluczbork"
"Karol Korda"|"aleja Czarnieckiego 53
96-833 Reda"
"Borys Zacharewicz"|"al. Długa 27/57
53-241 Płock"
"Eliza Mikłaszewicz"|"ul. Zacisze 763
89-361 Świecie"
"Aniela Dworniczak"|"pl. Skargi 06
90-312 Świdnik"
"Adam Nieszporek"|"plac Kruczkowskiego 087
31-241 Sosnowiec"
"pani Karina Szramka"|"pl. Maja 575
20-906 Sopot"
"pani Dorota Gadzała"|"al. Północna 30
41-283 Nowy Sącz"
"Alan Klus"|"plac Sikorskiego 180
70-748 Nowa Sól"
"Krystyna Dorawa"|"ul. Miła 56
04-698 Wieluń"
"Piotr Matynia"|"pl. Wyspiańskiego 75/47
97-640 Będzin"
"Alex Guściora"|"pl. Narutowicza 929
42-091 Wałbrzych"
"Patryk Gendek"|"ulica Krokusowa 495
92-352 Grudziądz"
"pan Piotr Żabierek"|"plac Nałkowskiej 16
68-498 Łódź"
"pani Urszula Ograbek"|"plac Grottgera 00
11-548 Mikołów"
"Adam Przystupa"|"aleja Asnyka 46/66
98-252 Inowrocław"
"Tadeusz Filiks"|"al. Długosza 81
05-313 Przemyśl"
"Krystyna Kukuczka"|"aleja Spacerowa 834
98-355 Chełm"
"Tobiasz Kukier"|"plac Szymanowskiego 93
48-011 Konin"
"pan Konrad Moneta"|"plac Partyzantów 71/11
39-603 Kętrzyn"
"Jerzy Cholewka"|"plac Solidarności 209
21-359 Zawiercie"
"Adrianna Piguła"|"aleja Prosta 91/58
75-787 Biłgoraj"
"Olga Kołaczyk"|"al. Czarnieckiego 016
25-164 Białogard"
"pani Roksana Stiller"|"plac Konstytucji 3 Maja 69/84
96-850 Lublin"
"Jacek Dzieża"|"aleja Skośna 97/40
40-145 Żywiec"
"Adam Rudolf"|"al. Słowackiego 71
72-460 Zawiercie"
"pani Ewa Kościukiewicz"|"plac Baczyńskiego 53
61-904 Kraśnik"
"Aleksander Budrewicz"|"ul. Bolesława Krzywoustego 71/43
62-545 Pszczyna"
"Ewelina Pietrasiak"|"plac Paderewskiego 90/17
65-647 Ostrów Wielkopolski"
"Ignacy Zubel"|"plac Solidarności 077
33-482 Suwałki"
"Stefan Węgrzyk"|"aleja Pułaskiego 160
12-681 Białystok"
"Wojciech Rejmer"|"plac Kraszewskiego 070
39-475 Otwock"
"Radosław Dytko"|"ulica Liliowa 88
51-059 Tomaszów Mazowiecki"
"Ernest Ciuba"|"pl. Wojska Polskiego 47/76
08-241 Łuków"
"Anna Maria Kubieniec"|"aleja Piękna 25/16
55-743 Gorlice"
"Adam Supeł"|"al. Kaliska 92/52
83-818 Rumia"
"Kalina Malesza"|"aleja Górna 845
18-185 Piła"
"Elżbieta Jędruch"|"ul. Świerczewskiego 999
96-830 Kętrzyn"
"Aurelia Chachuła"|"pl. Maja 55
84-803 Sopot"
"Nataniel Wojak"|"ulica Korfantego 54
06-740 Ciechanów"
"Lidia Drobnik"|"ul. Sawickiej 963
25-308 Białogard"
"Oskar Rut"|"ul. Wojciecha 09/42
40-360 Mińsk Mazowiecki"
"Andrzej Ciepluch"|"aleja Skargi 79
60-650 Ostrów Mazowiecka"
"Jacek Wawrzeńczyk"|"ul. Kusocińskiego 675
25-585 Grudziądz"
"Fabian Gryta"|"aleja Listopada 091
58-061 Wrocław"
"Adam Szoka"|"plac Malczewskiego 54/03
61-486 Marki"
"Rafał Dyrek"|"plac Świerczewskiego 72
24-735 Lębork"
"Blanka Kraszkiewicz"|"al. Kamienna 94/72
61-781 Puławy"
"pan Marcel Dziełak"|"plac Kopernika 92/16
10-248 Jelenia Góra"
"Jan Pracz"|"pl. Wieniawskiego 843
20-761 Świecie"
"pani Lidia Rezler"|"ulica Kasprowicza 795
87-331 Łomża"
"Monika Mamcarz"|"pl. Drzymały 968
70-031 Świdnica"
"pani Janina Kunda"|"ul. Bursztynowa 45/16
59-291 Bełchatów"
"Robert Majorczyk"|"al. Narutowicza 56
02-639 Krotoszyn"
"pan Olaf Wojnicz"|"ul. Kasztanowa 542
32-333 Pszczyna"
"Adam Wlaźlak"|"aleja Kościuszki 210
81-788 Reda"
"pan Franciszek Zagrodnik"|"ul. Rubinowa 74/94
76-057 Nysa"
"Robert Dzierwa"|"pl. Waryńskiego 67
26-154 Czechowice-Dziedzice"
"Antoni Mierzwiak"|"aleja Słowianska 61
43-198 Myszków"
"pan Błażej Musiała"|"al. Letniskowa 436
01-013 Śrem"
"Mateusz Boguta"|"aleja Tysiąclecia 507
89-995 Legnica"
"Cyprian Kasica"|"plac Fredry 65/58
67-804 Cieszyn"
"pani Ewa Grzesiek"|"ul. Wilcza 93
27-398 Kalisz"
"Eliza Brzeźniak"|"aleja Kolejowa 21/89
64-993 Białogard"
"pani Anita Mądro"|"pl. Bema 27
56-955 Wołomin"
"Adrian Chwedczuk"|"al. Mazowiecka 05/88
83-897 Zduńska Wola"
"pan Aleks Przewłoka"|"aleja Kościelna 69/86
64-813 Białystok"
"Albert Bernard"|"pl. Grottgera 93/63
25-506 Zgierz"
"Apolonia Nędzi"|"aleja Poziomkowa 741
55-019 Kalisz"
"Filip Szuta"|"al. Szpitalna 888
16-174 Warszawa"
"Kornelia Synak"|"al. Szymanowskiego 381
44-500 Wałcz"
"Lidia Hein"|"aleja Stefana Batorego 94/97
76-964 Inowrocław"
"Łukasz Domowicz"|"aleja Skargi 41/42
34-798 Wołomin"
"pani Aurelia Gamoń"|"al. Rycerska 62/53
70-193 Mikołów"
"Paweł Kanik"|"aleja Rynek 652
94-052 Oświęcim"
"Adrian Cybul"|"aleja Jaworowa 151
74-515 Myszków"
"Anastazja Jarema"|"pl. Traugutta 64/95
18-207 Włocławek"
"Angelika Chlipała"|"aleja Krzywa 254
08-234 Czechowice-Dziedzice"
"Tobiasz Dubel"|"al. Listopada 54
69-521 Brodnica"
"Jeremi Becker"|"ulica Czereśniowa 25/99
77-005 Biała Podlaska"
"Anna Maria Miszkurka"|"pl. Kruczkowskiego 96/51
87-743 Bydgoszcz"
"Dagmara Ślęczka"|"plac Skłodowskiej-Curie 59
79-282 Nysa"
"Aurelia Jagieło"|"al. Szarych Szeregów 84
80-841 Czechowice-Dziedzice"
"Sebastian Barej"|"plac Reja 78/36
37-601 Będzin"
"Alan Bik"|"pl. Armii Krajowej 19/12
72-223 Zgorzelec"
"Adrian Heller"|"al. Pocztowa 90
51-497 Polkowice"
"Sylwia Kurc"|"ulica Azaliowa 443
87-573 Nowa Sól"
"Justyna Wochna"|"ulica Długosza 090
37-301 Augustów"
"Sara Siewert"|"aleja Magnoliowa 70/99
23-606 Elbląg"
"Antoni Pruchnik"|"ulica Jastrzębia 61
66-895 Ruda Śląska"
"Urszula Czubaszek"|"pl. Rynek 56
16-189 Chorzów"
"pan Norbert Fiutak"|"ul. Kasprowicza 199
07-772 Biłgoraj"
"pani Nela Hejduk"|"pl. Kołłątaja 60/78
50-940 Iława"
"pani Róża Fechner"|"plac Broniewskiego 84/30
89-087 Legionowo"
"Kornel Dorobek"|"al. Grzybowa 418
24-292 Siedlce"
"Adrian Lampa"|"ul. Piłsudskiego 653
21-098 Lubin"
"Michał Mokwa"|"al. Asnyka 61
59-733 Rumia"
"pani Justyna Dyrek"|"aleja Waryńskiego 005
73-999 Olsztyn"
"pani Lidia Gryska"|"ul. Andersa 80/55
80-447 Dębica"
"Rozalia Mikiciuk"|"pl. Moniuszki 43/53
16-440 Bartoszyce"
"pani Rozalia Truchel"|"aleja Żeromskiego 273
57-746 Starachowice"
"Kalina Staniewicz"|"ulica Krasickiego 646
95-325 Turek"
"pan Marcin Kozok"|"plac Krasińskiego 82
96-153 Elbląg"
"Andrzej Prejs"|"pl. Kruczkowskiego 079
11-500 Ostrowiec Świętokrzyski"
"Marcin Kotala"|"ulica Brzechwy 88
62-935 Nysa"
"Adrian Majzner"|"al. Słonecznikowa 099
23-814 Giżycko"
"Aleksander Członka"|"aleja Klonowa 90
27-817 Środa Wielkopolska"
"Tymon Ferdyn"|"aleja Powstańców 001
99-308 Tarnów"
"pan Maks Humeniuk"|"al. Polna 13/70
79-860 Kętrzyn"
"Kalina Mitera"|"ulica Waryńskiego 344
54-131 Tarnów"
"Aleks Wolańczyk"|"ulica Kusocińskiego 394
84-648 Turek"
"pan Artur Chowaniak"|"aleja Glówna 88
53-926 Stargard Szczeciński"
"Ada Ośko"|"ul. Daszyńskiego 948
90-534 Legnica"
"Hubert Augustynek"|"al. Lipca 36
59-048 Kołobrzeg"
"Józef Torbus"|"aleja Jana Pawła II 16/75
50-804 Bochnia"
"Adrian Olko"|"plac Pułaskiego 40
84-770 Lubin"
"Leon Kurbiel"|"ulica Wałowa 40/02
17-343 Piła"
"Sylwia Uliczka"|"plac Konstytucji 3 Maja 58
30-920 Gdynia"
"Kajetan Fronia"|"pl. Wojciecha 36/89
03-557 Świdnik"
"Cyprian Potok"|"pl. Wojciecha 38
98-769 Płońsk"
"Adrianna Neubauer"|"plac Baczyńskiego 23
01-065 Giżycko"
"Kaja Ziółko"|"ulica Przechodnia 169
65-982 Bydgoszcz"
"Mariusz Pernak"|"plac Jana Sobieskiego 22/81
40-241 Nowa Ruda"
"Robert Wojtalewicz"|"pl. Konopnickiej 704
73-792 Ostrołęka"
"pan Andrzej Kazimierczyk"|"ul. Jaśminowa 21
13-615 Łódź"
"Adrian Pacholik"|"pl. Piłsudskiego 34/14
63-683 Gdynia"
"Marika Stypuła"|"ulica Długosza 434
30-617 Jastrzębie-Zdrój"
"pani Sylwia Musiała"|"aleja Lotnicza 998
70-829 Bochnia"
"Karol Sołoducha"|"aleja Orzeszkowej 59/26
05-354 Kraków"
"Melania Dreszer"|"ulica Wojciecha 74/43
73-444 Czeladź"
"Artur Mysior"|"al. Krasińskiego 069
47-969 Zgorzelec"
"pan Hubert Lesner"|"ulica Waryńskiego 70
43-625 Czechowice-Dziedzice"
"Urszula Sip"|"pl. Szarych Szeregów 51/21
53-890 Leszno"
"Dominik Sznura"|"aleja Rubinowa 53
85-955 Tarnowskie Góry"
"Ewelina Migda"|"ulica Jadwigi 451
84-664 Konin"
"Adrian Pasierbek"|"al. Mazowiecka 813
99-372 Bełchatów"
"Dariusz Kut"|"ulica Sosnowa 04/43
24-594 Ruda Śląska"
"Jędrzej Berendt"|"ulica Hallera 997
90-039 Zamość"
"Malwina Kołodziejak"|"plac Sienkiewicza 878
47-948 Brzeg"
"pan Cyprian Oleszczak"|"ulica Sokola 81/82
14-884 Lubartów"
"pan Damian Giezek"|"al. Plater 76
24-166 Bochnia"
"Artur Koronkiewicz"|"ulica Zaciszna 59
18-988 Tarnów"
"Robert Sugier"|"ulica Wrzosowa 84
26-183 Radomsko"
"Ada Dudczak"|"aleja Magnoliowa 482
05-055 Swarzędz"
"Julian Samson"|"ulica Wypoczynkowa 42/80
83-367 Kutno"
"Adrian Ładniak"|"ulica Konarskiego 11/39
05-507 Ciechanów"
"Tola Siwka"|"pl. Traugutta 625
45-564 Bochnia"
"Fabian Cogiel"|"plac Niepodległości 21/61
51-413 Cieszyn"
"Radosław Hejna"|"al. Kruczkowskiego 70
24-453 Brzeg"
"Ernest Wojtanowicz"|"plac Wróblewskiego 220
85-296 Jelenia Góra"
"Adrianna Zysk"|"aleja Kopernika 71
12-526 Świecie"
"Szymon Schubert"|"al. Kołłątaja 449
61-960 Sanok"
"pani Nela Hyjek"|"pl. Piłsudskiego 99
16-918 Ruda Śląska"
"Daniel Sławik"|"al. Kasprowicza 03
20-530 Łódź"
"pan Konstanty Bryczek"|"pl. Gałczyńskiego 33/51
63-157 Konin"
"Adrianna Bejnarowicz"|"al. Sadowa 773
02-137 Jaworzno"
"pani Gaja Dziopa"|"ulica Sawickiej 07
99-886 Czechowice-Dziedzice"
"Sara Mielcarz"|"pl. Sienkiewicza 60/78
61-990 Legnica"
"Bruno Ubysz"|"ul. Jałowcowa 695
84-194 Rumia"
"Arkadiusz Iskierka"|"al. Jarzębinowa 87
11-548 Siemianowice Śląskie"
"Alex Dziuda"|"al. Szczęśliwa 47/39
71-814 Starachowice"
"Dorota Jarczyk"|"al. Grottgera 40/41
80-945 Lublin"
"pan Leonard Szkatuła"|"ul. Zdrojowa 81
29-210 Pabianice"
"Olga Królikiewicz"|"plac Wojska Polskiego 889
93-291 Gliwice"
"pani Natasza Drygała"|"plac Waryńskiego 73
29-013 Bełchatów"
"Adrianna Deryło"|"ulica Bolesława Chrobrego 009
19-167 Chełm"
"Urszula Zięciak"|"pl. Matejki 26
99-613 Sosnowiec"
"pani Monika Jaszczur"|"ulica Chopina 33
34-271 Nowy Dwór Mazowiecki"
"Natasza Rosłon"|"ulica Wierzbowa 05
43-418 Wejherowo"
"Karol Malcherek"|"aleja Władysława Jagiełły 19/06
05-441 Pruszków"
"Bartek Kózka"|"al. Prusa 82/16
32-190 Gdynia"
"pani Marcelina Faruga"|"al. Poniatowskiego 18/94
05-457 Tomaszów Mazowiecki"
"pani Sara Milej"|"pl. Długosza 51/28
83-589 Jaworzno"
"pan Stefan Szyca"|"ulica Jana Sobieskiego 85/23
64-850 Otwock"
"Ernest Cyganik"|"pl. Stefana Batorego 65
79-951 Bolesławiec"
"Adrianna Jonczyk"|"pl. Skargi 23/98
51-868 Wrocław"
"pan Mikołaj Niedbał"|"ulica Asnyka 68
12-695 Rumia"
"Stefan Jessa"|"pl. Sienkiewicza 000
11-058 Brzeg"
"Karina Jędraszek"|"aleja Głowackiego 05/49
37-962 Sochaczew"
"Angelika Nazar"|"ulica Lipowa 81/73
61-177 Bydgoszcz"
"Fabian Godzisz"|"pl. Chopina 69
33-383 Lubliniec"
"Kaja Chwalisz"|"ul. Mała 18/52
53-707 Gorzów Wielkopolski"
"Konstanty Warchał"|"pl. Paderewskiego 179
78-477 Wałcz"
"Róża Błażejczak"|"pl. Stefana Batorego 64
72-440 Nysa"
"Leon Browarczyk"|"plac Traugutta 68/70
55-329 Ostrołęka"
"Adrianna Kuster"|"plac Tuwima 13
96-893 Zawiercie"
"Agnieszka Baś"|"plac Bolesława Krzywoustego 120
27-190 Dębica"
"Lidia Paliga"|"ul. Paderewskiego 22/37
17-305 Stalowa Wola"
"Gustaw Florian"|"pl. Ściegiennego 06
55-239 Skawina"
"Lidia Kurc"|"plac Długosza 420
78-734 Białogard"
"pani Ewa Ufniarz"|"ul. Czarnieckiego 150
11-870 Chrzanów"
"Dawid Galon"|"plac Skłodowskiej-Curie 17/07
57-732 Środa Wielkopolska"
"pani Tola Mały"|"plac Skargi 57
51-895 Racibórz"
"pani Ewelina Kozieja"|"plac Reja 844
92-993 Ostrów Mazowiecka"
"Igor Herda"|"ul. Starowiejska 18/23
47-437 Bochnia"
"Adrianna Lisak"|"al. Rataja 82
08-349 Czerwionka-Leszczyny"
"Michał Heller"|"ul. Jana 846
08-173 Łódź"
"Mikołaj Sromek"|"plac Korczaka 68/68
54-742 Kwidzyn"
"Damian Kłoczko"|"ulica Sawickiej 20
03-225 Polkowice"
"Oliwier Kozubal"|"aleja Fabryczna 61/74
02-118 Kielce"
"Wiktor Sopata"|"plac Powstańców Wielkopolskich 071
16-107 Czerwionka-Leszczyny"
"Natan Wacławiak"|"pl. Kraszewskiego 814
74-120 Kołobrzeg"
"Maks Kłósek"|"aleja Tysiąclecia 69/87
70-572 Wągrowiec"
"Kazimierz Płócienniczak"|"pl. Broniewskiego 63/13
21-656 Zakopane"
"pan Ignacy Stupak"|"aleja Poznańska 96
78-376 Polkowice"
"Adrianna Strzała"|"al. Konarskiego 60
69-466 Nowa Sól"
"Bianka Trzpil"|"ulica Jana Pawła II 41/25
90-640 Opole"
"Alan Hewelt"|"ul. Śląska 11
52-097 Sieradz"
"Ryszard Tarach"|"al. Pogodna 097
71-489 Brzeg"
"Monika Szkoła"|"ul. Borowa 56
61-591 Wejherowo"
"Kajetan Oziębło"|"plac Jana III Sobieskiego 402
97-693 Malbork"
"Artur Grygorowicz"|"ulica Broniewskiego 24/65
48-661 Kwidzyn"
"pan Tomasz Niedośpiał"|"ul. Piwna 295
56-267 Jarocin"
"pan Karol Samol"|"ul. Hallera 397
98-618 Bielsko-Biała"
"Eliza Maćczak"|"aleja Dąbrowskiej 885
83-049 Szczecinek"
"Agnieszka Furgał"|"pl. Piłsudskiego 05/88
45-270 Warszawa"
"Jan Gryciuk"|"aleja Kruczkowskiego 71
14-817 Grodzisk Mazowiecki"
"Nataniel Pikula"|"al. Promienna 32/36
32-012 Malbork"
"pani Sylwia Mielke"|"plac Jana Pawła II 99
84-270 Biała Podlaska"
"pan Antoni Wilma"|"aleja Rybacka 003
84-149 Pszczyna"
"Nela Suchenek"|"ulica Wojska Polskiego 184
12-132 Biała Podlaska"
"Mateusz Darłak"|"aleja Zdrojowa 91
71-377 Pruszcz Gdański"
"Anastazja Szumacher"|"ul. Żeglarska 77/76
75-971 Tychy"
"Szymon Habdas"|"ul. Łąkowa 565
95-369 Kędzierzyn-Koźle"
"Maciej Ledzion"|"aleja Skargi 842
30-760 Zduńska Wola"
"Agnieszka Graboń"|"pl. Drzymały 53
09-687 Wałbrzych"
"Radosław Mila"|"aleja Matejki 571
34-588 Ostróda"
"Mikołaj Pokrzywa"|"ul. Piaskowa 88
15-825 Jelenia Góra"
"pani Kornelia Świerkosz"|"ul. Listopada 58/18
34-816 Krotoszyn"
"Mariusz Szmurło"|"pl. Moniuszki 19
07-800 Bełchatów"
"Krystian Jędral"|"plac Dąbrowskiej 684
30-393 Zduńska Wola"
"Tadeusz Bytner"|"ulica Andersa 43/49
86-736 Nowy Dwór Mazowiecki"
"Arkadiusz Antończak"|"aleja Głogowa 22
70-991 Kielce"
