"Ada Balcewicz","ul. Miłosza 613
53-927 Chojnice"
"Adam Fudalej","pl. Broniewskiego 05/97
56-049 Krotoszyn"
"pani Marika Łaś","al. Powstańców 963
35-672 Swarzędz"
"Nikodem Margas","plac Świerczewskiego 98
26-904 Ostróda"
"Sebastian Watras","plac Żeromskiego 181
99-337 Łódź"
"Roksana Fikus","al. Borówkowa 40
07-717 Szczecinek"
"Dominik Litwa","al. Szpitalna 36/25
92-738 Bochnia"
"Rozalia Drela","al. Rzemieślnicza 50
80-754 Chełm"
"Maurycy Drobek","ul. Kasztanowa 985
38-795 Bolesławiec"
"pani Angelika Biesaga","plac Ściegiennego 03
97-874 Sochaczew"
"Tadeusz Czermak","plac Konopnickiej 69
74-878 Lublin"
"Adam Gołofit","plac Skłodowskiej-Curie 495
48-316 Chrzanów"
"Ewelina Faryna","ulica Orzeszkowej 73
48-542 Skarżysko-Kamienna"
"Melania Pilich","al. Stroma 71
92-327 Legionowo"
"pan Natan Amanowicz","plac Gałczyńskiego 40
49-911 Łódź"
"pani Aurelia Kubina","al. Drzymały 201
59-858 Żary"
"pani Kaja Cholewka","pl. Waryńskiego 50
50-330 Sieradz"
"pan Jan Siemion","al. Daleka 60/83
42-922 Jarosław"
"Cyprian Parda","ul. Kasprowicza 33/86
68-397 Olkusz"
"pani Kaja Lipowicz","aleja Jana Sobieskiego 200
03-672 Mysłowice"
"pani Kaja Gryszkiewicz","ul. Chmielna 25
26-901 Inowrocław"
"Adam Krajniak","ulica Kolejowa 53/54
26-489 Kutno"
"Cezary Bejma","al. Mała 76
25-365 Nowy Sącz"
"pani Elżbieta Wiech","ul. Hutnicza 568
01-061 Nowa Ruda"
"Julita Matejuk","ul. Dąbrowskiej 14
58-013 Radom"
"Aurelia Duczmal","ul. Makowa 56/73
01-872 Jastrzębie-Zdrój"
"Ewelina Kuliberda","aleja Porzeczkowa 852
65-950 Mława"
"Gustaw Wawrzyńczyk","pl. Wyzwolenia 488
81-611 Włocławek"
"Lidia Klinger","pl. Sucharskiego 12
35-619 Dąbrowa Górnicza"
"Maksymilian Ulfik","ul. Kossaka 92
15-034 Iława"
"pani Karina Rozynek","ul. Witosa 92/40
01-154 Siedlce"
"Adam Kucharz","al. Kilińskiego 928
72-664 Elbląg"
"Dagmara Durczok","aleja Konarskiego 29
46-131 Chojnice"
"Kamil Zdonek","ulica Fredry 712
04-399 Mielec"
"pani Julianna Zasępa","al. Szafirowa 05/37
26-769 Chojnice"
"Antoni Ofiara","plac Wolności 91/99
56-238 Świętochłowice"
"pani Agnieszka Płodzień","al. Jana Sobieskiego 46/98
59-468 Grodzisk Mazowiecki"
"Mateusz Iciek","ul. Liliowa 00
20-239 Czerwionka-Leszczyny"
"Tobiasz Dziadura","plac Jana Pawła II 49/99
40-989 Jastrzębie-Zdrój"
"Sandra Heczko","pl. Korczaka 42/18
27-367 Oława"
"Daniel Szymocha","al. Polna 72
37-344 Włocławek"
"Adam Kuczaj","plac Powstańców Wielkopolskich 152
08-511 Świebodzice"
"pan Rafał Klinkosz","ul. Kaszubska 50
95-374 Wrocław"
"pan Tymon Pachnik","ul. Maja 07
43-257 Kraków"
"pan Filip Arendarczyk","pl. Żwirki i Wigury 591
20-403 Żary"
"Stefan Jewuła","ul. Słowicza 873
09-973 Kwidzyn"
"Sylwia Stasica","plac Norwida 48/82
92-479 Łomża"
"Marcel Szyca","pl. Kochanowskiego 06
80-844 Rzeszów"
"Andrzej Słobodzian","plac Głowackiego 125
61-403 Świdnik"
"Marika Fedak","pl. Kopernika 689
40-513 Stargard Szczeciński"
"pani Urszula Golczyk","pl. Broniewskiego 583
13-971 Piaseczno"
"Adam Lesner","pl. Waryńskiego 660
94-843 Oława"
"Patryk Freitag","ulica Zakole 68
07-592 Krotoszyn"
"Jakub Tryka","ulica Spółdzielcza 790
16-645 Siedlce"
"pani Rozalia Balcewicz","plac Gałczyńskiego 23
92-695 Lubliniec"
"Dominik Stanisławczyk","ulica Prusa 68/27
64-352 Bartoszyce"
"Stefan Goj","ulica Konarskiego 06/07
57-899 Leszno"
"Daniel Pyziak","aleja Szafirowa 52
50-705 Wągrowiec"
"Inga Uzar","pl. Lelewela 157
87-941 Chrzanów"
"Franciszek Żugaj","al. Sowia 57/65
39-955 Marki"
"Liwia Koziatek","ul. Widok 483
83-198 Mysłowice"
"Adam Strządała","aleja Szczęśliwa 33
36-537 Brzeg"
"Tymoteusz Giża","pl. Stycznia 114
55-239 Chełm"
"Dawid Makar","pl. Krasickiego 12/55
14-880 Legnica"
"pani Kornelia Janisz","ul. Sowia 063
51-804 Łomża"
"pani Blanka Hanusiak","plac Broniewskiego 69/26
65-996 Piastów"
"Sebastian Osipiuk","al. Lelewela 678
63-508 Zielona Góra"
"Gabriel Słobodzian","pl. Kościuszki 09/81
20-594 Świecie"
"Aleksander Miszta","aleja Norwida 65
40-296 Luboń"
"Anita Błaziak","aleja Źródlana 02/32
22-641 Warszawa"
"Filip Maksimowicz","aleja Cedrowa 84/51
42-857 Lębork"
"Adam Wojtyna","aleja Fredry 93/44
93-062 Świebodzice"
"Blanka Łepek","aleja Wrzosowa 88
98-687 Września"
"Kamil Jędruch","aleja Nałkowskiej 603
06-223 Brzeg"
"pani Rozalia Chachaj","al. Rejtana 611
85-929 Katowice"
"pan Piotr Opalach","aleja Tartaczna 531
19-753 Tarnowskie Góry"
"Marianna Moj","ulica Jana III Sobieskiego 20
71-894 Ełk"
"pan Jeremi Bejnarowicz","al. Wojciecha 89/18
27-683 Piekary Śląskie"
"Leonard Elert","plac Staszica 90
81-910 Reda"
"Maksymilian Rębiś","pl. Poniatowskiego 61/99
86-557 Dąbrowa Górnicza"
"Igor Korta","pl. Floriana 072
75-279 Inowrocław"
"Adam Żółkiewicz","pl. Szymanowskiego 23
41-947 Lubin"
"Nela Cisoń","al. Fabryczna 570
56-759 Polkowice"
"Klara Mosur","al. Stefana Batorego 23
77-991 Mielec"
"Mateusz Tyma","ulica Stefana Batorego 09
94-441 Skarżysko-Kamienna"
"pan Antoni Matraszek","al. Sikorskiego 134
79-963 Rzeszów"
"Aleks Stiller","pl. Jana III Sobieskiego 79
11-002 Siedlce"
"Wojciech Bancerz","al. Długosza 829
98-396 Zamość"
"Kaja Fierek","pl. Wojciecha 19
84-734 Łuków"
"pani Róża Olszowa","pl. Szarych Szeregów 62/85
24-656 Zabrze"
"pan Józef Ludwin","plac Słowackiego 61
54-220 Sopot"
"Adrian Banak","pl. Kusocińskiego 23
81-413 Wałbrzych"
"Ksawery Hermann","ul. Radosna 655
90-912 Oława"
"pan Konrad Mielke","aleja Miłosza 594
34-136 Świętochłowice"
"Łukasz Czerniakiewicz","aleja Wróblewskiego 27
14-531 Brzeg"
"Adrianna Zapora","aleja Wyszyńskiego 078
24-667 Bolesławiec"
"pan Mateusz Kuczaj","ul. Wschodnia 79
45-592 Żory"
"Marianna Ziętal","pl. Bolesława Krzywoustego 590
35-617 Ostrów Wielkopolski"
"Jakub Bartoszczyk","plac Jana Pawła II 00/72
50-385 Wejherowo"
"Kamila Koman","al. Pogodna 20/53
26-736 Łomża"
"pan Artur Andrys","al. Wspólna 35
87-423 Wałbrzych"
"Adrian Herbut","aleja Wojska Polskiego 59
28-433 Brodnica"
"Bruno Kielan","al. Okrężna 23/78
61-712 Chorzów"
"Gabriel Gamrat","al. Jasna 44
82-682 Wałcz"
"Łukasz Miszta","al. Środkowa 82
55-453 Środa Wielkopolska"
"pan Alan Bembenek","plac Kopernika 563
77-256 Łomża"
"pan Karol Truchan","al. Majowa 160
07-732 Ostrów Wielkopolski"
"Alex Pasiak","aleja Rycerska 47
11-643 Nysa"
"Anastazja Malisz","plac Staszica 93/14
91-502 Mińsk Mazowiecki"
"Dominik Glanc","plac Bema 56/48
02-717 Kołobrzeg"
"Stanisław Kapciak","al. Batalionów Chłopskich 28
02-286 Bochnia"
"Adrian Jakimiak","ulica Szymanowskiego 34/87
83-807 Skarżysko-Kamienna"
"pani Anastazja Bondyra","plac Kraszewskiego 73/34
12-686 Oława"
"Adrianna Toczko","pl. Waryńskiego 02/98
51-175 Dębica"
"pani Dagmara Serwach","al. Jeżynowa 67/21
15-656 Opole"
"Szymon Widuch","plac Popiełuszki 396
36-242 Konin"
"Dominik Bejger","aleja Turystyczna 35
15-427 Kluczbork"
"Blanka Pawlukiewicz","ul. Kolejowa 290
35-207 Nysa"
"Alan Dumin","plac Kochanowskiego 49/45
61-628 Żywiec"
"Igor Flaga","plac Floriana 528
71-438 Otwock"
"pani Marika Proch","plac Jana III Sobieskiego 471
08-234 Katowice"
"Adrian Jędrusiak","plac Malczewskiego 623
87-786 Grudziądz"
"Gabriel Czupryna","pl. Poniatowskiego 461
34-393 Świnoujście"
"Cezary Kozdroń","ul. Jana III Sobieskiego 57
90-608 Tczew"
"pan Mieszko Sobolak","ul. Powstańców Wielkopolskich 83/02
78-330 Szczecinek"
"Angelika Litwinowicz","plac Sienkiewicza 90
52-520 Chojnice"
"Jeremi Mirgos","aleja Brzozowa 32
55-344 Radom"
"Maks Słaba","ul. Wyzwolenia 62
34-462 Cieszyn"
"Dariusz Żołądź","pl. Plater 592
11-126 Augustów"
"Wiktor Pęksa","ul. Mickiewicza 11/74
53-887 Sosnowiec"
"Jerzy Dargacz","ulica Żeromskiego 82
57-149 Wrocław"
"Adrian Korzonek","ul. Towarowa 49/74
81-529 Kraków"
"Hubert Skupin","aleja Morcinka 43/91
25-885 Tczew"
"Janina Szkoła","plac Władysława Łokietka 08/23
10-001 Nowa Ruda"
"Natan Karkocha","aleja Orzechowa 42/94
54-645 Mikołów"
"pani Lidia Niechciał","aleja Waryńskiego 66
42-262 Piaseczno"
"Bartek Kałwak","ul. Rumiankowa 257
92-528 Pszczyna"
"Sebastian Niemczuk","ul. Skargi 129
07-869 Marki"
"Norbert Matyjas","pl. Solidarności 58/26
32-842 Kalisz"
"Dariusz Boruń","ul. Ogrodowa 39
95-433 Skarżysko-Kamienna"
"Tymon Harasimiuk","al. Traugutta 43/70
77-705 Skawina"
"Adrian Kowaluk","al. Bema 831
30-797 Świnoujście"
"Leon Błaszyk","aleja Piaskowa 382
57-073 Biłgoraj"
"pan Iwo Andrukiewicz","ulica Dworcowa 47
50-740 Wyszków"
"Kornelia Wojniak","al. Jabłoniowa 34
21-640 Siemianowice Śląskie"
"pani Dagmara Filusz","aleja Niecała 53/53
74-949 Włocławek"
"pani Ada Jarmużek","ul. Nadrzeczna 92
31-851 Lubin"
"Oliwier Gwizdek","aleja Brzoskwiniowa 24
60-296 Piaseczno"
"Olgierd Wszoła","ulica Brzechwy 40
26-004 Polkowice"
"Patryk Siatka","aleja Głogowa 278
58-616 Siedlce"
"Przemysław Goliasz","plac Wojciecha 66
94-271 Lubliniec"
"Adrian Mol","pl. Wieniawskiego 455
45-806 Wieluń"
"Bruno Pacewicz","aleja Wybickiego 72
39-178 Sieradz"
"Krzysztof Kuchciak","ulica Brzechwy 323
49-398 Kołobrzeg"
"Franciszek Łosiak","aleja Ptasia 16/42
39-518 Krosno"
"pan Miłosz Franik","ul. Gdańska 979
05-589 Żary"
"Mikołaj Flisiak","plac Rynek 210
19-209 Oleśnica"
"Julianna Gałat","ulica Grottgera 520
07-496 Tczew"
"pan Ernest Lizoń","ul. Czarnieckiego 57/93
59-959 Myszków"
"Melania Panasiewicz","pl. Floriana 56
54-453 Bartoszyce"
"Fabian Orzeszek","aleja Piłsudskiego 59
69-578 Bielawa"
"Adrian Rusnak","plac Listopada 00/36
05-801 Iława"
"Tola Patora","aleja Pułaskiego 596
13-471 Tarnobrzeg"
"Stefan Szarejko","al. Krańcowa 02/40
50-867 Piekary Śląskie"
"pan Bruno Monkiewicz","al. Miłosza 146
35-265 Siemianowice Śląskie"
"Kamila Furga","plac Władysława Jagiełły 831
89-217 Nowa Sól"
"Filip Jeske","aleja Kwiatowa 15/35
32-753 Żywiec"
"Kamil Bany","ul. Kazimierza Wielkiego 804
78-578 Pabianice"
"pan Bartek Węgier","al. Powstańców 29
20-033 Bielawa"
"Kornelia Kurbiel","ulica Kochanowskiego 62
86-261 Piastów"
"Iwo Chaba","ulica Kwiatowa 53
95-803 Augustów"
"Adrian Sporek","ulica Sienkiewicza 906
24-444 Pszczyna"
"pan Bartek Szyndler","aleja Zielna 99/85
30-263 Jarocin"
"Marek Kapciak","pl. Nałkowskiej 71/29
34-092 Jawor"
"Kaja Witkowicz","ul. Andersa 96
79-259 Jelenia Góra"
"Jan Betka","aleja Korfantego 812
82-899 Ciechanów"
"Monika Prażmo","plac Makuszyńskiego 112
70-964 Bielsk Podlaski"
"Aniela Pasztaleniec","plac Żeromskiego 966
19-532 Olkusz"
"Grzegorz Mierzwiak","ulica Bolesława Krzywoustego 13
46-182 Oława"
"Natasza Krakowczyk","pl. Kazimierza Wielkiego 224
67-390 Bielawa"
"pan Jakub Szkoła","aleja Armii Krajowej 774
78-757 Lubin"
"Adrian Stróż","pl. Świerczewskiego 22
12-788 Legionowo"
"Mariusz Koman","ulica Kazimierza Wielkiego 07/43
39-590 Kołobrzeg"
"pani Sonia Chmara","pl. Powstańców Śląskich 53
45-916 Kłodzko"
"Ernest Nabiałek","ul. Jesienna 57
06-787 Rybnik"
"Angelika Woszczak","plac Floriana 18/26
51-624 Wrocław"
"Hubert Konstanty","ulica Kasprowicza 25/23
32-151 Kraków"
"Natasza Choina","al. Wyzwolenia 65/55
43-312 Kutno"
"Róża Grosz","ulica Kossaka 57/67
53-066 Iława"
"Fabian Trzepizur","ulica Listopada 997
82-827 Goleniów"
"Andrzej Wysota","al. Południowa 14
90-015 Jarosław"
"Adrian Wandas","ul. Władysława Jagiełły 956
44-382 Zgorzelec"
"Melania Kuboń","aleja Rataja 37/86
28-493 Suwałki"
"Jan Śledzik","plac Niepodległości 700
35-383 Otwock"
"Łukasz Błaziak","ul. Mickiewicza 12/41
07-772 Jastrzębie-Zdrój"
"Oskar Wons","ulica Wróblewskiego 73
32-014 Bydgoszcz"
"Janina Kuropatwa","plac Bema 76/03
60-407 Świętochłowice"
"pan Piotr Wysota","ulica Drzymały 248
75-972 Piła"
"Natasza Dorociak","al. Opolska 61
84-329 Szczecin"
"Tomasz Oskroba","al. Kazimierza Wielkiego 149
65-387 Luboń"
"Natan Macias","plac Traugutta 39/51
65-665 Leszno"
"Adrian Wawrzynowicz","ulica Głowackiego 785
64-626 Wałbrzych"
"Blanka Figat","ul. Mickiewicza 93/85
91-927 Krosno"
"Juliusz Kuban","pl. Wojska Polskiego 25
78-998 Malbork"
"Grzegorz Parafiniuk","ulica Andersa 49
64-264 Wrocław"
"Robert Olbrych","pl. Kilińskiego 48/68
37-055 Tczew"
"Tobiasz Henke","ulica Bolesława Chrobrego 823
43-104 Bydgoszcz"
"Tobiasz Ludwiniak","plac Norwida 76/61
26-456 Pszczyna"
"Kornel Ufniarz","ul. Długosza 079
10-871 Zawiercie"
"Filip Arendarczyk","pl. Jadwigi 50
38-259 Inowrocław"
"Antoni Strug","ul. Wybickiego 84/58
50-824 Kętrzyn"
"Adrian Zięciak","ulica Dąbrowskiego 58
54-442 Gliwice"
"pani Anna Maria Garncarek","pl. Korczaka 570
89-784 Ełk"
"Julita Job","al. Gałczyńskiego 18
22-517 Sosnowiec"
"Kalina Kurczak","pl. Miłosza 06/41
70-167 Łomża"
"pani Marcelina Krochmal","pl. Jana Pawła II 43
89-799 Słupsk"
"pani Lidia Siewert","ulica Korczaka 707
96-372 Kraśnik"
"Nataniel Poczta","pl. Konarskiego 767
76-180 Mysłowice"
"Maurycy Strzyż","pl. Maczka 10
63-558 Kwidzyn"
"Krzysztof Ulfik","aleja Tęczowa 68/84
34-761 Sosnowiec"
"Kamil Gendera","plac Kołłątaja 563
06-762 Pabianice"
"Adrianna Gadzina","plac Skargi 40
78-902 Szczecin"
"Filip Strawa","ul. Mieszka I 31/45
27-660 Pruszcz Gdański"
"Kamila Dyczko","pl. Kosynierów 28
94-276 Nowy Sącz"
"Sonia Mydlak","ulica Sokola 96/53
58-970 Zabrze"
"Juliusz Smykała","ulica Niepodległości 75
46-087 Lębork"
"pani Ewelina Morys","plac Wyszyńskiego 350
59-690 Tarnowskie Góry"
"Leonard Kazek","pl. Słowicza 361
24-895 Łaziska Górne"
"Tomasz Tekiela","ulica Kopernika 850
25-106 Zambrów"
"Anna Maria Armatys","pl. Stycznia 643
19-675 Szczytno"
"Mikołaj Horbacz","plac Dąbrowskiej 514
85-547 Jarocin"
"Adrianna Kujawiak","plac Wojska Polskiego 17
49-619 Brzeg"
"pani Adrianna Szczepan","al. Kossaka 49
26-780 Bielsk Podlaski"
"pan Alex Lejman","aleja Chełmońskiego 80
20-906 Siedlce"
"Dawid Szczepan","aleja Jasna 49/34
53-539 Świnoujście"
"Kalina Janowiak","ul. Krokusowa 09
26-415 Dzierżoniów"
"Miłosz Hamrol","aleja Staffa 76
04-630 Gniezno"
"Kacper Łyś","aleja Letnia 52
54-189 Dębica"
"Olaf Kornet","plac Stefana Batorego 350
03-825 Lubliniec"
"pani Monika Kuban","ul. Konopnickiej 42
60-157 Gdynia"
"Kamila Dybaś","plac Makuszyńskiego 663
20-636 Knurów"
"Adrianna Kurp","al. Modrzewiowa 02/50
64-838 Wieluń"
"pani Sara Walasik","ul. Sikorskiego 73
95-426 Tarnobrzeg"
"Arkadiusz Turczyk","al. Konopnickiej 073
48-246 Pruszcz Gdański"
"Natan Hyjek","plac Batalionów Chłopskich 34/19
33-962 Sochaczew"
"pani Angelika Ochał","ulica Podwale 34
75-409 Bartoszyce"
"Witold Wawrzyn","plac Wróblewskiego 098
48-969 Zabrze"
"Tomasz Humeniuk","ul. Fiołkowa 17/05
40-028 Zgorzelec"
"Grzegorz Nocek","ulica Wrzosowa 510
03-496 Żory"
"Krzysztof Skalik","plac Brzechwy 09
22-969 Świnoujście"
"Róża Hankiewicz","pl. Pułaskiego 08/08
29-141 Biłgoraj"
"Adrianna Lewek","aleja Wrocławska 74/81
24-276 Świecie"
"Adam Kurzaj","pl. Dąbrowskiej 00/84
93-474 Łaziska Górne"
"pan Borys Małocha","pl. Kasprowicza 484
70-423 Czeladź"
"pan Kornel Hojda","ulica Mickiewicza 003
72-706 Świdnica"
"Anna Maria Filek","pl. Kochanowskiego 712
70-782 Koszalin"
"Grzegorz Mateusiak","plac Skargi 02/59
60-577 Bolesławiec"
"Aniela Hetmańczyk","pl. Sucharskiego 02
96-941 Łódź"
"pani Aurelia Putek","plac Chełmońskiego 76
15-346 Chojnice"
"Maks Burzawa","al. Szmaragdowa 51
58-694 Dzierżoniów"
"pani Liwia Jambor","aleja Solidarności 32/54
58-305 Białogard"
"Adrianna Pilich","plac Szymanowskiego 989
89-793 Ostrów Mazowiecka"
"Angelika Stypa","pl. Słowackiego 47
70-209 Toruń"
"Klara Opas","al. Wiślana 72
75-593 Opole"
"Maks Bałazy","al. Asnyka 92
01-653 Iława"
"Dorota Wudarczyk","ul. Młyńska 818
16-650 Zduńska Wola"
"Julianna Sip","pl. Poniatowskiego 460
07-840 Piastów"
"Marianna Stoltmann","plac Piłsudskiego 52
71-255 Świebodzice"
"pani Sandra Wawrzyczek","plac Traugutta 823
96-880 Zambrów"
"Fabian Jany","pl. Malczewskiego 990
01-083 Kłodzko"
"Nicole Myga","plac Sikorskiego 84
36-360 Jarocin"
"Adrianna Steciuk","ulica Kilińskiego 03
70-539 Reda"
"Justyna Kasper","ulica Plater 876
13-160 Będzin"
"pani Ida Plizga","aleja Wyspiańskiego 146
15-793 Sandomierz"
"Karina Pedrycz","ul. Rzeczna 41
41-847 Nowy Sącz"
"Anna Maria Budzeń","al. Broniewskiego 51/47
40-653 Police"
"Bianka Zdonek","pl. Broniewskiego 05/40
24-354 Elbląg"
"Dariusz Kudłacz","ul. Niepodległości 445
85-513 Płock"
"Michał Plizga","plac Poniatowskiego 81
61-593 Wałbrzych"
"Nikodem Szpyrka","plac Kochanowskiego 146
19-202 Katowice"
"Stefan Jacak","plac Wybickiego 91
21-740 Tarnowskie Góry"
"Adrianna Wawrzyńczyk","aleja Krasińskiego 88
60-281 Tarnów"
"pani Dorota Drygas","aleja Nadrzeczna 05/35
70-667 Siedlce"
"Kazimierz Suchenek","ulica Rejtana 89/70
94-307 Iława"
"Tobiasz Działo","plac Partyzantów 34
70-810 Rzeszów"
"pani Sonia Huszcza","ul. Stycznia 65/85
54-211 Olsztyn"
"pani Angelika Mieloch","pl. Staszica 195
70-467 Kutno"
"Konstanty Rembisz","pl. Mieszka I 664
36-962 Krosno"
"Ernest Wocial","al. Długa 74/65
57-765 Wodzisław Śląski"
"Melania Strycharz","plac Lelewela 20
24-703 Wejherowo"
"Ryszard Majzner","aleja Wodna 69
67-094 Marki"
"Adrianna Związek","al. Rataja 59/98
45-495 Wałcz"
"Rafał Wojtarowicz","al. Dąbrowskiej 64
37-032 Włocławek"
"pan Kajetan Fitrzyk","plac Norwida 40
49-803 Rybnik"
"Marcel Słobodzian","ul. Baczyńskiego 58/24
64-444 Ostrów Wielkopolski"
"Jacek Słupek","ulica Jana 089
85-064 Siedlce"
"Dawid Karol","ul. Jana Pawła II 504
24-366 Mielec"
"pani Inga Fleszar","plac Powstańców Wielkopolskich 44
22-073 Śrem"
"Maciej Godyń","plac Wyzwolenia 30/89
28-558 Świebodzice"
"Kaja Mytych","aleja Miodowa 45
08-524 Racibórz"
"Mateusz Babiuch","plac Niepodległości 31
84-411 Tomaszów Mazowiecki"
"Adrianna Zys","pl. Chopina 807
10-845 Koszalin"
"Dominik Delekta","pl. Bolesława Krzywoustego 84
95-085 Świnoujście"
"pan Jakub Brzęk","ulica Powstańców Wielkopolskich 76
38-126 Legionowo"
"pani Eliza Iwańczyk","plac Rynek 679
05-088 Zielona Góra"
"pan Mateusz Andrukiewicz","aleja Popiełuszki 51
93-760 Bielawa"
"Sara Słysz","aleja Brzechwy 566
47-003 Ełk"
"Agnieszka Siciarz","aleja Matejki 01/71
96-934 Olsztyn"
"Błażej Rejmak","ulica Sawickiej 75
30-527 Bełchatów"
"Janina Malcharek","ulica Spółdzielcza 25/81
50-620 Zgierz"
"pani Lidia Oziębło","ulica Porzeczkowa 99/39
18-460 Piekary Śląskie"
"Agnieszka Chomiuk","pl. Skargi 73
51-344 Ruda Śląska"
"Anastazja Komisarczyk","aleja Koralowa 67
26-998 Reda"
"Jakub Galek","ul. Ściegiennego 99
10-851 Chojnice"
"Leon Kiwior","pl. Wojciecha 35
91-964 Bielsko-Biała"
"pani Sylwia Prejs","al. Tęczowa 94
31-337 Elbląg"
"Ernest Penar","ul. Dębowa 34/06
98-128 Nowy Sącz"
"Wiktor Sutor","plac Popiełuszki 34/11
49-824 Częstochowa"
