"Aaron Lercher"|"Anabella-Pilz-Gasse 7
7053 Schwechat"
"Adam Reinisch"|"Lina-Pfister-Ring 27
6600 Bischofshofen"
"Frau Kristina Rauch"|"Gärtnerweg 07
2423 Knittelfeld"
"Dr. Marlene Pröll"|"Stieglergasse 249
9098 Spittal an der Drau"
"Univ.Prof. Konstantin Nöbauer"|"Kainplatz 454
7183 Hainburg an der Donau"
"Univ.Prof. Adam Holl"|"Lugerring 45
9918 Saalfelden am Steinernen Meer"
"David Schauer"|"Sascha-Peer-Weg 8/7
2954 Knittelfeld"
"Martha Stock-Rudolf"|"Filip-Hebenstreit-Straße 66
6745 Sankt Johann im Pongau"
"Sofija Lang"|"Lilli-Fichtinger-Ring 9
4437 Zell am See"
"Milan Platzer"|"Nicole-Wiesinger-Ring 385
3283 Gloggnitz"
"Simon Varga-Bucher"|"Simon-Lassnig-Weg 1/7
1076 Mank"
"Adam Rosenberger"|"Liliana-Gangl-Platz 2/4
3687 Mureck"
"Andjela Zöhrer"|"Karl-Fuchs-Gasse 143
8850 Hallein"
"Cornelius Dorfer"|"Annalena-Kofler-Gasse 39
4158 Maissau"
"Joseph Grasser"|"Magdalena-Unterweger-Ring 7/1
8341 Stockerau"
"Jasmine Bock"|"Helene-Schütz-Straße 8/6
2925 Güssing"
"Patricia Leber"|"Kirchnerring 581
6618 Köflach"
"Franziska Keplinger"|"Kevin-Sorger-Ring 44
7576 Radenthein"
"Katja Röck"|"Annabella-Putz-Straße 08
1544 Völkermarkt"
"Mert Schiller"|"Franziska-Fischer-Gasse 6/2
8199 Lilienfeld"
"Mark Reichmann-Kern"|"Kröllring 863
4554 Zwettl"
"Adam Zimmermann"|"Kristina-Reichmann-Weg 553
7908 Ried im Innkreis"
"Dr. Marissa Pollak"|"Zehetnerstr. 84
7670 Neunkirchen"
"Emanuela Jauk"|"Aichholzerplatz 09
8645 Rohrbach in Oberösterreich"
"Franz Perner"|"Melina-Meier-Gasse 29
9555 Steyregg"
"Philipp Bergmann"|"Steiningergasse 87
7705 Mank"
"Dipl.-Ing. Sigrid Kremser"|"Hadererstraße 07
6445 Salzburg"
"Tiffany Kral"|"Niederlstraße 383
4519 Wolkersdorf"
"Vivian Wurzer"|"Anna-Lena-Gratz-Weg 70
9365 Laakirchen"
"Anja List-Steiner"|"Teuflstraße 717
2340 Schrems"
"Angelina Schütz"|"Neubauerweg 1/0
5447 Feldbach"
"Adelina Bichler"|"Ela-Mandl-Straße 55
9982 Marchegg"
"Ines Hochreiter"|"Kopfplatz 59
7113 Völkermarkt"
"Ing. Gabriela Luger"|"Pacherstr. 295
3449 Bad Hall"
"Richard Reinprecht"|"Bernadette-Lintner-Weg 205
3181 Haag"
"Nick Mairhofer-Praxmarer"|"Lacknerplatz 7/1
7141 Bärnbach"
"Amelie Reif"|"Kirschnerring 9
1397 Ansfelden"
"Lilli Vogel"|"Lugerstr. 5/3
1990 Frauenkirchen"
"Christian Anderl"|"Nadia-Mathis-Ring 24
8339 Sankt Andrä im Lavanttal"
"Peter Bittner-Schranz"|"Nathan-Grasser-Weg 9
9461 Trieben"
"Sophia Schwarzl"|"Philip-Handler-Platz 1/9
6819 Rottenmann"
"Adelina Ortner"|"Xavier-Hummel-Platz 714
6065 Frohnleiten"
"Lionel Pointner"|"Farkasstr. 54
1678 Ebreichsdorf"
"Angelika Burgstaller"|"Mairring 44
8026 Korneuburg"
"Boris Grabner-Rath"|"Nikita-Parzer-Ring 0/5
8813 Oberndorf bei Salzburg"
"Florentina Knapp"|"Pokornygasse 7/0
2594 Völkermarkt"
"Sebastian Pohl"|"Klausweg 678
5016 Knittelfeld"
"Fridolin Spreitzer"|"Mitterergasse 4/8
1952 Eferding"
"Lennard Knapp"|"Constanze-Nöbauer-Platz 8/9
7911 Oberndorf bei Salzburg"
"Selina Schweitzer-Lassnig"|"Adriana-Kaltenegger-Gasse 47
7628 Murau"
"Ylvie Hartmann"|"Suppanstr. 054
6907 Leibnitz"
"Adelina Schneeberger"|"Mittererstr. 8/2
5972 Herzogenburg"
"Emanuela Schrittwieser"|"Mittereggerring 483
7165 Schwanenstadt"
"Tanja Gschaider"|"Schmidgasse 5/2
5900 Sankt Johann im Pongau"
"Liliana Kriegl"|"Hermannstr. 778
6902 Ybbs an der Donau"
"Lilia Hübner"|"Kreidlweg 1/4
4559 Braunau am Inn"
"Luise Hartmann"|"Rachel-Koller-Gasse 8/0
3625 Neulengbach"
"Lotte Berchtold"|"Teuflplatz 5
9260 Poysdorf"
"Andjelina Tauber"|"Zettlweg 137
9388 Steyr"
"Univ.Prof. Ela Gutmann"|"Puchnerweg 992
4096 Trofaiach"
"Anika Steger"|"Dietlplatz 3
1163 Laa an der Thaya"
"Adelina Stefan"|"Igor-Schindler-Gasse 978
7050 Sankt Pölten"
"Luisa Burtscher-Schwendinger"|"Elisabeth-Berthold-Platz 935
9978 Ferlach"
"Ina Neubacher"|"Ariane-Grünberger-Ring 910
5592 Radenthein"
"Marius Schmölzer"|"Lichteneggerplatz 4/9
2016 Rohrbach in Oberösterreich"
"Violetta Eisl"|"Sabine-Brugger-Straße 3/0
3977 Feldkirchen"
"Marius Ramsauer"|"Oliver-Kral-Straße 1/8
2039 Laa an der Thaya"
"Klara Seiler"|"Elsa-Haidinger-Gasse 2/2
2935 Eisenstadt"
"Aleksander Linder"|"Eichingerstraße 672
4160 Haag"
"Leander Eberhard"|"Steindlgasse 341
2370 Marchtrenk"
"Verena Hinterberger-Hübner"|"Pragerplatz 3/0
5816 Radenthein"
"Adrian Albrecht"|"Mariam-Perner-Gasse 8/4
3267 Feldbach"
"Petra Nagele"|"Veronika-Lamprecht-Platz 85
5154 Murau"
"Tea Steinböck-Schreiber"|"Mayrhoferring 04
3638 Trofaiach"
"Victor Mathis-Simon"|"Kröllplatz 73
6979 Liezen"
"Liliana Freudenthaler"|"Eisnerstraße 3/2
7955 Freistadt"
"Univ.Prof. Igor Fleischhacker"|"Thomas-Klammer-Platz 9/6
6978 Scheibbs"
"Marijana Praxmarer"|"Fernando-Adam-Platz 0
3176 Bad Ischl"
"Selina Peer"|"Marius-Schön-Platz 710
1907 Schwanenstadt"
"Luka Rausch"|"Lorenzstr. 5/0
2517 Groß-Siegharts"
"Mika Grünwald"|"Yvonne-Kessler-Platz 7
3011 Tulln an der Donau"
"Adrian Hubmann-Fuchs"|"Ava-Spiegl-Weg 2/8
7045 Bad Vöslau"
"Eda Neuner-Kessler"|"Mayerweg 3
8429 Ried im Innkreis"
"Lilia Fröschl"|"Victor-Kreuzer-Straße 2/3
6960 Gmünd"
"Robert Mitterlehner"|"Damian-Herrmann-Platz 9/7
5065 Bleiburg"
"Steven Huemer"|"Oscar-Buchegger-Platz 0/9
7913 Hall in Tirol"
"Erina Maringer-Spreitzer"|"Luka-Mair-Ring 006
4188 Amstetten"
"Marko Pfleger-Teufl"|"Mara-Zach-Ring 6/6
2613 Deutschlandsberg"
"Dr. Juna Gamsjäger"|"Damian-Holzinger-Straße 9/4
5231 Bad Ischl"
"Jonathan Heger-Schaller"|"Heindlstraße 6
1181 Jennersdorf"
"Lotte Karrer"|"Jannis-Stelzl-Platz 31
8012 Wieselburg"
"Adrian Kraus"|"Teuflring 24
2570 Groß-Siegharts"
"Natan Ziegler"|"Raabplatz 08
3152 Wolkersdorf"
"Carina Oberhauser"|"Naomi-Jost-Weg 70
3063 Hall in Tirol"
"Prof. Raffaela Krug"|"Pfeifferstr. 9/0
1942 Gänserndorf"
"Oliver Scheer"|"Anabella-Schinnerl-Platz 86
4028 Bruck an der Leitha"
"Mira Egger"|"Bergmannring 4
4475 Schärding"
"Marvin Lengauer"|"Calvin-Vogler-Straße 7/3
5761 Poysdorf"
"Dipl.-Ing. Cristiano Hufnagl"|"Daniel-Hirschmann-Weg 7/1
9053 Ybbs an der Donau"
"Mariana Jandl-Wirth"|"Liliana-Widmann-Platz 16
6443 Zwettl"
"Teodor Pöll"|"Mörthstraße 814
3729 Friedberg"
"Adrian Kreidl"|"Karoline-Riedmann-Weg 579
7559 Trofaiach"
"Milo Lenz-Haderer"|"Luana-Kraft-Platz 09
9227 Althofen"
"Lilia Oberndorfer"|"Karina-Gratzer-Straße 4/5
2841 Ybbs an der Donau"
"Merlin Schiefer"|"Helena-Pointner-Weg 558
9529 Gföhl"
"Noah Holzknecht-Edlinger"|"Rebecca-Lassnig-Straße 5
9879 Ebreichsdorf"
"Tamara Vogt"|"Niederlweg 575
2010 Mank"
"Prof. Ferdinand Schöpf"|"Emilia-Krainer-Straße 0/8
1655 Leoben"
"Emmanuel Oberndorfer"|"Viktoria-Steger-Weg 1/8
9362 Neumarkt am Wallersee"
"Luis Bitschnau-Riegler"|"Rittergasse 743
3331 Waidhofen an der Thaya"
"Alena Steinböck"|"Maria-Ostermann-Gasse 6
1347 Bleiburg"
"Adrian Santner"|"Michael-Fehringer-Ring 4
1441 Hallein"
"Pia Ortner"|"Stephanie-Strobl-Ring 3
7786 Steyregg"
"Lia Schlosser"|"Friedlstr. 6/2
3722 Enns"
"Nicole Herbst"|"Sabrina-Forster-Platz 184
1869 Poysdorf"
"Francesca Danninger-Grüner"|"Lintnerplatz 5/0
1392 Ansfelden"
"Aron Schüller"|"Linnea-Altmann-Platz 1/3
8595 Frohnleiten"
"Damian Klausner"|"Ela-Rudolf-Ring 391
5551 Pöchlarn"
"Univ.Prof. Philippa Riedl"|"Alexia-Glatz-Ring 5/5
3023 Mautern an der Donau"
"Mark Koppensteiner-Kofler"|"Nino-Jauk-Straße 3
9426 Litschau"
"Leonhard Sonnleitner"|"Gschwandtnergasse 397
4228 Köflach"
"Adriana Baumann"|"Alara-Jäger-Gasse 8/1
3423 Deutschlandsberg"
"Yvonne Pircher-Grassl"|"Hödlplatz 013
8345 Zell am See"
"Dr. Janine Gamsjäger"|"Nadin-Herzog-Ring 132
9658 Ansfelden"
"Prof. Mika Steiner"|"Sofia-Teufl-Platz 62
5201 Purbach am Neusiedler See"
"Herr Leander Pucher"|"Zara-Kirchmair-Gasse 0
3654 Gänserndorf"
"Samuel Neumayr"|"Bruno-Hutterer-Ring 64
3763 Villach"
"Prof. Erwin Konrad"|"Hermannstraße 86
1120 Knittelfeld"
"Theodora Fleck"|"Weinbergerstraße 572
6211 Judenburg"
"Leticia Reinprecht"|"Selin-Humer-Platz 2
4597 Judenburg"
"Juliane Klug"|"Walderplatz 9
7607 Fürstenfeld"
"Adriana Hinterleitner"|"Schöngasse 09
8763 Vils"
"Herr Julian Meister"|"Emilie-Feichtenschlager-Platz 1
9803 Mürzzuschlag"
"Sophie Friedl"|"Krainzstr. 3/3
8058 Bad Leonfelden"
"Ajna Riepl-Nagl"|"Kurzring 4
5320 Langenlois"
"Steven Pfeffer"|"Wiesingerstr. 7/1
3985 Steyregg"
"Isa Taferner"|"Benedict-Fink-Platz 15
2931 Mariazell"
"Jasmine Stecher-Marte"|"Theo-Klausner-Straße 2
9839 Marchegg"
"Adriano Blum-Lechner"|"Cecilia-Kronberger-Straße 27
2765 Mannersdorf am Leithagebirge"
"Lara-Sophie Bitschnau"|"Berra-Spiegl-Gasse 2
7304 Gföhl"
"Nikola Heindl"|"Schiestlweg 5/8
9429 Mistelbach an der Zaya"
"Adriana Holler"|"Emmanuel-Kurzmann-Gasse 5
2554 Zwettl"
"Prof. Joel Sailer"|"Schwaigerstr. 9/6
2868 Mödling"
"Emil Reinbacher-Moosbrugger"|"Nick-Pöschl-Platz 0/1
2141 Rottenmann"
"Nathan Rabl"|"Lichteneggerstraße 0/1
1691 Mistelbach an der Zaya"
"Gloria Pfeffer"|"Linus-Eberharter-Weg 464
6329 Radstadt"
"Bernhard Kölbl"|"Erwin-Maringer-Straße 14
6593 Leoben"
"Elma Sperl"|"Sammerstr. 4
9607 Güssing"
"Ariane Pesendorfer"|"Elias-Gamsjäger-Gasse 0/6
4843 Neusiedl am See"
"Ing. Fernando Jandl"|"Andrea-Zimmermann-Platz 0/7
6899 Krems an der Donau"
"Dipl.-Ing. Niklas Marte"|"Theodora-Bayer-Gasse 5
9320 Baden"
"Adriana Metzler"|"Dario-Seifert-Platz 5/2
7635 Bad Radkersburg"
"Nika Barth"|"Nußbaumerstr. 021
8280 Rottenmann"
"Paul Gahleitner"|"Holzmannstr. 3
7991 Wolfsberg"
"Edda Biedermann"|"Stephan-Schwaighofer-Weg 0/3
2722 Laa an der Thaya"
"Amanda Linder"|"Melina-Käfer-Gasse 5
8179 Villach"
"Rene Stecher"|"Tamara-Rudolf-Straße 72
1396 Peuerbach"
"Danilo Weiss-Schatzl"|"Brandstätterstraße 365
7112 Wilhelmsburg"
"Florin Meister"|"Jennifer-Grassl-Platz 1
1929 Hainburg an der Donau"
"Karl Reinbacher"|"Ungerstraße 9
6425 Zell am See"
"Josefine Schneider-Mann"|"Holzingerring 3
1248 Hallein"
"Adriano Berger"|"Beckerplatz 51
8729 Gänserndorf"
"Louis Kogler"|"Heimweg 101
9936 Waidhofen an der Thaya"
"Leticia Sturm"|"Lichteneggerring 0
8799 Schwanenstadt"
"Emanuel Falkner"|"Brandstättergasse 3
4833 Bärnbach"
"Nils Nagel"|"Grabherweg 00
8798 Zwettl"
"Annika Dallinger"|"Löfflerring 4/8
7648 Steyregg"
"Carlo Schauer"|"Scheerring 85
1650 Gmünd in Kärnten"
"Prof. Verena Rieger"|"Kloiberplatz 2/8
1182 Bad Sankt Leonhard im Lavanttal"
"Mario Neumüller"|"Frida-Pachler-Straße 3
2183 Laa an der Thaya"
"Jannik Gattringer-Steindl"|"Hanna-Zeilinger-Platz 1/2
2227 Waidhofen an der Thaya"
"Adriano Bernhard"|"Hartlplatz 2/1
4994 Poysdorf"
"Prof. Erina Widhalm"|"Aylin-Leonhartsberger-Ring 46
7675 Bad Vöslau"
"Prof. Julijana Meier"|"Brucknerplatz 76
3917 Wilhelmsburg"
"Aron Berner"|"Evelyn-Eberharter-Straße 804
1095 Oberwälz"
"Aron Siller-Ackerl"|"Julian-Prenner-Platz 92
8540 Sankt Johann im Pongau"
"Konstantin Leeb"|"Braunring 7
8057 Schärding"
"Manuel Keller"|"Finn-Zeiler-Straße 13
8104 Rust"
"Prof. Lana Mayrhofer"|"Aichholzerstr. 054
7810 Herzogenburg"
"Jana Weinberger"|"Zeilingerweg 2/2
1421 Liezen"
"Verena Sattler"|"Hartlring 05
8340 Kapfenberg"
"Adriano Feichtner"|"Noah-Marte-Platz 126
3384 Leibnitz"
"Nikola Kellner"|"Henri-Eichhorn-Weg 8/4
1057 Bruck an der Leitha"
"Jovana Dirnberger-Zenz"|"Kirchmairweg 2
2847 Liezen"
"Mira Schiller"|"Schrempfring 862
4642 Leibnitz"
"Marvin Peter"|"Francesca-Koller-Gasse 2/8
8138 Retz"
"Beatrice Stocker"|"Wienergasse 820
3574 Bärnbach"
"Sebastian Meindl"|"Laurin-Neureiter-Platz 1/4
3832 Spittal an der Drau"
"Marco Stangl"|"Redlweg 4/0
5649 Gerasdorf bei Wien"
"Dipl.-Ing. Alex Reischl"|"Jannik-Weber-Platz 3
8106 Bregenz"
"Dr. Yvonne Schulz"|"Eva-Fercher-Ring 428
1916 Schwechat"
"Adriano Schneeberger"|"Natascha-Geiger-Gasse 7
4078 Stockerau"
"Karoline Lutz"|"Hechenbergerring 0/3
4362 Frohnleiten"
"Ing. Luana Haiden"|"Hellweg 7/6
2477 Kindberg"
"Marie Fercher"|"Marko-Köhler-Straße 73
8322 Laa an der Thaya"
"Ing. Lydia Leutgeb"|"Irma-Reisner-Straße 559
4176 Villach"
"Ronya Steiner"|"Katja-Brandstätter-Platz 402
5398 Zwettl"
"Anita Pollak"|"Maria-Lampl-Platz 0/3
2810 Rattenberg"
"Melek Klausner"|"Stella-Margreiter-Straße 25
2644 Sankt Andrä im Lavanttal"
"Ilias Schöller"|"Emanuel-Ritter-Gasse 6
8868 Purbach am Neusiedler See"
"Filip Kraus"|"Koflerplatz 851
9509 Ferlach"
"Alan Lichtenegger"|"Ina-Hell-Weg 3/3
9379 Wörgl"
"Dipl.-Ing. Emmanuel Jäger"|"Rayana-Kern-Ring 3
3382 Jennersdorf"
"Dipl.-Ing. Maurice Höglinger"|"Rinnerplatz 5/8
3460 Friedberg"
"Mia Rosenberger"|"Elvira-Friedrich-Weg 35
4904 Grieskirchen"
"Dr. Theo Rohrer"|"Richard-Gabriel-Ring 4/6
4081 Hall in Tirol"
"Marlene Himmelbauer"|"Kahrweg 81
7301 Weiz"
"Prof. Nathan Fiedler"|"Uhlstraße 01
6710 Steyregg"
"Leni Kasper"|"Krammerplatz 16
8273 Litschau"
"Filip Rausch"|"Bodnerplatz 0/9
4005 Schrems"
"Sophie-Marie Kuhn"|"Emilian-Kaspar-Straße 7/7
6709 Neumarkt am Wallersee"
"Alan Moritz"|"Rene-Röck-Straße 2/8
5623 Groß-Gerungs"
"Angelina Ziegler"|"Elma-Oswald-Ring 6
4310 Bad Leonfelden"
"Nelly Fellner"|"Charlotte-Lercher-Straße 6
8548 Schwaz"
"Julian Mitterer"|"Elena-Schwarz-Gasse 4
3632 Attnang-Puchheim"
"Rachel Scheer"|"Luka-Ladner-Weg 8
3103 Rust"
"Leander Kaindl"|"Lily-Beer-Straße 60
7014 Pregarten"
"Damian Stecher"|"Fiona-Walser-Platz 932
8703 Pinkafeld"
"Frau Annika Trummer"|"Pertlplatz 486
4912 Leibnitz"
"Dipl.-Ing. Leonie Meier"|"Beckring 4/8
4202 Deutschlandsberg"
"Univ.Prof. Timo Waltl"|"Stephan-Kaltenbrunner-Platz 96
3998 Rattenberg"
"Alan Stelzl-Mathis"|"Kissring 1/2
7808 Weiz"
"Univ.Prof. Pia Brunner"|"Fischerstr. 3/3
6496 Graz"
"Ing. Andrea Freitag"|"Ylvie-Klinger-Gasse 8/9
7518 Wörgl"
"Katharina Hagen"|"Sofija-Stifter-Ring 9
8189 Murau"
"Nadia Herbst"|"Benedikt-Rohrer-Weg 5/0
8263 Rattenberg"
"Nikola Pesendorfer"|"Emely-Penz-Straße 8/8
1470 Stockerau"
"Aleksander Fichtinger"|"Nikolaus-Luttenberger-Platz 46
9419 Schrattenthal"
"Raffael Schober"|"Valentino-Pucher-Gasse 2/5
9984 Bischofshofen"
"Natalie Puchner"|"Steidlstr. 533
1849 Liezen"
"Sara Oberleitner"|"Sophia-Ullmann-Platz 7/0
1050 Litschau"
"Alan Ullmann"|"Höllerstr. 3/6
4142 Rust"
"Milo Reinprecht"|"Farkasstr. 281
7673 Neumarkt am Wallersee"
"Konrad Pfister"|"Krammerplatz 8
1435 Radenthein"
"Mina Augustin"|"Armin-Schuller-Straße 908
2329 Fehring"
"Louise König"|"Hufnaglstr. 897
3942 Bleiburg"
"Christina Heller"|"Antonia-Schmid-Platz 2
7229 Leibnitz"
"Fridolin Ludwig"|"Mayrring 73
3262 Schrems"
"Jana Puchner"|"Starkring 01
7003 Freistadt"
"Ruben Vogl"|"Florentin-Seebacher-Straße 640
4162 Korneuburg"
"Ing. Timon Wilfinger"|"Wiesbauerweg 715
7161 Haag"
"Alan Wagner-Grundner"|"Nikolina-Putz-Ring 2
6534 Freistadt"
"Gregor Weissenböck"|"Ronja-Pfeffer-Weg 856
8910 Oberwart"
"Sandra Zettl"|"Schandlstraße 7
2846 Groß-Siegharts"
"Jasmina Punz-Jost"|"Scherzstraße 2
1251 Geras"
"Arthur Pröll"|"Florian-Uhl-Ring 21
1087 Waidhofen an der Thaya"
"Dr. Sam Brandstetter"|"Cecilia-Stöger-Straße 9
7849 Gmünd in Kärnten"
"Darius Lindinger"|"Ulrichweg 4/3
8344 Oberpullendorf"
"Annabelle Teufl"|"Lorena-Strohmeier-Gasse 6
4757 Dornbirn"
"Juliane Bock"|"Wagnerweg 9/0
9570 Voitsberg"
"Katharina Brunner"|"Steinlechnerring 0
1015 Judenburg"
"Alara Hausberger"|"Metzlerplatz 039
6504 Pregarten"
"Nadin Kaltenbrunner"|"Luttenbergerstraße 8/5
2046 Friesach"
"Erwin Klocker"|"Gassnergasse 2
3971 Gföhl"
"Lucas Peham"|"Liliane-Kramer-Ring 37
4931 Judenburg"
"Dipl.-Ing. David Hofstätter"|"Knausstraße 017
3588 Laakirchen"
"Madeleine Lampert"|"Oberhauserstr. 0
8764 Radenthein"
"Raffaela Reiterer"|"Eiblplatz 4/4
9792 Leibnitz"
"Leonora Hammer"|"Alexandar-Haring-Platz 421
7141 Krems an der Donau"
"Linda Falkner-Dorfer"|"Schönauerstraße 8/8
3155 Dürnstein"
"Heidi Hahn"|"Emilia-Brandtner-Gasse 697
2972 Landeck"
"Alara Steinböck-Winkler"|"Alexandra-Köck-Platz 0/3
5364 Bleiburg"
"Milica Sammer"|"Ralph-Kuhn-Gasse 7/7
7969 Deutsch-Wagram"
"Alena Wurm-Huemer"|"Aron-Simon-Gasse 227
3151 Imst"
"Nikolas Klein"|"Nadia-Gassner-Gasse 1
1533 Neumarkt am Wallersee"
"Rene Hübner-Sommer"|"William-Mitterer-Straße 30
9417 Frauenkirchen"
"Herr Karim Hödl"|"Jovana-Stadlbauer-Gasse 8
5299 Mureck"
"Ing. Denise Lettner"|"Schlöglweg 573
5285 Scheibbs"
"Sascha Bürger"|"Deckerplatz 7/8
5669 Krems an der Donau"
"Lilli Steininger"|"Andrea-Denk-Platz 1/6
6093 Bad Leonfelden"
"Hannah Holzknecht"|"Lindnerring 345
6946 Dürnstein"
"Alara Trinkl"|"Lennart-Lengauer-Straße 39
5801 Pöchlarn"
"Anabella Fehringer"|"Schönstraße 10
3892 Schrattenthal"
"Ing. Luisa Kröll"|"Johannes-Lechner-Straße 53
9456 Salzburg"
"Gabriel Knaus"|"Lilly-Simic-Gasse 1
2823 Retz"
"Vito Steiner"|"Bockgasse 04
1175 Ybbs an der Donau"
"Dipl.-Ing. Constantin Trummer"|"Fabianring 4
2950 Leoben"
"Domenica Renner"|"Lorena-Steinböck-Platz 3
8299 Wiener Neustadt"
"Bastian Haid"|"Breuergasse 4/8
6250 Graz"
"Andrea Kaltenegger"|"Blümelstr. 2
3334 Wolkersdorf"
"Jennifer Scherr"|"Hochreiterplatz 8
4057 Gallneukirchen"
"Aleksander Lagler-Krammer"|"Elias-Heinzl-Ring 34
2769 Baden"
"Ariane Froschauer"|"Baldaufstr. 955
7371 Fischamend"
"Marcel Meusburger"|"Ostermannplatz 05
3425 Innsbruck"
"Annika Pfister"|"Leutgebstraße 462
3691 Ternitz"
"Ronya Frühwirth"|"Jankplatz 92
6725 Villach"
"Domenica Maringer-Handl"|"Gallergasse 783
9295 Drosendorf-Zissersdorf 1"
"Frederik Lindinger"|"Großring 0
5630 Mürzzuschlag"
"Emilia Doppler"|"Florian-Stolz-Weg 1/1
2014 Eisenstadt"
"Oskar Holl"|"Leon-Widhalm-Straße 946
2740 Vöcklabruck"
"Denise Kraus"|"Fehringerstr. 39
5441 Mank"
"Aleksandra Blümel"|"Pöllweg 911
6825 Bludenz"
"Bruno Scheidl"|"Keplingerring 5/8
1132 Laa an der Thaya"
"Bruno Muhr"|"Köberlgasse 494
3085 Oberndorf bei Salzburg"
"William Kain"|"Dana-Walcher-Gasse 56
7407 Innsbruck"
"Patrik Rottensteiner"|"Binderring 2/0
1688 Mistelbach an der Zaya"
"Heidi Gratz"|"Clemens-Stock-Platz 5
6878 Berndorf"
"Dipl.-Ing. Darko Ziegler"|"Adamring 716
9364 Scheibbs"
"Jonas Albrecht"|"Plankring 9
7782 Mattersburg"
"Lily Pöll"|"Kirchmairweg 9/7
6154 Berndorf"
"Madeleine Laimer"|"Pöllgasse 6
1784 Peuerbach"
"Aleksandra Haid"|"Kasperring 457
7032 Langenlois"
"Jan Oberhauser"|"Finkstr. 066
1841 Waidhofen an der Ybbs"
"Nathan Klaus"|"Juliane-Luger-Gasse 7/4
9198 Scheibbs"
"Dilara Kaspar"|"Stefanie-Haderer-Platz 4
7208 Fürstenfeld"
"Dipl.-Ing. Sandro Pirker"|"Gregor-Handl-Weg 8
2847 Straßburg"
"Univ.Prof. Isabell Buchinger"|"Grundnerweg 197
3775 Mattersburg"
"Milica Haas"|"Leo-Seifert-Straße 7
5864 Mank"
"Melissa Glatz"|"Stelzerring 961
2516 Villach"
"Univ.Prof. Timo Sigl"|"Esther-Prem-Ring 9
3600 Bad Hall"
"Jamie Hagen-Bodner"|"Bischofweg 6/3
9993 Salzburg"
"Aleksandra Klausner"|"Matthias-Reitinger-Ring 7/0
6962 Herzogenburg"
"Adelina Altmann"|"Matteo-Brandl-Straße 9/0
8291 Waidhofen an der Ybbs"
"Martin Auinger-Fiedler"|"Waldnerplatz 1
9396 Friesach"
"Kevin Hacker"|"Traxlerplatz 6/9
3448 Hall in Tirol"
"Maria Simon-Neugebauer"|"Höflergasse 5
1411 Korneuburg"
"Igor Geyer"|"Rachel-Schrenk-Platz 6/3
7990 Bad Radkersburg"
"Leonardo Seiwald"|"Emanuel-Sailer-Straße 98
9311 Deutschlandsberg"
"Oliver Kraft"|"Lindingerring 034
7635 Güssing"
"Felix Schweiger"|"Lamplweg 6
7207 Leoben"
"Kevin Rinner"|"Pascal-Gratz-Ring 40
8424 Gmunden"
"Alena Ertl"|"Ganglgasse 3
8698 Gleisdorf"
"Christine Riedmann"|"Viktor-Jahn-Weg 55
3998 Neusiedl am See"
"Helene Neumayr"|"Annabella-Kral-Ring 5/5
6993 Schladming"
"Ajna Seifert"|"Schweitzerstraße 8/9
4862 Stadtschlaining"
