"अंजली कुलकर्णी"	"861 चव्हाण
मिरज 990346"
"कुमारी निखिल सावंत"	"255 कविता जाधव
सांगली 172322"
"विवेक कांबळे"	"88/68 ठाकूर
ठाणे 345163"
"श्रीमती अपर्णा पाटील"	"42/2655 दीपक चव्हाण
धुळे-176130"
"रेणुका राऊत"	"2/9 जोशी
बीड-739502"
"अंजली पवार"	"21 ओक
कोल्हापूर-024730"
"सचिन पवारजी"	"2/8 संदीप जगताप
सातारा 127814"
"विनायक चौगुले"	"714 विनायक भोसले
उस्मानाबाद 421320"
"मकरंद जगताप"	"2/3 आकांक्षा ठाकूर
परभणी-424844"
"कुमारी विवेक माने"	"0 फडके
लातूर-487819"
"स्नेहा अहेर"	"2/3 विकास जोशी
पिंपरी-चिंचवड-011809"
"आशा फडकेजी"	"90 जोशी
अमरावती 378512"
"स्नेहा जगतापजी"	"8 कोल्हे
पिंपरी-चिंचवड-196796"
"श्री अनिल सावंत"	"0/1 प्रवीण आगरकर
सोलापूर-894109"
"ज्योती देशपांडेजी"	"16/856 स्मिता फडके
पुणे 634413"
"अंजली पवार"	"29 कुलकर्णी
हिंगोली-081731"
"मीनल पवार"	"3762 कैलास राऊत
जळगाव-869500"
"मोहन आगरकर"	"06/161 चौगुले
धुळे-956895"
"विकास शिंदे"	"4 जोशी
सोलापूर-264955"
"श्रीमती श्रुती कोल्हे"	"49/5912 स्नेहा माने
धुळे-920144"
"आकाश मानेजी"	"07 वैशाली देशमुख
पुणे 627957"
"उमेश गवळी"	"08 कल्पना गवळी
रत्नागिरी 573536"
"मोहन भोसलेजी"	"9463 अनुष्का आगरकर
उस्मानाबाद-455787"
"सुरेश सावंतजी"	"3 राऊत
ठाणे-665069"
"चेतना देशपांडेजी"	"9851 ओक
चंद्रपूर 270945"
"अंजली पवारजी"	"91/79 वैशाली कोल्हे
मिरज-389003"
"श्री मीनल कोल्हे"	"96 पाटील
नवी मुंबई 138599"
"आदित्य कांबळे"	"25/4836 विनायक पाटील
मुंबई-132177"
"ज्योती चव्हाण"	"0 शिरसाट
मुंबई 835634"
"मेघा फडके"	"96/847 पाटील
नांदेड-752885"
"ईश्वर कुलकर्णी"	"01/9898 जोशी
कोल्हापूर 348158"
"श्री ज्योती माने"	"82/3664 रीमा पवार
वसई 421214"
"अमोल गायकवाड"	"63 सचिन साने
सोलापूर 902800"
"संदीप राऊतजी"	"5099 जाधव
अमरावती-114885"
"पूजा गवळी"	"6/3 अमित जाधव
गोंदिया-086963"
"अंजली पाटील"	"1131 साळुंखे
पिंपरी-चिंचवड 381619"
"कुमारी पंकज साळुंखे"	"38/175 कांबळे
अमरावती-763162"
"कुमारी आकाश राऊत"	"9 पल्लवी देशपांडे
सोलापूर 055887"
"निखिल शिंदे"	"07/60 माने
पुणे 916801"
"आकाश महाजनजी"	"3/2 नेहा चौगुले
औरंगाबाद-116159"
"मीनल सावंत"	"8 जगताप
धुळे 737523"
"मंगेश शिंदे"	"4/1 साने
मिरज 210321"
"श्री कीर्ती शिंदे"	"37/215 अभिजीत ठाकूर
नवी मुंबई-735654"
"माधव ओक"	"86/52 कैलास चव्हाण
रत्नागिरी 876944"
"श्रीमती उमा चव्हाण"	"68/792 उमेश ठाकूर
मुंबई-353213"
"अंजली पाटीलजी"	"9/1 कुलकर्णी
लातूर-232747"
"श्री हर्षदा फडके"	"2215 अंजली देशपांडे
नांदेड-328105"
"उमा सावंत"	"425 गणेश कदम
सांगली 708018"
"श्रीमती निखिल चौगुले"	"6 अमोल राऊत
चंद्रपूर 445334"
"मकरंद जगतापजी"	"7776 तन्वी गवळी
नागपूर 835012"
"स्वाती चौगुले"	"4 जगताप
मुंबई 539018"
"कुमारी रीमा देशपांडे"	"569 गायकवाड
सातारा-154327"
"दीपाली साळुंखेजी"	"022 स्नेहा जाधव
वसई 738100"
"वैशाली जाधवजी"	"4/4 कुलकर्णी
सोलापूर 570755"
"कुमारी रीमा चौगुले"	"6049 अपर्णा जोशी
नांदेड-653497"
"अंजली भोसले"	"43/662 प्रिया देशमुख
उस्मानाबाद-795705"
"श्रीमती उमा पवार"	"41/39 जोशी
सांगली 905603"
"श्रीमती निखिल मोरे"	"3656 गौरव राऊत
सातारा-605159"
"दीपक पाटील"	"97 भोसले
मुंबई-101587"
"श्री सुनील शिरसाट"	"02/84 पूजा जोशी
यवतमाळ-502480"
"गौरी पवार"	"81/099 सावंत
परभणी-302492"
"कुमारी इशिता ओक"	"64/9915 अमित आगरकर
बीड 557628"
"श्रीमती अभिषेक कोल्हे"	"5/3 धनंजय जोशी
अहमदनगर 905380"
"इशिता साळुंखेजी"	"1 प्रकाश महाजन
धुळे 977757"
"श्रीमती प्रिया जगताप"	"3772 शिल्पा मोरे
ठाणे 679946"
"अंजली मोरे"	"09 फडके
सांगली 008393"
"गणेश फडकेजी"	"87/03 पवार
पुणे 246140"
"श्री प्रिया महाजन"	"585 प्रिया चव्हाण
अमरावती 387978"
"प्रज्ञा सानेजी"	"0322 माधव चौगुले
ठाणे-507580"
"कुमारी विकास कांबळे"	"1/6 जाधव
रत्नागिरी-286006"
"अमोल राऊतजी"	"939 पाटील
कोल्हापूर-695321"
"कुमारी रेणुका गवळी"	"65 निलेश पवार
सोलापूर 782364"
"कुमारी प्रवीण पाटील"	"82/381 सावंत
रत्नागिरी-794738"
"श्रीमती लता मोरे"	"1623 ओक
रत्नागिरी-035603"
"रेणुका महाजन"	"57/65 कोल्हे
सातारा 308146"
"अंजली राऊतजी"	"8207 सावंत
गोंदिया 975545"
"राहुल फडकेजी"	"624 पूजा गवळी
परभणी-833411"
"राहुल माने"	"71/10 देशपांडे
हिंगोली-683633"
"नेहा सानेजी"	"79 पवार
नवी मुंबई-703849"
"अनुष्का कांबळे"	"96 देशमुख
कोल्हापूर-127731"
"कैलास फडके"	"09/33 भोसले
अहमदनगर-885372"
"मोहन भोसलेजी"	"4 पवार
सोलापूर-706174"
"श्रीमती शिल्पा शिंदे"	"09 माने
नाशिक 078586"
"ईश्वर पाटील"	"1 आगरकर
सोलापूर 818245"
"श्रीमती ईश्वर जोशी"	"6149 प्रशांत चव्हाण
अहमदनगर-680159"
"अंजली शिंदे"	"4 अभिषेक देशपांडे
धुळे-820303"
"कुमारी जितेंद्र जगताप"	"990 देशपांडे
अमरावती-822338"
"शिल्पा शिंदेजी"	"101 मोरे
मिरज-769801"
"श्री कीर्ती देशमुख"	"1 सावंत
नांदेड-278301"
"श्री स्वाती मोरे"	"99/08 जगताप
गोंदिया 056937"
"श्री पल्लवी जाधव"	"6/4 गायकवाड
रत्नागिरी-653355"
"कुमारी विवेक कदम"	"4/8 शिरसाट
बीड-560631"
"लता गायकवाडजी"	"99 कैलास फडके
यवतमाळ 510988"
"अमोल जाधव"	"7 अभिजीत ठाकूर
ठाणे-278802"
"प्रवीण साळुंखेजी"	"42/37 कल्पना चव्हाण
कोल्हापूर-002485"
"अंजली शिंदे"	"607 माने
कोल्हापूर 685764"
"समीर कदम"	"65/8863 कुलकर्णी
कोल्हापूर 840563"
"कुमारी अरुण जाधव"	"8/5 रेणुका चव्हाण
पिंपरी-चिंचवड-468427"
"कुमारी कैलास चव्हाण"	"54/1143 शिरसाट
पिंपरी-चिंचवड-929113"
"उमेश कुलकर्णीजी"	"4086 साळुंखे
लातूर 306654"
"कुमारी पंकज शिंदे"	"66/03 प्रिया गवळी
नाशिक-627926"
"आदित्य कुलकर्णीजी"	"0/5 जाधव
सोलापूर 164160"
"ज्योती भोसले"	"853 अभिजीत कोल्हे
रत्नागिरी 820068"
"अपर्णा चौगुले"	"64/0532 भोसले
चंद्रपूर 296456"
"रोहित सावंतजी"	"0/2 पवार
वसई 456266"
"अंजली शिंदे"	"89/68 गौरी शिरसाट
गोंदिया 312336"
"कुमारी अमोल माने"	"06 भोसले
औरंगाबाद-279778"
"शिल्पा कदम"	"8 माधुरी गवळी
रत्नागिरी 508199"
"श्रीमती कविता ठाकूर"	"396 प्रज्ञा मोरे
सांगली 171707"
"श्री लता मोरे"	"060 महाजन
धुळे-169034"
"विवेक महाजनजी"	"0/3 चव्हाण
अमरावती-122016"
"श्रुती ओकजी"	"03/94 दत्तात्रेय ठाकूर
हिंगोली 405047"
"कैलास जगतापजी"	"64/91 कुलकर्णी
नांदेड 912116"
"उमेश सावंतजी"	"9/8 दत्तात्रेय साने
नवी मुंबई-044418"
"सुनील कुलकर्णी"	"6391 महाजन
गोंदिया-055866"
"अंजली सावंतजी"	"9/0 शिंदे
जळगाव 931986"
"गौरव ओक"	"201 देशमुख
अमरावती 734396"
"अपर्णा सानेजी"	"99/66 शिरसाट
धुळे-775322"
"मेघा ठाकूर"	"64/262 पवार
चंद्रपूर 000187"
"श्री अनिता ओक"	"29/1108 कदम
लातूर 298143"
"श्रीमती गौरव शिरसाट"	"18/568 रीमा जोशी
रत्नागिरी-383107"
"श्री कोमल चौगुले"	"44/818 पल्लवी साळुंखे
मिरज-730769"
"श्रीमती अरुण सावंत"	"4/7 चेतन ठाकूर
गोंदिया 352796"
"श्रीमती चेतना सावंत"	"1 कोमल साने
हिंगोली-653655"
"कुमारी चेतन राऊत"	"5/8 चेतना ओक
नाशिक-076015"
"अनिता ओक"	"3664 कदम
अकोला 616508"
"अशोक मोरेजी"	"7 संदीप पाटील
रत्नागिरी 397842"
"पल्लवी देशमुख"	"8/6 विनायक जाधव
रत्नागिरी 977191"
"ईश्वर पवार"	"74/9730 कुलकर्णी
धुळे 971058"
"विनायक चव्हाण"	"8/7 निलेश ओक
अमरावती-094354"
"मिलिंद शिंदे"	"8277 भूषण महाजन
पुणे 292637"
"मोहन गवळीजी"	"4843 देशमुख
ठाणे-631977"
"श्रीमती अनिरुद्ध कांबळे"	"35 साळुंखे
नवी मुंबई-593237"
"कुमारी आदित्य फडके"	"1 आगरकर
सांगली 627630"
"कविता मोरेजी"	"3 अभिषेक सावंत
चंद्रपूर-805317"
"अनिता कांबळे"	"33/5092 अनिरुद्ध चौगुले
लातूर-966177"
"श्री चेतन गायकवाड"	"71/50 कांबळे
मुंबई 844187"
"अमित पवार"	"6 आदित्य जोशी
यवतमाळ-909376"
"श्रीमती अमित गायकवाड"	"1805 प्रकाश जोशी
मुंबई-267240"
"प्रज्ञा चव्हाण"	"7132 ईश्वर कोल्हे
अकोला-497127"
"श्रीमती रीमा जोशी"	"4 फडके
मिरज 858839"
"दीपाली अहेरजी"	"2/0 चौगुले
गोंदिया-152812"
"उमा गवळी"	"42/69 निलेश सावंत
उस्मानाबाद-993484"
"कोमल जोशी"	"29 माने
नवी मुंबई-627051"
"ईश्वर साळुंखेजी"	"21/4662 कदम
हिंगोली 364244"
"अनिता कोल्हे"	"843 गवळी
सोलापूर-285726"
"स्नेहा शिंदे"	"85 नेहा माने
लातूर 611003"
"वैशाली साने"	"969 पाटील
मिरज-334245"
"श्री नेहा गवळी"	"09 प्रिया सावंत
नाशिक-653051"
"अंजली गायकवाडजी"	"8242 चौगुले
औरंगाबाद-364598"
"अनिल शिंदे"	"2 महाजन
हिंगोली 059805"
"लता शिंदेजी"	"7 रोहिणी मोरे
गोंदिया 976734"
"कुमारी अनुष्का आगरकर"	"8/5 गवळी
जळगाव 018977"
"चेतना शिंदेजी"	"5 आकाश महाजन
धुळे-680897"
"दीपाली जाधवजी"	"8/5 समीर कदम
बीड-790789"
"अनिता कोल्हेजी"	"3743 तन्वी भोसले
अहमदनगर-217417"
"अरुण जाधवजी"	"64 दीपाली शिंदे
अमरावती 445648"
"श्री मीनल गवळी"	"66/8050 गौरी जगताप
धुळे-592502"
"प्रिया महाजन"	"9034 साळुंखे
गोंदिया-741251"
"दीपाली चव्हाण"	"30/20 गौरी माने
पुणे 169548"
"निखिल शिंदे"	"823 राऊत
हिंगोली-026919"
"संदीप आगरकरजी"	"30 उमेश भोसले
लातूर-961738"
"चेतन जगताप"	"8 कदम
चंद्रपूर-080137"
"अनिल कदम"	"75/023 मेघा देशमुख
रत्नागिरी 425745"
"अनुष्का मानेजी"	"48/562 रेणुका कोल्हे
धुळे-195108"
"अनिता गायकवाडजी"	"2/7 फडके
अहमदनगर-433484"
"श्री माधुरी जगताप"	"067 फडके
जळगाव 224550"
"अपर्णा आगरकरजी"	"81/93 पल्लवी जोशी
मिरज 682718"
"श्रीमती अभिजीत महाजन"	"37/03 प्रज्ञा महाजन
चंद्रपूर 255008"
"कोमल मोरेजी"	"78 समीर माने
नांदेड-091005"
"अनुष्का कदमजी"	"535 कदम
नाशिक 231299"
"श्रीमती विकास चव्हाण"	"21 सुरेश देशमुख
मुंबई-217090"
"अपर्णा चौगुले"	"96/8001 चौगुले
यवतमाळ 031053"
"श्री माधुरी चव्हाण"	"02/548 श्रुती कांबळे
सातारा-183762"
"दीपाली जगताप"	"7/4 चेतन कुलकर्णी
यवतमाळ-354579"
"अनिता चव्हाण"	"16 अमोल जाधव
कोल्हापूर 617411"
"श्रीमती शिल्पा गायकवाड"	"6/0 रेणुका ठाकूर
औरंगाबाद 089545"
"कुमारी कविता मोरे"	"2871 प्रकाश देशपांडे
लातूर 387667"
"पल्लवी देशमुखजी"	"792 भोसले
सांगली-798180"
"अभिजीत शिंदेजी"	"96/4145 जगताप
सोलापूर 189689"
"रेणुका गायकवाडजी"	"4/3 कल्पना कोल्हे
अकोला-728186"
"रोहित राऊतजी"	"19/444 साळुंखे
चंद्रपूर-617204"
"श्री मकरंद कदम"	"151 कुलकर्णी
अहमदनगर-866295"
"हर्षदा शिरसाटजी"	"9792 ईश्वर गायकवाड
धुळे-775033"
"रेणुका ठाकूरजी"	"0/9 अनिरुद्ध फडके
मुंबई-447656"
"अनिता जोशीजी"	"4 अनिता शिरसाट
यवतमाळ 975187"
"आदित्य कोल्हे"	"008 कुलकर्णी
उस्मानाबाद 197856"
"मेघा जोशी"	"6 दीपक देशमुख
सोलापूर-706737"
"आकाश मोरेजी"	"92/71 पंकज कदम
सोलापूर 629319"
"अनुष्का जगतापजी"	"03 आकाश जगताप
परभणी-496578"
"आशा महाजनजी"	"2/8 कांबळे
परभणी-290242"
"श्री मिलिंद चव्हाण"	"44/095 महाजन
पुणे-518602"
"अमोल साळुंखे"	"771 शिंदे
पुणे-319247"
"संदीप शिरसाटजी"	"8499 मीनल शिंदे
अकोला-248844"
"कुमारी ज्योती आगरकर"	"5 राऊत
उस्मानाबाद 885442"
"अनिता फडकेजी"	"0 महाजन
चंद्रपूर-245039"
"दत्तात्रेय कांबळेजी"	"92/033 शिंदे
ठाणे-241147"
"मोहन जोशी"	"36 आकांक्षा कांबळे
लातूर 670365"
"कुमारी रोहित जगताप"	"46 देशमुख
परभणी-898878"
"सुनील ओक"	"60/68 साने
सोलापूर-745329"
"निखिल पाटील"	"95/63 चेतना जोशी
सोलापूर-919970"
"कीर्ती सावंतजी"	"02/8014 प्रज्ञा महाजन
चंद्रपूर-819399"
"अरुण साळुंखेजी"	"9/0 साळुंखे
लातूर-239679"
"भूषण पवारजी"	"2/2 मानसी पाटील
उस्मानाबाद-486134"
"श्रीमती इशिता गायकवाड"	"10 अहेर
सातारा 733912"
"अनिता राऊत"	"4072 मानसी देशमुख
सोलापूर 248606"
"निखिल शिंदे"	"3247 मोहन कुलकर्णी
नांदेड 280296"
"श्री मीनल चौगुले"	"39/0434 कोल्हे
कोल्हापूर 833154"
"श्रीमती मानसी सावंत"	"2409 अनिरुद्ध गायकवाड
पुणे-981461"
"विवेक जाधव"	"08 शिंदे
मुंबई-425617"
"किरण पवार"	"6/2 निखिल पाटील
अकोला 488135"
"दत्तात्रेय साळुंखे"	"2 साळुंखे
धुळे-578172"
"दीपाली चौगुलेजी"	"16/81 गौरी देशमुख
बीड-792016"
"आकाश कदम"	"9676 ओक
परभणी 540162"
"मोहन कुलकर्णी"	"82/91 निलेश देशमुख
ठाणे-550325"
"अनिता साळुंखेजी"	"6/3 सुनील कांबळे
कोल्हापूर 909642"
"कैलास ठाकूर"	"37/0499 अमित कांबळे
परभणी-552919"
"प्रवीण आगरकर"	"4 साने
मिरज 764473"
"अभिषेक फडकेजी"	"49/438 कोल्हे
औरंगाबाद 181450"
"कुमारी सुरेश सावंत"	"39/0094 शिंदे
लातूर 981765"
"मंगेश जाधव"	"48 कांबळे
मिरज-542925"
"इशिता चौगुलेजी"	"4660 शिंदे
नांदेड-174867"
"कैलास आगरकर"	"7220 कांबळे
मुंबई 280995"
"श्रीमती अनिरुद्ध गायकवाड"	"0 शिंदे
मुंबई-920735"
"कल्पना आगरकर"	"21/01 कोल्हे
कोल्हापूर 911745"
"अनिता सावंतजी"	"23 अपर्णा साने
बीड-509038"
"स्वाती गवळीजी"	"3850 विवेक फडके
अहमदनगर-768957"
"पल्लवी फडकेजी"	"5623 कोल्हे
औरंगाबाद-190496"
"मोहन कदम"	"58/87 भोसले
मिरज 409385"
"कुमारी विवेक फडके"	"9636 कोल्हे
मुंबई 150385"
"संदीप सानेजी"	"21 कदम
अमरावती 965487"
"प्रवीण माने"	"4784 चौगुले
मिरज-227636"
"श्री अनिरुद्ध चौगुले"	"3573 कदम
सांगली 639224"
"गौरी शिंदेजी"	"86/8199 समीर साने
वसई 125197"
"मानसी मोरेजी"	"30/76 साने
मुंबई 347588"
"अनिरुद्ध आगरकर"	"027 शिरसाट
पुणे 273232"
"कुमारी अपर्णा गायकवाड"	"53/9823 प्रवीण मोरे
नागपूर-694789"
"अमित महाजन"	"37/80 ओक
अहमदनगर 091033"
"अनिरुद्ध चव्हाणजी"	"92/3977 मेघा देशपांडे
नवी मुंबई-845767"
"अपर्णा कुलकर्णीजी"	"12 प्रिया आगरकर
नाशिक-021784"
"आकाश जाधवजी"	"3260 कल्पना भोसले
पिंपरी-चिंचवड 940290"
"सचिन फडके"	"698 निखिल कदम
वसई 086212"
"सचिन कांबळेजी"	"48/7479 उमेश ओक
धुळे-432776"
"श्री कोमल कोल्हे"	"254 अनिरुद्ध देशमुख
औरंगाबाद-261623"
"रेणुका चव्हाणजी"	"94/378 पाटील
औरंगाबाद 951340"
"अनिरुद्ध आगरकरजी"	"49/16 अभिषेक चौगुले
सातारा 531500"
"माधव चव्हाण"	"57/346 गवळी
नवी मुंबई 333756"
"तन्वी महाजन"	"26/3251 प्रकाश जगताप
लातूर-610199"
"श्रीमती वैशाली शिरसाट"	"3 श्रुती चौगुले
सातारा 195608"
"आकांक्षा माने"	"22/87 नेहा देशमुख
अकोला-070284"
"उमेश राऊतजी"	"98/000 संदीप देशपांडे
नागपूर 331092"
"सचिन सानेजी"	"60/5823 जोशी
अकोला-297729"
"मंगेश जगतापजी"	"4 कांबळे
पिंपरी-चिंचवड-427632"
"प्रिया पवारजी"	"0 मानसी महाजन
सांगली 370179"
"श्री पल्लवी महाजन"	"93/6238 कोल्हे
लातूर-406737"
"अनिरुद्ध ओकजी"	"03/3573 जाधव
पिंपरी-चिंचवड 370083"
"श्रीमती निखिल ठाकूर"	"3 मोहन महाजन
अमरावती-785107"
"अमोल चौगुले"	"5560 ज्योती गायकवाड
रत्नागिरी-954975"
"कुमारी विवेक ठाकूर"	"633 आशा अहेर
मिरज-295342"
"मकरंद राऊतजी"	"81/9812 माधुरी महाजन
नाशिक 136756"
"स्नेहा शिंदेजी"	"8/1 स्मिता गायकवाड
सातारा-175949"
"अभिजीत फडके"	"690 जोशी
मुंबई 491332"
"दीपाली साने"	"11/5371 इशिता सावंत
मिरज-429375"
"मोहन आगरकर"	"51/406 प्रज्ञा अहेर
जळगाव-519011"
"अभिषेक शिरसाटजी"	"807 रीमा भोसले
नागपूर-911132"
"अनिरुद्ध कदम"	"489 गवळी
परभणी 095026"
"श्री आशा मोरे"	"367 साळुंखे
हिंगोली 898521"
"भूषण माने"	"19 चौगुले
नागपूर 367413"
"चेतना महाजन"	"9 विकास गवळी
अकोला 328530"
"दीपक कोल्हे"	"58/97 रीमा गवळी
नागपूर 058879"
"आकांक्षा पाटीलजी"	"664 माने
ठाणे 099111"
"स्वाती देशपांडे"	"0647 स्वाती कुलकर्णी
मुंबई 285755"
"अनिरुद्ध देशमुखजी"	"9898 सुनील कोल्हे
जळगाव-803333"
"गौरव देशमुख"	"3 जाधव
नागपूर 695098"
"श्रीमती प्रवीण पाटील"	"72 चव्हाण
औरंगाबाद 561868"
"अनिरुद्ध गायकवाड"	"4 वैशाली आगरकर
बीड 501511"
"अपर्णा महाजनजी"	"79 जाधव
कोल्हापूर 568326"
"श्री भूषण आगरकर"	"08/775 मीनल देशपांडे
नवी मुंबई-037997"
"कुमारी कोमल जोशी"	"26/1027 जितेंद्र जगताप
लातूर-295533"
"हर्षद जोशीजी"	"61/67 कांबळे
अहमदनगर-443958"
"कुमारी रोहिणी राऊत"	"3 अनुष्का जगताप
औरंगाबाद-169509"
"श्रीमती कैलास ठाकूर"	"04/019 प्रशांत चौगुले
नांदेड 841004"
"रोहिणी ठाकूरजी"	"4/9 माधुरी जाधव
गोंदिया 193679"
"अनुष्का गायकवाड"	"76/9043 स्वाती गवळी
यवतमाळ-276573"
"मीनल शिरसाट"	"53 मकरंद माने
नागपूर 989072"
"अनिरुद्ध चौगुले"	"175 धनंजय पवार
औरंगाबाद 209971"
"वैशाली शिरसाट"	"232 स्नेहा ओक
परभणी 571046"
"कुमारी सचिन कांबळे"	"5/8 राऊत
मुंबई 942304"
