"Aaron Ceulemans","Lisasteeg 10
6043 Tertre"
"Kobe Maes","Andreaboulevard 563
2174
Zevekote"
"Lukas Bekaert","Davidring 72
7728 Mont-sur-Marchienne"
"Renée Janssen","Hasandreef 83
6862
Beauwelz"
"Steven Fransen","Evalei 6
3181 Halma"
"Agnes Claes","Yasminehof 191
1022
Grand-Rechain"
"Kris Bosmans","Arthurdreef 027
4390
Strijpen"
"Marthe Van Looy De Schryver","Michielsingel 06
4600
Wulveringem"
"Sabine Vermeire","Margauxhof 5
9981
Presgaux"
"Inge Berghmans","Lutgardislaan 2
1842 Marchienne-au-Pont"
"Dorien Jacobs","Nadinebaan 097
3765 Bombaye"
"Nancy Bauwens","Marcsteeg 3
1213 Temploux"
"Johan De Wit","Hildelaan 23
6797
Malvoisin"
"Owen Houben","Marleenbaan 52
9579
Blaregnies"
"Stijn Demeulenaere","Mohamedsteeg 9
2962 Bazel"
"Agnes Van den Brande","Fatihasteeg 222
1524 Hoboken"
"Annie Wouters","Jozefhof 00
6435
Okegem"
"José Bossuyt","Ginodreef 4
9239 Tielen"
"Angelo Peeters Janssens","Peterboulevard 5
5823
Bioul"
"Guido Van Damme","Pieterlei 1
3490
Fallais"
"Johan Verhulst","Tinekeboulevard 66
6810 Fronville"
"Seppe Lievens","Loreboulevard 7
3252
Obaix"
"Jeanne Van Bogaert","Frédéricring 93
5250 Hallaar"
"Pascale Vandeputte","Didierweg 3
2266 Saint-Gérard"
"Carine Verbeeck","Ivoboulevard 1
8085
Spermalie"
"Agnès Van Camp","Vickylaan 7
2672
Tournay"
"Edwin Snauwaert","Mariabaan 40
8992
Grand-Rosière-Hottomont"
"Nadia De Wolf","Neleboulevard 561
7939 Vucht"
"Rosalia Van Assche","Jurgenhof 9
3175
Estinnes"
"Sara Sabbe","Leenpad 2
8145 Odeur"
"Jasper Goyvaerts","Lilianeboulevard 03
2073 Lambermont"
"Zeynep Van de Walle","Juliedreef 79
5129 Smetlede"
"Yolande Lievens","Lilianering 1
5264
Jesseren"
"Linde Segers Broeckx","Paulaweg 23
3740
Marche-lez-Ecaussinnes"
"Fatima Vermeulen","Patricklei 982
6685
Waarloos"
"Ahmed Boeckx","Georgettehof 810
5696 Hemptinne"
"Valérie Vanhove","Julieweg 7
8361 Sint-Joris-Beernem"
"Joke Peeters","Oliviadreef 03
3627
Sint-Margriete-Houtem"
"Ferdinand Tielemans","Godelievelei 5
5142 Beclers"
"Caroline Moens","Jelleboulevard 80
2816 Gentbrugge"
"Carine Claus","Bertboulevard 6
1461
Bailleul"
"Kristof Boon","Frederiksingel 7
4778
Beveren-Waas"
"Ellen Vaes Op de Beeck","Hugoweg 23
9931 Loncin"
"Nicole Verbruggen","Martinestraat 007
3831 Grosage"
"Ferre Vandenbroucke","Veroniquelaan 66
4867
Nederename"
"Ahmed Poppe","Daisysteeg 4
8769
Dilbeek"
"Abdullah Casier","Christinehof 729
2591
Zichen-Zussen-Bolder"
"Albert Jacobs","Janbaan 696
2287 Virelles"
"Rik Peeters","Mariolaan 42
9430
Baileux"
"Bart Lambrechts Van de Voorde","Gretaring 0
9374 Septon"
"Patrick Cuypers","Mohamedlaan 680
6606 Overwinden"
"Yves Boone","Sharonsingel 280
8806 Zeebrugge"
"Dirk Gevaert","Bertweg 224
7965 Pont-de-Loup"
"Yvonne Hermans","Saskiasteeg 208
4595 Chapelle-à-Oie"
"Lore Poelmans Van de Velde","Lucassteeg 941
6264
Sint-Gillis"
"Ahmet Deconinck","Stevering 734
1726 Grand-Reng"
"Joran Buyse Cox","Daanstraat 93
1645 Hogne"
"Renaat Luyten","Semsingel 7
9251 Saint-Remy-Geest"
"Joris De Schryver","Jeannineweg 033
1473 Vinalmont"
"Jasper Peeters","Philiphof 94
1051
Hensies"
"Martine Moors","Larsweg 427
4921
Faulx-les-Tombes"
"David Colman","Christellering 34
7105
Mortsel"
"Gert Neirynck","Janlei 98
3318
Olen"
"Stijn Janssens","Mohammeddreef 226
4618 Sint-Joris-Winge"
"Jean Van den Bosch","Larsboulevard 095
6617
Rotheux-Rimière"
"Aicha De Clerck","Valerielaan 508
3718 Hoeleden"
"Eric Verhaeghe","Véroniquepad 0
4632
Sint-Maria-Oudenhove-Zottegem"
"Wendy Verhaegen","Yveshof 6
3499
Limal"
"Marie Put","Koenweg 272
9656 Avennes"
"Yassin Van Damme","Miekestraat 1
9948
Wiesme"
"Dirk Vermeylen","Mariaweg 28
1169
Heldergem"
"Julien Dewilde","Franciscusring 9
9074 Ganshoren"
"Jef Roose","Maximlei 4
1821
Annevoie-Rouillon"
"Ayse Lauwers","Katjalei 069
4048
Grivegnée"
"Dieter Vercauteren","Aaronbaan 9
8770 Haulchin"
"Alain Devriendt","Elsstraat 06
5619
Smetlede"
"Frank Van Praet","Learing 90
9630
Amay"
"Thomas Janssens","Sylviehof 3
2575 Melkwezer"
"Maurits Singh","Adamsteeg 342
5681 Anderlecht"
"Anne Van de Walle Peeters","Stijnlaan 52
7184 Harmignies"
"Bo Van Dijck","Willemstraat 27
8345 Sint-Martens-Voeren"
"Marleen Kaya","Wimdreef 121
8226
Zarlardinge"
"Johnny Janssens","Patriciaboulevard 5
4099
Kallo"
"Monique Van Laer","Jefstraat 091
6766 Bois-de-Villers"
"Maria Singh","Christiansteeg 29
8358 Breendonk"
"Alain Engelen Vandenberghe","Lottebaan 016
1718 Rendeux"
"Kathleen De Schutter","Simonsingel 191
8880 Néchin"
"Jozef De Block","Jozefstraat 62
7288
Marneffe"
"Elien Coppens","Evelineweg 32
7105
Sautour"
"Annie Segers","Nicolaan 68
5155 Grune"
"Daniël Celis","Tinekering 702
2735 Vaux-lez-Rosières"
"Carmen Timmerman","Sannesteeg 210
7712 Chimay"
"Glenn Jacobs","Daviddreef 03
6440 Gaurain-Ramecroix"
"Tom Claessens","Ericring 2
8896 Teuven"
"Anna De Meyer","Lucdreef 8
2991 Tillet"
"Alain Goossens","Bartbaan 37
8324 Flostoy"
"Naomi Verstappen","Alexandersingel 22
7559 Vremde"
"Adam Vermeulen","Ilyaslei 015
9983 Sommethonne"
"Marie Sels","Henklei 13
1104
Purnode"
"Monique Bogaert","Lilianeboulevard 704
3055 Oppuurs"
"Karel Claeys","Franklei 78
2458 Maizeret"
"Alexander Demeyere","Angelolaan 0
4638
Webbekom"
"Elke De Wolf Aerts","Fleurpad 6
5779 Grote-Brogel"
"Ingrid Moons Hendrickx","Joannadreef 63
4927
Hauset"
"Karen Hermans","Rebeccalaan 4
7384
Saint-Martin"
"Alain Mertens","Corneliastraat 83
6677
Courrière"
"Inge De Smet","Stevering 915
7410 Grammene"
"Boris Verbrugghe","Ellendreef 155
2983 Andenne"
"Nicole De Schutter","Josephalei 207
2177
Winenne"
"Steven Vanderlinden","Inesboulevard 750
7706 Haversin"
"Johan Vercruysse","Jessicalei 58
5698 Sint-Maria-Lierde"
"Dirk Lenaerts","Mariehof 46
7268
Tongeren"
"Claudine Vercauteren Van de Velde","Mariehof 5
4954
Arbre"
"Danny Goovaerts","Jozefsteeg 2
7902 Eine"
"Ines De Neve","Rogersingel 111
2464
Bierges"
"Alain Mertens","Patriciasteeg 996
9890
Hondelange"
"Luc Van den Brande","Henribaan 49
5726 Opheylissem"
"Johan Vanhoutte","Martinesingel 6
1863 Lahamaide"
"Daan Mahieu Boon","Rubenlaan 7
6021
Hodister"
"Olivier Van Hoecke","Koendreef 1
1993 Bertrix"
"Mohammad Cornelis","Daanlei 809
4846 Ledeberg"
"Bert Vermeersch","Nicolebaan 63
8774 Scherpenheuvel"
"Godelieve Verboven","Soniaring 1
4863 Sint-Joost-ten-Node"
"Ibrahim Verbeeck Borremans","Elenalei 64
9773 Lanquesaint"
"Lucie Vercammen","Amysingel 4
8079
Onze-Lieve-Vrouw-Lombeek"
"Alain Nys","Josianelaan 2
7144 Ambresin"
"Khadija Smet","Frederiksteeg 50
4661 Virton"
"Frédéric De Bruyn","Mohammadring 42
3003
Clermont-sous-Huy"
"Ibrahim Gielen","Kevinring 6
5518 Molenbeersel"
"Veronique Desmet","Guypad 10
1977
Walhain"
"Ivan Bervoets","Harryboulevard 196
9021 Vedrin"
"Christiane Van Hoof","Leonweg 0
2702
Leval-Trahegnies"
"Johan Vervaet","Pieterring 674
9070 Erembodegem"
"Franky Lenaerts","Isabellelei 91
5182 Maarkedal"
"Dina Dewitte","Gerdabaan 81
6883 Neerwinden"
"Albert Decoster","Eddyweg 6
3670
Neerrepen"
"Frank Engels","Evelineboulevard 35
5969 Ernage"
"Margo Wauters","Rubenring 5
3738
Denderwindeke"
"Vanessa Dierickx","Laurenpad 4
9046 Neerwaasten"
"Sarah Mertens","Marielaan 11
3522
Kerkom-bij-Sint-Truiden"
"Michelle Hendrickx","Ellapad 7
5901 Juseret"
"Joannes De Maeyer","Kristofpad 06
7464 Hollogne-sur-Geer"
"Willy Jans","Sarahsteeg 2
9326
Welkenraedt"
"Maurice Depuydt","Mariadreef 2
2985
Borgerhout"
"Leopold De Coster","Christaweg 12
6869 Sint-Martens-Latem"
"Albert Janssens","Johansingel 0
2114 Moorsel"
"Gilbert Hens","Davidboulevard 1
8494 Rijmenam"
"Jan Janssens Jacobs","Lydiabaan 495
9340
Watermaal-Bosvoorde"
"Armand Baeten","Stevesingel 77
2697 Thys"
"Nadia Matthys","Anitaring 9
8012 Glain"
"Pierre Van Assche","Ahmedpad 74
3063
Wervik"
"Michel Maertens","Dannyboulevard 09
8961
Glabbeek-Zuurbemde"
"Pieter Claeys","Lisaboulevard 225
4032 Presgaux"
"Katrien Ooms","Annweg 291
2740 Acoz"
"Michelle Hoste","Tomassteeg 01
4596 Verlée"
"Albert Vandenbroucke","Michellering 6
4579 Leopoldsburg"
"Julien Thys","Elslei 5
4464 Geer"
"Ilse Van Damme","Christinesteeg 325
2631 Vliermaal"
"Gilberte Nelissen","Marioring 98
2201 Trivières"
"Peggy Proost","Andrébaan 195
8542 Gruitrode"
"Thierry Dierckx Decock","Paulstraat 2
7822
Ombret"
"Johnny Janssen","Jelleboulevard 20
8266 Dormaal"
"Elien De Clercq","Lindsaylaan 905
1699
Glons"
"Christel Van Acker","Nicolebaan 52
9757
Koninksem"
"Frederick Goossens","Evelynring 430
7083
Javingue"
"Albert Vandeputte","Christianneweg 892
5432 Courcelles"
"Valérie Vanderheyden","Sharonlaan 67
2378 Ecaussinnes-d'Enghien"
"Noor Claes","Benhof 520
7030
Eine"
"Stijn Eeckhout Bosmans","Robinhof 1
6766 Dalhem"
"Maria Van Hecke","Stéphanielaan 301
6130 Stevoort"
"Etienne Vandeputte","Veroniquebaan 1
9658 Grupont"
"Robert Lenaerts","Sandrapad 2
2544 Weismes"
"Lieve Bauwens","Yannickbaan 83
1941
Hechtel"
"Jurgen Deckers","Geertsteeg 75
5981 Nandrin"
"Lieve Goris","Joséstraat 75
5422
Maulde"
"Albert Vrancken","Jean-Mariesteeg 9
4705 Bavikhove"
"Heidi Luyckx","Carinestraat 90
7849 Sclayn"
"Danny Matthys Breugelmans","Elenaring 85
4222
Berloz"
"Luc Denys","Juliering 999
4926 Ruien"
"Robbe Diallo","Stevenpad 5
2773
Vodecée"
"Lutgarde De Wachter","Stéphanielaan 8
4760 Cornimont"
"Remi Thomas","Marcpad 3
6449 Neerglabbeek"
"Rafaël Peeters","Stevenring 74
6272
Burst"
"Lutgarde Willems","Bartlei 02
6845
Moen"
"Jarno Peeters","Nadialei 085
4507
Wenduine"
"Alex Leysen","Anne-Mariesingel 1
9764 Moerzeke"
"Luna Vanhove","Stijnlaan 816
6232 Wulvergem"
"Rony De Bondt","Romainsteeg 52
9079
Helchteren"
"Edgard Willems","Anjastraat 886
2037 Corbais"
"Arnaud Luyten","Mariahof 2
5479 Destelbergen"
"Roger Boeckx","Robinbaan 45
3798 Braine-l'Alleud"
"Franky Lemmens","Yasminehof 89
7035
Straimont"
"Carine Houben","Pascalring 0
7377
Lembeke"
"Anneleen Smet","Maartenweg 69
5436 Willerzie"
"Johan Van Rompaey","Jokepad 38
6169 Angre"
"Alex Moerman","Janweg 2
2228
Grand-Manil"
"Lorenzo Baeten","Jonasring 15
4624 Plainevaux"
"Gilbert De Decker","Gerdaboulevard 62
5447
Vlijtingen"
"Mehmet Andries","Brittlei 28
3389
Fayt-le-Franc"
"Roland Van Impe","Eddylei 522
7241 Lembeke"
"Geert Dewaele","Adrianlaan 1
8205 Aalter"
"Tom Maes","Sofiestraat 92
1775 Gerpinnes"
"Annelies Pauwels","Ismailbaan 71
7412 Moxhe"
"Melanie Kenis","Geertbaan 6
2815
Wulveringem"
"Joanna Goris","Gilbertsingel 242
5125
Noville-les-Bois"
"Alexander Adriaenssens","Wimbaan 051
8245
On"
"Anne-Marie Janssens","Mauricedreef 7
6297
Seilles"
"Henri Mertens","Manonsteeg 72
3730 Theux"
"Gino De Waele","Peterpad 19
5203 Avin"
"Sandra Raes","Moniquering 6
3849
Mariakerke"
"Frederik Claeys","Annbaan 241
3958
Les Waleffes"
"Geert Jansen","Jacquesweg 122
9722
Goé"
"Annie Wellens","Lucbaan 28
7999 Carlsbourg"
"Gerda Van Acker","Franciscusbaan 514
7892
Deinze"
"Cathy De Smedt","Sofielaan 6
1638 Franchimont"
"Alexander Cuyvers","Debbiedreef 94
8050 Sint-Maria-Horebeke"
"Brent Goris","Eveliensingel 978
5172
Péronnes-lez-Antoing"
"Bruno Verhaegen","Lucassteeg 5
3092
Pollinkhove"
"Margaux De Wachter","Ranidreef 593
9147
Proven"
"Guido Geerts","Tineboulevard 494
6341
La bouverie"
"Louis Hermans Van den Broeck","Alexanderring 52
2773
Izegem"
"Michaël Van Damme","Urbainsteeg 752
3032 Bois-d'Haine"
"Ilse Van de Walle Pauwels","Magdaring 2
8150
Nismes"
"André Verschueren","Peterring 35
7630
Floriffoux"
"Annick Peeters","Sannesteeg 6
7992
Moerzeke"
"Alexander De Coster","Pauliensingel 53
5050 Lahamaide"
"Katrien Wellens","Maximhof 1
4131
Sint-Pieters-Woluwe"
"Liv De Cuyper","Albertbaan 82
2152
Zandvoorde-Oostende"
"Nora De Pauw","Jennysteeg 13
9042 Saint-Remy-Geest"
"Ludo Martens","Ritapad 00
7745 Sainte-Cécile"
"Dieter Janssen","Godelievesingel 2
3383 Vonêche"
"Giuseppe Leemans","Alexweg 995
9718
Wulveringem"
"José Dubois","Ignacedreef 30
8962 Rocourt"
"Nathalie Hermans","Marleenlei 72
5852
Lier"
"Robbe Claeys","Jamessteeg 477
8417
Noirefontaine"
"Alexander De Vos Jacobs","Daanhof 65
8391 Lebbeke"
"Godelieve Neirynck","Alexandraboulevard 21
2994
Denderleeuw"
"Elisa Martens","Igorpad 16
5139 Recht"
"Roy Declercq","Fabianhof 1
3694 Sars-la-Bruyère"
"Tina Baert","Ronnysteeg 0
8572 Meerbeke"
"Inge Mariën","Jeannelei 4
9261 Fontaine-l'Evêque"
"Albert Hermans","Annemiedreef 471
6173
Pailhe"
"Lena Janssens De Paepe","Stijnweg 242
1168 Haillot"
"Angela Vanderstraeten","Jacquelineboulevard 6
7705 Hingene"
"Janne Bracke","Jacobushof 587
6586 Ruette"
"Alexander Moonen","Arthurboulevard 6
4945 Fayt-le-Franc"
"Maria Vissers","Marcelpad 750
6819 Geraardsbergen"
"Ellen Stevens","Jimmystraat 16
7665 Beaumont"
"Jan Van Hecke","Bennylaan 91
4379
Aarsele"
"Margaux Verbruggen","Juliestraat 72
9722
Sugny"
"Ken Nuyts","Mohammadbaan 799
3817 Hulshout"
"Jeroen De Roeck Huyghe","Josianelaan 8
2467 Chaussée-Notre-Dame-Louvignies"
"Lotte Van Hecke","Guydreef 612
1609
Rosières"
"Brigitte Verhulst","Annalei 3
3247 Neerlanden"
"Marlies De Ridder","Jeanninehof 3
6853
Westerlo"
"Alexander Van den Brande","Erikweg 9
1608 Waregem"
"Stella Bogaerts","Louisering 45
1369
Heule"
"Mathis Vercauteren","Julesbaan 1
8482 Essen"
"Samuel Verheyen","Irisweg 7
9127
Herent"
"Luc De Cock","Amiraboulevard 45
9122 Halle-Booienhoven"
"Johannes Lambrechts","Sarahboulevard 218
9492 Meeuwen-Gruitrode"
"Mauro Aerts","Robertlei 612
5796 Marche-en-Famenne"
"Emma Claus","Lucbaan 68
5138 Tremelo"
"Yves Stevens","Wanneslei 0
2940 Sovet"
"Eva De Meester","Myriamdreef 467
5991 Waasten"
"Alexandre Janssens","Katrienpad 149
3343 Rosières"
"Kelly Heylen","Björnbaan 088
7358
Zuienkerke"
"Juul Thys","Tijlbaan 3
5531
Malmedy"
"Myriam Vermeulen","Georgetteboulevard 30
4176 Antoing"
"Audrey Pollet","Deborahpad 48
9438
Gits"
"Matthias Huys","Elzadreef 02
2971
Magnée"
"Guido Somers Depuydt","Chloéring 34
8169 Gijzenzele"
"Lynn De Meyer","Marialei 721
7781
Seloignes"
"Elza Mertens Claesen","Heleenlei 7
8779
Kaaskerke"
"Patrick Demuynck","Hildering 37
5555
Tielrode"
"Alexia Melis","Dirkstraat 615
3300
La Hulpe"
"Jeannine Pieters","Emmasteeg 4
8640 Offagne"
"Annie De Meyer","Joannessingel 142
5859
Hoepertingen"
"Carine Verelst De Wit","Ronaldboulevard 79
6770
Vesqueville"
"Theo Bruneel","Mariesingel 35
9912
Moorslede"
"Heleen Van Poucke","Leenbaan 95
3785 Battice"
"Denise Aerts","Dannyboulevard 9
8092 Vellereille-le-Sec"
"Joseph De Cock","Igorlaan 161
7883
Houdremont"
"Josée Verwimp","Chantalhof 5
6433
Ohey"
"Raymond Temmerman","Joeriboulevard 952
4547 Gentinnes"
"Alexia Verbeke","Patrickboulevard 5
4181
Warquignies"
"Jan Moerman","Chrisring 61
9449
Rumes"
"Valentina Lauwers","Gillesweg 0
4744 Sautin"
"Hélène Verhelst","Jopad 840
4101
Sougné-Remouchamps"
"Lena Wouters","Ericlaan 81
7690 Tilff"
"Karima Willems","Evabaan 73
9767
Rochehaut"
"Maria Leysen","Cindyhof 470
2915
Welle"
"Tom Liekens","Annesingel 224
4350
Stevoort"
"Joseph Galle","Sennelei 748
7800 Grazen"
"Anita Smet Casier","Lucring 25
8417
Cuesmes"
"Alexis De Witte","Debbiesingel 8
4289 Rumsdorp"
"Lisette Wauters","Gittepad 371
3696 Virginal-Samme"
"Monika Lambert","Mehmetlaan 2
8899 Masbourg"
"Pieter Huybrechts","Ninastraat 01
1819
Sint-Huibrechts-Hern"
"Paula De Vos","Wernerlaan 661
8542 Ramillies-Offus"
"Maxime Mertens","Leenlaan 618
4842 Ave-et-Auffe"
"Lennert Desmet","Evelienlei 984
8034
Soy"
"Maria De Weerdt","Marleensteeg 5
7715
Soiron"
"Rudi Verwimp","Dorienring 400
7089 Merlemont"
"Charlotte Mertens Van de Voorde","Jacquesbaan 24
1960
Knokke"
"Alfons De Clercq","Martinelei 50
7952 Anvaing"
"Thijs Janssen","Larapad 19
7940
Wommersom"
"Robbe De Clercq","Paulsteeg 27
3143
Zaventem"
"Helena Vos","Olgahof 4
8266
Bende"
"Cédric Goossens Vaes","Denisweg 18
1571 Vlamertinge"
"Olivia De Ryck","Willysteeg 62
9277 Heverlee"
"Peter Moors","Suzylei 39
2358 Chiny"
"Marie Renders","Leadreef 25
2768 Focant"
"Stefaan De Leeuw","Mariasteeg 1
2311
Herne"
"Björn De Groote","Chantalsteeg 76
5862
Ivoz-Ramet"
"Alfons Peeters","Gisèleboulevard 21
4376 Winenne"
"Michiel De Schutter","Jeannering 58
9874
Willaupuis"
"Benjamin Vercammen","Bassingel 562
7140
Elsegem"
"Kelly Vandendriessche","Rachellei 217
9332 Opoeteren"
"Chantal Declerck De Groote","Natasjasteeg 2
7916 Chastre-Villeroux-Blanmont"
"Amber Vandeputte","Elzaboulevard 9
6774 Rebaix"
"Gert De Bruycker","Christelpad 5
1851 Denderhoutem"
"Paula De Smedt","Marialaan 26
6898 Rochehaut"
"Jozef Goethals","Ivolei 8
4808 Les Hayons"
"Els Lemmens","Marcelsteeg 42
5284 Zutendaal"
"Alfons Van Damme","Nadiahof 6
9267 Hollebeke"
"Veerle Goossens","Guysteeg 699
9432 Dion"
"Lorenzo Martens","Grietring 1
7722
Grâce-Hollogne"
"Christian De Vos","Sandradreef 76
8959 Nieuwpoort"
"Floris Vandamme","Samuelweg 569
4716 Arc-Ainières"
"Etienne Van den Bossche","Franpad 6
1886
Nieuwerkerken"
"Jean De Schepper","Mathisboulevard 9
4261 Harzé"
"Bram Lauwers","Magdalenapad 2
6065 Moen"
"Jacques Nelissen","Ibrahimhof 478
5068
Erps-Kwerps"
"Pieter Maes","Carolinelaan 5
4530
Polleur"
"Alfred Carlier","Ambersingel 264
6030
Wange"
"Martina Geens","Mathisbaan 7
4747 Drieslinter"
"Freddy De Cock","Georgeslei 39
9383 Hechtel"
"Kris Schepers","Bobring 828
7429 Vieuxville"
"Daniel Lemmens","Noraring 371
4564
Berlaar"
"Ariane Cornelis","Freddyring 50
1024 Sint-Kwintens-Lennik"
"Jan Thijs","Joranlaan 73
6244
Attenhoven"
"Steven Derycke","Karinedreef 005
2521
Meerle"
"An De Smedt","Aurélielei 9
5692
Houtain-Saint-Siméon"
"Ali Van den Bosch","Marleenring 47
4520 Hamme-Mille"
"Alfred Vercruysse","Maximedreef 42
9406
Melden"
"Raphaël De Cock","Véroniqueboulevard 15
4000
Linter"
"Sophia Somers","Francissteeg 64
7132 Tinlot"
"Diederik Van den Bossche","Sarabaan 80
9386
Welle"
"Brian Nijs","Jordyring 386
9877 Thieulain"
"Marc Sabbe","Christianeboulevard 7
6222
Ecaussinnes"
"Lina De Paepe","Nancybaan 25
7537
Roucourt"
"Laura Mortier Jacobs","Cindybaan 34
7254 Jemeppe-sur-Meuse"
"Heidi Gevaert","Franklei 86
5464
Visé"
"Margot Van Loon","Mauritsring 00
5107 Thieu"
"Ali Claes","Alexanderlei 65
1672
Buken"
"Maria Dhondt Vercauteren","Lilianebaan 871
5898
Gilly"
"Willy Yilmaz","Yveslaan 8
3625 Rachecourt"
"Tom Van Driessche","Noëllei 01
2046 Wezeren"
"Georgette Vandevelde","Erikboulevard 80
4759 Nettinne"
"Frida Van Dessel","Petersteeg 0
4713
Anseroeul"
"Georgette Vercruysse","Finnpad 1
9297
Liernu"
"Tamara Cornelis","Yvettehof 62
4739 Hastière"
"Ilona Daems","Arthurpad 9
1796
Houffalize"
"Benny Depuydt","Elenabaan 6
3949
Vance"
"Ali Claus","Bartstraat 02
7306
Weerde"
"Vera Roosen","Johnnyring 79
7511
Bertrix"
"Joannes Dierick","Mariestraat 7
4227
Ooigem"
"Maria De Wilde","Peterhof 217
2390 Vleteren"
"Mathias Buysse De Groof","Jean-Pierrebaan 250
1780
Cugnon"
"Petra Leys","Sandrasingel 424
6944
Mal"
"Lisa Praet","Alexialaan 95
7823
Bornem"
"Jeffrey Vermeersch","Willybaan 251
9371 Ambresin"
"Karl Fierens","Yannickpad 1
4220 Warchin"
"Ronny Callebaut","Frankdreef 529
4278
Herbeumont"
"Ali De Bruyne","Fabiandreef 0
8577
Geest-Gérompont-Petit-Rosière"
"Stefan Andries Celis","Peterpad 1
2113
Champion"
"Ann Bauwens","Colettestraat 0
9622
Sorinnes"
"Jan Torfs","Roberthof 524
3818
La Bruyère"
"Sarah Hoste","Xandersteeg 09
2935
Obourg"
"Alfons Van Dyck","Carlalaan 70
6699 Oreye"
"Nicole Swinnen","Timpad 036
7167 Lens-sur-Geer"
"Marie-Claire Reynders","Sienbaan 0
8562
Westrozebeke"
"Emilie Luyten","Gertbaan 263
5121
Nessonvaux"
"Marnix Beckers","Florweg 1
7256 Aywaille"
"Ali Dierckx","Sofiesingel 288
8970
Oostmalle"
"Sonia Meeus","Annalaan 12
6985
Zwevezele"
"Joseph Callewaert","Nancyring 612
4118
Oudenaarde"
"Anaïs Heyvaert","Rachelpad 2
9968 Moorslede"
"Christine Van de Voorde","Elkering 25
1341
Rebecq-Rognon"
"Mohamed Van der Auwera","Jorisbaan 3
1513
Vielsalm"
"Tania Verwimp","Marleenweg 84
2124
Strée"
"Léon Verdonck","Johnbaan 4
1180
Berlingen"
"Marie Cools Dejonghe","Ellybaan 4
7641 Wingene"
"Gaston Smets","Glennstraat 254
3924 Chênée"
"Alice Leroy","Wilfriedring 455
3590
Hotton"
"Mathieu Steyaert","Sarahpad 289
3571
Hingeon"
"Marie Aerts","Marleenpad 683
9458 Hallaar"
"Patrick Thijs","Yvonnebaan 327
5447 Westkerke"
"Alexander Van Acker","Riklaan 94
8590 Hoelbeek"
"Tom Steyaert","Léonsingel 53
9376 Saint-Médard"
"José Boone","Dannyweg 2
2734
Bornem"
"Sebastian Ceuppens","Auréliesingel 7
2437
Olne"
"Kurt Jacobs","Rubendreef 1
7110
Couvin"
"Kevin Boonen","Jeanninehof 620
5149
Sankt-Vith"
"Alice Verheyen","Thomassingel 519
7201
Veldwezelt"
