"Aaron Bruneel","Mauricesteeg 94
2260 Rijkhoven"
"Alfred Vanderheyden","Kristienbaan 6
4470
Mabompré"
"Ann De Wit","Hildelei 3
2602
Egem"
"Ahmed Joris","Liesbethdreef 479
3458 Oostnieuwkerke"
"Marc Mertens","Sabrinaboulevard 0
3966
Hollogne-aux-Pierres"
"Anita Galle","Zoëring 22
5230 Loppem"
"Brigitte Blondeel","Tonylei 3
8502 Sint-Eloois-Winkel"
"Magda Bogaerts","Mariabaan 626
7645 Wakken"
"Jozef De Coster","Nicolelaan 28
7258 Nevele"
"Hilda Lauwers","Kurthof 40
6689
Zele"
"Ilse Van Damme","Lilianesteeg 465
4868 Ramskapelle-Knokke-Heist"
"Frederik Belmans","Peterstraat 3
9414 Zonnegem"
"Willy Maes","Marnixsingel 533
9940
Sohier"
"Ahmed Poppe","Thibautpad 71
7538 Machelen"
"Mariette Smets","Moniquering 1
9718 Ruette"
"Ghislaine Verbeeck","Karinlei 57
4881
Hamipré"
"Isabelle Van Hove","Jessestraat 261
7619 Bornem"
"Jessica Engels","Pascalering 27
9673
Montleban"
"Ludovic Claes","Noëlbaan 94
5275 Hallaar"
"Sofie Willekens","Annieweg 4
7538 Poupehan"
"Mariette Wellens","Glennring 00
1598
Wintershoven"
"Betty Kaur","Erwinsingel 36
8661 Sint-Laureins-Berchem"
"Stijn Jansen","Mayapad 2
5066
Sambreville"
"Ahmed Willems","Janboulevard 7
9261 Bléharies"
"Liam Claeys","Femkedreef 06
4077 Roosbeek"
"Els De Meyer","Ritaweg 52
8308
Petit-Thier"
"Bianca Lammens","Annydreef 43
6331 Zottegem"
"August Rottiers","Ilsehof 25
8583 Poelkapelle"
"Nicole Van den Bergh","Isabellehof 1
3298 Aarschot"
"Marie Pauwels","Franksingel 716
8815
Péronnes-lez-Antoing"
"Rita Jacobs","Isabellelaan 26
4022 Opprebais"
"Patricia Bauwens","Jennylaan 91
2779 Soumoy"
"Inge De Block","Noëlweg 216
1847 Framont"
"Ahmet Coppens","Johanlei 3
7728 Tellin"
"Chantal Devriendt","Tijspad 3
4408 Werchter"
"Diane Verschueren","Hubertring 685
7561
Pecq"
"Christian Simons","Gabriellei 1
9475 Heldergem"
"Maria Cuypers","Isabellering 581
6478 Loker"
"Godelieve Luyten","Isabelring 52
5407 Sart-Bernard"
"Armand Gillis Vermeiren","Heleenpad 7
1559 Opgrimbie"
"Koen Engels","Gerritstraat 266
2002
Wortegem"
"Alexander Verdonck","Ritalaan 0
8333 Kobbegem"
"Zita Matthys","Lindseyring 6
6731
Rocherath"
"Aicha Theys","Axellesteeg 33
6800 Kortrijk-Dutsel"
"Johan Vinck","Alexanderpad 3
5934 Zuienkerke"
"Patrick Vercauteren Verlinden","Bilalboulevard 753
1277
Onnezies"
"Nelly Bonte","Glennhof 108
2198 Ganshoren"
"Antoine Peeters","Marijkestraat 850
8988
Fontenoy"
"Magdalena Segers","Yasminadreef 32
4323 Sourbrodt"
"Veerle Vandewalle","Tibedreef 720
4155
Tongre-Notre-Dame"
"Guy Jacobs","Koenraadlei 603
6598
Moelingen"
"Danny Buysse","Annestraat 579
6086
Balen"
"Seppe Janssens","Koenlei 644
2710
Haut-le-Wastia"
"Alain Aerts","Connylaan 44
1679 Markegem"
"Myriam Meyers","Dominiquedreef 10
1298
Nieuwmunster"
"Charlotte Van Belle","Johanring 9
8904
Peissant"
"Elisa De Laet","Ginostraat 96
4618
Perwez"
"Stéphane De Roeck","Davidsteeg 26
2820 Wakken"
"Jimmy Smet","Driesring 0
5482
Hundelgem"
"Christel Meert","Yasminapad 93
3639 Givry"
"Pieter De Bondt","Josephstraat 19
2845
Elst"
"Flor Declercq","Pierreboulevard 9
1603
Arc-Wattripont"
"Eddy Vanhee","Christiansteeg 037
1670 Falisolle"
"Alain Jacobs","Joannastraat 5
8721
Breendonk"
"Liliane Verhaegen Smets","Seppeweg 5
4355 's-Gravenwezel"
"Jarne Pieters Peeters","Samiring 30
7450 Beernem"
"Koen Jansen Callens","Lynnbaan 6
1274
Munsterbilzen"
"Maria Wouters","Eddylaan 93
1804 Herenthout"
"Ilse Raeymaekers Put","Guillaumebaan 0
9275 Yvoir"
"Johan Ooms","Jeroenhof 7
5544 Soumoy"
"Daan Derycke","Miasingel 5
7473
Beverlo"
"Jan Vandewalle","Sonialei 032
6808 Werken"
"Tommy Daniels","Tamaraboulevard 4
1156
Richelle"
"Albert Lambrechts","Gabriëlsingel 654
8781
Orroir"
"Marcel Vanhove","Annyboulevard 81
4755 Lives-sur-Meuse"
"Jacques Bruyninckx","Patrickpad 9
9017
Vance"
"Rosa Aerts","Gillesstraat 275
9529 Chapelle-lez-Herlaimont"
"Dimitri Van Hecke","Ericboulevard 6
7016
Lampernisse"
"Urbain Baert","Kellylaan 19
3636 Aubange"
"Christiane Dierckx","Sarahboulevard 668
3505
Zandvliet"
"Patrick Van Dooren","Marijkedreef 362
5710 Ransart"
"Rudy Smolders","Heleenring 86
6458 Sint-Rijkers"
"Margaux Verhulst","Jacquelinebaan 3
2354 Chairière"
"Alex Stroobants Vanderstraeten","Luclaan 9
2638
Pironchamps"
"Fabienne Eeckhout","Kennethboulevard 41
9803
Goegnies-Chaussée"
"Maria De Cuyper","Katrienstraat 59
7912 Gijzenzele"
"Natasja Van Hove","Willemsteeg 17
8341
Loyers"
"Pascal Thys","Jeanninepad 5
1770
Torgny"
"Nancy Leys","Gaëllesteeg 273
1839 Engis"
"André Maes","Guidosingel 84
7045
Froidfontaine"
"Maria De Coninck","Hildeweg 55
7699
Steenkerke"
"Maarten Simons","Etienneboulevard 3
8514
Thorembais-Saint-Trond"
"Kurt Lambrechts","Cathybaan 8
3406 Blehen"
"Alexander Boone","Liamstraat 7
1697
Olloy-sur-Viroin"
"Martine Simons","Leadreef 72
4070
Viersel"
"Joeri De Boeck","Janhof 4
5464
Kuringen"
"Rachel De Boeck","Guillaumestraat 7
7769
Strée"
"Bilal Lenaerts","Marclei 16
7521 Wierde"
"Louis Wouters","Yveshof 59
4776
Kortenberg"
"Emile Peeters","Stefdreef 39
6161 Fexhe-Slins"
"Paul Declercq","Marcbaan 33
5314 Evere"
"André Goossens","Louisedreef 77
7923 Vedrin"
"Dirk Eeckhout","Jennyring 053
9896 Waillet"
"Alexander De Bruycker","Albertbaan 1
7821 Neufmaison"
"Mohamed Verstraete","Annelaan 754
9441 Bertogne"
"Joppe Declercq","Pietsteeg 257
5494
Evrehailles"
"Eline Verschueren","Koendreef 48
8741
Goé"
"Lisette Dubois","Marcring 70
1391 Berbroek"
"Maria Van Campenhout","Alinesteeg 670
7442 Ottignies"
"Imane Van Damme","Stephaniestraat 1
6523 Pervijze"
"Hannah Philips","Johanweg 387
3926 Haut-Fays"
"Alice De Bruyne","Frankybaan 0
2970
Chevetogne"
"Cindy Smits","Mariekebaan 342
6450
Thimister"
"Alexander Mariën","Janlaan 6
2093
Membre"
"Joanna Lemmens","Paulineweg 02
9845
Bilstain"
"Elena Callens","Juanstraat 9
6175
Bassenge"
"Danny Vermeersch","Robertweg 7
7432
Hollogne-aux-Pierres"
"Charles De Bruycker","Mohameddreef 160
4833
Munkzwalm"
"Linde De Smet","Fiensteeg 3
4805
Ertvelde"
"Leon De Groote","Manonstraat 9
2021 Strijpen"
"Louis Dewilde","Robindreef 61
8509 Isnes"
"Carlo De Decker","Mariesteeg 42
1055
Bande"
"Hilde Geerts","Gretapad 181
5303
Malempré"
"Alexander Mertens","Jeansteeg 49
1281
Montignies-lez-Lens"
"Melissa Vandenbussche","Renéring 74
3293 Boorsem"
"Mathias Boon","Noahsingel 1
5892 Milmort"
"Els Moens","Nicolesingel 25
1638
Lobbes"
"Arthur Huybrechts","Patricklaan 13
3210 Jamiolle"
"Seppe Bossuyt","Christelring 170
8349
Bütgenbach"
"Cédric Schepers Tanghe","Klaashof 026
3631 Eugies"
"Hannah Vandenbroucke","Tomlaan 728
9997 Marchipont"
"Christiana Willekens","Krispad 965
8801 Wodecq"
"Patrick Vanneste","Liesbethstraat 942
2855
Vezin"
"Alexander Moons","Hubertdreef 9
9100
Angleur"
"Sander Willaert","Joycedreef 551
6027
Daussoulx"
"Kristien Colman","Godelieveboulevard 2
9468
Saint-Vincent"
"Elisabeth Maes","Vincentlaan 17
9965
Terhagen"
"Ilias De Bie","Jennypad 75
2801
Clavier"
"Michiel Dekeyser","Kobedreef 6
6512 Javingue"
"Frans De Bruycker","Evylaan 162
7490 Herten"
"Gert Luyten","Christinelei 68
2498
Alleur"
"Sofie Van Damme","Martinedreef 0
9122 Villers-devant-Orval"
"Felix Willems","Andreashof 24
2100 Nollevaux"
"Alexander Smets","Annedreef 5
9521
Seraing"
"Bertha Houben","Marleenlei 399
1503 Boortmeerbeek"
"Yvan Verschueren","Hildebaan 0
8175
Flémalle-Haute"
"Gregory Coppens","Mustafasteeg 62
2145 Wulpen"
"Greta Van Landeghem","Peterpad 58
4911
Houdeng-Aimeries"
"Lea Stevens","Sophiehof 0
2856
Lambermont"
"Andrea Willems","Annylaan 53
6029 Kersbeek-Miskom"
"Hendrik Pauwels","Ludovicdreef 3
4655 Brugge"
"Isabelle Van Dooren","Eddybaan 36
3927 Corroy-le-Château"
"Sarah Claes","Davidhof 769
6303
Fernelmont"
"Alexandra Goovaerts","Mohamedsingel 20
1518
Anderlues"
"Peter Michiels","Andréstraat 19
9688 Kluisbergen"
"Charlotte Janssens","Geertweg 69
3938 Robertville"
"Geert Ceulemans","Kevinhof 944
9853
Rossignol"
"Geert De Wilde De Cock","Tanjadreef 4
6604 Rumbeke"
"Sandra Goossens","Melissaboulevard 3
2348 Sint-Ulriks-Kapelle"
"Michelle Segers","Leolei 555
3099
Sint-Lenaarts"
"Jonathan Van den Broeck","Anaïsdreef 11
4472 Groot-Gelmen"
"Erik Kerkhofs","Dannybaan 196
1175 Vierves-sur-Viroin"
"Danielle Verlinden Van Herck","Siebeboulevard 12
2800 Aspelare"
"Alexia Devriendt","Biancadreef 5
4922 Bauffe"
"Natalia Claeys","Josephinepad 669
1034 Neufmaison"
"Hannes De Weerdt Smets","Roosring 29
4069
Waulsort"
"Rebecca Segers","Carinehof 524
6864 Grand-Reng"
"Jozef Claes","Rafstraat 605
7010
Saint-Gérard"
"Maria Beernaert","Marcelstraat 48
7784
Néchin"
"Nancy Vanhoutte","Kevinring 7
8797
Mal"
"Marc Desmet","Rogerlaan 29
1552 Joncret"
"Yusuf Willaert","Simonweg 288
3010
Beyne-Heusay"
"Eddy De Backer","Angeladreef 7
5930
Val-Meer"
"Alexis De Backer","Marleenstraat 781
2050
Rollegem"
"Claudine Meeus","Yannickhof 872
8312 Roux"
"Nele Jacobs Dierickx","Kristofhof 362
9629
Zandhoven"
"Nina Demeyer","Godelievelaan 059
9267 Habay-la-Vieille"
"Raf Beeckman","Jurgenlei 698
6978 Eben-Emael"
"Greet Nuyts","Rolandlaan 1
5974 Ecaussinnes-d'Enghien"
"Etienne Colpaert","Kathystraat 9
6337
Kemzeke"
"Yves Cornelis","Silviahof 455
3325
Jemappes"
"Robert Maes","Mariapad 7
6224 Beert"
"Ria Vaes","Carlobaan 413
5401 Bonneville"
"Alfons De Schrijver","Mariadreef 430
5355
Neupré"
"Paula De Backer","Christianhof 997
1142 Zutendaal"
"Tina Moons Dewaele","Sandraboulevard 5
4808 Grote-Spouwen"
"Stéphanie Depoorter","Sonjaboulevard 26
7439 Saint-Remy-Geest"
"Sven Callens","Margotlei 4
3946 Loncin"
"Anouk Maes","Georgesstraat 637
1631 Corswarem"
"Julie Bauwens","Marcdreef 4
4064
Vitrival"
"Ibrahim Simons","Mariaweg 303
7193
Isnes"
"Chantal Verstraeten","Annekelei 862
1537
Sint-Maria-Latem"
"Ahmed Moerman","Amirlei 2
4291 Hastière-Lavaux"
"Ali Bervoets","Samirabaan 72
9428 Hampteau"
"Peggy Schepens","Malikadreef 17
5287 Gelrode"
"Anna Bosmans","Danielbaan 45
9580 Noduwez"
"Laura Malfait","Marchof 04
4375
Dentergem"
"Gerarda Timmermans","Janapad 10
5075 Evergem"
"Herman Janssens","Eddypad 316
4678
Emelgem"
"Celine Verstraeten","Sandralei 55
6214
Vencimont"
"Marie Tack","Aliciapad 3
7161
Oelegem"
"Jade Lammens","Jean-Pauldreef 89
9954 Wez-Velvain"
"An De Roo","Cathydreef 1
3125
Ecaussinnes"
"Ali Van den Berghe","Ludwigpad 71
6177 Beauwelz"
"Brahim Faes","Michelpad 5
7857 Baileux"
"Tibo Claesen","Annitastraat 5
2229 Oignies-en-Thiérache"
"Hassan Huyghe","Luclaan 5
3167 Maasmechelen"
"Bart Verheyen","Josephuslaan 885
3438 Latinne"
"Christelle Baert","Marleensteeg 812
1533 Grimbergen"
"Bernard Rottiers","Carinebaan 5
4214
Gellik"
"Femke De Wolf","Josianehof 917
2361
Koekelberg"
"Charles Poelmans","Norapad 482
4277 Petegem-aan-de-Leie"
"Marc De Decker","Jurgenboulevard 96
7118
Sint-Stevens-Woluwe"
"Alice Van Acker","Edithbaan 574
2613 Zoerle-Parwijs"
"Debby Decock","Freyaweg 643
2083 Kasterlee"
"Sanne Segers","Larslei 77
9916
Ternat"
"Ben Coppens","Magdalenapad 5
6761
Waardamme"
"Matteo Bauwens","Christianastraat 0
4970 Xhoris"
"Luc Bogaerts","Annetteboulevard 41
6478 Avernas-le-Bauduin"
"Jennifer Cornelis","Johanweg 828
3387
Jehay"
"Stefanie Van Dooren","Oscardreef 3
6954 Zoutleeuw"
"Elke Vansteenkiste","Karinepad 10
2323
Kersbeek-Miskom"
"Peter Maes","Pieter-Janstraat 994
2608
Welden"
"Alice Verboven","Eddyweg 0
9054 Erquennes"
"Marc Decoster","Lutgartbaan 73
8532
Impe"
"Evy Callewaert","Woutstraat 118
4520 Rixensart"
"Sarah Maes","Yvetteboulevard 1
7584
Zichem"
"Victor Van den Bergh","Alainsingel 2
1385
Neerheylissem"
"Arno Verhoeven","Rudipad 0
2574 De Panne"
"Peter Ali","Erwinring 627
4760 Kettenis"
"Bram Schoofs Thys","Achielstraat 14
4173
Linsmeau"
"André Verlinden","Johanboulevard 9
9577 Wulveringem"
"Anna Aerts","Patrickpad 81
3698
Braine-le-Château"
"Alicia Huybrechts","Kimlaan 369
1636 Lompret"
"Charlotte Vermeulen","Leopoldbaan 20
1672
Loonbeek"
"Robbe Demuynck","Patrickboulevard 5
2805
Elst"
"Roger Moerman","Carinepad 923
4055
Hanzinelle"
"Sandra De Smedt","Stefhof 342
2407 Berlaar"
"Marie Vansteenkiste","Isabellalei 037
7325
Meeuwen"
"Jacqueline Stevens","Samiring 135
5796
Escanaffles"
"Josephine Vos","Ahmedsingel 4
7757 Musson"
"Sofia De Keyser","Myriamring 577
8812
Londerzeel"
"Erwin Matthys","Christabaan 304
2837
Samrée"
"Alicia Van den Bossche","Ingridboulevard 28
1021
Orsmaal-Gussenhoven"
"Arnaud Nys","Chantalhof 1
3402 Hollange"
"Kathy Thys","Daanboulevard 724
4851 Robertville"
"Ahmet Jans","Lucstraat 8
6574
Moerbeke"
"Rania Desmedt","Robinring 018
2920
Aineffe"
"Emma Dewilde","Axelring 8
2917 Fernelmont"
"Veronique Michiels","Sofieboulevard 68
9112
Sint-Lievens-Esse"
"Marie Theys","Elinestraat 3
2588
Buvingen"
"Bert Smits De Pauw","Runesingel 05
4518 Mater"
"Dries Ceulemans","Nathaliehof 94
8732 Boekhout"
"Alicia Verhelst","Hannesingel 3
5824 Fraiture"
"Sarah De Ridder","Timothystraat 6
8751
Alken"
"Christiaan Moors Luyten","Andybaan 0
3030
Charneux"
"John Rutten","Leenlei 001
7294
Harchies"
"Bram Vandekerckhove Coenen","Gertboulevard 8
8346
Torgny"
"Claudine Jans De Ridder","Philippesteeg 8
4867
Attre"
"Britt De Bruyne","Philippeboulevard 814
5777
Hacquegnies"
"Lodewijk Bossuyt","Jennyweg 352
3638 Lettelingen"
"Francine Van Loon","Anneliessteeg 8
4590
Lompret"
"Vera De Clerck","Dianabaan 5
7607
Ciergnon"
"Aline Buyse Verbruggen","Wernerbaan 89
8625
Vliermaal"
"Simon Demeyere","Katrienpad 15
6629 Saint-Germain"
"Lies Meert","Maaikedreef 7
5931
Sint-Huibrechts-Hern"
"René Goossens","Colettering 9
9909
Moerzeke"
"Sofie Vinck","Jean-Marieweg 339
6649 Kemexhe"
"Levi Leys","Malikahof 36
1978
Bergilers"
"Oscar Janssens","Siensingel 53
6889
Ruddervoorde"
"Elias Celis","Patrickstraat 16
8793
Pittem"
"Maria Geens","Olivierlei 44
5594
Le Roeulx"
"Stefan Smolders","Zoëlei 7
1084 Jollain-Merlin"
"Aline Thomas","Carinedreef 01
5068 Dour"
"Sofie Goossens","Kennyring 511
7400
Bissegem"
"Kathy Van Looy","Jacquelinesteeg 748
4229
Wadelincourt"
"Denis Aerts Ceulemans","Marcboulevard 2
8063
Boezinge"
"Ilse Vos","Christophesingel 316
8507
Cherain"
"Alina De Witte","Claireweg 6
4789 Spontin"
"Dirk Van Parys Vanbrabant","Alidreef 9
6270
Huldenberg"
"Laura Pattyn","Imranlei 7
3950 Francorchamps"
"Catharina Jansen","Polboulevard 8
8586
Opdorp"
"Marc Lemmens","Christianasingel 217
8449
Montignies-Saint-Christophe"
"Amber De Neve","Williamweg 69
1472 Anthisnes"
"Josephina Demeyere","Franssteeg 771
4914 Villers-Notre-Dame"
"Nick De Vuyst Vanderstraeten","Ahmethof 650
1327 Nil-Saint-Vincent-Saint-Martin"
"Bart De Smet","Bartpad 93
6130 Berneau"
"Victor Schepens","Tomring 158
7199 Olen"
"Robert Verboven","Jeanlei 8
6033 Villers-l'Evêque"
"Lukas Verhoeven","Davelaan 297
9442
Michelbeke"
"Frans Van Parys","Guidohof 6
7984 Teralfene"
"Jasper Moerman","Patriciastraat 253
2019
Bombaye"
"Godelieve Martens","Lucienhof 94
8427 Huizingen"
"Amber Smeets","Yvandreef 844
1774
Sint-Jacobs-Kapelle"
"Isabelle Somers Van der Auwera","Khalidsteeg 2
3017 Libramont-Chevigny"
"Georgette Sterckx","Yvettesingel 4
6319
Houtaing"
"Juul Loos","Ingeboulevard 464
6601
Saint-Vaast"
"Lore De Cock","Johandreef 556
2711 Gouy-lez-Piéton"
"Peter De Baere De Winter","Nicolehof 145
1676 Neerwinden"
"Marleen Maris","Deborahsteeg 7
6866 Torhout"
"Patricia Mariën","Marielei 89
7406 Zaventem"
"Emma Engelen","Kellyring 87
6870 Harmignies"
"Ellen Mortier","Margopad 170
6191
Quenast"
"Amber Van Daele","Isabelledreef 5
1041 Hoepertingen"
"Cindy Van Hoof","Agneslaan 601
3101
Machelen"
"Françoise Peeters","Kellylei 11
6429
Betekom"
"Elisabeth Houben Van de Velde","Toonsteeg 96
9171
Maubray"
"Kristof Moons","Kristinepad 2
1396
Mazy"
"Tessa Cox","Martinehof 509
5654
Kinrooi"
"Ellen De Schrijver","Jacquelinesingel 948
2673
Gellik"
"Milan Michiels Vranckx","Chrisring 3
9407
Bilstain"
"Stefaan Engels","Ellendreef 272
4488
Moerzeke"
"Sabrina Van Acker","Davylaan 892
5402 Beervelde"
"Amber Vandendriessche","Simonpad 413
8233
Elsene"
"Fanny Huysmans","Andréhof 384
6342 's Herenelderen"
"Gust Denys","Rosalaan 5
1283
Willebroek"
"Mats Faes","Lisabaan 8
1119 Vreren"
"Mariette Verstraete","Miekedreef 25
1012
Deurne"
"Wesley Andries","Robertstraat 917
5979 Spiere"
"Daniel Van Genechten","Gabriellebaan 98
8111 Heule"
"Davy Neirynck","Anniesteeg 49
8928
Hamont-Achel"
"Arnold Peeters","Johnyboulevard 777
5329 Baelen"
"Agnes Van Acker","Sarahsingel 1
8214
Handzame"
"Amina Blommaert","Karinestraat 834
8392 Handzame"
"Martine Van Looy","Robinlaan 90
8463 Tellin"
"Alfons Bollen","Leonweg 74
7857 Thumaide"
"Nicolas Vermeersch","Chloëboulevard 444
1736 Mielen-boven-Aalst"
"Marina Thys","Stephaniehof 816
4594 Walsbets"
"Cas De Meester","Mehdisteeg 358
5858 Sint-Katherina-Lombeek"
"Gunther Stroobants","Mathijssingel 4
4104 Kalken"
"Gert Janssen","Marcelboulevard 824
8782 Pamel"
"Lien Verbruggen","Jeffreylei 8
8157 Elouges"
"Anthony Schepens","Kimboulevard 36
3444
Nederhasselt"
"Amira Cools","Annebaan 519
3125 Orchimont"
"André De Smet","Soniahof 14
2304 Amel"
"Vera Goovaerts","Hugopad 5
4176 Ormeignies"
"Lotte Maes","Jeanneboulevard 7
1953
Ingelmunster"
"Karin Janssens","Annestraat 047
1316 Betekom"
"Martine Hellemans Broeckx","Anniering 854
7917
Rotselaar"
"Johan Janssens","Joséelei 24
8342
Wezembeek-Oppem"
"Rita Thys","Lilylei 0
5766
Vleteren"
"Michel Verbiest De Graeve","Woutdreef 42
9032 Tillet"
"Viviane Neirynck","Verabaan 84
9700 Barbençon"
"Amélie De Moor","Anniestraat 26
8417
Donceel"
"Emma Segers","Ingridweg 6
9483
Lessive"
"Nancy Nuyts","Theostraat 060
9398 Melen"
"Gerrit Claes","Jansteeg 28
5193
Ochamps"
"Tim Claes","Mariettesteeg 15
1602 Jamioulx"
"Nadine Verlinden","Nielsdreef 3
9872 Vorsen"
"Ayoub Deprez","Christophepad 520
5490
Suarlée"
"Armand D'hondt","Leadreef 866
5687 Mazée"
"Inge Vereecken","Seppelaan 360
4168
Nederzwalm-Hermelgem"
"Caroline Proost","Jefboulevard 347
4566
Koksijde"
"An Claesen Maes","Carinehof 816
2959 Attert"
"Martine Jacobs","Tomlaan 367
4993
Membre"
"Freddy Vercauteren","Danielweg 850
4454 Wiesme"
"Eva Vercruysse Willems","Bartlei 6
5910 Waregem"
"Hasan De Pauw Dewilde","Greetweg 07
5537 Sart-lez-Spa"
"Myriam Eeckhout","Paulinelei 4
8702 Ingooigem"
"Ellen Rutten","Willystraat 854
4193 Putte"
"Wouter Verheyen","Juliestraat 0
3215
Vlezenbeek"
"Ann Aerts","Katrienlei 5
6344 Eke"
"Jos Debruyne","Dirksteeg 8
3654
Oud-Turnhout"
"An Dhondt","Chloélei 1
7460 Mussy-la-Ville"
"Giovanni Van Baelen Seghers","Lievenlaan 414
6814
Vlijtingen"
"Patrick Polfliet","Karinring 33
6529 Ville-en-Hesbaye"
"Ilse Van den Berghe","Michellesteeg 533
5943
Berlare"
"Victor Huys Van den Bergh","Tesssingel 696
6353
Ottenburg"
"Frederik Vanhove Van den Bossche","Viktorlaan 6
4056 Viemme"
"Ghislaine Buelens","Lydiebaan 3
2743 Holsbeek"
"Anna Vandewalle","Peterpad 791
5235
Halle"
"Stijn De Witte","Dirklaan 80
4918 Héron"
"Steven Desmet","Driesring 41
1811 Oekene"
"An Joris Verlinden","Mariabaan 719
9473
Zeveneken"
"Yves Cools","Martinsingel 8
2218 Vlijtingen"
"Patrick Simons","Robbestraat 549
9908
Ogy"
"Kim Bosmans","Francisweg 387
7950
Elsegem"
"Juliana Janssens","Carinasteeg 7
9716
Falaën"
"Milan Claesen","Hildepad 2
6212
Koersel"
"Michel Vercauteren","Nathaliedreef 29
4581
Honnay"
"Anne Maes","Lydiaboulevard 9
1840 Walcourt"
"Maria Bruggeman","Geertboulevard 5
7466
Lierneux"
"Patricia Vermeiren Dierckx","Theolei 5
2053
Herzele"
"An Leemans","Gabriëlsingel 5
8959
Wasseiges"
"Christiane Theys","Filipbaan 489
8934
Saint-Pierre"
"Leon Callens","Patrikpad 772
3398 Wommelgem"
"Marie Janssens","Hendrikring 17
4026 Herfelingen"
"Peggy Reynaert","Josépad 7
9916 Lanaye"
"Freddy Cuypers","Geertboulevard 132
1236
Sart-Dames-Avelines"
