"Albina Dolić"	"Mesnička 8c
01290 Šibenik"
"Jele Gregov"	"Naumovac 8
69809 Ogulin"
"Romano Bungić"	"Remetska 4c/5
77742 Klanjec"
"Laura Soldo"	"Mašekova 0a/7
97368 Kaštela"
"Matija Malnar"	"Zeleni dol 147
93185 Ozalj"
"Nada Kaniški"	"Male 6a
22317 Novska"
"Vesna Glavor"	"Višnjica 9a/4
01394 Solin"
"Damir Cafuk"	"Magdićeve 866
63018 Ozalj"
"Juraj Medved"	"Srebrnjak 82
48869 Križevci"
"Viktor Kuveždić"	"Novi Goljak 0b
62955 Sisak"
"Ana Markovac"	"Krležin gvozd 4c
06865 Trilj"
"Matea Bušljeta"	"Splavnica 513
47204 Opuzen"
"Albina Komar"	"Arnoldova 0b
26716 Slunj"
"Đurđica Gržetić"	"Tuškanac 8c
37962 Orahovica"
"Eva Andrijević"	"Srebrnjak 5a
56406 Kutina"
"Lovro Perišić"	"Glogovac 4b/1
67607 Vrbovec"
"Lana Marušić"	"Pod zidom 6a
99081 Nin"
"Ema Zeba"	"Bijenička 6b/0
74178 Stari Grad"
"Milka Liović"	"Vinogradska 9b
32668 Pazin"
"Mihael Maraš"	"Vijenac 2
00802 Pula"
"Ana Matulić"	"Kraljevec II. 1
17660 Beli Manastir"
"Dušan Benčić"	"Jabukovac 0a
24888 Vodnjan"
"Đuro Hećimović"	"Mašekova 9b
69839 Bakar"
"Jakov Solomun"	"Tošovac 5
51950 Ozalj"
"Danijela Baljak"	"Krvavi most 2c/1
86666 Dubrovnik"
"Manda Kereković"	"Kozarčev vijenac 6a
92536 Pregrada"
"Mira Đurinić"	"Šilobodov put 6b/2
11089 Nin"
"Šime Pongrac"	"Draškovićeva 2a
35174 Ploče"
"Đuro Baričević"	"Opatička 794
64610 Novalja"
"Tatjana Šupraha"	"Remetska 451
66871 Makarska"
"Ana Popović"	"Čačkovićeva 5a/1
69711 Obrovac"
"Lorena Čizmić"	"Palmotićeva 2a
67775 Delnice"
"Andrija Rajčić"	"Ksaver 26
06888 Čabar"
"Julijana Boban"	"Voćarska 5b/9
75142 Buzet"
"Duje Roso"	"Vlaška 4b/0
80305 Bjelovar"
"Domagoj Sedlar"	"Paunovac 431
72809 Slunj"
"Dejan Guštin"	"Kamaufova 2a/3
90210 Prelog"
"David Mikulčić"	"Skalinska 4
38363 Popovača"
"Zdravko Kolarec"	"Kraljevečki odvojak 126
96279 Garešnica"
"Đuro Vitasović"	"Šestinski vijenac 56
86679 Rovinj"
"Ana Ribarić"	"Paunovac 8b
56282 Benkovac"
"Saša Raljević"	"Zelenjak 5a/4
02612 Orahovica"
"Jele Bungić"	"Rockefellerova 3a/1
95457 Nin"
"Dušan Dukić"	"Perivoj srpanjskih žrtava 1b/2
81562 Korčula"
"Martina Solomun"	"Krvavi most 58
96341 Vrlika"
"Luka Mofardin"	"Donje Prekrižje 4c
62343 Daruvar"
"Domagoj Radojković"	"Čačkovićeva 9c
64216 Varaždinske Toplice"
"Vesna Roso"	"Bosanska 4c
22222 Umag"
"Dragutin Josipović"	"Draškovićeva 6a/7
17284 Lepoglava"
"Milan Gržinčić"	"Jabukovac 4b
18077 Belišće"
"Ana Ritoša"	"Višnjičke 3b/7
03383 Delnice"
"Vesna Jovanović"	"Voćarsko naselje 989
56753 Stari Grad"
"Ana Plantek"	"Perivoj biskupa Stjepana II. 6b
48463 Hvar"
"Ankica Zgorelec"	"Rockefellerova 808
95463 Rovinj"
"Branka Jemrić"	"Arnoldova 494
28709 Ploče"
"Anto Dominiković"	"Svibovac 7a
29351 Crikvenica"
"Ivanka Culi"	"Mlinarska 0c
23309 Komiža"
"Vedran Šantić"	"Kraljevečki ogranak 6c/3
93299 Đurđevac"
"Dario Matić"	"Mlinarska 1b
82065 Rijeka"
"Goran Polonijo"	"Glogovac 8c/2
29969 Rijeka"
"Ana Salopek"	"Tuškanac 1c/0
38859 Novigrad"
"Marija Kokorić"	"Rikardove 63
02039 Rijeka"
"Tomislav Gregov"	"Svibovac 1a/4
23379 Otočac"
"Mihael Mihelčić"	"Golubovac 7c/2
88991 Stari Grad"
"Fuma Banko"	"Zvonarnička 8
08938 Đakovo"
"Danijela Volarević"	"Naumovac 2b/9
01598 Skradin"
"Jakov Bušljeta"	"Klenovac 9a/8
64794 Kutina"
"Anka Medić"	"Voćarska 2c/1
27325 Oroslavje"
"Ivana Karmelić"	"Gupčeva zvijezda 8b/5
84958 Rab"
"Anica Barković"	"Kožarska 101
62204 Sinj"
"Ana Stančin"	"Šilobodov put 033
61475 Klanjec"
"Jelena Hršak"	"Krležin gvozd 2c/2
42868 Virovitica"
"Zoran Nedić"	"Paunovac 5b/2
66782 Komiža"
"Đurđica Beletić"	"Bakačeva 1b/3
28943 Komiža"
"Anita Terzić"	"Ribnjak 1a/8
67760 Krk"
"Biljana Maretić"	"Bijenička 8a/9
38385 Varaždin"
"Mia Rebić"	"Jurjevska 2
52310 Virovitica"
"Biljana Ribarić"	"Javorovac 9b/4
77957 Mali Lošinj"
"Nenad Vučetić"	"Ilica 1c/9
17041 Prelog"
"Dragica Vidas"	"Pantovčak 7a
10055 Trogir"
"Ana Šunjić"	"Tkalčićeva 92
47910 Ivanić-Grad"
"Vesna Lorencin"	"Petrova 1a/7
85995 Glina"
"Darko Rašeta"	"Zamenhofove 6c
11469 Vukovar"
"Dora Žužić"	"Hercegovačka 8a/3
11994 Pregrada"
"Tomo Svetličić"	"Zavojna 20
37162 Đakovo"
"Veronika Sošić"	"Lobmayerove 9c/7
35066 Makarska"
"Lorena Kresonja"	"Šilobodov put 0a
27533 Otok"
"Davor Balatinac"	"Goljak 3
22527 Čazma"
"Martin Bertoša"	"Svibovac 544
98711 Ludbreg"
"Maria Puharić"	"Voćarsko naselje 8a/1
18092 Osijek"
"Andrea Balatinac"	"Goljak 1
01795 Šibenik"
"Dejan Orlić"	"Bučarova 4
91425 Pag"
"Matej Bičak"	"Zeleni dol 5b
76940 Omiš"
"Dražen Radojković"	"Opatička 1a/2
29594 Vrbovsko"
"Milka Dobrić"	"Male 1a
69239 Delnice"
"Lea Ilić"	"Bučarova 69
86976 Petrinja"
"Andrija Milotić"	"Zeleni dol 2b
78751 Bakar"
"Hrvoje Dvojak"	"Jabukovac 8b/2
89336 Vrbovsko"
"Štefica Bralić"	"Voćarsko naselje 63
61949 Otok"
"Snježana Labaš"	"Kraljevec 5a
17413 Petrinja"
"Andrea Barbić"	"Vrazovo šetalište 4c
57519 Zadar"
"Mijo Horvatek"	"Jadranska 1a/3
49783 Vrgorac"
"Ivica Kraljević"	"Medvedgradska 2a/8
41602 Solin"
"Zdravko Bunčić"	"Wickerhauserova 3a/7
76874 Klanjec"
"Vesna Franušić"	"Grič 1c
70759 Rab"
"Jure Stanić"	"Mašekova 750
23694 Sveta Nedelja"
"Ivan Antić"	"Zelengaj 5a
21766 Dubrovnik"
"Romano Kauzlarić"	"Ksaver 2b/8
71232 Velika Gorica"
"Mirko Sikirić"	"Kapucinske 73
17139 Gospić"
"Franjo Antić"	"Zamenhofova 6a
52523 Popovača"
"Andrea Brandić"	"Kraljevec II. 1b/9
01054 Pula"
"Pavao Leščić"	"Streljačka 7b/6
44046 Našice"
"Tomislav Urlić"	"Podgaj 231
84761 Bjelovar"
"Katica Dražić"	"Kaptol 6a
36493 Sveta Nedelja"
"Sara Barešić"	"Wickerhauserova 9c/6
53086 Požega"
"Mateo Grgurić"	"Tošovac 6a/0
61531 Križevci"
"Nika Koški"	"Jurkovićeva 5a/1
22462 Kaštela"
"Ana Marković"	"Donje Prekrižje 7b
93408 Čabar"
"Boris Čudić"	"Perivoj biskupa Stjepana II. 0c/7
67505 Vrgorac"
"Sanja Šimara"	"Tkalčićeva 2b/3
82729 Vrbovsko"
"Andrea Godinić"	"Zeleni dol 3b/2
80259 Klanjec"
"Marijan Palić"	"Arnoldova 58
11893 Ogulin"
"Pavao Golubić"	"Kraljevečki odvojak 4c
15585 Ozalj"
"Anto Rašeta"	"Šilobodov put 1b/6
49997 Labin"
"Šime Škara"	"Pod zidom 9c/9
94468 Buzet"
"Bruno Tudić"	"Bijenička 135
18298 Knin"
"Mateo Polonijo"	"Jurjeve 9c/5
18708 Senj"
"Mara Sedlar"	"Mlinovi 7b
53561 Beli Manastir"
"Đurđica Predovan"	"Ksaver 7b/4
68022 Novi Vinodolski"
"Filip Bičanić"	"Čačkovićeva 5a
94487 Čazma"
"Andrea Hadžić"	"Perivoj biskupa Stjepana II. 5a
70470 Sveti Ivan Zelina"
"Danijela Sabljak"	"Zavojna 9c/9
57549 Trilj"
"Nikša Prelec"	"Gupčeva zvijezda 3c
73405 Omiš"
"Marijan Knezović"	"Jurjevska 38
05938 Belišće"
"Domagoj Pozder"	"Mašekova 0a
80706 Varaždinske Toplice"
"Ivana Galić"	"Zamenhofova 1a
94482 Lepoglava"
"Vera Sladonja"	"Vončinina 6a
41746 Slunj"
"Danica Brajković"	"Svibovac 0a/3
97980 Sveta Nedelja"
"Antonio Hren"	"Vijenac 9b/3
69990 Zagreb"
"Mate Bunčić"	"Mirogojska 35
52675 Čazma"
"Andrea Kršanac"	"Harmica 0c/5
09934 Karlovac"
"Katarina Ribičić"	"Mala 4a
77962 Duga Resa"
"Romano Stipanović"	"Goljak 7b/1
49248 Slunj"
"Danijel Tolj"	"Jurjevska 80
54303 Zabok"
"Vesna Ladavac"	"Donje Prekrižje 1a/6
03839 Rovinj"
"Domagoj Škrlin"	"Krvavi most 743
01009 Vrgorac"
"Ivica Martinčević"	"Jagodnjak 6b/4
91865 Vodice"
"Nikša Jakuš"	"Tkalčićeva 61
33427 Čazma"
"Zlatko Klarić"	"Paunovac 9a/8
05369 Ilok"
"Petar Jelić"	"Nemetova 3c
20821 Metković"
"Andrea Labaš"	"Kraljevec II. 18
56298 Zagreb"
"Domagoj Benić"	"Mala 6b
80358 Supetar"
"Sandra Špralja"	"Klenovac 3
74340 Virovitica"
"Karlo Lojen"	"Šalata 846
77708 Nin"
"Marija Ribičić"	"Nova Ves 6a
89485 Kastav"
"Mijo Drandić"	"Svibovac 7c/2
04262 Petrinja"
"Nataša Rebić"	"Vinogradska 5c/1
81142 Ogulin"
"Pero Jakupić"	"Goljačke 06
51349 Makarska"
"Mira Lisica"	"Pantovčak 4a/7
68588 Donji Miholjac"
"Veronika Bertoša"	"Tuškanac 058
95057 Ozalj"
"Andrea Pavlović"	"Svibovac 3
84669 Vodice"
"Jasminka Antonić"	"Jurkovićeva 3
36050 Sveti Ivan Zelina"
"Ruža Hršak"	"Hercegovačka 9c/7
44184 Kutina"
"Dominik Ušić"	"Gupčeva zvijezda 6a
05230 Križevci"
"Vjekoslav Lukinić"	"Goljačke 1b
48881 Ludbreg"
"Anica Peruško"	"Tuškanac 1c
67871 Poreč"
"Denis Marijanović"	"Slavujevac 20
04645 Virovitica"
"Mara Čović"	"Kamenjak 7
81405 Mursko Središće"
"Dario Zmaić"	"Kaptol 4a
11422 Labin"
"Goran Vladislavić"	"Slavujevac 4b/6
40467 Osijek"
"Andrea Perić"	"Dverce 8c
06434 Vrgorac"
"Julijana Škrlin"	"Medveščak 41
28447 Požega"
"Dalibor Sršen"	"Dverce 2b
61625 Rovinj"
"Danijela Nimac"	"Skalinska 86
92852 Belišće"
"Antonija Živković"	"Mirogojska 1b/4
38976 Vrgorac"
"Štefica Dubovečak"	"Ljubinkovac 9c
83269 Buje"
"Sara Vugdelija"	"Zavojna 2a/3
54300 Samobor"
"Barica Jureško"	"Horvatovac 9a/4
25751 Vis"
"Ane Balatinac"	"Ksaver 0
30507 Virovitica"
"Manda Kolega"	"Mletačka 7c
81295 Vrlika"
"Andrija Amidžić"	"Jurkovićeva 9a
66921 Krk"
"Andrea Papak"	"Perivoj srpanjskih žrtava 8b
90638 Ilok"
"Anto Keleković"	"Gupčeva zvijezda 914
93279 Ivanić-Grad"
"Siniša Mustapić"	"Jezuitski trg 4a
98013 Ludbreg"
"Dražen Branković"	"Mletačka 47
72370 Cres"
"Biserka Županić"	"Male 7b/3
40046 Nin"
"Anton Čiš"	"Jurišićeva 0c
03984 Rovinj"
"Jele Buršić"	"Naumovac 8b/9
18441 Ozalj"
"Valentina Ćorić"	"Vlaška 915
84753 Pula"
"Kristijan Šverko"	"Dubravkin 7b/2
99383 Karlovac"
"Andrija Kaniški"	"Vijenac 5c
35340 Stari Grad"
"Aldo Ukić"	"Medveščak 05
07429 Pag"
"Dora Rumora"	"Šumski prečac 0a
48303 Grubišno Polje"
"Anica Strinavić"	"Male 5a/0
35532 Ludbreg"
"Hrvoje Šarić"	"Kraljevec II. 6a
19177 Delnice"
"Sanja Blažek"	"Mlinske 1a
48647 Rovinj"
"Draga Zebec"	"Zelenjak 6c
28270 Hvar"
"Mara Klarić"	"Zmajevac 583
79606 Varaždin"
"Jelena Labaš"	"Pantovčak 72
61600 Ogulin"
"Barbara Božiković"	"Čačkovićeva 822
72185 Donja Stubica"
"Andrija Karamarko"	"Jagodnjak 2c/0
37786 Varaždin"
"Josipa Jasprica"	"Ksaverska 4c
62405 Hrvatska Kostajnica"
"Mate Jakuš"	"Mlinarska 1c
38331 Ploče"
"Jasminka Bogović"	"Jurkovićeva 5b/3
15831 Sinj"
"Mario Mikulec"	"Magdićeve 3b/4
79884 Slunj"
"Petra Šuran"	"Ksaver 2c/9
20464 Cres"
"Anđela Pleše"	"Jurjeve 8b
39669 Buje"
"Dušan Načinović"	"Mašekova 3a/7
72358 Pleternica"
"Mateja Terzić"	"Vrazovo šetalište 67
18834 Krapina"
"Lara Radošević"	"Kraljevec II. 3c/0
40660 Sveti Ivan Zelina"
"Andrija Marasović"	"Klenovac 7a/8
72519 Popovača"
"Dominik Risek"	"Gupčeva zvijezda 8b/9
83280 Čabar"
"Marijan Ban"	"Voćarska 7a/5
54579 Belišće"
"Nenad Antolković"	"Donje Prekrižje 7c
51320 Velika Gorica"
"Fuma Boljkovac"	"Višnjica 3a/4
77614 Samobor"
"Mile Burić"	"Srebrnjak 123
03198 Ivanec"
"Dario Kos"	"Tošovac 643
91347 Čabar"
"Katarina Butković"	"Radnički dol 903
07166 Knin"
"Mateo Džapo"	"Klanac Grgura Tepečića 6
05513 Buje"
"Tatjana Vuk"	"Klesarski put 3b/3
54825 Zagreb"
"Andrija Matković"	"Šilobodov put 6b
44485 Dugo Selo"
"Petar Vučin"	"Mlinovi 1a
66142 Mursko Središće"
"Suzana Prtenjača"	"Nemetova 162
22211 Bjelovar"
"Erik Matana"	"Orlovac 7a/1
13409 Karlovac"
"Renata Golubić"	"Demetrova 4c/4
57023 Opatija"
"Jozo Sokol"	"Kurelčeva 5b
38521 Mali Lošinj"
"Mario Ilić"	"Javorovac 2a
44764 Koprivnica"
