"Άγγελος Βουτσελας","Ναούμ 22,
ΤΚ 25983 Λαμία"
"Πολυχρόνιος-Σταμάτιος Αλεξανδρόπουλος","Κοκκινογείων 03,
432 82 Κομοτηνή"
"Αυγέρης Παπαδάκης","Φραγκιαδάκη 53,
991 96 Θεσσαλονίκη"
"Δρόσος Μπλανάς","Πάροδος Ιωαννιτών 647,
90988 Δράμα"
"Καλλίνικος Νάστος","Λαμψάκου 125-353,
19110 Ιωάννινα"
"Αχιλλέας Σιτόπουλος","Αθικίων 430,
ΤΚ 12069 Βόλος"
"Φραντζέσκα-Χρυσαυγή Στούμπου","Κάκκα 690-485,
ΤΚ 40258 Ερμούπολη"
"Ζήνων Κωτσικόρης","Λεωφόρος Ομαλής 836-429,
ΤΚ 293 01 Ερμούπολη"
"Στεργιανή-Σαπφώ Τρίκα","Μαγαρικαρίου 1,
ΤΚ 89333 Μεσολόγγι"
"Αφέντης Κουλίδης","Πλ. Χελιδονίου 59,
ΤΚ 85550 Ηράκλειο"
"Άριστος-Αρχιμήδης Μεταξάς","Σταυρίδου 200-809,
ΤΚ 91634 Λάρισα"
"Αδάμ Τσιγαρίδας","Πλ. Παλαιοβαρβασαίνης 75,
28717 Ηράκλειο"
"Ιάσων-Ανδρόνικος Παπαευαγγελίου","Αδριανής 0,
686 22 Σέρρες"
"Πολυνίκη-Ευγενία Λύτρα","Χατζή 31,
25908 Πάτρα"
"Πυθαγόρας Κραββαρίτης","Πάρ. Μεθώνης 831,
726 78 Ιωάννινα"
"Μελίνα Προύβα","Δαδιάς 7,
ΤΚ 36824 Τρίκαλα"
"Αλεξία Ρόκκα","Καλαμίου 8,
ΤΚ 74565 Ρέθυμνο"
"Αθανασία Καργάκου","Πλατεία Μαντινείας 8,
09282 Ναύπλιο"
"Χριστόφιλη Ξηροτύρη","Πλατανιά 95,
ΤΚ 534 67 Λάρισα"
"Ηώ Μαργαρίτη","Μαρτζούκου 53-36,
88929 Κατερίνη"
"Έκτορας Δουμάς","Λεωφ. Κουτσοχέρας 5,
ΤΚ 233 83 Χαλκίδα"
"Λυκούργος Αγγελής","Κουλούρας 75,
ΤΚ 657 36 Αργοστόλι"
"Πολύδωρα-Αφροδίτη Καράμπη","Λεωφόρος Χράνων 963-319,
ΤΚ 822 51 Κιλκίς"
"Κρυστάλλης Καμποσάκης","Γαναδιού 4,
ΤΚ 28228 Αργοστόλι"
"Μαρίνα Παπανικολάου","Καλεσμένου 5,
246 26 Χίος"
"Αυγουστίνα Ματεντσίδου","Μπαλλή 23-82,
105 32 Πολύγυρος"
"Ιάσων Παπουδής","Σελλά 5,
ΤΚ 848 63 Σπάρτη"
"Βικέντιος Παπαγιαννακόπουλος","Γεωργακοπούλου 411,
18868 Καβάλα"
"Ισμήνη Γκιριτζιώνη","Δημαίνης 05,
ΤΚ 400 25 Καλαμάτα"
"Αστέρω-Τριαντάφυλλη Τσακίρη","Κοκκινίδου 6,
669 41 Έδεσσα"
"Έκτορας Μαμμής","Σκαβέντζου 61,
352 95 Πάτρα"
"Αγλαΐα Σεμπέπου","Πάρ. Αραχναίου 49,
345 18 Χανιά"
"Αντώνιος Γάτος","Πάροδος Αρματολικού 06-99,
ΤΚ 118 54 Ιωάννινα"
"Αδαμάντιος Μαυρομμάτης","Αφετών 409,
826 25 Αγ. Νικόλαος"
"Ευδόξιος Παλλάς","Ανθοχώριον 1,
07771 Γρεβενά"
"Ελευθερία Σιδηροπούλου","Πάροδος Πυλωρών 87-39,
39398 Βέροια"
"Επιστήμη Κεσίση","Σερνικακίου 24,
486 03 Καβάλα"
"Ιωάννης Λιθοξοΐδης","Τουλιάτων 022-475,
80823 Πρέβεζα"
"Μαγδαληνός Δέλιος","Πανκίδου 14,
12317 Σέρρες"
"Δούκισσα-Δήμητρα Δαματοπούλου","Λεωφ. Δραγοψάς 37,
358 30 Σπάρτη"
"Έκτορας Νούσης","Μπρούζου 3,
ΤΚ 29944 Πύργος"
"Ιοκάστη Πρέκα","Αγκίστρου 9,
43400 Βέροια"
"Μιχάλης Περδίκης","Μανιάτη 64,
16687 Βέροια"
"Μαντώ Σελινοπούλου","Φρονιμάκη 79-81,
963 97 Βόλος"
"Φιλίππα Ρωμαίου","Σπάρτου 16,
ΤΚ 284 09 Φλώρινα"
"Ελευθερία Παπαθωμά","Πεταλείας 75,
214 01 Ξάνθη"
"Χαραλαμπία Νικολουδάκη","Ρεντίνας 238,
67470 Ιωάννινα"
"Ακρίτας Κουκουλιάντας","Χατζηδάκη 277,
ΤΚ 079 61 Φλώρινα"
"Σάρρα Καρανάνου","Πάροδος Αγαλιανής 38,
589 57 Άμφισσα"
"Στέλλιος Χατζόπουλος","Λύτρα 94,
73167 Τρίκαλα"
"Έκτορας Σαραντινός","Βελημαχίου 69,
74331 Γρεβενά"
"Νεκταρία Κοντού","Αυγής 236,
ΤΚ 41979 Βέροια"
"Σμαράγδα Παπαδήμα","Γραμπιάς 12,
80314 Κέρκυρα"
"Προκόπιος-Χριστόδουλος Τακαντζάς","Ροδωπού 445-809,
804 64 Σάμος"
"Στέλλα-Φλωρίνα Παπακωνσταντίνου","Πάρ. Μάνεση 0,
92794 Σπάρτη"
"Νεκταρία-Γαβριέλλα Μανιτάρου","Πλατεία Άφρας 958-100,
919 71 Τρίκαλα"
"Ευφροσύνη Κοτσινά","Καραιίκων 22-32,
ΤΚ 55989 Άρτα"
"Γιάννης Τσιαμίτας","Μάρθας 48,
ΤΚ 218 48 Αθήνα"
"Αθηνόδωρος Αποστολάκης","Κιμμερίων 281,
76400 Πολύγυρος"
"Σολομών-Ακρίτας Φούσκας","Κεραμιδίου 96,
ΤΚ 73947 Τρίκαλα"
"Έκτορας Σμπρίνης","Κόκκινων Λουριών 00-59,
ΤΚ 994 73 Λευκάδα"
"Λεμονιά Τσουκιά","Πλατεία Πανεθήμου 44,
00323 Σέρρες"
"Πέτρος Κομπολιάς","Παππάδου 2,
36334 Μεσολόγγι"
"Έλλη Διοπούλου","Αρδόσεως 20,
552 49 Κέρκυρα"
"Αναστάσιος Ψυχιάς","Αισύμης 74,
ΤΚ 861 01 Καστοριά"
"Αγόρω Ξενάκη","Μπόρσα 19,
09774 Σέρρες"
"Ιερώνυμος Καρτάς","Νικολοπούλου 26,
ΤΚ 176 41 Ναύπλιο"
"Αντιγόνη Οικονομοπούλου","Κουτουζίδου 337,
ΤΚ 231 87 Σάμος"
"Εύκλεια-Αχιλλεία Καμπούρη","Καισάρειας 5,
42579 Δράμα"
"Σταύρος Πουλογιαννόπουλος","Ημεροβιγλίου 2,
312 39 Κομοτηνή"
"Έκτορας Χαραλαμπίδης","Αγριάς 58,
ΤΚ 78895 Μεσολόγγι"
"Ντανιέλα Μαυραειδή","Νίψης 36,
292 71 Κιλκίς"
"Άννα Κεσκίνη","Αμυγδαλιάς 24,
ΤΚ 44247 Κόρινθος"
"Θεοφίλη Μηλιάδου","Λακήθρας 307,
ΤΚ 39311 Θεσσαλονίκη"
"Γαλάτεια Ανεζάκη","Μεγαλοπόλεως 99,
689 28 Δράμα"
"Πλάτων Κουτσουλής","Μολάων 431-373,
162 24 Μεσολόγγι"
"Θεοφίλη Μάλαμα","Σοφικού 095,
ΤΚ 63728 Λάρισα"
"Τσαμπίκα Κοντού","Βελίκας 43,
ΤΚ 346 08 Χίος"
"Διονύσιος Τσέγας","Χαράδρου 81,
151 19 Κόρινθος"
"Ζηνόβιος Αργυρίου","Στρανώμης 008,
ΤΚ 026 10 Καβάλα"
"Έλλη Βαρσάμου","Γεφυρίων 36-79,
ΤΚ 20192 Ναύπλιο"
"Βενιζέλος Τουρναβίτης","Λιμένος Χερσονήσου 805-133,
ΤΚ 187 04 Τρίπολη"
"Χριστιάν Καραγιάννης","Καλλιράχης 18,
ΤΚ 12386 Λευκάδα"
"Ιγνάτιος Γουργουλής","Χαλκιοπούλων 62,
ΤΚ 33392 Καλαμάτα"
"Βασιλική Κατσούλα","Ζαρού 82,
ΤΚ 301 80 Αθήνα"
"Αγόρω Θεοδοσίου","Δροσοχωρίου 51,
276 54 Κοζάνη"
"Μίνωας-Ροδόφλος Μπαγανάς","Ελούντας 62,
624 83 Πύργος"
"Ευδοκία Πέτρου","Σεμπέπου 7,
90969 Λιβαδιά"
"Μαριάνθη Χουρζαμάνη","Λεπρέου 53,
ΤΚ 565 27 Άμφισσα"
"Μάνθα Πετσιά","Αθαμανίου 805,
137 44 Κόρινθος"
"Έλλη Βοσινάκη","Νυμφασίας 2,
91346 Καστοριά"
"Ελευθέριος Παλαιολόγος","Παπαδημητροπούλου 3,
57233 Βόλος"
"Μαριγώ Χατζηφώτη","Σαρακινίου Ηραίας 07,
61300 Λευκάδα"
"Ηλίας Αγγελίκας","Καλομοίρη 431,
04496 Άρτα"
"Νεκτάριος Γκιολδελής","Σμύρνης 62-86,
ΤΚ 77349 Πρέβεζα"
"Φωκάς Σταμούλης","Λεωφόρος Πατρέων 562,
31917 Καλαμάτα"
"Τιμοθέα Κανελλοπούλου","Μακρολιβάδου 45,
ΤΚ 143 89 Σάμος"
"Ηράκλεια Κοφινάκη","Λιρών 0,
30249 Ξάνθη"
"Φλωρίνα Μανιτάρου","Πυλών 49,
ΤΚ 268 65 Λαμία"
"Στεργιανή Χορτάτου","Βουλισμένης 19,
93944 Καρδίτσα"
"Έλλη Παπαθανασίου","Κουλούρας 62,
ΤΚ 15234 Δράμα"
"Σπυράννα Μαρκαντωνάκη","Πλ. Λουτροπηγής 91,
63343 Τρίκαλα"
"Αργυρώ Κωτσιονοπούλου","Τακτικουπόλεως 58-61,
ΤΚ 274 50 Ρόδος"
"Τσαμπίκος Πουλογιαννόπουλος","Πλ. Πολυθέας 1,
12121 Κόρινθος"
"Πολυτίμη-Ξένη Καρανασίου","Λεωφ. Μάστρου 0,
316 03 Καβάλα"
"Ξανθός Ζαραφέτας","Γαλανάκη 17,
01607 Σέρρες"
"Αντιγόνη Κολαΐτου","Αλοννήσου 53,
ΤΚ 56513 Σάμος"
"Ελπίδα Γαβριήλ","Πλατεία Κονταραίνης 959,
ΤΚ 97699 Ναύπλιο"
"Χαράλαμπος-Αρίσταρχος Καλαπόδης","Λεωφόρος Ιτέας 3,
722 33 Φλώρινα"
"Θέκλα Τζιγκούρα","Μακρυρράχης 1,
ΤΚ 82559 Ξάνθη"
"Έλλη Τζιωρτζή","Πλ. Μάνεση 7,
665 23 Ερμούπολη"
"Μαριλένα Νταγκαλή","Φτελιάς 95,
83199 Δράμα"
"Ζαχαρίας Γκαγκαουδάκης","Δουκίδου 692-305,
41331 Πάτρα"
"Φοίβος Μουτουσίδης","Λεωφόρος Φλαμπούρου 25-19,
835 39 Ερμούπολη"
"Δημοκράτης Κόλκας","Πλ. Κτισμάτων 71-97,
76420 Ηγουμενίτσα"
"Ευτυχία Μαράκη","Αγίου Ιωάννου 36-11,
ΤΚ 11476 Ρέθυμνο"
"Κλήμης Κουρσάρης","Πάροδος Μέρωνα 5,
675 99 Βόλος"
"Μαλαμάτη Μακρή","Ιθώμης 84,
391 14 Δράμα"
"Αυξέντιος Ευταξιάς","Λαύκας 39,
73827 Μεσολόγγι"
"Μαγδαληνή Ποταμιάνου","Φαρακλάδας 9,
ΤΚ 33360 Ηγουμενίτσα"
"Έξαρχος Κακοσαίος","Ραιδεστού 9,
299 57 Λαμία"
"Μιχαέλα-Ζηνοβία Τσιπλίκωφ","Κατακαλίου 632-891,
372 83 Σέρρες"
"Άρης Μάρρας","Ν.Κερασιάς 33-85,
41727 Μυτιλήνη"
"Λουδοβίκος Τσανδήλας","Πλατεία Μοναστηρίου 91-70,
247 41 Καρδίτσα"
"Ιωνάς Χουδαλάκης","Λεωφόρος Σπηλίου 1,
ΤΚ 218 12 Άμφισσα"
"Ιουλιανός Λαμπρινός","Κοκκινοπηλού 18,
10387 Ναύπλιο"
"Σεμίνα Ραδιοπούλου","Σπάθαρη 24,
ΤΚ 819 22 Καστοριά"
"Υακίνθη Τζιγκούρα","Μωραΐτη 81,
23487 Κέρκυρα"
"Λεωνιδιά Κοφινάκη","Κουρουνίου 846-148,
ΤΚ 387 46 Άρτα"
"Διαμαντούλα Γιακαμόζη","Φωτάδας 108-943,
45755 Λευκάδα"
"Έξαρχος Φρογάκης","Κολυμβαρίου 63,
29491 Λάρισα"
"Κυπριανή Δαρδιώτη","Γρηγορίου 4,
047 64 Κατερίνη"
"Αντωνία Τσετσέρη","Φορτοσίου 135,
ΤΚ 40719 Ναύπλιο"
"Ορέστης Βούλκος","Κρυονερίου Ηλείας 264,
140 35 Σάμος"
"Χρύσανθος Βάσσης","Λεωφόρος Παρθενίου 17,
38823 Χίος"
"Αλκμήνη Δημητρίου","Πάροδος Ζωριάνου 12-53,
ΤΚ 45463 Λαμία"
"Νεοκλής Πισχινάς","Πλ. Άρζου 73,
08855 Δράμα"
"Θεμιστόκλεια Θεοδωροπούλου","Πύργου Καλλίστης 23-00,
ΤΚ 90766 Τρίκαλα"
"Αθηνά-Ευσεβεία Πορφυριάδου","Αξιουπόλεως 0,
ΤΚ 12013 Πρέβεζα"
"Ευγένιος Σίδερης","Δαμήλου 250,
ΤΚ 17495 Ηράκλειο"
"Ήβη Βερβερίδου","Βλάτους 74,
ΤΚ 997 18 Κέρκυρα"
"Διαμαντής Μαντζουράνης","Γραβιάς 959-691,
93793 Κέρκυρα"
"Αγαπητός Πολυζωάκης","Λεωφ. Μετσόβου 92,
ΤΚ 96000 Τρίκαλα"
"Δάφνη Αρματά","Βαβάση 455,
42390 Αργοστόλι"
"Πάτροκλος Μίσχος","Σαμοθράκης 90,
ΤΚ 499 07 Βόλος"
"Βαρσαμία Σταύρου","Ποσάντζη 870-693,
73411 Κομοτηνή"
"Ναπολέων-Αγαθάγγελος Βελεντζάς","Πλατεία Φυλακίου 44,
ΤΚ 71209 Καρπενήσι"
"Παντελεήμων Δουκατζής","Πάροδος Λαχίου 58-46,
59697 Λιβαδιά"
"Νεόφυτος Τσικνιάς","Ρόγγα 93-02,
29230 Πολύγυρος"
"Όλγα Ανεζάκη","Καλαμιτσίου Αλεξάνδρου 89,
37634 Ηγουμενίτσα"
"Ήλια Γαλάνη","Λεωφόρος Λαφιώνας 86,
ΤΚ 54054 Κατερίνη"
"Νερατζιά Βαρουτίδου","Αθαμανίας 721,
54084 Βέροια"
"Τιμολέων Κακοσαίος","Καστανερής 04,
36194 Σπάρτη"
"Κικιλία Κουθούρη","Πάρ. Θεριακησίου 5,
ΤΚ 833 50 Αθήνα"
"Ευριπίδης Λιβανός","Λεωφόρος Μέγα Πιστόν 91-27,
ΤΚ 26175 Χαλκίδα"
"Μάνθα Καφφέ","Πλακάδου 7,
ΤΚ 773 39 Κιλκίς"
"Έκτορας Γιατρομανωλάκης","Πλ. Παλαιοξαρίου 8,
51831 Μεσολόγγι"
"Αμφιθέα Τσουκιά","Λάστρου 2,
ΤΚ 689 25 Μεσολόγγι"
"Κυπριανός Αξαόπουλος","Πηγαϊδακίων 0,
ΤΚ 62557 Ξάνθη"
"Βησσαρία Πολέμη","Πόρου 8,
ΤΚ 759 46 Αργοστόλι"
"Ήλια Μασαούτη","Σκοπιάς 3,
ΤΚ 776 00 Βόλος"
"Κερασιά Χατζηβλασίου","Πλ. Νικοκλείας 01,
ΤΚ 62789 Καρδίτσα"
"Ξανθίππη-Βικέντια Στεφάνου","Γουλών 04,
33286 Κατερίνη"
"Ανδρομάχη Μυλωνίδου","Ριζομύλου 097,
ΤΚ 872 86 Κιλκίς"
"Σωτηρία Ζωντανού","Οροπεδίου 87,
ΤΚ 059 69 Κομοτηνή"
"Αρέθα Μαλίμη","Λεωφόρος Άρμπουνα 9,
ΤΚ 54770 Βόλος"
"Δημόκριτος Χατζόπουλος","Καρατάσου 8,
ΤΚ 403 85 Μυτιλήνη"
"Γενοβέφα-Μαρίνα Σόφρα","Πάροδος Αμελάντων 9,
22605 Ζάκυνθος"
"Κυριάκος Μίχος","Πλατεία Υαμείας 356-043,
04529 Πρέβεζα"
"Ραφαήλ Μόκας","Λεωφ. Πυργετού 49,
52328 Ιωάννινα"
"Ήλια Πατινιωτάκη","Καρβουναρίου 38-68,
ΤΚ 473 13 Μυτιλήνη"
"Σπυρίδων Καρατζαφέρης","Καλαμάρα 586-032,
541 82 Ναύπλιο"
"Σταμάτης Αλεξανδρόπουλος","Λεωφ. Γαλαξιδίου 66,
ΤΚ 229 90 Αγ. Νικόλαος"
"Καλλιόπη Σιδηροπούλου","Πραιτωρίων 8,
ΤΚ 47641 Άμφισσα"
"Θέκλα Ζαρζάνη","Λεωφόρος Βασιλοπούλου 9,
641 46 Πύργος"
"Μηλιά Μωυσίδου","Καπνοχωρίου 4,
97059 Καστοριά"
"Μαριάνθη Καχριμανίδη","Σκήτης 78,
758 66 Καρπενήσι"
"Μαρτίνος Κτενίδης","Πλατεία Αύρας 13,
ΤΚ 92251 Κέρκυρα"
"Μιχάλης-Ταξίαρχος Πιτσολής","Ποδογοράς 71-99,
ΤΚ 502 82 Καβάλα"
"Αναστασία Κοφινάκη","Βλασίου 2,
58506 Καστοριά"
"Ήλια Τόγια","Ρόκκα 2,
ΤΚ 937 92 Λαμία"
"Σπήλιος Κίσσας","Πάροδος Σελίνου 8,
631 96 Λευκάδα"
"Ευλαμπία Δουλγεράκη","Αρχαγγέλου 8,
ΤΚ 112 13 Λάρισα"
"Θέμις Φωτακοπούλου","Γαρέας 51,
53751 Ρέθυμνο"
"Κλεάνθης Δουλγεράκης","Πάρ. Λιμένος Χερσονήσου 13,
073 40 Ρόδος"
"Ζαχαρούλα Μηνά","Πλατεία Καλαβάρδα 3,
142 05 Αθήνα"
"Τριαντάφυλλη Κόλλια","Κορησού 31,
ΤΚ 04714 Σπάρτη"
"Ιωνάς-Αναστάσιος Ανδριόπουλος","Θασίτου 106,
ΤΚ 70430 Ρέθυμνο"
"Αρτέμιος Αγαλιώτης","Σπανοχωρίου 25,
ΤΚ 70054 Κέρκυρα"
"Σταματίνα Τραγούστη","Λεωφόρος Λυκοχίων 186-639,
ΤΚ 76011 Λιβαδιά"
"Ήρα Καλογιάννη","Περουλάκη 2,
ΤΚ 74612 Χίος"
"Κλεομένης-Ευάγγελος Γερόπουλος","Κολχικής 1,
375 74 Γρεβενά"
"Αλεξάνδρα Δερλώπα","Δένδρων Φαρσάλων 51,
ΤΚ 61584 Αθήνα"
"Θεοφάνης Καρανίκας","Μεγίστης 501,
26711 Χίος"
"Κάρολος Σύκας","Κουρουτών 09,
381 15 Κομοτηνή"
"Ιγνατία Ζαρειφοπούλου","Επάνω Βαθείας 04,
73557 Άρτα"
"Ευμένιος Αλατζάκης","Αβδέλλας 8,
ΤΚ 51554 Έδεσσα"
"Διονύσιος Ακριτίδης","Γκραίκα 38,
64516 Κατερίνη"
"Πουλχερία Γεωργίτση","Πολοβίτσης 428,
040 53 Αθήνα"
"Φρειδερίκη-Ταξιαρχία Κουκουθάκη","Πάρ. Βουχωρίνας 515,
217 71 Βόλος"
"Ίκαρος Αγκυρόπουλος","Πάροδος Ανθούσης 2,
32668 Δράμα"
"Ευστράτιος-Αρτέμης Μαυρούτσος","Μυρσινοχωρίου 334,
931 39 Λάρισα"
