"丁冠宇","48302 豐原松山巷94號之3"
"王柏翰","313 雲林縣忠孝街671號2樓"
"池麗美","79863 宜蘭新北投巷7段204號5樓"
"陳仁傑","215 北港萬隆路9段185號之0"
"蔡進財","35043 馬公縣大坪巷5號之2"
"李凱翔","384 卑南士林巷8段2號4樓"
"蔡雅惠","61340 台中光復路44號6樓"
"楊美慧","451 中壢縣奇岩路51號之0"
"何俊明","42231 桃園自由街2號之5"
"彭世昌","15927 台北縣關渡路1段42號7樓"
"徐月英","184 高雄民治巷607號8樓"
"曹素蘭","62924 澎湖民族路6段699號之7"
"陳俊傑","879 台北縣福安路66號2樓"
"劉冠霖","84008 臺東水源路7號5樓"
"陳淑貞","76767 新竹縣林森路6段5號5樓"
"劉嘉宏","355 鳳山縣平和巷8號9樓"
"簡志明","33684 台東縣新莊路18號之2"
"陳俊豪","26973 竹北市芝山街2段8號5樓"
"何冠宇","74469 牡丹華興路5號2樓"
"劉佩珊","46107 卑南松山路57號之4"
"江志明","49396 屏東延平街2號0樓"
"陳淑玲","42689 臺東興街63號1樓"
"施淑惠","254 北竿和街路1號之9"
"施彥廷","26741 宜蘭縣民權街90號9樓"
"洪秀霞","218 光復市林森路9段1號之0"
"張金龍","26957 北竿市大勇巷8段64號之9"
"李志強","59632 桃園正義巷136號之4"
"紀美惠","34692 平鎮市象山巷93號0樓"
"何凱翔","77454 新竹縣華興路29號之3"
"陳承恩","55692 北竿水源街759號4樓"
"吳冠廷","31866 台南市學府路4段9號之9"
"劉冠宏","917 永康新生路9號0樓"
"范家銘","998 太保縣奇岩路734號之3"
"楊彥廷","93830 桃園縣平和街10號之9"
"唐佳玲","779 北港大同街3段4號之7"
"侯靜宜","798 雲林縣育英路983號之4"
"王秀英","92210 永康市國凱八德街5號之5"
"游碧霞","98470 古坑市光明街6段39號0樓"
"何子涵","97385 頭份縣頂福州街827號之8"
"李建志","498 朴子德巷6號之4"
"何雅婷","28473 屏東市太平街7號之7"
"李素珍","50399 台中市民治街6號6樓"
"陳秀琴","73693 金門信義路7段993號3樓"
"林春美","34955 屏東縣新埔街3段875號之4"
"韓美惠","85639 竹北縣新興巷8號之7"
"邱俊雄","997 板橋大安巷4號6樓"
"蔡金龍","32330 北斗縣西門巷662號之8"
"陳美玉","454 蘆洲福安街957號6樓"
"何子翔","224 臺東福德路5號3樓"
"莊淑珍","201 澎湖縣光復巷526號之5"
"賴淑惠","824 員林市廣慈街2段48號4樓"
"陳淑娟","217 基隆市民享路60號之7"
"宋美蘭","242 光復市建國街8號8樓"
"簡秀枝","529 古坑縣中興街760號之0"
"何碧珠","69453 斗六市博愛街3段76號之1"
"阮玉美","94933 新竹博愛巷4號之6"
"蔡月娥","58732 北斗中央巷8號之1"
"郭玉玲","133 樹林市北投路6號之6"
"何建興","783 朴子大坪巷554號之1"
"傅博文","90878 關山市成功街66號之9"
"馮宗翰","64792 古坑永和街4號1樓"
"戴淑美","11987 嘉義縣土城路8號7樓"
"葉雅婷","992 新竹大同街4段561號之0"
"陳麗香","12449 屏東育英路24號0樓"
"王秀枝","66141 斗六市大同街91號2樓"
"徐靜宜","28524 基隆市民權街6號8樓"
"凌美慧","57989 卑南華興路4號1樓"
"廖志宏","332 中和府中路8號之9"
"何志遠","66447 阿里山市福德巷8段4號9樓"
"潘子翔","205 關山永安路65號之1"
"吳麗珍","795 草屯縣東興街29號0樓"
"吳淑惠","765 台中市天母街1段7號之3"
"郭品妍","477 桃園和平路15號6樓"
"劉淑卿","40477 桃園縣國凱八德街717號之7"
"黃志遠","89780 連江市萬隆街113號5樓"
"李家銘","86651 基隆天母路80號6樓"
"黃冠宇","758 員林市象山路5段534號之7"
"陳明宏","695 新營古亭街8號7樓"
"何柏霖","899 台北市紅樹林街30號之3"
"謝志明","662 草屯縣國凱八德路3號0樓"
"賴秀鳳","156 太保縣長安路73號之8"
"楊志豪","772 澎湖市平和路988號9樓"
"董仁傑","900 台北縣民生街13號之5"
"楊美華","693 高雄和街路1號之9"
"蕭雅惠","58485 北斗劍南路2段790號4樓"
"馬玉玲","910 新北大智街715號之5"
"陳寶珠","779 花蓮土城路4段35號之7"
"羅承恩","595 馬公中山街2段55號之3"
"何淑惠","423 臺東市古亭路5號2樓"
"潘志雄","756 連江奇岩巷127號7樓"
"范素貞","711 太平民生巷73號0樓"
"林麗娟","731 大里建國巷540號9樓"
"黃志成","54464 臺中紅樹林街361號7樓"
"林子睿","875 雲林市龍山寺街9號之8"
"羅志明","95962 新營市新興街9段54號之7"
"江家豪","14502 永和興街5號之2"
"楊美英","690 大里縣仁愛巷129號之9"
"陳志明","31419 台北淡水路444號2樓"
"何淑玲","776 竹北昆陽路93號之1"
"袁素琴","850 頭份縣廣慈街7段9號之6"
"林志雄","56953 高雄國凱八德街95號8樓"
"陳秀美","710 白沙林森路180號6樓"
"林俊宏","922 台東自由街13號4樓"
"王文雄","125 高雄莒光街76號之7"
"宋美蘭","39104 雲林市中山巷9段483號之7"
"徐國榮","17393 卑南市博愛巷7號3樓"
"李秀華","78353 斗六光明巷218號8樓"
"魏志遠","77891 竹北縣中央街93號之7"
"何淑玲","933 古坑縣育英巷9號9樓"
"洪俊宇","84276 屏東市西門巷7段190號之6"
"王麗卿","730 關山縣西門路21號4樓"
"李秀琴","93765 澎湖光明巷5號之7"
"王冠霖","50958 連江福德巷7號之1"
"鄭彥廷","373 樹林延平巷9號之4"
"翁怡君","40928 彰化市大坪巷8號4樓"
"吳麗珠","318 橫山三民巷9號之3"
"邱美惠","604 新北文昌路32號3樓"
"許美玲","700 卑南市廣慈路5號3樓"
"何淑芬","97857 橫山昆陽街9號0樓"
"黃秀美","590 台北太平路1段27號7樓"
"黃志成","82506 臺東公園路86號之7"
"蔡秀霞","834 金門民有巷43號之6"
"王美惠","50112 豐原自強路34號5樓"
"廖美英","804 桃園學府街17號之3"
"顏承恩","770 竹田縣仁愛街62號7樓"
"范文正","97960 彰化新北投巷554號之2"
"楊志成","35638 阿里山縣古亭路56號5樓"
"鄧明珠","890 三重縣土城街2段899號4樓"
"何玉珍","653 南投縣忠義巷6號之4"
"李凱翔","832 澎湖縣奇岩巷8號之0"
"吳雅婷","369 南投民富街1段5號2樓"
"張俊銘","72914 宜蘭德巷2號之6"
"胡秀珍","76722 台東市東湖路395號之3"
"邱詩涵","176 桃園縣雙連街8號7樓"
"呂美珠","514 台南永安街8號之9"
"施志宏","968 永和光復街10號之0"
"顏建良","143 雲林縣平和巷5段9號5樓"
"吳宗憲","315 三重縣新莊街5號之4"
"何秀琴","66143 臺東縣古亭巷560號4樓"
"許明德","91040 金門太平巷6段1號之3"
"羅建華","81494 北斗關渡巷8號7樓"
"蘇宜蓁","935 光復正義巷396號5樓"
"徐明哲","162 新營勝利路18號之3"
"郭怡君","112 豐原民生巷298號之6"
"顏義雄","805 永康福安街880號之6"
"蔡玉梅","53161 古坑新生巷519號4樓"
"李秀琴","562 古坑市大安巷4段201號0樓"
"吳承恩","273 永和松山路1號之6"
"何秀蓮","562 連江市仁愛巷4號之2"
"吳子宸","351 蘆洲大同街162號2樓"
"李金鳳","84497 彰化縣忠義巷25號之6"
"賴彥廷","670 台東五福街5號9樓"
"吳文忠","36120 澎湖民享街8號5樓"
"蕭俊明","57367 連江市中正巷43號8樓"
"劉建銘","167 楊梅縣民權街85號8樓"
"施志遠","307 馬公太平路7段7號之9"
"林志成","81296 朴子縣新北投巷56號之0"
"謝彥廷","152 員林新店巷4段55號之1"
"何素珍","38394 牡丹永和巷379號之0"
"蕭柏睿","367 新竹市新莊巷8號之8"
"楊雅玲","885 梅山新興路915號6樓"
"楊怡君","893 朴子昆陽巷3號之2"
"饒俊男","141 台北縣西門路9號0樓"
"陳家瑋","382 大里市東湖路5號之1"
"彭凱翔","278 豐原新莊路9號6樓"
"賴雅雯","190 平鎮民有街25號4樓"
"劉秀華","36410 高雄縣中央路159號5樓"
"柯俊雄","935 蘆竹關渡巷4號1樓"
"何素琴","576 台東縣新埔街3段345號1樓"
"黃俊男","58039 台北頂福州街76號7樓"
"張麗珠","28354 白沙大橋頭巷6號之1"
"張美惠","265 馬公市關渡路6段63號之2"
"葉俊雄","12493 中壢縣新興巷335號之2"
"吳家銘","385 新營市公園街9段293號5樓"
"許志成","78069 牡丹縣大仁路3號之2"
"吳哲瑋","58541 竹北永和路79號之6"
"陳建宏","39099 汐止自強街56號之5"
"陳秀珠","90664 桃園延平路872號9樓"
"何素貞","80385 鳳山博愛巷5號1樓"
"吳柏宏","37924 苗栗民治街4號4樓"
"游志偉","700 馬公市頂福州街355號9樓"
"黄美華","363 馬公府中巷64號之6"
"陳凱翔","888 中壢民有巷10號之1"
"林怡萱","44702 北港市公園巷5號8樓"
"王惠玲","799 八德縣大安街765號5樓"
"林榮華","141 基隆縣中正路2號之4"
"游冠宇","50411 臺東仁愛路79號之1"
"章明珠","16897 新北市芝山街6段17號0樓"
"何美玲","441 汐止和平巷9段6號5樓"
"謝金鳳","877 牡丹永和巷1段75號7樓"
"劉彥廷","717 關山市天母街399號9樓"
"游宇翔","74767 板橋縣中華街1段663號6樓"
"劉正雄","544 馬公市忠孝巷65號之8"
"楊美麗","78804 大里忠孝路73號之9"
"陳美玲","97857 南投林森路8段33號4樓"
"林心怡","652 南投水源路5號之1"
"林文彬","479 高雄縣民族巷223號之8"
"白玉蘭","470 新竹永安街18號0樓"
"何美雲","93972 苗栗中和街7段619號2樓"
"羅玥彤","412 鳳山縣光華路805號3樓"
"陳玉琴","307 金門水源巷15號之1"
"葉淑芬","964 中壢大橋頭路98號6樓"
"王秀霞","998 桃園縣大勇巷12號3樓"
"黃正義","869 北港市博愛路1號之0"
"張麗華","625 古坑市明德街9段32號之4"
"簡雅慧","125 楊梅縣和街路6段5號之6"
"黃玉梅","893 新營縣大安路8段1號6樓"
"陳俊宇","358 苗栗中央路67號6樓"
"佘秀美","457 頭份文山街242號之7"
"許美惠","183 台北市迴龍巷1號之6"
"鄧淑貞","197 屏東市古亭巷83號3樓"
"潘柏霖","15486 員林東湖路2段252號之0"
"鄭俊明","450 蘆竹土城街3段527號5樓"
"林文傑","841 頭份市忠義街709號之1"
"簡淑惠","53817 北竿華興路768號之9"
"楊恩碩","74112 桃園縣松山巷17號2樓"
"周雅慧","94467 阿里山市南路17號之1"
"劉宗霖","52966 馬公市育英路9段646號2樓"
"余俊佑","526 草屯蘆洲街271號1樓"
"謝秀枝","25087 草屯新店街22號之6"
"詹秀琴","10406 平鎮廣慈路6號之7"
"凃俊雄","92286 卑南縣新莊街633號4樓"
"黃冠宏","64293 草屯民有路734號1樓"
"江淑卿","79747 中壢紅樹林巷64號之2"
"張金龍","59955 板橋明德路6段422號5樓"
"施秀蓮","341 北斗建國巷934號5樓"
"柯月英","25718 太保市古亭街50號5樓"
"陳美玉","762 中和市成功巷47號4樓"
"余宥廷","21159 高雄縣古亭街42號6樓"
"陳志強","513 汐止民富巷8號9樓"
"楊淑芬","80981 斗六光復路92號之5"
"蔣玉梅","36177 蘆竹縣新莊街7號之3"
"張文傑","658 板橋市東湖路772號1樓"
"陳進財","97507 光復縣育英巷725號之9"
"李美玉","59100 太保光華街206號之7"
"余雅玲","388 屏東興巷84號之1"
"黃秀鳳","111 豐原市復興巷477號之7"
"林怡君","66409 橫山長春路543號之4"
"余恩碩","551 鳳山市華興路28號之6"
"蔡麗娟","75182 花蓮芝山巷5段75號之7"
"蔡玉美","843 雲林市廣慈巷5號8樓"
"裴淑貞","83598 白沙市東興路5號之2"
"柯文華","696 樹林市士林街1段876號之5"
"宋武雄","96812 橫山自由街523號之7"
"蘇玉美","589 桃園自由巷3號之1"
"鄭雅雯","683 永和德路8號之5"
"孫麗珠","19348 樹林芝山路454號5樓"
"陳柏諺","96718 中壢縣育英路104號0樓"
"余明珠","908 台東松山路492號之5"
"陳志銘","638 白沙萬隆巷45號之9"
"劉金龍","53828 板橋華興街908號之6"
"王宸睿","604 蘆洲市永寧巷144號之4"
"林美英","62899 平鎮和街街31號之9"
"陳美娟","44296 卑南市華興巷9號之9"
"賴玉梅","29906 員林福德街160號6樓"
"王家豪","19306 桃園中正街7段763號1樓"
"陳冠霖","512 光復迴龍街22號之8"
"邱麗雲","85276 金門縣紅樹林路6號4樓"
"余柏宏","664 宜蘭新北投路8號之2"
"王志遠","77230 白沙中央路95號之5"
"陳建成","181 永和縣蘆洲巷1號之0"
"劉冠廷","61508 北斗和平巷582號4樓"
"邱惠美","55499 太平北投路8號之6"
"劉麗美","85047 平鎮明德路3段790號5樓"
"王志鴻","432 蘆洲長安巷4段844號之1"
"胡建良","20976 台東大安路173號5樓"
"葉秀美","789 蘆洲縣景美路2段15號3樓"
"林淑芬","789 雲林市紅樹林街360號之6"
"余玉蘭","80796 新北市育英街334號8樓"
"李建成","912 草屯縣紅樹林街96號7樓"
"粘志銘","617 北竿和平路559號8樓"
"詹明輝","583 臺東縣自強街6號之9"
"鍾雅玲","266 竹田縣大坪路2段462號3樓"
"林凱翔","36318 台中忠孝街3段82號之0"
"錢佳蓉","85426 褒忠縣和平街2段9號之7"
"劉榮華","37772 宜蘭民生巷3號5樓"
"魏文忠","59012 竹田縣府中路7段410號9樓"
"黃美鳳","45976 彰化縣文化路5段87號之3"
"余秀蓮","193 阿里山大仁路82號0樓"
"沈秀華","567 台中縣關渡街20號2樓"
"馮淑華","269 屏東大橋頭路1號之6"
"游俊宏","973 北竿育英路5號之4"
"廖志忠","225 嘉義明德路1號之1"
"徐家豪","72841 蘆竹縣紅樹林街277號6樓"
"曹秀英","554 馬公縣三民巷741號之4"
"林建銘","138 馬公市民享路386號4樓"
"曾心怡","902 關山市文化街3號3樓"
"陳家瑋","50720 八德大安街4號6樓"
"余素卿","84087 北竿縣和街巷636號2樓"
"江美惠","530 中壢市四維路10號6樓"
"杜美惠","20542 梅山大安路924號2樓"
"曾秀珠","35519 台東正義街89號1樓"
"郭怡婷","262 白沙延平路3段6號6樓"
"李冠霖","343 台中劍潭巷72號3樓"
"陳柏霖","586 豐原市民享巷80號6樓"
"盧志忠","90021 彰化德街1號之6"
"黃建宏","156 蘆洲新北投巷90號之2"
"羅怡君","98182 大里市東湖巷8號9樓"
"余鈺婷","41530 竹田自由路274號6樓"
"陳俊佑","57013 光復自強街1號之8"
"王志豪","998 朴子和平街880號3樓"
"陳建宏","204 金門縣勝利巷5號之5"
"許寶珠","329 屏東淡水巷948號之7"
"廖佳玲","64337 古坑南巷6號之2"
"陳武雄","614 北港動物園巷5段1號之4"
"曲美慧","709 頭份縣光明街54號之9"
"王苡安","380 太平市大坪路495號之3"
"陳柏宏","56536 新北市明德巷41號之8"
"余雅雯","62179 牡丹縣新生巷759號9樓"
"林家宏","814 太平市中山巷8段18號之8"
"陳承恩","61524 桃園新北投路239號2樓"
"陳志明","26107 朴子市延平路425號5樓"
"蔡明德","87152 平鎮福德巷38號4樓"
"葉玉珍","50562 北竿市古亭巷2號之7"
"曾文雄","86091 蘆洲淡水路4號6樓"
"陳美珠","190 雲林市學府路3號5樓"
"張榮華","63050 楊梅建國巷996號5樓"
"林惠玲","959 梅山古亭街76號6樓"
"余麗華","97105 楊梅縣大橋頭路940號之6"
"陳淑芳","27357 台東縣東興巷2段737號之9"
"周宇翔","66313 白沙市文化巷529號3樓"
"趙志豪","27295 桃園國凱八德街3號1樓"
"洪建成","29097 高雄縣中華巷15號之1"
"洪柏宏","321 大里中央街98號7樓"
"林靜怡","958 橫山縣府中巷7號4樓"
"蘇宗憲","73312 八德縣民族巷75號4樓"
"彭柏睿","47643 竹北民富巷1號之8"
"阮志遠","92558 金門奇岩巷91號6樓"
"侯家榮","521 台東新興街7段8號5樓"
"張怡君","146 新營市中正巷10號3樓"
"曾雅婷","235 宜蘭市民治路45號7樓"
"何靜宜","49910 屏東新興街27號0樓"
"陳正雄","553 桃園和街街132號之1"
"郭政宏","515 桃園大安街69號之0"
"江雅婷","65857 臺東中華路9段4號之0"
"許淑慧","369 梅山市雙連街1段924號9樓"
"楊家豪","271 台北縣正義路60號2樓"
"李素貞","137 台東縣中山路543號4樓"
"侯春美","460 新竹石牌路311號之2"
"趙國華","787 苗栗市天母街1號之8"
"盧明宗","574 彰化縣永和街4段584號之3"
"廖秀鳳","92535 永康仁愛路5段3號8樓"
"畢武雄","95788 新竹市仁愛路2號1樓"
"陳雅玲","224 梅山新興街591號之0"
"梁承恩","49981 新營縣民權巷65號0樓"
"李玉珍","681 新竹景美街9段77號4樓"
"柳春美","53585 樹林林森路50號之4"
"林子晴","62400 北竿市萬隆街79號之0"
"侯月娥","69132 白沙民享巷33號9樓"
"徐國雄","485 蘆竹關渡路375號5樓"
"楊宗憲","325 竹田市中華巷43號之3"
"謝秀珠","314 桃園縣大仁巷54號之5"
"周志鴻","423 豐原市福德路73號之9"
"曾建華","849 連江中和路869號1樓"
"王志豪","21992 朴子新北投路92號1樓"
"蔡明珠","88637 板橋市和平街8號1樓"
"鍾俊廷","120 宜蘭市育英路8號7樓"
"胡志豪","349 豐原市象山街636號之4"
"侯秀華","284 新竹府中路825號之0"
"廖雅玲","611 南投土城街28號之1"
"洪信宏","613 新營市育英街30號4樓"
"黃俊銘","43154 蘆洲縣新生巷386號9樓"
"陳宗憲","90776 大里中山巷1號之5"
"高彥廷","162 太平林森路59號5樓"
"陳素珠","11950 朴子縣紅樹林路56號2樓"
"黎文雄","580 花蓮縣光明路2段569號之4"
"黃文龍","468 太保縣五福巷87號之8"
"蘇美玲","64282 高雄松山路125號9樓"
"侯素珠","444 高雄奇岩巷410號9樓"
"陳金龍","588 高雄永寧巷63號之6"
"杜宥蓁","74037 中和新埔巷15號8樓"
"紀仁傑","18287 豐原縣四維巷2號7樓"
"林家瑋","80539 阿里山縣蘆洲街6號7樓"
"謝俊良","40657 北斗中和路1號之6"
"謝怡婷","47179 馬公市忠義街456號之3"
"曾明輝","23638 馬公關渡巷40號之5"
"林俊雄","84088 牡丹縣永寧街4段758號9樓"
"沈淑芳","22335 員林博愛路4號5樓"
"俞婉婷","740 台東縣土城街2段776號3樓"
"林秋月","982 永康中山巷7號3樓"
"張玉珍","48975 八德新興街602號之1"
"余俊廷","131 八德市仁愛巷3號之5"
"李秀枝","57686 屏東縣光復巷200號6樓"
"徐榮華","59226 北港縣中山路70號之5"
"李冠宏","982 嘉義光復街184號9樓"
"游進興","660 桃園市博愛巷2號1樓"
"劉麗卿","33591 頭份市大同路751號之0"
"周淑芳","25187 八德縣關渡巷3段2號7樓"
"俞武雄","997 澎湖縣勝利巷299號2樓"
"傅秀梅","22776 新竹市太平街552號8樓"
"楊俊傑","42317 褒忠市中和巷235號之5"
"陳冠宏","185 台東蘆洲巷666號之0"
"魏惠美","12025 光復民族巷8號之6"
"蔡明宏","171 永康福安巷12號之6"
"簡子豪","58815 褒忠縣文昌街3段9號之7"
"曾仁傑","45141 高雄四維路29號之0"
"曹柏翰","539 平鎮育英路238號之1"
"顏志成","993 板橋民享路19號9樓"
"俞進發","76529 北港市成功路7號之0"
"宋雅萍","19254 馬公縣育英路5段10號9樓"
"曾俊宏","524 梅山育英街9號之9"
"葉凱翔","48167 蘆洲市動物園巷17號4樓"
"李美玉","272 楊梅市成功路45號2樓"
"連美玲","277 汐止市忠義街75號2樓"
"莊詩涵","62148 頭份劍南街7段9號之3"
"周哲瑋","49636 屏東文化街9段902號0樓"
"郭承恩","36971 永康市新生路3號7樓"
"彭麗珍","60466 阿里山市芝山巷935號之4"
"俞進財","72545 桃園關渡路83號之1"
"黃世明","467 北港縣長春路76號8樓"
"曾俊傑","12289 竹田縣天母路48號5樓"
"萬哲瑋","772 新北縣文化路867號3樓"
"鍾國華","165 光復市信義路7號之1"
"廖惠珍","84358 臺中縣昆陽街92號6樓"
"潘建成","55682 新營正義街324號之4"
"張美英","850 南投縣文山巷7段64號3樓"
"高玉玲","409 台南市民富街15號7樓"
"許秀琴","33552 白沙縣大坪巷7段15號之2"
"倪子翔","17357 褒忠新埔路38號3樓"
"蔡玉蘭","620 桃園市永寧街38號2樓"
"張淑美","361 梅山育英巷3號之7"
"李美玉","13432 嘉義忠孝街63號之7"
"張麗華","34921 中壢石牌街37號之3"
"梁家瑋","311 桃園市北投街8號2樓"
"陳麗珠","920 汐止福德路2號之8"
"游美惠","295 草屯關渡街8號之6"
"余宇翔","290 頭份中山路4號7樓"
"徐志成","99133 光復市自立路8段9號9樓"
"傅文欽","28534 員林縣昆陽巷66號0樓"
"潘冠宏","10640 中和縣大同街652號之6"
"潘惠美","99405 金門新生路2號之4"
"李世昌","90913 大里中興街43號之1"
"洪宜蓁","63029 基隆中山路2號之4"
"顏彥廷","457 竹北市迴龍巷8段76號之4"
"陳志賢","236 新竹學府街730號8樓"
"吳美華","982 台東市昆陽路70號6樓"
"陳志誠","884 連江縣松山路309號之4"
"游世明","699 光復三民巷64號4樓"
"傅淑芬","611 北斗縣中和街813號5樓"
"林靜宜","84324 草屯景美路4號7樓"
"陳家豪","758 台北市國凱八德街32號6樓"
"陳鈺婷","756 八德市中央路9號7樓"
"簡美華","206 太平象山街649號之1"
"吳子宸","643 卑南市長安巷229號9樓"
"邱國雄","46926 彰化明德巷168號9樓"
"周淑慧","93750 中和市北投路2段2號4樓"
"曾明宗","346 牡丹縣自強路900號之3"
"粘家宏","26181 太保頂福州街1段1號6樓"
"凃玉英","30295 新營縣士林路2號之6"
"邱秀珍","91796 馬公東湖巷4號之8"
"黃宥蓁","55693 蘆竹國凱八德路6號之2"
"方志強","212 關山縣新生街91號之2"
"蕭苡菲","52924 橫山市福安巷6號之7"
"游秀蘭","96296 永和淡水巷2段241號7樓"
"康芸菲","717 草屯市關渡路465號之1"
"李家豪","415 台東西門路8號4樓"
"侯雅萍","514 褒忠正義街82號之3"
"白明輝","98803 台南縣勝利巷638號9樓"
"凃美玉","33930 樹林自由路3號之5"
"陳美蘭","62955 花蓮縣龍山寺街9號9樓"
"張建宏","132 中壢市仁愛巷5段2號4樓"
"陳彥廷","91610 白沙土城路1號之7"
"葉淑芬","90043 花蓮永安路9號之9"
"何冠宏","399 阿里山市育英街9號6樓"
"陳聰明","150 桃園市中央巷935號之3"
"徐俊豪","49292 大里北投街437號6樓"
"蔡承恩","789 台南新莊路4段316號3樓"
"胡冠宇","973 北港縣士林路3號5樓"
"劉世昌","95232 苗栗公園巷7號4樓"
"馮素琴","394 中壢市大仁巷1段219號5樓"
