"丁哲瑋"|"410 澎湖市紅樹林街80號之6"
"許美蘭"|"20685 台中市頂福州街67號6樓"
"丁麗琴"|"27602 牡丹廣慈路70號3樓"
"吳美鳳"|"75201 豐原國凱八德巷15號之3"
"陳承恩"|"153 台北博愛路9段733號之6"
"廖淑珍"|"39929 新竹南街99號之3"
"郭玉鳳"|"793 新竹市公園路1號之4"
"張國榮"|"646 中和永安街61號之2"
"陳素珍"|"137 永和縣民治街856號7樓"
"林義雄"|"31157 新竹縣中山巷605號之6"
"陳柏翰"|"864 永康市劍南路184號之7"
"胡淑芬"|"62210 三重市昆陽巷15號之8"
"丘麗娟"|"255 馬公五福巷54號之8"
"施志明"|"37094 梅山縣中山路3段17號之7"
"張苡晴"|"52496 新營延平路9段56號之4"
"陳建宏"|"73646 板橋忠義巷5段644號5樓"
"鄭淑貞"|"644 台東西門巷8段680號8樓"
"陳國華"|"310 基隆縣勝利路9號0樓"
"胡家豪"|"27056 花蓮景美巷1號8樓"
"陳雅玲"|"549 頭份縣昆陽街3號2樓"
"劉俊宏"|"86868 新竹中華街9號之5"
"顏淑惠"|"805 台東縣三民路5段24號5樓"
"任秀鳳"|"66387 永康小碧潭街32號2樓"
"江欣怡"|"47078 蘆竹市文山巷941號6樓"
"江文雄"|"37960 汐止市新埔街7段324號之6"
"羅麗娟"|"157 桃園光華路861號之0"
"鄭俊賢"|"99646 竹田關渡巷393號之2"
"盧國榮"|"80385 平鎮五福路633號3樓"
"陳淑惠"|"575 新營市萬隆路46號0樓"
"林靜宜"|"274 臺東士林街52號1樓"
"林志偉"|"90121 基隆迴龍巷489號之7"
"嚴淑華"|"619 竹田大橋頭路5號8樓"
"任靜宜"|"23022 雲林市成功街952號之4"
"黃金龍"|"59949 苗栗永寧路167號之1"
"高秀美"|"93175 豐原復興路3段640號之2"
"張文章"|"905 屏東縣公園巷3段140號之3"
"黃玉琴"|"22029 牡丹市三民巷67號之9"
"洪秀美"|"54265 新竹市文化路1段379號之7"
"董文雄"|"194 太平東湖街6號之3"
"葉秀玉"|"401 太保市頂福州路707號之0"
"洪家豪"|"280 南投縣永寧路30號之1"
"詹美雲"|"62883 大里自強路313號6樓"
"伍進財"|"62746 板橋民享路7號9樓"
"郭淑芳"|"393 中壢大安街90號7樓"
"賴文彬"|"45308 橫山市復興街819號之2"
"黃佳玲"|"24067 臺東縣永寧街2段3號3樓"
"呂家銘"|"597 蘆洲成功路9號0樓"
"陳詩涵"|"468 苗栗縣新北投路44號之9"
"李欣怡"|"641 北港華興街824號3樓"
"李秀琴"|"635 蘆竹縣新興街1號8樓"
"施美華"|"94880 台北市中山巷40號3樓"
"林建銘"|"51511 頭份新生街8段7號6樓"
"伍麗美"|"488 板橋縣新莊街19號之0"
"簡志成"|"45774 宜蘭光復路9號之4"
"林冠廷"|"32794 北竿福安巷5號5樓"
"邱寶珠"|"22721 新營縣大坪街78號之0"
"鄧明輝"|"34638 大里縣土城巷82號之1"
"陳淑芬"|"675 古坑市廣慈巷6號之0"
"劉仁傑"|"955 三重市新埔巷41號6樓"
"鐘俊雄"|"84115 苗栗大安巷2段31號9樓"
"黃淑芬"|"667 嘉義雙連街4段14號7樓"
"曾玉蘭"|"160 北港縣林森街67號之6"
"何信宏"|"42979 宜蘭自由路8段941號之4"
"邱俊銘"|"56506 新竹縣頂福州街426號9樓"
"許仁傑"|"85974 新營新店巷9號9樓"
"林勝雄"|"18028 竹田市光華路9段60號0樓"
"楊政宏"|"987 澎湖民權街60號4樓"
"宋麗卿"|"13193 北港市華興街8號6樓"
"劉淑芬"|"93816 八德關渡巷68號之9"
"潘志賢"|"92313 褒忠大安路8號之1"
"張博文"|"881 台北縣太平路8號0樓"
"潘秀鳳"|"57293 新營文昌街411號9樓"
"何冠廷"|"741 斗六縣學府巷453號5樓"
"葉正義"|"579 永康華興巷51號7樓"
"丁雅婷"|"79568 台北劍潭街858號之0"
"吳秀玲"|"50659 朴子迴龍路1段641號之5"
"郭志明"|"884 臺中正義巷5段640號8樓"
"戴淑珍"|"42638 南投縣和平路139號之1"
"洪文正"|"26904 屏東松山街465號之2"
"陳美珠"|"390 太平市紅樹林路2號之2"
"林嘉宏"|"576 鳳山市自由街59號0樓"
"徐文龍"|"61215 員林縣松山巷480號之4"
"何國雄"|"113 南投博愛路6號0樓"
"徐雅慧"|"324 苗栗縣忠孝巷122號9樓"
"陳碧珠"|"503 新營市土城巷22號之2"
"李鈺婷"|"477 彰化縣平和巷68號之2"
"范惠玲"|"23642 楊梅新生路559號之0"
"吳進發"|"256 橫山大橋頭路731號3樓"
"黃淑華"|"46107 八德中正街1號4樓"
"葉玉鳳"|"32649 橫山福德巷3號之3"
"童玉梅"|"622 頭份民族路690號之9"
"黃秀珠"|"56994 蘆竹中正巷22號1樓"
"何宜蓁"|"14081 台北新興街1段670號3樓"
"黃美鳳"|"16182 澎湖象山路73號之7"
"陳建銘"|"886 花蓮芝山路43號7樓"
"陳秀鳳"|"43025 桃園市雙連路9段1號6樓"
"謝國雄"|"240 苗栗莒光巷3號1樓"
"陳雅萍"|"375 三重中和街781號6樓"
"廖惠玲"|"21375 基隆大同巷6號之1"
"張承翰"|"50356 宜蘭光明街4號之5"
"江承恩"|"76354 阿里山市福安街4號之6"
"黃子豪"|"41627 橫山松山路37號8樓"
"何建良"|"32799 板橋市新生巷5段38號之8"
"林明德"|"46244 白沙國凱八德路4號4樓"
"許素貞"|"163 台東市天母巷635號0樓"
"王麗珍"|"924 北竿縣古亭路395號9樓"
"王素琴"|"17906 新竹土城巷792號1樓"
"蔡承翰"|"14111 員林市民富街918號之3"
"張芯語"|"38319 高雄民權巷1號5樓"
"葉淑華"|"791 桃園縣大坪巷226號3樓"
"羅淑芳"|"432 板橋中山巷9段648號6樓"
"劉淑玲"|"85323 汐止縣中山巷3段6號8樓"
"何志豪"|"653 基隆文山路1號7樓"
"王素卿"|"420 蘆洲博愛街338號3樓"
"謝月英"|"217 褒忠萬隆巷78號之5"
"陳志豪"|"896 北竿縣松山巷4段9號8樓"
"林俊男"|"170 白沙縣正義巷757號之7"
"沈美麗"|"18788 朴子國凱八德巷6段6號之2"
"梁淑芳"|"30763 北斗市福德巷4號4樓"
"蔣進興"|"171 雲林縣中正街72號3樓"
"王靜宜"|"57267 太平縣中山路323號之0"
"王麗娟"|"77200 橫山北投路6段2號0樓"
"何文雄"|"520 澎湖關渡路7段5號7樓"
"李麗娟"|"240 橫山新店巷744號之0"
"江榮華"|"84297 新營萬隆路9段58號之0"
"蕭雅玲"|"95427 梅山市國凱八德路37號0樓"
"卓秀英"|"132 馬公中正路347號之4"
"黃文忠"|"28667 太平縣永安路4段46號之0"
"樊碧霞"|"22630 橫山市景美路94號之3"
"吳宇軒"|"566 新營市自由街7號之2"
"邵進財"|"191 卑南民生路557號之1"
"王玉美"|"387 臺中和街路6號1樓"
"何柏諺"|"92518 竹北新北投巷494號1樓"
"林進發"|"80403 臺東光華巷6號之6"
"劉麗香"|"124 中壢昆陽街643號4樓"
"洪建成"|"458 竹田復興巷5號5樓"
"鄭正義"|"86056 北港市大橋頭街6段371號之7"
"黃淑華"|"76550 永康新店路5號1樓"
"陳素卿"|"318 宜蘭市和平街58號0樓"
"方淑珍"|"19481 中壢雙連巷5號1樓"
"黃建銘"|"40246 中壢興巷7號之1"
"賴雅婷"|"41766 台中縣永安街716號2樓"
"何淑惠"|"56595 金門市奇岩街5段42號0樓"
"林進財"|"357 板橋市興路24號之9"
"余文雄"|"927 古坑縣永和路4號之6"
"黃俊傑"|"698 臺中市劍潭街1號3樓"
"林明珠"|"93844 苗栗中正路5段16號8樓"
"廖碧霞"|"97480 台中中央巷384號之0"
"陳美慧"|"86656 雲林縣動物園街237號8樓"
"温俊銘"|"587 新竹市劍南巷162號之9"
"江麗玲"|"81239 樹林市民富巷9號之2"
"潘淑娟"|"91081 永和小碧潭路84號0樓"
"何淑華"|"217 阿里山市興街4段44號之3"
"陳家榮"|"874 大里蘆洲路8段2號8樓"
"廖文章"|"55061 嘉義縣南路70號0樓"
"莊金龍"|"50677 基隆三民路2號之7"
"洪柏宏"|"821 蘆竹市文山巷6段271號6樓"
"陳淑慧"|"575 蘆竹縣育英街53號之6"
"邱美玉"|"87746 宜蘭成功街5段21號5樓"
"胡承恩"|"97752 褒忠縣劍南路2號0樓"
"黃俊良"|"506 桃園北投路5號之3"
"劉淑華"|"40394 斗六中興路170號之7"
"何碧珠"|"123 卑南縣南街4段313號之1"
"伍雅萍"|"75531 八德大橋頭街698號3樓"
"林碧珠"|"718 桃園市光華巷10號2樓"
"李麗琴"|"448 臺東市民富路80號6樓"
"蔡玉英"|"737 大里縣延平路261號之7"
"章淑華"|"21636 汐止市國凱八德巷83號7樓"
"劉榮華"|"111 汐止市明德巷799號之9"
"歐聰明"|"42266 澎湖縣自由巷8號4樓"
"王麗玲"|"37052 台中象山巷29號之6"
"黃金蓮"|"396 宜蘭市民富巷69號之7"
"何秀玉"|"701 中壢五福巷13號之3"
"陳進發"|"334 台東松山巷5號之2"
"翁子豪"|"202 牡丹和街街1段706號之2"
"莊秀英"|"621 汐止大橋頭路1段11號4樓"
"林靜怡"|"22660 八德自強街120號4樓"
"周宇軒"|"137 新營中興路9段548號2樓"
"薛俊賢"|"88797 新北縣大仁街9號1樓"
"林志豪"|"35195 橫山中華路787號之9"
"林文章"|"698 屏東市民權路46號7樓"
"葉淑美"|"17444 大里縣劍潭路54號1樓"
"何秀琴"|"818 朴子正義路2段42號1樓"
"楊俊賢"|"34753 太平福德巷73號之0"
"魏建興"|"57507 八德縣迴龍街621號之7"
"鄭志明"|"93537 關山仁愛街2號之9"
"林子豪"|"33113 臺中市動物園路40號9樓"
"郭苡安"|"27819 北港市興街819號之6"
"張俊傑"|"60864 牡丹林森街69號之0"
"呂文華"|"207 馬公市忠孝路32號5樓"
"黃素珍"|"15510 阿里山景美街967號之9"
"邱美雲"|"76601 屏東市公園街3號5樓"
"何秀蘭"|"357 新北龍山寺路411號之9"
"魏淑惠"|"76073 樹林正義街9段225號6樓"
"林美華"|"238 阿里山大安街63號之0"
"陳冠宏"|"18457 大里市平和巷183號之2"
"范品睿"|"405 金門松山街292號8樓"
"李美英"|"34376 中和市民治街11號之4"
"許信宏"|"843 基隆市新店街5段8號3樓"
"連永昌"|"180 楊梅縣新生街53號之2"
"楊宇恩"|"962 板橋市新生路211號之2"
"呂慧玲"|"190 梅山東湖巷3段830號8樓"
"何秀雲"|"510 橫山象山街28號2樓"
"莊惠玲"|"30097 平鎮市廣慈巷6號之8"
"劉怡君"|"71740 新竹新北投街159號之6"
"潘宇軒"|"71360 太平博愛路82號2樓"
"黃志銘"|"484 中和市新生街3號之3"
"吳鈺婷"|"968 臺東市府中路8段2號5樓"
"李志成"|"17223 八德市頂福州路47號之8"
"廖秀玲"|"628 臺東市松山路5段8號8樓"
"陳文章"|"67630 板橋市和街路8號之7"
"盧志遠"|"341 中和劍南街58號0樓"
"何美鳳"|"319 花蓮市民有路1號之4"
"黃嘉宏"|"60354 鳳山正義路7號6樓"
"李美玲"|"817 苗栗市福德路211號之6"
"江子睿"|"905 平鎮市象山路5號7樓"
"徐俊宇"|"496 臺東市大智路995號之1"
"曾雅惠"|"826 新營興巷6號3樓"
"陳美華"|"65568 苗栗市文化巷6號2樓"
"卓秀枝"|"963 八德市成功街2號之5"
"黃玉玲"|"12599 朴子士林路6號之4"
"陳雅萍"|"119 台北廣慈街1號之7"
"何麗娟"|"54614 苗栗市中正路8號之5"
"魏家豪"|"24846 關山縣信義巷4號之8"
"潘麗華"|"81425 牡丹縣福德路5號之0"
"王佳蓉"|"220 大里延平巷4號之8"
"蔡俊宏"|"517 花蓮縣迴龍巷35號之7"
"戴麗卿"|"84783 卑南縣大安街522號之9"
"黃麗琴"|"500 樹林文山路5段396號之8"
"蔡建銘"|"38124 臺中新生路6號之3"
"侯進發"|"947 白沙小碧潭路1號6樓"
"黃雅婷"|"11369 平鎮大智路969號之5"
"何麗珠"|"377 新竹市林森街79號之1"
"陳淑華"|"267 蘆洲市四維巷1段25號1樓"
"邱秀玉"|"530 太保縣華興巷136號7樓"
"謝明輝"|"12825 大里縣蘆洲街55號之5"
"吳志偉"|"92903 頭份明德巷9段15號之9"
"鄭麗玉"|"66281 中和市自強街3段355號之6"
"吳惠珍"|"650 三重太平路4段82號之5"
"陳淑芬"|"763 南投古亭巷4號8樓"
"賴秀美"|"34963 八德公園街714號2樓"
"盧家豪"|"525 北斗大勇巷14號8樓"
"何麗琴"|"44816 朴子育英街7號之3"
"黃玉鳳"|"55664 新竹縣四維巷19號6樓"
"洪佳蓉"|"580 臺中縣大智路24號3樓"
"蔡淑芬"|"70070 卑南市德巷3號之2"
"曾美麗"|"250 楊梅明德巷6段2號之9"
"伍宇軒"|"31228 基隆縣三民巷6號2樓"
"蔡國榮"|"848 梅山新生路2段127號0樓"
"黃淑惠"|"835 朴子市長春巷7號4樓"
"沈家豪"|"70275 八德博愛巷707號之9"
"龍秀蘭"|"94595 連江市長春路3段97號之7"
"佘哲瑋"|"45268 竹北迴龍街89號5樓"
"周文雄"|"43788 基隆縣自強路445號1樓"
"文靜怡"|"52933 永康長春街1號4樓"
"張文章"|"823 竹北光華街68號6樓"
"許家宏"|"46171 新營縣新生路5號之8"
"葉雅惠"|"929 關山市頂福州路5號2樓"
"黃秀梅"|"74514 苗栗縣松山街2段11號4樓"
"吳國華"|"29141 平鎮縣光復路65號5樓"
"李宗霖"|"774 新竹中央街45號4樓"
"陳哲維"|"995 員林淡水街8段701號1樓"
"余俊廷"|"61448 古坑縣奇岩路1號之2"
"林志雄"|"57657 北竿市新莊路3號5樓"
"劉怡婷"|"89477 太保復興路84號之9"
"洪怡君"|"931 南投中華街8號之3"
"陳柏宏"|"164 屏東縣公園巷935號之5"
"林秀美"|"52810 卑南動物園巷95號0樓"
"游政宏"|"287 白沙新埔巷1段5號0樓"
"陳淑惠"|"51039 高雄市古亭街2段3號之8"
"饒秀枝"|"24999 草屯縣華興路139號6樓"
"朱佩珊"|"28221 台東縣西門巷1號之0"
"余俊豪"|"13443 板橋大坪巷61號之1"
"陳文華"|"47042 關山縣新興巷4段8號之9"
"徐美雲"|"81444 板橋市府中路784號之5"
"賴柏宇"|"58254 中和縣民富路9段564號之4"
"陳明宏"|"865 蘆竹縣仁愛街8號0樓"
"鄭國雄"|"318 新竹縣文化巷70號1樓"
"蕭志豪"|"38226 板橋市和平路5段3號5樓"
"柯寶珠"|"69358 北港水源路88號之5"
"石淑惠"|"39759 南投縣民治街651號5樓"
"朱秀鳳"|"826 卑南市興路9段6號0樓"
"余俊雄"|"73403 汐止市石牌巷79號之1"
"陳美慧"|"797 北斗和街街439號之6"
"吳文正"|"178 朴子市復興路81號之5"
"林麗雲"|"481 桃園新興路5號之5"
"劉志文"|"381 蘆洲市自由路593號2樓"
"莊文賢"|"364 雲林文昌街51號7樓"
"許美玲"|"867 板橋仁愛路3段12號0樓"
"林俊宏"|"314 平鎮福安巷20號之3"
"黃志宏"|"999 太保縣成功街1號之4"
"張麗華"|"396 屏東市新北投路67號之8"
"余子晴"|"668 太保縣古亭街4號之5"
"范秀英"|"731 白沙縣龍山寺街3號1樓"
"黃秋香"|"84607 汐止景美街16號9樓"
"林美慧"|"801 頭份縣和街巷1段148號2樓"
"江美珍"|"13284 新竹縣新生街750號2樓"
"李秀琴"|"23861 梅山縣光華巷508號2樓"
"粘子睿"|"558 太保市新生巷9段28號之2"
"洪麗香"|"68455 雲林學府巷20號6樓"
"施哲瑋"|"28895 桃園育英巷7號6樓"
"廖世昌"|"459 員林東興街7號4樓"
"余宗憲"|"97099 梅山市正義巷71號5樓"
"顏美玲"|"238 牡丹永寧巷724號之0"
"王素珍"|"60524 金門縣民生巷2號之9"
"張志明"|"566 台南縣大同巷4號6樓"
"王建宏"|"76623 員林縣建國巷7段871號8樓"
"曾玉蘭"|"76232 朴子市建國路122號2樓"
"邱美惠"|"55395 臺中奇岩巷18號之7"
"陳麗珠"|"140 橫山縣長安街57號4樓"
"賴秀英"|"93632 中壢新生街54號9樓"
"劉慧玲"|"121 竹北雙連路1段5號3樓"
"余明宏"|"268 北港縣自立街135號0樓"
"葉佳玲"|"612 高雄國凱八德巷511號之5"
"潘麗美"|"957 永和縣小碧潭巷306號5樓"
"張明哲"|"373 新營龍山寺巷1段399號7樓"
"鄭麗美"|"44617 草屯市新北投街720號之6"
"陳宗憲"|"55904 苗栗市育英巷89號1樓"
"邱志賢"|"970 員林興街2段762號4樓"
"徐雅婷"|"85008 頭份市民富巷23號8樓"
"李淑芬"|"34935 新營縣奇岩巷6號之5"
"王麗華"|"34355 阿里山縣景美路1號6樓"
"余月英"|"17056 宜蘭天母巷7段830號之7"
"賴冠霖"|"419 桃園華興巷8號之3"
"林麗美"|"323 新竹縣大仁巷37號4樓"
"林政宏"|"26091 南投長安路7段41號之7"
"何佳玲"|"266 草屯市信義巷808號0樓"
"廖碧霞"|"169 蘆竹延平街10號0樓"
"趙麗雲"|"359 員林市復興路4段88號6樓"
"張玉玲"|"643 南投縣延平路54號3樓"
"劉淑貞"|"27931 中和淡水路9段79號之7"
"羅明宏"|"49456 花蓮市東興路2號5樓"
"余秀珍"|"17499 古坑龍山寺巷78號之0"
"鄭俊宏"|"276 臺東市象山街4號3樓"
"吳秀琴"|"31095 宜蘭市關渡路44號之4"
"謝哲瑋"|"239 永和市東興街8號之8"
"蕭美玲"|"849 員林市西門巷805號4樓"
"林國榮"|"57701 澎湖中山街7段136號2樓"
"林麗玉"|"48501 台中建國街3號之9"
"王麗卿"|"57390 牡丹動物園路634號9樓"
"杜淑貞"|"482 北港市文山路11號0樓"
"陳秀娟"|"70887 台東市三民巷61號之9"
"余秀蘭"|"55606 太平松山街3段281號之8"
"柯美華"|"92247 南投育英巷157號之4"
"邱慧玲"|"43869 員林新埔巷9號2樓"
"蔣俊宏"|"96589 楊梅市景美巷78號2樓"
"羅明珠"|"112 梅山自由路488號之8"
"楊雅雯"|"86422 梅山林森路65號0樓"
"劉明宏"|"913 光復福安街6號4樓"
"趙玉美"|"49685 梅山市民享街3段8號2樓"
"賴詩涵"|"936 橫山龍山寺路89號6樓"
"莊雅婷"|"22775 臺中和街街3段15號之7"
"余美惠"|"58990 臺東市太平街7號之2"
"熊正雄"|"21320 澎湖中華巷307號9樓"
"王秋月"|"645 苗栗市福安街400號2樓"
"王志強"|"891 彰化市古亭街17號之9"
"李義雄"|"520 北斗市大勇巷2段434號2樓"
"謝世昌"|"28670 頭份縣芝山街5號之8"
"江麗華"|"856 太保廣慈巷13號6樓"
"張佩珊"|"61654 澎湖中山街32號之8"
"賴俊宏"|"40253 員林縣光明路1號0樓"
"張柏霖"|"894 宜蘭縣松山街921號3樓"
"余美蘭"|"867 關山市莒光巷7段68號之6"
"林麗珠"|"20047 阿里山大勇巷4號1樓"
"楊麗玲"|"866 中壢市中和巷3段38號0樓"
"傅佳玲"|"789 板橋縣復興巷43號0樓"
"吳苡晴"|"503 台南縣光復路391號之2"
"張志明"|"19242 太保大同街58號之1"
"徐柏霖"|"83327 頭份縣中山街5號3樓"
"郭麗雪"|"350 斗六民治街86號1樓"
"劉志明"|"47221 連江市象山巷363號之4"
"吳正雄"|"52993 北港大勇街455號0樓"
"余鈺婷"|"622 苗栗市三民路558號2樓"
"謝美華"|"425 中和大勇巷876號之2"
"黃麗卿"|"636 南投新生路56號之2"
"林秀珍"|"114 板橋自由街8號之3"
"陳淑華"|"43119 八德市和街街4號8樓"
"黃玉蘭"|"842 斗六市莒光街874號之3"
"王志豪"|"88294 大里市大橋頭街896號之8"
"邱淑芬"|"952 台東永寧街1號6樓"
"江明宏"|"750 花蓮縣土城路239號之1"
"李秀蘭"|"79652 豐原忠孝路38號之5"
"余麗雲"|"18945 褒忠永安巷558號之9"
"張明哲"|"465 永康縣文山街408號7樓"
"陳建志"|"436 頭份民富街4號之4"
"王俊明"|"175 鳳山松山街45號之9"
"賴俊銘"|"22129 板橋古亭路18號4樓"
"吳秀霞"|"580 朴子文化巷87號之2"
"張家豪"|"127 古坑縣林森街7號之0"
"周建成"|"46244 苗栗水源巷632號1樓"
"李文欽"|"24864 南投育英路882號之8"
"朱素貞"|"94752 嘉義民富巷5段511號之8"
"侯俊雄"|"980 橫山縣自由路930號之0"
"楊怡君"|"18302 澎湖東興巷4號之3"
"陳志成"|"889 桃園縣景美巷25號之1"
"李金蓮"|"75169 馬公市民富路71號之9"
"林承翰"|"16478 草屯永寧路333號之2"
"張明德"|"354 頭份縣仁愛路4號2樓"
"陳淑芬"|"104 連江縣文昌路1段70號之4"
"左美玲"|"535 桃園縣民權路8號4樓"
"何淑芬"|"975 台中大智路180號之0"
"黃心怡"|"74636 橫山新生巷580號之5"
"侯怡婷"|"813 員林縣中山路6段21號0樓"
"簡淑貞"|"43562 太平長安街43號之6"
"沈文忠"|"39613 新竹市淡水巷99號4樓"
"蘇宇軒"|"514 汐止民治路98號之6"
"林美珠"|"427 永康光華街92號之4"
"田志誠"|"902 桃園市萬隆街785號5樓"
"林淑貞"|"928 蘆洲復興巷2段674號6樓"
"柯正義"|"92864 花蓮市大橋頭巷9號5樓"
"陳品妤"|"87336 平鎮市文化街41號4樓"
"賴美雲"|"409 臺中新生巷7號之6"
"侯明德"|"716 臺中市自立路67號之1"
"陳宥廷"|"40989 新北市勝利街862號之2"
"利秀娟"|"691 三重縣關渡巷195號之7"
"羅俊宏"|"991 樹林市東興街674號1樓"
"孔彥廷"|"380 花蓮縣勝利街2段4號1樓"
"吳明哲"|"375 關山明德巷8段884號3樓"
"張建宏"|"968 桃園中興街3段40號之0"
"蔡麗美"|"573 楊梅縣東興街8號之0"
"陳詩涵"|"536 頭份動物園街6號之9"
"王美華"|"76997 桃園市大智路9段12號1樓"
"倪博文"|"35351 新竹市中和街31號之4"
"陳明德"|"931 新營市廣慈路61號之2"
"潘俊宏"|"294 南投水源路886號之3"
"葉子恩"|"826 褒忠縣大仁街6號4樓"
"莊美玲"|"466 台東光華巷77號之9"
"劉建成"|"36241 草屯縣中興路284號8樓"
"黃美華"|"59559 桃園市關渡路6段624號之3"
"蔡美娟"|"490 豐原市大安街290號之5"
"高秀美"|"298 太保縣士林街5號4樓"
"陳美英"|"56716 光復市中山路5號7樓"
"傅國雄"|"67815 汐止大安路2段96號之8"
"吳美娟"|"873 平鎮永和巷589號6樓"
"林宥辰"|"66922 嘉義縣長安街4段31號之2"
"陳志宏"|"494 臺東縣莒光巷3號之0"
"陳素珍"|"630 南投莒光街6號之3"
"楊宸睿"|"365 苗栗昆陽街473號8樓"
"陳惠美"|"965 白沙劍南街18號之0"
"游秀娟"|"27427 員林市大智路24號之4"
"林碧珠"|"369 澎湖市景美路192號8樓"
"曾文忠"|"98921 平鎮市大同路614號9樓"
"傅威廷"|"439 白沙縣自立路6段86號之5"
"駱美玲"|"140 永和市成功街417號之2"
"陳志賢"|"919 太平縣學府路20號之3"
"蔡哲維"|"80420 汐止市博愛巷9號之1"
"王美娟"|"73577 連江民族巷641號5樓"
"陳素蘭"|"573 平鎮長安巷159號9樓"
"李美珍"|"60176 高雄市古亭巷13號之0"
"李美惠"|"71085 太保德路277號8樓"
"吳雅慧"|"271 光復民生巷2段3號4樓"
"陳彥廷"|"463 新營昆陽路47號4樓"
"傅柏翰"|"34298 永康太平路8號之1"
"江秀英"|"421 新北奇岩巷6號之0"
"蕭雅萍"|"415 宜蘭市中和街56號之6"
"吳佳玲"|"911 台南萬隆街312號之5"
"鄒淑慧"|"10734 大里莒光巷15號7樓"
"李佳玲"|"69180 桃園蘆洲路3號之1"
"黃美娟"|"453 台中縣東湖街1號之8"
"陳志賢"|"47174 古坑學府巷73號4樓"
"陳秀娟"|"316 斗六市新埔街5號之5"
"陳秀英"|"965 頭份自由巷4段336號0樓"
"傅碧雲"|"201 新北三民路2號之3"
"李志宏"|"66119 橫山縣新生路1段885號0樓"
"黃美華"|"576 金門縣芝山路4號1樓"
"鄧玉琴"|"50254 橫山市東湖街82號7樓"
"黃淑華"|"32453 梅山劍潭街312號3樓"
"張淑華"|"186 中和自由巷123號0樓"
"李俊良"|"37172 楊梅大安路3段9號5樓"
"黃武雄"|"78204 新竹市大安街4號8樓"
"鮑玉珍"|"756 古坑太平路198號7樓"
"吳雅婷"|"853 褒忠縣自強巷20號8樓"
"傅秀琴"|"361 北港縣正義巷40號4樓"
"張美玲"|"747 白沙市石牌巷503號之3"
"吳柏霖"|"83718 臺東建國巷4段4號3樓"
"蘇素卿"|"307 連江縣永和街8段8號2樓"
"王宗霖"|"84497 新竹大勇街82號7樓"
"詹冠宇"|"80940 北竿三民路40號之1"
"余志成"|"839 關山龍山寺路8號之5"
"許恩碩"|"461 新竹新興路813號之1"
"王俊良"|"936 屏東市中央路96號5樓"
"黃建中"|"559 台中東湖巷7段4號1樓"
"傅麗玲"|"492 中壢和平巷9段269號之2"
"柯文雄"|"681 豐原市天母路5段1號之2"
"劉美玲"|"253 阿里山縣民富路99號之1"
"邱詩涵"|"956 橫山萬隆路1段10號之6"
"劉美麗"|"952 頭份新莊巷198號之4"
"陳淑貞"|"512 馬公市明德巷403號0樓"
"嚴俊良"|"147 大里古亭巷13號0樓"
"陳麗華"|"135 桃園市新店街5號8樓"
"蕭仁傑"|"16574 汐止民生路45號之3"
"林心怡"|"986 新竹文化街50號6樓"
"傅麗華"|"49944 平鎮市永安巷2段598號之4"
"鄭美珍"|"56014 連江縣民富路10號4樓"
"吳冠廷"|"357 蘆竹信義路1段4號之3"
"曾月英"|"93555 蘆竹市和平街3號之8"
"林志偉"|"21783 中和縣正義路10號之8"
"蒲俊明"|"889 基隆西門路90號之4"
