"丁志銘","78228 鳳山雙連路3段88號0樓"
"于俊明","343 卑南市中和巷9段537號7樓"
"黃柏諺","29619 褒忠育英路56號之0"
"賴文雄","51363 牡丹縣五福巷411號之5"
"劉建宏","79863 三重縣正義街650號之3"
"羅承翰","10629 蘆洲市劍潭巷9段71號之7"
"陳志明","13197 白沙縣公園巷305號6樓"
"陳榮華","15949 高雄市文山路9號之6"
"廖宗翰","942 鳳山東興巷8段76號之6"
"李宗翰","86364 苗栗縣土城街75號之3"
"陳素貞","486 太平縣關渡路1號5樓"
"伍宗翰","21448 牡丹縣景美路16號之5"
"蔡秀梅","93888 草屯縣光明巷74號之9"
"張宜庭","67454 嘉義大安街67號1樓"
"林凱翔","53925 草屯天母巷1號之6"
"徐麗卿","879 樹林市長安路494號之6"
"郭宇翔","12970 桃園東湖街287號之2"
"楊義雄","61198 桃園華興巷7段86號7樓"
"曾志銘","29472 屏東市關渡路8號5樓"
"陳文正","752 台北民享街376號2樓"
"劉淑娟","47817 臺東縣建國街939號1樓"
"伍寶珠","676 蘆洲縣自由巷4段847號之7"
"陳麗華","727 卑南市大坪路8號之0"
"陳永昌","128 北竿芝山巷5段5號之6"
"羅寶珠","116 基隆新店街569號之9"
"王明德","47067 連江四維街8號之3"
"陳碧霞","83738 金門市成功巷95號之8"
"梅仁傑","736 八德市中山巷80號之9"
"李碧霞","72295 竹田古亭街467號4樓"
"陳詩涵","46711 楊梅文化巷489號9樓"
"江政宏","97408 關山和街街372號之9"
"伍柏霖","48072 桃園中和巷2號之5"
"陳國榮","16628 台北市迴龍街91號之6"
"魏哲瑋","175 中和縣大智路1號之1"
"高美麗","101 台北縣松山巷4段5號之8"
"張詩涵","943 台東水源路6段76號之3"
"賴美雲","779 新營頂福州路93號5樓"
"許文正","60249 阿里山市華興路1號之5"
"謝文彬","994 北斗民富街4號之7"
"林俊賢","43251 雲林市忠義巷396號之2"
"解雅雯","84187 新竹復興路7段68號之9"
"何信宏","32548 連江縣民享路26號之9"
"吳志豪","397 員林縣中和街82號6樓"
"徐冠霖","86194 太保新興路7段6號8樓"
"張素琴","55024 高雄光華街877號之4"
"施麗雪","20993 平鎮迴龍巷65號6樓"
"周進財","363 北竿市光華街9號9樓"
"鍾宥蓁","45954 平鎮民治街6段16號之2"
"林雅雯","33383 北斗國凱八德巷8段12號4樓"
"鐘冠宏","194 阿里山中華巷8段558號之2"
"吳春美","653 澎湖新生街5號之2"
"何家豪","50385 馬公芝山街71號2樓"
"范承翰","63886 白沙府中街4段483號0樓"
"郭建興","59123 北斗小碧潭巷4號8樓"
"李建興","431 金門縣新興街1段130號1樓"
"賴欣怡","93905 褒忠市新店街776號之3"
"林威廷","179 員林東興路665號之2"
"郭雅玲","642 楊梅市信義巷6段5號之4"
"賴玉珍","54465 平鎮廣慈街6號3樓"
"賴美玉","82348 鳳山市府中巷5號之9"
"顏博文","235 梅山西門街374號4樓"
"何家豪","509 豐原林森街3號之4"
"杜怡君","167 臺東小碧潭路295號之2"
"林秀珠","95419 三重林森街74號9樓"
"林柏霖","196 太平劍南街9段10號0樓"
"趙志忠","219 楊梅北投街6段7號之5"
"陳俊宏","63083 卑南國凱八德街48號之2"
"許惠美","97324 員林縣劍南街639號1樓"
"丁家豪","27462 新營昆陽巷8號之6"
"游怡君","250 太保太平巷9段1號5樓"
"康柏宇","21415 三重水源路7段4號之0"
"何志雄","268 新竹市昆陽巷64號1樓"
"楊秀珠","392 北港育英路1段488號7樓"
"林政宏","278 宜蘭林森路7段574號9樓"
"蘇承恩","543 台東府中路22號之8"
"吳志強","983 草屯自由路38號2樓"
"高美珠","18378 臺東莒光巷17號之9"
"張志偉","36798 新竹縣民有路342號6樓"
"林佳蓉","62756 永康市新店路552號之9"
"陳志偉","174 樹林縣博愛路2段2號之5"
"李心怡","605 臺東市正義路8段6號之1"
"何怡君","11684 竹北縣大橋頭路7號之4"
"張冠宏","561 蘆洲延平街5段8號9樓"
"陳美娟","90988 員林華興街5號2樓"
"顏惠玲","43852 太保市象山路81號之2"
"鄭羽彤","535 屏東市中央巷198號5樓"
"邱秀英","406 新營縣正義巷4號2樓"
"林宜蓁","91686 太平市淡水巷8段2號8樓"
"廖俊宏","740 卑南土城街64號7樓"
"蔡玥彤","567 永和仁愛街65號7樓"
"陳淑惠","660 朴子市新生街4號3樓"
"何怡婷","71006 卑南大同路427號之0"
"林淑華","370 桃園中興街918號之2"
"王素珠","46721 楊梅永安街5段1號1樓"
"江俊賢","22692 連江劍南巷739號6樓"
"謝文祥","56148 臺東縣大同巷35號5樓"
"張秀玉","73924 馬公市萬隆路84號之7"
"高雅萍","33376 永康北投街92號之5"
"郭宗翰","209 屏東民享路994號5樓"
"葉志鴻","416 永和市南巷8段981號之2"
"周哲瑋","64664 宜蘭縣光華街49號4樓"
"何文賢","70859 太平縣松山路77號之2"
"陳淑芬","976 梅山延平路2段46號之7"
"林志豪","67275 古坑縣民富巷371號2樓"
"朱淑芬","48961 北斗市忠孝巷6號之3"
"周宇翔","76178 關山市動物園路4號之3"
"蘇俊明","596 大里縣正義街9段20號之2"
"洪建華","585 中和縣永寧街5號之8"
"劉文雄","92225 鳳山大仁街2號之1"
"馬雅婷","81457 彰化縣動物園路9段5號之2"
"劉建宏","455 澎湖縣新生巷53號之7"
"何明宏","35124 古坑縣動物園巷3號8樓"
"鄭志強","659 平鎮興巷4號3樓"
"黃淑惠","38105 嘉義南街905號之5"
"張麗雪","85754 桃園市中央路3號之3"
"吳志成","25754 橫山市東興路61號之5"
"莊怡婷","750 北港縣文化路8段281號之4"
"張俊宏","897 臺東市大坪巷34號之5"
"張美慧","19149 彰化北投街16號8樓"
"連正雄","74350 褒忠市太平街4段505號1樓"
"邱文賢","734 楊梅勝利巷8段388號之0"
"何柏諺","69678 新北市新埔街480號6樓"
"鍾文忠","983 北斗新生路24號之8"
"吳麗珠","29081 馬公縣忠義巷2段757號之9"
"張簡麗香","959 豐原市中正路6段900號6樓"
"張雅婷","884 古坑萬隆路572號之7"
"吳俊傑","347 台中市學府路44號之0"
"陳素蘭","454 北港縣大同路7段7號5樓"
"陳玉梅","734 臺中民有街7號之3"
"陳淑華","99689 橫山市延平路28號之1"
"馬玉鳳","15598 台中市小碧潭巷66號之6"
"何柏霖","65125 北竿雙連街276號3樓"
"舒美蘭","85663 竹田市士林路79號之3"
"郭美惠","23642 橫山市民治街1段734號之3"
"鄭淑敏","740 太保大勇街5段53號之2"
"陳美玲","78353 永和縣頂福州街5段15號7樓"
"王惠玲","22619 北竿縣文山路8號之2"
"蕭子豪","118 澎湖民生路68號5樓"
"趙美雲","43835 新北新北投路353號9樓"
"吳文欽","748 金門中興巷4段545號3樓"
"李俊銘","122 三重南巷24號2樓"
"何淑娟","84631 牡丹民享路1號2樓"
"李承翰","77947 平鎮新生街43號之3"
"郭文祥","97108 古坑文昌街4號6樓"
"唐家瑋","997 連江市民富路554號之8"
"周文欽","18573 新營市水源路811號6樓"
"朱俊宏","52635 台中市中華路7段5號之1"
"吳麗娟","95318 金門大同路260號之9"
"蔡秀珍","84840 連江市四維巷58號之4"
"吳承翰","796 阿里山莒光巷54號8樓"
"蘇柏宇","77597 關山縣象山路737號2樓"
"何淑玲","65740 鳳山縣大仁巷20號之8"
"楊志成","87047 八德市大仁路10號之5"
"謝淑芬","885 古坑平和街621號之5"
"葉秀玉","57896 金門民治路98號2樓"
"李子翔","809 頭份縣和街街7段2號之6"
"李國華","675 永和市迴龍路4號之0"
"鄭秀珍","793 桃園縣雙連巷99號2樓"
"蘇永昌","139 草屯縣西門街8段474號之7"
"白彥廷","96407 樹林國凱八德路6段2號6樓"
"廖志忠","798 白沙縣新生街946號之4"
"何淑芬","93096 新營市東興街5號1樓"
"鍾俊明","51312 豐原縣信義路3段6號7樓"
"楊淑芬","812 白沙和平路6號之1"
"王宜蓁","58107 蘆竹光華街7段706號9樓"
"顏淑華","14306 台北明德路7段86號之4"
"張淑華","727 高雄縣民族路91號之9"
"王淑珍","122 樹林民族街6號3樓"
"全麗珠","146 嘉義縣中和路3段318號之9"
"吳秀梅","80692 澎湖縣天母路883號3樓"
"李秀蓮","62684 鳳山縣國凱八德路66號之9"
"何淑華","71239 桃園信義路78號之2"
"蔡文章","473 新營縣紅樹林巷4號之9"
"陳美玲","73603 中和大同巷6段1號7樓"
"陳雅惠","638 台北福德街7號0樓"
"王秀娟","788 永康自立街580號5樓"
"黃俊雄","655 三重市民生街1段79號7樓"
"陳冠廷","28235 新竹縣長春街1段8號之6"
"吳秀華","952 金門市萬隆路887號之1"
"林明輝","576 永康文昌路13號之2"
"黃明輝","339 中壢忠孝街18號0樓"
"何淑華","95970 朴子市長安巷5段801號7樓"
"陳靜怡","52078 三重縣光復巷2段86號4樓"
"顏政宏","85087 台南市國凱八德巷3號之8"
"林柏宇","61444 蘆竹縣關渡路4號0樓"
"陳雅惠","47543 新北民富街4段85號9樓"
"李承恩","95463 朴子育英街10號之3"
"石秀娟","652 北斗縣正義街2段62號4樓"
"林文彬","90530 高雄大同路7段51號之7"
"陳志成","234 關山市福德街5段130號之5"
"許志遠","48003 中壢市東興路94號之7"
"何玉梅","847 台南忠義路7段29號5樓"
"藍玉玲","36410 北竿中興巷17號5樓"
"徐彥廷","421 褒忠縣民權巷6號1樓"
"洪文華","63916 雲林縣莒光路6段18號之7"
"鄭政宏","79470 楊梅縣學府巷63號之4"
"張秀玲","61398 楊梅縣中正路809號6樓"
"楊俊賢","71301 桃園昆陽路581號0樓"
"楊志豪","640 朴子府中路96號之8"
"葉志忠","919 鳳山市莒光街7號之5"
"耿佳玲","202 白沙大坪巷756號之7"
"何玉珍","569 北港市龍山寺巷29號8樓"
"劉志成","53946 連江市正義巷34號9樓"
"阮志明","48151 頭份和街巷6號7樓"
"陳秋月","952 白沙市中山街3號3樓"
"黃柏諺","178 新營新興街2段2號5樓"
"王秀娟","31757 樹林民享街822號之2"
"楊麗娟","768 褒忠縣古亭路4號0樓"
"黃秀霞","45218 永康市信義路3號3樓"
"林俊雄","63804 樹林昆陽路22號之4"
"朱睿恩","96205 高雄縣新興街471號之9"
"何碧雲","82535 樹林縣頂福州路96號1樓"
"李俊豪","665 蘆竹市新興路4號之8"
"鍾志成","19005 汐止縣蘆洲街350號之6"
"吳秀英","104 南投光復巷2號2樓"
"紀素貞","99530 褒忠縣光華巷6號之9"
"陳國華","88763 汐止光華街81號之5"
"廖惠玲","63943 鳳山縣紅樹林路9段26號之7"
"葉淑惠","77425 草屯縣景美路553號之8"
"曾家銘","81047 台南縣天母街3號6樓"
"呂淑芬","91009 桃園民有巷1段55號7樓"
"何秀娟","29461 阿里山縣忠孝路9段62號7樓"
"薛志文","802 太保縣新生巷4段715號之5"
"劉美華","49706 金門明德巷4段7號5樓"
"陳麗雲","533 豐原民享街7號6樓"
"范怡婷","313 雲林市中央街304號之3"
"吳美珠","649 永康市中山路5號之6"
"徐秀鳳","236 豐原劍南街6號之1"
"徐哲維","675 高雄縣和平路5號2樓"
"呂月娥","602 連江劍南路3號0樓"
"許宗霖","644 苗栗縣建國巷9號之5"
"何秀美","19837 新營南巷9號6樓"
"黃金蓮","583 台北市平和街399號之0"
"洪俊宏","96934 古坑大同巷5號6樓"
"黃建良","130 梅山市中央路52號之0"
"歐家豪","930 光復縣四維巷9號之8"
"范秀蘭","443 草屯太平巷351號8樓"
"林家銘","65224 樹林永寧路49號3樓"
"蔡承翰","552 中壢縣文化路2段83號之1"
"姜秀霞","258 彰化市自由路406號5樓"
"蔡淑美","501 北竿市中華街2號之1"
"何秀美","70417 斗六縣大仁路3段8號之9"
"徐寶珠","425 新營水源路5號8樓"
"杜文賢","49589 中和信義路76號8樓"
"林麗琴","515 樹林市太平巷768號之8"
"張怡婷","114 馬公大同路96號3樓"
"黃秀英","668 大里市成功巷28號之6"
"鄭金龍","57135 台南縣福德街49號之1"
"葉志成","37752 南投縣成功街138號之3"
"蔡淑卿","66107 樹林長安巷684號9樓"
"李美鳳","113 連江莒光街918號之2"
"何秀蘭","136 草屯市民族巷88號之1"
"蕭承翰","253 雲林文昌巷521號3樓"
"葉秀玉","21668 汐止市成功路48號4樓"
"游子翔","74610 員林市關渡巷183號之5"
"祝明哲","375 草屯縣頂福州街15號之2"
"陳秀蘭","95196 基隆新莊路37號之9"
"陳雅玲","338 楊梅北投街57號之0"
"徐鈺婷","87992 豐原縣長安街4號之2"
"邱俊宇","86534 員林縣林森巷1段3號0樓"
"謝建良","784 北斗德巷69號8樓"
"何金鳳","15685 台北縣萬隆路478號之7"
"鄭嘉宏","365 北竿西門街15號之2"
"張建宏","69470 臺東民富街9號之8"
"林文祥","483 橫山永和巷1段6號之3"
"魏志宏","419 三重市育英巷3段65號6樓"
"林柏霖","327 北斗縣文化街258號0樓"
"吳秀美","31462 屏東市長春路7號之7"
"郭承恩","12793 彰化光復街6號2樓"
"洪明哲","835 斗六市長春路84號5樓"
"謝雅婷","11915 彰化縣三民巷3段89號3樓"
"余明珠","78457 中壢頂福州路84號7樓"
"吳秀霞","775 中壢市民生巷35號之8"
"魏麗玲","807 鳳山龍山寺路821號2樓"
"李柏霖","55908 古坑縣大同街977號之0"
"陳志鴻","18517 牡丹市南路90號之7"
"楊淑貞","344 連江縣關渡路7號之5"
"徐家豪","65277 宜蘭市光復路9段8號之6"
"劉志明","54590 永康市太平街542號4樓"
"鍾俊宏","44147 阿里山大橋頭巷3段1號0樓"
"游明宏","24625 連江市新莊巷16號2樓"
"余淑玲","35064 新營永和路110號之4"
"裴淑惠","225 員林信義巷386號之0"
"唐秀美","32462 員林五福街9號5樓"
"蔡柏宏","433 新竹大仁街4段7號之1"
"賴宗憲","694 朴子府中街22號之0"
"莊素琴","486 中壢市東湖巷8號2樓"
"王永昌","176 太平民富巷1號2樓"
"陳淑芬","539 台北雙連巷26號1樓"
"張承恩","71358 北竿市南巷198號之9"
"陳秀玲","47830 八德市長安路9段7號7樓"
"余淑貞","769 員林市民生路34號1樓"
"林子晴","20503 新竹縣大仁街9號1樓"
"林淑敏","868 員林縣昆陽路12號之8"
"胡淑貞","13617 台中市新生巷4段80號1樓"
"雷語彤","714 八德縣和平街726號之6"
"徐美玲","68700 桃園市自由巷42號之0"
"王淑美","106 草屯光復街824號8樓"
"林俊良","52992 牡丹縣三民路78號之3"
"鍾美鳳","95943 新北縣奇岩路73號8樓"
"廖文彬","228 梅山縣奇岩路7號2樓"
"余玥彤","729 牡丹頂福州巷5號之5"
"林志明","72808 南投關渡路37號之2"
"蘇冠廷","625 橫山劍南街6段8號之1"
"徐威廷","467 基隆市林森路2段906號之9"
"陳凱翔","239 彰化市中和巷5號6樓"
"黃嘉宏","21833 嘉義市和街路125號9樓"
"羅秀娟","32867 蘆洲成功巷917號2樓"
"李秀雲","540 連江市龍山寺街2號之0"
"許家宏","30296 中和市博愛街56號6樓"
"汪世昌","783 樹林市民治街54號之1"
"余秀琴","144 新營華興街6號5樓"
"劉志明","46844 蘆竹忠義巷3號5樓"
"張武雄","131 汐止市德街58號之4"
"賴俊明","841 新營市頂福州街68號4樓"
"郭秀英","726 褒忠縣博愛路5段2號0樓"
"許素卿","43518 牡丹縣松山街797號之7"
"張志偉","10552 新營育英街2號6樓"
"林建成","656 桃園市新生巷341號之1"
"吳哲瑋","45319 樹林縣正義街5號0樓"
"蔡麗雪","28876 臺東市西門巷98號9樓"
"余秋月","94199 斗六縣關渡街521號4樓"
"郭志明","70621 北斗縣福德巷45號之3"
"陳國華","875 中和市平和街6段21號之8"
"盧美玲","833 草屯光明路441號3樓"
"彭俊雄","97301 樹林永和巷7號之4"
"柯淑惠","67875 褒忠市水源路9段1號之2"
"鄭雨霏","80253 金門新莊路5段7號5樓"
"陳俊豪","85410 太保民權巷7段8號5樓"
"王宇軒","925 關山市公園巷22號之2"
"蕭志豪","36466 北斗市三民街8號之2"
"余詩涵","38890 北竿縣長安巷456號之7"
"江雅萍","386 竹北縣福德街7號之8"
"蔡冠霖","48267 新北市中正街877號之8"
"趙月英","51956 朴子新生街1號之5"
"翁秀英","394 草屯小碧潭街3段90號2樓"
"黃志豪","32628 白沙四維路789號9樓"
"賴金龍","412 褒忠中山街9號之2"
"蔡淑美","32112 臺東縣雙連路8號9樓"
"洪志遠","23471 嘉義市紅樹林街4段22號之3"
"蔡俊廷","905 臺東市象山巷6段392號5樓"
"余金鳳","238 朴子市民富巷5段83號8樓"
"林國雄","297 桃園市淡水街3段735號3樓"
"劉進興","632 臺東市民治街9段87號3樓"
"胡宗憲","397 基隆市大同路4號之0"
"陳詩涵","140 嘉義萬隆巷2段628號3樓"
"徐柏睿","11558 永和縣自強巷95號之3"
"蘇金鳳","880 阿里山昆陽巷4段29號6樓"
"吳冠宇","670 橫山五福街2號之9"
"周美珠","66742 蘆竹市莒光街3號之2"
"許哲瑋","755 古坑景美路610號之2"
"余麗娟","12126 八德縣新店路32號之5"
"汪子豪","96662 梅山德街430號2樓"
"陳月娥","19945 汐止民族街80號之7"
"張文章","19288 基隆民治街6段64號之8"
"楊淑華","515 大里民族路69號之3"
"李美珍","284 連江市動物園街875號1樓"
"潘麗玉","860 太保蘆洲街4號8樓"
"李秀珍","889 頭份永寧街18號之9"
"謝仁傑","126 三重松山路449號之9"
"邱凱翔","409 卑南大坪街5段547號2樓"
"余麗雲","158 臺東忠義街7號2樓"
"林淑貞","82767 新竹市景美巷2段207號之3"
"蔡金龍","82184 豐原縣東興巷7號之3"
"陳志偉","45926 北港中央街4號之5"
"林家豪","42374 牡丹北投巷16號之5"
"許秀霞","754 褒忠和街路66號之9"
"洪柏諺","222 高雄市永寧路422號3樓"
"黃進財","201 台南景美巷8號之1"
"莊美玲","903 永和市新生巷3段85號之8"
"郭永昌","500 豐原市新生巷5號之0"
"余麗雲","349 卑南市德巷1號6樓"
"劉素蘭","66317 彰化五福街49號7樓"
"陳文忠","923 新北縣長安路226號之6"
"林志賢","80736 台東縣景美巷4段25號之8"
"廖淑美","835 三重育英街919號之3"
"葉淑芳","303 大里市天母街14號之8"
"陳美雲","66126 蘆竹天母路3號之5"
"戴冠廷","624 台北和街路29號6樓"
"林武雄","57485 桃園建國街1號5樓"
"楊志偉","48719 金門市紅樹林街9段754號之6"
"侯冠宇","50238 古坑市光華巷6號之9"
"李惠玲","58476 北港建國街3號1樓"
"楊家瑋","19605 大里民族巷671號之4"
"蔡詩涵","18238 新竹育英巷82號6樓"
"許志宏","74302 草屯市新生路3段7號4樓"
"黃金龍","65192 竹田縣天母巷8段536號9樓"
"陳宗憲","367 阿里山民治巷4號之9"
"陳秀珠","145 八德縣南路2號5樓"
"葉秀雲","39656 牡丹國凱八德巷9段9號9樓"
"黃俊雄","82330 光復仁愛街7號之0"
"侯惠玲","60042 苗栗大仁路8段631號之8"
"陳麗華","32130 太平文山街62號6樓"
"陳秋月","61865 南投三民路8號之8"
"廖建宏","37881 新營長春路28號之6"
"張美珍","760 基隆縣雙連街727號7樓"
"謝宥廷","434 高雄大安街69號之1"
"賴冠宇","328 嘉義縣淡水街4段10號9樓"
"李詩涵","17664 新竹學府路1號之8"
"許子恩","195 北竿縣中和巷70號之3"
"林榮華","421 白沙縣忠孝街24號7樓"
"侯淑芬","598 連江市光明路5號6樓"
"蔡志成","96557 三重育英巷5號之5"
"蕭文正","10036 新營民生巷18號2樓"
"張金蓮","31677 樹林市象山路3號4樓"
"施美珠","64998 樹林縣永安路15號之3"
"黃冠宇","47634 關山市成功街384號0樓"
"陳淑惠","36694 苗栗南巷96號之4"
"陳建興","376 太保新興路983號之9"
"陳柏宏","149 新竹市大安街8號之4"
"陳明輝","812 員林民族街9段51號4樓"
"侯秀玉","34142 屏東市關渡路7段6號之7"
"葉淑娟","835 三重北投路506號之0"
"蔡家宏","46105 斗六民生路6號之7"
"呂志賢","46846 新營和街街998號3樓"
"劉淑芬","120 鳳山長安巷9號9樓"
"彭禹彤","45565 竹田縣東興路26號0樓"
"方榮華","82505 褒忠成功巷1號之9"
"洪俊傑","513 草屯市文山路2段960號5樓"
"施美玲","183 阿里山民富巷473號之4"
"潘文賢","936 雲林永安路2段3號之1"
"侯金龍","774 光復華興路78號之3"
"陳志宏","966 阿里山和平街7段8號0樓"
"張仁傑","933 斗六市平和路10號之3"
"廖建興","850 斗六自強巷39號之0"
"高秀美","31207 橫山林森街7段490號之6"
"高雅惠","378 梅山中正巷2號之2"
"彭美華","869 新竹中央路8段4號9樓"
"潘秋香","204 卑南中和街2段3號之0"
"簡彥廷","867 花蓮縣自由路6號3樓"
"黃雅玲","511 中和市忠孝路9段696號之4"
"侯雅婷","23281 樹林縣林森街492號之5"
"林哲瑋","285 橫山市古亭街2段75號之6"
"黃子恩","60639 台中勝利巷4段2號3樓"
"張淑珍","580 八德市興巷3段211號7樓"
"賴麗雲","916 大里關渡路2段5號2樓"
"胡冠霖","805 楊梅縣中山路2號之4"
"萬俊雄","574 苗栗關渡路5號7樓"
"陳彥廷","72568 嘉義市三民街9段61號2樓"
"黃建志","71754 牡丹忠孝路7號1樓"
"王志偉","24131 中和莒光路77號2樓"
"俞玉梅","84483 蘆洲市忠孝巷936號之7"
"江明宗","95312 橫山廣慈巷996號之0"
"蔡文雄","41927 阿里山西門路605號之6"
"陳寶珠","961 北斗自由街3號7樓"
"郭子豪","50673 桃園市新莊路9號之1"
"李宇軒","825 基隆縣新莊街64號之6"
"高玉英","608 高雄市永寧街1號9樓"
"林承恩","79307 八德土城路8段53號2樓"
"陳國雄","877 草屯縣大同巷912號4樓"
"呂惠玲","22030 臺東龍山寺路5號之2"
"俞美華","973 竹北市民族巷82號5樓"
"陳俊宏","36712 蘆竹市中興巷60號8樓"
"石威廷","35351 中和市育英巷3段531號之3"
"張秀蓮","729 古坑仁愛巷3段24號6樓"
"劉柏翰","652 基隆市府中巷383號3樓"
"王秀雲","98541 臺東市小碧潭巷3段339號之7"
"陳文章","611 阿里山市信義路6號之0"
"黃建志","51712 花蓮三民街8號5樓"
"林冠宇","648 永和新生巷2段34號之2"
"蕭寶珠","793 連江德路18號之3"
"倪俊宏","14432 草屯中和路8段6號1樓"
"鄭俊男","118 新竹蘆洲街5號9樓"
"徐建宏","820 花蓮縣公園街5號之1"
"廖美玉","27975 澎湖芝山巷309號1樓"
"周麗香","343 八德大智街4段67號之2"
"李俊佑","409 豐原中山街4段61號之0"
"張武雄","351 竹田忠孝街1段47號0樓"
"沈進興","81401 白沙縣華興街6號之6"
"王國雄","50490 卑南大橋頭巷793號8樓"
"邱惠珍","46232 關山市林森街5號之7"
"傅國華","35013 太保奇岩巷1號0樓"
"蔡嘉宏","688 新竹市景美街70號9樓"
"黃淑華","98018 新營中山路7號2樓"
"曾博文","40769 彰化古亭街3號之1"
"凌建銘","628 台南大橋頭路4號之7"
"鍾美英","70629 橫山象山街789號之3"
"林玉蘭","29328 朴子市民有街1段414號之2"
"葉嘉宏","82911 桃園市永安路259號6樓"
"王淑芬","866 苗栗市西門路6號之0"
"黃惠美","928 牡丹縣忠孝路1號6樓"
"傅志偉","11156 中和動物園巷229號之7"
"何慧玲","92163 南投新北投巷271號5樓"
"蕭美雲","357 臺中象山巷32號7樓"
"王國雄","85653 橫山縣迴龍巷713號0樓"
"林秀鳳","39788 台東建國街565號1樓"
"顏建華","71874 白沙縣新生巷51號之0"
"羅家宏","229 台中縣太平路58號之5"
"林麗華","332 嘉義新生路52號之9"
"范雅雯","24687 白沙縣正義街8段123號之1"
"邱武雄","63929 太平縣文昌路9號之0"
"傅志成","64459 白沙市建國巷5號6樓"
"吳彥廷","345 馬公市正義街233號之1"
"張雅婷","19320 北斗民富巷5號之1"
"林美英","99155 臺中三民街3號之0"
"黃麗玉","30528 頭份市中央巷2段29號0樓"
"顏碧珠","679 光復新北投巷252號之2"
"吳威廷","721 樹林象山巷4號6樓"
"徐美珠","54547 屏東縣頂福州路5號4樓"
"陳文章","158 草屯市關渡街306號之6"
"羅秀琴","86590 南投忠義街79號2樓"
"傅美珠","46996 台南雙連巷6號之9"
"陳建良","727 臺東市中山路69號之4"
"李仁傑","872 台中縣自立巷768號之1"
"池文龍","978 板橋明德路792號2樓"
"陳美玉","775 古坑石牌路8段8號之4"
"彭美娟","32150 連江縣自由巷618號之6"
"錢玉琴","391 蘆洲紅樹林路16號之5"
"黃進發","55462 中和小碧潭路71號之8"
"蔡美雲","45834 馬公縣土城路5段335號9樓"
