"丁淑娟"	"216 太保芝山路9號之3"
"周文賢"	"332 台東土城街37號8樓"
"洪建成"	"79496 大里關渡巷7段906號5樓"
"佘素卿"	"43328 新營光復路43號之8"
"劉麗玉"	"651 橫山五福巷1號1樓"
"何淑卿"	"51975 大里芝山巷55號之2"
"王冠宇"	"251 新竹民治巷8段271號3樓"
"張寶珠"	"230 頭份市新興街8段9號1樓"
"李正雄"	"300 古坑延平街6號3樓"
"蔡明宗"	"252 太保民有路2段68號1樓"
"楊家銘"	"940 竹田市大智巷9號6樓"
"蘇麗香"	"999 澎湖縣中山街293號2樓"
"蔡俊銘"	"669 屏東莒光巷44號之5"
"余哲維"	"87887 三重縣廣慈巷466號8樓"
"林正義"	"898 楊梅市林森街1段653號6樓"
"許美娟"	"414 高雄市大安路310號7樓"
"陳秀琴"	"19770 臺中劍南街162號之9"
"陳淑芬"	"556 北竿縣象山路4號9樓"
"蔡建宏"	"802 卑南市中山街679號之6"
"陳俊廷"	"50146 阿里山華興街93號之2"
"王美珠"	"359 平鎮石牌路71號2樓"
"呂淑貞"	"11163 梅山信義街1號1樓"
"王威廷"	"618 彰化市文山路1段69號之8"
"余志成"	"20395 樹林縣永寧街965號1樓"
"蔡承翰"	"24476 員林市奇岩巷1號之3"
"尤世昌"	"41539 新營古亭路5段90號之0"
"陳月娥"	"36354 白沙華興路342號之4"
"徐雅玲"	"408 中和新北投巷2段21號5樓"
"蔡俊宇"	"35465 頭份縣景美巷6號之1"
"莊思妤"	"385 高雄水源街7號2樓"
"李玉琴"	"41503 大里中華巷9號6樓"
"黃宇軒"	"44390 宜蘭建國街59號7樓"
"蔡語彤"	"36352 新營古亭巷392號3樓"
"余志遠"	"83381 中壢縣德巷9段611號7樓"
"楊淑珍"	"60050 太平縣象山街3號之2"
"黃金鳳"	"31595 梅山縣民治街1段7號5樓"
"王碧珠"	"85943 嘉義市天母巷9段415號之1"
"胡子宸"	"543 橫山縣文化巷8號5樓"
"邱俊男"	"45061 三重市延平街3號2樓"
"左淑芬"	"33524 樹林市中央路260號之5"
"鍾國華"	"58459 宜蘭縣大坪巷280號之4"
"蔡俊傑"	"349 永康華興街3號之1"
"張志偉"	"88627 苗栗縣育英街7段7號9樓"
"余文傑"	"73067 北港文昌路8號之5"
"王秀美"	"931 台東民有街64號4樓"
"吳秀英"	"752 馬公新莊街1號0樓"
"林秀蓮"	"326 太保市大智路72號之0"
"謝文彬"	"64248 永和正義巷27號8樓"
"蔡永昌"	"47523 古坑大勇街76號之1"
"林文章"	"186 牡丹縣大同街1段82號之1"
"韓美玉"	"939 台中縣光復巷248號之3"
"羅國雄"	"66440 太平關渡巷286號7樓"
"高淑珍"	"89785 豐原東興巷878號2樓"
"余明宗"	"765 新竹新生路9號之8"
"黃淑慧"	"940 彰化明德路927號5樓"
"張志強"	"249 南投文化路8號3樓"
"林文賢"	"371 竹北市龍山寺巷87號8樓"
"蔡玉英"	"503 永和市四維路314號6樓"
"郭文傑"	"21793 蘆竹劍南巷9段237號之1"
"陳美珠"	"953 新營土城路7號9樓"
"高志成"	"75565 卑南縣大安路318號之6"
"張素珠"	"49490 八德市士林巷3號之6"
"周柏翰"	"173 澎湖民治路6號6樓"
"余秀琴"	"207 北斗土城街3段995號之2"
"戴淑惠"	"428 新北頂福州巷387號0樓"
"陳文雄"	"284 阿里山文山巷2段6號之2"
"蔡淑貞"	"864 古坑建國路9段6號之2"
"郭靜怡"	"52905 太平永安路12號8樓"
"吳俊良"	"455 屏東縣南街101號7樓"
"許佳玲"	"19632 新營公園街52號之1"
"陳明哲"	"61169 員林仁愛巷6號之9"
"賴家豪"	"312 卑南市信義巷9段69號7樓"
"吳彥廷"	"125 桃園市中華路998號2樓"
"余美惠"	"27497 宜蘭小碧潭街423號5樓"
"劉淑惠"	"556 太保市東興路1號之1"
"彭志文"	"786 嘉義中山路285號之4"
"張冠宏"	"87159 蘆竹文化街8號6樓"
"謝建志"	"31202 楊梅民生路1號7樓"
"王子晴"	"615 朴子大安路832號8樓"
"陳宗翰"	"175 台東縣仁愛路4段643號1樓"
"夏麗卿"	"64313 褒忠中央路135號8樓"
"劉俊宏"	"86098 卑南劍南街1號之3"
"江家豪"	"293 嘉義莒光路350號之6"
"侯志宏"	"30650 桃園芝山路858號4樓"
"盧金龍"	"919 台南中華路3段86號2樓"
"陳聰明"	"13696 新營仁愛路9段783號之8"
"詹雨霏"	"14194 太保自由路8號3樓"
"王柏翰"	"26279 平鎮市淡水街68號4樓"
"陳美惠"	"12520 古坑水源街483號0樓"
"許俊銘"	"65931 樹林劍潭巷6號之5"
"羅品妍"	"690 台東五福路71號1樓"
"陳淑貞"	"916 永和市新埔街33號之0"
"羅家豪"	"444 蘆洲市小碧潭巷6號之4"
"侯秀蘭"	"973 鳳山縣中華巷5號3樓"
"馬志宏"	"96188 竹田市中正巷5段576號之1"
"陳玉珍"	"70403 竹田縣復興街83號4樓"
"林俊傑"	"40508 北竿縣光華巷37號之6"
"謝凱翔"	"87562 斗六關渡巷952號1樓"
"葉麗琴"	"95737 馬公福安巷649號5樓"
"馮麗卿"	"812 臺東古亭巷772號之8"
"李惠玲"	"48287 新北自立路384號5樓"
"王素琴"	"278 橫山縣新莊街17號之4"
"陳玉琴"	"90044 卑南市大同巷3號之8"
"倪文欽"	"97861 南投民治街384號1樓"
"黃文欽"	"850 豐原民族巷2段544號之6"
"王俊宏"	"919 草屯新店路773號5樓"
"江柏翰"	"372 八德縣大橋頭街39號0樓"
"鄭淑惠"	"87532 北竿關渡路82號之7"
"林明德"	"23856 新營市大橋頭巷6段38號之9"
"王麗華"	"410 臺東永寧巷34號之4"
"董佳蓉"	"66212 桃園大仁巷6號6樓"
"黃淑娟"	"668 竹北市自由巷25號4樓"
"劉建中"	"293 雲林縣文山巷35號之5"
"倪雅惠"	"99937 卑南縣北投巷28號6樓"
"吳志遠"	"434 頭份動物園路1段979號之1"
"張雅惠"	"888 苗栗東湖街4號之5"
"李怡君"	"263 員林紅樹林巷2號0樓"
"王秀玲"	"549 三重民治巷7號6樓"
"黃秋月"	"54848 新營縣紅樹林街9號8樓"
"黃秀霞"	"625 朴子縣水源街95號之5"
"洪麗玲"	"52649 金門忠義街8段853號5樓"
"蔡進財"	"637 樹林博愛街8號之8"
"吳秀英"	"170 大里市萬隆街80號0樓"
"傅淑美"	"133 豐原關渡巷3段9號之6"
"侯柏翰"	"34805 花蓮象山街2號之0"
"邱麗美"	"982 中和市和平巷34號之3"
"楊秀珠"	"16988 台北華興街344號2樓"
"陳志雄"	"787 臺中象山巷518號之1"
"林玉鳳"	"44098 太平縣自強路1段379號之4"
"黃俊佑"	"94920 北斗中山路1段229號之1"
"楊冠宇"	"82791 花蓮國凱八德街1號之1"
"陳承翰"	"760 台東水源巷72號之3"
"徐文忠"	"894 竹田縣芝山街5段630號0樓"
"傅美玉"	"100 台南市劍潭街489號之6"
"邱玉美"	"459 斗六福安巷5段4號之2"
"張月英"	"296 豐原頂福州巷3號7樓"
"黃美玲"	"11276 蘆竹長春路5段4號之1"
"郭志豪"	"64444 蘆竹縣太平路8段59號之3"
"鄭麗雪"	"67985 臺中縣天母街34號9樓"
"卓文欽"	"96469 苗栗市復興巷12號0樓"
"趙秀珍"	"989 卑南市民族路8段814號7樓"
"董志忠"	"62851 台中仁愛巷7號之5"
"劉嘉宏"	"35993 楊梅和街巷485號之4"
"傅靜宜"	"806 光復縣景美街5號之7"
"陳靜宜"	"196 屏東中央巷414號9樓"
"陳明珠"	"35684 板橋劍潭街442號3樓"
"郭建中"	"601 桃園縣象山街63號之4"
"王文忠"	"15301 北斗東湖街439號9樓"
"呂美惠"	"979 鳳山成功路8段2號之7"
"賴文章"	"77999 竹北雙連路26號5樓"
"孫嘉宏"	"30093 北港勝利路983號之2"
"石麗珠"	"662 大里光華巷6段73號3樓"
"張秀玲"	"85459 太保新莊街1號之0"
"傅麗美"	"964 永和縣關渡巷69號之3"
"董明輝"	"538 金門市士林街74號之6"
"蘇文欽"	"78387 花蓮市永安巷423號之5"
"彭麗琴"	"93922 員林縣勝利路32號9樓"
"郭金鳳"	"70090 新營民富街575號之1"
"游月娥"	"30353 金門新興巷2號8樓"
"吳家銘"	"961 新竹市四維巷888號0樓"
"沈志忠"	"165 嘉義新生路886號之3"
"曲明德"	"360 澎湖縣劍潭街1號之8"
"黃俊銘"	"346 草屯縣自立巷4號1樓"
"凃子晴"	"49088 三重福安路101號之5"
"阮美玲"	"910 宜蘭市新生巷64號5樓"
"鮑心怡"	"11925 新竹三民路15號之4"
"侯柏翰"	"36535 板橋忠義路554號9樓"
"楊志鴻"	"410 關山古亭街934號之6"
"洪志鴻"	"806 永康縣小碧潭巷235號5樓"
"洪月娥"	"38697 馬公市新埔路95號之6"
"林雅婷"	"271 彰化市景美路396號之5"
"張淑芬"	"224 汐止中山街41號之0"
"李進財"	"941 中壢自強路80號1樓"
"凃明宗"	"996 北斗市信義路4段3號7樓"
"黃哲維"	"89269 新竹育英街9段66號之6"
"江榮華"	"840 永和中山巷465號之1"
"李雅玲"	"37012 員林縣迴龍街2號之5"
"薛國華"	"45489 朴子縣中和路707號9樓"
"劉美華"	"732 嘉義福安巷12號之4"
"許秀美"	"62585 斗六縣新莊巷5號之7"
"曾秀梅"	"434 竹田民生巷5段765號5樓"
"陳明德"	"732 新營民富路8段71號之6"
"林靜怡"	"743 朴子市民族街4號之7"
"凃雅惠"	"625 宜蘭民族街7號7樓"
"蔡承翰"	"53648 竹田土城巷199號之7"
"林素珠"	"591 屏東縣永寧路145號5樓"
"蘇文龍"	"119 光復古亭街550號7樓"
"劉俊宏"	"16597 台北育英巷28號之1"
"許承恩"	"24156 桃園中山巷380號4樓"
"陳芸菲"	"84878 楊梅市中和巷834號6樓"
"王志明"	"11774 中壢紅樹林巷6號之9"
"劉宥蓁"	"221 蘆竹市大坪街7段52號之1"
"盧金鳳"	"380 八德德街4號9樓"
"凌怡婷"	"929 平鎮中山巷45號之1"
"魏志偉"	"648 大里延平巷14號之7"
"廖雅慧"	"55980 關山文山路905號之2"
"鐘勝雄"	"30082 桃園市自立路3段727號之7"
"林明珠"	"226 橫山新興巷1段95號之1"
"林秀琴"	"525 大里中和路47號之0"
"洪淑娟"	"96000 北斗縣廣慈路1號之8"
"楊家豪"	"576 中壢縣忠義巷639號之0"
"黃冠霖"	"889 樹林中山路1段968號之4"
"方秀華"	"18950 台北縣東興街6段3號8樓"
"凌碧霞"	"88610 頭份廣慈巷549號之0"
"黃玉珍"	"95572 新竹市興路4段783號6樓"
"林俊宇"	"197 北竿天母街7段892號5樓"
"楊美惠"	"139 褒忠廣慈巷5號1樓"
"林欣怡"	"33090 三重天母巷6段226號之1"
"丁文章"	"69738 新竹福德巷17號4樓"
"蔡柏諺"	"42316 關山國凱八德巷5段4號之9"
"潘秋月"	"91934 太保自由巷5號0樓"
"張文欽"	"885 樹林北投街2號3樓"
"廖淑華"	"99205 馬公縣南巷5段554號之3"
"劉仁傑"	"98075 三重明德路6號之3"
"凃秀雲"	"97257 草屯縣文山街327號8樓"
"林語彤"	"64652 連江永和街41號4樓"
"汪淑芬"	"15040 永康西門街9段286號5樓"
"唐素珠"	"938 蘆竹文昌街720號之6"
"姚美珠"	"169 台東五福巷8段28號0樓"
"高文華"	"288 橫山中央街33號之9"
"陳文欽"	"589 臺中中山巷5段3號7樓"
"邱正雄"	"96607 蘆竹天母巷43號之5"
"紀淑玲"	"15355 臺中縣景美巷55號之6"
"劉俊佑"	"74741 新竹石牌路509號之9"
"羅淑惠"	"81273 太平市古亭街79號7樓"
"劉家銘"	"434 台中市光復巷6段72號之2"
"高玉琴"	"435 台中文昌街27號4樓"
"黃信宏"	"35900 梅山民富路9段778號1樓"
"黃秀英"	"407 連江縣關渡巷8號2樓"
"陳文華"	"728 朴子縣永寧路3號4樓"
"陳素貞"	"24741 馬公民富街109號5樓"
"鄭秀鳳"	"66499 牡丹大智路2段352號之5"
"張美珍"	"512 南投市頂福州街2號之9"
"劉俊宇"	"95017 鳳山東湖街533號之9"
"呂國雄"	"544 阿里山民治巷1號1樓"
"蘇麗卿"	"890 八德縣莒光巷404號3樓"
"吳淑惠"	"232 宜蘭市淡水路6號之2"
"陳睿恩"	"288 馬公縣古亭街624號之3"
"黃冠宏"	"997 雲林公園巷260號之2"
"鄭志雄"	"469 牡丹淡水街7段27號之9"
"陳明宗"	"38928 宜蘭明德巷7號7樓"
"許世昌"	"87930 鳳山學府街2號之0"
"余心怡"	"54784 桃園南路26號3樓"
"劉俊宏"	"15898 草屯龍山寺巷646號9樓"
"黃凱翔"	"11672 永和縣東興街6號4樓"
"劉志宏"	"24250 朴子縣忠義街9段790號之9"
"顧建興"	"23085 台東明德路4段97號之0"
"許美娟"	"41984 新營文昌路6號之5"
"賈國華"	"54721 朴子市永安路793號之7"
"陳秀蘭"	"42963 斗六市中和路5號之2"
"洪詩涵"	"781 卑南縣萬隆路43號5樓"
"陳聰明"	"27828 古坑縣雙連巷3段13號之6"
"陳明宏"	"22518 板橋和街街6段4號5樓"
"劉俊宏"	"171 桃園縣光復路6號5樓"
"陳信宏"	"54761 汐止民享路2段961號之5"
"張俊雄"	"81389 高雄縣紅樹林巷307號0樓"
"凃志豪"	"370 新北市西門路8段7號2樓"
"朱文雄"	"582 豐原古亭路7號1樓"
"翁進興"	"34827 台南縣永安路9段1號之0"
"葉麗珠"	"268 連江縣國凱八德街7段4號9樓"
"林素卿"	"39334 三重石牌街74號8樓"
"陳素琴"	"80316 牡丹新埔巷618號之7"
"王秀玉"	"469 光復縣士林街58號之1"
"劉俊宏"	"677 中壢新埔巷1號之6"
"吳俊雄"	"24124 頭份縣新埔路5段753號3樓"
"楊永昌"	"72296 北竿育英路2號之6"
"宋美麗"	"288 竹田水源巷2號9樓"
"鄭春美"	"52125 阿里山市信義路240號之4"
"葉怡君"	"43213 光復小碧潭路102號6樓"
"林美華"	"51142 新營市石牌街929號5樓"
"黃雅惠"	"663 新營三民街28號6樓"
"莊明宏"	"662 平鎮縣士林街2號之5"
"陳鈺婷"	"300 樹林縣石牌巷6段964號之2"
"劉俊雄"	"13696 新北市天母巷655號7樓"
"郭詩涵"	"94571 北港大仁街3號2樓"
"林美華"	"50490 彰化興街4號之3"
"陳佳玲"	"489 台南和平巷5段1號9樓"
"劉永昌"	"27466 阿里山縣松山街201號之6"
"張春美"	"38843 橫山光復巷1段84號4樓"
"江美華"	"915 新竹市廣慈街2號之5"
"邱淑珍"	"801 桃園民享路4號4樓"
"劉玥彤"	"99785 新竹市大仁巷42號0樓"
"黃淑珍"	"39316 太平縣中和路210號之1"
"劉俊雄"	"42906 連江大仁巷550號之8"
"陳志鴻"	"25387 新竹雙連巷2段3號之7"
"葉志賢"	"89706 豐原縣迴龍路6號之9"
"謝月英"	"89971 三重市育英路894號3樓"
"蕭志豪"	"659 台北松山路4段438號2樓"
"柯麗珠"	"852 台北縣廣慈街61號之3"
"楊麗華"	"27934 馬公縣新莊巷598號之5"
"宋世昌"	"796 鳳山市蘆洲路291號之5"
"顏品睿"	"933 臺中新興街3號之6"
"范秀珍"	"736 新竹市東興路7號5樓"
"劉信宏"	"32950 阿里山市廣慈巷52號6樓"
"簡宗憲"	"783 基隆大勇街7段35號7樓"
"蔡子翔"	"971 新營育英路1段3號之6"
"沈美雲"	"940 梅山縣大智巷7段48號1樓"
"吳佳蓉"	"329 褒忠中山街1號之3"
"黃俊良"	"645 連江民享路1號之3"
"鄭佳玲"	"53910 北斗廣慈巷86號0樓"
"張金龍"	"715 關山迴龍街847號1樓"
"劉家榮"	"565 新營文昌路746號5樓"
"魯麗香"	"31041 白沙市景美路5段53號之8"
"劉信宏"	"495 花蓮縣古亭路350號8樓"
"蔡恩碩"	"711 蘆竹縣景美街3段940號3樓"
"鄧志強"	"85115 北港縣大仁巷900號8樓"
"周志宏"	"10039 金門福安街53號0樓"
"范麗珠"	"690 新營長安巷273號之9"
"李淑貞"	"730 金門市龍山寺巷9段78號之3"
"伍玉梅"	"52385 楊梅縣關渡街7段521號之6"
"宋進財"	"556 八德市建國路3號4樓"
"李美蘭"	"42501 台中縣芝山路95號0樓"
"李淑貞"	"58413 牡丹關渡街6號之4"
"劉信宏"	"89909 太保東興路9段43號5樓"
"林美蘭"	"33136 北港市忠義巷8號之2"
"鍾淑玲"	"57097 中和松山路20號4樓"
"劉麗雪"	"26374 花蓮三民街9段50號2樓"
"林淑貞"	"93849 花蓮正義街9號之5"
"朱志忠"	"17728 板橋縣頂福州巷5段6號7樓"
"陳麗雲"	"90424 金門市建國巷192號3樓"
"劉志誠"	"65164 卑南縣劍南巷9號之6"
"陳淑美"	"39472 臺中華興街2段27號2樓"
"謝秋香"	"456 中壢市府中街524號之0"
"劉冠廷"	"292 汐止市博愛街2號2樓"
"陳美惠"	"312 阿里山縣國凱八德巷5段5號3樓"
"廖秀蘭"	"71688 台南市民治街70號7樓"
"吳志宏"	"81303 褒忠象山路2號4樓"
"林玉英"	"586 花蓮新莊路56號之6"
"張世明"	"972 連江芝山巷3段20號2樓"
"戴美麗"	"18898 大里石牌路794號9樓"
"許美惠"	"130 光復市明德巷6號9樓"
"呂惠珍"	"23984 八德縣大橋頭街8號之2"
"王淑娟"	"48748 樹林縣府中路7號0樓"
"劉冠廷"	"53861 屏東縣興巷49號0樓"
"黃冠宇"	"43407 永和縣大同路74號之1"
"王淑華"	"80662 太保縣動物園巷4段9號1樓"
"余秀華"	"971 臺中市民生巷4號之3"
"黃詩涵"	"62797 光復雙連街3號之6"
"潘志宏"	"59361 鳳山新埔街152號0樓"
"顏家瑋"	"434 永康奇岩路714號之8"
"徐美慧"	"867 新北太平街47號之4"
"楊志偉"	"36384 員林勝利巷2段277號0樓"
"潘美鳳"	"525 馬公永和街32號之3"
"劉國雄"	"21460 蘆竹縣小碧潭街90號之7"
"林義雄"	"41350 太平市民族路3號之5"
"廖世明"	"752 花蓮中山街6號之6"
"張建興"	"53603 八德市民族街104號0樓"
"洪宜庭"	"226 樹林縣和街路8號之4"
"陳建良"	"742 蘆竹永安路5號之6"
"徐志豪"	"729 台中市永和街1號2樓"
"王俊宏"	"98090 花蓮縣國凱八德街6段55號4樓"
"蘇麗卿"	"95088 苗栗石牌路767號3樓"
"賴哲瑋"	"169 八德市中正巷7段56號之3"
"劉威廷"	"45812 白沙光復巷9號之7"
"凌秀珍"	"24238 新營正義街65號2樓"
"陳家豪"	"11748 太平縣民富街702號之6"
"黃碧霞"	"24848 永康紅樹林路4段719號之4"
"尤嘉宏"	"78119 太保民族街690號0樓"
"吳建宏"	"952 台南中興街42號之9"
"張雅雯"	"22623 臺東縣大仁巷90號2樓"
"張玉珍"	"250 雲林縣民治街80號之2"
"羅金龍"	"40354 北港市土城路968號之4"
"鄭美惠"	"135 彰化府中街287號之5"
"劉威廷"	"771 永康永和街7號之1"
"夏秀英"	"416 板橋雙連巷22號之0"
"楊淑華"	"66062 鳳山光明路3段66號之5"
"顧淑芬"	"149 馬公明德巷219號9樓"
"楊文忠"	"58822 嘉義市永和街820號之7"
"黃慧玲"	"15198 南投水源街79號8樓"
"許美玲"	"112 馬公文山路36號之9"
"蔡宸睿"	"183 臺東市石牌街708號之2"
"呂秀雲"	"242 新營自由巷96號6樓"
"張國榮"	"57554 永和縣新生路3號3樓"
"劉威廷"	"84334 員林新興路4段714號7樓"
"吳冠廷"	"60256 北港土城街961號之1"
"劉美娟"	"57527 基隆縣仁愛路24號之7"
"林志明"	"94705 竹田市東湖街346號之1"
"余武雄"	"64170 新竹市大橋頭巷639號5樓"
"羅秀鳳"	"667 鳳山縣公園巷6段595號之5"
"孟玉美"	"259 新北市新埔街6號4樓"
"鄭文忠"	"264 台北新店巷2號之6"
"廖柏翰"	"89873 卑南三民路6號之5"
"李國華"	"14433 楊梅景美路112號之2"
"劉宗憲"	"56971 桃園新生巷28號2樓"
"許家豪"	"962 竹北忠孝路6號之3"
"蔡靜怡"	"188 板橋福安巷507號7樓"
"劉進興"	"25917 大里市林森路34號之4"
"莊榮華"	"53211 竹田縣信義街94號之4"
"張正雄"	"362 苗栗大同街8號5樓"
"倪欣怡"	"196 台中頂福州街19號之7"
"高秀英"	"95181 北斗縣福安路6段5號之2"
"洪柏霖"	"66457 頭份縣育英路39號之8"
"簡明德"	"24168 新竹永安路447號7樓"
"劉宜蓁"	"73195 大里縣民享巷123號之9"
"姜麗娟"	"19803 草屯縣西門街32號之2"
"徐玉蘭"	"53095 豐原市和平巷87號2樓"
"張柏睿"	"456 新竹市東興巷3號3樓"
"張宥蓁"	"17523 古坑文山路22號之3"
"范志雄"	"466 白沙市建國巷63號之6"
"劉美玲"	"12328 豐原景美街7號之6"
"楊宜蓁"	"71123 古坑縣水源巷8段813號之4"
"賴詩涵"	"38986 嘉義明德巷6段1號3樓"
"莊進發"	"252 中和延平街9號1樓"
"劉建中"	"205 汐止大勇街5號3樓"
"黎素琴"	"602 大里忠孝街4段36號3樓"
"丁淑貞"	"95811 光復縣文化路118號之4"
"黃淑玲"	"423 三重福安街71號8樓"
"張柏諺"	"33434 竹田市中央巷8號之3"
"蔡建中"	"87793 新竹五福路8段883號之6"
"蘇冠廷"	"931 彰化民有街52號3樓"
"林家宏"	"20299 卑南劍潭路2段844號0樓"
"蕭志鴻"	"336 嘉義市建國街5號6樓"
"黃玉美"	"387 新北莒光巷82號4樓"
"劉建宏"	"14606 新北市中和巷441號3樓"
"金世昌"	"91378 板橋光明街42號之0"
"蘇柏翰"	"194 斗六新生街8段64號1樓"
"孫玉英"	"99230 基隆民享巷425號5樓"
"曾淑惠"	"44892 新竹和平路23號之0"
"楊博文"	"66827 平鎮新店巷6段7號2樓"
