"Adriana Almeida","Av Leal, 59
8518-401 Funchal"
"Pedro Alves","R. de Amaral, 8
3015-558 Lourosa"
"Mateus Brito","Praça de Amaral, 85
8289-411 Portalegre"
"Gaspar Assunção-Santos","Avenida Mendes, 96
3598-384 Fiães"
"Kyara-Leonor Garcia","Praça Jorge Andrade, 778
4822-336 Vizela"
"Tatiana Azevedo-Ribeiro","Avenida de Freitas, 26
8551-733 Mangualde"
"Alexandra Carvalho","R. Moura, 90
8705-554 Alcácer do Sal"
"Clara Costa","Praça dos Bacalhoeiros, 1
5985-416 Oliveira do Bairro"
"Benjamim Borges","Praça Branco, 38
6304-506 Valpaços"
"Nádia de Moura","Praça Pupilos do Exército, 39
4733-095 Funchal"
"Caetana Castro","Travessa Íris Reis, 78
5066-504 Braga"
"Leandro Pinheiro","Travessa Lourenço Macedo, 7
3566-778 Santa Cruz"
"Vicente Martins","R. Henriques, S/N
6625-903 Vila Nova de Famalicão"
"Rafaela Domingues","Rua de Leal, 925
1331-248 Esmoriz"
"Juliana Soares","Praça Jéssica Vicente, 80
3282-576 Chaves"
"Pilar Reis","Alameda do Prof. Ruy Luís Gomes, 26
4089-622 Ovar"
"Alexandra Jesus-Ferreira","Largo Irmã Lúcia, 4
4401-957 Anadia"
"Marco Costa","Praça de Cruz, 85
7732-782 Odivelas"
"Ema Anjos","Av da Feiteira, 64
7423-262 Ílhavo"
"Luca Esteves","Alameda Areeiro, 69
9445-257 Alcobaça"
"Wilson Melo-Coelho","Av do Outeiro, 30
1197-616 Vila Real de Santo António"
"Tomé Vieira","Travessa Marques, S/N
9355-959 Caldas da Rainha"
"Andreia de Guerreiro","Avenida Carvalho, 52
8088-233 Figueira da Foz"
"Isaac de Gomes","Alameda Lopes, 80
4325-614 Vila Franca de Xira"
"Luna Branco","Rua das Canas, 51
4261-428 Rio Tinto"
"Carolina Lourenço","Rua de Lima, 71
6541-082 Caniço"
"Alexandra Mendes","Alameda de Vicente, S/N
1884-448 Alcácer do Sal"
"Nádia Coelho","Rua da Ranha, 50
7792-039 Vizela"
"Renata Fernandes","Travessa Nelson Coelho, S/N
5349-053 Fátima"
"Bruna Teixeira","Rua Débora Ramos, 39
4891-223 Lisboa"
"Nicole Freitas","Travessa de Vinte e Quatro de Agosto, 51
5377-406 Ourém"
"Violeta Garcia","Largo Ramos, 98
3328-169 Fiães"
"Vítor Brito","Largo Visconde de Alvalade, 5
3667-684 Barreiro"
"Salvador Pacheco","Avenida Vicente, 863
3162-618 Fiães"
"Wilson Oliveira","Praça Lourenço, S/N
6994-507 Entroncamento"
"Lara da Gaspar","R. Gaspar Torres, 17
7699-676 Porto Santo"
"Alexandra Nascimento","Praça William Sousa, 287
7014-809 Loulé"
"Carolina Campos","Rua Flor da Rosa, 5
2254-533 Alcobaça"
"Daniel Campos","R. Vicente, 22
3385-277 Pinhel"
"Filipe do Antunes","Av Morais, 29
3488-268 Vila Real"
"Marco Rocha","R. Abreu, 55
5179-500 Montemor-o-Novo"
"Maria Mendes","Av Tomás Henriques, 59
6132-804 São João da Madeira"
"Samuel Soares","R. Abreu, S/N
1415-104 Vila Nova de Santo André"
"Catarina Neto","Alameda Pupilos do Exército, S/N
9067-109 Anadia"
"Bianca Mota","Av de Moreira, 48
1175-859 Peniche"
"Leandro Cunha","Largo Manuel Lopes, 93
5203-647 Gafanha da Nazaré"
"Alexandra Neves","Avenida do Pinzaleiro, S/N
7529-318 Lixa"
"Leonardo Baptista","Travessa Azevedo, S/N
4208-964 Matosinhos"
"Melissa Figueiredo","R. do Ouro, 6
5132-575 Torres Vedras"
"Ema Jesus","Largo Santos, S/N
2824-777 Albufeira"
"Ivan Pinheiro","Avenida do Pimenta, 14
3901-061 Barreiro"
"Lisandro Soares","Largo da Rainha, 81
1419-693 Vila Nova de Famalicão"
"Dinis Pinto","Travessa de Melo, 90
7989-763 Mangualde"
"Luca Lima","Avenida de Matias, 9
6838-688 Lagos"
"Adriana Nunes","Rua Tiago Valente, 621
7467-904 Setúbal"
"Ângela Gonçalves-Tavares","Rua Nunes, 76
8672-605 Fundão"
"Alexandra Ramos-Mota","Largo Valente, 62
6698-043 Aveiro"
"Violeta Magalhães","R. de Figueiredo, 31
2317-417 Caldas da Rainha"
"Francisca Castro","R. Azevedo, 29
4842-371 Fundão"
"José Oliveira-Barbosa","Praça Carneiro, S/N
6418-454 Gandra"
"Vasco Pinho","Av de Nunes, S/N
4483-255 Ourém"
"Naiara de Rocha","Praça João Glama, 10
8089-408 Vila Real"
"Tomás Lopes","R. Ivo Amorim, 503
2497-009 Gafanha da Nazaré"
"Lúcia Figueiredo-Castro","Praça de Esteves, 10
9100-612 Mangualde"
"Manuel Batista-Matias","Avenida de Gomes, S/N
1354-449 Lagos"
"Henrique Borges-Coelho","Travessa Rui Neves, 70
7789-651 Pombal"
"Alexandra Ribeiro","Rua do Bessa, S/N
8991-878 Olhão"
"Gonçalo Rocha","Travessa Mia Lourenço, 618
7059-479 Matosinhos"
"Helena Sá-Reis","Praça de Fernandes, 375
2357-400 Loures"
"Bruno do Maia","Travessa de Azevedo, S/N
4551-761 Lagoa"
"Marco Macedo","Praça de Garcia, 10
4342-755 Bragança"
"Mélanie Jesus","Alameda Carminho Soares, 38
1282-430 Lisboa"
"Vitória Cruz","Praça do Machado, 615
4143-113 Beja"
"Ariana Moreira","R. Machado, 83
9268-971 Almada"
"Lucas Soares","Praça Renata Garcia, 34
8851-959 Gafanha da Nazaré"
"Hugo do Moura","Avenida Duarte Mendes, 9
6827-469 Guimarães"
"Alexandra do Lima","Praça Branco, 19
8456-552 Serpa"
"Mário Anjos","R. Carneiro, 81
1442-176 Almada"
"Valentina de Leite","Alameda de Mendes, 1
4287-817 Porto Santo"
"Leonor Soares-Correia","Alameda de Machado, 40
2925-896 Alcobaça"
"Kévim Maia","Avenida de Correia, 8
1106-269 Santarém"
"Alexandra-Filipa Baptista","R. de Nunes, S/N
8274-186 Vila Nova de Gaia"
"Nelson Simões","Largo Gustavo Mendes, 19
6829-722 Vila Real"
"Pedro Morais-Magalhães","Travessa de Carvalho, S/N
4221-265 Aveiro"
"Enzo Cunha","Praça Machado de Asis, S/N
8693-683 Estarreja"
"Mafalda Martins","Avenida de Soares, 65
2443-643 Faro"
"Alexandre Batista","Av de Barros, 56
4596-395 Trancoso"
"Igor Branco","Praça de Araújo, 19
7951-444 Ponte de Sor"
"Camila-Catarina Henriques","Travessa Esteves, 57
2681-726 Câmara de Lobos"
"Bárbara Cruz","Rua Renata Anjos, 1
3717-543 Funchal"
"Lia-Teresa Pires","Av do Beato, 4
3816-267 Alverca do Ribatejo"
"Luísa Batista","Praça do Viso, 17
6973-681 Felgueiras"
"Joaquim Costa","Av de Montevideu, 170
1508-790 Porto"
"Salvador da Oliveira","Praça de Branco, 76
8864-360 Amarante"
"Caetana Pereira","Travessa Neves, 44
9353-702 Montemor-o-Novo"
"Ângela Abreu-Coelho","Largo Bruna Marques, 74
6329-111 Gouveia"
"Alexandre Branco","Largo de Ribeiro, 102
4671-143 São João da Madeira"
"Mateus Nunes","R. de Guerreiro, 1
9701-178 Chaves"
"Luana Cardoso","Av Almeida, 29
4813-500 Marinha Grande"
"Duarte Pereira-Carvalho","Rua de Ramalde, 513
1950-560 Câmara de Lobos"
"Wilson Silva","Praça Luana Soares, 45
8296-827 Horta"
"Miriam Lopes","Travessa de Henriques, 2
8950-337 Ponta Delgada"
"Letícia da Fonseca","Alameda de Monchique, 59
8638-876 Braga"
"Érica Figueiredo","Largo do Alto de São João, 9
8978-670 Vila Nova de Santo André"
"Artur Miranda-Henriques","Travessa Nunes, 88
5074-865 Gouveia"
"Luca Coelho","Praça de Mota, 76
5848-334 Barreiro"
"Alexandre Garcia","Avenida de S. Francisco de Borja, 2
3369-509 Reguengos de Monsaraz"
"Margarida de Branco","Praça Carneiro, S/N
8028-725 Marco de Canaveses"
"Paulo do Silva","Av de Lima, 60
8356-940 Castelo Branco"
"Mélanie de Teixeira","R. Isaac Santos, 5
3881-871 Almada"
"Gabriel Coelho","Alameda Gerais, 77
5750-851 Guarda"
"Bianca Cruz","Avenida de Branco, 762
2747-352 Lisboa"
"Xavier Marques","Avenida Irina Simões, 49
2342-251 Vizela"
"Bernardo Nogueira","Alameda Rocha, 30
6104-801 Trofa"
"Miguel Campos","Alameda dos Flamingos, 97
8860-846 Caniço"
"Fábio Morais","Rua Freitas, 16
7144-358 Rebordosa"
"Alexandre Leal","Alameda Amorim, 26
3503-078 Reguengos de Monsaraz"
"Kyara-Clara Rodrigues","Av Nogueira, 73
1684-586 Lagoa"
"Denis Carneiro","Largo de Marques, 397
2766-545 Mangualde"
"Gaspar Esteves","Largo do Machado, 22
8889-585 Póvoa de Varzim"
"César Guerreiro-Neto","Travessa de Mendes, 28
6754-287 Fátima"
"Luana Moura","Rua de Monteiro, 795
5990-926 Pinhel"
"Benjamim Rocha-Azevedo","Av Yasmin Pires, 7
4221-987 Figueira da Foz"
"Denis da Soares","Travessa Lúcia Almeida, 486
7190-239 Portalegre"
"Victória Monteiro","R. Yasmin Nascimento, 29
5766-389 Paredes"
"Vera Garcia-Valente","Praça Prof. António José Saraiva, 67
3693-983 Gandra"
"Alexandre Leal","Praça Monteiro, 859
3831-228 Tarouca"
"Hugo de Mendes","Largo Lúcia Araújo, 1
9532-376 Tarouca"
"Eva do Maia","Avenida da Ilha do Ferro, 89
5971-393 Almada"
"Micael Lopes","Praça Neto, 71
6691-432 Valongo"
"Bruna Nogueira","Alameda Cunha, 12
4271-915 Felgueiras"
"Gabriela Antunes","Av Vieira, 20
2708-780 Almeirim"
"Denis Jesus","R. Sara Vaz, 43
8951-266 Praia da Vitória"
"Tomás Sá","Largo Areeiro, 30
3733-086 Valpaços"
"Sofia Sá","R. de Sousa, 51
7788-434 Alcácer do Sal"
"Marco Branco","Avenida de Macedo, 99
7845-843 Ermesinde"
"Alexandre Marques-Mendes","Avenida de Macedo, S/N
1774-793 Funchal"
"Yasmin Pacheco","Praça Tomás Lima, 90
8299-396 Santiago do Cacém"
"Sara Anjos","Travessa de Silva, 78
5530-550 Vila Franca de Xira"
"Alícia Guerreiro","Avenida Barros, 49
3217-716 Torres Vedras"
"Enzo Fonseca","Av Rodrigues, 58
9969-225 Paredes"
"Helena de Borges","Avenida de Cruz, 4
9641-199 Santa Comba Dão"
"Larissa da Pinho","R. Afonso Melo, S/N
1568-826 Costa da Caparica"
"Xavier Silva","Alameda Cardeal Cerejeira, S/N
9402-869 Sintra"
"Bernardo Lopes","R. Bruno Branco, S/N
2797-046 Espinho"
"Tatiana Coelho","Praça Carneiro, 38
2812-688 Pinhel"
"Alexandre Melo","Av do Colégio, 21
6636-463 Valpaços"
"Mara Miranda","R. de Teixeira, 14
1849-895 Santarém"
"Joana-Valentina Correia","Largo Gaspar, S/N
6092-867 Trofa"
"Filipe Miranda","Avenida do Barcal, 41
4309-005 Estarreja"
"Íris Torres","R. Leite, 16
2859-394 Porto Santo"
"Raquel Loureiro","Alameda de Nunes, 76
1467-653 Ovar"
"Edgar Moreira","Av de S. Lázaro, 86
2304-478 Oliveira do Bairro"
"Mariana Domingues","Avenida Eduardo VII de Inglaterra, 2
8176-883 Reguengos de Monsaraz"
"Mia Alves","Praça Gil Pinho, 21
9479-259 Lamego"
"Juliana-Mara Andrade","Largo de Martins, 526
5436-988 Amarante"
"Alexandre Miranda","Av Andrade, 48
9141-070 Faro"
"Diana Lopes-Vieira","Largo Erika Simões, 895
4303-527 Porto Santo"
"Benjamim Barros","Praça Laura Pinto, 7
2284-731 Seia"
"Leandro Valente","Travessa dos Mastros, 4
7898-175 Barreiro"
"João da Silva","Alameda Andrade, 26
7719-350 Alcácer do Sal"
"Emanuel Garcia","Avenida Victória Sousa, 85
4867-783 Loures"
"Amélia Abreu","Rua de Vinte e Quatro de Agosto, S/N
3547-271 Alcobaça"
"Lúcia Garcia","Av Assunção, 17
6453-907 Tavira"
"Íris de Neves","Alameda de Magalhães, 97
4280-613 Angra do Heroísmo"
"Sérgio Leal","Travessa de Fontes Pereira de Melo, 21
9319-893 Ponta Delgada"
"Alexandre Miranda","R. do Conselho da Europa, 604
9734-906 Gouveia"
"Guilherme Garcia","Alameda Gaspar, 86
2445-873 Amadora"
"Eduarda Pires","Travessa Mendes, 26
7583-071 Alverca do Ribatejo"
"Ângelo Soares","Travessa Andrade, 3
7745-976 Santa Comba Dão"
"César Jesus","Avenida Lisandro Jesus, 278
6423-111 Alcácer do Sal"
"Erica Mendes","R. Manuel Brito, 84
5018-220 Serpa"
"Gabriel Gomes","R. da Bela Vista, 415
1937-987 Amora"
"Nair Amaral-Santos","Largo de Ferreira, 188
4311-827 Barreiro"
"André Amorim","Av Irina Cunha, 4
5329-845 Câmara de Lobos"
"Carlota Faria","R. Panorâmica Edgar Cardoso, 398
3847-238 Lisboa"
"Alexandre Pereira","Avenida de Ribeiro, 89
3688-990 Sacavém"
"Joaquim Sá-Leal","Travessa Bruna Matos, 81
7663-476 Esmoriz"
"Miriam Alves","Avenida de Andrade, 95
3401-346 Cartaxo"
"Valentina Oliveira-Matos","Avenida Lia Ferreira, 58
6115-647 Chaves"
"Raquel Henriques","Travessa William Jesus, 87
6562-397 Gafanha da Nazaré"
"Bianca do Pinheiro","Av Lima, 80
4843-252 São Mamede de Infesta"
"Lourenço Borges","Praça Lorena Nogueira, 91
7261-988 Miranda do Douro"
"Helena Batista","Largo de Neto, 26
8849-567 Praia da Vitória"
"Gil Fonseca","Alameda Santiago Fonseca, 8
7970-570 Santarém"
"Inês Rodrigues","Travessa do Regado, 44
9976-232 Albufeira"
"Alexandre Rocha","Rua Leandro Barros, 33
7753-140 Caldas da Rainha"
"Anita Anjos","Rua Luísa Machado, 11
4405-637 Amarante"
"Anita Valente","Praça de Rodrigues, 98
5542-343 Seia"
"Jéssica Cunha","Rua Henriques, 51
9121-665 Queluz"
"Vitória Fernandes-Costa","Alameda do Peneireiro, 25
3909-043 Valongo"
"Bárbara-Joana Costa","Rua Arquitecto Carlos Ramos, 306
7018-895 Santana"
"Letícia Rocha","Av das Naus, 93
3762-195 Fátima"
"Marco Borges-Freitas","Rua Maia, 295
5353-175 Rio Tinto"
"Renato Gaspar","Alameda de Jesus, 26
5226-539 Amadora"
