"Adam Bezák"	"Chorvátska 35
033 81 Oľšinkov"
"Kornélia Sameľová"	"Strakova 38
017 51 Orovnica"
"Renáta Hanúsková"	"Klatovská 3
973 31 Giraltovce"
"Lenka Ďutková"	"Potočná 708
942 70 Petrovce nad Laborcom"
"Valentína Nôtová"	"Limbová 485
942 83 Hniezdne"
"Radoslav Malíšek"	"Nové záhrady VII 990
956 92 Jalovec"
"Sebastián Bahno"	"Ulica Karola Adlera 801
883 76 Otrhánky"
"Františka Dobšinská"	"Velehradská 3
095 27 Konská"
"Agnesa Plchová"	"Čulenova 71
872 71 Podvysoká"
"Dávid Hladký"	"Pod gaštanmi 340
046 84 Spišské Vlachy"
"Angelika Lesná"	"Pivoňková 2
015 28 Topoľovka"
"Michaela Vicenová"	"Ilkovičova 457
087 10 Holiša"
"Estera Baňasová"	"Klobučnícka 73
828 05 Vrchteplá"
"Kazimír Kendra"	"Plánky 3
942 73 Vlkas"
"Branislav Hrmo"	"Rácova 40
846 00 Krivosúd - Bodovka"
"Servác Kus"	"Lehotského 862
829 35 Roškovce"
"Sandra Ondrášiková"	"Horné Židiny 7
900 89 Beňadovo"
"Mikuláš Sidor"	"Blyskáčová 78
020 59 Majerovce"
"Agnesa Tomeková"	"Koľajná 5
887 84 Uhrovec"
"Dominika Ďurovičová"	"Palisády 129
084 55 Bôrka"
"Bronislava Macová"	"Pribylinská 535
095 08 Fekišovce"
"Tichomír Valentín"	"Záruby 6
085 49 Veľký Cetín"
"Eulália Podhradská"	"Námestie slobody 93
911 25 Padáň"
"Alfonz Jurina"	"Jozefa Vachovského 636
016 59 Malý Lipník"
"RNDr. Miroslav Kováč"	"Pílová 253
095 08 Bôrka"
"Ernest Kuruc"	"Svätého Vincenta 18
954 73 Malý Šariš"
"Václav Rojko"	"Vrakunská cesta 18
090 63 Boťany"
"Július Kunda"	"Vajnorská 5
827 71 Horné Saliby"
"Agáta Hlaváčiková"	"Ondavská 16
034 92 Opoj"
"Cecília Maková"	"Mišíkova 8
971 78 Hudcovce"
"Marína Junášová"	"Svébska 671
827 87 Háj"
"Igor Feldek"	"Pri vinohradoch 54
953 66 Čierny Potok"
"Kornélia Gašparovičová"	"Ulica Imricha Karvaš 698
807 13 Ladce"
"Agáta Andrášová"	"Lamanského 260
903 42 Žbince"
"Radomír Kušnír"	"Ulica Leopoldov maje 905
803 06 Martin"
"Hilda Hušeková"	"Ladislava Dérera 25
864 08 Staškovce"
"Margita Strnisková"	"Poštová 347
875 73 Nolčovo"
"Alexej Palovič"	"Rumančeková 81
864 26 Sveržov"
"Agáta Hušeková"	"Hlučínska 26
829 84 Štrkovec"
"Enna Fabiánová"	"Viedenská cesta 9
972 36 Zákamenné"
"Jarmila Mihaliková"	"Cintulova 10
814 87 Hlivištia"
"Tibor Valent"	"Talichova 605
841 73 Gemerský Sad"
"Oldrich Šimonovič"	"Kvetná 9
804 09 Gôtovany"
"Alex Tomek"	"Stodolova 43
985 26 Bačkovík"
"Anton Lojek"	"Pasienky 81
833 40 Kalinkovo"
"Valéria Tupá"	"Karadžičova 886
955 32 Jasenové"
"Bohdana Tomášiková"	"Jánoškova 2
905 53 Dobroč"
"Timotej Capko"	"Zidiny 249
858 56 Olejníkov"
"Agáta Nováková"	"Galvaniho 293
966 17 Beloveža"
"Miloslav Baranka"	"Hrušková 5
023 11 Lada"
"Vratislav Mikuš"	"Modrý chodník 5
027 44 Senné"
"Áron Husťák"	"K horárskej studni 91
944 58 Koromľa"
"Dušan Novák"	"Mlynské nivy 288
925 02 Svätoplukovo"
"Rebeka Lajčiaková"	"Kúpeľná 219
833 20 Skalica"
"Valér Hagara"	"Žilinská 832
036 41 Branovo"
"Kvetoslav Haňak"	"Romanova 47
968 04 Biel"
"Helena Ružičková"	"Tomášikova 3
848 22 Černochov"
"Aurélia Tomašeková"	"Ďumbierska 898
862 17 Králiky"
"Agáta Tomeková"	"Plavecká 5
095 16 Sasinkovo"
"Belo Topoľský"	"Klariská 624
954 98 Čajkov"
"Dušan Kelo"	"Prasličková 60
082 34 Číž"
"Urban Motyka"	"Podlučinského 6
911 52 Nová Sedlica"
"Drahoslava Richtárová"	"Tibenského 445
907 99 Bíňovce"
"Martin Sklenár"	"Stará Ivánska cesta 359
081 42 Tureň"
"Emanuel Pajer"	"Muchovo námestie 5
993 69 Čičarovce"
"Bibiána Petrovická"	"Malý trh 95
940 07 Ďurkov"
"Bianka Michalíková"	"Považská 4
842 27 Oľšinkov"
"Silvester Cibuľa"	"Pri hradnej studni 8
983 33 Čerín"
"Aiko Janošeková"	"Okružná 7
902 02 Bretka"
"Bohumila Jakubková"	"Perličková 533
892 48 Krásno"
"Melichar Babjak"	"Vajnorská 61
917 53 Suchá Hora"
"Gertrúda Vasková"	"Šiesta 92
077 10 Tomášovce"
"Zlatica Richardová"	"Bujnáková 86
869 30 Málaš"
"Želmíra Senková"	"Skýcovská 6
827 56 Báč"
"Zdenka Klepáčová"	"Majoránová 63
822 30 Konská"
"Daniela Vašeková"	"Knižková dolina 3
906 10 Nová Lesná"
"Štefan Starosta"	"Azovská 6
065 53 Jurské"
"Matúš Milota"	"Farského 84
032 99 Utekáč"
"Aiko Kupová"	"Ormisova 1
026 57 Kameňany"
"Vanesa Kušová"	"Ľanová 986
815 57 Stará Halič"
"Ružena Masaríková"	"Klariská 75
904 32 Vrádište"
"Adriána Melicherčíková"	"Benediktiho 3
009 71 Bukovina"
"Ľubor Tomáš"	"Krajinská 7
882 31 Hrubov"
"Igor Lacka"	"Kremencová 639
920 69 Čabalovce"
"Áron Ďutka DSc."	"Boragová 98
875 85 Pohronská Polhora"
"Estera Skutecká"	"Havlíčkova 137
058 80 Hajnáčka"
"Viliam Bondra"	"Na pántoch 50
015 74 Bajč"
"Olívia Ďurkovičová"	"Štedrá 2
003 99 Leštiny"
"Aiko Otčenášová"	"Karadžičova 786
081 63 Dolná Ždaňa"
"Romana Tirpáková"	"Trnavská cesta 966
918 12 Dubinné"
"Šarlota Ďurčová"	"Brnianska 7
980 19 Oravce"
"Anežka Achbergerová"	"Daliborovo námestie 8
071 62 Chmiňany"
"Hortenzia Hodžová"	"Nové záhrady III 25
822 91 Vaniškovce"
"Denis Andrášik Th.D."	"Šikmá 1
845 32 Gemerček"
"Tomáš Černoch"	"Meteorová 3
824 43 Tisinec"
"Florián Húska"	"Hagarova 8
879 68 Bernolákovo"
"Saskia Abrahámová"	"Pri Starom Mýte 508
076 61 Mokrý Háj"
"Alex Orlík"	"Trajánova 52
046 95 Sklabiná"
"Aiko Sameľová"	"Miletičova 1
069 28 Nimnica"
"Alfréd Jakubík"	"Žižkova 27
092 08 Sukov"
"Bohuslav Chrappa"	"Litovská 227
816 15 Dlžín"
"Kornel Ďutka"	"Podbeľová 942
830 88 Brusno"
"Drahoslav Beňo"	"Ulica Juraja Hronca 6
869 27 Čakany"
"Sára Valentínová"	"Beňadická 334
894 22 Stebnícka Huta"
"Zoran Paľov"	"Michalská 1
951 45 Veľké Držkovce"
"Monika Martináková"	"Tavaríkova osada 8
871 18 Kováčová"
"Tobiáš Cíger"	"Zlatá 2
945 87 Dolný Pial"
"Alojz Šlahor"	"Františka Schmuckera 6
035 26 Koláre"
"Aiko Škriniarová"	"Rybné námestie 1
004 10 Bačkov"
"Tarzícius Ryša"	"Miletičova 73
059 24 Senec"
"Liliana Zacharová"	"Petržalská 2
815 97 Jastrabá"
"Ing. arch. Félix Plavucha"	"Dorastenecká 7
071 52 Víťaz"
"Dávid Lubina"	"Krížna 441
939 28 Ráztočno"
"Marián Zima"	"Hyacintová 5
939 12 Gbeľany"
"Alena Holčíková"	"Muchovo námestie 48
912 25 Malý Horeš"
"Margita Dusková"	"Úžiny 68
916 68 Hrabovčík"
"Florián Kúš"	"Kadnárova 64
811 73 Nižný Hrušov"
"Marek Makovica Th.D."	"Hontianska 11
030 07 Malé Lednice"
"Alan Kolár"	"Podtatranského 4
996 96 Bžany"
"Romana Machatová"	"Bratislava-Vinohrady 729
912 21 Kokšov - Bakša"
"Diana Janošeková"	"Brigádnická 432
038 15 Baláže"
"Mikuláš Klimáček"	"Mlynské nivy 6
014 52 Veľopolie"
"Karla Gašparovičová"	"Morava 96
922 67 Kručov"
"Gustáv Fabuš"	"Trenčianska 366
805 26 Beckov"
"Milota Janáková"	"Na Sitine 941
087 62 Batizovce"
"Miloslav Dorota"	"Palisády 9
845 01 Kendice"
"Gejza Mokroš"	"Lieskovská cesta 86
061 80 Laskár"
"Miloslava Michaleková"	"Lesnícka 204
023 91 Levoča"
"Alan Liška"	"Bystrého 2
848 05 Strekov"
"Jerguš Baranka"	"Staré Grunty 476
069 51 Jalšové"
"Kristián Klapáč"	"Laučekova 90
022 90 Letanovce"
"pán Jakub Konôpka CSc."	"Mandľová 770
961 07 Dolný Lopašov"
"Beáta Machnáčová"	"Platanová 57
093 56 Petrovce nad Laborcom"
"Perla Daneková"	"Ukrajinská 2
961 98 Seč"
"Viliam Paľo"	"Ulica Viktora Tegelh 58
963 50 Stratená"
"Ľudmila Galíková"	"Perličková 81
829 93 Veľké Trakany"
"Ingrida Micháliková"	"Tavaríkova osada 7
913 83 Čierne Pole"
"Laura Deáková"	"Rovná 805
042 91 Hrhov"
"Alan Paľúch"	"Plachého 754
802 03 Šindliar"
"Blahoslav Beňuš"	"Mikulášska 965
024 24 Malý Kamenec"
"Milota Capková"	"Pri Starom Mýte 980
824 21 Lietava"
"Vladislav Dej"	"Vajnorská 99
910 42 Omšenie"
