"Achim Ababei"	"Intrarea Voinea
Sfantu Gheorghe, 845829"
"Floarea Ardelean"	"Intrarea Cristea Nr. 146 Bl. 90  Sc. 70 Ap. 454
Zarnesti, 442701"
"Adelin Nemeș"	"Bulevardul Barbu Nr. 866
Sannicolau Mare, 100618"
"Maricica Diaconu"	"Soseaua Diaconu Nr. 506
Branesti, 320970"
"Alexandru Stan"	"Intrarea Diaconescu
Baraolt, 360804"
"Delia Stancu"	"Bulevardul Andrada Nistor Nr. 989
Targu Neamt, 111143"
"Ștefan Albu"	"Intrarea Mocanu
Prejmer, 273651"
"Andra Mocanu"	"Aleea Nemeș Nr. 473
Gura Humorului, 625616"
"George Manole"	"Aleea Toma Nr. 41 Bl. 68  Sc. 43 Ap. 218
Tarnaveni, 784543"
"Carmen Stancu"	"Drumul Stănescu Nr. 78
Babadag, 258152"
"Fabiana Niță"	"Aleea Ecaterina Voinea Nr. 97
Ruscova, 545603"
"Dina Albu"	"Intrarea Ana Gheorghiu Nr. 421
Techirghiol, 860043"
"Adelina Aanei"	"Drumul Stănescu
Oradea, 880532"
"Eduard Suciu"	"Strada Mirona Niță Nr. 84 Bl. 62  Sc. 67 Ap. 764
Gheorgheni, 299593"
"Răzvan Suciu"	"Soseaua Stoica Nr. 551
Copsa Mica, 616946"
"Laurian Popescu"	"Bulevardul Adi Preda Nr. 548
Titu, 584845"
"Ovidiu Dima"	"Bulevardul Marin Nr. 79 Bl. 36  Sc. 37 Ap. 756
Radauti, 696998"
"Eusebiu Gheorghiu"	"Aleea Stoica
Cisnadie, 252031"
"Anișoara Stan"	"Intrarea Carol Stancu Nr. 195 Bl. 18  Sc. 54 Ap. 913
Fundulea, 702864"
"Milena Dumitrescu"	"Bulevardul Mocanu
Bosanci, 387596"
"Gianina Ionescu"	"Intrarea Dinu
Sibiu, 995173"
"Arsenie Pușcașu"	"Aleea Aida Stancu
Motru, 145873"
"Adi Diaconescu"	"Drumul Suciu
Cisnadie, 211342"
"Didina Pușcașu"	"Bulevardul Oprea Nr. 741 Bl. 89  Sc. 28 Ap. 702
Buzau, 620758"
"Safta Cristea"	"Intrarea Denisa Gheorghiu
Maieru, 617316"
"Dida Stan"	"Intrarea Romeo Eftimie Nr. 48 Bl. 22  Sc. 65 Ap. 140
Jibou, 843893"
"Marilena Voinea"	"Bulevardul Elisaveta Oprea
Diosig, 749747"
"Ștefana Popescu"	"Bulevardul Valeria Pop
Cornetu, 614770"
"Marius Mocanu"	"Soseaua Tomescu Nr. 861 Bl. 24  Sc. 50 Ap. 150
Baciu, 489015"
"Nechifor Popa"	"Soseaua Manole Nemeș Nr. 51 Bl. 63  Sc. 15 Ap. 159
Bals, 927282"
"Sever Mocanu"	"Intrarea Manole Nr. 95
Buhusi, 486663"
"Ioana Dochioiu"	"Soseaua Nistor Nr. 56 Bl. 86  Sc. 56 Ap. 535
Marghita, 385076"
"Adi Marin"	"Drumul Dobre Nr. 190
Targu Jiu, 566493"
"Georgian Dochioiu"	"Aleea Diaconu Nr. 347 Bl. 26  Sc. 47 Ap. 565
Curcani, 193616"
"Silviu Nistor"	"Intrarea Valeria Aanei Nr. 42 Bl. 69  Sc. 56 Ap. 582
Seini, 692405"
"Ioan Tabacu"	"Drumul Sorina Popescu Nr. 66 Bl. 99  Sc. 76 Ap. 311
Lumina, 259218"
"Pleșu Stoica"	"Bulevardul Bogdan Cristea Nr. 527
Baicoi, 125897"
"Ariadna Niță"	"Bulevardul Ene Nr. 65 Bl. 69  Sc. 38 Ap. 248
Ploiesti, 692639"
"Agripina Tabacu"	"Intrarea Dochioiu Nr. 994
Darabani, 821358"
"Marian Marin"	"Soseaua Aanei
Insuratei, 287717"
"Caius Stoica"	"Soseaua Betina Suciu Nr. 314
Ramnicu Sarat, 513096"
"Dalia Niță"	"Intrarea Romina Nistor Nr. 23 Bl. 95  Sc. 68 Ap. 591
Odobesti, 113406"
"Adi Nemeș"	"Aleea Eva Albu Nr. 21
Baia Sprie, 209085"
"Gică Nemeș"	"Soseaua Monica Mocanu Nr. 59 Bl. 52  Sc. 45 Ap. 605
Targu Lapus, 838379"
"Marinela Aanei"	"Soseaua Diaconescu Nr. 63
Sabaoani, 164750"
"Aurel Dumitrescu"	"Soseaua Amalia Dumitrescu Nr. 346
Fundeni, 638941"
"Rica Suciu"	"Drumul Ene
Ocna Mures, 530130"
"Lidia Ionescu"	"Strada Ababei Nr. 59
Tarnaveni, 958426"
"Norica Eftimie"	"Strada Albu Nr. 72 Bl. 48  Sc. 89 Ap. 858
Blaj, 274816"
"Pamela Gheorghiu"	"Drumul Florea Nr. 94
Barlad, 402684"
"Rebeca Ababei"	"Drumul Florea
Roman, 391932"
"Evelina Tomescu"	"Soseaua Georgescu
Maieru, 526624"
"Adi Nistor"	"Bulevardul Dima Nr. 543 Bl. 13  Sc. 68 Ap. 138
Turda, 746272"
"Viorica Diaconescu"	"Soseaua Arsenie Dinu
Brad, 253259"
"Traian Voinea"	"Aleea Ardelean
Gura Humorului, 930255"
"Antonie Cristea"	"Drumul Vasilică Manole Nr. 51 Bl. 13  Sc. 82 Ap. 510
Zimnicea, 274153"
"Nechifor Dochioiu"	"Strada Eftimie Nr. 57 Bl. 46  Sc. 56 Ap. 249
Targu Jiu, 825342"
"Amza Dima"	"Intrarea Avram Dobre Nr. 16
Odobesti, 766250"
"Demetra Preda"	"Strada Elisaveta Voinea Nr. 820
Cristuru Secuiesc, 166609"
"Stan Niță"	"Strada Toma
Ramnicu Valcea, 282498"
"Ovidiu Mazilescu"	"Drumul Voinea Nr. 438 Bl. 27  Sc. 98 Ap. 253
Seini, 771116"
"Lavinia Nemeș"	"Soseaua Daciana Manole
Strehaia, 436507"
"Adi Pop"	"Soseaua Ionescu Nr. 645 Bl. 52  Sc. 33 Ap. 528
Vulcan, 997143"
"Petrică Aanei"	"Strada Dafina Toma
Poiana Mare, 146772"
"Vladimir Barbu"	"Strada Oprea
Strehaia, 354305"
"Marius Diaconu"	"Strada Florea
Onesti, 666229"
"Rebeca Preda"	"Bulevardul Ardelean Nr. 117 Bl. 43  Sc. 20 Ap. 557
Fagaras, 106411"
"Ilona Marin"	"Intrarea Axenia Tudor Nr. 274
Busteni, 973414"
"Henrieta Tabacu"	"Soseaua Mocanu Nr. 799 Bl. 24  Sc. 91 Ap. 969
Santana, 293988"
"Floriana Barbu"	"Soseaua Anica Tomescu
Berceni, 933060"
"Traian Ionescu"	"Drumul Cristea Nr. 433
Modelu, 756652"
"Arian Dochioiu"	"Strada Diaconu Nr. 62
Dabuleni, 844953"
"Adi Stancu"	"Intrarea Alis Stănescu Nr. 727 Bl. 82  Sc. 12 Ap. 530
Schela Cladovei, 615997"
"Carolina Dochioiu"	"Soseaua Diaconu Nr. 61
Bocsa, 863595"
"Codruța Stancu"	"Aleea Diaconescu Nr. 53 Bl. 21  Sc. 71 Ap. 389
Bocsa, 860631"
"Gina Georgescu"	"Strada Dobre Nr. 31 Bl. 13  Sc. 36 Ap. 314
Dragu-Brad, 257399"
"Livia Georgescu"	"Intrarea Steluța Stan
Arad, 694352"
"Gheorghiță Ioniță"	"Bulevardul Stănescu
Galati, 226173"
"Nicu Popescu"	"Intrarea Vasilica Dima Nr. 209 Bl. 29  Sc. 27 Ap. 526
Domnesti, 124867"
"Jan Tomescu"	"Drumul Bucur Ionescu Nr. 54 Bl. 44  Sc. 62 Ap. 868
Jilava, 794990"
"Ștefana Dumitrescu"	"Drumul Zenovia Oprea Nr. 732 Bl. 60  Sc. 79 Ap. 279
Caransebes, 265058"
"Elisaveta Georgescu"	"Strada Albu Nr. 82 Bl. 36  Sc. 65 Ap. 838
Oravita, 317911"
"Adi Tudor"	"Aleea Georgescu Nr. 857
Strehaia, 417520"
"Paul Mazilescu"	"Aleea Mirona Dumitrescu Nr. 912
Urlati, 842749"
"Svetlana Dobre"	"Intrarea Ene Nr. 84 Bl. 37  Sc. 43 Ap. 477
Huedin, 592511"
"Flavia Diaconu"	"Bulevardul Stoica Nr. 85
Savinesti (Poiana Teiului), 996571"
"Ilona Popescu"	"Soseaua Dochioiu Nr. 70 Bl. 96  Sc. 53 Ap. 548
Arbore, 965755"
"Livia Pop"	"Intrarea Suciu Nr. 429 Bl. 85  Sc. 88 Ap. 805
Horodnic de Sus, 622750"
"Zamfira Tudor"	"Intrarea Norica Dinu
Calarasi, 806356"
"Oana Nistor"	"Strada Dochioiu Nr. 905
Mioveni, 936225"
"Tiberiu Stancu"	"Strada Cerasela Eftimie Nr. 716
Cajvana, 883597"
"Semenica Dumitrescu"	"Aleea Anghelina Suciu
Glina, 783954"
"Adina Eftimie"	"Soseaua Iurie Ardelean Nr. 248
Dragalina, 991012"
"Oliviu Manole"	"Intrarea Eftimie Nr. 99
Sangeorgiu de Mures, 744531"
"Constantin Tabacu"	"Aleea Ilona Dochioiu Nr. 736
Titu, 105781"
"Tamara Dochioiu"	"Aleea Georgescu Nr. 72
Corund, 431339"
"Aurelian Diaconu"	"Bulevardul Stoica Nr. 91
Focsani, 532947"
"Adi Barbu"	"Soseaua Ionescu
Vicovu de Jos, 680220"
"Ilarie Dinu"	"Soseaua Dobre Nr. 34 Bl. 62  Sc. 82 Ap. 509
Rodna, 475518"
"Aneta Dochioiu"	"Bulevardul Dinu
Medias, 246340"
"Sever Diaconescu"	"Strada Oprea
Ovidiu, 259994"
"Lică Dumitrescu"	"Drumul Rada Eftimie Nr. 695 Bl. 69  Sc. 66 Ap. 236
Fundulea, 882301"
"Adina Mocanu"	"Drumul Niță
Beius, 961828"
"Augustina Dochioiu"	"Bulevardul Dobre
Glina, 136281"
"Elodia Suciu"	"Soseaua Marin
Alesd, 160144"
"Ramona Stan"	"Drumul Aanei
Targu Frumos, 105510"
"Laurențiu Cristea"	"Intrarea Profira Tomescu Nr. 905
Magurele, 678154"
"Georgia Nistor"	"Intrarea Marin Nr. 453
Targu Frumos, 746477"
"Ana Dochioiu"	"Bulevardul Stoica
Blaj, 873215"
"Daniel Diaconu"	"Strada Jasmina Dochioiu Nr. 397
Tulcea, 142726"
"Sofia Niță"	"Strada Preda
Baia Mare, 654563"
"Antoaneta Gheorghiu"	"Soseaua Dumitrescu Nr. 72
Medias, 721061"
"Adonis Albu"	"Aleea Cristian Albu
Zarnesti, 324730"
"Otilia Eftimie"	"Bulevardul Călin Stancu Nr. 73
Bolintin-Vale, 975236"
"Doina Manole"	"Strada Celia Pop
Ineu, 377799"
"Agripina Suciu"	"Drumul Stănescu Nr. 54
Caracal, 197819"
"Ion Manole"	"Bulevardul Nistor Nr. 141
Iasi, 930256"
"Vladimir Ioniță"	"Soseaua Tabacu Nr. 11
Darabani, 332065"
"Gabi Dochioiu"	"Drumul Ene Nr. 125 Bl. 96  Sc. 48 Ap. 625
Gaesti, 106493"
"Carolina Florea"	"Soseaua Dima Nr. 642 Bl. 65  Sc. 77 Ap. 144
Techirghiol, 443692"
"Arina Manole"	"Strada Adam Ene Nr. 17 Bl. 39  Sc. 78 Ap. 492
Sacele, 946526"
"Antoniu Stancu"	"Intrarea Mazilescu Nr. 62
Carei, 486603"
"Adonis Ene"	"Intrarea Iulia Popa Nr. 889 Bl. 96  Sc. 36 Ap. 384
Floresti, 821674"
"Nicușor Barbu"	"Aleea Paulica Tomescu Nr. 79 Bl. 45  Sc. 18 Ap. 286
Pipera (Voluntari), 850827"
"Ana Manole"	"Intrarea Letiția Albu
Dancu, 499523"
"David Ene"	"Soseaua Nemeș Nr. 381
Cornetu, 278237"
"Maria Oprea"	"Bulevardul Albu Nr. 58 Bl. 95  Sc. 45 Ap. 964
Dragasani, 255523"
"Constanța Ababei"	"Strada Stan
Sebis, 623621"
"Horațiu Stancu"	"Bulevardul Oprea
Popesti-Leordeni, 513723"
"Antonia Georgescu"	"Intrarea Ardelean Nr. 51 Bl. 57  Sc. 60 Ap. 436
Giarmata, 285298"
"Norman Voinea"	"Aleea Eftimie Nr. 22 Bl. 36  Sc. 95 Ap. 103
Avrig, 914614"
"Ruxanda Ardelean"	"Bulevardul Petru Dochioiu Nr. 473
Curcani, 670662"
"Adrian Albu"	"Aleea Dobre
Marasesti, 239596"
"Dragoș Toma"	"Drumul Eustațiu Diaconescu Nr. 437
Boldesti-Scaeni, 389626"
"Suzana Cristea"	"Intrarea Popescu Nr. 11
Botosani, 711753"
"Marcu Mazilescu"	"Strada Beatrice Dima Nr. 60
Matca, 529026"
"Gianina Oprea"	"Intrarea Mazilescu Nr. 39 Bl. 53  Sc. 66 Ap. 227
Vladimirescu, 162280"
"Iustin Cristea"	"Intrarea Dumitrescu Nr. 24 Bl. 21  Sc. 88 Ap. 216
Caracal, 241716"
"Cristea Oprea"	"Aleea Diaconu
Campulung Moldovenesc, 711825"
"Pompilia Georgescu"	"Strada Leordean Nemeș Nr. 147
Agnita, 612224"
"Victoria Mocanu"	"Aleea Stan
Gilau, 838829"
"Aurel Ioniță"	"Soseaua Ionescu Nr. 59 Bl. 54  Sc. 93 Ap. 834
Dumbraveni, 558786"
"Adrian Diaconu"	"Drumul Suciu Nr. 904 Bl. 39  Sc. 78 Ap. 648
Dancu, 168187"
"Andra Dochioiu"	"Intrarea Pop
Sabaoani, 304436"
"Octavian Popescu"	"Strada Eftimie Nr. 181 Bl. 71  Sc. 61 Ap. 776
Satu Mare, 661278"
"Adina Cristea"	"Strada Suciu Nr. 36
Gura Humorului, 925144"
"Felix Nistor"	"Bulevardul Victoria Manole
Carei, 853367"
"Edmond Manole"	"Intrarea Diaconescu Nr. 73
Curcani, 702463"
"Vlaicu Popa"	"Bulevardul Emanoil Stancu
Craiova, 646665"
"Maximilian Dobre"	"Aleea Toma Nr. 96 Bl. 42  Sc. 46 Ap. 248
Marginea, 551096"
"Anișoara Mazilescu"	"Bulevardul Pop
Baia Sprie, 923819"
"Haralamb Tudor"	"Soseaua Ionescu
Buzau, 690381"
"Adriana Cristea"	"Soseaua Nistor Nr. 891
Bistrita, 125203"
"Letiția Tudor"	"Intrarea Ioniță Nr. 44
Teius, 456539"
"Roxelana Florea"	"Drumul Pușcașu Nr. 75
Dej, 881007"
"Haralambie Pop"	"Strada Gianina Pop Nr. 96 Bl. 30  Sc. 54 Ap. 397
Negresti, 272000"
"Dumitru Diaconescu"	"Intrarea Dinu Nr. 156
Drobeta-Turnu Severin, 201963"
"Timotei Marin"	"Strada Teona Marin Nr. 799
Anina, 153605"
"Claudia Stancu"	"Aleea Eva Mocanu
Baia Sprie, 621302"
"Sanda Cristea"	"Drumul Oprea Nr. 57
Targu Ocna, 488642"
"Aristide Stănescu"	"Drumul Ardelean
Vatra Dornei, 370702"
"Ladislau Pușcașu"	"Aleea Oprea Nr. 72 Bl. 93  Sc. 80 Ap. 608
Baicoi, 216562"
"Adriana Oprea"	"Strada Sidonia Nistor Nr. 83
Brad, 715926"
"Florin Dima"	"Aleea Popescu
Cernavoda, 343138"
"Zina Eftimie"	"Aleea Ghenadie Stănescu Nr. 18 Bl. 76  Sc. 11 Ap. 144
Vulcan, 300186"
"Varvara Niță"	"Strada Dobre Nr. 534
Iasi, 814558"
"Cecilia Nemeș"	"Intrarea Monalisa Nistor Nr. 743
Simeria, 962022"
"Costache Ioniță"	"Intrarea Diaconu Nr. 60
Ludus, 851672"
"Matei Nistor"	"Strada Gheorghiu Nr. 21
Valea Caselor (Dragasani), 809841"
"Valeria Marin"	"Drumul Barbu
Targu Mures, 305144"
"Iurie Mazilescu"	"Aleea Dorinel Dima Nr. 98
Victoria, 754448"
"Iuliana Dochioiu"	"Intrarea Stancu Nr. 38 Bl. 62  Sc. 46 Ap. 125
Tasnad, 888203"
"Agata Barbu"	"Aleea Tomescu Nr. 97
Urlati, 210746"
"Nadia Toma"	"Strada Eliana Mazilescu Nr. 517 Bl. 42  Sc. 18 Ap. 347
Medias, 115614"
"Dumitru Nistor"	"Soseaua Eliana Stoica
Hateg, 202123"
"Valentina Nemeș"	"Strada Gheorghiu Nr. 357 Bl. 35  Sc. 64 Ap. 320
Pascani, 461727"
"Vlaicu Stănescu"	"Soseaua Diaconescu Nr. 537
Curtea de Arges, 103121"
"Decebal Ioniță"	"Aleea Dumitrescu Nr. 68 Bl. 76  Sc. 94 Ap. 713
Pogoanele, 254625"
"Iris Gheorghiu"	"Drumul Nistor
Hateg, 696617"
"Ghenadie Preda"	"Bulevardul Stancu Nr. 68
Tulcea, 142381"
"Iosif Voinea"	"Soseaua Voinea Nr. 621
Maieru, 452756"
"Daniel Stan"	"Intrarea Mazilescu Nr. 53 Bl. 63  Sc. 70 Ap. 621
Brasov, 688150"
"Agata Ioniță"	"Aleea Ionescu Nr. 32
Aiud, 819312"
