"Ada Hamerla"	"pl. Świerczewskiego 98
76-081 Bielawa"
"Krystyna Gumienna"	"pl. Władysława Jagiełły 57/47
99-974 Gliwice"
"Sylwia Tomaszkiewicz"	"pl. Narutowicza 992
48-462 Kwidzyn"
"Emil Igras"	"aleja Miłosza 55/25
09-479 Opole"
"Ada Rajchel"	"ul. Jaskółcza 89
02-775 Kraków"
"pan Tymon Chachuła"	"aleja Rynek 81/92
29-683 Opole"
"Julianna Monkiewicz"	"aleja Reja 597
71-738 Bolesławiec"
"Nikodem Bylina"	"ul. Zbożowa 93
34-895 Tarnobrzeg"
"pan Leonard Tadych"	"ul. Poprzeczna 566
55-231 Dzierżoniów"
"Janina Adrian"	"pl. Prusa 025
38-986 Malbork"
"pan Stefan Baster"	"al. Błękitna 11
16-491 Siemianowice Śląskie"
"Tadeusz Kulisz"	"pl. Kraszewskiego 83/02
40-396 Biała Podlaska"
"Sylwia Słobodzian"	"al. Warszawska 97/87
40-645 Siedlce"
"pan Olgierd Ziemann"	"ul. Stycznia 11/76
21-432 Elbląg"
"Ada Rybus"	"plac Powstańców Śląskich 944
52-465 Kędzierzyn-Koźle"
"Mikołaj Przystupa"	"pl. Bema 94
17-158 Luboń"
"Norbert Kosman"	"al. Wiatraczna 210
69-048 Bielsko-Biała"
"Anita Janduła"	"pl. Narutowicza 27/77
77-617 Szczecin"
"Tymoteusz Sztuba"	"ul. Jana Sobieskiego 02
28-811 Mława"
"Maciej Golisz"	"ul. Ludowa 32/69
89-239 Rzeszów"
"Anna Maria Żabierek"	"plac Bolesława Chrobrego 152
23-577 Stalowa Wola"
"Mikołaj Borysiak"	"ulica Szmaragdowa 27
31-163 Bielsk Podlaski"
"Przemysław Ochnik"	"ul. Pułaskiego 55
54-974 Rybnik"
"Ewa Jakimiak"	"aleja Jabłoniowa 238
18-519 Bolesławiec"
"Ada Sarota"	"ulica Bolesława Krzywoustego 259
91-102 Police"
"Jacek Kurczab"	"ul. Tuwima 01
25-600 Kraków"
"Sandra Kostro"	"aleja Podleśna 36
15-011 Kołobrzeg"
"Marcin Kurzydło"	"ulica Sawickiej 07/32
60-239 Zambrów"
"pan Bartek Micał"	"ulica Rubinowa 091
76-993 Dąbrowa Górnicza"
"Melania Salwin"	"aleja Niepodległości 386
66-196 Bytom"
"pani Angelika Kusa"	"pl. Skłodowskiej-Curie 35/48
16-773 Iława"
"Monika Pietrasiak"	"aleja Norwida 78
19-157 Suwałki"
"Eryk Bazyluk"	"pl. Staffa 77
75-045 Bydgoszcz"
"Filip Felisiak"	"ulica Gałczyńskiego 88
04-584 Kościan"
"Ada Szmajda"	"ul. Środkowa 632
63-213 Nowy Targ"
"Anna Maria Piekacz"	"pl. Kusocińskiego 70/05
31-839 Radom"
"Tola Kęsek"	"al. Drzymały 69/56
26-842 Sieradz"
"Oliwier Nurkiewicz"	"ulica Tylna 148
63-826 Sopot"
"Krzysztof Lelito"	"pl. Pułaskiego 24
75-376 Nowy Dwór Mazowiecki"
"Dominik Masiak"	"ulica Waryńskiego 828
98-522 Jelenia Góra"
"Kamil Gniewek"	"pl. Głowackiego 56/09
87-357 Żary"
"Dorota Zachwieja"	"aleja Sawickiej 95/79
47-268 Giżycko"
"pani Kaja Gmurczyk"	"plac Długosza 96
68-935 Kalisz"
"Kornel Białasik"	"pl. Jana 22
95-226 Lubin"
"Ada Ułanowicz"	"plac Armii Krajowej 42
55-358 Wrocław"
"Witold Zaniewicz"	"plac Kossaka 33/96
78-621 Chełm"
"Adrian Reiter"	"al. Cyprysowa 77/10
98-717 Myszków"
"Przemysław Kozok"	"ulica Norwida 10
97-159 Ostrowiec Świętokrzyski"
"Szymon Lica"	"plac Paderewskiego 683
15-483 Kutno"
"pani Liwia Blank"	"plac Stefana Batorego 526
12-284 Czechowice-Dziedzice"
"Eliza Bazela"	"aleja Lwowska 77
64-854 Tarnowskie Góry"
"Roksana Rycerz"	"plac Moniuszki 725
41-135 Białystok"
"Krzysztof Hartman"	"ulica Powstańców Wielkopolskich 79/00
68-491 Pruszcz Gdański"
"Grzegorz Kopyt"	"aleja Brzechwy 818
77-609 Łódź"
"Ada Ważna"	"aleja Turkusowa 83/97
72-395 Zgierz"
"Rozalia Miękus"	"ulica Maja 955
89-394 Toruń"
"Julianna Matyszczak"	"plac Staszica 507
46-747 Legnica"
"pan Albert Sudak"	"pl. Słowicza 02
81-913 Żary"
"pani Natasza Duszczak"	"plac Stefana Batorego 29
06-249 Krosno"
"pani Gaja Kierepka"	"ul. Wojciecha 29/10
78-125 Gdynia"
"Kacper Feliksiak"	"ul. Żabia 35/71
40-855 Żagań"
"pani Bianka Walus"	"al. Kosynierów 28/66
16-495 Katowice"
"Bruno Serwa"	"pl. Szarych Szeregów 73/77
66-095 Płońsk"
"pani Kamila Kornet"	"pl. Listopada 276
71-220 Lublin"
"Ada Zdonek"	"al. Działkowa 86
10-818 Olkusz"
"pani Blanka Kopyt"	"aleja Wilcza 73
22-321 Ostrowiec Świętokrzyski"
"Norbert Kaczan"	"ul. Szymanowskiego 346
31-483 Zduńska Wola"
"pan Dariusz Koperek"	"aleja Listopada 52
49-501 Koszalin"
"Tomasz Kruszka"	"al. Sikorskiego 470
94-301 Zambrów"
"pan Albert Minkina"	"aleja Wiślana 96/33
25-426 Bytom"
"pan Piotr Kaźmierczyk"	"ul. Konstytucji 3 Maja 92
22-525 Łuków"
"Kazimierz Kałek"	"pl. Staffa 46/16
06-392 Pruszcz Gdański"
"Melania Kołpak"	"pl. Kusocińskiego 38/93
45-585 Tomaszów Mazowiecki"
"Marika Cydzik"	"ulica Starowiejska 131
24-672 Kędzierzyn-Koźle"
"Adam Cherek"	"plac Miłosza 75
32-888 Ruda Śląska"
"Julita Księżyk"	"aleja Krańcowa 97/73
18-313 Inowrocław"
"Adrian Budner"	"al. Jaworowa 59
23-542 Puławy"
"Eliza Gmur"	"al. Podwale 735
87-431 Chorzów"
"Róża Margol"	"plac Floriana 46/37
80-453 Częstochowa"
"Kamil Uryga"	"aleja Torowa 15/82
54-511 Bytom"
"Dominik Mendak"	"al. Kowalska 87
09-695 Bydgoszcz"
"Marcel Ciepła"	"ulica Lipca 021
86-863 Siedlce"
"Liwia Winnik"	"ulica Drzymały 791
80-287 Nysa"
"pan Kornel Habdas"	"ul. Dąbrowskiej 41
35-043 Zamość"
"Adam Doroz"	"pl. Władysława Łokietka 06/32
75-760 Marki"
"pan Hubert Podgórny"	"plac Makuszyńskiego 88/25
90-387 Ostrów Wielkopolski"
"Kacper Powierża"	"pl. Popiełuszki 30
77-829 Ząbki"
"Wiktor Kusik"	"al. Powstańców 09
97-595 Zabrze"
"Marek Bik"	"aleja Mickiewicza 411
37-623 Skierniewice"
"Mateusz Żymełka"	"ulica Zbożowa 71/86
25-642 Bełchatów"
"Malwina Szymula"	"pl. Grottgera 55
92-860 Toruń"
"Józef Słaba"	"pl. Jadwigi 00
68-139 Bełchatów"
"Blanka Pasierbek"	"plac Waryńskiego 219
83-923 Chojnice"
"Sylwia Feliksiak"	"pl. Plater 64/68
38-002 Wałcz"
"Adam Dubis"	"ulica Daszyńskiego 60/96
67-197 Głogów"
"pani Ewa Roś"	"plac Broniewskiego 544
60-190 Zgorzelec"
"Dawid Opas"	"ulica Młynarska 04
64-704 Skierniewice"
"pan Olgierd Potyrała"	"ul. Listopada 57/84
49-584 Krotoszyn"
"Dominik Wojtarowicz"	"aleja Słowackiego 362
97-085 Nowa Sól"
"Lidia Strzelczak"	"aleja Makuszyńskiego 53
30-366 Polkowice"
"Monika Józwik"	"plac Kosynierów 410
62-226 Grodzisk Mazowiecki"
"Kacper Mateusiak"	"ulica Szarych Szeregów 74/28
48-480 Bytom"
"Olgierd Karsznia"	"ul. Kościuszki 64/63
79-196 Kraków"
"pani Anastazja Wójcikiewicz"	"ulica Żabia 56
98-719 Iława"
"Adam Fita"	"plac Świerczewskiego 89/13
48-008 Tczew"
"Iwo Cłapa"	"pl. Wyszyńskiego 910
09-283 Śrem"
"pan Dominik Twardosz"	"aleja Morelowa 141
91-804 Ostrów Mazowiecka"
"Cezary Mydlarz"	"plac Kopernika 074
72-653 Zgorzelec"
"Eryk Giers"	"ulica Baczyńskiego 986
63-050 Świętochłowice"
"Marika Potyrała"	"al. Kasprowicza 11
68-387 Otwock"
"Stefan Karkut"	"pl. Armii Krajowej 496
43-420 Lubartów"
"Tymoteusz Dziechciarz"	"aleja Jesienna 742
17-457 Nysa"
"Marcelina Nieradko"	"ul. Tysiąclecia 53
05-790 Bochnia"
"pani Ida Smorąg"	"ulica Prosta 387
37-967 Kraków"
"Adam Indyka"	"plac Kosynierów 04
36-114 Kalisz"
"Dominik Gałaj"	"aleja Pułaskiego 00/64
27-365 Tarnowskie Góry"
"pan Emil Mierzwiak"	"aleja Konopnickiej 47/48
23-919 Rybnik"
"Nela Gustaw"	"pl. Solidarności 977
77-485 Łuków"
"Nicole Bubak"	"aleja Broniewskiego 233
98-953 Jelenia Góra"
"pani Anna Maria Mateusiak"	"al. Wałowa 53
12-937 Olsztyn"
"Julian Hojda"	"plac Bema 15
26-402 Koło"
"Olga Machoń"	"al. Żytnia 027
03-518 Głogów"
"pani Kamila Sobieszczyk"	"al. Okrężna 432
07-192 Nysa"
"pan Gabriel Sławik"	"al. Reja 009
03-005 Bielsko-Biała"
"Adam Parda"	"aleja Torowa 05/28
16-855 Mikołów"
"pan Maks Jakiel"	"ulica Bankowa 93/38
55-983 Żagań"
"Olga Laszuk"	"aleja Tęczowa 051
98-878 Zamość"
"Jan Komsta"	"ul. Odrzańska 605
93-108 Pruszcz Gdański"
"pani Tola Bienia"	"aleja Głowackiego 10
53-224 Środa Wielkopolska"
"Olgierd Paczos"	"pl. Kosynierów 447
56-328 Lublin"
"pani Bianka Kuryś"	"aleja Sucharskiego 30/48
42-213 Białystok"
"Blanka Steciuk"	"ulica Bursztynowa 50/49
11-639 Chełm"
"pan Stanisław Fuławka"	"plac Czarnieckiego 03/73
26-657 Nysa"
"Rozalia Milczarczyk"	"aleja Wiatraczna 40/80
62-592 Piaseczno"
"Adam Parkitna"	"al. Rolna 07
15-330 Jarocin"
"Tobiasz Mojsa"	"plac Mickiewicza 108
48-080 Radomsko"
"Ryszard Zbroja"	"al. Grottgera 65/24
15-127 Pruszcz Gdański"
"Jan Pazera"	"pl. Makuszyńskiego 308
18-279 Zielona Góra"
"Ada Dziadowicz"	"aleja Chopina 48
45-009 Elbląg"
"Jan Bugno"	"aleja Toruńska 30
61-514 Leszno"
"Artur Trzop"	"al. Działkowa 71/43
09-886 Reda"
"Melania Zaucha"	"plac Powstańców Wielkopolskich 290
54-498 Toruń"
"Natasza Miszkiewicz"	"al. Listopada 92/18
58-371 Sosnowiec"
"pani Blanka Kurtyka"	"ulica Towarowa 07/80
57-488 Olkusz"
"Adam Piaścik"	"al. Andersa 55
49-950 Nowy Dwór Mazowiecki"
"pan Mikołaj Migała"	"al. Wiśniowa 87/91
36-808 Łuków"
"Ida Stojak"	"pl. Niepodległości 26/29
81-993 Sopot"
"Gustaw Mrotek"	"pl. Staffa 448
77-250 Knurów"
"pani Olga Ograbek"	"ul. Wojciecha 65/18
85-446 Wejherowo"
"Cezary Mol"	"ulica Kołłątaja 66/38
12-289 Świecie"
"Marianna Hasiak"	"aleja Kusocińskiego 036
99-389 Piekary Śląskie"
"pan Franciszek Baumgart"	"aleja Widok 68
13-343 Gniezno"
"Robert Nesterowicz"	"ul. Pułaskiego 696
30-781 Turek"
"Malwina Pałac"	"al. Asnyka 42
65-530 Lubartów"
"Adam Pędzik"	"ul. Porzeczkowa 180
31-798 Świdnica"
"Sylwia Rubaj"	"ulica Nałkowskiej 015
60-731 Tychy"
"Karina Nieborak"	"ulica Głogowa 082
66-069 Inowrocław"
"Tymon Sieczko"	"pl. Listopada 94/51
15-124 Oleśnica"
"Tomasz Uss"	"plac Batalionów Chłopskich 25
49-635 Legnica"
"Mateusz Durlak"	"ul. Górna 05
67-696 Kraków"
"Oliwier Puto"	"al. Podmiejska 02/12
08-336 Siemianowice Śląskie"
"pan Błażej Durczok"	"aleja Żwirki i Wigury 633
36-839 Zambrów"
"pan Mariusz Skiepko"	"aleja Spacerowa 240
53-615 Bielsko-Biała"
"Cyprian Uryga"	"aleja Miarki 42
49-486 Szczecinek"
"Adam Rosada"	"plac Grottgera 019
47-257 Piekary Śląskie"
"Karina Kutera"	"plac Maja 08/80
98-668 Świebodzice"
"Marcel Różak"	"pl. Asnyka 692
75-390 Nowy Sącz"
"Antoni Burdach"	"ulica Towarowa 88/85
22-612 Jawor"
"Kajetan Glegoła"	"al. Sienkiewicza 50/21
37-511 Knurów"
"Julita Kurbiel"	"aleja Batalionów Chłopskich 50
40-548 Lubliniec"
"pani Bianka Nędzi"	"pl. Armii Krajowej 82
35-782 Pruszków"
"pan Eryk Peszko"	"ulica Sucharskiego 09
08-265 Kędzierzyn-Koźle"
"Kalina Kaszkowiak"	"aleja Głogowa 85
30-386 Rybnik"
"Wojciech Dębosz"	"aleja Borowa 288
76-383 Legnica"
"Adam Sanetra"	"pl. Stefana Batorego 67
03-718 Radomsko"
"Urszula Szczepan"	"ulica Ściegiennego 08
95-062 Gdańsk"
"Julianna Durma"	"ul. Korfantego 564
46-516 Świętochłowice"
"Kazimierz Andrukiewicz"	"pl. Prusa 012
95-524 Knurów"
"Antoni Kłosowicz"	"ulica Daszyńskiego 35
41-115 Iława"
"Agnieszka Ryndak"	"ul. Kilińskiego 79
23-493 Zduńska Wola"
"Natan Kajdan"	"plac Rejtana 959
84-185 Iława"
"Jerzy Henke"	"ulica Mała 154
76-019 Mielec"
"Tola Araszkiewicz"	"plac Kraszewskiego 47
72-404 Kędzierzyn-Koźle"
"Malwina Wisła"	"ulica Głowackiego 223
43-873 Czerwionka-Leszczyny"
"Adam Sapała"	"al. Malinowa 736
67-776 Mysłowice"
"Malwina Tutka"	"ul. Ceglana 12
43-316 Lębork"
"Sebastian Strojna"	"al. Zielna 53
67-045 Marki"
"Błażej Matejczyk"	"al. Letniskowa 70
07-914 Ostrów Wielkopolski"
"pan Oliwier Prochownik"	"ulica Nowa 263
75-904 Radom"
"Franciszek Madzia"	"al. Wolności 07
65-288 Nowy Sącz"
"Fabian Wlizło"	"aleja Górnicza 60/07
92-075 Wałcz"
"Mariusz Kudłacik"	"aleja Wiązowa 451
51-157 Mysłowice"
"Fabian Skalik"	"aleja Krótka 779
14-858 Katowice"
"Aurelia Małycha"	"plac Malczewskiego 66
98-224 Wodzisław Śląski"
"Adam Tadeusiak"	"plac Mickiewicza 810
16-241 Świdnica"
"Dawid Flasza"	"al. Głowackiego 63/65
23-983 Ciechanów"
"Kamila Domżał"	"ul. Zielna 95/47
65-881 Lubliniec"
"Klara Parkitna"	"ulica Żurawia 48/14
26-038 Nysa"
"Kamil Szlachcic"	"ulica Wysoka 478
36-993 Gorlice"
"Piotr Smolec"	"plac Lelewela 38
31-991 Płock"
"Kornelia Duszczak"	"al. Czereśniowa 39/06
40-462 Białogard"
"Bruno Andrearczyk"	"plac Powstańców Śląskich 064
09-749 Świecie"
"Sandra Rutowicz"	"pl. Sucharskiego 18/99
86-019 Zabrze"
"Jeremi Ułanowicz"	"pl. Konarskiego 807
43-741 Pszczyna"
"Adam Wojtyś"	"aleja Głogowa 69/78
58-383 Kwidzyn"
"Monika Słowiak"	"plac Skargi 815
80-862 Świdnica"
"pani Sandra Stojak"	"ulica Zakole 997
66-801 Turek"
"Kornel Lepianka"	"ul. Sienkiewicza 81
58-774 Oleśnica"
"Julianna Margas"	"ulica Moniuszki 222
41-146 Stargard Szczeciński"
"Filip Sobolak"	"ul. Akacjowa 52/23
12-621 Olsztyn"
"pan Mateusz Zacharczuk"	"pl. Maja 761
86-255 Lubin"
"Ignacy Olszyna"	"ul. Tysiąclecia 727
33-033 Elbląg"
"Alan Janczarek"	"ul. Zachodnia 09
65-428 Gorlice"
"Rozalia Obarzanek"	"plac Czarnieckiego 25/74
78-634 Wałcz"
"Adam Wołodźko"	"al. Piłsudskiego 333
86-170 Lubartów"
"pani Urszula Szuta"	"al. Słonecznikowa 205
92-050 Bolesławiec"
"Aleksander Boryczko"	"al. Piastowska 10
53-392 Sieradz"
"Marcin Fronczek"	"al. Wspólna 68/00
71-955 Płock"
"Klara Bacia"	"ulica Drzymały 534
54-737 Zgierz"
"Klara Wawrzyczek"	"pl. Władysława Łokietka 387
25-134 Zabrze"
"pani Sonia Woszczak"	"al. Kusocińskiego 46/45
07-549 Kłodzko"
"pani Sandra Bakalarczyk"	"ulica Harcerska 44
09-405 Oleśnica"
"Sara Oleksak"	"al. Maczka 53/91
99-897 Iława"
"pan Leonard Kasperczak"	"pl. Malczewskiego 494
27-754 Otwock"
"Adrian Bienia"	"al. Glówna 421
84-246 Świecie"
"Tola Mszyca"	"ul. Szarych Szeregów 980
21-846 Chojnice"
"Jan Kniaź"	"aleja Sikorskiego 45/89
66-227 Lublin"
"Hubert Borzych"	"al. Orkana 585
62-660 Łaziska Górne"
"pani Kaja Działa"	"pl. Listopada 94/02
70-580 Kołobrzeg"
"Anna Maria Grzelec"	"ulica Batalionów Chłopskich 73
59-791 Świebodzice"
"Antoni Wyroba"	"al. Czarnieckiego 70/58
49-251 Augustów"
"Rozalia Rębiś"	"ul. Źródlana 23/63
01-029 Szczecin"
"Przemysław Bruś"	"plac Jana Pawła II 88
91-371 Bartoszyce"
"Tymoteusz Kosak"	"plac Korczaka 936
92-938 Bydgoszcz"
"Adrian Heba"	"aleja Czarnieckiego 666
83-109 Łuków"
"Ada Burzec"	"ulica Wiosenna 240
16-865 Mińsk Mazowiecki"
"Krystian Rosłoń"	"aleja Olchowa 527
53-403 Czerwionka-Leszczyny"
"Kamila Pacewicz"	"plac Krasińskiego 29/21
61-848 Płońsk"
"Natasza Tekiela"	"pl. Krasickiego 14
33-844 Gorlice"
"pani Janina Garncarek"	"ulica Maja 567
39-537 Pruszcz Gdański"
"Jeremi Stępak"	"aleja Nałkowskiej 80
12-054 Jelenia Góra"
"Julianna Kyc"	"plac Drzymały 881
40-265 Pabianice"
"Cezary Szczap"	"ulica Lelewela 718
21-492 Opole"
"pan Nikodem Rajman"	"ul. Jarzębinowa 28
18-116 Wołomin"
"Adrian Jewuła"	"al. Krakowska 89/59
05-833 Kłodzko"
"Kamil Matejuk"	"ulica Partyzantów 885
90-096 Świnoujście"
"Łukasz Piaścik"	"aleja Targowa 31/26
04-078 Zabrze"
"Ignacy Kupidura"	"aleja Czereśniowa 34/28
91-527 Zakopane"
"Kaja Mydlarz"	"ul. Popiełuszki 679
93-666 Pruszków"
"Tobiasz Maraszek"	"al. Orzechowa 03
44-407 Nysa"
"Tomasz Zarzeczna"	"al. Moniuszki 207
39-761 Żyrardów"
"pan Filip Buszta"	"pl. Armii Krajowej 092
70-768 Augustów"
"Sara Szywała"	"ulica Łanowa 03/51
03-753 Tychy"
"Kamil Organiściak"	"al. Asnyka 62/12
85-994 Jarosław"
"Adrian Kalisiak"	"pl. Rynek 81
38-828 Ostrów Mazowiecka"
"Liwia Neugebauer"	"pl. Baczyńskiego 71
57-963 Piotrków Trybunalski"
"Witold Zimniak"	"pl. Kopernika 215
52-092 Tarnowskie Góry"
"Natan Mordak"	"aleja Morcinka 661
41-091 Ostrów Wielkopolski"
"Artur Bak"	"aleja Korfantego 98/70
19-444 Stargard Szczeciński"
"pani Aurelia Bartoszak"	"aleja Pałacowa 21
07-187 Skierniewice"
"Fabian Zdziech"	"ulica Podleśna 32/17
05-856 Ostróda"
"Kornel Cogiel"	"plac Norwida 153
21-054 Dzierżoniów"
"Łukasz Lepianka"	"pl. Kochanowskiego 925
72-699 Sanok"
"Antoni Mszyca"	"plac Wojska Polskiego 39/96
34-350 Przemyśl"
"Adrian Majerczyk"	"pl. Kopernika 49/47
65-365 Słupsk"
"Dariusz Jarmużek"	"ulica Perłowa 65/54
73-930 Pruszków"
"Lidia Stanaszek"	"ulica Gałczyńskiego 665
39-195 Skawina"
"Kaja Bąkiewicz"	"ulica Plater 46
48-783 Zgierz"
"Albert Anders"	"plac Reja 884
88-832 Szczecin"
"Karina Tryka"	"ulica Kowalska 570
09-714 Kościerzyna"
"Maksymilian Kojder"	"plac Jana III Sobieskiego 56/90
56-840 Kutno"
"Maciej Kroll"	"ulica Sucharskiego 79/54
25-032 Tarnobrzeg"
"Józef Dyja"	"pl. Szymanowskiego 36/32
89-494 Czeladź"
"Anastazja Sładek"	"ulica Pałacowa 05
05-795 Kwidzyn"
"Adrian Stożek"	"aleja Pałacowa 028
55-152 Cieszyn"
"Gabriel Szaruga"	"ul. Dąbrowskiej 320
11-122 Dzierżoniów"
"pani Anastazja Kanik"	"ul. Kopernika 31/64
07-512 Jawor"
"Andrzej Troć"	"aleja Słowicza 783
58-829 Ostrów Wielkopolski"
"Kamila Karwan"	"ul. Konarskiego 26
92-517 Leszno"
"Melania Szyba"	"ul. Miłosza 05
88-235 Nowy Dwór Mazowiecki"
"Konrad Miszta"	"plac Moniuszki 98
50-837 Poznań"
"Ada Gregorowicz"	"aleja Kilińskiego 94
12-476 Nowy Sącz"
"pani Adrianna Siciarz"	"al. Partyzantów 91/74
45-385 Zambrów"
"Aleks Jachimczak"	"pl. Waryńskiego 707
80-469 Wrocław"
"Adrian Szumny"	"ul. Letnia 825
41-036 Nysa"
"Eliza Szyc"	"ul. Bolesława Krzywoustego 62
46-042 Bielsko-Biała"
"Jeremi Tuzimek"	"aleja Daleka 211
81-870 Jarocin"
"Mikołaj Dudczak"	"al. Traugutta 72
85-541 Łaziska Górne"
"Nela Morys"	"plac Skargi 43/63
21-308 Żary"
"Wojciech Grzebyk"	"pl. Grottgera 978
40-262 Piła"
"Patryk Gumieniak"	"aleja Rzeczna 542
28-568 Opole"
"Jakub Hojka"	"al. Wierzbowa 51
27-314 Kalisz"
"Ada Patalas"	"plac Narutowicza 202
66-739 Żory"
"Nela Soczówka"	"al. Kwiatowa 35
23-391 Warszawa"
"Adrianna Bodek"	"pl. Prusa 94
64-645 Nowy Targ"
"pani Klara Lizoń"	"ul. Kościuszki 18
43-651 Gniezno"
"Mateusz Pych"	"ulica Brzechwy 72
97-407 Dzierżoniów"
"Stanisław Szmurło"	"pl. Kilińskiego 023
91-755 Piekary Śląskie"
"Anita Nałęcz"	"ulica Częstochowska 44/49
74-397 Śrem"
"Jędrzej Kopyto"	"pl. Kościuszki 73/59
52-343 Tczew"
"pani Kalina Helak"	"pl. Rynek 265
92-120 Pruszcz Gdański"
"pan Ignacy Włodyka"	"pl. Bolesława Chrobrego 43/42
58-316 Bolesławiec"
"Bruno Bas"	"aleja Przemysłowa 303
28-655 Grodzisk Mazowiecki"
"Kaja Czuj"	"ulica Skłodowskiej-Curie 02/89
92-656 Ruda Śląska"
"Adrianna Bryndza"	"aleja Zwycięstwa 04/94
53-384 Opole"
"Bruno Frelich"	"ulica Reja 00/53
42-291 Jarocin"
"Piotr Woda"	"al. Plater 16
79-139 Łomża"
"Dawid Maruszczak"	"pl. Słowackiego 81/43
77-527 Warszawa"
"Maks Kremer"	"pl. Norwida 62
49-009 Lublin"
"Robert Wasyluk"	"ul. Skłodowskiej-Curie 03/29
09-123 Olkusz"
"pan Albert Amanowicz"	"aleja Poprzeczna 286
05-621 Mielec"
"Mariusz Skonieczka"	"ul. Konstytucji 3 Maja 21
60-021 Kalisz"
"Sara Rapa"	"plac Ściegiennego 778
40-025 Brzeg"
"Kajetan Boba"	"ul. Górska 12
82-842 Otwock"
"Adrianna Bubel"	"aleja Irysowa 41/83
72-758 Żywiec"
"pan Marcel Siedlaczek"	"aleja Tysiąclecia 562
18-268 Poznań"
"Janina Michnowicz"	"pl. Jana III Sobieskiego 68
74-264 Piekary Śląskie"
"Justyna Ochal"	"ulica Matejki 10
85-950 Koło"
"Mateusz Kargol"	"pl. Niepodległości 029
69-482 Mława"
"Nela Pytlarz"	"aleja Bema 04
78-650 Żywiec"
"Andrzej Mirga"	"pl. Wróblewskiego 570
63-694 Pabianice"
"Daniel Elias"	"pl. Głowackiego 88
25-871 Biała Podlaska"
"Miłosz Majzner"	"plac Konstytucji 3 Maja 552
69-072 Lubin"
"Błażej Jarczyk"	"plac Kusocińskiego 90/70
79-566 Lublin"
"Adrianna Dulik"	"al. Kołłątaja 755
59-802 Giżycko"
"Julianna Uzar"	"ul. Konstytucji 3 Maja 770
54-783 Toruń"
"Olaf Ryfa"	"ulica Boczna 298
17-485 Świętochłowice"
"Damian Szkatuła"	"ul. Kusocińskiego 605
41-012 Łomża"
"Karina Kręcisz"	"al. Poziomkowa 48/59
06-769 Łaziska Górne"
"Marek Ciapa"	"plac Słowackiego 766
05-193 Bielsk Podlaski"
"Bianka Sprawka"	"pl. Sienkiewicza 430
63-013 Mława"
"Blanka Abramczuk"	"plac Ściegiennego 354
01-716 Tarnowskie Góry"
