"A. Fehér Gábor","Kereszthidai utca 215.
H-1269 Dunakeszi"
"Balog Erzsébet Erzsébet","Hódmezővásárhelyi utca 103.
H-6131 Salgótarján"
"Szekeres Éva","Töröktapolcai út 91.
H-5288 Ózd"
"Dr. Lakatos Gábor László","Szombathelyi utca 5.
H-2292 Nyírligetvárad"
"Halász G. Beatrix","Ligetnádasdi tér 241.
H-2564 Magyarfürdőfa"
"Németh Péter Norbert","Mellékkőrösi utca 38.
H-6404 Váchetvenberény"
"Dr. Tóth Pálné","Drávaháti utca 208.
H-1916 Nyékmindszentfalu"
"Varga Ádám","Kossuth utca 115.
H-6939 Nyékkeresztapáti"
"A. Lakatos Csaba","Hídfai út 184.
H-7902 Alsóháza"
"Nagy János Győző","Veszprémi út 201.
H-8622 Egyházastóthida"
"Dr. Horváth Váradi László","Kecskeméti utca 120.
H-5887 Kecskemét"
"Soós Á. László","Töröktapolcai utca 69.
H-3344 Pusztaháthalas"
"Dr. Tóthné Varga Mónika","Budapesti tér 236.
H-6647 Mátramártondevecser"
"Dr. Feketené Farkas Mónika","Szerbmelléki út 52.
H-9469 Tiszahídvárad"
"Dr. Tóthné Balázs Magdolna Kinga","Veszprémi utca 138.
H-1738 Hetvenapáti"
"B. Varga Iván","Mártonapátii utca 123.
H-4155 Budahídfalva"
"Dr. Gulyás Ilona","Bácshídi tér 136.
H-8241 Dunaújváros"
"Dr. Nagy Tóth Gábor","Mellékberényi utca 69.
H-7639 Dunakeszi"
"A. Molnár Zsuzsanna","Magyarfürdői utca 58.
H-6650 Bácsmindszentkövesd"
"Törökné Dr. Nagy Edit","Egeri utca 92.
H-9552 Háthalas"
"Tóth Tóth Viktória","Fürdőhidai utca 157.
H-8455 Kisligetdevecser"
"Oláh I. Milán","Hátnémetii utca 92.
H-6947 Győr"
"Dr. Pappné Kiss Ildikó","Hátfalui utca 83.
H-2737 Békéscsaba"
"Nagyné Dr. Tóth Edit","Tapolcavárosi utca 194.
H-2003 Budapest"
"Dr. E. Papp Eszter","Budapesti utca 147.
H-8784 Kismártonvárad"
"Dr. Baloghné Orbán Margit","Ady endre tér 3.
H-8262 Alsótótberény"
"Szabó Erzsébet Zsuzsanna","Petőfi utca 125.
H-9282 Dunakeszi"
"Fazekas Sándorné","Szolnoki út 98.
H-4758 Tapolcahida"
"A. Nagy Ildikó","Györgykőrösi utca 208.
H-5473 Györgyváros"
"A. Molnár Zsuzsanna","Mezőhetveni tér 110.
H-5590 Keresztháza"
"Dr. Gálné Takács Rita","Soproni utca 12.
H-8818 Bakonytótvárad"
"N. Tóth Zoltán","Tótberényi utca 103.
H-3614 Hódmezővásárhely"
"Szabó László","Zalaegerszegi utca 51.
H-2751 Salgótarján"
"Horváth S. Ferenc","Györgyfalvai utca 223.
H-5113 Mindszentfa"
"M. Novák Bálint","Németligeti utca 144.
H-2070 Székhalas"
"I. Lukács Rozália","Drávatamásii utca 184.
H-4273 Nyírkeresztvég"
"Tóthné Dr. Kovács Lilla","Soproni utca 43.
H-2582 Kaposvár"
"I. Németh Nándor","József attila utca 19.
H-7454 Hídnémeti"
"A. Németh Szilvia","Keresztkövesdi utca 46.
H-6394 Mindszentvár"
"Orsós Martinné","Németkereszti utca 104.
H-1672 Kaposvár"
"Pataki Jánosné","Vári utca 25.
H-1876 Hetvendevecser"
"Horváthné Dr. Nagy Erzsébet Szilvia","Kossuth utca 154.
H-6015 Fürdővár"
"Dr. Kovács Bencené Csonka Erzsébet","Kossuth utca 172.
H-1047 Nyékmindszentvár"
"Dr. Tóth Ágnes Petra","Tóthalasi utca 198.
H-6778 Sopron"
"Mészárosné Szilágyi Borbála","Pusztamelléki utca 128.
H-3898 Dunakeszi"
"Bálintné Szabó Mónika","Szolnoki utca 1.
H-8961 Mellékdevecser"
"Farkas Illés János","Bácstapolcai út 143.
H-3273 Székbánya"
"Bakos L. Dezső","Mátramelléki utca 198.
H-6165 Ligetberény"
"A. Németh Zsolt","Kossuth utca 53.
H-1459 Tatabánya"
"Dudás Anna","Egeri utca 95.
H-7305 Székdevecser"
"I. Kiss Árpád","Kossuth út 192.
H-7440 Pécs"
"Dr. Varga Viktória Margit","Szigetszentmiklósi utca 17.
H-2012 Debrecen"
"Kiss Anikó Anna","Nyíregyházai tér 119.
H-9938 Kaposvár"
"Tóth Katalin Alexandra","Nádasdi utca 35.
H-4157 Mindszentháza"
"Dr. Z. Pásztor Gizella","Fürdőfalui tér 27.
H-4439 Ózd"
"Dr. Jónás Varga János","Felsőháti utca 248.
H-6497 Budamindszentfalu"
"Kovács Laura","Arany jános út 135.
H-1246 Fürdőkövesd"
"Dr. M. Szabó Tamás","Hídvári utca 133.
H-3635 Hódmezővásárhely"
"A. Pap Alexandra","Hátvégi utca 110.
H-4320 Mezőgyörgyfa"
"Prof. Dr. Virág Bendegúzné","Pilismártoni utca 109.
H-3260 Miskolc"
"Tamás Fodor Gabriella","Pusztahetveni utca 249.
H-3372 Vár"
"Dr. Juhász Bernadett Éva","Arany jános utca 51.
H-6076 Nyírligetapáti"
"Dr. Oláhné Szabó Noémi Éva","Érdi utca 42.
H-9035 Mártonhida"
"Dr. Kovácsné Balázs Adrienn","Fürdődevecseri utca 81.
H-1577 Zalaegerszeg"
"Kovácsné Dr. Horváth Magdolna","Nagytóti utca 14.
H-8711 Mellékhalas"
"Németh Z. Ilona","Ligetvári utca 185.
H-8659 Némettótvár"
"Lakatos Anita Katalin","Mártonhidai utca 157.
H-2958 Somogykeresztkövesd"
"Szekeres N. Gyula","Petőfi utca 210.
H-7571 Tamásifalu"
"Antal Barta Dániel","Hídhalasi utca 155.
H-6815 Mártonharaszti"
"Dr. Papp Anita","Mellékházai tér 80.
H-4229 Ligetberény"
"Máté Nagy Edit","Hódmezővásárhelyi út 154.
H-2245 Szerbligetkőrös"
"M. Somogyi Zsolt","Kunmártoni utca 34.
H-1829 Pusztakeresztdevecser"
"Dr. Szalai Zalán Dániel","Székesfehérvári utca 29.
H-9611 Győr"
"Tóthné Szabó Anna Györgyi","Arany jános tér 185.
H-6756 Györgydevecser"
"Tóth Lajosné Hegedűs Csilla","Székesfehérvári utca 64.
H-5053 Debrecen"
"Nagyné Fehér Zsófia","Petőfi utca 42.
H-5124 Kecskemét"
"Balogh Gyulané","Dózsa györgy utca 9.
H-2958 Szigetszentmiklós"
"Faragó Ottóné","Híddevecseri utca 208.
H-4087 Békéshetvennádasd"
"Antal Bendegúz János","Petőfi sándor utca 83.
H-1331 Tótnémeti"
"Szabó Á. István","Budapesti utca 77.
H-9211 Kecskemét"
"Molnár Sándorné","Nyéktamásii út 70.
H-1692 Somogyváros"
"Kovács Gyöngyi","Ózdi út 173.
H-2286 Ózd"
"Varga Tóth Dorina","József attila utca 58.
H-6227 Baja"
"Dr. Tóth Terézia Fanni","Tótvárai utca 143.
H-2470 Tamásibánya"
"Sándorné Dr. Farkas Rozália","Kunligeti tér 163.
H-2819 Némethátnádasd"
"Nagy M. Hajnalka","Nagykanizsai tér 111.
H-6501 Tapolcafa"
"Simon Balogh Sándor","Béke út 226.
H-3720 Salgótarján"
"Dr. A. Nagy Erzsébet","Mátratóti utca 182.
H-1843 Tiszamellékhalas"
"Antal Csilla","Tiszatapolcai utca 166.
H-5193 Keresztnádasd"
"Varga Renáta Éva","Szabadság tér 156.
H-5118 Nagykanizsa"
"Juhász Ferencné Horváth Éva","Széknémetii utca 40.
H-9073 Tapolcaberény"
"Dr. Orosz Varga Lajos","Németmindszenti utca 70.
H-6615 Pilishetvenapáti"
"Prof. Dr. Halászné Sándor Ilona Ibolya","Dózsa györgy utca 182.
H-2498 Váctapolcaháza"
"Dr. Molnár Zoltán","Ady endre utca 223.
H-9368 Miskolc"
"Dr. Lukács Bálintné","Kossuth utca 93.
H-4277 Alsótamásifalva"
"Dr. László Szabolcs Dezső","Mindszentnádasdi utca 144.
H-3984 Vác"
"Dr. Novák Tóth Emese","Szolnoki tér 138.
H-2791 Mosonmindszentváros"
"Fülöp Zsuzsanna","Hátdevecseri utca 157.
H-9660 Sopron"
"Antal Dominikné","Tapolcanádasdi utca 220.
H-4073 Ligetvég"
"P. Kovács Lajos","Bácsmindszenti út 121.
H-5319 Lajostamásikőrös"
"Dr. I. Gál Éva","Váci utca 108.
H-1557 Székesfehérvár"
"Juhász Á. Mónika","Székhidai utca 7.
H-7022 Érd"
"Horváthné Fehér Barbara","Nyírmártoni utca 147.
H-7803 Hátkőrös"
"Nagy Szabó Terézia","Németgyörgyi utca 114.
H-7711 Mosonmagyaróvár"
"Pásztorné Dr. Szabó Ilona Klaudia","Nagykanizsai utca 192.
H-3904 Sopron"
"Horváthné Dr. Molnár Tünde","Újgyörgyi utca 15.
H-7886 Tamásibánya"
"Farkasné Szűcs Andrea Ildikó","Oroszhídi utca 228.
H-6900 Cegléd"
"Dr. Szőke Magdolna Anna","Hídvári utca 194.
H-7743 Orosztapolcaapáti"
"Antal G. Bianka","Pilishídi utca 249.
H-1200 Egyházaskeresztvára"
"Dr. Szőke Horváth Tamás","Szigetszentmiklósi út 14.
H-9613 Budatótfalu"
"Biró Norbert","Hetvenharasztii utca 63.
H-8086 Budapest"
"Dr. Törökné Simon Jázmin Katalin","Széknádasdi utca 213.
H-9515 Mátragyörgykőrös"
"Biró Istvánné","Dunatóti utca 96.
H-1200 Bácsmindszentfalva"
"Farkas Rudolf Sándor","Kossuth utca 195.
H-6971 Kungyörgynémeti"
"Balogh Imrené Kovács Csilla","József attila utca 237.
H-9562 Dunamellékvára"
"Dr. T. Fábián Mihály","Szabadság utca 198.
H-7814 Balatonhetvenváros"
"K. Katona Rozália","Béke utca 107.
H-1952 Hajdúkeresztkőrös"
"Novákné Dr. Magyar Katalin","Borsodmelléki utca 153.
H-4346 Szentmártonapáti"
"Antal Györgyné","József attila utca 40.
H-5954 Kaposvár"
"Magyar Á. Márta","Tatabányai tér 106.
H-6927 Miskolc"
"N. Vincze Piroska","Mellékfalui tér 224.
H-9985 Szigetszentmiklós"
"Tóth Z. Bence","Bajai utca 77.
H-2228 Drávafürdőnémeti"
"Király Szabó Erzsébet","Győri utca 180.
H-8938 Hajdúfürdőnádasd"
"Kovács Horváth Ferenc","Bajai tér 107.
H-1855 Alsótótapáti"
"B. Kozma László","Tamásivárosi utca 98.
H-8914 Sopron"
"Kisné Tóth Gabriella","Mellékharasztii utca 39.
H-3610 Németligetvára"
"Dr. Horváth Józsefné Horváth Réka","Arany jános utca 94.
H-9902 Mindszentfalva"
"Dr. Somogyiné Varga Katalin Éva","Hetvenvári utca 25.
H-4583 Drávamártonhalas"
"Antal I. Anita","Kossuth utca 169.
H-2075 Salgótarján"
"Dr. Szekeresné Tóth Krisztina","Keresztvárosi utca 64.
H-9593 Baja"
"Varga J. Kálmán","Tamásiapátii utca 243.
H-7939 Hetvenbánya"
"A. Balog Péter","Fürdőnádasdi utca 200.
H-4094 Eger"
"Gulyásné Dr. Hegedűs Nikolett Andrea","Petőfi sándor utca 219.
H-9067 Hídharaszti"
"Kovács Ilona Ágnes","Petőfi tér 157.
H-5038 Érd"
"A. Tóth Zoltán","Háthidai utca 201.
H-2175 Pusztaszékberény"
"Dr. Balla T. László","Hátvári tér 205.
H-8053 Ligetfalu"
"D. Orsós Szilvia","Végi utca 75.
H-2014 Mosonharaszti"
"Dr. Kiss Róbertné","Hajdúi utca 232.
H-3720 Györgynémeti"
"Antal J. Attila","Ózdi utca 159.
H-1534 Szombathely"
"Jakab Éva Nikolett","Hátfai utca 72.
H-5523 Veszprém"
"Horváth V. Ágnes","Tótdevecseri utca 96.
H-7564 Mátraligetnádasd"
"J. Kovács Boglárka","Arany jános út 48.
H-9656 Orosztapolcaapáti"
"Dr. Molnár Mihály Ákos","Ady endre utca 210.
H-9333 Salgótarján"
"Dr. E. Tóth Éva","Tamásiapátii utca 228.
H-8581 Tamásifalu"
"Németh Botondné Juhász Judit","Felsőtapolcai utca 154.
H-6113 Némettótapáti"
"J. Nagy Ilona","Mártonberényi utca 81.
H-7337 Szolnok"
"Barna Mária","József attila utca 249.
H-7062 Székberény"
"Dr. Lengyel Ibolya Hanna","Mellékváradi út 103.
H-8146 Fürdőberény"
"Antal Jánosné Juhász Erzsébet","Dunaújvárosi utca 103.
H-7911 Veszprém"
"Tóth Imrené Balog Edit","Budaszéki utca 132.
H-8968 Székharaszti"
"Kovács R. József","Tamásihalasi út 244.
H-1563 Vác"
"Szabó E. Roland","Dunaújvárosi utca 53.
H-8601 Ózd"
"P. Tóth Mária","József attila utca 225.
H-9901 Mellékhalas"
"Pál Orosz Sándor","Hátfalvai utca 85.
H-2238 Szigetszentmiklós"
"Rácz János","Pusztamártoni utca 237.
H-2778 Vác"
"Nagy Papp Tamás","Béke utca 121.
H-7798 Dunakeszi"
"Dr. Lakatos Somogyi Ernő","Arany jános utca 93.
H-6646 Baja"
"V. Takács Piroska","Fürdőberényi utca 74.
H-2347 Nyíregyháza"
"Antal Katalin","Arany jános utca 66.
H-7654 Hódmezővásárhely"
"Kovács J. Tibor","Nyírhídi út 122.
H-9762 Somogykőrös"
"Kerekes Krisztián Tibor","Mellékvégi utca 91.
H-7926 Fürdőberény"
"Kisné Dr. Nagy Andrea","Tapolcaváradi utca 107.
H-5368 Kövesd"
"Balogh Csabané Nagy Nóra","Székharasztii utca 225.
H-5168 Székháza"
"Szabó Rozália Annamária","Mellékházai utca 242.
H-3960 Mezőkeresztvég"
"Farkas Balogh Patrik","Tatabányai út 151.
H-8951 Mellékfalu"
"Szücs É. Irén","Érdi utca 231.
H-7222 Mátrahídberény"
"Papp Zoltán","Dózsa györgy tér 156.
H-7982 Mosontamásifalva"
"Nagyné Nagy Diána Zsófia","Mellékfalui út 3.
H-5205 Békéscsaba"
"Antal Krisztina","Mellékfalvai tér 60.
H-4173 Eger"
"K. Székely Katalin","Egyházasligeti utca 38.
H-3275 Szerbtapolcavára"
"Dr. Orsós Béla Péter","József attila utca 58.
H-5365 Tapolcafalu"
"Horváth Kovács Csaba","Kossuth utca 93.
H-8449 Tapolcaberény"
"Rácz Török Dániel","Kunszéki út 12.
H-7217 Szolnok"
"Molnár Csabané Balogh Ibolya","Tapolcavégi utca 18.
H-9507 Tamásinémeti"
"Z. Szabó Antal","Arany jános utca 167.
H-2349 Szombathely"
"Dr. Z. Antal Lajos","Györgydevecseri utca 200.
H-7249 Győr"
"Orbánné Dr. Bálint Ilona","Tamásivárosi utca 238.
H-4803 Fürdőfa"
"Dr. Balogh Csilla","Székesfehérvári utca 134.
H-4687 Pécs"
"Antal Kálmánné Kovács Krisztina","Mindszentfalui út 200.
H-8474 Bácskeresztháza"
"V. Oláh Gyöngyi","Budatapolcai út 95.
H-4105 Székberény"
"Prof. Dr. Nagyné Papp Éva","Szigetszentmiklósi tér 215.
H-5090 Hetvenháza"
"Kovács D. Mária","Ózdi utca 193.
H-8558 Hídvárad"
"Molnár Lászlóné Nagy Zsuzsanna","Kossuth utca 152.
H-9929 Ligetdevecser"
"Dr. Szabóné Nagy Éva","Arany jános tér 166.
H-7114 Mosonhetvenváros"
"D. Horváth Ferenc","Salgótarjáni utca 11.
H-4366 Bánya"
"Fazekas Márton Tibor","Balatonmelléki utca 72.
H-7458 Dunakeszi"
"Lászlóné Szabó Rebeka","Pilismártoni utca 141.
H-6016 Háza"
"Szabó Németh Balázs","Ady endre utca 66.
H-9082 Tótháza"
"Antal Mariann Lili","Hídberényi tér 131.
H-5373 Györgyvég"
"Horváthné Kovács Mária","Nagykanizsai utca 58.
H-9147 Törökmindszentberény"
"Juhász Lakatos Lajos","Hajdúszéki tér 112.
H-6026 Tamásikövesd"
"Dr. Tóth István","Ceglédi utca 176.
H-2539 Győr"
"Szabóné Dr. Pap Katalin","Szombathelyi utca 213.
H-8936 Tótberény"
"Baloghné Dr. Török Etelka Csilla","Béke utca 40.
H-4721 Salgótarján"
"Dr. Nemes Irén","Arany jános utca 61.
H-4973 Mártonvár"
"Nagy Szalai Attila","Dunamelléki utca 56.
H-8145 Cegléd"
"Farkas Mária","Némettamásii utca 46.
H-5453 Zalaegerszeg"
"Tóth Tímea Erzsébet","Petőfi sándor tér 182.
H-5297 Kecskemét"
"Antal Zsoltné Tóth Beáta","Ligetdevecseri utca 188.
H-1597 Mellékhalas"
"Dr. Boros Éva Erika","Törökhetveni utca 89.
H-8756 Vác"
"Dr. Szalainé Szabó Rita","Béke utca 24.
H-2647 Szolnok"
"Nagy I. Éva","Ady endre utca 160.
H-9060 Falva"
"Nagyné Dr. Fehér Ilona","Balatontamásii út 187.
H-4679 Hódmezővásárhely"
"Szűcs Orbán Erzsébet","Belsőfürdői utca 152.
H-8572 Vácszékkőrös"
"Sándor Zsuzsanna Éva","Ráckereszti utca 127.
H-8281 Szombathely"
"Prof. Dr. Szabó Dánielné","Székhalasi utca 51.
H-1791 Keresztvár"
"Fülöp Magdolna","Kismelléki tér 137.
H-3805 Dunaháza"
"Tóthné Tóth Bianka Piroska","Oroszháti utca 216.
H-3114 Ligetfa"
"Antalné Dr. Kis Anikó Irma","Petőfi utca 206.
H-1159 Ózd"
"Tóthné Dr. Molnár Katalin","Szerbligeti utca 227.
H-5895 Drávafürdővár"
"Bogdán Nagy Henrietta","Hídhalasi utca 3.
H-4406 Baja"
"Dr. Balogh Péterné","Békésligeti tér 135.
H-9492 Alsómártondevecser"
"Dr. Antal Á. Zsuzsanna","Pusztaszéki utca 12.
H-1153 Tapolcavára"
"Dr. Balázs Balog László","Miskolci utca 94.
H-7482 Belsőmindszentbánya"
"Vincze Erzsébet","Mindszentdevecseri utca 130.
H-6064 Töröktótkövesd"
"V. Szabó Margit","Tamásiapátii tér 134.
H-2427 Somogyszékkőrös"
"Bálint János László","Tótfalvai út 187.
H-5768 Nádasd"
"Dr. Hegedűs Krisztina Éva","Salgótarjáni tér 231.
H-2571 Apáti"
"B. Balogh Ferenc","Vácháti utca 114.
H-5921 Hídnémeti"
"Máté G. Péter","Mártonváradi utca 108.
H-6024 Pécs"
"Prof. Dr. Nagy Bálintné Tóth Judit","Arany jános tér 67.
H-8406 Vác"
"Bálint Zsófia","Hajdúmártoni utca 235.
H-5029 Ligetkövesd"
"Nagy Erzsébet","Miskolci utca 219.
H-2267 Fürdővára"
"Horváthné Dr. Bodnár Mária","Tapolcavári út 212.
H-6047 Németszékberény"
"Nagy Jenő Zsolt","Arany jános utca 138.
H-2787 Nagytamásidevecser"
"Lakatos Klaudia Andrea","Tiszaligeti utca 188.
H-2375 Tamásiberény"
"Szabó Mészáros Balázs","Miskolci utca 61.
H-2055 Mezőtamásifalu"
"Nagy T. Ilona","Arany jános utca 222.
H-9341 Mosonmagyaróvár"
"B. Balogh Klára","Kossuth utca 152.
H-7861 Bakonyszékharaszti"
"Szabóné Dr. Kocsis Etelka Irén","Ózdi utca 19.
H-4213 Tótnémeti"
"Oláh B. Renáta","Petőfi sándor utca 152.
H-1408 Magyarszékkőrös"
"Pintér Tamás","Lajostapolcai utca 69.
H-7219 Dunafürdőbánya"
"Pintérné Lakatos Gabriella","Tóthalasi utca 83.
H-8453 Cegléd"
"Dr. Farkas Lászlóné","Bakonygyörgyi tér 157.
H-3429 Egyházashídfalva"
"Szőke Annamária Magdolna","Hídvárai út 246.
H-5902 Györgybánya"
"Pap D. László","József attila utca 43.
H-4116 Pécs"
"Virág Zoltán Sándor","Szolnoki tér 61.
H-4101 Veszprém"
"Nagy Júlia Szilvia","Dózsa györgy utca 170.
H-5694 Mosonmagyaróvár"
"B. Fodor Attila","Hídbányai utca 161.
H-4153 Hídvég"
"Magyar Árpádné Horváth Ilona","Hátkövesdi út 140.
H-4727 Nagytapolcaháza"
"Lukácsné Kis Magdolna","Székházai utca 54.
H-5148 Tótnémeti"
"G. Szücs István","Dunai utca 19.
H-4847 Háthalas"
"Fehérné Dr. Vincze Mária","Somogymelléki tér 191.
H-3524 Hátkőrös"
"Dr. A. Molnár Balázs","Nyékmindszenti utca 108.
H-3391 Lajoshalas"
"Borosné Dr. Szabó Mária","Szabadság utca 147.
H-9627 Mártondevecser"
"Oláh József","Kossuth tér 136.
H-2039 Lajostapolcaberény"
"Dr. Tóth M. Rebeka","Széknémetii utca 60.
H-6356 Felsőligethalas"
"Dr. Ráczné Tóth Luca Ilona","Szolnoki utca 64.
H-6971 Hátvára"
"B. Szilágyi Erzsébet","Szolnoki utca 179.
H-8313 Pusztatapolcaváros"
"Dr. Borbély Nagy Erzsébet","Mezőtóti utca 201.
H-2914 Debrecen"
"Nagy Józsefné Kovács Mária","Hídfai utca 76.
H-1074 Sopron"
"Dr. R. Varga Tamás","Ceglédi utca 105.
H-6295 Hídváros"
"Horváth Sándor","Hajdúháti utca 86.
H-2967 Kuntapolcaberény"
"Horváth G. Ottó","Kossuth utca 40.
H-1805 Szenttótapáti"
"Dr. Tóth Ernőné Fekete Zsuzsanna","Győri tér 179.
H-7750 Szigetszentmiklós"
"Dr. Nagy Ferenc","József attila tér 24.
H-1588 Tapolcadevecser"
"Dr. Nagy Ádámné","Nyírgyörgyi utca 18.
H-9716 Vác"
"Nagy Gyula","Kereszthalasi utca 150.
H-5305 Székfalu"
"B. Szőke Gabriella","Petőfi utca 171.
H-2841 Györgyvég"
"Takács László Zoltán","Székapátii utca 219.
H-4696 Tatabánya"
"Horváthné Dr. Fazekas Etelka","Budapesti utca 87.
H-8099 Fürdőnádasd"
"Török Tóth Veronika","Mátramelléki utca 72.
H-4209 Szentmellékfalva"
"Dr. Székely Tiborné Nagy Katalin","Béke út 40.
H-8286 Nagyhídváros"
"Dr. Kovács Lászlóné Sárközi Andrea","Békéscsabai utca 190.
H-6021 Törökkeresztdevecser"
"Nagyné Nagy Krisztina","Tamásifalvai utca 42.
H-8180 Györgykövesd"
"Boros Szilágyi Erzsébet","Kossuth tér 51.
H-2671 Hetvenkövesd"
"Szabóné Dr. László Krisztina","Érdi utca 112.
H-7491 Mátrakeresztváros"
"Molnár Lászlóné Vincze Anna","Györgyfai út 5.
H-8969 Mosonmagyaróvár"
"B. Takács Hanna","Vácmártoni utca 169.
H-7894 Hátvárad"
"Varga Balázsné","Rácgyörgyi utca 89.
H-4356 Falu"
"Kovács Istvánné","Dunaújvárosi utca 205.
H-1723 Pilismellékfalu"
"Pap Tóth Sándor","Veszprémi utca 59.
H-3437 Tapolcaharaszti"
"Dr. Nagyné Nagy Gyöngyi","Arany jános utca 21.
H-4084 Szolnok"
"Kerekesné Dr. Szabó Gréta Gizella","Vácgyörgyi utca 177.
H-8345 Keresztkőrös"
"Pap Szabó Tamás","Városi utca 227.
H-7311 Tótkőrös"
"Szekeres Erzsébet","Kaposvári utca 202.
H-6795 Szigetszentmiklós"
"I. Biró Zoltán","Szabadság tér 90.
H-4647 Dunaújváros"
"Dr. Vargané Fehér Klára","Arany jános tér 150.
H-9788 Kungyörgyhalas"
"B. Tóth Zoltán","Mosonmagyaróvári utca 47.
H-3755 Cegléd"
"Horváth M. Katalin","Törökmindszenti utca 172.
H-2792 Szolnok"
"Takácsné Dr. Papp Viktória Brigitta","Mellékberényi utca 29.
H-2911 Mártonnádasd"
"Dr. Pappné Tóth Eszter","Békéskereszti utca 191.
H-8086 Mezőfürdővég"
"Bognár Borbély Mária","Debreceni utca 47.
H-6022 Sopron"
"Dr. A. Rácz Katalin","Pusztamártoni utca 46.
H-9500 Eger"
"S. Tóth Csaba","Tatabányai utca 112.
H-1223 Györgyháza"
"Fazekas Nagy Róza","Salgótarjáni utca 50.
H-4400 Mellékfalu"
"Tóthné Deák Szilvia Zita","Lajostamásii utca 130.
H-1109 Hetvennádasd"
"Nagy Vörös Marcell","Rácszéki utca 180.
H-6050 Hódmezővásárhely"
"B. Varga Botond","Arany jános út 145.
H-9797 Hátdevecser"
"Dr. Szabó Etelka Tünde","Szombathelyi utca 63.
H-3317 Piliskeresztvég"
"Szabó Jánosné Juhász Rozália","Tiszaszéki utca 151.
H-9175 Oroszgyörgyhida"
"Papp Mészáros István","Németii utca 188.
H-1896 Budapest"
"Biró Illés Botond","Kossuth utca 230.
H-6179 Nyékhídberény"
"Balogh B. Zsolt","Hidai utca 96.
H-8432 Mellékapáti"
"Tóthné Antal Ilona","Tapolcavégi utca 171.
H-7892 Lajostapolcaapáti"
