"A. Antal András"|"Törökligeti utca 40.
H-1287 Szeged"
"Kis Nagy Gyula"|"Ady endre utca 197.
H-1138 Szigetszentmiklós"
"M. Antal Zsuzsanna"|"Tamásinádasdi utca 243.
H-2072 Belsőtamásifalva"
"Dr. Tamás Gál Irén"|"Nagyhídi utca 23.
H-6734 Bácshídfa"
"Dr. Takács Ottó"|"Veszprémi utca 27.
H-3449 Németi"
"Kiss Zsoltné"|"Bányai utca 187.
H-7525 Tapolcaháza"
"Takács Gábor"|"Budafürdői út 34.
H-9834 Fürdőnémeti"
"Dr. Horváth Nagy Piroska"|"Salgótarjáni utca 86.
H-7595 Kecskemét"
"B. Fazekas János"|"Alsómártoni tér 159.
H-2522 Kunmindszentdevecser"
"Dr. N. Vörös Béla"|"Ceglédi utca 191.
H-2664 Hódmezővásárhely"
"Dr. Simon Vass Júlia"|"Budakereszti utca 60.
H-2077 Fürdőnémeti"
"M. Tóth Zoltán"|"Szombathelyi utca 239.
H-5684 Dunakeszi"
"Pataki Erzsébet Sára"|"Szerbtóti utca 189.
H-3890 Balatontótbánya"
"Szilágyi R. Márk"|"Petőfi utca 91.
H-9018 Keresztbánya"
"Dr. Balogh Zoltánné"|"Ady endre utca 202.
H-8815 Nyírhátvár"
"Papp Bertalan"|"Petőfi utca 204.
H-3350 Hódmezővásárhely"
"Dr. Horváth K. Erzsébet"|"Béke tér 222.
H-3896 Békéscsaba"
"Lukácsné Török Márta"|"Budapesti utca 130.
H-5347 Orosztótberény"
"B. Horváth Máté"|"Ady endre utca 187.
H-8490 Hódmezővásárhely"
"A. Pásztor Rita"|"Budamelléki út 236.
H-2275 Václigetnádasd"
"B. Mészáros István"|"Nyíregyházai utca 114.
H-5664 Györgyberény"
"Dr. Szabó Tóth Erzsébet"|"Arany jános utca 126.
H-5224 Dunakeszi"
"Kiss Péter"|"Lajosfürdői út 209.
H-2803 Hetvenapáti"
"Borbély Erzsébet Erzsébet"|"Váradi utca 132.
H-2152 Zalaegerszeg"
"Dr. Pintér K. Laura"|"Mosonmagyaróvári utca 119.
H-4279 Hetvenvég"
"Takács E. Mária"|"Béke út 179.
H-6071 Szolnok"
"Bálint Balogh Ilona"|"Hetvenvárai utca 171.
H-5528 Váctapolcakövesd"
"Király Balázs"|"József attila utca 109.
H-6533 Bakonymellékfalva"
"B. Nagy Imre"|"Háthalasi utca 10.
H-4691 Belsőtamásinémeti"
"Tóth Fanni Anita"|"Bakonymártoni utca 111.
H-5821 Békéscsaba"
"Nagy Károlyné Fazekas Zsuzsanna"|"Pusztagyörgyi utca 174.
H-8890 Ráchátkőrös"
"Dr. Hegedüs Zsoltné"|"Székbányai utca 232.
H-7508 Magyarmártonbánya"
"Kovács Erika Melinda"|"Nyíregyházai utca 27.
H-3840 Pusztahátnémeti"
"Kovács E. Lili"|"Hódmezővásárhelyi utca 21.
H-7363 Ózd"
"Kis Márk"|"Kisszéki utca 171.
H-2100 Dunakeszi"
"Dr. Papp Zsolt Levente"|"Hetvenvárai utca 47.
H-3767 Tóthalas"
"Horváthné Dr. Kiss Magdolna"|"Újtamásii utca 51.
H-6182 Vác"
"Dr. Molnár Gábor Ferenc"|"Kossuth utca 109.
H-2645 Tótfalva"
"B. Nagy János"|"Mártonházai utca 187.
H-8324 Tótdevecser"
"Budai Tóth Szilvia"|"Ózdi utca 238.
H-3017 Kecskemét"
"Farkas Á. Veronika"|"Felsőmelléki utca 222.
H-3763 Pusztahídbánya"
"Kovács Rozália"|"Mindszentvégi utca 96.
H-9345 Pécs"
"Szabó V. Edit"|"Somogytapolcai utca 80.
H-5115 Kereszthida"
"Dr. Tóthné Bálint Zsuzsanna Tünde"|"Szerbkereszti utca 38.
H-8077 Alsóligetvég"
"P. Kiss Tibor"|"Szegedi út 124.
H-2933 Budapest"
"Dr. Németh Mártonné"|"Debreceni utca 184.
H-1395 Dunakeszi"
"Lakatos I. Márton"|"Orosztamásii utca 139.
H-4448 Oroszkeresztvár"
"Dr. R. Tóth Henrietta"|"Hódmezővásárhelyi utca 109.
H-4264 Hídvár"
"B. Nagy Marianna"|"Dózsa györgy utca 161.
H-4091 Zalaegerszeg"
"A. Biró Edina"|"Kaposvári utca 49.
H-4473 Belsőhátvég"
"Simon József"|"Ráchetveni utca 16.
H-5473 Szombathely"
"Gál É. Enikő"|"Szentmártoni utca 237.
H-8937 Kistamásibánya"
"Némethné Kiss Ilona Kitti"|"Magyarszéki utca 172.
H-5530 Dunahídvár"
"Halász J. János"|"Debreceni utca 193.
H-4368 Tótbánya"
"Dr. Fülöp Erik"|"Kőrösi körút 55.
H-1005 Drávamindszentapáti"
"Szabó B. Attila"|"Kaposvári utca 229.
H-8758 Nagykanizsa"
"Dr. J. Fazekas Barnabás"|"Mártonvégi utca 131.
H-6066 Veszprém"
"Bakos Zsombor János"|"Dózsa györgy út 62.
H-4690 Törökligetnádasd"
"B. Nagy Mónika"|"Fürdődevecseri utca 181.
H-9020 Felsőmellékbánya"
"Szabó Mária Zsuzsanna"|"Somogykereszti utca 85.
H-2588 Magyarhídfa"
"Dr. Novák Miklósné"|"Egyházaskereszti tér 33.
H-6378 Hetvenvára"
"Dr. Nagyné Varga Marianna"|"Pusztamelléki utca 3.
H-5266 Tapolcafalva"
"Dr. P. Szűcs Ilona"|"Mosonmagyaróvári utca 161.
H-9600 Szigetszentmiklós"
"Dr. Nagy Richárd Ferenc"|"Ady endre utca 18.
H-6742 Hetvenhida"
"Dr. Nagy Szabó Ibolya"|"Felsőfürdői utca 81.
H-1846 Kaposvár"
"J. Szabó Károly"|"Ady endre utca 172.
H-9068 Mezőtamásiharaszti"
"Nagy Hegedűs Ferenc"|"Kossuth tér 145.
H-2840 Fürdővárad"
"Dr. Z. Mészáros Andrea"|"Oroszhetveni utca 8.
H-7625 Budafürdővára"
"B. Szabó Orsolya"|"Tótharasztii utca 113.
H-2199 Tamásivárad"
"Boros K. Ilona"|"József attila utca 145.
H-4257 Kaposvár"
"Kovács Varga Erzsébet"|"Békéscsabai utca 165.
H-3441 Nyékligetvár"
"Török Papp Mária"|"Székkőrösi utca 102.
H-9051 Szeged"
"Dr. Tóth Bálint Terézia"|"Tapolcaapátii utca 100.
H-1154 Veszprém"
"Dr. F. Tóth Andor"|"Miskolci utca 250.
H-1369 Keresztvár"
"B. Horváth Tibor"|"József attila utca 125.
H-8051 Tiszakeresztvár"
"Dr. Szabó Mária"|"Mátraszéki utca 81.
H-1188 Veszprém"
"Kovácsné Bognár Nikoletta"|"Dózsa györgy utca 241.
H-4180 Kuntótnádasd"
"Szabó Varga Noémi"|"József attila utca 167.
H-8836 Miskolc"
"B. Tóth István"|"Arany jános utca 119.
H-8122 Mosonmagyaróvár"
"Juhász Margit"|"Petőfi sándor utca 162.
H-7733 Törökhátdevecser"
"Pintér István"|"Dunakeszii út 131.
H-5830 Kaposvár"
"Soós Olivér"|"Dózsa györgy utca 250.
H-4908 Debrecen"
"J. Péter Zsolt"|"Egeri utca 51.
H-4874 Baja"
"Dr. Kocsis Viktor István"|"Kecskeméti út 157.
H-8723 Tótharaszti"
"Pásztorné Kovács Judit Mária"|"Arany jános utca 152.
H-9869 Bakonyszékfalva"
"Lengyelné Dr. Deák Dóra"|"Somogyi utca 160.
H-4067 Hajdúmártonharaszti"
"Dr. Szabó Márta"|"Hetvenfalvai utca 128.
H-5164 Zalaegerszeg"
"Dr. D. Somogyi Máté"|"Tótfai utca 23.
H-7034 Budamártonváros"
"B. Tóth János"|"Fürdőkövesdi utca 91.
H-6190 Fürdőhalas"
"Horváthné Dr. Szücs Tünde Márta"|"Mátrakereszti utca 241.
H-9078 Nyírhetvenapáti"
"Dr. Horváth Szabó Vivien"|"Petőfi sándor utca 65.
H-4806 Tamásifalu"
"Szabó E. Laura"|"Veszprémi utca 200.
H-5581 Székfa"
"Vörös Ildikó"|"Hídapátii utca 186.
H-4065 Baja"
"Katonané Dr. Nagy Irma Katalin"|"Béke utca 25.
H-2082 Cegléd"
"Vass László László"|"Fürdőbányai tér 218.
H-6716 Veszprém"
"Jakab Tamásné Bodnár Ilona"|"Tamásikőrösi utca 202.
H-5331 Hódmezővásárhely"
"Varga Erzsébet Melinda"|"József attila utca 28.
H-8578 Város"
"Dr. Bogdán István"|"Tatabányai utca 6.
H-6168 Dunaligetvég"
"B. Vincze Renáta"|"Györgyvári utca 99.
H-4560 Bánya"
"Dr. Vörös Oláh Viktória"|"Györgyvárosi utca 206.
H-3939 Tótváros"
"Tóth S. Henrietta"|"Dunakeszii út 121.
H-7978 Cegléd"
"Fülöpné Dr. Jakab Hajnalka"|"Dózsa györgy utca 89.
H-2104 Mosontótnádasd"
"Farkasné Dr. Kocsis Nikoletta"|"Kunfürdői utca 183.
H-1689 Ligetkövesd"
"Dr. Horváthné Pap Viktória Gabriella"|"Petőfi sándor utca 66.
H-2264 Újhátváros"
"Kocsis Anna Nikoletta"|"Mártonkövesdi utca 108.
H-2390 Mezőgyörgyfalva"
"Dr. Orsós Szabó Attila"|"Belsőtóti utca 202.
H-3264 Budaszékberény"
"Dr. Szabó I. Zoltán"|"Borsodhídi utca 129.
H-3018 Zalaegerszeg"
"Molnár Horváth Terézia"|"Budapesti utca 95.
H-8355 Szerbmindszentfalu"
"Bakos Kovács Mihály"|"Bácsszéki tér 181.
H-7909 Tatabánya"
"M. Horváth Mária"|"Györgyberényi utca 52.
H-3464 Keresztfalva"
"Lakatos Gábor"|"Soproni utca 91.
H-2070 Szeged"
"Dr. Oláh Zoltán Gyula"|"Dunaújvárosi körút 16.
H-3092 Tapolcadevecser"
"Dr. Orosz M. Márta"|"Dunatóti utca 64.
H-3219 Nyírligetkőrös"
"Dr. Bodnárné Farkas Judit"|"József attila utca 41.
H-4518 Zalaegerszeg"
"Pintér Á. Melinda"|"Ady endre utca 85.
H-1410 Németligethalas"
"Tamásné Dr. Szabó Beáta"|"Ceglédi utca 186.
H-2721 Nyíregyháza"
"Gál Anikó"|"Törökfürdői utca 229.
H-6945 Tamásinémeti"
"Kovács Áron"|"Balatontapolcai utca 32.
H-9496 Hídváros"
"Bakos Sipos Mária"|"Dunakeszii tér 109.
H-2809 Töröktótkőrös"
"Dr. Horváth Mária Katalin"|"Dózsa györgy út 250.
H-4239 Tamásidevecser"
"Dr. G. Tóth Borbála"|"Szigetszentmiklósi utca 73.
H-8333 Felsőfürdőhalas"
"Dr. Nagy K. Gábor"|"Nyírháti utca 117.
H-7587 Város"
"Kis T. Csaba"|"Tiszatamásii út 154.
H-4804 Tatabánya"
"M. Varga Zsuzsanna"|"Nádasdi utca 26.
H-4831 Szombathely"
"Tóth B. Csaba"|"Falui utca 1.
H-9534 Hídfalva"
"Nagy Gergelyné Németh Márta"|"Ligetdevecseri utca 194.
H-8628 Belsőtapolcavár"
"Prof. Dr. Szabó Anikó Éva"|"Tóthalasi utca 41.
H-4140 Borsodmellékfa"
"Szabó Lakatos János"|"Salgótarjáni utca 204.
H-4290 Pécs"
"Bakosné Dr. Farkas Zsuzsanna"|"Fürdővárai utca 228.
H-6947 Egyházastapolcaharaszti"
"Fekete Lili Margit"|"Györgyvári utca 138.
H-7273 Mártonvárad"
"Kovács Szilvia"|"Debreceni utca 161.
H-8607 Somogyfürdődevecser"
"Varga M. Zsuzsanna"|"Petőfi utca 229.
H-4232 Hetvennádasd"
"Fábián Endre József"|"Miskolci utca 115.
H-1933 Hátberény"
"Dr. Németh Bélané Molnár Emese"|"Nyíregyházai utca 71.
H-3174 Szeged"
"Takácsné Dr. Lukács Alexandra"|"Dózsa györgy utca 104.
H-9413 Belsőhídfalva"
"Gálné Dr. Tóth Veronika"|"Budapesti utca 51.
H-3578 Németkeresztváros"
"Dr. M. Nagy István"|"Budapesti út 205.
H-6879 Újtótkőrös"
"Szabó Istvánné"|"Györgybányai utca 136.
H-3829 Magyarhídberény"
"Bakosné Dr. Juhász Barbara"|"Miskolci utca 102.
H-2384 Eger"
"Dr. Molnár B. Magdolna"|"Mindszentfalvai út 181.
H-9824 Mellékvár"
"Balázs P. Mihály"|"Várai utca 17.
H-7445 Békéscsaba"
"Simon Tóth Csaba"|"Dózsa györgy utca 43.
H-7564 Székvárad"
"Varga Antal"|"Felsőtóti tér 121.
H-6565 Mellékvár"
"Dr. Szabó Bettina Mária"|"Nyíregyházai utca 111.
H-4511 Győr"
"Dr. Molnár F. István"|"Nagykanizsai utca 6.
H-5624 Fürdővárad"
"Sipos Zsomborné"|"Dózsa györgy utca 145.
H-9941 Mellékfalva"
"Németh Istvánné Takács Edit"|"Nyírhídi utca 181.
H-4667 Kaposvár"
"Kovácsné Dr. Jakab Zsófia"|"Salgótarjáni utca 72.
H-2334 Pusztafürdővárad"
"Balla Erzsébet"|"Béke utca 213.
H-4560 Dunaújváros"
"Szabó Magdolna Lilla"|"Budapesti utca 37.
H-1406 Baja"
"Fülöpné Prof. Dr. Nagy Anna"|"Ózdi utca 29.
H-3778 Bácskeresztkőrös"
"Szabó László Gábor"|"Nagymindszenti út 7.
H-9630 Hídfalu"
