"A. Balog Lajos"	"Tamásiházai utca 81.
H-7599 Tatabánya"
"Dr. Németh Anita Marianna"	"Budapesti út 53.
H-4398 Hídfalu"
"Molnárné Dr. Vass Boglárka Erzsébet"	"Keresztkőrösi utca 20.
H-3340 Város"
"Dr. Balogh Katalin"	"Hajdútamásii utca 110.
H-2192 Győr"
"Németh Rozália Eszter"	"Borsodi utca 247.
H-6620 Bakonytapolcakövesd"
"Dr. Illés V. Zsófia"	"Petőfi utca 175.
H-3354 Pécs"
"A. Nagy Nikoletta"	"Petőfi utca 143.
H-2556 Újmindszentkövesd"
"Dr. Juhász Péterné"	"Petőfi utca 136.
H-8507 Nyírhátfalva"
"Rácz Horváth András"	"Székfai utca 77.
H-9796 Szigetszentmiklós"
"László Horváth Csaba"	"Mindszenthidai utca 42.
H-7055 Kereszthalas"
"A. Nagy János"	"Béke tér 117.
H-9541 Györgynémeti"
"Hajdu Szabó Mihály"	"Székesfehérvári utca 164.
H-3115 Szentligetkövesd"
"Szabó József Bence"	"Ady endre utca 196.
H-3766 Kunhetvenvára"
"Molnárné Dr. Szabó Melinda"	"Váradi utca 111.
H-3436 Mellékfa"
"Szekeres V. Balázs"	"Ady endre utca 149.
H-9057 Sopron"
"Dr. S. Szabó Attila"	"Nagyligeti tér 239.
H-1748 Dunakeszi"
"A. Simon Annamária"	"Dózsa györgy utca 135.
H-4262 Szerbkeresztapáti"
"Dr. Z. Székely Márta"	"Mindszentfalui utca 67.
H-5122 Mellékkövesd"
"Bognár Irén Szilvia"	"Miskolci utca 213.
H-7453 Mártonvárad"
"Dr. Vargané Tóth Petra"	"Mosonmagyaróvári utca 139.
H-4527 Töröktóthalas"
"Dr. Takácsné Szabó Beáta"	"Petőfi út 231.
H-3747 Belsőhátvár"
"Dr. G. Kovács Zoltán"	"Nyírtóti utca 61.
H-9751 Ligetdevecser"
"Horváth L. Csaba"	"Székkőrösi utca 31.
H-1061 Székhalas"
"Horváth B. Margit"	"Ady endre utca 47.
H-1170 Tiszamellékdevecser"
"C. Farkas János"	"Pilistapolcai utca 193.
H-5017 Némethátkőrös"
"Dr. Simon Annamária Gizella"	"Hódmezővásárhelyi utca 212.
H-6022 Vác"
"A. Sipos Mária"	"Váci tér 118.
H-4100 Tapolcaháza"
"Dudás R. Ottó"	"Székfalui utca 244.
H-9480 Dunakeszi"
"Dr. Kissné Varga Nikolett Krisztina"	"Váci utca 195.
H-4741 Hídvárad"
"Horváth Balázs Ferenc"	"Hajdútapolcai utca 84.
H-5562 Dunakövesd"
"Bogdán Szilvia"	"Ady endre utca 10.
H-4324 Tótnádasd"
"Orsós Nagy Marcell"	"Szentligeti utca 108.
H-3493 Falu"
"Szabó Fehér Teréz"	"Györgyharasztii utca 102.
H-9985 Bakonytamásivára"
"Szabó Horváth Dániel"	"Petőfi sándor út 179.
H-9529 Mosonmellékháza"
"Dr. J. Barta Julianna"	"József attila utca 129.
H-6112 Egyházastamásikőrös"
"Dr. Nagy Sándorné"	"Fürdőnémetii utca 86.
H-8583 Eger"
"A. Szabó Péter"	"Mezőmártoni utca 39.
H-6315 Mosonmagyaróvár"
"Varga László Károly"	"Lajoskereszti utca 208.
H-2753 Fürdőfalu"
"Dr. Varga Hajnalka Ilona"	"Mezőfürdői tér 124.
H-4826 Haraszti"
"Dr. Szabó M. Katalin"	"Szombathelyi utca 203.
H-7353 Szombathely"
"Kovácsné Dr. Juhász Margit Nóra"	"Hídkövesdi út 135.
H-8109 Érd"
"Horváth Nagy Lajos"	"Ady endre utca 103.
H-1679 Keresztvár"
"Dr. Németh Gáborné"	"Györgyházai utca 162.
H-3476 Somogyfürdőfalva"
"Gáspár Barna Zsuzsanna"	"Törökszéki utca 53.
H-7646 Szentmellékfa"
"Balogh É. Ildikó"	"Somogyháti tér 78.
H-4434 Hátvára"
"Fodor János András"	"Bajai utca 109.
H-4034 Debrecen"
"A. Tóth Krisztina"	"Belsőfürdői utca 200.
H-4224 Némettapolcavára"
"Nagyné Tóth Ágnes Terézia"	"Hátnémetii utca 145.
H-7694 Szolnok"
"Kiss László Dominik"	"Mosonmagyaróvári tér 37.
H-3540 Hátvára"
"Dr. Orsós Gáborné"	"Mosonhídi utca 137.
H-2742 Dunagyörgyvár"
"Szabóné Lukács Marianna Virág"	"Soproni utca 147.
H-4342 Mosonszékbánya"
"Vincze Anna Terézia"	"Somogygyörgyi tér 173.
H-1438 Törökmindszentharaszti"
"Simon Péterné Nemes Mária"	"Kossuth utca 127.
H-3157 Debrecen"
"Dr. Szekeresné Mészáros Ilona Ilona"	"Győri tér 193.
H-1226 Keresztfa"
"Dudás Béla"	"Felsőmindszenti utca 10.
H-2478 Hátfa"
"Horváthné Molnár Annamária Noémi"	"Balatoni utca 7.
H-7928 Hetvenháza"
"A. Tóth Pál"	"Györgybányai tér 242.
H-6584 Kereszthalas"
"Nagy Gyöngyi Rózsa"	"Felsőtapolcai utca 34.
H-1608 Egyházashátháza"
"Dr. Bodnár Ferencné"	"Szigetszentmiklósi utca 225.
H-7894 Kaposvár"
"Varga László"	"Mártonkőrösi utca 26.
H-3951 Mindszentharaszti"
"Takács S. Dániel"	"Szombathelyi utca 171.
H-7895 Nyékmellékhida"
"Vincze Terézia Aranka"	"Dózsa györgy utca 166.
H-2082 Falva"
"Dr. Molnár Mária Edit"	"Ady endre út 205.
H-9339 Hajdúfürdőhalas"
"Szabóné Dr. Takács Eszter"	"Kossuth utca 230.
H-8224 Bakonyháthida"
"Kozmané Dr. Nagy Márta"	"Dunaújvárosi utca 128.
H-4988 Baja"
"Németh Balog Áron"	"Fürdőbányai utca 78.
H-1391 Nyíregyháza"
"A. Varga Anna"	"Szigetszentmiklósi tér 209.
H-9859 Vác"
"Oláh Lajos"	"Belsőtóti tér 126.
H-1553 Keresztváros"
"G. Nemes Attila"	"Hetvenvégi utca 126.
H-1187 Nagykanizsa"
"Dr. I. Szalai László"	"Vácháti utca 234.
H-6153 Györgydevecser"
"Horváth Dávidné Nagy Edit"	"Arany jános utca 54.
H-2077 Tapolcaapáti"
"Dr. Kovács Miklósné"	"Váci utca 172.
H-2444 Némethetvenapáti"
"Nagy R. Anett"	"Petőfi sándor utca 150.
H-7264 Sopron"
"Takács Tóth Éva"	"Nyékligeti utca 32.
H-4682 Szerbmindszentkövesd"
"Horváth V. Lajos"	"Keresztfalvai utca 189.
H-4699 Vára"
"Horváth Á. András"	"Zalaegerszegi utca 189.
H-4669 Nyírmártonapáti"
"A. Veres Mária"	"Keresztapátii utca 207.
H-4852 Budahídvára"
"Prof. Dr. Nagy Éva Fanni"	"Tatabányai utca 163.
H-4010 Sopron"
"Veresné Kovács Mónika"	"Rácligeti utca 74.
H-2396 Tótapáti"
"Tóth Árpádné Varga Éva"	"Kossuth utca 136.
H-9054 Mátragyörgybánya"
"Simon Ádám Alex"	"Borsodhídi utca 39.
H-7531 Hódmezővásárhely"
"Dr. Tóthné Rácz Márta Róza"	"Fürdőfalvai utca 104.
H-3533 Hetvenvég"
"R. Horváth Andrea"	"Váci utca 182.
H-6083 Debrecen"
"Dr. Vincze Bernadett Anna"	"Mezőhídi utca 14.
H-9574 Budahátvég"
"Oláhné Dr. Kiss Anikó"	"Töröktóti utca 102.
H-8689 Tamásihalas"
"Prof. Dr. Tamás Gyöngyi Nóra"	"Nyíregyházai utca 74.
H-5445 Szigetszentmiklós"
"Antal Dudás Magdolna"	"Miskolci utca 137.
H-8642 Ligethida"
"Nagy P. Éva"	"Széknémetii utca 142.
H-7326 Veszprém"
"Fekete Márta Mária"	"Dózsa györgy utca 55.
H-2998 Mártonháza"
"Dr. Molnár Ferenc"	"Hetvenharasztii utca 226.
H-9862 Nyéktapolcafa"
"Szabóné Dr. Balla Anett"	"Dózsa györgy utca 91.
H-2656 Vác"
"Szabó Kálmán"	"Bajai utca 28.
H-7688 Győr"
"Dudás Tóth Irén"	"Belsőmindszenti utca 237.
H-8245 Mellékhalas"
"Varga K. Erzsébet"	"Bajai út 20.
H-9922 Nagykanizsa"
"I. Barta Marcell"	"Tapolcakőrösi utca 178.
H-3578 Vác"
"Prof. Dr. Nagy Mária"	"Bakonyhídi tér 189.
H-6871 Mártonapáti"
"Antal I. Márk"	"Veszprémi utca 16.
H-4955 Nyéktótvár"
"Dr. Lengyel Mariann Emma"	"József attila tér 35.
H-3446 Fürdőhida"
"Dr. Balázs Nagy Martin"	"Miskolci út 202.
H-8097 Mosonmindszentharaszti"
"Dr. Szabó Mária"	"Egeri utca 132.
H-9407 Tamásifalu"
"Dr. Farkasné Kovács Tímea"	"Kossuth utca 21.
H-1699 Apáti"
"Tóth B. Lajos"	"Bakonyi sétány 66.
H-9423 Ráchídhalas"
"Dr. Z. Budai Gábor"	"Mellékkövesdi utca 178.
H-2772 Balatonfa"
"Dr. Farkas Tóth Györgyi"	"Egeri utca 110.
H-7618 Hátbánya"
"Dr. Fülöpné Tóth Julianna"	"Oroszszéki utca 216.
H-2813 Szeged"
"V. Németh János"	"Kossuth utca 104.
H-8419 Keresztfalu"
"Antal I. Ágnes"	"Érdi utca 239.
H-5822 Borsodgyörgydevecser"
"Dr. Varga I. Anikó"	"Hídberényi utca 139.
H-4262 Ligetberény"
"Dr. Kiss Erzsébet Diána"	"Házai utca 1.
H-5982 Vác"
"Vörös Á. Bernadett"	"Magyarhídi utca 137.
H-7567 Budaligetberény"
"B. Lakatos Anna"	"Kishetveni út 244.
H-1843 Törökhalas"
"Gáspár Petra"	"József attila utca 156.
H-6280 Dunaújváros"
"Szűcs Zoltánné László Piroska"	"Budamelléki utca 46.
H-9266 Hetvenháza"
"Dudás Magyar Attila"	"Petőfi utca 207.
H-4382 Hídkövesd"
"Sándor Márta Nikoletta"	"Egeri utca 112.
H-1007 Újtamásihalas"
"Pásztor Balázs Mihály"	"Székesfehérvári utca 218.
H-4178 Tapolcafalva"
"Antal Jánosné Kerekes Erika"	"Nyírligeti tér 210.
H-2787 Nagykanizsa"
"I. Varga Virág"	"Béke utca 181.
H-3954 Hódmezővásárhely"
"Kiss Erikné Juhász Katalin"	"Béke utca 151.
H-8287 Magyargyörgyfalva"
"Szabó Tibor Tamás"	"Ózdi utca 55.
H-3032 Mellékfalva"
"Veresné Dr. Horváth Erzsébet"	"Békéscsabai utca 151.
H-4377 Mosonmagyaróvár"
"Fülöp Krisztián János"	"Ligetbányai utca 9.
H-6265 Nyíregyháza"
"Dr. Oláh Gyula"	"Hídházai utca 78.
H-6108 Váckeresztnémeti"
"Dr. Borbélyné Szőke Andrea"	"Székesfehérvári utca 244.
H-6455 Kaposvár"
"Dr. László Ferenc"	"Szerbháti utca 45.
H-9005 Mártonbánya"
"Dr. Baloghné Szekeres Ilona"	"Egyházasszéki utca 100.
H-9872 Szentgyörgyapáti"
"Antal József András"	"Mosonmagyaróvári utca 133.
H-3938 Tapolcadevecser"
"Dr. Szűcs Tibor"	"Ady endre út 87.
H-1351 Oroszgyörgyberény"
"Balázs Viktorné"	"Szigetszentmiklósi utca 28.
H-5728 Mellékdevecser"
"Szabó Erika"	"Magyarháti utca 248.
H-2503 Tatabánya"
"Lukács Varga Mária"	"Magyartamásii tér 248.
H-5713 Tamásiharaszti"
"Kovács Anikó Erika"	"Melléknémetii utca 165.
H-6220 Kereszthalas"
"Veres János Zoltán"	"Hídvárosi út 100.
H-6456 Mátrahetvennémeti"
"Dr. Vörös Rácz Gábor"	"Mindszentkőrösi utca 93.
H-6901 Mellékhalas"
"Székely Tamás László"	"Györgybányai utca 234.
H-4390 Mindszentbánya"
"Molnár Csaba"	"Zalaegerszegi utca 182.
H-5447 Újhídvárad"
"Antalné Dr. Molnár Róza"	"Kereszthalasi utca 77.
H-1659 Híddevecser"
"Dr. Horváth J. Ildikó"	"József attila utca 127.
H-2505 Tamásihida"
"Horváth Jenő"	"Dunahídi utca 96.
H-3056 Nagyhídnémeti"
"Dr. Farkas Kiss Ágnes"	"Szabadság utca 160.
H-7354 Székesfehérvár"
"Kovács Tamásné Oláh Ágnes"	"Szabadság utca 46.
H-3642 Hátvár"
"Molnárné Dr. Szekeres Etelka"	"Szenttapolcai utca 44.
H-9331 Kaposvár"
"Dr. Szabó Sándorné"	"Hajdútamásii utca 110.
H-4802 Alsószékvég"
"Kis G. Mária"	"Mellékvárosi utca 3.
H-3103 Hídkőrös"
"Dr. Nagyné Hegedüs Alexandra Ilona"	"Kistamásii utca 94.
H-6712 Hetvenkövesd"
"Balogh Julianna"	"Békési utca 100.
H-1191 Kungyörgykőrös"
"Antalné Dr. Sárközi Anita"	"Petőfi sándor út 139.
H-5950 Kaposvár"
"Kovács Horváth Sándor"	"Hajdútamásii utca 98.
H-4148 Hajdúligetvárad"
"Dr. Barta Zsoltné"	"Mindszentbányai utca 18.
H-1011 Nyírtamásihida"
"László Máténé"	"Petőfi sándor út 63.
H-5013 Mellékháza"
"E. Kiss Tímea"	"Tótbányai utca 33.
H-5251 Hátberény"
"Pintér Kitti"	"Ady endre utca 169.
H-7680 Oroszmindszentnádasd"
"Nagy Gyulané Takács Ágnes"	"Kossuth utca 20.
H-5864 Dunakeszi"
"Kis Katalin"	"Tamásifalvai utca 39.
H-4508 Hátváros"
"Dr. Jakab Levente István"	"Drávamártoni utca 142.
H-3146 Pécs"
"M. Sándor Sándor"	"Fürdőkövesdi utca 216.
H-5711 Ózd"
"B. Juhász Mária"	"Bajai utca 241.
H-1021 Veszprém"
"Dr. Antal Gabriella"	"Dózsa györgy utca 28.
H-6377 Nyéktótberény"
"Vass Ilona Jolán"	"Keresztkőrösi utca 249.
H-2918 Vác"
"Horváth O. László"	"Hátfalvai utca 50.
H-4649 Város"
"Szilágyi Barta Borbála"	"Petőfi sándor utca 151.
H-4002 Németi"
"Dr. Vargané Nagy Nóra Anna"	"Soproni utca 225.
H-6161 Hetvennémeti"
"Nagy Márta"	"Váci utca 152.
H-5320 Szerbhetvennémeti"
"Vargané Dr. Németh Beatrix"	"Bajai út 162.
H-5194 Tapolcadevecser"
"Simonné Dr. Magyar Mónika"	"József attila utca 207.
H-5941 Ózd"
"Dr. Szabó V. Ágnes"	"Tamásiváradi utca 1.
H-1704 Apáti"
"B. Jónás Mónika"	"Petőfi utca 149.
H-5473 Győr"
"Szekeres Sára Vivien"	"Szabadság utca 187.
H-9723 Debrecen"
"Dr. Nemes Lászlóné Szalai Erzsébet"	"Mellékfalvai út 113.
H-2575 Drávatamásivárad"
"Orbán Istvánné Orosz Hajnalka"	"Nyírligeti utca 195.
H-7689 Keresztapáti"
"Szabó Major Terézia"	"Szombathelyi utca 188.
H-8105 Mártonharaszti"
"E. Pál Tünde"	"Györgyfalui utca 74.
H-7390 Tapolcavég"
"Simon Mihályné Kovács Katalin"	"Borsodmindszenti utca 124.
H-5296 Tatabánya"
"Horváthné Kiss Hanna Bianka"	"Bajai utca 125.
H-7311 Tamásiharaszti"
"Orbán Ildikó"	"Béke utca 226.
H-3262 Székfalu"
"Prof. Dr. Kerekes Boros Renáta"	"Nyíregyházai tér 98.
H-3338 Felsőmellékváros"
"B. Kocsis Irén"	"Béke utca 168.
H-2093 Székesfehérvár"
"Szabóné Dr. Kiss Nikoletta Mária"	"Dózsa györgy utca 232.
H-3590 Magyarhátapáti"
"A. Vass Adrienn"	"Hódmezővásárhelyi utca 187.
H-3267 Székhalas"
"Szabó R. Éva"	"Tamásidevecseri utca 46.
H-4729 Eger"
"Molnár Szabó Gábor"	"Belsőligeti utca 122.
H-2829 Bakonyfa"
"Fülöp Zoltán József"	"Berényi utca 229.
H-2943 Miskolc"
"Fazekas Tibor"	"Arany jános utca 207.
H-8750 Mellékberény"
"Nagy Kovács János"	"Hetvenvárosi utca 146.
H-7961 Pusztamellékvára"
"Kovács Csabané"	"Székvégi út 215.
H-2547 Bácsmellékvég"
"Ballané Dr. Nagy Piroska"	"Mindszentfalvai utca 85.
H-6648 Mellékvár"
"B. Nagy Lajos"	"Dunafürdői utca 1.
H-5649 Tatabánya"
"Nagy I. Barnabás"	"Dózsa györgy utca 104.
H-1974 Lajoshídkőrös"
"A. Nagy Tamás"	"Kisi utca 181.
H-6494 Tapolcakőrös"
"P. Papp Tamás"	"Mátramelléki utca 187.
H-9991 Nyírmellékberény"
"Vörös István"	"Szabadság tér 30.
H-9760 Pusztamellékfalu"
"Nagyné Szabó Anna"	"Ady endre utca 53.
H-1930 Egyházasgyörgykőrös"
"Dr. Szabóné Kovács Éva"	"Szabadság utca 26.
H-8422 Oroszhídvárad"
"Horváth Kiss Zalán"	"Szabadság körút 242.
H-3903 Hajdúhídnádasd"
"Szilágyi Molnár András"	"Kossuth tér 190.
H-8382 Szombathely"
"Varga László István"	"Békéscsabai utca 207.
H-2270 Vára"
"B. Németh Tímea"	"Fürdőharasztii utca 194.
H-9045 Mártonfalu"
"Dr. Horváth Z. Attila"	"Nyíregyházai utca 107.
H-3204 Hídkövesd"
"Kovács Lajosné Németh Magdolna"	"Arany jános utca 85.
H-7785 Hídberény"
"Dr. Szabó Kis Ildikó"	"Váckereszti utca 64.
H-7418 Dunakeszi"
"Tóth Dénes János"	"Kaposvári utca 180.
H-1587 Borsodligetfalva"
"T. Németh György"	"Pécsi tér 96.
H-4613 Salgótarján"
"Dr. Pintér Horváth Margit"	"Kövesdi utca 21.
H-6581 Budapest"
"Papp Szabó István"	"Keresztházai utca 115.
H-3592 Alsófürdőhida"
"Pintér Farkas Tamás"	"Hátvárosi utca 205.
H-1274 Dunakeszi"
"Nagy Roland Balázs"	"Salgótarjáni utca 176.
H-6936 Mezőfalva"
"B. Simon Gergő"	"Keresztberényi köz 65.
H-3140 Cegléd"
"Péterné Pap Gyöngyi Luca"	"Ligetvárosi tér 164.
H-5765 Lajostótvárad"
"G. Tóth Ferenc"	"Hetvenvári utca 94.
H-9098 Mellékkövesd"
"Horváth József"	"Szigetszentmiklósi utca 76.
H-9617 Szerbligetváros"
"M. Bogdán Kinga"	"Tapolcahidai utca 24.
H-4624 Salgótarján"
"Kovács T. Norbert"	"Ady endre köz 68.
H-4711 Vára"
"Dr. Deák Csilla Petra"	"Hajdúszéki tér 191.
H-6472 Sopron"
"Dr. Pásztorné Tóth Katalin Ibolya"	"Petőfi utca 48.
H-3394 Kecskemét"
"Nagy Mária Lilla"	"Nyírszéki utca 75.
H-5081 Szombathely"
"Dr. Gálné Kiss Anna Anikó"	"Belsőkereszti utca 201.
H-7090 Pilismindszentnádasd"
"B. Varga Szilvia"	"Tótberényi utca 88.
H-1802 Mártonberény"
"J. Takács Gyula"	"Tiszaszéki utca 169.
H-6369 Hetvenapáti"
"Dr. Nemes A. Károly"	"Petőfi tér 77.
H-1616 Mellékapáti"
"D. Kelemen József"	"Németszéki utca 64.
H-9150 Pusztaligetapáti"
"Gáspár János Zoltán"	"Mellékapátii utca 123.
H-8926 Haraszti"
"K. Veres János"	"Béke utca 92.
H-6378 Borsodhátapáti"
"Dr. Kovács Barnabás"	"Soproni tér 82.
H-5901 Tatabánya"
"Dr. Horváthné Tóth Mária"	"Tamásiharasztii utca 223.
H-7215 Németmindszentkőrös"
"Nagy D. Mária"	"Petőfi sándor utca 171.
H-1421 Dunaújváros"
"Barna Lászlóné"	"Arany jános utca 212.
H-8487 Tamásiharaszti"
"Bakos Szabolcsné Balogh Jázmin"	"Nagymelléki út 98.
H-4824 Egyházasmellékfalu"
"Dr. Kissné Lengyel Anikó Andrea"	"Béke tér 79.
H-5680 Tamásivár"
"Szabóné Dr. Szalai Andrea"	"Miskolci utca 88.
H-4664 Békésmindszentvára"
"Gál Erzsébet Éva"	"Tamásikövesdi utca 137.
H-7749 Kunhátvára"
"Á. Kovács Piroska"	"Hetvenváradi utca 127.
H-9072 Tótfalva"
"Balogh A. Tibor"	"Nagykanizsai út 158.
H-7446 Újligetvár"
"B. Molnár Barnabás"	"Dunaújvárosi utca 218.
H-3834 Hátfa"
"Kis Erika Ilona"	"Szabadság utca 126.
H-1916 Mátratamásiháza"
"M. Molnár Zsuzsanna"	"Györgyfalui utca 50.
H-5243 Salgótarján"
"Dr. I. Szabó József"	"Hídházai utca 177.
H-7457 Tapolcanádasd"
"Bakosné Dr. Simon Teréz Julianna"	"Mellékapátii utca 67.
H-8742 Fürdőháza"
"Molnár Gergelyné Szabó Erika"	"Szabadság utca 87.
H-3099 Székhalas"
"Dr. Kis Anna"	"Ady endre utca 129.
H-9655 Györgydevecser"
"Kovács Oláh Katalin"	"Drávatamásii utca 137.
H-6246 Tiszahídnádasd"
"E. Tóth Erzsébet"	"Szabadság utca 14.
H-4759 Szolnok"
"Dr. Tóthné Kis Brigitta"	"Arany jános utca 49.
H-5806 Eger"
"Dr. Székelyné Varga Andrea"	"Tótváradi út 73.
H-8318 Nyíregyháza"
"Bálint Norbertné Varga Anikó"	"Kereszthidai tér 15.
H-8725 Györgykőrös"
"Kovács László Szabolcs"	"Budapesti utca 113.
H-9066 Mindszentvég"
"Somogyi J. Enikő"	"Ráctapolcai utca 216.
H-9446 Eger"
"Bakosné Prof. Dr. Szabó Brigitta"	"Budatamásii utca 133.
H-6781 Hetvenfalu"
"Dr. Kiss János"	"Alsókereszti tér 14.
H-5028 Dunakeszi"
"Dr. Bogdán Jánosné"	"Ceglédi utca 220.
H-3256 Szenttótnádasd"
"Kiss Katalin"	"Dózsa györgy utca 78.
H-9741 Keresztapáti"
"Dr. Takács Lászlóné"	"Salgótarjáni utca 55.
H-5767 Hajdúmindszentvég"
"Oláh M. János"	"Ady endre utca 17.
H-7009 Pécs"
"Dr. Bognár Á. Balázs"	"Petőfi utca 191.
H-4220 Budafalva"
"Horváth Szabó Julianna"	"Petőfi sándor utca 224.
H-2052 Pécs"
"Szücs Ildikó Aranka"	"Dunaújvárosi út 160.
H-2007 Tamásihida"
"Tóth Györgyné Kovács Ágnes"	"Keresztharasztii utca 14.
H-8440 Sopron"
"Balla Farkas Péter"	"Veszprémi tér 120.
H-2108 Balatonbánya"
"Nagy Veres István"	"Pécsi utca 84.
H-3424 Hajdúnémeti"
"Dr. Bodnár Gáborné Molnár Erika"	"Hídvárosi utca 53.
H-1296 Nyírhetvenhalas"
"Dr. Juhászné Szabó Zsuzsanna Beatrix"	"Kuni utca 124.
H-8304 Mindszenthida"
