"Aaron Put"	"Petruspad 2
7650 Zerkegem"
"Bruno Verstraete"	"Karelsingel 623
9332 Ciergnon"
"Adriana De Meyer"	"Cathylaan 14
3931
Wihogne"
"Robin Sabbe"	"Liensingel 470
9308
Franchimont"
"Maxime Kaur"	"Felixbaan 58
2438
Schoonaarde"
"Roos Ceulemans"	"Hugosingel 148
5352
Thieu"
"Krista De Groote"	"Dirkweg 311
4740
Tielt"
"Johan Demeyere"	"Lauresingel 547
3075 Scherpenheuvel"
"Daniël Desmedt"	"Lindastraat 4
9331
Emptinne"
"Maria Demeulenaere"	"Carinesteeg 4
2153 Werbomont"
"Jasper Lemmens"	"Nadinelaan 8
9687 Thon"
"Ghislain Peeters"	"Cecilering 7
7517 Bilstain"
"Adriana Willems"	"Nataschasingel 18
8096
Amel"
"Mauro Meeus"	"Bilallei 61
9518 Zaffelare"
"Marleen Boone"	"Christinehof 1
7942 Oizy"
"Céline Driesen"	"Timlei 586
3548
Langdorp"
"Virginie Martens"	"Petrasingel 39
8069 Pittem"
"Maria Jacobs"	"Timsingel 37
4903
Beuzet"
"Frederik Verhoeven"	"Simonstraat 6
3831 Oostrozebeke"
"Gerda Matthys"	"Pietersteeg 09
6398
Court-Saint-Etienne"
"Petra Vandewalle"	"Christelboulevard 446
1835
Vreren"
"Sofie Pollet"	"Sofiebaan 60
4074 Niel-bij-As"
"Agnes Deconinck"	"Johannesstraat 323
6084
Buken"
"Diana Verstraete"	"Valeriesteeg 50
5214
Voorde"
"Kobe De Bie Vanhove"	"Imranring 6
5145
Godinne"
"Louis Van de Voorde Verbeke"	"Lindahof 60
9727 Vinkt"
"Mila Vermeire"	"Bertlei 3
5734 Tournai"
"Nadine Jansen"	"Jandreef 61
4102
Bilstain"
"Senne De Smet"	"Berthadreef 8
5694
Elsenborn"
"Yasmine Willaert"	"Rachellei 7
4503
Schaarbeek"
"Véronique Van Laer"	"Vickypad 7
4234 Buvingen"
"Karine Peeters Hendrickx"	"Michelsteeg 2
4969 Omal"
"Agnes Peeters"	"Elenabaan 8
9501 Wilderen"
"Ken Timmermans"	"Juliadreef 8
3643 Forêt"
"Alfons De Clercq"	"Catherinesteeg 5
4978 Mellery"
"Mike Pauwels"	"Stefaniestraat 24
9556
Outrijve"
"Romy Vandewalle"	"Margolei 504
1513 Bombaye"
"Madeleine Mees"	"Rafweg 511
4659
Halen"
"Yvette Vansteenkiste"	"Timdreef 9
2077 Gontrode"
"Sarah Segers"	"Patrickboulevard 45
8308 Sint-Amandsberg"
"Sem Maes"	"Nancylaan 5
7676 Leval-Chaudeville"
"Khalid Smets"	"Lukasweg 039
9636 Ligny"
"Agnes Renders"	"Rubenstraat 8
3399
Berchem"
"Denise Ahmed"	"Jeansteeg 067
8566
Cheratte"
"Lennert Huybrechts"	"Danielboulevard 8
1240
Marbais"
"Leona Pauwels"	"Karimweg 807
4264 Galmaarden"
"Danny Mertens"	"Janasingel 6
3880
Lier"
"Agnes Janssens"	"Stijnlei 23
5641
Framont"
"Emiel Verbiest"	"Tuurdreef 19
6154
Lantremange"
"Luc Van Damme"	"Ritaboulevard 95
2944
Nethen"
"Frank Mertens"	"Gerdasteeg 1
1345
Beffe"
"Bart De Clerck"	"Vincentboulevard 5
1912
Baasrode"
"Ahmad Declercq"	"Zoëpad 76
1484 Sint-Katelijne-Waver"
"Henri Van Lierde"	"Antoinettedreef 56
9429
Ooigem"
"Jan Lippens"	"Ingridlaan 706
5741 Oplinter"
"Dario Declercq"	"Pieterstraat 0
5222
Hofstade"
"Vicky Vercammen"	"Fannylaan 237
1385
Opprebais"
"Paulien Devriendt"	"Françoisdreef 18
4623 Val-Meer"
"Ann Moons"	"Dirkbaan 976
9924
Sint-Maria-Oudenhove-Zottegem"
"Jeannette De Sutter"	"Soniasingel 69
3773
Sint-Michiels"
"Laurent Stevens"	"Sienlei 65
2272
Brugge"
"Sandra Vermeulen"	"Yolandering 658
6017
Nieuwmunster"
"Ahmed Braem"	"Guidoweg 06
5967 Floriffoux"
"Lies Wauters"	"Anoukstraat 66
2974 Herderen"
"Marcella Bollen"	"Marcellaring 808
7787 Wannebecq"
"Ayse Van Parys"	"Emilepad 843
8773
Warzée"
"Marc Verhoeven"	"Johandreef 04
6804 Houthulst"
"David Verhulst"	"Ingesteeg 83
9056 Chanly"
"Joke Colman"	"Zitastraat 3
1731 Remicourt"
"Lana Vandenbussche"	"Jandreef 790
6177
Zele"
"Marijke Janssens"	"Robertweg 7
3506
Nokere"
"Clara De Rycke"	"Isabelbaan 3
8942
Auvelais"
"Ahmed De Bruyne"	"Eviboulevard 548
7073
Ottenburg"
"Jack Proost"	"Jennylei 1
6275
Ciney"
"Walter Moerman"	"Pieterhof 79
6657
Herchies"
"Sanne Baert"	"Gilbertweg 36
3292 Harchies"
"Mathis Raeymaekers"	"Barbaraweg 880
2263
Sint-Eloois-Vijve"
"Filip Van den Bossche"	"Vanessahof 08
4047
Burdinne"
"Mathis Bollen"	"Célinelaan 2
3663
Chairière"
"Britt Lauwers"	"Danielsteeg 55
3870 Boezinge"
"Guy Peeters"	"Peterlaan 62
2532 Sint-Lenaarts"
"Elke Lambrechts"	"Myriamboulevard 732
1424 Sijsele"
"Ahmed Jansen"	"Isabellering 78
1587 Heure-le-Romain"
"Frederick Yilmaz"	"Angèleweg 8
7623 Roux"
"Chantal Vervoort"	"Antoinesteeg 9
8181
Saint-Nicolas"
"Louis Baert"	"Arthursingel 2
7396 Eugies"
"Monique Herman"	"Krislei 1
3291
Overmere"
"Jan Vanhoutte"	"Andréring 4
1591 Vloesberg"
"Andy Daems"	"Lucasboulevard 8
3872 Opoeteren"
"Mia Martens"	"Lienhof 79
5564
Blanden"
"Vincent Adriaensen"	"Carlodreef 95
8306
Arsimont"
"Laura De Coninck"	"Willyhof 263
7419
Jamoigne"
"Ahmed Stas"	"Semsteeg 54
3440
Lembeke"
"Karel Verheyen"	"Maximestraat 25
8690
Trembleur"
"André Demuynck"	"Pieterstraat 516
7315
Steenkerke"
"Monique Bertels"	"Marielei 7
9396
Sart-Eustache"
"Francine Maes"	"Riksingel 7
7796 Hove"
"Yvonne Verdonck"	"Paulsteeg 393
8769
Xhendelesse"
"Jozef Kaur"	"Ayoubstraat 0
5055
Bury"
"Denise Vanhove"	"Filipbaan 0
2096 Elversele"
"Fanny Verdonck"	"Frankdreef 54
4102 Opont"
"Marina Geuens"	"Geertdreef 471
6419 Lens"
"Aicha Michiels Dejonghe"	"Hubertstraat 71
9099 Sart-Dames-Avelines"
"José Verbeeck"	"Charlesweg 44
3366
Linkebeek"
"Arlette Malfait"	"Peterlei 2
6476
Rèves"
"Danny Sterckx"	"Verasingel 520
1740
Saint-Vaast"
"Hélène Mertens"	"Leopoldlei 370
8540 Donceel"
"Paulien De Witte"	"Saskiadreef 46
5811
Ghoy"
"Christiaan Poppe"	"Barbarasingel 20
3607 Lathuy"
"Mathieu Yildirim"	"Lilianedreef 4
5111
Rozebeke"
"Angela Poppe"	"Yvesdreef 921
1591
Walcourt"
"Jacqueline De Clercq"	"Annsteeg 19
1670
Haut-Fays"
"Alain De Bruyn Vermeersch"	"Dirksingel 27
7570
Bornival"
"Filip Goyvaerts"	"Mariaweg 16
9597 Ouffet"
"Christian Viaene"	"Peggybaan 435
3145
Oudergem"
"Astrid Hermans"	"Claudering 779
3762 Glimes"
"Dirk Moens"	"Mariapad 43
2635
Oudenaken"
"Joke Boonen"	"Ritadreef 2
5799
Arc-Wattripont"
"Eddy De Clercq"	"Jordystraat 8
1438 Orp-le-Grand"
"Robert Sterckx"	"Mariolei 0
6532
Cérexhe-Heuseux"
"Fernand Denys"	"Benweg 4
8237
Zwijnaarde"
"Audrey Maes"	"Marie-Louiseweg 2
1749
Achet"
"Alain Demuynck"	"Robbybaan 4
1569
Kain"
"Timothy Vandendriessche"	"Stevendreef 21
2689
Weelde"
"Luc Verhoeven"	"Wendyboulevard 50
3118 Sart-Saint-Laurent"
"Jean Buyse"	"Patricksteeg 11
1653 Zerkegem"
"Stijn Wouters"	"Louiseweg 39
4388
Loncin"
"Joseph De Smedt"	"Sabrinaring 976
8248
Meix-devant-Virton"
"Didier Loos"	"Matsdreef 1
3424 Vosselare"
"Dimitri Vandaele"	"Patrickhof 2
4213 Amougies"
"Wendy Depuydt"	"Jeanninestraat 9
5662
Velaine-sur-Sambre"
"Gregory Neyens"	"Nicolasweg 0
3222 Le Roeulx"
"Alain Engels"	"Timbaan 87
9921
Jambes"
"Freddy Jans"	"Tinesingel 56
3303 Doel"
"Quinten Fransen"	"Heidibaan 694
9879 Thiaumont"
"Julia Verstraete"	"Wouterhof 77
3811
Longlier"
"Etienne Dhondt"	"Angelosingel 3
3119
Gorsem"
"Ivan Adriaensen"	"Jacquelinesingel 7
4215
Sint-Martens-Lierde"
"Robin Goossens"	"Rogerboulevard 082
6588 Humbeek"
"Catharina Sterckx"	"Guillaumebaan 02
3978
Dave"
"Jozef Janssen"	"Heidipad 178
5679
Taintignies"
"Luc Baetens"	"Toonboulevard 148
7213 Desteldonk"
"Alain Janssens"	"Brentbaan 2
5780
Sint-Joris-Nieuwpoort"
"Marc Andries"	"Rudibaan 35
5986 Pepinster"
"Herman De Coninck"	"Sandraring 4
5928 Teuven"
"Bianca Ceulemans"	"Luclaan 67
3600 Sint-Martens-Lennik"
"Martine De Smet"	"Elenalei 182
9367 Saint-Ghislain"
"Ellen Goossens"	"Frederikbaan 0
6214 Peutie"
"Mathieu Rogiers"	"Martinesingel 92
9539 Antwerpen"
"Jonas David"	"Annicksteeg 711
8911
Zegelsem"
"Ingrid De Keyser"	"Rogerbaan 6
6670 Bulskamp"
"Theodoor Van den Eynde Moens"	"Ivanstraat 668
9157 Villers-lez-Heest"
"Alain Moerman"	"Kevinbaan 99
3070
Vreren"
"Peggy Vanhove"	"Mariaring 68
2749
Jemeppe-sur-Sambre"
"Rudi Wouters"	"Rudilaan 08
1845
Meeuwen"
"Natacha Aerts"	"Annicklei 585
8526 Pondrôme"
"Patrick Luyckx"	"Annaboulevard 72
9632 Impe"
"Hendrik Fierens"	"Eliasboulevard 393
3060 Jauchelette"
"Joeri Wauters"	"Paulsteeg 6
6896 Heusden"
"Kjell Verbeeck"	"Miekestraat 617
6575
Lennik"
"Lieven De Bock"	"Oliviasingel 449
8119
Strépy-Bracquegnies"
"Caroline Van Laere"	"Kobehof 6
7868
Gellik"
"Albert Janssens De Maeyer"	"Kathylei 30
6524 Oekene"
"Caroline Verelst"	"Stanweg 537
9102 Meise"
"Leonie Devos"	"Virginiebaan 757
5176
Suarlée"
"Warre Ahmed"	"Edwinstraat 20
4665
Sirault"
"Peggy Claessens"	"Victordreef 1
9513 Eppegem"
"Lotte Jonckheere"	"Stienbaan 254
3452 Bavegem"
"Elisabeth Van Impe"	"Bernadettelaan 3
9224 Ruien"
"Norbert Marien"	"Nelebaan 14
4814
Lauw"
"Josephus Devolder"	"Marinasingel 72
1302 Wolvertem"
"Patrick Van Hoof"	"Amberstraat 312
3863
Ham-sur-Heure"
"Albert Moors"	"Martinlei 1
2343
Jehay"
"Nathalie Put"	"Mariehof 59
4267
Lo-Reninge"
"Céline Vanhoutte"	"Huguettering 3
9547
Nethen"
"Sonja Dhondt"	"Josephhof 033
7178
Haut-Ittre"
"Ilse Geeraerts"	"Lenadreef 3
6016 Mont-Sainte-Geneviève"
"Kimberley Cools"	"Michellaan 950
5317
Fays-les-Veneurs"
"Roger Smolders Gevaert"	"Klaasring 44
9719
Ruiselede"
"Peter Desmedt"	"Marialaan 76
2081
Vlezenbeek"
"Yolanda Wauters"	"Liespad 13
2517 Tielrode"
"Michael Moens"	"Juliapad 57
8761
Leval-Trahegnies"
"Albert Ramaekers"	"Philippering 65
1014
Hamipré"
"Tessa Govaerts"	"Jeanbaan 9
9241
Chanly"
"Eric De Clerck"	"Wimsingel 61
6873
Vremde"
"Michael De Jonghe"	"Wesleyboulevard 12
5329 Tiegem"
"Willy Lauwers Goossens"	"Deanbaan 61
5427 Vucht"
"Francine De Neve"	"Eddyhof 7
9368 Henri-Chapelle"
"Georges Janssens"	"Charlessingel 4
1187 Stavelot"
"Georgette Smets"	"Victordreef 95
3317
Grote-Brogel"
"Jürgen Claessens"	"Daphneweg 15
3177
Stabroek"
"Mehmet Andries Willems"	"Johanneshof 269
9840 Bornival"
"Albert Rutten"	"Claudiaring 7
2952 Vieux-Genappe"
"André Yildirim"	"Patrickdreef 4
4305
Wadelincourt"
"Diane Callewaert"	"Jennypad 523
2004
Tessenderlo"
"Eduard Verstraete"	"Marcelsteeg 1
1629
Lemberge"
"Didier Van Gorp"	"Amirahof 9
8198 Binkom"
"Lies Verboven Jacobs"	"Mariopad 683
9139
Jemeppe-sur-Sambre"
"Emile Bogaert"	"Bertsteeg 55
5097 Villers-Saint-Siméon"
"René Bonte"	"Carlasingel 37
4958 Charneux"
"Albert Singh"	"Pieter-Jansteeg 709
7920
Bossière"
"François Jacobs"	"Anneleenring 31
9415
Eprave"
"Albert Vanneste"	"Sofialaan 673
5981
Neufchâteau"
"Cecilia Baetens"	"Saskiasingel 796
3833 Grand-Hallet"
"Ann Borremans Pieters"	"Jennyhof 59
8649 Villers-en-Fagne"
"Jonas Goossens"	"Nilslaan 63
4192 Munkzwalm"
"Gabrielle Van Gestel"	"Oonabaan 003
8390
Strijtem"
"Ann Mertens"	"Suzannelei 7
6362 Mesnil-Eglise"
"Nicole Wynants"	"Lucsteeg 26
4977 Loncin"
"Melissa Janssens"	"Michaelhof 73
6730
Duffel"
"Paul Cornelis"	"Kurtsteeg 77
5451
Neerglabbeek"
"Anny Mertens"	"Jillpad 5
7190
Herenthout"
"Alex Lenaerts"	"Ernabaan 3
2042
Damme"
"Pieter Janssens"	"Angelopad 5
4582 Halmaal"
"Maurits Dewilde"	"Walterhof 814
9520 Marchipont"
"Christine Vissers"	"Kennethsingel 33
8747 Blanden"
"Robert Ahmed"	"Yannicksteeg 288
9229
Saint-Symphorien"
"Kimberley Goossens De Groote"	"Oliviadreef 14
1558 Zeebrugge"
"Amir Fierens"	"Ronypad 3
5213 Heikruis"
"Karim Verheyen"	"Matthiasbaan 3
8158 Profondeville"
"Sofie Nuyts"	"Nelelaan 53
4069 Battice"
"Emilia De Jonghe"	"Inelaan 2
3381
Vinkt"
"Alex Smits"	"Ritaring 171
5337 Chantemelle"
"Matthias Segers"	"Jolienlei 14
8480
Oudegem"
"Melissa Vandevelde"	"Stijnbaan 911
7203 Monceau-en-Ardenne"
"Mohamed Huysmans"	"Josephinalaan 23
2360 Oosteeklo"
"Christine Engels"	"Loïcsteeg 8
8814
Peissant"
"Lieve Verhaegen"	"Dianalei 5
6980
Profondeville"
"Mila Van Looy"	"Ginetteboulevard 1
9636
Hamipré"
"Carlo Goethals"	"Edithsteeg 6
2477
Goutroux"
"Johanna Van Loock"	"Josephsteeg 84
4110
Handzame"
"Mia Pattyn"	"Deniselei 9
7936
Hamme-Mille"
"Alexander Colman"	"Jackstraat 883
1417
Pussemange"
"Marc Michielsen"	"Jansteeg 689
7552
Verrebroek"
"Ria Proost"	"Stefanlei 730
4348 Morville"
"Tim De Wolf"	"Kenhof 7
7788
Nieuwrode"
"Marie De Meester"	"Theresiabaan 59
1464
Houtain-Saint-Siméon"
"Andreas Vansteenkiste"	"Cornelialaan 528
9087
Grote-Brogel"
"Daniël Polfliet"	"Renéehof 50
3859
Habay-la-Neuve"
"Leo Mertens Verschueren"	"Laurapad 1
7004
Onkerzele"
"Kathleen Jacobs"	"Yassinepad 70
2709
Richelle"
"Hans Geerts"	"Liesbethpad 81
3389
Bonnert"
"Alexander Hendrickx"	"Odetteweg 47
6087 Neufvilles"
"Juan De Paepe"	"Bramstraat 59
2822
Sint-Jans-Molenbeek"
"Valérie Van Roy"	"Lennertsteeg 8
5310
Hautrage"
"Emmanuel Mertens Raes"	"Malikasteeg 396
1965
Bolinne"
"Marie Deceuninck"	"Marietteweg 42
9590 Froidchapelle"
"Tim Baert"	"Michellesingel 4
4186 Sint-Kruis"
"Jeannine De Vos"	"Mauriceweg 53
2843 Gijzegem"
"Stefanie Melis"	"Liseweg 161
4688 Yvoir"
"Sven Devos"	"Tuurhof 06
3448
Flamierge"
"Monique Verbeke"	"Sanderlaan 36
9434
Saint-Vaast"
"Alexander Moerman"	"Dietersteeg 8
9851
Chairière"
"Finn Degroote"	"Sabrinabaan 8
8238
Alveringem"
"Frank Liekens"	"Simonlaan 17
3895 Pepinster"
"Katrien Sanders"	"Carolinasteeg 32
8252
Bauffe"
"Sonja De Roover"	"Fleurstraat 18
9551 Oostakker"
"Audrey Vandeputte"	"Elenasteeg 2
4846 Hever"
"Sven Van de Velde"	"Peterlei 90
1382 Wanlin"
"Roland Vermeulen Dewilde"	"Kiaraweg 81
2653
Vaalbeek"
"Adam De Coster"	"Marchof 3
9436 Andrimont"
"Juul De Weerdt"	"Dominiquebaan 68
7271 Spiere-Helkijn"
"Alexander Peeters"	"Marialaan 6
4760 Lantin"
"Kelly De Jonghe"	"Amberpad 13
3852 Yvoir"
"August Claessens"	"Lucasstraat 27
4811
Erpent"
"Gert De Ridder"	"Ronnyboulevard 2
2001 Leers-Nord"
"Luc Janssen"	"Joliensteeg 666
5048
Ochamps"
"Maya De Pauw"	"Nicosingel 179
6345
Nil-Saint-Vincent-Saint-Martin"
"Annie De Vos"	"Aurélieweg 86
4519
Pontillas"
"André Kaya"	"Roberthof 6
1122
Lemberge"
"Lynn Raes Van der Linden"	"Nicoleweg 24
9867 Kallo-Kieldrecht"
"Martine Bollen Verlinden"	"Nellypad 66
4938 Jodoigne"
"Alexander Sanders"	"Rudysingel 4
3665
Ramsel"
"Kathleen Pauwels"	"Jeanninesteeg 10
8891
Parike"
"Marleen Mees"	"Albertlaan 49
7531
Sint-Martens-Latem"
"Annie Jacobs"	"Marie-Thérèselaan 603
2097
Racour"
"Joanna Vleugels"	"Wardsingel 8
2621
Lesve"
"Marcella Van Daele"	"Sabinering 04
6468
Les Waleffes"
"Sam Van den Bergh"	"Joycesingel 66
4712
Ottignies-Louvain-la-Neuve"
"Kevin Nuyts"	"Lukasweg 01
8628
Latour"
"Caroline Boonen"	"Robertweg 86
4341
Moere"
"Martin Callens"	"Dannypad 77
6820 Marchovelette"
"Alexander Steyaert"	"Yanaboulevard 4
9794 Adegem"
"Nancy Mortier"	"Elliesteeg 914
1591
Weismes"
"Maurice Deckers"	"Nancybaan 4
3954 Saint-Jean-Geest"
"Claudine Saelens"	"Willysingel 79
5408
Cognelée"
"Zoë Vandenbroucke"	"Albertpad 89
2066 Ramelot"
"Katrien Vos"	"Nicolestraat 5
8856 Membre"
"Arthur Lenaerts"	"Maartenring 8
9468 Boncelles"
"Rosa Maes"	"Madeleinebaan 577
7874 Kessel-Lo"
"Xavier Hermans"	"Josephboulevard 748
9832 Dikkebus"
"Sandra Van den Broeck"	"Nancybaan 5
1316 Kumtich"
"Alexander Van den Broeck"	"Thomaslaan 8
9472 Schalkhoven"
"Rosalie Boone"	"Larsweg 260
1162 Hamme-Mille"
"Patrick Geerts"	"Ericlaan 7
1135 Petit-Roeulx-lez-Braine"
"Liesbet Devos"	"Sofiabaan 968
6136
Spa"
"Jessica Van de Velde"	"Hannasteeg 4
8414 Bouffioulx"
"Inge Maertens Ooms"	"Hélèneboulevard 7
5500
Straimont"
"Bert Rogiers"	"Davidbaan 95
9712
Elen"
"Wannes Vandenbroucke"	"Alexandraring 29
8741 Niel-bij-Sint-Truiden"
"Peggy Goossens Maes"	"Guidolaan 49
9573
Hoeke"
"Eveline De Meyer"	"Charlottepad 449
3749
Zedelgem"
"Alexandra Janssens"	"Jarnoring 48
9233 Baaigem"
"Geert Vandenberghe"	"Leopad 9
3430
Halle"
"Martine Pollet Vranckx"	"Lodebaan 67
3656 Hamoir"
"Maria Lammens"	"Wilhelmussteeg 129
9378
Leke"
"Anita Verheyen"	"Elisalei 280
6174 Deux-Acren"
"Alain Steyaert"	"Godelievering 89
2276 Wakken"
"Diana Van Hoecke Boonen"	"Guidostraat 974
2985 Sautin"
"Nick Seghers"	"Laraboulevard 3
1699
Adegem"
"Manuel Dupont"	"Irisstraat 8
2371 Neerijse"
"Carine Geerts"	"Saskiabaan 4
6034 Lathuy"
"Alexia De Ridder"	"Jokering 182
4924 Wattripont"
"Maria Huybrechts"	"Xanderlaan 79
8188 Boncelles"
"Norbert Moens"	"Joachimring 7
7334
Roosbeek"
"Godelieve Verhaegen"	"Tomboulevard 7
5640
Hermée"
"Amira Beyens"	"Frankpad 864
9355
Heure"
"Melissa Maes"	"Thomassteeg 0
7111
Welden"
"Luc Bauwens"	"Svenlaan 906
4026
Seraing"
"Patrick Vermeersch"	"Marleenweg 2
8478 Vloesberg"
"Maria Rutten"	"Angelinaboulevard 111
4861 Kieldrecht"
"Nore Aerts"	"Annicklei 6
9650 Wijgmaal"
"Alexia Melis"	"Tomboulevard 19
8445 Membre"
"Rani Janssens"	"Daphnepad 40
3747 Ligny"
"Anne Neyens"	"Jonasring 5
1310
Limal"
"Ann Claes"	"Simonhof 52
2875
Anlier"
"Jeroen Desmet"	"Mariastraat 688
1686 Veltem-Beisem"
"Marianne Maes"	"Willybaan 81
6045 Rouvroy"
"Henriette Maes"	"Moniquesingel 97
1223
Wijchmaal"
"Wim Maes De Witte"	"Alexanderstraat 41
8969
Jodoigne"
"Gabriella Hermans"	"Idalaan 2
4891
Serville"
"Carmen Bogaerts"	"Bobbaan 66
1172 Bray"
"Alexia Peeters"	"Annsingel 572
3925
Néchin"
"Hilda Desmedt"	"Gerthof 137
4989
Drogenbos"
"Laura Pattyn Timmermans"	"Fienweg 8
9572
Sint-Denijs-Boekel"
"Cédric Eeckhout Goovaerts"	"Johanneslei 389
8351 Roucourt"
"Jeanne Geerts"	"Peggylaan 639
9616 's-Gravenvoeren"
"Rachel Claes Geuens"	"Philipdreef 96
3407 Langemark-Poelkapelle"
"Flor Verlinden"	"Marialaan 673
4666 Grosage"
"Diana Roose"	"Michaeldreef 94
3226
Brecht"
"Hilde Boeckx"	"Lucashof 75
1002
Wandre"
"Maria Bauwens Claes"	"Mariannesteeg 363
9580
Zerkegem"
"Alexis Meyers"	"Isabellestraat 36
6415 Dréhance"
"Roger Verfaillie"	"Johnsingel 088
1761 Anthée"
"Hassan Vermeulen"	"Peggydreef 6
1992
Seny"
"Maria Goossens"	"Brunolaan 56
8711 Havay"
"Sara Demuynck"	"Marcpad 89
4807 Rijkel"
"Karin Verhaeghe"	"Leensingel 762
1104 Arc-Wattripont"
"Bernard Torfs"	"Guypad 56
1696
Dinant"
"Peter Colman"	"Martinelei 07
3824 Hognoul"
"Joeri Desmet"	"Anpad 6
1534
Zomergem"
"Ilyas Swinnen"	"Thomasweg 53
3648
As"
"Alfons Bogaert Vermeulen"	"Jean-Pierrelei 173
4308 Munte"
"Erna Adriaensen"	"Marcring 87
5538
Baugnies"
"Marc Philips"	"Janahof 9
2594 Lesve"
"Tine Maes"	"Cédricstraat 01
5258 Itterbeek"
"Evi Daems"	"Annickring 213
5880 Kortrijk-Dutsel"
"Linda Janssens"	"Ilsesteeg 4
4178
Meslin-l'Evêque"
"Tom Delaere"	"Kevinpad 72
4551
Gijzenzele"
"Claudine Deman"	"Kobesteeg 877
3677 Comblain-au-Pont"
