"Adrian Ahmed","Mikkelsengjerdet 6, 6404 Tobiashamn"
"Grethe Lunde","Edvardsenrøa 18E, 6659 Karenmark"
"Ole Jacobsen","Andreassenstranda 99, 7826 Nielsen"
"Jenny-Julie Mikkelsen","Kristoffersenmyra 8, 0034 Christensen"
"Else Eriksen","Ruudåsen 695, 3146 Bakke"
"Sara-Randi Helland","Olsenrøa 96F, 0986 Madsen"
"Magne Hansen","Moefaret 3, 4367 Thomasmark"
"Alexander-Bjørn Aasen","Moemoen 763, 2528 Nilsen"
"Anna Nielsen","Strømløkka 83, 7862 Knutsen"
"Kari Lund","Pettersentjernet 65E, 1371 Mikkelsen"
"Markus Pettersen","Bergekollen 41C, 9176 Tomsand"
"Maren Nielsen","Andreassenmarka 6, 5713 Larssand"
"Frank Thorsen","Thorsenjordet 2, 0546 Stinestrøm"
"Anne Gundersen","Bøegrenda 30B, 3195 Anettefoss"
"Adrian Amundsen","Sørensenåsen 87, 3283 Larsen"
"Thea Arnesen","Kristoffersenflata 320, 0728 Gretesjøen"
"Mette Sørensen","Knutsenmoen 4, 4441 Ellingsen"
"Alexander-Odd Edvardsen","Eidehaugen 9, 2430 Magnevær"
"Malin Thorsen","Rønningstykket 1, 1010 Ødegård"
"Astrid Aasen","Jørgensenvollen 93, 8548 Tonegrunn"
"Erik Dahl","Moenbakken 7, 9091 Ruthby"
"Odd Hanssen","Hauglandlyngen 07F, 3759 Kristinemark"
"Torbjørn-Leif Isaksen","Nguyenhavna 61, 9659 Bjørgås"
"Lise Strøm-Amundsen","Tveitgata 275, 5695 Nygård"
"Fredrik-Stian Haugen","Ahmedlyngen 8, 1516 Nielsen"
"Turid Paulsen","Karlsenringen 8, 6005 Robertby"
"Andreas-Geir Abrahamsen","Strandhaugen 4, 2975 Theahelle"
"Alexander-Stig Larsen","Hanssenroa 6, 9372 Karistad"
"Tonje Aune","Pedersenstubben 2, 0143 Berge"
"Hege Vik","Kristiansengata 8, 3792 Christianbø"
"Maren Strøm","Birkelandvollen 1, 9035 Andreassen"
"Gro-Irene Larsen","Johnsenroa 9, 1207 Unniøy"
"Fredrik Solberg","Andreassenbakken 4, 2937 Larshelle"
"Kirsten Jenssen","Johannessengata 6, 9499 Kristensen"
"Elisabeth Nguyen","Haugstien 1, 9774 Lund"
"Mari Sæther","Madsenkroken 1, 0135 Torillstad"
"Kristine Andersen","Iversentunet 4, 0253 Edvardsen"
"Alexander-Tom Jenssen","Andresenskogen 7, 1802 Solberg"
"Kenneth Pettersen","Hellandlunden 19, 1825 Berg"
"Roy Andresen","Thorsenstien 24B, 8118 Sigridhavn"
"Kristin-Eli Tangen","Myklebustkroken 9D, 5733 Nguyen"
"Roar Haugen","Tveitrøa 08, 5515 Henriksen"
"John Ali","Tangeneggen 322, 5119 Rønning"
"Siri Halvorsen","Isaksentjernet 9A, 1955 Siljestrand"
"Liv Sæther","Jørgensenhaugen 599, 9554 Danielfoss"
"Prof. Erling Jakobsen","Knudsenrøa 9, 4591 Annstrøm"
"Emilie Bakke","Thorsensvingen 00, 1723 Elsenes"
"Alf Andersen","Sætherstykket 83A, 8605 Oleby"
"Reidun Thorsen","Bakkenvollen 3A, 0433 Vik"
"Markus-Mathias Myhre","Larsenekra 30, 9210 Thorsen"
"Espen-Sondre Tangen","Nygårdstykket 7, 0524 Holm"
"Håvard Kristiansen","Lundelia 59, 7282 Emilby"
"Vegard Bakken","Sandvikåsen 45, 1736 Ellenbø"
"Hege Simonsen","Moenfaret 4B, 5510 Myklebust"
"Gro Pedersen","Andersenstranda 4, 8564 Dahl"
"Roar Nilsen","Henriksenløkka 8, 2176 Haraldodden"
"Silje-Marte Berge","Thorsenløkka 9, 9684 Iversen"
"Alf Eliassen","Abrahamsenåsen 453, 9347 Abrahamsen"
"Irene Næss","Jenssenekra 52, 7503 Ingridfjord"
"Sofie Haugen-Jenssen","Nilsenmyra 5, 9119 Janneeid"
"Mathias Aas","Birkelandalléen 63, 9636 Lund"
"Jorunn Lie","Svendsenstykket 2, 8626 Wenchesjøen"
"Linn Berg","Jacobsenspranget 2A, 4298 Petterhavn"
"Else Arnesen","Brekkehaugen 96, 2331 Madsen"
"Magne Andresen","Nielsenroa 1G, 5630 Lunde"
"Wenche-Ann Berge","Berghaugen 86, 7867 Metteås"
"Grethe Haugland","Bakkenløkka 6, 0823 Bakke"
"Alf Holm","Rønninggropa 07, 2665 Simonsen"
"Magne Jenssen-Jacobsen","Vikgjerdet 80C, 2979 Nielsen"
"Turid Haug","Bakkeringen 833, 9262 Mariusstrand"
"Håvard Myhre","Karlsenkollen 9B, 1552 Dahl"
"Tommy Birkeland-Tangen","Hanssenmarka 80, 8274 Pedersen"
"Espen Berntsen-Kristoffersen","Kristiansenstubben 3, 1620 Kristiansen"
"Rita Aasen","Brekkeekra 194, 8262 Mikkelsen"
"Håkon Næss","Arnesenmoen 1C, 7486 Kristinesand"
"Egil Sæther","Iversenhagen 4, 5131 Synnøvevik"
"Kirsten Madsen","Fredriksenflata 6, 1104 Asbjørndal"
"Alf Myklebust","Edvardsenroa 9B, 8396 Ruthberg"
"Aud Halvorsen","Sørensenvollen 5, 3292 Groborg"
"Jenny Solheim","Sivertsenmarka 08, 2494 Nielsen"
"Tommy Johansen","Mathisenlyngen 89, 6691 Magnusnes"
"Reidun Haugen","Myhrehaugen 04, 8674 Stianborg"
"Prof. Jonas Strand","Bøegata 12, 9628 Kjelløy"
"Jonas Hagen","Haugmyra 17, 7431 Dagfjell"
"Elin Jørgensen","Auneeggen 9, 9226 Ingridberg"
"Jonas Haugland","Eriksenringen 00F, 1400 Nilsen"
"Berit-Camilla Solheim","Eliassengjerdet 08, 3535 Asbjørnvåg"
"Alf Næss","Danielsenspranget 337, 9309 Monahamn"
"Daniel Eriksen","Nielsenbakken 24, 0867 Madsen"
"Johan Haugland","Aasenbråten 6, 2685 Svendsen"
"Andreas Næss","Brekkestubben 98C, 0765 Tomø"
"Heidi Jakobsen","Simonsenvollen 34, 7166 Emmasund"
"Lise Martinsen-Ellingsen","Pedersenkollen 20, 2606 Sofiesand"
"Hege Olsen-Ahmed","Lienkollen 2, 5572 Solberg"
"Johannes Isaksen","Myhretjernet 7, 4547 Martinegrunn"
"Gro-Gunn Edvardsen","Eideskogen 8, 2878 Bjørnøy"
"Prof. Håkon Solheim","Ruudlunden 57H, 9044 Beritvær"
"Alf Sandvik-Holm","Ødegårdeggen 9, 6028 Elisesund"
"Randi Gulbrandsen","Bergberget 63A, 7357 Karinvik"
"Håkon Tangen","Sætheråsen 5, 3768 Sørensen"
"Mathias Kristoffersen-Kristiansen","Lundeløkka 09D, 1360 Olefjell"
"Hans Myhre","Hanssenstien 1D, 5530 Finnvær"
"Vidar Abrahamsen","Bergstien 7, 3028 Haug"
"Prof. Thomas Tveit","Nielsenkroken 50, 4308 Geirfjord"
"Unni-Marianne Lund","Berntsenkroken 893, 4264 Sørensen"
"Odd Thomassen","Pedersenkroken 55, 2326 Sørensen"
"Reidun Amundsen-Paulsen","Andresenholtet 3, 2901 Sisselås"
"Alf-Dag Isaksen","Abrahamsenplassen 4, 3416 Livvær"
"Maren Eriksen","Knudsengropa 11, 1080 Roarfjord"
"Nora-Marit Bakke","Thomassengropa 25C, 4361 Aune"
"Martine Jørgensen","Madseneggen 48, 8788 Abrahamsen"
"Adrian-Jon Jenssen","Bakkenholtet 99C, 2718 Tveit"
"Aud Ruud","Abrahamsenberget 41, 8981 Stianbø"
"Line Henriksen","Amundsenroa 640, 7035 Arnestad"
"Sigurd Karlsen","Jørgensenlunden 8, 1729 Myhre"
"Mette-Marianne Sørensen","Berntsenekra 3, 5282 Hanssen"
"Robert Pettersen","Lundeplassen 692, 5586 Johannessen"
"Alf-Finn Hanssen","Hauglandskrenten 1, 6863 Leifby"
"Kenneth Moen","Andreassenengen 9, 0511 Moe"
"Christian Ali","Jørgensensvingen 70F, 7433 Vidarby"
"Øyvind Sørensen","Jakobsenstubben 27D, 1400 Andreasjøen"
"Anders Iversen","Henriksenalléen 2A, 2428 Norastrand"
"Terje Holm","Lundemarka 78, 8662 Sandvik"
"Reidun-May Isaksen","Gundersenkroken 49, 5426 Ninaby"
"Cathrine-Emilie Tangen","Sandvikholtet 16, 3402 Ødegård"
"Frank-Hans Bakken","Jørgensenspranget 5, 5009 Danieleid"
"Ellen Evensen","Johansenhagen 20, 0871 Synnøvesund"
"Alf-John Mathisen","Lundalléen 5, 6084 Christensen"
"Stig Svendsen","Knudsenlunden 84D, 4607 Alfsund"
"Robert Thomassen","Karlsensvingen 7, 4003 Henriksen"
"Eirik Pettersen","Jenssenlyngen 94, 2034 Holm"
"Trond Gulbrandsen","Mikkelsenringen 00, 6897 Jorunnfjell"
"Leif-Erik Sæther","Abrahamsenstykket 3, 8924 Marievik"
"Håvard Evensen","Johansenstranda 929, 6687 Thorsen"
"Grethe-Emilie Aas","Hagenvollen 45, 2102 Aune"
"Ola Ruud","Danielsengrenda 3C, 8135 Alexanderby"
"Espen-Andreas Berg","Hauglunden 19, 8796 Aasen"
"Anders Gundersen","Bakkegrenda 99D, 5610 Strand"
"Karoline Berntsen","Sandvikjordet 2, 0617 Haug"
"Martine Moe","Bakkeflata 47F, 2937 Jacobsen"
"Eirik Arnesen","Nielsenhagen 6, 1106 Nygård"
"Karin-Line Nielsen","Tangengata 5, 2615 Elineid"
"Karin Pedersen","Jakobsenekra 5F, 6902 Kristiansen"
"Bjørg Fredriksen","Isaksenhagen 62, 8154 Aune"
"Sebastian-Asbjørn Kristensen","Edvardsenvika 24, 2676 Birkeland"
"Kirsten Gundersen","Ahmedtjernet 36B, 3061 Kennethsund"
"Dr. Terje Larsen","Rasmussenmoen 34, 7954 Aune"
"Anders Halvorsen","Rasmussenhagen 19, 3119 Mathiasdal"
"Hege Haug","Fredriksentoppen 06, 5734 Jennyborg"
"Torbjørn Andreassen","Nguyenløkka 90, 5398 Jensen"
"Sverre Kristensen","Halvorsenlia 2A, 5492 Mariafjell"
"Mette Sæther","Gulbrandsenvollen 334, 6517 Berg"
"Asbjørn Tangen","Birkelandhaugen 9, 2708 Iversen"
"Dr. Ola Ali","Strandmarka 558, 5953 Larsodden"
"Siv Amundsen","Ahmedholtet 3, 3880 Marenhavn"
"Heidi Nguyen","Bøeroa 1, 4967 Frodemark"
"Lars Jenssen","Andersentunet 2, 0636 Ceciliegrunn"
"Anders Hansen","Næssberget 30, 7545 Jakobsen"
"Sindre-Martin Eliassen","Næssskrenten 41, 5547 Solheim"
"Kari Berg","Johnsenberget 2A, 3999 Anetteberg"
"Marianne Pedersen","Sandvikløkka 414, 6986 Brekke"
"Olav Christensen-Vik","Martinsenhøgda 43, 1923 Olsen"
"Anna Hansen","Fredriksenhaugen 26C, 4691 Håvardstrand"
"Cecilie-Karoline Sivertsen","Pedersenåsen 7, 1742 Thomassen"
"Karl Ødegård","Antonsenkollen 43E, 0799 Jensen"
"Grete Sandvik","Christensenholtet 6C, 8767 Kristensen"
"Tom Ahmed","Nielsenplassen 9, 3178 Engen"
"Anders Jensen","Madsenroa 4, 5941 Rønning"
"Mathias Knudsen","Næssmarka 2, 8588 Kristensen"
"Line Vik","Ødegårdplassen 99, 3925 Adrianvåg"
"Joakim Johannessen","Bøelunden 59, 1634 Kristoffersen"
"Johan Christensen","Halvorsensvingen 7, 9611 Abrahamsen"
"Helene Jacobsen","Sørensenvika 01A, 6178 Jakobsen"
"Arild Haugland","Moetoppen 11A, 5551 Berge"
"Elisabeth-Ingrid Thomassen","Tveitmyra 6, 7502 Steinargrunn"
"Einar Rasmussen-Knutsen","Aasenkollen 05, 6000 Evahelle"
"Line Jensen","Mathisengata 6C, 7193 Olsen"
"Anders Knudsen-Lund","Bakkenberget 3F, 8607 Irenestad"
"Stig-Kjetil Strøm","Holmhøgda 9E, 0459 Jenssen"
"Jenny-Turid Svendsen","Isaksenekra 85, 9308 Annefjell"
"Nina Karlsen","Eriksengrenda 80, 2140 Tomby"
"Liv Larsen","Berntsentoppen 4, 6571 Antonsen"
"Magnus-Dag Olsen","Solbergmarka 64, 7876 Astridhelle"
"Asbjørn Strand","Lundkollen 02, 1003 Ali"
"Lene Simonsen","Ahmedhøgda 8, 3669 Gundersen"
"Linda Jenssen","Karlsenskrenten 4F, 9850 Solberg"
"Eva Eriksen","Rasmussenlyngen 81, 5752 Iversen"
"Anders Myklebust","Jørgensenstykket 56, 3592 Torbjørnstrøm"
"Gunnar Ellingsen","Hellandtoppen 6B, 1207 Ritahelle"
"Ingeborg Holm-Isaksen","Mikkelsenskogen 2B, 9532 Bjørnnes"
"Tom Haug","Ahmedplassen 05D, 6071 Helland"
"Bente Sandvik","Danielsenhavna 6, 3062 Mariusby"
"Ivar-Pål Ahmed","Strømskogen 9, 7098 Vidarberg"
"Helene Kristoffersen","Svendsenroa 1, 0552 Kjellsund"
"Marianne Mathisen","Jørgenseneggen 379, 7798 Aune"
"Sebastian Gulbrandsen","Karlsenlyngen 7D, 7709 Ahmed"
"Emil-Lars Solheim","Knutsengjerdet 37, 4321 Næss"
"Anders Strøm","Nygårdeggen 08C, 4243 Lailavær"
"Rita Hagen-Nilsen","Bakkeskogen 5, 8659 Kennethnes"
"Mari Moen","Aasmyra 018, 6466 Knudsen"
"Stian Sæther","Isaksentoppen 5B, 4794 Martinsen"
"Eva Andresen","Solheimtjernet 4, 7337 Hanssen"
"Roger Rasmussen","Nielsengjerdet 1, 5460 Strøm"
"Karen Sørensen","Ahmedeggen 71, 9028 Wenchestrøm"
"Ole Haug","Haugerøa 9, 4467 Camillavær"
"Randi Christensen","Thomassenstranda 48B, 1698 Andreassen"
"Prof. Jan Martinsen","Haugenekra 4, 2930 Johansen"
"Anders-Emil Moen","Simonsenmoen 3, 3588 Bjørgstrand"
"Kenneth Ellingsen","Antonsenjordet 24, 6518 Steinmark"
"Dr. Pål Lien","Johansenflata 7E, 6165 Sverreøy"
"Torill-Sissel Berg","Jørgenseneggen 9A, 4119 Abrahamsen"
"John Larsen","Larsentjernet 2, 7973 Hauge"
"Solveig Dahl","Kristensenskrenten 8, 6289 Strand"
"Else Lunde","Evensenhavna 3A, 8995 Ellingsen"
"Prof. Adrian Sørensen","Karlsenskrenten 5, 4595 Simenbø"
"Sander Iversen","Nygårdmarka 264, 9342 Kjellvåg"
"Reidun Danielsen-Lund","Bergløkka 1B, 8161 Tveit"
"Anders-Marius Lien","Tveithaugen 48A, 2333 Lisefjord"
"Roar Haugen","Hellandstubben 4, 5513 Evensen"
"Emilie Kristensen","Bakkestykket 3B, 7096 Finnhelle"
"Bente Danielsen","Olsenflata 6, 5731 Eriksen"
"Ingrid Nygård","Isaksenbakken 3, 2192 Karlsen"
"Johan Eide","Johnsenvollen 44F, 1634 Sveinhamn"
"Elisabeth Jørgensen-Vik","Moenspranget 84, 3473 Ingridberg"
"Sondre Mikkelsen","Alilia 36, 9941 Lunde"
"Marianne Hauge","Johansensvingen 2, 8097 Elinstad"
