"Aaron Svensson"	"Storvägen 011
22772 Göteborg"
"Åke Niklasson"	"Parkgatan 33
40442 Göteborg"
"Kristina Nilsson"	"Kyrkogatan 3
24357 Piteå"
"Agnes Westerlund"	"Järnvägstorget 71
96855 Skellefteå"
"Ahmed Dahlberg"	"Aspvägen 4
68386 Västerås"
"Anna-Maria Karlsson"	"Björkvägen 19
22018 Sandviken"
"Eva Ahmad"	"Kyrkvägen 976
13690 Trollhättan"
"Eva Eriksson"	"Åkergatan 531
64082 Örnsköldsvik"
"Elin Ali"	"Trädgårdsvägen 83
51440 Piteå"
"Victor Johansson Larsson"	"Industrivägen 0
19418 Piteå"
"John Larsson"	"Industritorget 7
73980 Ängelholm"
"Gunnel Petersson"	"Grantorget 202
29318 Varberg"
"Bo Jonasson"	"Villatorget 913
75617 Uppsala"
"Agneta Hellberg"	"Aspgatan 3
41761 Alingsås"
"Frida Andersson"	"Bäckgatan 096
44264 Göteborg"
"Olof Hallberg"	"Strandstigen 914
23302 Trollhättan"
"Elsa Södergren"	"Fabrikstorget 630
89966 Gävle"
"Mikael Dahlgren"	"Backvägen 44
83917 Göteborg"
"Katarina Forsberg"	"Furustigen 88
72353 Borås"
"Roland Nilsson"	"Skogsgatan 5
74801 Karlskrona"
"Anton Palmqvist"	"Storgatan 308
27917 Örnsköldsvik"
"Ellie Fredriksson"	"Nyvägen 54
20548 Gävle"
"Eleonor Henriksson-Englund"	"Villavägen 9
15177 Helsingborg"
"Agneta Mårtensson Henriksson"	"Skolvägen 6
45879 Örnsköldsvik"
"Ann Schmidt"	"Parkvägen 086
84783 Varberg"
"Elsa Nordin"	"Bäcktorget 558
94553 Gävle"
"Jessica Åberg Bengtsson"	"Industrigränd 035
11966 Ängelholm"
"Peter Fredriksson"	"Granvägen 4
68559 Västerås"
"Anna Blomqvist"	"Kvarntorget 384
96365 Karlskrona"
"Hassan Lindström-Blomberg"	"Åkergatan 007
76609 Norrköping"
"Ronny Holm"	"Grangatan 4
21402 Gävle"
"Linnéa Backman"	"Genvägen 81
77992 Eskilstuna"
"Gösta Kristoffersson"	"Stortorget 1
60998 Motala"
"Agneta Palm"	"Trädgårdsvägen 881
26979 Trelleborg"
"Cecilia Nilsson Nilsson"	"Industrivägen 41
51189 Landskrona"
"Maud Larsson"	"Parkstigen 522
44737 Linköping"
"Karl Martinsson"	"Björkstigen 678
75063 Örebro"
"Knut Karlsson Jansson"	"Nyvägen 076
35276 Norrköping"
"Willy Nilsson"	"Strandtorget 436
11505 Helsingborg"
"Ivar Hermansson"	"Stationstorget 2
60128 Örebro"
"Gunilla Andersson-Norlin"	"Kvarngatan 125
45506 Lund"
"Eva Jonsson Blom"	"Strandtorget 2
34703 Lund"
"Lilian Andersson"	"Björkgränd 040
43441 Nyköping"
"Agneta Sjöstrand"	"Järnvägsvägen 93
69765 Skövde"
"Tobias Lundh"	"Grangatan 4
34054 Halmstad"
"Hanna Johnsson"	"Trädgårdsgatan 52
66913 Luleå"
"Linda Karlsson Torstensson"	"Ängsgatan 04
93041 Skövde"
"Katarina Eriksson"	"Storgränd 1
89609 Växjö"
"Betty Eriksson"	"Järnvägsgränd 002
10354 Alingsås"
"Mariann Bergman"	"Kyrkvägen 97
82504 Helsingborg"
"Theo Lund"	"Kyrkgatan 77
65183 Karlskrona"
"Alvin Westerlund-Johansson"	"Genstigen 6
54345 Halmstad"
"William Rydberg"	"Bäckgränd 893
70962 Halmstad"
"Ahmad Karlsson"	"Fabriksvägen 10
79995 Västerås"
"Marcus Ali"	"Furugatan 1
44807 Uppsala"
"Ruben Karlsson"	"Villavägen 2
71301 Nyköping"
"Elvy Fransson"	"Industrivägen 107
52683 Stockholm"
"Per Hassan"	"Backvägen 8
70866 Skellefteå"
"Alexander Andersson Gustafsson"	"Björkgatan 94
99642 Umeå"
"Ulf Hedlund"	"Kyrkovägen 2
67036 Lidingö"
"Samuel Eriksson"	"Skolgatan 7
10723 Lidingö"
"Elisabeth Holmberg"	"Stortorget 05
96599 Södertälje"
"Erik Haraldsson"	"Skogsvägen 5
33179 Jönköping"
"Ahmad Stenström"	"Granvägen 0
72248 Alingsås"
"Juhani Boman"	"Parkgatan 8
23476 Norrköping"
"Kerstin Lind"	"Strandvägen 756
76899 Mölndal"
"Jonas Johansson"	"Parkgatan 0
23764 Örebro"
"Sven Olsson"	"Järnvägstorget 639
99702 Varberg"
"Lars Johansson-Söderberg"	"Järnvägsgatan 562
61925 Örebro"
"Eva Larsson"	"Aspgatan 8
98287 Piteå"
"Vendela Petersson"	"Stationstorget 4
34203 Motala"
"Rikard Forslund"	"Åkerstigen 27
99710 Göteborg"
"Margareta Nilsson"	"Björkgatan 491
17915 Stockholm"
"Ahmed Jensen"	"Aspstigen 2
23821 Uppsala"
"Kent Larsson"	"Parktorget 360
87661 Varberg"
"Leo Gustafsson"	"Industrigränd 08
75776 Uppsala"
"Maria Hansen"	"Aspstigen 38
43731 Alingsås"
"Stella Lundgren-Gustafsson"	"Skogsstigen 86
14425 Södertälje"
"Bertil Lindqvist"	"Industritorget 1
53279 Luleå"
"Theo Eklöf"	"Kvarnvägen 50
18543 Malmö"
"Margareta Olsson"	"Aspvägen 528
61202 Trelleborg"
"Mathias Andersson"	"Åkervägen 25
16353 Trollhättan"
"Urban Andersson"	"Granvägen 27
72039 Uppsala"
"Ahmed Josefsson"	"Strandtorget 139
94498 Varberg"
"Michael Eriksson"	"Stationsvägen 5
66972 Falun"
"Angela Axelsson"	"Stationsstigen 0
76017 Uddevalla"
"Christina Karlsson"	"Ängsgatan 06
68197 Trelleborg"
"Hamza Hussein-Johansson"	"Bäckvägen 993
63812 Karlstad"
"Tommy Olsson Holmberg"	"Kyrkovägen 0
10599 Skellefteå"
"Ingrid Haglund"	"Ringgatan 2
37190 Lidköping"
"Linda Söderberg Andrén"	"Kvarngränd 530
22639 Landskrona"
"Oskar Persson-Möller"	"Bäckvägen 662
61286 Borås"
"Mariana Nilsson-Hermansson"	"Skolgatan 82
99358 Lidingö"
"Ahmed Lundgren"	"Skolgatan 434
39727 Mölndal"
"Jan Jansson"	"Ringtorget 178
28354 Örnsköldsvik"
"Kerstin Bohlin"	"Aspstigen 260
93258 Karlstad"
"Joakim Eriksson"	"Industrivägen 2
57273 Nyköping"
"Markus Olsson Sundberg"	"Idrottsgränd 0
58325 Falun"
"Melvin Sandberg"	"Ekgatan 42
42322 Falun"
"Ola Österberg Svensson"	"Stationsstigen 6
22683 Ängelholm"
"Torsten Johansson"	"Parkgatan 9
20295 Karlstad"
"Albin Kristensson"	"Kyrktorget 96
74617 Karlstad"
"Oscar Svensson"	"Industrigränd 99
45550 Karlstad"
"Aina Nilsson"	"Industritorget 235
77811 Södertälje"
"Lennart Linder"	"Ekgränd 4
15910 Trelleborg"
"Alexandra Mårtensson"	"Fabriksgatan 9
82075 Landskrona"
"Tommy Westin-Lindberg"	"Industritorget 8
34221 Norrköping"
"Eva Johansson-Dahlberg"	"Fabriksvägen 2
55233 Östersund"
"Anita Olofsson"	"Parkvägen 864
81264 Landskrona"
"Eva Berg Johansson"	"Parkgatan 842
17107 Falun"
"Sten Granberg"	"Fabriksstigen 788
45777 Skövde"
"Mia Hellberg"	"Strandstigen 3
95088 Karlskoga"
"Ibrahim Nord"	"Industritorget 714
62339 Uppsala"
"Alan Andersson"	"Ringgatan 5
81485 Lidingö"
"Frida Hägg Rosenberg"	"Industrivägen 7
50976 Helsingborg"
"Maria Malm"	"Idrottstorget 250
38895 Västerås"
"Abdi Lundin"	"Kvarngränd 15
51573 Karlskrona"
"Jonas Samuelsson"	"Nytorget 610
12668 Karlskoga"
"Filip Stenström"	"Ekstigen 0
48854 Karlskrona"
"Freja Johansson-Svensson"	"Villagränd 03
52015 Karlstad"
"Ivan Forsberg-Jansson"	"Ängsgatan 92
94113 Östersund"
"Per Dahlqvist"	"Åkergränd 413
35909 Stockholm"
"Robin Lind"	"Backgatan 39
10711 Östersund"
"Albert Holm"	"Villastigen 826
41088 Linköping"
"Margareta Åström"	"Industrivägen 7
51987 Östersund"
"Peter Ahmed-Sahlin"	"Fabriksvägen 59
36168 Skövde"
"Christina Fransson"	"Industristigen 4
82106 Östersund"
"Carl Hussein"	"Villatorget 85
59689 Helsingborg"
"Eva Svensson-Petersson"	"Parkvägen 469
47903 Lidingö"
"Ulla Karlsson"	"Parkvägen 12
82281 Karlskoga"
"Rut Jonsson-Borgström"	"Nygatan 50
59161 Södertälje"
"Jennifer Löfgren"	"Järnvägsvägen 5
62857 Kristianstad"
"Per Wiklund"	"Grangatan 8
88546 Landskrona"
"Albert Persson"	"Bäcktorget 0
88731 Motala"
"Sten Nilsson"	"Nygränd 520
52580 Varberg"
"Fredrik Svensson"	"Parktorget 8
79952 Karlskrona"
"William Eriksson"	"Ekvägen 40
45851 Södertälje"
"Ebba Törnqvist"	"Storstigen 53
92079 Skellefteå"
"Sofia Sjögren"	"Parkvägen 4
64366 Varberg"
"Lisbeth Sjöstrand-Carlsson"	"Industrigatan 3
29074 Uppsala"
"Karl Persson"	"Järnvägsvägen 42
60964 Luleå"
"Mikael Björk"	"Kyrkogatan 747
99112 Sandviken"
"Veronica Winberg Jönsson"	"Asptorget 424
99884 Karlskoga"
"Albin Bengtsson"	"Skolvägen 112
53156 Skellefteå"
"Oliwer Nordqvist"	"Backstigen 47
50696 Borås"
"Lucas Larsson"	"Strandgränd 59
63545 Varberg"
"Liam Johansson"	"Strandgränd 6
32716 Västerås"
"Bo Sjölund"	"Kvarngatan 172
74885 Uppsala"
"Richard Lundqvist"	"Villagränd 1
55756 Kalmar"
"Sebastian Fredriksson"	"Kyrkstigen 54
59831 Växjö"
"Joanna Blom"	"Ringvägen 5
93315 Östersund"
"Ove Ljunggren"	"Furuvägen 8
49878 Umeå"
"Anna Nilsson"	"Genvägen 833
62487 Motala"
"Albin Hellman"	"Gentorget 70
10388 Sandviken"
"Mikael Ericsson"	"Fabrikstorget 477
30019 Karlstad"
"Elisabet Andersson-Fransson"	"Grangatan 80
31847 Helsingborg"
"Alexander Nilsson Lundberg"	"Aspvägen 48
44055 Falun"
"Magnus Ljungberg"	"Villagränd 707
50036 Göteborg"
"Magnus Larsson Karlsson"	"Villastigen 112
87235 Lund"
"Anders Ahlberg"	"Ekstigen 56
88226 Sundsvall"
"Joakim Mattsson Johansson"	"Villagränd 5
11183 Södertälje"
"Margaretha Nilsson"	"Idrottsvägen 6
34823 Växjö"
"Marianne Eriksson"	"Trädgårdsgatan 54
34529 Ängelholm"
"Albin Larsson"	"Villagatan 68
59709 Trollhättan"
"Marianne Norberg"	"Ringvägen 034
50109 Kalmar"
"Charlotte Karlsson"	"Ängsstigen 8
45153 Kalmar"
"Lennart Gustafsson"	"Villastigen 25
99660 Östersund"
"Hilda Holgersson"	"Ängsvägen 335
69468 Sundsvall"
"Therese Henningsson"	"Skolstigen 4
46672 Sandviken"
"Mari Persson"	"Storgatan 88
34097 Uddevalla"
"Wilma Hägglund"	"Nyvägen 092
59112 Piteå"
"Gun Ahlberg"	"Grangatan 88
32121 Karlskoga"
"Kristina Rosengren"	"Kvarntorget 23
24058 Stockholm"
"Albin Olsson"	"Ekgatan 988
10057 Lidköping"
"Josefine Berg"	"Kyrkvägen 742
15625 Västerås"
"Gunnar Eriksson"	"Ängsgränd 5
77913 Varberg"
"Julia Jonsson-Nilsson"	"Villagränd 20
66867 Borås"
"Maria Eriksson"	"Industrigatan 916
69791 Malmö"
"Inge Magnusson"	"Stationsgatan 664
34303 Lidingö"
"Martin Ljunggren"	"Idrottstorget 929
28646 Linköping"
"Bruno Falk"	"Ängsvägen 825
37670 Karlskoga"
"Thomas Ljung"	"Stationstorget 1
71807 Uddevalla"
"Gunilla Fransson"	"Villavägen 6
92637 Sundsvall"
"Aleksandra Ekman"	"Industrigränd 9
74449 Piteå"
"Beata Bergman Wang"	"Stationsvägen 02
29404 Sundsvall"
"Elsa Berg"	"Trädgårdsgränd 0
46097 Falun"
"Annette Karlsson Hansen"	"Grangatan 158
74942 Karlskoga"
"Mahmoud Svensson Johansson"	"Idrottstorget 9
80923 Göteborg"
"Lilian Andersson"	"Skogsvägen 05
15202 Västerås"
"Ing-Marie Nyberg"	"Gengatan 3
48030 Umeå"
"Mona Persson Werner"	"Ängsgränd 1
87296 Eskilstuna"
"Susanne Bodin"	"Idrottsgränd 893
84321 Helsingborg"
"Karl Åkesson"	"Bäckvägen 68
77385 Gävle"
"Alexander Andersson"	"Skolvägen 8
38846 Ängelholm"
"Lova Eriksson"	"Idrottsgatan 773
23731 Trelleborg"
"Margareta Andersson Smith"	"Fabriksgränd 28
91479 Nyköping"
"Britt-Marie Ferm"	"Kyrkogatan 5
20524 Sundsvall"
"Lovisa Lidström"	"Kvarnstigen 1
78963 Östersund"
"Birgitta Ekholm Johnson"	"Idrottsgatan 589
35894 Lidingö"
"Erik Johansson"	"Aspvägen 20
13683 Trelleborg"
"Karl Johansson"	"Åkertorget 922
30416 Landskrona"
"Ingrid Andersson"	"Skogsgatan 73
20313 Lidingö"
"Ana Andersson Arvidsson"	"Strandvägen 87
46527 Uddevalla"
"Alexander Carlsson"	"Skolgatan 76
65807 Varberg"
"Birgitta Ståhl-Johansson"	"Furuvägen 194
28055 Falun"
"Charlotte Sjöstedt Forsell"	"Villagränd 34
30685 Luleå"
"Birgitta Josefsson-Abrahamsson"	"Kyrkgatan 3
71644 Nyköping"
"Ingela Olofsson"	"Järnvägsgatan 8
68245 Lund"
"Valentina Larsson"	"Kvarngränd 707
85808 Lidingö"
"Hamid Lilja"	"Industrigatan 278
24031 Lidingö"
"Gabriel Edman Wiberg"	"Skogsvägen 85
65720 Skellefteå"
"Olov Holm"	"Parkgränd 1
20659 Norrköping"
"Elisabeth Strandberg"	"Genvägen 4
78938 Mölndal"
"Alexander Hammarström"	"Åkervägen 58
67746 Luleå"
"Nils Pettersson"	"Skolgatan 85
69907 Motala"
"Jasmin Persson Nilsson"	"Ängstorget 56
71067 Uppsala"
"Ulla Petersson"	"Trädgårdstorget 84
34253 Sandviken"
"Henrik Gustavsson Holm"	"Industrivägen 28
92833 Borlänge"
"Tomasz Jansson"	"Fabriksgatan 37
37945 Lidingö"
"Irma Berntsson"	"Ringtorget 9
56587 Lidköping"
"Magnus Johansson"	"Ringvägen 9
86326 Motala"
"Lars Hedman"	"Bäckvägen 2
95143 Motala"
"Ola Månsson"	"Åkergränd 17
32304 Linköping"
"Alexander Karlsson"	"Björkvägen 6
38241 Alingsås"
"Stig Olsson-Palm"	"Kyrkvägen 11
86602 Lidingö"
"Karl Bergman Granberg"	"Industrivägen 267
78141 Växjö"
"Dan Sandberg"	"Furugränd 7
61134 Varberg"
"Noel Lindberg"	"Fabrikstorget 3
71360 Ängelholm"
"Ylva Ahmed"	"Kyrkogatan 8
14838 Stockholm"
"Valter Ekström"	"Kyrkovägen 2
37358 Skellefteå"
"Elliot Olsson"	"Ekvägen 7
38442 Kalmar"
"Ulrika Olsson Karlsson"	"Skolgatan 0
88165 Norrköping"
"Arvid Roos"	"Skolstigen 3
86678 Uddevalla"
"Alexander Nilsson"	"Kyrkgatan 940
23304 Skellefteå"
"Olof Byström"	"Gengränd 1
60208 Linköping"
"Ali Sandberg"	"Skogsvägen 190
83219 Luleå"
"Urban Jonsson-Wennberg"	"Kvarntorget 1
57284 Helsingborg"
"Rebecka Palmgren"	"Stortorget 290
37296 Kalmar"
"Eva Karlsson"	"Ängsgränd 902
79335 Falun"
"Karin Nilsson"	"Backgatan 79
92729 Landskrona"
"Lillemor Sandström"	"Parkgatan 0
92626 Sundsvall"
"Knut Johansson"	"Ängstorget 479
58040 Nyköping"
"Daniel Gullberg"	"Ängsvägen 07
76151 Skellefteå"
"Alexander Wallin-Olofsson"	"Gengatan 48
70203 Motala"
"Lisbeth Nilsson"	"Ektorget 036
26387 Luleå"
"Hanna Johnsson Håkansson"	"Idrottsvägen 0
68825 Karlstad"
"Sven Adolfsson-Eriksson"	"Skolvägen 93
91650 Karlskrona"
"Magdalena Olsson"	"Villagatan 4
83418 Nyköping"
"Tord Svensson"	"Aspgränd 34
55962 Södertälje"
"Leo Lindström Eriksson"	"Ringvägen 6
87185 Uppsala"
"Marko Blixt"	"Villagatan 26
30418 Örnsköldsvik"
"Lucia Nilsson"	"Kyrkovägen 50
28719 Örebro"
"Ragnar Andersson-Carlson"	"Järnvägsvägen 523
57753 Östersund"
"Alexandra Hallgren"	"Parkgränd 384
80525 Karlskoga"
"Viola Erlandsson"	"Parkgatan 692
72382 Östersund"
"Linus Hultman"	"Skolvägen 9
46617 Varberg"
"Per Jacobsson Eriksson"	"Ektorget 2
36525 Örebro"
"Louise Mattsson"	"Ekgatan 5
65934 Jönköping"
"Sofia Andersson"	"Industrigatan 7
88895 Karlskoga"
"Paul Karlsson Samuelsson"	"Trädgårdsvägen 0
31128 Borlänge"
"Olof Karlsson-Forsman"	"Ekgatan 020
85459 Jönköping"
"Johan Halvarsson"	"Villagatan 03
37431 Varberg"
"Leif Rosenqvist Melin"	"Gengatan 23
52611 Gävle"
"Alexandra Pettersson"	"Ekgränd 4
95519 Stockholm"
"Amalia Johansson"	"Åkergränd 64
40771 Mölndal"
"Åke Eliasson"	"Genvägen 321
27532 Nyköping"
"Agnes Lundberg"	"Parkvägen 7
28933 Örebro"
"Frida Larsson"	"Grantorget 622
21841 Varberg"
"Lennart Andersson"	"Kvarnvägen 515
49710 Luleå"
"Anna Magnusson"	"Strandvägen 06
50567 Växjö"
"Evy Hallgren"	"Järnvägsvägen 29
57851 Eskilstuna"
"Anna Asplund"	"Furutorget 6
47101 Umeå"
"Ida Lennartsson"	"Parkgatan 63
51665 Luleå"
"Alf Nordin"	"Björkvägen 08
10184 Trollhättan"
"Kerstin Gunnarsson"	"Ängsstigen 142
39764 Halmstad"
"Astrid Andersson"	"Aspstigen 66
88118 Karlskoga"
"Erik Karlsson"	"Ekgatan 53
41406 Kristianstad"
"Linnea Persson-Olsson"	"Industrigatan 309
15059 Karlskoga"
"Lennart Johansson"	"Furutorget 22
78454 Lidingö"
"Rolf Näslund Eklöf"	"Björktorget 08
79753 Göteborg"
"Stina Björklund"	"Gengatan 528
34518 Södertälje"
"Agneta Folkesson"	"Fabrikstorget 71
18664 Växjö"
"Nellie Bengtsson"	"Bäckstigen 14
74934 Trollhättan"
"Alfons Andersson"	"Idrottstorget 1
44527 Malmö"
"Kent Nguyen"	"Ringtorget 60
22926 Skellefteå"
"Filip Jensen"	"Idrottsstigen 93
42874 Motala"
"Henry Broman Thorén"	"Björkgränd 41
54527 Landskrona"
"Ludwig Johansson"	"Åkerstigen 777
33938 Södertälje"
"Mahdi Åberg"	"Fabriksvägen 375
76832 Karlskrona"
"Alexander Holm Lindblom"	"Parkgatan 4
38481 Jönköping"
"Jasmin Anderberg"	"Kyrkgatan 91
96658 Karlskrona"
"Elisabet Davidsson"	"Parkgatan 7
62717 Karlskrona"
"Bruno Eriksson"	"Storgatan 21
67773 Örebro"
"Alfons Forsberg"	"Nyvägen 913
40206 Alingsås"
"Margareta Ahlström"	"Kyrkogatan 22
57372 Jönköping"
"Christina Persson-Fagerström"	"Fabriksvägen 0
57267 Borlänge"
"David Strömberg"	"Idrottsgatan 50
43920 Falun"
"Minna Wallin"	"Skolgatan 2
82386 Jönköping"
"Astrid Åberg"	"Parkvägen 73
48054 Halmstad"
"Oliver Frank-Sundqvist"	"Kyrkvägen 63
33799 Skövde"
"Mohamed Olsson"	"Ekgränd 2
11859 Mölndal"
"Karl Gustafsson"	"Kyrkovägen 95
68051 Trollhättan"
"John Bergqvist"	"Industritorget 1
44611 Eskilstuna"
"Alfons Jonsson"	"Ringstigen 502
69014 Umeå"
"Laila Lindgren"	"Genstigen 99
40440 Eskilstuna"
"Karim Jonsson"	"Kyrkogatan 92
12979 Halmstad"
"Ingela Möller"	"Idrottsgatan 282
59040 Mölndal"
"Kristina Persson Lindkvist"	"Ringvägen 7
49793 Östersund"
"Ingeborg Nilsson"	"Kyrkovägen 4
17007 Trollhättan"
"Gunilla Pettersson"	"Villavägen 8
54385 Göteborg"
"Carl Hermansson"	"Stationsgatan 060
25183 Kalmar"
"Peter Andersson"	"Villavägen 20
33643 Luleå"
"Stig Jonsson"	"Furutorget 9
66405 Uddevalla"
"Alfons Nilsson"	"Industrivägen 920
50203 Motala"
"Mikael Svanberg"	"Parkgatan 43
58605 Motala"
"Rebecka Björk"	"Strandstigen 1
70450 Malmö"
"Alfred Hedin Liu"	"Kyrkogatan 95
38102 Norrköping"
"Christina Josefsson"	"Kyrkvägen 20
36972 Malmö"
"Jonas Johansson"	"Industritorget 289
73835 Örnsköldsvik"
"Emil Selin"	"Storstigen 748
86326 Varberg"
"Anders Norgren"	"Backvägen 7
10656 Nyköping"
"Iris Jönsson-Magnusson"	"Industrivägen 9
40177 Helsingborg"
"Robin Sjöholm"	"Kyrkstigen 28
80039 Helsingborg"
"Alfred Isaksson"	"Trädgårdsvägen 3
75354 Mölndal"
"Aisha Karlsson"	"Bäckvägen 454
81146 Skellefteå"
"Margareta Olsson Larsson"	"Stationsgatan 86
25586 Lidköping"
"Elisabeth Melin Berglund"	"Åkervägen 7
43962 Varberg"
"Gunnar Magnusson-Sjögren"	"Kvarnvägen 28
37597 Karlstad"
"Olof Kristensson"	"Bäckvägen 10
98763 Kalmar"
"Lars Johansson"	"Kyrkgatan 0
80170 Borås"
