"Aage Christiansen"	"Vognmagervej 581
9515 Flemming"
"Prof. Bobby Jacobsen"	"Høffdingsvej 7
6040 Barrit"
"Ingrid Kjeldsen"	"Tværagergade 3
7127 Nykøbing Sj"
"Adam Krogh"	"Annekegade 139
8358 Karrebæksminde"
"Steen Petersen"	"Svane Allé 54
5303 Spjald"
"Odette Karlsen"	"Caprigade 2
1398 Dannemare"
"Brian Thomsen"	"Byagervej 717
4362 Solbjerg"
"Søren Jensen"	"Åbakke Allé 622
6554 Bording"
"Klaus Lauritsen-Christoffersen"	"Timians Allé 2
7127 Læsø"
"Jesper Bruun"	"Lundevangsvej 72
6603 Slangerup"
"Frode Nilsson"	"Pladehalsvej 6
7351 Kastrup"
"Univ.Prof. Mille Nilsson"	"Rødelandsstræde 712
2142 Tureby"
"Nikolaj Bach"	"Venøvej 32
8308 Gilleleje"
"Adam Olsen"	"Odinsvej 9
2368 Rude"
"Laus Mikkelsen"	"Grækenlandsvej 4
6440 Roslev"
"Janni Kristiansen-Simonsen"	"Jagt Allé 751
3263 Vallensbæk Strand"
"Henrik Thygesen"	"Islevhusvej 13
8863 Børkop"
"Prof. Paula Johnsen"	"Nattergalegade 50
1124 Fredensborg"
"Karla Schultz-Steffensen"	"Tordenskjoldsvej 995
1777 Munkebo"
"Elias Christoffersen-Nissen"	"Jupitervej 172
4764 Fur"
"Curt Mikkelsen"	"Lindgreensstræde 5
3618 Them"
"Sussanne Christiansen-Lund"	"Mariehamnvej 636
9515 Gudhjem"
"Annemette Jessen"	"Haldagergade 93
1658 Branderup"
"Adam Rasmussen"	"Meklenborgvej 4
4457 Sorring"
"Dr. Christian Koch"	"Kingosvej 679
3382 Skærbæk"
"Hr Leif Larsen"	"Enebærgade 939
5770 Haarby"
"Univ.Prof. Dina Andresen"	"Engdalsgade 276
2823 Spøttrup"
"Winnie Kristensen"	"Søflystræde 86
6244 Hobro"
"Yvonne Madsen-Simonsen"	"Paradisæblegade 2
9775 Rungsted Kyst"
"Stephan Paulsen"	"Saxhøjvej 3
9877 Hjortshøj"
"Natasja Mathiesen"	"Valborggade 6
4491 Bagenkop"
"Dagny Koch"	"Vogtergade 187
3722 Brande"
"Valdemar Thygesen"	"Nebraskagade 69
2498 Dronninglund"
"Adam Rasmussen"	"Olufsvej 706
4268 København"
"Zehnia Clausen"	"Hvalsøvej 95
5236 Knebel"
"Irma Brandt"	"Nyvej 394
9783 Føvling"
"Øivind Friis"	"Rubinsteinsgade 817
1836 Bolderslev"
"Sam Schmidt"	"Bogenæsvej 19
8625 Jerslev"
"Bent Søndergaard-Kjeldsen"	"Nærum Allé 798
6566 Lundby"
"Jarl Nissen"	"Havsgårdsvej 81
7126 Rødvig Stevns"
"Mie Dam"	"Karlstadsstræde 446
9391 Nivå"
"Dr. Ofelia Andersen"	"Stenhugger Allé 892
3293 Vestervig"
"Amalie Dam"	"Offenbachsgade 259
5539 Nørresundby"
"Adam Simonsen"	"Scherfigsstræde 51
5120 Suldrup"
"Svenning Klausen"	"Østersøgade 3
4679 Grevinge"
"Dennis Friis"	"Håbetsvej 7
4209 Vejers Strand"
"Dr. Regitze Lauridsen"	"Lundsvej 33
4148 Svenstrup"
"Berta Lassen"	"Kornerupvej 3
3514 Nørresundby"
"Dagny Kristiansen-Ravn"	"Søndervangsvej 9
6233 Fuglebjerg"
"Regitze Mogensen"	"Landfogedvej 671
7403 Vodskov"
"Iben Dahl"	"Bogfinkestræde 86
3750 Tappernøje"
"Ulrik Jepsen"	"Guldstjernegade 188
2446 Bøvlingbjerg"
"Flemming Koch"	"Lemnosvej 66
3681 Ebberup"
"Agnes Pedersen"	"Stokhus Allé 481
4862 Hadsten"
"Anders Laursen-Holm"	"Dybbølsgade 872
5675 Nørre Alslev"
"Oskar Winther"	"Uplandsgade 919
1119 Vemb"
"Britta Jespersen"	"Grønnemosevej 8
6754 Viby J"
"Bobby Jespersen"	"Küchlersgade 52
4685 Gråsten"
"Karsten Jessen"	"Hagestedgade 2
8537 Karrebæksminde"
"Ivan Kjær-Svendsen"	"Vejlevej 6
6307 Stege"
"Fru Katja Nielsen"	"Irlandsvej 941
5627 Kruså"
"Simon Toft"	"Lobeliagade 82
1923 Munke Bjergby"
"Søs Ravn"	"Adelvej 7
9841 Østbirk"
"Agnes Schou"	"Kentiastræde 81
9457 Aabybro"
"Lona Andresen"	"Vedbækvej 3
4853 Tønder"
"Eric Overgaard"	"Tigergade 36
1876 Svebølle"
"Victor Holst"	"Vatnavej 3
3916 Dalby"
"Kristine Krogh"	"Buntmager Allé 181
3285 Gislev"
"Merethe Carlsen"	"Vangsgade 6
3742 Åbyhøj"
"Maiken Jepsen"	"Horserødstræde 7
4835 Sakskøbing"
"Niels Simonsen"	"Højmosegade 1
6193 Øster Ulslev"
"Helle Paulsen"	"Dybendalsvej 88
7809 Gudhjem"
"Øyvind Jensen"	"Fiskedamsgade 888
4803 Mesinge"
"Agnete Jeppesen"	"Høstgildegade 907
8245 Nørre Aaby"
"Dr. Inga Mathiesen"	"Sønderviggade 91
4831 Hemmet"
"Steve Nielsen"	"Sundkrogsvej 868
9787 Skælskør"
"Erling Østergaard"	"Artilleristræde 310
2998 Glamsbjerg"
"Marianne Østergaard"	"Sorgenfrivej 3
3939 Vejle"
"Marianne Holst"	"Sølvvej 137
3086 Hørning"
"Dr. Einer Kristensen"	"Tallinngade 82
3225 Skals"
"Otto Jeppesen-Jacobsen"	"Gormsgade 67
2573 Jerslev"
"Prof. Kirstin Friis"	"Trøjborgvej 477
7373 Havndal"
"Sys Jacobsen"	"Lærdalsvej 5
6265 Tikøb"
"Aksel Berg"	"Stokrosevej 1
8329 Ans by"
"Steen Rasmussen"	"Kastanievej 5
3299 Beder"
"Fru Else Overgaard"	"Spanagergade 86
6953 Harlev"
"Michael Hermansen"	"P.D. Løvsvej 853
9399 Tisvildeleje"
"Gustav Danielsen"	"Ingrid Marievej 279
7866 Dybvad"
"Kirstin Nissen"	"Biensvej 946
1034 Tisvildeleje"
"Katrine Lauridsen"	"Rådmandsvej 276
2998 Arden"
"Øvli Henriksen"	"Athens Allé 937
9296 Rude"
"Herbert Krogh-Berg"	"Kerteminde Allé 364
7716 Ryomgård"
"Dr. Sys Ravn"	"Sønderviggade 98
9809 Vejle Øst"
"Aksel Holst-Skov"	"Høsterkøbvej 213
5585 Låsby"
"Vera Andreasen"	"Hørdums Allé 97
2123 Brovst"
"Fru Alberte Jespersen"	"Spartavej 247
1547 Kongerslev"
"Malou Thygesen"	"Bygårdvej 61
6487 Taastrup"
"Ib Iversen-Andreasen"	"Stokhusgade 66
4931 Gadstrup"
"Silje Gregersen"	"Hellested Allé 39
2054 Brørup"
"Karoline Kjær"	"Støvnæsvej 720
8935 Mørkøv"
"Sigrid Frederiksen"	"Sølunds Allé 3
9821 Karup"
"Susanne Simonsen"	"Fabrikmestervej 75
4106 Frederiksværk"
"Nicklas Kjeldsen"	"Sydløbsstræde 74
7744 Rynkeby"
"Aksel Lauridsen"	"Castbergs Allé 109
9027 Lystrup"
"Gerda Thomsen-Bruun"	"Dahlerupsvej 4
7181 Brovst"
"Sandra Bech"	"Hesseløstræde 692
5271 Spøttrup"
"Prof. Øjvind Brandt"	"Belgiens Allé 364
6156 Gjern"
"Johnny Andresen"	"Ravennagade 1
4079 Gilleleje"
"Sanne Mathiasen"	"Valhøjvej 59
2425 Vodskov"
"Univ.Prof. Kaspar Iversen"	"Slusevej 8
3898 Glumsø"
"Univ.Prof. Erik Mikkelsen"	"Bratskov Allé 135
4585 Karup"
"Grethe Dahl"	"Landskronavej 4
6429 Kolind"
"Ken Jespersen"	"Søndervangsstræde 344
7228 Tommerup"
"Albert Jakobsen"	"Kærsangergade 6
9210 Spenstrup"
"Dr. Jano Johnsen"	"Borneo Allé 758
1826 Frederikssund"
"Anton Danielsen"	"Hagbard Allé 310
7129 Rødding"
"Emilie Schou"	"Belgiensvej 10
7530 Ringsted"
"Casper Poulsen"	"Athensvej 8
3574 Vallensbæk Strand"
"Majken Schultz"	"Knippelsbrovej 66
7459 Nørreballe"
"Sonja Mathiesen"	"Sallinggade 360
9648 Henne"
"Britta Christoffersen"	"Gudenåvej 463
1224 Århus"
"Sabine Laursen"	"Malta Allé 26
9931 Kirke Såby"
"Regitze Jessen"	"Serridslevvej 92
4947 Hasselager"
"Albert Mogensen-Olesen"	"Freunds Allé 622
8426 Ishøj"
"Verner Svendsen"	"Thorupgårdgade 64
2896 Fårvang"
"Gurli Christensen"	"Enveloppestræde 832
8231 Bjert"
"Dr. Margrethe Frandsen"	"Øster Voldvej 59
8838 Tønder"
"Zelma Andersen"	"Tuxensgade 5
2501 Malling"
"Simone Jakobsen"	"Ellebjerg Allé 10
7326 Løgstør"
"Yasmin Jepsen"	"Solsikkegade 96
3774 Rask Mølle"
"Jano Bach"	"Lundeborggade 76
6794 Thisted"
"Dr. Katja Brandt"	"Agerlandsstræde 51
7988 Sunds"
"Lena Eriksen-Madsen"	"Blushøjgade 38
1508 Højslev"
"Alberte Gregersen"	"Kapselvej 5
4909 Føllenslev"
"Ronni Kjær"	"Sundkrogsvej 18
4306 Store Merløse"
"Univ.Prof. Gustav Krogh"	"Dønnerup Allé 7
6490 Bøvlingbjerg"
"Dr. Kristina Svendsen"	"Kaldæa Allé 8
6052 Vordingborg"
"Zenia Christoffersen"	"Hans Bogbinders Allé 597
3522 Klarup"
"Dr. Benedicte Hermansen"	"Gadekærvej 5
1072 Sporup"
"Prof. Ken Mogensen"	"Ågerupvej 17
9815 Fuglebjerg"
"Bruno Olsen-Jespersen"	"Arendalsvej 66
8356 Jerup"
"Winni Kjeldsen"	"Slotsvej 2
1337 Haslev"
"Ebbe Frederiksen-Nissen"	"Rævevej 30
9315 Grevinge"
"Alberte Mogensen"	"Fyrtårngade 75
5445 Hellerup"
"Dr. Palle Madsen"	"Griffenfeldsgade 5
3293 Randers"
"Prof. Ester Lind"	"Digegade 5
9095 Valby"
"Univ.Prof. Paulina Olsen"	"Rønnevej 84
4397 Tranbjerg J"
"Georg Mathiasen"	"Jægersprisvej 1
8030 Solbjerg"
"Klavs Henriksen"	"Søren Norbysgade 603
6047 Kettinge"
"Åse Klausen"	"Sundbyvestervej 58
2232 Munkebo"
"Dr. Winni Johansen"	"Harrestrup Allé 145
7266 Næstved"
"Ella Jakobsen-Lauritsen"	"Rumæniensstræde 16
4391 Solbjerg"
"Elias Mathiesen"	"Gullfoss Allé 527
2078 Ebeltoft"
"Alberte Østergaard-Friis"	"Haydnsstræde 17
8009 Askeby"
"Daniella Winther"	"Trapsvej 50
6105 Billund"
"Claus Lauridsen"	"Kaldæagade 9
8285 Tarm"
"Stefan Karlsen"	"Øster Voldvej 731
3739 Farum"
"Elisabeth Mortensen"	"Vangehusgade 94
1794 Tappernøje"
"Univ.Prof. Johnnie Rasmussen"	"Malakkastræde 9
2627 Vejle"
"Stig Lauridsen-Overgaard"	"Midgårdsstræde 9
8283 Jerup"
"Ron Friis"	"Sandbjerggade 355
4097 Frørup"
"Agnes Schou"	"Solsikkegade 52
6789 Sorring"
"Johanne Danielsen"	"Livøvej 464
6050 Thisted"
"Alex Nilsson"	"Haraldsvej 3
1474 Marslev"
"Jimmy Brandt"	"Pilestræde 24
3381 Hjerm"
"Helen Østergaard"	"Sionsvej 128
5031 Jyllinge"
"Sam Jensen"	"Holsteinborggade 5
4108 Stenløse"
"Prof. Carina Lauritsen"	"Bellisvej 43
6049 Vandel"
"Catrine Vestergaard-Andersen"	"Statholdervej 1
4532 Sønder Felding"
"Merethe Jeppesen"	"Spinderigade 123
4269 Nibe"
"Anna Nørgaard-Krogh"	"Høstgildevej 201
2535 Kruså"
"Henrik Schultz"	"Absalonsgade 292
2376 Smørum"
"Fru Esmarelda Hermansen"	"Estlands Allé 4
4837 Vallensbæk Strand"
"Alexander Clausen"	"Frederiksstadsvej 622
6958 Hemmet"
"Annette Schmidt"	"Poppelgade 7
5586 Lintrup"
"Kristine Jakobsen-Lauridsen"	"Kristianiavej 536
3476 Nysted"
"Lone Kjeldsen"	"Stenkløvergade 9
3140 Ruds Vedby"
"Karsten Mathiasen-Bech"	"Liflandsvej 99
7941 Nykøbing M"
"Paulina Bertelsen"	"Lerchenborgvej 106
4693 Nørre Alslev"
"Dr. Amanda Andresen"	"Svanemøllevej 32
9679 Viby Sjælland"
"Arne Johansen"	"Kuhlausvej 798
5594 Harpelunde"
"Ulla Andersen-Jespersen"	"Herslevstræde 448
7109 Svendborg"
"Jonas Ravn"	"Bodilsvej 917
9741 Tylstrup"
"Alexander Kjeldsen"	"Emdrupvej 24
5536 Kalundborg"
"Dagmar Holm-Schmidt"	"Windsorvej 906
1682 Veksø Sjælland"
"Univ.Prof. Jonas Gregersen"	"Mosedalgade 7
1860 Sønder Omme"
"Carsten Andersen"	"Hjertingstræde 18
5878 Bagenkop"
"Univ.Prof. Casper Danielsen"	"Værnedams Allé 7
5807 Aabenraa"
"Dr. Mads Thygesen"	"Teglstrup Allé 456
7399 Asperup"
"Amanda Mathiesen"	"Rysensteensgade 33
9415 Frørup"
"Univ.Prof. Henry Jakobsen"	"Dannevirke Allé 428
9505 Juelsminde"
"Fru Cecilie Olesen"	"Ballumvej 632
8912 Frørup"
"Mette Østergaard"	"Belgiensvej 8
6897 Brovst"
"Alexander Kristoffersen"	"Kirstinedalsgade 6
3017 København"
"Prof. Kim Ravn"	"Midgårdsvej 5
8519 Nørresundby"
"Dr. Alma Jacobsen"	"Mozarts Allé 98
4053 Lejre"
"Kristine Andresen"	"Marathonvej 97
4409 Sommersted"
"Emily Kristoffersen"	"Ræve Allé 63
7602 Beder"
"Tim Søndergaard"	"Jægersprisgade 6
8079 Hørve"
"Øjvind Kristensen-Kristoffersen"	"Ingerslevsgade 683
8049 Bredebro"
"Minna Clausen"	"Lille Theklavej 46
4158 Gislev"
"Silje Iversen"	"Bjergstedgade 9
6247 Hagersten"
"Maria Svendsen"	"Skodsborgvej 1
7848 Galten"
"Alexander Mathiasen"	"Basnæs Allé 6
1187 Højslev"
"Boris Thygesen"	"Havdrupgade 65
1518 Græsted"
"Jim Schultz"	"Bjerregårds Sidestræde 901
3334 Suldrup"
"Dr. Winnie Lind"	"Danstrupgade 2
9590 Nimtofte"
"Jano Brandt"	"Møntmestergade 2
5679 Struer"
"Univ.Prof. Odette Olsen"	"Syvensvej 63
6091 Greve"
"Torben Knudsen"	"Grækenlandsgade 7
1476 Brande"
"Karin Vestergaard-Bertelsen"	"Thurebyholmvej 2
7999 Ryslinge"
"Nicolai Brandt"	"C.F. Møllersvej 2
3431 Stoholm"
"Karsten Mogensen-Johnsen"	"Svendborg Allé 455
2946 Ry"
"Alexander Mathiesen"	"Vendsysselgade 49
5516 Rødkærsbro"
"Jan Friis"	"Nygade 464
1452 Sørvad"
"Prof. Jacqueline Holm"	"Lautrupsvej 588
6096 Søndersø"
"Dr. Gertrud Simonsen"	"Agerlandsvej 929
9902 Skanderborg"
"Søren Winther"	"Bjernedestræde 77
4965 Dybvad"
"Univ.Prof. René Klausen"	"Ahornsvej 1
1460 Lem"
"Ruth Lund-Simonsen"	"Haraldstedvej 68
5534 Galten"
"Ziggy Karlsen"	"Lidemarks Allé 545
9509 Hørve"
"Dr. Oliver Møller"	"Gothersvej 6
8467 Aulum"
"Zehnia Lund"	"Kjeldsgårdsvej 79
9363 Uldum"
"Alexander Pedersen"	"Kapelvej 949
2929 Jelling"
"Dr. Rita Nissen"	"Belle de Boskoop Allé 958
6891 Lystrup"
"Patrick Andreasen"	"Eriksholmgade 126
6510 Haslev"
"Kenneth Christensen-Mathiasen"	"Hammershusgade 838
7770 Ærøskøbing"
"Tilde Lind-Larsen"	"Stratford Allé 386
7263 Blommenslyst"
"Danny Skov-Henriksen"	"Torbenfeldtvej 26
1265 Fuglebjerg"
"Prof. Abelone Iversen"	"Hornbækgade 881
9640 Daugård"
"Emilie Dahl"	"Engelstedsvej 406
1430 Lunderskov"
"Casper Eriksen-Poulsen"	"Nysøvej 27
4319 Ringsted"
"Freddy Winther"	"Ejderstedvej 25
1348 Brabrand"
"Alexander Schultz"	"Vognborgvej 7
2619 Vojens"
"Margrethe Lassen"	"Fordresgårdvej 52
8855 Hovborg"
"Ursula Andreasen"	"Mandalsvej 17
6034 Aabybro"
"Dr. Øvli Clausen"	"Travemündevej 534
4143 Bramming"
"Thea Paulsen"	"Wolters Allé 9
7368 Nykøbing M"
"Elna Jespersen"	"Bramslykkestræde 8
6520 Børkop"
"Steve Knudsen"	"Samosvej 50
3521 Øster Vrå"
"Berit Jacobsen"	"Karlstadsvej 55
9139 Rødekro"
"Fru Jenny Andersen"	"Støvringvej 43
6819 Hørning"
"Christopher Eriksen-Østergaard"	"Nordregade 10
8070 Ferritslev Fyn"
"Alf Hermansen"	"Nystedstræde 70
5783 København"
"Univ.Prof. Ester Kristensen"	"Dannebrogs Allé 83
6846 Ferritslev Fyn"
"Kirsten Koch"	"Kertemindegade 1
5704 Rønnede"
"Asger Overgaard"	"Gernersvej 8
6831 Nyborg"
"Regitze Nielsen-Andresen"	"Ib Schønbergsstræde 661
2871 Spøttrup"
"Prof. Olga Lauritsen"	"Kærskiftestræde 83
6101 Ålsgårde"
"Prof. Bo Thorsen"	"Dunkerquevej 83
5113 Løkken"
"Karl Laursen"	"Ravennagade 14
4329 Gudbjerg"
"Berit Jakobsen"	"Bustrup Allé 9
1773 Ålbæk"
"Sine Andreasen"	"Stemannsvej 9
1758 Hornslet"
"Alf Holst"	"Boyesvej 450
6590 Strandby"
"Selma Gregersen"	"Søfortvej 2
4422 Årslev"
"Dr. Birger Andreasen"	"Kattinge Allé 703
1223 Vejle"
"Rasmus Knudsen"	"Brønshøjgårdvej 237
4530 Ikast"
"Dr. Katrine Mortensen"	"Myggenæsstræde 946
2805 Gentofte"
"Dr. Ragnar Christoffersen"	"Hallinsvej 6
2434 Almind"
"Dr. Laus Christoffersen"	"Luganovej 3
5643 Haarby"
"Univ.Prof. Frode Jacobsen"	"Lemnosvej 84
4301 Læsø"
"Katrine Nørgaard"	"Sæbygade 339
6121 Hørning"
"Prof. Janne Brandt"	"Søfortgade 2
2033 Sønder Stenderup"
"Alf Møller"	"Rigens Allé 774
1118 Svendborg"
"Karla Nielsen"	"Bomslutter Allé 45
2345 Skagen"
"Joan Jessen"	"Tordenskjoldsgade 818
1900 Allingåbro"
"Lotte Iversen"	"Vendersgade 164
8828 Frederikshavn"
"Jacobine Svendsen"	"Kattingevej 11
6891 Nivå"
"Hans Olsen"	"Stenderupstræde 8
3842 Stokkemarke"
"Univ.Prof. Brian Berg"	"Aggersborgvej 132
9985 Grevinge"
"Andrea Larsen"	"Engskiftevej 69
3249 Dannemare"
"Alex Poulsen"	"Bogfinkestræde 70
9654 Vemmelev"
"Elna Lund"	"Weimargade 66
1181 Væggerløse"
"Allan Thorsen"	"Olufsstræde 1
3214 Jyllinge"
"Bitten Poulsen"	"Lundsfrydvej 8
6464 Køge"
"Dr. Kenneth Danielsen"	"Glænøvej 72
1436 Tisvildeleje"
"Richardt Hansen-Brandt"	"Valhalsgade 7
2561 Fjerritslev"
"Stefan Mathiasen"	"Enveloppegade 91
9362 Tønder"
"Nana Krogh-Skov"	"Rosenlundsvej 568
5074 Glumsø"
"Ingelise Rasmussen"	"Rantzausvej 7
9383 Øster Ulslev"
"Dr. Nina Steffensen"	"Southamptonstræde 6
2074 Vadum"
"Frederikke Olsen"	"Kattegatvej 5
2279 Stouby"
"Fru Jannie Kristensen"	"Svanemøllevej 196
7055 Randers"
"Alma Mathiasen"	"Astrupvej 2
9960 Årslev"
"Britt Jørgensen"	"Tingskiftevej 9
3311 Malling"
"Dr. Zara Lauridsen"	"Fuglefængerstræde 684
4807 Værløse"
"Yasmin Lassen"	"Rødby Allé 43
6626 Tranekær"
"Vivian Thorsen"	"Valhalsvej 3
3900 Kolind"
"Univ.Prof. Anette Andreasen"	"Dunhammergade 725
9447 Klemensker"
"Prof. Patricia Andreasen"	"Emblasgade 22
3752 Tølløse"
"Bobby Carlsen"	"Signelilgade 26
7392 Espergærde"
"Hr Kim Jakobsen"	"Kingosvej 56
3988 Gudbjerg"
"Yngve Clausen"	"Bulbjergvej 76
3096 Ebeltoft"
"Alma Søndergaard"	"Iran Allé 7
2906 Vadum"
"Charlotte Frandsen-Jensen"	"Gåsevej 777
8594 Haderup"
"Steven Mathiasen-Ravn"	"Strynø Allé 16
2041 Gedser"
"Jon Lind"	"Nebraskagade 9
1673 Hejls"
"Fru Leonora Østergaard"	"Lille Kannikestræde 792
3539 Borre"
"Daniella Thomsen"	"Bøllegårdvej 2
5233 Brenderup"
"Kåre Berg"	"Bevtoft Allé 8
2774 Silkeborg"
"Dr. Svenning Knudsen"	"Tjørnelundsstræde 363
8341 Frederikssund"
"Univ.Prof. Marie Andersen"	"Struenseevej 9
2051 Marslev"
"Maiken Jørgensen-Lind"	"Berggreens Allé 632
4757 Engesvang"
"Alvin Brandt"	"Middelfartstræde 74
5469 Rudkøbing"
"Ragnhild Thomsen"	"Aggersborggade 89
9122 Ishøj"
"Tommy Bech"	"Klitmøllergade 49
5578 Roslev"
"Univ.Prof. Otto Kristiansen"	"Grønløkkevej 77
8790 Dannemare"
"Hjalte Thomsen"	"Georginegade 3
1192 Holsted"
"Fru Maria Andersen"	"Midgårdsvej 837
6942 Idestrup"
"Lea Hansen"	"Bygårdvej 2
8262 Trustrup"
"Fru Zenia Johansen"	"Stemannsgade 402
7053 Skødstrup"
"Dr. Robin Møller"	"Sonnerupgade 7
2827 Regstrup"
"Prof. Julius Schmidt"	"Krabbesholmgade 9
4180 Malling"
"Alvin Danielsen-Schou"	"Hestemøllegade 793
2726 Fjenneslev"
"Josephine Jespersen"	"Margretheholmsgade 697
9402 Kastrup"
"Nikolaj Nissen"	"Kleinsgade 7
2810 Aalestrup"
"Univ.Prof. Mathias Pedersen"	"Raunstrup Allé 25
6196 Aars"
"Dr. Nadia Andersen"	"Burmeistersgade 87
6191 Horbelev"
"Univ.Prof. Boris Christoffersen"	"Caprivej 9
4813 Nykøbing M"
"Andreas Henriksen"	"Sofiegade 5
6036 Korsør"
"Dr. Inga Jespersen"	"Oliefabriksstræde 829
8331 Thisted"
"Helge Toft-Mathiesen"	"Ydunsvej 1
5377 Harndrup"
"Winni Mogensen"	"Gåsevej 16
2999 Ebeltoft"
"Alvin Frandsen-Nørgaard"	"Trondhjemsgade 92
5660 Skærbæk"
"Albert Lund"	"Hovgaardsvej 4
7840 Ebeltoft"
"Mie Søndergaard"	"Boldhusvej 799
2721 Havndal"
"Sarah Svendsen"	"Ravnsborgvej 4
4444 Vesterborg"
"Jens Sørensen"	"Valbygårds Allé 8
7546 Jerup"
"Tove Clausen"	"Lundevangsstræde 23
2019 Sorø"
"Britta Johansen-Madsen"	"Holstebrogade 80
8230 Sorring"
"Katja Larsen-Clausen"	"Sandhusvej 183
9306 Tørring"
"Rikke Rasmussen"	"Fensmarkvej 96
9034 Gudhjem"
"Silas Simonsen"	"Steenbergsstræde 582
8686 Humble"
"Alvin Thorsen"	"Klitmøllerstræde 989
3218 Kalundborg"
"Tage Johansen"	"Børsvej 8
8862 Haderup"
"Maren Christoffersen-Overgaard"	"Prinsessegade 4
7646 Værløse"
"Connie Mathiasen"	"Lundsvej 61
5199 Frederiksberg"
"Dr. Charlotte Thorsen"	"Fyensvej 438
2234 Bjæverskov"
"Steven Søndergaard"	"Teglholmsvej 330
7703 Thyborøn"
"Britt Lind"	"Bissensvej 6
5583 Maribo"
"Dr. Osvald Olsen"	"Nøddebovej 995
9382 Rønnede"
"Olivia Dam"	"Nordre Frihavnsstræde 785
4220 Hornbæk"
"Jacob Bruun-Mathiesen"	"Vardegade 499
9092 Herlev"
