"ავთანდილ გაბელია"	"ლიხაურის ქ. 13, ახალციხე"
"დოდო ჟღენტი"	"გედევანიშვილის ქ. 28, გორი"
"გოგიტა კეკელიძე"	"ამირეჯიბის ქ. 54, რუსთავი"
"ავთანდილ ქობალია"	"ასურეთის ქ. 12, თელავი"
"რობერტ ანთაძე"	"კოფცოვის ქ. 56, ოზურგეთი"
"ნუგზარ ტურაშვილი"	"წყალტუბოს ქ. 16, გუდაუთა"
"მედეა ღონღაძე"	"ერისთავ-ხოშტარიას ქ. 53, სოხუმი"
"უშანგი მაისურაძე"	"მრევლიშვილის ქ. 00, მარნეული"
"მერაბ ნადირაშვილი"	"მესხიშვილი ალექსის ქ. 07, გუდაუთა"
"როლანდ მაჭავარიანი"	"დაბახანას ქ. 57, ბაღდათი"
"ბორის მაჭავარიანი"	"კვალის ქ. 29, ბოლნისი"
"რეზო კაჭარავა"	"ყირიმის ქ. 09, მარნეული"
"ალექსანდრე ფუტკარაძე"	"ხეჩუაშვილის ქ. 42, საჩხერე"
"ავთანდილ ხელაძე"	"დოდაშვილი სოლომონის ქ. 12, ნინოწმინდა"
"ვლადიმერ გვასალია"	"მარტვილის ქ. 02, თეთრიწყარო"
"ევგენია სარალიძე"	"ქობულაძის ქ. 53, მარნეული"
"შოთა რობაქიძე"	"ლაზოს ქ. 43, მცხეთა"
"ეკატერინე ნადირაშვილი"	"ბაზალეთის ქ. 08, კასპი"
"ანიკო ვეკუა"	"ქედის ქ. 07, ქობულეთი"
"დავით კარაპეტიანი"	"საბაშვილის ქ. 21, სოხუმი"
"მურმან ბერძენიშვილი"	"ორბელების ქ. 20, წალენჯიხა"
"ნატალია სოფრომაძე"	"საქანელას ქ. 23, საგარეჯო"
"თენგიზ მიქელაძე"	"დვირის ქ. 22, ლაგოდეხი"
"ავთანდილ ხეცურიანი"	"წურწუმიას ქ. 18, რუსთავი"
"ნათელა ხურცილავა"	"ავთანდილის ქ. 64, წნორი"
"ელზა ცომაია"	"გარე კახეთის ქ. 31, ფოთი"
"ჯულიეტა ირემაძე"	"გულიას ქ. 18, სენაკი"
"გივი კობახიძე"	"ჯავის ქ. 96, ბორჯომი"
"გიგა კირვალიძე"	"ჯავახეთის ქ. 41, ცხინვალი"
"მარო ჯაფარიძე"	"კოდორის ქ. 58, გორი"
"მარიამ ჟვანია"	"რიწის ქ. 19, თერჯოლა"
"ჟენია მოდებაძე"	"მექანიზაციის ქ. 91, ტყვარჩელი"
"ლიანა მამულაშვილი"	"ოცხელების ქ. 26, ზესტაფონი"
"აზა გურეშიძე"	"ევდოშვილის ქ. 63, საგარეჯო"
"ხვიჩა ნარიმანიძე"	"კუმისის ქ. 28, გუდაუთა"
"ნუგზარ გურგენიძე"	"სულხან-საბას ქ. 67, ტყიბული"
"ზაზა დავითაძე"	"დოლიძე გოგის ქ. 65, გალი"
"ირინა მახათაძე"	"კიკეთის ქ. 72, ჯვარი"
"ზაურ ყოლბაია"	"რიწის ქ. 48, გურჯაანი"
"გრიგოლ ბურჯანაძე"	"ორთაჭალის ქ. 71, წყალტუბო"
"გოგი კილასონია"	"წალკის ქ. 86, რუსთავი"
"ქრისტინე გაბედავა"	"ზესტაფონის ქ. 29, ამბროლაური"
"ბადრი ყიფშიძე"	"ბურკიაშვილის ქ. 42, წალკა"
"აზა დუმბაძე"	"ძეგამის ქ. 28, თბილისი"
"გივი წულაია"	"ვასაძის ქ. 13, აბაშა"
"არმენ კვირიკაშვილი"	"ლომაურის ქ. 60, ახალქალაქი"
"თეიმურაზ ხოზრევანიძე"	"მაღაროს ქ. 33, მცხეთა"
"რიტა მელიქიშვილი"	"წაღვერის ქ. 87, გუდაუთა"
"ნაზიკო ქურდაძე"	"სტურუას ქ. 99, ფოთი"
"ვეფხვია ზარიძე"	"მეველეს ქ. 97, საჩხერე"
"ვახტანგ მუმლაძე"	"ახუთის ქ. 02, რუსთავი"
"მიხეილ ჟვანია"	"გუმათის ქ. 27, ხაშური"
"იზა წულუკიძე"	"ბათუმის ქ. 68, ონი"
"აზა თოლორდავა"	"მუხაძის ქ. 92, ვანი"
"ჟანა იაშვილი"	"ბახტრიონის ქ. 51, ქობულეთი"
"გიგლა ტუღუში"	"ლამის ქ. 74, ბორჯომი"
"არტურ ენუქიძე"	"რჩეულიშვილის ქ. 24, ონი"
"რევაზ ენუქიძე"	"თეთნულდის ქ. 25, ამბროლაური"
"ოთარ სირაძე"	"ნიაბის ქ. 90, წალკა"
"იაგო ბერიშვილი"	"აბზიანიძის ქ. 81, წალენჯიხა"
"მამუკა ცერცვაძე"	"თერგის ქ. 93, დმანისი"
"მურმან აბაშიძე"	"შუამთის ქ. 76, ლაგოდეხი"
"ზაირა გოგიაშვილი"	"კუფტინის ქ. 50, მარტვილი"
"აზა კუბლაშვილი"	"ჭაბუკიანი ვახტანგის ქ. 58, სიღნაღი"
"დავით პაპიძე"	"კურსების ქ. 03, ბოლნისი"
"ბორის კაკულია"	"პეტრიაშვილის ქ. 31, გორი"
"ანი კირკიტაძე"	"რიონის ქ. 72, მარნეული"
"თამაზ მესხი"	"გროზნოს ქ. 27, ცაგერი"
"რიმა ნარიმანიძე"	"ვაკელი იონას ქ. 56, მარნეული"
"გუგული მუსაევა"	"ტატიშვილი ერეკლეს ქ. 24, ახმეტა"
"ლიანა გურული"	"გელათის ქ. 06, ტყიბული"
"ზურაბ ანდღულაძე"	"ჯავახიშვილი ივანეს ქ. 81, ოზურგეთი"
"კობა გოგოლაძე"	"ივერიის ქ. 76, გარდაბანი"
"აზა მაზმიშვილი"	"კანდელაკის ქ. 86, ბათუმი"
"გუგული ფარტენაძე"	"ენგურის ქ. 90, სენაკი"
"გიგა ქანთარია"	"ხევსურეთის ქ. 88, საგარეჯო"
"აკაკი მჭედლიშვილი"	"დუტუ მეგრელის ქ. 32, ცხინვალი"
"მედიკო საჯაია"	"რატევანის ქ. 08, კასპი"
"კონსტანტინე ქათამაძე"	"მუხაძის ქ. 93, თბილისი"
"სუსანა მუსაევა"	"შირაქის ქ. 38, ქუთაისი"
"ციცინო კვირკველია"	"მუხრანის ქ. 67, ბოლნისი"
"ნაზიბროლა ჟვანია"	"კერესელიძის ქ. 71, ვანი"
"ზინა ალადაშვილი"	"კოშკოვანის ქ. 91, თელავი"
"აზა მარგველაშვილი"	"ვახტანგ VI–ის ქ. 56, ბათუმი"
"სოსო გოგუა"	"ჩეჩელაშვილის ქ. 05, ქობულეთი"
"ხვიჩა კვაჭაძე"	"ბოცვაძის ქ. 32, ხონი"
"ნატალია ბურჯანაძე"	"ღრმაღელეს ქ. 06, ტყიბული"
"დავით ჭეიშვილი"	"ვეკუა ვოვას ქ. 85, თელავი"
"ლაშა ქანთარია"	"საჩხერის ქ. 33, თეთრიწყარო"
"უჩა მახარაშვილი"	"ბოჭორმის ქ. 95, ახალქალაქი"
"ტარიელ აბდულაევი"	"სუნდუკიანის ქ. 88, ლანჩხუთი"
"ანზორ ჩხაიძე"	"ჩოხატაურის ქ. 21, დმანისი"
"ბიძინა ფოფხაძე"	"წმ. ნიკოლოზის ქ. 06, ზუგდიდი"
"აზა ნიკოლეიშვილი"	"კოტეტიშვილი ვახტანგის ქ. 19, ტყვარჩელი"
"სულიკო სიჭინავა"	"ხოდაშენის ქ. 40, ახალციხე"
"გელა წერეთელი"	"თოდრიას ქ. 92, ამბროლაური"
"როინ ჯინჭარაძე"	"მიქატაძის ქ. 39, თბილისი"
"ქეთევან მოსიაშვილი"	"ნიაბის ქ. 38, ახალქალაქი"
"შოთა პეტროსიანი"	"იაშვილი პაოლოს ქ. 64, გაგრა"
"რატი კალანდია"	"ჩაჩავას ქ. 14, საგარეჯო"
"დავით რობაქიძე"	"მანაგაძე ალეხსანდეს ქ. 87, წყალტუბო"
"ვანო ჯოხაძე"	"მარჯანიშვილი კოტეს ქ. 43, ქუთაისი"
"ნანი კოპაძე"	"ფიზკულტურის ქ. 68, ბორჯომი"
"აზა პაპაშვილი"	"ჩანჩიბაძის ქ. 32, ოჩამჩირე"
"ლალი ქობულაძე"	"შროშის ქ. 85, ოზურგეთი"
"სიმონ მუშკუდიანი"	"მახინჯაურის ქ. 03, ახალი ათონი"
"ვიქტორ ძიძიგური"	"ჩაქვის ქ. 05, გუდაუთა"
"ტარიელ ლაგვილავა"	"ბენდელიანი ჭიჭიკოს ქ. 82, ვანი"
"მაყვალა ხარაბაძე"	"ჩაისუბნის ქ. 83, მარნეული"
"თამარი ფოფხაძე"	"წმ. ნიკოლოზის ქ. 50, ვალე"
"დარეჯან ილურიძე"	"პისარევის ქ. 85, ზესტაფონი"
"ბიძინა ხუციშვილი"	"მახინჯაურის ქ. 82, საგარეჯო"
"ელენა პეტროსიანი"	"წინამძღვრიშვილის ქ. 12, ნინოწმინდა"
"აზა შარაშიძე"	"ხეთაგუროვის ქ. 61, გურჯაანი"
"რეზო სურმანიძე"	"ბენაშვილის ქ. 84, აბაშა"
"არჩილ მიქელაძე"	"ბაქოს ქ. 30, ახმეტა"
"ოლღა კაცაძე"	"მნათობის ქ. 89, ჭიათურა"
"მედეა როგავა"	"გულუა გიას ქ. 98, რუსთავი"
"ვანო ქარცივაძე"	"წინაუბნის ქ. 55, სამტრედია"
"გალინა კაზარიანი"	"ფალიაშვილის ქ. 13, თეთრიწყარო"
"ლიდა ჭკადუა"	"ორპირის ქ. 23, ქობულეთი"
"ციალა გოგიშვილი"	"ლიუბოვსკის ქ. 25, ახალი ათონი"
"კლარა მაჭარაშვილი"	"აბაშიძის ქ. 77, ლაგოდეხი"
"აზა ჭანტურია"	"ალექსიძე მერაბის ქ. 26, მარტვილი"
"მირიან ჯანაშია"	"მოსე ხონელის ქ. 90, სამტრედია"
"ფატი გრძელიშვილი"	"ლერწმის ქ. 31, ხობი"
"დიმიტრი ბაქრაძე"	"კახიანის ქ. 49, ხაშური"
"ნათია მათიაშვილი"	"ეფრემ მცირის ქ. 49, ფოთი"
"გოგი ღვინჯილია"	"მინდელაურის ქ. 43, წნორი"
"ეკა ზარქუა"	"ლაითურის ქ. 67, ცხინვალი"
"ნათელა ხაჩატურიანი"	"გოგიბერიძის ქ. 95, ახალქალაქი"
"შაქრო კვირკველია"	"ბოროდინოს ქ. 60, ვანი"
"იური კარაპეტიანი"	"ხაბეიშვილის ქ. 39, ვანი"
"აზა ხარშილაძე"	"მამრაძის ქ. 65, ახალი ათონი"
"ანი მჭედლიშვილი"	"ჩკალოვის ქ. 72, გუდაუთა"
"სოსო მაჭავარიანი"	"კობერიძის ქ. 62, მცხეთა"
"ნაირა მიქელაძე"	"ლაღიძე რევაზის ქ. 58, ახმეტა"
"კახა ხორავა"	"ბენაშვილის ქ. 28, ხობი"
"არმენ ბერიშვილი"	"ხორავა აკაკის ქ. 94, ოზურგეთი"
"ბესარიონ ჩხიკვაძე"	"ხევსურეთის ქ. 99, ცაგერი"
"კარლო კევლიშვილი"	"ბეჟანიშვილი ეკას ქ. 12, ვანი"
"ფატი ქარცივაძე"	"ვერჰარნის ქ. 76, ვალე"
"სულიკო გრიგორიანი"	"ზანდუკელი მიხეილის ქ. 60, გარდაბანი"
"აიდა არაბიძე"	"ძეგამის ქ. 17, ლაგოდეხი"
"ტარიელ მუსაევი"	"დიდი ჯიხაიშის ქ. 26, წალენჯიხა"
"სოფია ლაცაბიძე"	"ხევსურეთის ქ. 51, წყალტუბო"
"ირაკლი ნემსაძე"	"ნასიძე სულხანის ქ. 19, კასპი"
"თეონა გვაზავა"	"ირგვლივის ქ. 55, საჩხერე"
"კობა ასანიძე"	"ენგურჰესის ქ. 40, ახალქალაქი"
"თამთა ბერიანიძე"	"წერონისის ქ. 61, მარტვილი"
"მინდია გოგიაშვილი"	"ანანურის ქ. 73, ბაღდათი"
"გულიკო ჯიქია"	"დუტუ მეგრელის ქ. 58, საგარეჯო"
"სოფიო წიქარიშვილი"	"ლისაშვილის ქ. 78, ბორჯომი"
"აიდა გაჯიევა"	"ჩოჩუას ქ. 05, ლანჩხუთი"
"მაია გიორგაძე"	"სამშვილდეს ქ. 92, ნინოწმინდა"
"გვანცა მიმინოშვილი"	"ვახტანგ VI–ის ქ. 46, აბაშა"
"ედუარდ ტუღუში"	"ჯავახიშვილი მიხეილის ქ. 08, დედოფლისწყარო"
"ტარიელ გოგიაშვილი"	"სუვოროვის ქ. 47, ვალე"
"სონია ჯაფარიძე"	"ახალქალაქის ქ. 66, წალკა"
"უშანგი სიხარულიძე"	"მებაღიშვილის ქ. 13, ვანი"
"პეტრე ფხალაძე"	"პისარევის ქ. 74, ოზურგეთი"
"ნინელი ბეგიაშვილი"	"ანანურის ქ. 70, ახმეტა"
"ასლან ვაშაკიძე"	"პატარიძის ქ. 63, ოზურგეთი"
"აიდა გოგიჩაიშვილი"	"კუმისის ქ. 03, ხობი"
"ცირა კალანდია"	"ტყავის ქ. 69, მცხეთა"
"ვალერიან ცაავა"	"ლამისყანის ქ. 53, ჯვარი"
"სერგო ნადირაშვილი"	"სვანეთის ქ. 53, ჭიათურა"
"მეგი ჯაიანი"	"გაფრინდაულის ქ. 23, ახალქალაქი"
"პაატა ქევხიშვილი"	"დოღუმბარის ქ. 64, სიღნაღი"
"ეკა ფარტენაძე"	"ლიახვის ქ. 49, ყვარელი"
"ჯუმბერ ლომიძე"	"აბაშიძე დოდოს ქ. 19, ხონი"
"ნათელა ხურცილავა"	"ლენტეხის ქ. 74, ზუგდიდი"
"სოსო გოგუაძე"	"ავლევის ქ. 75, ახმეტა"
"აიდა ვარშანიძე"	"ტუსკიას ქ. 08, ხონი"
"ნიკოლოზ ტყემალაძე"	"კახიანის ქ. 81, ქობულეთი"
"ციცინო მახათაძე"	"სალხინოს ქ. 58, ტყვარჩელი"
"ასლან გოგიტიძე"	"მოლოკოვის ქ. 28, გალი"
"ინგა კარაპეტიანი"	"ასურეთის ქ. 63, ბოლნისი"
"ირინე სამხარაძე"	"ენუქიძის ქ. 12, ვანი"
"ჯუმბერ შელია"	"სარაჯიშვილი დავითის ქ. 69, ონი"
"არტურ კობერიძე"	"ბუაჩიძე თენგიზის ქ. 79, თელავი"
"გულნარა ჯიბლაძე"	"აკოფიანის ქ. 74, ზუგდიდი"
"ზაზა გურული"	"ტურგენევის ქ. 08, ქუთაისი"
"აიდა ლომიძე"	"ხეჩუაშვილის ქ. 15, ახალი ათონი"
"ანჟელა ღამბაშიძე"	"ლუსიანინის ქ. 56, სამტრედია"
"ანი კახაძე"	"შავი ზღვის ქ. 80, ახალქალაქი"
"გვანცა გოგიტიძე"	"გამცემლიძე შოთას ქ. 20, კასპი"
"გია ბუკია"	"ხომლელის ქ. 27, წყალტუბო"
"მიხეილ კვირიკაშვილი"	"მამრაძის ქ. 04, წნორი"
"ვეფხვია მაღრაძე"	"ხორავა აკაკის ქ. 95, გურჯაანი"
"ჯონი ქობულაძე"	"აჭარის ქ. 89, ხაშური"
"ნანული გობეჯიშვილი"	"ანდღულაძის ქ. 61, სოხუმი"
"გოდერძი ლიპარტელიანი"	"დელისის ქ. 76, გურჯაანი"
"აიდა ლომსაძე"	"კასპის ქ. 41, ქუთაისი"
"ზაირა ჯაიანი"	"მოსულიშვილის ქ. 88, ჯვარი"
"პავლე ხარაბაძე"	"ნოსტეს ქ. 50, ოზურგეთი"
"ჯუმბერ ნიკოლეიშვილი"	"ძოწენიძის ქ. 18, თერჯოლა"
"დარეჯან კირვალიძე"	"ჭავჭავაძე ალექსანდრეს ქ. 59, ტყიბული"
"რევაზ კაჭარავა"	"აბაკელიას ქ. 78, ზუგდიდი"
"გრიგოლ ლომთაძე"	"ბერიძე ვუკოლის ქ. 25, ვანი"
"რობერტ ინასარიძე"	"შატბერაშვილის ქ. 04, დედოფლისწყარო"
"ზაზა მინდიაშვილი"	"ნოვოროსისკის ქ. 44, საჩხერე"
"ირინე ლომაძე"	"ტუსკიას ქ. 55, გუდაუთა"
"აიდა სირაძე"	"ფიზკულტურის ქ. 01, ნინოწმინდა"
"ლელა ჟვანია"	"ბეჟანიშვილი ეკას ქ. 42, წალკა"
"ნიკოლოზ ძნელაძე"	"თერგის ქ. 17, გაგრა"
"მერაბ კეკელიძე"	"მუხაძის ქ. 12, ბათუმი"
"ილია გიორგობიანი"	"ტაბიძე ტიციანის ქ. 73, თერჯოლა"
"ვალერი სალუქვაძე"	"ისნის ქ. 17, სენაკი"
"ილია აფციაური"	"ჭიჭინაძე ზაქარიას ქ. 61, თეთრიწყარო"
"ბიძინა დვალიშვილი"	"იეთიმ გურჯის ქ. 84, დუშეთი"
"ედუარდ ბრეგაძე"	"მახათას ქ. 47, სიღნაღი"
"ციალა გაბედავა"	"წაღვერის ქ. 80, თერჯოლა"
"აიდა ჩხარტიშვილი"	"ტაბიძე ტიციანის ქ. 10, წალკა"
"ჯემალ მიქაბერიძე"	"ცაგერის ქ. 64, ბაღდათი"
"თამუნა ალიევი"	"ყუშიტაშვილის ქ. 01, ახალქალაქი"
"სუსანა ზარქუა"	"ვეზიროვის ქ. 78, ონი"
"კლარა ლეჟავა"	"ალმასიანის ქ. 78, თეთრიწყარო"
"ლილი გორგაძე"	"ლუსიანინის ქ. 85, წალენჯიხა"
"შალვა ტყებუჩავა"	"ხორნაბუჯის ქ. 92, გალი"
"ქეთინო ჯაიანი"	"აბზიანიძის ქ. 36, ნინოწმინდა"
"ცირა გვასალია"	"სულიაშვილის ქ. 22, ტყვარჩელი"
"იაგო გაბედავა"	"გოძიაშვილის ქ. 91, მარტვილი"
"აიდა ჭკადუა"	"ზალდასტანიშვილის ქ. 46, ბათუმი"
"გოგა ლაბაძე"	"საცხენისის ქ. 05, მარტვილი"
"ანნა ჭკადუა"	"ჯავის ქ. 27, ბორჯომი"
"თათია კვაჭაძე"	"გოგებაშვილის იაკობის ქ. 19, ონი"
"ანი ბენიძე"	"პეტრიწის ქ. 77, საგარეჯო"
"ლანა მოსიაშვილი"	"მაღალაშვილის ქ. 31, ტყვარჩელი"
"ავთანდილ ზარიძე"	"სხულუხიას ქ. 48, ახალციხე"
"მერი ვარდოსანიძე"	"იერუსალიმის ქ. 83, აბაშა"
"ფატი ბიბილაშვილი"	"ცისკრის ქ. 46, ახმეტა"
"მიხეილ ბერუაშვილი"	"ბერიკაშვილის ქ. 53, თელავი"
"აკაკი აბრამიშვილი"	"გაგარინი იურის ქ. 87, ახალციხე"
"ბექა მამალაძე"	"კახიანის ქ. 75, გორი"
"იოსებ ნასყიდაშვილი"	"საქარის ქ. 18, ჭიათურა"
"ჯუმბერ შარაშიძე"	"მცხეთის ქ. 29, ბორჯომი"
"დემურ გვენეტაძე"	"ვაზისუბნის ქ. 70, წალენჯიხა"
"ელენე ნოზაძე"	"კომუნის ქ. 56, გალი"
"ლუდმილა აბაშიძე"	"ღუდუშაური ოთარის ქ. 30, ფოთი"
"თათია დვალი"	"სუმბატაშვილ-იუჟინსკის ქ. 81, გარდაბანი"
"სიმონ სურმანიძე"	"ჟონეთის ქ. 20, ვანი"
"ლუბა ყოლბაია"	"ჭიაურელი მიხეილის ქ. 96, გარდაბანი"
"აკაკი გაჯიევი"	"პისარევის ქ. 01, ქარელი"
"ჯემალ ლურსმანაშვილი"	"ქართლის ქ. 89, გუდაუთა"
"ვასილ ჭაღალიძე"	"ჯავახეთის ქ. 41, გარდაბანი"
"გოგი მაჩიტიძე"	"საარბრჯუკენის ქ. 16, ზესტაფონი"
"დიანა გაბაიძე"	"სურამის ქ. 28, მარტვილი"
"უშანგი შანიძე"	"ბახტრიონის ქ. 16, ცხინვალი"
"თამარ კობერიძე"	"ხომლელის ქ. 16, სოხუმი"
"ზაზა ირემაშვილი"	"დარკვეთის ქ. 06, წალენჯიხა"
"ნანა მათიაშვილი"	"იეთიმ გურჯის ქ. 55, ხობი"
"ელენე კაციტაძე"	"ლეონიძე გიორგის ქ. 06, ოჩამჩირე"
"აკაკი ლაცაბიძე"	"მორეტის ქ. 56, ბოლნისი"
"მირანდა ლომაძე"	"ოდესის ქ. 24, წყალტუბო"
"მედიკო ხაჩატურიანი"	"ნათაძის ქ. 17, წალკა"
"ფატიმა გელაშვილი"	"მაიაკოვსკის ქ. 25, ბათუმი"
"გრიგოლ ყოლბაია"	"კოჯრის ქ. 12, ლაგოდეხი"
"თინა აბაშიძე"	"გუდიაშვილი ლადოს ქ. 31, საგარეჯო"
"ჯუმბერ სულაბერიძე"	"ხვანჭკარის ქ. 66, ბაღდათი"
"ნიკოლოზ ლატარია"	"ბუღეულის ქ. 73, აბაშა"
"აიდა ქირია"	"ხეთაგუროვის ქ. 52, სენაკი"
"ბესიკ ჩოხელი"	"კვალეთის ქ. 07, ვანი"
"აკაკი მაღრაძე"	"ჩიკვანიას ქ. 73, დმანისი"
"რატი ურუშაძე"	"ლიხის ქ. 46, დმანისი"
"შოთა მაღლაკელიძე"	"შენგელაიას ქ. 34, გაგრა"
"შაქრო სხირტლაძე"	"როსტომაშვილის ქ. 38, დმანისი"
"ვიქტორ თურმანიძე"	"სიხარულიძის ქ. 63, ოჩამჩირე"
"აკაკი პატარაია"	"ჭონქაძე დანიელის ქ. 23, ჭიათურა"
"არჩილ ჩხაიძე"	"თმოგვის ქ. 47, ლაგოდეხი"
"ვალერი გოგიჩაშვილი"	"ლებარდეს ქ. 35, ქუთაისი"
"ვიქტორ ჯღარკავა"	"ჩარხის ქ. 26, ოზურგეთი"
"მიხეილ ქანთარია"	"შავი ზღვის ქ. 06, სამტრედია"
"აკაკი მჟავანაძე"	"ბაკურიანის ქ. 94, წალკა"
"გალინა ცერცვაძე"	"ზედამზის ქ. 59, სამტრედია"
"გიგა როსტიაშვილი"	"მანაგაძე ალეხსანდეს ქ. 66, ლაგოდეხი"
"გულიკო გეგეშიძე"	"თეკლათის ქ. 38, ვალე"
"იური ჭიჭინაძე"	"ტაშირის ქ. 09, ხობი"
"რუსუდან ნუცუბიძე"	"ენგურის ქ. 54, ცხინვალი"
"თამილა ჩაჩუა"	"კურსკის ქ. 88, საჩხერე"
"ვახტანგ კვინიკაძე"	"ვეკუა ვოვას ქ. 05, გაგრა"
"ოთარ თაბაგარი"	"ენუქიძის ქ. 23, გურჯაანი"
"ირინე დემეტრაშვილი"	"ლაილაშის ქ. 49, გურჯაანი"
"აკაკი რევაზიშვილი"	"ცემის ქ. 62, ბოლნისი"
"შაქრო ტალახაძე"	"სურამის ქ. 03, საგარეჯო"
"ნუგზარ რამიშვილი"	"წალკის ქ. 60, გალი"
"გულიკო ჭანტურია"	"გარიყული მარიამის ქ. 10, ნინოწმინდა"
"ხატია პაპავა"	"ცოდნისკარის ქ. 82, ზუგდიდი"
"ზვიად ქარჩავა"	"ზაქარიაძე სერგოს ქ. 85, თბილისი"
"ზაქარია ნემსაძე"	"წუწხვატის ქ. 41, სიღნაღი"
"მარო ტყემალაძე"	"ბადიაურის ქ. 38, ცხინვალი"
"გუგული შაინიძე"	"მესხიშვილის ქ. 57, მარნეული"
"თამთა ხალვაში"	"აკურის ქ. 67, გუდაუთა"
"აკაკი ქაჯაია"	"შანშიაშვილის ქ. 43, ცაგერი"
"უშანგი პაპიძე"	"კობახიძის ქ. 64, ხონი"
"ქრისტინე ცეცხლაძე"	"არგვეთის ქ. 01, ტყიბული"
"დიანა გაბაიძე"	"ბალადინის ქ. 08, გურჯაანი"
"ელიზა კაჭარავა"	"ბახმაროს ქ. 03, თბილისი"
"ჯულიეტა მახარაძე"	"მარგიანი რევაზის ქ. 23, ზუგდიდი"
"გოგი კაკულია"	"რაზიკაშვილის ქ. 23, ვანი"
"ნაზიბროლა ხარაიშვილი"	"წერონისის ქ. 32, ჭიათურა"
"ნინელი ბეჟანიშვილი"	"მინდელის ქ. 13, ცხინვალი"
"დოდო იაშვილი"	"მებაღიშვილის ქ. 28, დედოფლისწყარო"
"აკაკი ქუთათელაძე"	"ყავლაშვილი შოთას ქ. 42, წყალტუბო"
"ლელა ქობულაძე"	"ქურდიანი არჩილის ქ. 48, გარდაბანი"
"ვალერი ქუთათელაძე"	"ჩიქოვანის ქ. 85, ქარელი"
"ვაჟა ნარიმანიძე"	"მოლითის ქ. 75, ქობულეთი"
"ელგუჯა ურუშაძე"	"8 მარტის ქ. 65, დმანისი"
"აკაკი ფიფია"	"ქინქლაძე ოთარის ქ. 94, ახმეტა"
"ციალა ნიკოლეიშვილი"	"ზედაზნის ქ. 01, ბათუმი"
"ბორის გაბედავა"	"საცხენისის ქ. 31, გურჯაანი"
"როინ ქაჯაია"	"კალოუბნის ქ. 13, ამბროლაური"
"იური გორგაძე"	"თელეთის ქ. 45, ხონი"
"აკაკი ჩაფიძე"	"თონეს ქ. 07, ბოლნისი"
