"ავთანდილ დალაქიშვილი","თვალჭრელიძის ქ. 25, ჭიათურა"
"ნორა ბეგიაშვილი","მაიაკოვსკის ქ. 55, მარნეული"
"ემა კვირკველია","ოდესის ქ. 22, სოხუმი"
"მთვარისა რობაქიძე","აბაშის ქ. 43, ყვარელი"
"ალექსანდრე ძნელაძე","ცხრა ძმის ქ. 56, სამტრედია"
"აზა ხვიჩია","ტყიბულის ქ. 66, ოჩამჩირე"
"ელიზა ფუტკარაძე","რიწის ქ. 99, გორი"
"გუგული ხატიაშვილი","ქუჩიშვილის ქ. 01, ფოთი"
"პეტრე გურეშიძე","ინანიშვილი რამაზის ქ. 15, თელავი"
"თამარა ბერაია","ჩუბინაშვილი გიორგის ქ. 27, გაგრა"
"მარია ცეცხლაძე","აბასთუმანის ქ. 96, თბილისი"
"მარგალიტა ჭითანავა","ზანდუკელი მიხეილის ქ. 22, ბოლნისი"
"სოფია სანიკიძე","ქუჩიშვილის ქ. 39, ქობულეთი"
"ნოდარ ფირცხალავა","იპოლიტე-ივანოვის ქ. 25, სიღნაღი"
"ავთანდილ ხმალაძე","სტამბის ქ. 19, რუსთავი"
"აზა ჯანჯღავა","წმ. ნიკოლოზის ქ. 28, ცხინვალი"
"გუგული ტურაშვილი","ნანეიშვილი ვლადიმერის ქ. 13, დმანისი"
"ნაზიბროლა კობაიძე","ჯავახიშვილი ივანეს ქ. 26, ბორჯომი"
"როინ პაპუაშვილი","მეგობრობის ქ. 91, სამტრედია"
"ალექსანდრე ჟორჟოლიანი","ჩიტაიას ქ. 97, ბოლნისი"
"შოთა გაჩეჩილაძე","ექიმის ქ. 27, ვანი"
"ოლღა პეტროსიანი","ნინიძის ქ. 93, ლაგოდეხი"
"ვახტანგ კვაჭაძე","თოდრიას ქ. 04, გაგრა"
"ზაზა ლაცაბიძე","მარტვილის ქ. 21, ყვარელი"
"ედუარდ ყურაშვილი","კუმისის ქ. 37, მარნეული"
"აიდა ბერაძე","ჩაჩავას ქ. 78, ჭიათურა"
"არტურ გობეჯიშვილი","ახმეტელის ქ. 09, ნინოწმინდა"
"ვიქტორ კუჭავა","კვერნაულის ქ. 73, სიღნაღი"
"ლუიზა კვაჭაძე","სააკაძის ქ. 52, გუდაუთა"
"მურთაზ ბაქრაძე","საბანისძის ქ. 53, დუშეთი"
"თეიმურაზ ჭანტურიძე","რიონის ქ. 68, საჩხერე"
"ვიქტორ ფერაძე","ვაზიანის ქ. 15, ქარელი"
"ვერა ნატროშვილი","კვესეთის ქ. 09, სენაკი"
"შოთა გობეჯიშვილი","კაიშაურის ქ. 14, ბორჯომი"
"ნანა ბახტაძე","მათიაშვილის ქ. 45, ყვარელი"
"აიდა დევაძე","კარალეთის ქ. 68, გალი"
"მერი მათიაშვილი","გედევანიშვილის ქ. 87, ხაშური"
"ლილი გურული","არარატის ქ. 47, საგარეჯო"
"ალექს გაჯიევა","სართანიას ქ. 26, ქარელი"
"როინ კევლიშვილი","არაყიშვილი დიმიტრის ქ. 17, ჭიათურა"
"ვალერი ბერიძე","ზარზმის ქ. 93, თერჯოლა"
"მარგალიტა ბიგვავა","პაიჭაძის ქ. 11, ქარელი"
"ლაშა გოგალაძე","კოჯრის ქ. 98, ხაშური"
"დოდო დავითაძე","მიცკევიჩის ქ. 75, გორი"
"ბონდო მიქაძე","ბააზოვის ქ. 80, ახალქალაქი"
"აიდა საჯაია","არველაძის ქ. 76, ქობულეთი"
"ელმირა ჯოჯუა","თმოგველის ქ. 07, ბათუმი"
"მიხეილ გუმბერიძე","საირმის ქ. 46, ვალე"
"რიტა კობაიძე","დედოფლისწყაროს ქ. 55, აბაშა"
"რეზო ბერიშვილი","თამარაშენის ქ. 41, სოხუმი"
"რუსუდან ჩხეიძე","უზნაძე დიმიტრის ქ. 66, მარნეული"
"ნიკოლოზ ხაჩატურიანი","ტაბიძე ტიციანის ქ. 44, ცხინვალი"
"გუგული ალანია","დეპოს ქ. 10, ხონი"
"რომან სოფრომაძე","კალოუბნის ქ. 39, თერჯოლა"
"ამირან კობახიძე","კაკაბაძეების ქ. 83, ოზურგეთი"
"აიდა ქათამაძე","ბუდაპეშტის ქ. 69, ქუთაისი"
"მადონა მელაძე","ლანჩხუთის ქ. 58, ტყვარჩელი"
"ჯუმბერ სოფრომაძე","ფერისცვალების ქ. 72, გალი"
"ქრისტინე თოფურია","ქუთათელაძე აპოლონის ქ. 99, სენაკი"
"მირიან დარბაიძე","დგებუაძის ქ. 90, გალი"
"მიხეილ საჯაია","ტაბახმელას ქ. 53, მცხეთა"
"მარია ფუტკარაძე","გუმათის ქ. 81, ლანჩხუთი"
"ამირან კირთაძე","ჯორჯაძის ქ. 96, ახალქალაქი"
"გიორგი პაპავა","გურგენიძის ქ. 87, ქობულეთი"
"ავთანდილ გაბრიჭიძე","პალიასტომის ქ. 86, ახალქალაქი"
"აკაკი ბერულავა","არბოშიკის ქ. 93, წყალტუბო"
"ჯულიეტა კეკელიძე","ჩხიკვაძის ქ. 97, თბილისი"
"ნადია დავითაძე","ბერძენიშვილის ქ. 44, ნინოწმინდა"
"ბესარიონ მელიქიძე","ბენაშვილის ქ. 80, ოზურგეთი"
"თენგიზ ონიანი","ჭრებალოს ქ. 28, ახალქალაქი"
"მარია შამათავა","თონეს ქ. 13, თეთრიწყარო"
"ფატი ჯანჯღავა","ტელეგრაფის ქ. 16, ამბროლაური"
"ვერიკო კუჭავა","ასურეთის ქ. 33, ხაშური"
"გურამ ბეგიაშვილი","ალაზნის ქ. 81, ბოლნისი"
"მარია ნასყიდაშვილი","ლარსის ქ. 48, ხაშური"
"აკაკი გაფრინდაშვილი","ახუნდოვის ქ. 35, კასპი"
"გივი ბურჯანაძე","არაგვის ქ. 17, წალკა"
"ჯუმბერ მანაგაძე","გაგარინი იურის ქ. 16, ოჩამჩირე"
"თამილა ბოლქვაძე","სევანის ქ. 31, თელავი"
"გიორგი ხუციშვილი","გოგჩის ქ. 28, მცხეთა"
"შორენა ხუციშვილი","ხვანჭკარის ქ. 31, საგარეჯო"
"ვერა ჯაფარიძე","გუდარის ქ. 79, საგარეჯო"
"სოსო ჭანტურია","ფაბრიკის ქ. 11, ხაშური"
"რიმა ხატიაშვილი","დარკვეთის ქ. 75, ხონი"
"ჯაბა ახვლედიანი","იოსებიძის ქ. 48, დუშეთი"
"აკაკი დარბაიძე","ხერხეულიძეების ქ. 78, ჯვარი"
"მარი მამალაძე","იაშვილი პაოლოს ქ. 48, რუსთავი"
"ვალერი დიასამიძე","ორთაჭალის ქ. 64, მცხეთა"
"რომან ფიცხელაური","ცაგარელი არჩილის ქ. 80, სოხუმი"
"გოგა ბასილაშვილი","არდაზიანის ქ. 58, ახმეტა"
"დარეჯან ჩინჩალაძე","ფასანაურის ქ. 35, გაგრა"
"ანზორ პაპავა","არდაზიანის ქ. 03, თერჯოლა"
"ალექს კობახიძე","ჟველაურის ქ. 96, მცხეთა"
"თეა სალუქვაძე","ბააზოვის ქ. 73, თერჯოლა"
"ევგენია ხაჩატურიანი","ხერხეულიძეების ქ. 48, ხონი"
"აკაკი მელქაძე","ფშავის ქ. 47, ოზურგეთი"
"თემურ ხაჩიძე","ივლეთის ქ. 10, ქუთაისი"
"სოსო გულიაშვილი","ინტერნატის ქ. 38, ხონი"
"ედუარდ მაღლაკელიძე","აბუსერიძე-ტბელის ქ. 80, გუდაუთა"
"ლამარა ბეგიაშვილი","მოსე ხონელის ქ. 48, ქარელი"
"ნუკრი სოფრომაძე","ახვლედიანი გიორგის ქ. 84, ზუგდიდი"
"თეიმურაზ კაჭარავა","ხრესილის ქ. 06, ამბროლაური"
"ნაზიკო ლეჟავა","ძმობის ქ. 02, წყალტუბო"
"ბიძინა კახაძე","დოლიძე გოგის ქ. 13, გალი"
"გიგა ზურაბაშვილი","8 მარტის ქ. 02, ტყიბული"
"აკაკი რუხაძე","ალგეთის ქ. 59, ბაღდათი"
"ბორის ჯოჯუა","ახმეტის ქ. 84, ცხინვალი"
"ნატალია ჩხარტიშვილი","ხეთაგუროვის ქ. 31, დმანისი"
"ლაშა დავითაძე","აჯამეთის ქ. 40, ქარელი"
"ევგენია ნადირაძე","ბოროდინოს ქ. 17, ზესტაფონი"
"მალხაზ გოგინაშვილი","აბაშის ქ. 70, ნინოწმინდა"
"ლიანა მელიქიძე","ჟინვალის ქ. 73, ხაშური"
"სულიკო გოგიშვილი","წაღვერის ქ. 52, ნინოწმინდა"
"ნუკრი იმერლიშვილი","მირზაანის ქ. 01, ხაშური"
"ედუარდ მუშკუდიანი","ბაქრაძე დიმიტრის ქ. 66, სოხუმი"
"აკაკი ქაჯაია","გაფრინდაულის ქ. 00, თბილისი"
"თამარა ბაკურაძე","ორპირის ქ. 04, თეთრიწყარო"
"ივანე შაინიძე","უბილავას ქ. 61, გალი"
"ეთერ კაჭარავა","იერუსალიმის ქ. 43, აბაშა"
"თამაზ თოლორდავა","ხვანჭკარის ქ. 50, ლანჩხუთი"
"კარინე ჯინჭარაძე","300 არაგველის ქ. 54, მარტვილი"
"რუსუდან კიკნაძე","შავი ზღვის ქ. 36, ახალქალაქი"
"ელენე წიკლაური","ლესია უკრაინკას ქ. 50, გუდაუთა"
"ანჟელა ხალვაში","კისისხევის ქ. 60, მარნეული"
"თენგიზ ჯანჯღავა","ბააზოვის ქ. 37, წყალტუბო"
"აკაკი ყაველაშვილი","ზურაბიშვილი ავლიპის ქ. 13, მარნეული"
"ვიქტორ კაჭარავა","ალიხანიანის ქ. 01, ლაგოდეხი"
"ვენერა შელია","ნაგომარის ქ. 37, დმანისი"
"ნაზიკო ჭაღალიძე","ლარეხის ქ. 41, სოხუმი"
"ოლღა მუსაევა","ურეკის ქ. 68, კასპი"
"ნიკა იმერლიშვილი","მიქატაძის ქ. 87, ყვარელი"
"ლევან კვარაცხელია","პასტერის ქ. 44, ქუთაისი"
"მაყვალა ირემაძე","ქართველიშვილი ლევანის ქ. 90, გალი"
"სოფიკო ჟორჟოლიანი","მიქელაძის ქ. 66, ხაშური"
"ირაკლი კეკელიძე","ტუსკიას ქ. 87, კასპი"
"აკაკი ყურაშვილი","დ. ყიფიანის ქ. 76, სამტრედია"
"ნიკა ჭეიშვილი","ბერიკაშვილის ქ. 34, ხობი"
"მურმან ჭელიძე","ზეკარის ქ. 79, რუსთავი"
"პაატა მარგველაშვილი","იამანიძე შოთას ქ. 83, ქარელი"
"ია კილასონია","ალმასიანის ქ. 69, თერჯოლა"
"მარინე ჩაჩუა","ნინიძის ქ. 73, ფოთი"
"ალექს კობიაშვილი","ცაგარელი არჩილის ქ. 41, ტყვარჩელი"
"მერაბ ბრეგაძე","მანავის ქ. 58, ჭიათურა"
"ილია თოდუა","ტატიშვილის ქ. 65, მარნეული"
"მარი ხმალაძე","ფაღავა ირაკლის ქ. 46, ახალციხე"
"აკაკი შარაშიძე","შენგელაიას ქ. 80, სიღნაღი"
"კახაბერ კურტანიძე","ზემო ვეძისის ქ. 26, ახალციხე"
"რობერტ მეტრეველი","ოჟიოს ქ. 64, ონი"
"ელისო ხიმშიაშვილი","ბაკურიანის ქ. 66, გუდაუთა"
"მარო შველიძე","ენუქიძის ქ. 58, ბორჯომი"
"ამირან ბეგიაშვილი","ჩოხატაურის ქ. 67, გალი"
"ეკა ჭუმბურიძე","დიმიტრი თავდადებულის ქ. 83, ნინოწმინდა"
"ნაირა გუმბერიძე","ხვამლის ქ. 48, დმანისი"
"თინა ფუტკარაძე","პეტრე იბერის ქ. 43, ახალი ათონი"
"გოჩა ცომაია","წავკისის ქ. 67, წალენჯიხა"
"აკაკი ჭკადუა","შინდისის ქ. 04, საჩხერე"
"კობა ფარცვანია","რიწის ქ. 67, ახალქალაქი"
"იზოლდა კარაპეტიანი","არაგვისპირელი შიოს ქ. 49, ხაშური"
"ციალა ქარდავა","გროზნოს ქ. 94, გორი"
"ვლადიმერ ჩაჩანიძე","ჭრელაშვილის ქ. 67, ყვარელი"
"უშანგი ბლიაძე","მარტყოფის ქ. 27, რუსთავი"
"ლაშა არაბული","ბეღლეთის ქ. 11, ქუთაისი"
"ნონა ცეცხლაძე","მუხაძის ქ. 43, საგარეჯო"
"ლამარა გოგოლაძე","ტყის ქ. 79, სოხუმი"
"ელზა ფერაძე","ზედაუბნის ქ. 04, მარნეული"
"ალა ახობაძე","ნანეიშვილი ვიქტორის ქ. 31, დმანისი"
"ელგუჯა ჩიქოვანი","ზედაზნის ქ. 61, ჯვარი"
"თათია გრიგალაშვილი","ფოცხიაშვილი მორისის ქ. 60, წალენჯიხა"
"კარინე ბიგვავა","ორბეთის ქ. 96, საგარეჯო"
"სოფია ცერცვაძე","მაცესტის ქ. 78, ქობულეთი"
"ილია ხვედელიძე","კოჯრის ქ. 65, ტყიბული"
"გოჩა გულიაშვილი","კობერიძის ქ. 22, გუდაუთა"
"რევაზ ნიკოლეიშვილი","ხვამლის ქ. 35, სიღნაღი"
"ნუცა გელაშვილი","ხერხეულიძეების ქ. 79, რუსთავი"
"პავლე ქარდავა","გუდაურის ქ. 73, ბათუმი"
"ალა ბოჭორიშვილი","შავგულიძის ქ. 96, წნორი"
"თამარა კიკნაძე","ლამისყანის ქ. 01, გალი"
"ბორის კვარაცხელია","ტვიშის ქ. 25, მარტვილი"
"ლეილა ჭანტურიძე","ბერიტაშვილის ქ. 80, ლაგოდეხი"
"მალხაზ დავითაშვილი","ანჯაფარიძე ვერიკოს ქ. 40, მარტვილი"
"კახაბერ ჯღარკავა","სამურის ქ. 16, ლანჩხუთი"
"მარგალიტა გულიაშვილი","ჭოველიძე თამარის ქ. 86, ლანჩხუთი"
"ლევან ენუქიძე","თრიალეთის ქ. 94, ქობულეთი"
"ნუცა კანდელაკი","ნიაღვრის ქ. 86, ცაგერი"
"მარიამ კაკაბაძე","ლაღიძე მიტროფანეს ქ. 49, თბილისი"
"ალა ენუქიძე","ჯ. კახიძის ქ. 94, გორი"
"ვლადიმერ ხიზანიშვილი","მაზნიაშვილის ქ. 26, ბათუმი"
"მარიკა წიქარიშვილი","აბუსერიძე-ტბელის ქ. 09, ახალციხე"
"ლანა ქირია","ხარაგაულის ქ. 25, წალკა"
"ვახტანგ კირვალიძე","კუპრაძის ქ. 72, სენაკი"
"მარინე ლომსაძე","სამურზაყანოს ქ. 13, ჭიათურა"
"გრიგოლ ონიანი","გურიელის ქ. 60, ბათუმი"
"მიხეილ ხაჩატურიანი","მარაბდის ქ. 65, ლანჩხუთი"
"რიტა ბრეგაძე","ტატიშვილის ქ. 12, ხონი"
"ნაზიბროლა ვაშაკიძე","ჟველაურის ქ. 06, სიღნაღი"
"ალა ხიზანიშვილი","შარტავა ჟიულის ქ. 53, ფოთი"
"რუსუდან ყურაშვილი","ლალიონის ქ. 31, ლანჩხუთი"
"ანიკო სოფრომაძე","დუშეთის ქ. 58, ხობი"
"მზია არველაძე","ედისის ქ. 95, ზესტაფონი"
"ალა ხოზრევანიძე","გორის ქ. 41, გურჯაანი"
"ხვიჩა მოსიაშვილი","გარე კახეთის ქ. 19, ქარელი"
"თამუნა სულაბერიძე","პიონერის ქ. 75, ცხინვალი"
"სულიკო მჭედლიშვილი","ახალდაბის ქ. 34, მარტვილი"
"თინა კალანდია","ჩიქოვანის ქ. 06, ზესტაფონი"
"ირაკლი მოდებაძე","გიორგაძის ქ. 91, ლანჩხუთი"
"ალექს გაგნიძე","შავნაბადას ქ. 01, თერჯოლა"
"ჯემალ ხოზრევანიძე","ტელეგრაფის ქ. 87, ახალი ათონი"
"მიხეილ თაბაგარი","ასხინის ქ. 12, ტყვარჩელი"
"ხვიჩა გოგუა","ტირიფონის ქ. 72, ოჩამჩირე"
"ეკა კაციტაძე","კეკელიძე კორნელის ქ. 31, ონი"
"რეზო ტყეშელაშვილი","აბო ტბილელის ქ. 00, მარტვილი"
"რატი ბოჭორიშვილი","ოჩამჩირის ქ. 41, ჯვარი"
"მადონა რობაქიძე","ხივინის ქ. 89, გარდაბანი"
"ივანე ლობჯანიძე","კიევის ქ. 66, ზესტაფონი"
"სოსო ტყემალაძე","ლიხაურის ქ. 05, ბაღდათი"
"ალექს გულუა","ბერძენიშვილის ქ. 77, ხონი"
"ნუნუ ჯოხაძე","ჩანჩიბაძის ქ. 28, ახალი ათონი"
"ბესარიონ ქორიძე","სადმელის ქ. 67, ქუთაისი"
"ვახტანგ დიასამიძე","უიარაღოს ქ. 16, დედოფლისწყარო"
"მერაბ ჭიჭინაძე","ჩაიკოვსკის ქ. 52, ოჩამჩირე"
"გულიკო ჯაფარიძე","აჭარის ქ. 95, ოჩამჩირე"
"ანა პაპიძე","გალის ქ. 64, ტყიბული"
"ზაქარია მაჭავარიანი","საჭილაოს ქ. 86, დმანისი"
"ოლღა ტაბატაძე","ალმასიანის ქ. 63, დუშეთი"
"ბესიკ თურმანიძე","ხუდადოვის ქ. 42, სამტრედია"
"ალექს დავითაძე","აბაშიძის ქ. 71, გაგრა"
"გრიგოლ კობიაშვილი","გომბორის ქ. 29, ზესტაფონი"
"თეიმურაზ ცანავა","მიქატაძის ქ. 66, ახმეტა"
"ხატია მახარაშვილი","მ. ლებანიძის ქ. 75, ქარელი"
"ელენე ტყეშელაშვილი","ზურაბიშვილი ავლიპის ქ. 28, გარდაბანი"
"ვალერიან მაჭარაშვილი","აბუსერიძე-ტბელის ქ. 24, ამბროლაური"
"ირმა ფეიქრიშვილი","სადმელის ქ. 58, ხონი"
"დიმიტრი დევიძე","ქუთაისის ქ. 14, თელავი"
"გოგიტა შალამბერიძე","ლორთქიფანიძე გრიგოლის ქ. 11, წალკა"
"ვაჟა ბუკია","ვეძათხევის ქ. 56, ახმეტა"
"ალექს დევიძე","ვერჰარნის ქ. 33, გალი"
"ირაკლი ბოჭორიშვილი","ნადიკვარის ქ. 74, ოჩამჩირე"
"ომარ ჟღენტი","ტაშკენტის ქ. 82, ბოლნისი"
"ვარდო ლოლაძე","მოლითის ქ. 31, სამტრედია"
"თემურ ბერულავა","ლაგოდეხის ქ. 32, ყვარელი"
"იოსებ აბაშიძე","იმერეთის ქ. 90, თბილისი"
"ცისანა ნარიმანიძე","ვეკუა ვოვას ქ. 78, ბაღდათი"
"თემურ კვარაცხელია","კელაპტრიშვილი ომარის ქ. 44, წალკა"
