ავთანდილ ელიზბარაშვი18 
გოგი ტყეშელაშვილი   3
აზა მამულაძე        6  
დემურ ბიბილაშვილი   7  
ნუკრი მახათაძე      13 
ნადეჯდა შამუგია     16 
დიმიტრი ჩხიკვაძე    15 
იზოლდა მაღლაკელიძე  14 
ნუცა გოგუაძე        4  
პავლე კუჭავა        2  
თეიმურაზ შალამბერიძე17 
იაგო ზოიძე          6
აზა მახათაძე        11 
სოსო ცარციძე        15 
კობა ქათამაძე       17 
ვაჟა ბუცხრიკიძე     18 
ლიზა თოფურია        14 
ბექა თოფურია        9  
პაატა სიხარულიძე    9  
თამთა მახარაძე      0  
მალხაზ ჭანტურია     14 
ვალერიან კაკაბაძე   14
აზა ყურაშვილი       9  
ქეთო მიქავა         8  
ნატალია ცირეკიძე    6  
თამაზ ოქრუაშვილი    6  
ზინა ნოზაძე         14 
პეტრე იმნაძე        19 
ნაზიბროლა ძიძიგური  3  
ჯუმბერ ჯაფარიძე     13 
გოჩა ჩხაიძე         16 
მეგი რევაზიშვილი    1
აზა ჭუმბურიძე       7  
დიმიტრი ჩხიკვაძე    11 
სიმონ ხაჩატურიანი   12 
ნიკოლოზ ადუაშვილი   11 
არტურ გრიგორიანი    1  
ჯემალ რუხაძე        17 
ალა ჯანელიძე        14 
თორნიკე ჩხაიძე      5  
მირიან ცერცვაძე     4  
ჯონი ხარებავა       15
აზა ჯანჯღავა        18 
ჯემალ ადამია        11 
მზია ხარაზიშვილი    17 
ლუბა თოფურია        15 
აიდა ვეკუა          1  
ელენე ჩიხლაძე       20 
კლარა ყურაშვილი     18 
ბესარიონ კირკიტაძე  9  
კარლო კოხრეიძე      3  
სიმონ ხარშილაძე     13
აიდა ბიგვავა        14 
რუსუდან ჩხარტიშვილი 8  
მურთაზ ხუციშვილი    17 
ნინელი დემეტრაშვილი 17 
იური პაპიძე         17 
ელგუჯა პაპაშვილი    15 
ლევან გორგაძე       3  
ანზორ იმნაძე        15 
ვალენტინა კოხრეიძე  2  
ელიზა ხატიაშვილი    19
აიდა გაგუა          15 
ანზორ წურწუმია      20 
ლამზირა ადუაშვილი   9  
ნორა მუსტაფაევა     2  
თორნიკე მერაბიშვილი 2  
ზვიად ვარდოსანიძე   6  
მირანდა გულუა       12 
ბესიკ კუპრაშვილი    2  
არტურ კინწურაშვილი  2  
ზაურ მახათაძე       13
აიდა გელაშვილი      6  
გოგიტა გიორგაძე     17 
კონსტანტინე კილაძე  4  
მარგალიტა იმნაძე    13 
ივანე ნებიერიძე     5  
თამაზ გვაზავა       10 
ლაშა მამალაძე       10 
აიდა ძიძიგური       7  
ვარდო ფუტკარაძე     1  
იოსებ ბარამიძე      8
აიდა გოგია          12 
ნაზიბროლა ნატროშვილი8  
რატი ზოიძე          6  
გოგი ხორავა         8  
თამაზ შუკაკიძე      11 
ზაზა კონცელიძე      19 
მაია ხაჩიძე         13 
ნიკოლოზ შველიძე     5  
შალვა ნიქაბაძე      18 
ნონა გორგაძე        6
აიდა კანდელაკი      1  
როზა ლომიძე         14 
ციალა გრიგორიანი    18 
მედეა კურტანიძე     17 
ნორა ხალვაში        6  
იოსებ ადუაშვილი     12 
იოსებ სირბილაძე     1  
ქეთევან იმერლიშვილი 17 
მარინე ვალიევა      7  
ვახტანგ ნაკაშიძე    6
აიდა მერებაშვილი    0  
იამზე გოგოხია       7  
ზაზა ჩხაიძე         10 
მირანდა მიქავა      15 
ნაზიკო ხარჩილავა    19 
ნუგზარ გიორგობიანი  5  
გოგა კუჭავა         6  
კლარა ბერიძე        15 
მაია ლომიძე         4  
რუსუდან შუკაკიძე    5
აიდა მიქავა         9  
იზოლდა მუმლაძე      20 
ელენა ხარატიშვილი   20 
ნანი კირთაძე        8  
ინეზა ხეცურიანი     4  
რეზო შუბითიძე       2  
ლია ჩიხლაძე         1  
ლიანა ქორიძე        4  
მარიამ ჭაღალიძე     1  
კონსტანტინე სალუქვაძ18
აიდა მიქაძე         4  
ბესარიონ მუსაევა    6  
გვანცა გორგაძე      11 
კარლო ნარიმანიძე    2  
ივანე არაბული       13 
რიმა პაპიაშვილი     15 
გოგიტა გოცირიძე     6  
ცირა კურტანიძე      3  
კარლო ჭანტურია      0  
უშანგი ბიგვავა      4
აიდა ნებიერიძე      2  
კახა გოგიჩაშვილი    17 
პავლე შანიძე        18 
სერგო ხარებავა      16 
ნინო რობაქიძე       4  
გოგიტა ხვედელიძე    2  
იური კევლიშვილი     14 
ეკატერინე ტუღუში    11 
ოლღა მღებრიშვილი    11 
ლუიზა კაზარიანი     14
აიდა ფეიქრიშვილი    7  
ლიდა გაგუა          6  
ანნა შეყილაძე       15 
დოდო ნეფარიძე       2  
გიგლა ნოზაძე        8  
ნესტან ხიმშიაშვილი  15 
ლენა შეყილაძე       3  
ვალენტინა გაჯიევა   18 
როლანდ ფხაკაძე      19 
ბელა შონია          3
აიდა ხურცილავა      10 
კახაბერ მერებაშვილი 11 
იოსებ როსტიაშვილი   12 
ვეფხვია ხოზრევანიძე 4  
ასმათ ტუღუში        5  
ირაკლი ლომაძე       13 
გიორგი გვენეტაძე    20 
მარია ბალიაშვილი    11 
ნინო მუსტაფაევა     12 
ინეზა ვარშანიძე     14
აკაკი ბოკუჩავა      11 
სუსანა ბერძენიშვილი 10 
ზურაბ ნადირაშვილი   13 
თეიმურაზ ონიანი     15 
თორნიკე სამუშია     10 
მიხეილ ღლონტი       6  
ლიზა იობიძე         6  
გოჩა გველესიანი     4  
ედუარდ ბუკია        14 
დოდო ვაშაკიძე       0
აკაკი ირემაძე       11 
შოთა ქირია          20 
შორენა ადეიშვილი    12 
ნიკოლოზ შავაძე      14 
ლარისა ნარიმანიძე   3  
კობა ალიევა         11 
რიმა ვალიევი        20 
შოთა კუბლაშვილი     9  
ნაზი ღლონტი         17 
კახაბერ სვანიძე     18
აკაკი მელაძე        6  
თეონა ღურწკაია      18 
ბელა ქირია          3  
კლარა გოგიშვილი     17 
ქრისტინე როსტიაშვილი13 
მაია გოგიჩაიშვილი   7  
ქეთო კვირკველია     0  
ბადრი გაჯიევი       19 
სერგო გაგუა         0  
მარია მაისურაძე     4
აკაკი მეფარიშვილი   1  
თინათინ ნარიმანიძე  4  
ზაზა გოგიშვილი      10 
თენგიზ გორგაძე      13 
მალხაზ მერაბიშვილი  15 
მალხაზ მიქაბერიძე   3  
დოდო სამხარაძე      5  
სოფია გაბრიჭიძე     2  
მიხეილ მგელაძე      12 
ბესარიონ კირვალიძე  15
აკაკი ოქრუაშვილი    1  
ქეთევან ხეცურიანი   4  
ამირან მაღრაძე      17 
ემა კირკიტაძე       18 
რიმა რეხვიაშვილი    5  
ვეფხვია სამუშია     12 
დათო ირემაშვილი     2  
ვაჟა რუხაძე         19 
ზაურ ონიანი         7  
ზინა თოლორდავა      17
აკაკი პატარაია      20 
გოგიტა ტყეშელაშვილი 11 
ჯაბა ჟორჟოლიანი     12 
მერაბ ალადაშვილი    14 
ფიქრია ნაჭყებია     11 
კლარა ცირეკიძე      9  
აკაკი ქორიძე        1  
თეიმურაზ ფარცვანია  19 
ლილი კვინიკაძე      20 
ნათელა გელაშვილი    5
აკაკი პეტრიაშვილი   12 
რეზო გაგნიძე        2  
ლევან კიკვაძე       20 
ნუკრი ნიქაბაძე      13 
მიხეილ პაპიაშვილი   11 
ჯულიეტა სალუქვაძე   10 
ტატიანა მაღლაკელიძე 11 
ვენერა კუპატაძე     6  
გიული ისაევი        11 
ზაირა ვარშანიძე     9
აკაკი შუკაკიძე      18 
ლამზირა ცეცხლაძე    20 
ვასილ გაჯიევი       18 
ვანო ღურწკაია       7  
მაია ქუთათელაძე     5  
სოსო ჩხარტიშვილი    3  
ოლია ბეჟანიძე       3  
ანზორ მჭედლიძე      0  
გრიგოლ შონია        7  
ალა მეფარიშვილი     7
აკაკი ჩაჩუა         14 
მირანდა მგალობლიშვილ1  
ზვიად ქარცივაძე     5  
ვალენტინა ჩხარტიშვილ7  
ზაირა ნეფარიძე      6  
ნიკოლოზ აბულაძე     8  
მამუკა ხატიაშვილი   15 
პეტრე სხირტლაძე     18 
დავით აფციაური      3  
გოგი გოგალაძე       0
აკაკი ძნელაძე       3  
გელა ავალიანი       18 
ლარისა ნატროშვილი   20 
გივი კილასონია      12 
გრიგოლ გვასალია     8  
ნანა დემეტრაშვილი   13 
ქეთევან გოგიჩაიშვილი8  
რომან ქარჩავა       20 
რეზო ლაგვილავა      19 
ზურაბ ხორავა        11
ალა გურგენიძე       17 
სვეტლანა ნაცვლიშვილი6  
ჯაბა შავაძე         15 
ავთანდილ გოცირიძე   8  
ლუბა წურწუმია       2  
ვასილ გორგოძე       15 
ვიქტორ დევიძე       4  
ლაშა პეტროსიანი     14 
გოჩა ჩხიკვაძე       3  
როინ შამათავა       3
ალა კვირიკაშვილი    2  
მარი ვარშანიძე      18 
ლია წერეთელი        8  
ბადრი ქევხიშვილი    5  
ალექსანდრე ალადაშვილ1  
მალხაზ ლატარია      0  
ნათელა ყაველაშვილი  1  
ნონა ფიცხელაური     2  
გოდერძი ლოლაძე      20 
ფატიმა ჭანტურიძე    19
ალა მგალობლიშვილი   11 
კობა ხარაბაძე       3  
ნანი ხვედელიძე      16 
როზა ილურიძე        6  
ტარიელ ჯიბლაძე      9  
დიმიტრი ყაველაშვილი 14 
რეზო ხოზრევანიძე    18 
ირინა კანდელაკი     20 
ალექს გვენეტაძე     11 
ბორის ოთარაშვილი    19
ალა რევაზიშვილი     13 
ნაირა ბახტაძე       18 
ხვიჩა ბერუაშვილი    14 
მარინე ცაავა        17 
კახა კოპაძე         10 
თამილა კეკელიძე     7  
ზაქარია გრიგორიანი  20 
ლიკა გორგაძე        2  
რატი ნემსაძე        19 
ივანე ხაჩიძე        5
ალა სულაბერიძე      0  
ლუიზა აბრამიშვილი   4  
მარინა ლაგვილავა    3  
ცისანა ბენდელიანი   3  
დიანა აბულაძე       20 
ვახტანგ გვასალია    11 
რუსუდან სილაგაძე    1  
მთვარისა შამუგია    10 
ხვიჩა შალამბერიძე   3  
ზურაბ ჩხიკვაძე      1
ალა ყაველაშვილი     2  
ვიქტორ აფციაური     13 
ნაირა გოგიჩაშვილი   20 
გუგული ფარტენაძე    11 
ზაირა დიასამიძე     18 
ციური კვარაცხელია   18 
ლენა ბალიაშვილი     11 
ოლღა დევიძე         6  
ვლადიმერ ღარიბაშვილი1  
ვაჟა ხიმშიაშვილი    12
ალექს არჩვაძე       2  
ოთარ კუპრაშვილი     1  
გრიგოლ ბერიაშვილი   1  
კობა მაღლაკელიძე    15 
მაია შავაძე         2  
მედიკო ხიზანიშვილი  16 
რუსუდან კაპანაძე    3  
ამირან ტყებუჩავა    5  
სუსანა გოგიჩაშვილი  4  
ელენა ენუქიძე       1
ალექს ირემაშვილი    10 
თამაზ კალანდაძე     12 
თამთა ბასილაძე      8  
ემა კახაძე          5  
ეკა შუბითიძე        3  
რევაზ გველესიანი    7  
ლენა ძიძიგური       4  
გოჩა ჯაფარიძე       4  
ზინა ჭიჭინაძე       13 
მერი კევლიშვილი     9
ალექს კირთაძე       18 
ლარისა ცირეკიძე     2  
ჟენია მელაძე        17 
იზა ბერიძე          14 
თენგიზ ფერაძე       12 
ვიოლეტა ზოიძე       12 
გიგლა სარალიძე      15 
გიული ლომაძე        5  
რიტა ჟვანია         7  
არმენ ღონღაძე       0
ალექს კუბლაშვილი    20 
კარლო გიგაური       11 
მეგი გაჯიევი        3  
ქრისტინე ჩხარტიშვილი4  
მარო მელიქიძე       1  
დათო ზარქუა         14 
ნუგზარ ქართველიშვილი6  
რობერტ შამათავა     3  
ნანა გაჩეჩილაძე     6  
რობერტ გველესიანი   15
ალექსანდრე დიასამიძე11 
ზაირა გორგილაძე     8  
გურამ ტყემალაძე     9  
ალექსანდრე კობაიძე  1  
ლუდმილა ძიძიგური    18 
ლამზირა ცუცქირიძე   19 
ლევან ყოლბაია       15 
ლუბა ბერაძე         8  
მაგდა ფანცულაია     3  
იაგო ღარიბაშვილი    5
ალექსანდრე მიქაბერიძ19 
მურთაზ მამულაძე     13 
რევაზ ინასარიძე     7  
ქეთო ბარამიძე       1  
მარინე გოგინაშვილი  0  
დარეჯან მუსაევა     16 
თამარ მაღლაკელიძე   12 
მარინე კაკაურიძე    5  
უშანგი ირემაშვილი   19 
ანი ზარქუა          16
ალექსანდრე მუშკუდიან0  
დემურ კაკაურიძე     12 
ნიკოლოზ სვანიძე     20 
რუსუდან ჩიქოვანი    9  
თამაზ სირბილაძე     0  
თამარი გორგოძე      10 
გიგლა ირემაშვილი    1  
მაია ირემაძე        1  
ფატიმა კირვალიძე    10 
მადონა ასანიძე      9
ალექსანდრე ნასყიდაშვ12 
თეიმურაზ დვალი      1  
მაკა გელაშვილი      1  
ივანე წურწუმია      6  
ალა ახალაია         11 
ზაზა კირკიტაძე      18 
ნაზიბროლა შუბითიძე  0  
მირანდა ჯანჯღავა    19 
მურთაზ მერებაშვილი  17 
უშანგი შაინიძე      9
ალექსანდრე სარალიძე 11 
რობერტ ვალიევა      0  
ნადია ხაჩიძე        13 
ელზა პეტროსიანი     3  
გიორგი შველიძე      1  
ვახტანგ ბეჟანიძე    4  
ვასილ ზედგინიძე     4  
ვარდო მჭედლიძე      13 
ანიკო გეგეშიძე      13 
რიტა კინწურაშვილი   0
ალექსანდრე ქათამაძე 7  
ტატიანა ნადირაშვილი 10 
აკაკი ბიბილაშვილი   14 
მამუკა სურმანიძე    19 
ქეთო ხმალაძე        4  
გოგი პაპავა         13 
ოლღა კოპალიანი      9  
მედიკო ახალაია      1  
ელენა ბეგიაშვილი    2  
მედეა ხურცილავა     14
ალექსანდრე ჭკადუა   14 
ხატია ბენდელიანი    16 
მიხეილ ბიწაძე       8  
ანიკო გოგსაძე       9  
ამირან ჩხიკვაძე     11 
ხატია მახარაძე      14 
ტატიანა ტურაშვილი   1  
ლიდა ჭელიძე         18 
ნადეჯდა აბესაძე     4  
ზურაბ ფირცხალავა    4
ამირან ბერძენიშვილი 17 
ოთარ ცხადაძე        12 
ირინა დუმბაძე       14 
ვალერი შაინიძე      10 
ელმირა პაპაშვილი    11 
მაგდა დევაძე        18 
ელგუჯა გოგინაშვილი  3  
კახაბერ ჭუმბურიძე   17 
ჯუმბერ გაბელია      0  
დემურ ბუკია         11
ამირან ბოჭორიშვილი  15 
ხატია ფარცვანია     14 
ნორა რეხვიაშვილი    20 
სოფიკო ბერძენიშვილი 14 
იოსებ ჯანჯღავა      12 
ოლღა მგალობლიშვილი  9  
გია ცანავა          15 
ეკა ჩიქოვანი        6  
ლამზირა ჯიბლაძე     2  
აკაკი ვარდოსანიძე   13
ამირან ბუცხრიკიძე   4  
რიმა დანელია        1  
იოსებ ურუშაძე       18 
ვიქტორ ბერაია       8  
ვეფხვია მოდებაძე    4  
რობერტ ბრეგაძე      5  
გულიკო ყიფიანი      3  
აზა ლატარია         3  
ანა მელქაძე         16 
ლეილა ცარციძე       3
ამირან დავითაშვილი  9  
რომან მერებაშვილი   9  
დიანა გაგნიძე       6  
ქეთინო ბერიაშვილი   13 
თამთა გულუა         17 
ნანული იობიძე       14 
ბორის აბდულაევი     3  
მარინე ადამია       20 
ილია რობაქიძე       11 
დემურ ქავთარაძე     3
ამირან კვაჭაძე      18 
მარგალიტა თავართქილა8  
ფიქრია ბოკუჩავა     18 
მარგალიტა ბერიშვილი 19 
ბიძინა რეხვიაშვილი  12 
გრიგოლ ტყეშელაშვილი 15 
ზაზა ტყეშელაშვილი   7  
ნესტან მახარაშვილი  9  
ინეზა მუსტაფაევა    0  
ლევან გოგსაძე       6
ამირან მიქავა       11 
გოჩა ოქრუაშვილი     19 
თამარა ქარდავა      10 
კლარა მუსტაფაევი    10 
ცისანა დანელია      2  
ალექსანდრე ნადირაძე 14 
ნორა ხაჩიძე         13 
რომან ქამადაძე      20 
არჩილ გაბრიჭიძე     6  
ჟენია ახვლედიანი    1
ამირან ნაცვლიშვილი  13 
მამუკა ჩხიკვაძე     0  
მაკა ოქრუაშვილი     0  
ციალა როგავა        3  
სოსო ბერუაშვილი     0  
ნუნუ ხეცურიანი      10 
შაქრო თოდუა         2  
ქეთო მჟავანაძე      1  
ლეილა ხაჭაპურიძე    0  
ვალერიან შამათავა   1
ამირან პეტროსიანი   5  
ემა შუკაკიძე        11 
მარიკა სანიკიძე     10 
გულნარა ბერიანიძე   10 
რობერტ იმნაძე       9  
გოგა გიგაური        15 
შალვა ტყებუჩავა     13 
ბექა გაგუა          1  
კარლო ადამია        10 
გია ვარშანიძე       6
ამირან ურუშაძე      13 
ანჟელა ელბაქიძე     9  
როლანდ შათირიშვილი  19 
თამარა ალიევი       0  
ბესარიონ დავითაშვილი17 
იზოლდა მუსაევა      11 
რიტა ფირცხალავა     12 
რიმა დვალიშვილი     3  
სუსანა გურგენიძე    12 
ედუარდ იმერლიშვილი  2
ამირან ხორავა       8  
თამარი ჭანტურია     9  
სულიკო ბარბაქაძე    1  
ანა გიორგაძე        6  
ლიდა კახაძე         14 
გია ტურაშვილი       5  
ლევან გოგალაძე      10 
დიანა ღონღაძე       20 
შორენა შათირიშვილი  11 
მაგდა არაბული       7
ანა გაბელია         8  
ია ფეიქრიშვილი      18 
თამილა ხარატიშვილი  18 
სიმონ ქობულაძე      0  
ნოდარ ბეგიაშვილი    12 
მურმან აბდულაევი    13 
გივი კურტანიძე      18 
ვასილ წიქარიშვილი   5  
თამუნა ლაბაძე       12 
ვასილ ფხალაძე       15
ანა ინასარიძე       15 
ივანე შამათავა      1  
ემზარ ავალიანი      7  
ჟენია გოგსაძე       5  
ეკა ხარშილაძე       4  
ტატიანა გოგიაშვილი  20 
დემურ ზარქუა        8  
დოდო მინდიაშვილი    14 
ვაჟა იობიძე         18 
ზაქარია ფეიქრიშვილი 20
ანა მერაბიშვილი     12 
სოსო მანაგაძე       17 
მარი სოფრომაძე      9  
ბექა ჯიბლაძე        15 
შაქრო კვაჭაძე       12 
სულიკო გოგიჩაშვილი  4  
გალინა ფხაკაძე      4  
ჟუჟუნა მერაბიშვილი  8  
ლევან ხელაძე        5  
მინდია გრიგალაშვილი 1
ანა ჯაფარიძე        5  
ლუიზა არაბიძე       8  
გივი ჭანტურიძე      14 
ლიკა ფარტენაძე      4  
ლიდა კევლიშვილი     19 
ნარგიზა ხარებავა    17 
როინ ვალიევა        12 
ლევან ჯანიაშვილი    2  
ლუიზა ჩაჩუა         8  
ვალენტინა გოგიშვილი 16
ანზორ ბერაია        20 
ნუკრი ბეჟანიშვილი   20 
ბადრი წიკლაური      5  
სვეტლანა კაკაბაძე   3  
ლაშა სამუშია        17 
რიმა მიქაძე         1  
ჯონი კახიძე         2  
ვალერიან ფარტენაძე  2  
ელისო წერეთელი      7  
შალვა ახობაძე       4
ანზორ ბოჭორიშვილი   9  
რამაზ შაინიძე       10 
ნანი პატარაია       0  
მარია მუსაევა       3  
ლუიზა მახათაძე      17 
გურამ გოგუაძე       19 
დარეჯან ტყეშელაშვილი2  
იოსებ ქარჩავა       9  
კონსტანტინე წიქარიშვ6  
ბადრი ისაევი        17
ანზორ გოგიაშვილი    13 
გრიგოლ ცარციძე      8  
კარლო რეხვიაშვილი   10 
გივი ბერიაშვილი     17 
გიგა გოგია          19 
კლარა მღებრიშვილი   20 
ედუარდ გორგაძე      20 
ლიკა კალანდია       8  
ლელა ნაჭყებია       16 
ვახტანგ კვაჭაძე     17
ანზორ ვასაძე        4  
ნოდარ დემეტრაშვილი  18 
ნელი ბიბილაშვილი    10 
ზაზა ჩხარტიშვილი    12 
ლამარა ლაბაძე       8  
მირიან ხარაიშვილი   16 
ვალერიან გაგუა      7  
მირანდა ფიცხელაური  12 
ციალა რეხვიაშვილი   11 
გალინა გაბუნია      20
ანზორ იმნაძე        5  
კონსტანტინე ბეჟანიძე5  
თამარი ცუცქირიძე    0  
ნელი ხორავა         0  
რატი ხმალაძე        15 
ელმირა ხვიჩია       2  
იაგო ჯანიაშვილი     19 
ნელი ხეცურიანი      10 
სერგო როსტიაშვილი   9  
ვიოლეტა ხარშილაძე   18
ანზორ მახათაძე      0  
ზაქარია გოგსაძე     18 
ზაქარია ბუკია       20 
დათო ნაცვლიშვილი    17 
ვარდო ისაევი        3  
თამარი ჯაიანი       8  
ბესიკ მამულაშვილი   9  
ია ჩიხლაძე          1  
ირაკლი ტალახაძე     7  
მარიკა კვაჭაძე      16
ანზორ მეტრეველი     0  
იური კაკულია        2  
ვერიკო ჯაიანი       5  
ედუარდ მაღლაკელიძე  7  
ვლადიმერ ჭუმბურიძე  17 
სვეტლანა გაბრიჭიძე  13 
მალხაზ ნუცუბიძე     5  
ანიკო ტყემალაძე     8  
ნათია კობიაშვილი    12 
გუგული ყოლბაია      7
ანზორ ნიკოლაიშვილი  16 
ლეილა ჯანელიძე      3  
ირაკლი სირბილაძე    11 
ბორის გოგალაძე      17 
ირინე ჭიჭინაძე      13 
ვასილ გიორგობიანი   18 
ბესარიონ ჯანელიძე   4  
ვეფხვია წიკლაური    8  
გურამ ფარცვანია     10 
გივი სირაძე         19
ანზორ პაპავა        3  
ასლან ცირეკიძე      12 
თამაზ კევლიშვილი    11 
დიმიტრი გეგეშიძე    9  
მარიკა კალანდია     20 
ჯაბა ბექაური        6  
ლალი ჟვანია         4  
ლიდა ჩხაიძე         4  
ნათელა ძიძიგური     20 
მანანა ჯალაღონია    20
ანზორ ღონღაძე       17 
ვარდო ტყეშელაშვილი  4  
მიხეილ მღებრიშვილი  5  
მარიამ კაკაბაძე     18 
მირანდა ავალიანი    6  
ნათია სოფრომაძე     11 
იზოლდა სალუქვაძე    18 
მერაბ ოთარაშვილი    14 
თამუნა გოგიაშვილი   4  
დარეჯან ჭინჭარაული  3
ანზორ ჩხარტიშვილი   4  
პავლე ღვინჯილია     17 
მინდია დარბაიძე     1  
რომან ჭელიძე        11 
ოლია პაპავა         20 
ზაურ ტყემალაძე      8  
მამუკა მახარაძე     2  
ჟანა ნუცუბიძე       1  
პაატა ვარშანიძე     15 
თამილა არაბული      11
ანი გუჯაბიძე        10 
ნორა რობაქიძე       11 
მარგალიტა ქარცივაძე 2  
ირაკლი ჯაფარიძე     2  
ეკა პაპუაშვილი      7  
თენგიზ ჩიხლაძე      4  
ჯონი გოგუა          4  
თამარი ქამადაძე     6  
ბადრი ბლიაძე        10 
ჯუმბერ კირთაძე      20
ანი ზედგინიძე       3  
გიორგი სოფრომაძე    17 
თემურ თედორაძე      14 
ვერა ჟღენტი         2  
ზაზა ლაცაბიძე       14 
სერგო კირვალიძე     14 
ცისანა ბაქრაძე      14 
სვეტლანა მინდიაშვილი3  
ელმირა მგელაძე      0  
ვასილ მაჭარაშვილი   19
ანი ირემაშვილი      15 
გოგი მახარაძე       19 
ანზორ კინწურაშვილი  18 
თამილა ქარცივაძე    17 
ნაზიკო კილასონია    17 
გრიგოლ მუშკუდიანი   17 
ასლან გვაზავა       8  
ანი აბრამიშვილი     10 
სოფიკო ჯაიანი       12 
გიგლა სიჭინავა      14
ანი შუბითიძე        2  
ივანე როგავა        10 
თეა სალუქვაძე       2  
კლარა გიგაური       15 
როლანდ კუპატაძე     13 
ფიქრია კაკაბაძე     1  
თათია ჯანჯღავა      15 
კახა ისაევი         2  
დიმიტრი მოდებაძე    11 
ვენერა ჯიქია        12
ანიკო გაბუნია       7  
გოდერძი ჭანტურიძე   8  
ლიკა პაპავა         5  
ილია მათიაშვილი     20 
ლუიზა ლობჯანიძე     18 
როლანდ მამულაძე     2  
ვალენტინა ცაავა     15 
ალექსანდრე ბერძენიშვ14 
ვერა ხეცურიანი      17 
გენადი ჩადუნელი     12
ანიკო კუჭუხიძე      3  
ცირა ხიმშიაშვილი    3  
გიგა ჩხარტიშვილი    1  
ნიკოლოზ ვეკუა       5  
კახაბერ ცერცვაძე    9  
ლილი ნიკოლაიშვილი   16 
ნადია მაჩიტიძე      6  
რატი სარალიძე       1  
გალინა ყიფშიძე      8  
ელენა მესხი         17
ანიკო ლაბაძე        7  
პეტრე ყიფშიძე       0  
ნესტან რაზმაძე      10 
ქრისტინე გაფრინდაშვი16 
ფიქრია გოგოლაძე     1  
ნაზიბროლა ბერულავა  15 
მურთაზ აბესაძე      7  
ნაზიბროლა ლომთაძე   10 
ლაშა ალიევი         6  
ლიდა რაზმაძე        7
ანიკო ლობჯანიძე     4  
კონსტანტინე ბასილაშვ7  
ნაზიკო ქარჩავა      4  
რომან თევზაძე       1  
ნაზიკო პაპაშვილი    7  
მედეა ხელაძე        0  
ჟენია მამულაძე      12 
გრიგოლ ფარცვანია    16 
ანჟელა გოცირიძე     19 
ნიკოლოზ დევიძე      11
ანიკო მამულაშვილი   19 
ნანი ჩხეიძე         10 
ნუცა ლეჟავა         9  
ელგუჯა პაპავა       6  
მირიან ვეკუა        8  
სოფიკო ხვედელიძე    4  
მარიკა ზედგინიძე    11 
პეტრე წერეთელი      5  
ნიკა ფანცულაია      4  
ლიკა შარაშიძე       2
ანიკო ღამბაშიძე     7  
ვანო ჩაფიძე         9  
კახაბერ შანიძე      11 
პაატა ბურდული       13 
მერაბ ნეფარიძე      14 
ნანული ბახტაძე      16 
თათია მეფარიშვილი   13 
მამუკა როსტიაშვილი  4  
ლილი ბერძენიშვილი   19 
